Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21)
0.0,0.8779605067609226,3.76,0.0,0.6386322239116501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1133592144620464e-19,0.8779605067609226,3.76,0.0,0.6386322239116499,0.9999999999999998,2.5800880604096945e-40,3.8811138971996693e-50,2.698346193188229e-33,2.074917720386331e-16,8.924163140860972e-17,2.498038752442506e-31,1.0820777555181508e-28,1.1825014062943234e-16,2.428762271960772e-28,2.0351014668199863e-30,9.66886074615541e-22,5.42861845550328e-31,2.145320896371444e-44,2.682561857402201e-44,1.8221386196128003e-44,1.402127827059527e-44,4.374482638435552e-44,9.722249568604126e-31,2.001095390133476e-60,1.4469861679461712e-59,1.4631995301521078e-70,1.8348554190309618e-89
1.151740580049373e-18,0.8779605067609227,3.76,0.0,0.6386322239116495,0.9999999999999998,3.063106688346746e-39,4.607658421752122e-49,1.629801100654047e-32,5.809769617089532e-16,2.49876567944083e-16,1.5088154064071227e-30,6.5357496433163695e-28,3.311003937613004e-16,1.4669724122602026e-27,1.2292012859829244e-29,2.707281354662307e-21,3.278885546905607e-30,3.242008938520849e-43,3.1847374371550457e-43,2.7536158819661634e-43,1.664606156273151e-43,5.193458390483565e-43,5.872238739430832e-30,4.477730236187491e-59,3.965516056183054e-58,7.364230754510016e-69,1.6806055604935742e-87
2.6325498972557096e-18,0.8779605067609227,3.76,0.0,0.6386322239116488,0.9999999999999994,3.0073877663042436e-38,4.523826367511173e-48,7.84679072931673e-32,1.3279473410527162e-15,5.711464410149329e-16,7.264296691080543e-30,3.1466821130268862e-27,7.568009000205958e-16,7.062840686800369e-27,5.918075065867316e-29,6.1880732977110116e-21,1.5786422465327706e-29,3.4876052745512767e-42,3.12679410112825e-42,2.9622143111562796e-42,1.634320195183474e-42,5.0990000584747507e-42,2.8272301745409837e-29,8.848442745203552e-58,8.479454907121098e-57,3.1604513407239194e-67,1.4435627351592038e-85
5.594168531668383e-18,0.877960506760923,3.76,0.0,0.6386322239116473,0.9999999999999988,2.6600049712616134e-37,4.00127320193403e-47,3.426899664858589e-31,2.821888099752732e-15,1.2136861871562463e-15,3.172509214545645e-29,1.374238749487492e-26,1.6082019125214245e-15,3.084528085326575e-26,2.5845788632280046e-28,1.3149662715629108e-20,6.894345435104029e-29,3.205710108455431e-41,2.765613972795955e-41,2.722785296567213e-41,1.445537704507226e-41,4.5100204422309353e-41,1.2347256952033218e-28,1.5746313555607213e-56,1.5615195931290883e-55,1.168496684459163e-65,1.0694498156620633e-83
1.1517405800493731e-17,0.8779605067609233,3.76,0.0,0.6386322239116443,0.9999999999999974,2.235896259471124e-36,3.3633112387864027e-46,1.4306631511869842e-30,5.809769617202726e-15,2.498765679437326e-15,1.3244601455943132e-28,5.7371762595722e-26,3.3110039374520334e-15,1.2877297565363575e-25,1.0790107980379175e-27,2.7072863678748063e-20,2.8782535020611705e-28,2.7425524890074823e-40,2.3246651851533485e-40,2.3294001457455944e-40,1.2150615407428206e-40,3.790948940595765e-40,5.154736721189276e-28,2.6559258769286957e-55,2.676577216639101e-54,4.0143092269027836e-64,7.355837227407194e-82
2.3363880338144423e-17,0.8779605067609236,3.76,0.0,0.6386322239116383,0.9999999999999949,1.8331235584373464e-35,2.7574457853879128e-45,5.844725784556123e-30,1.178553265230256e-14,5.068924663993301e-15,5.410851851291279e-28,2.343823701405873e-25,6.716607987029056e-15,5.260796231073249e-25,4.408111183984433e-27,5.491935411411695e-20,1.1758604693563012e-27,2.2675954327312485e-39,1.905900969595185e-39,1.925993086769517e-39,9.961808619023453e-40,3.1080509749852984e-39,2.105878145486269e-27,4.362430829726105e-54,4.430936916376048e-53,1.3305521614724014e-62,4.8788829709757636e-80
4.705682941344581e-17,0.877960506760925,3.76,0.0,0.6386322239116263,0.9999999999999898,1.4845112708135977e-34,2.233051135787401e-44,2.3625316096793303e-29,2.3737058723301608e-14,1.0209242633080507e-14,2.187152827002344e-27,9.474110145595383e-25,1.352781608504632e-14,2.1264979492920377e-24,1.7818290213693253e-26,1.1061268902137852e-19,4.753016010260185e-27,1.8439709450878906e-38,1.5434480197292977e-38,1.5661855922154311e-38,8.067330894993229e-39,2.516981057291078e-38,8.512296164702729e-27,7.071740195981409e-53,7.210627666887041e-52,4.332916124965525e-61,3.178477338045965e-78
9.444272756404859e-17,0.8779605067609272,3.76,0.0,0.6386322239116025,0.9999999999999795,1.1948639345392242e-33,1.797353901073157e-43,9.499635682031408e-29,4.7640110868497245e-14,2.0489878571155947e-14,8.794445295818758e-27,3.8094980203666086e-24,2.7150232276533725e-14,8.550554725695102e-24,7.164656136637934e-26,2.220007749819959e-19,1.9111668245229152e-26,1.4872293671687164e-37,1.242301244398741e-37,1.2631854193141774e-37,6.493289742961738e-38,2.0258856463468277e-37,3.422756849147219e-26,1.1388860650305763e-51,1.1634874547006847e-50,1.3986856472886794e-59,2.0523411394493217e-76
1.8921452386525415e-16,0.8779605067609313,3.76,0.0,0.6386322239115546,0.9999999999999589,9.588031030383994e-33,1.4422634340794383e-42,3.8097787799994827e-28,9.544621517167867e-14,4.105115044691094e-14,3.526965883080908e-26,1.5277790897075724e-23,5.4395064641320035e-14,3.4291548766030226e-23,2.8733475654086774e-25,4.4478261148760015e-19,7.664633686978916e-26,1.1946235027288084e-36,9.968685131203092e-37,1.0146592241212369e-36,5.210456080399245e-37,1.6256457745688412e-36,1.3726785828563272e-25,1.828167483426814e-50,1.8694484136705227e-49,4.49534145787286e-58,1.3193272935659246e-74
3.7875811646766527e-16,0.8779605067609403,3.76,0.0,0.638632223911459,0.9999999999999178,7.6820926185932e-32,1.1555660239600536e-41,1.5258986739808397e-27,1.910584238292021e-13,8.217369419683738e-14,1.4126259914683985e-25,6.119085208862029e-23,1.088847292981387e-13,1.3734505872797183e-22,1.1508377623346477e-24,8.90368942836223e-19,3.069851270732148e-25,9.576385957788237e-36,7.98707896629475e-36,8.133749583263795e-36,4.174705427605678e-36,1.3024949122437928e-35,5.497874183346432e-25,2.929836794855716e-49,2.997427827325443e-48,1.4416451405341978e-56,8.462399765371993e-73
7.578453016724874e-16,0.877960506760958,3.76,0.0,0.6386322239112678,0.9999999999998356,6.1503452028247135e-31,9.251557654627678e-41,6.107571237959147e-27,3.822828413488914e-13,1.6441878169035612e-13,5.654185236160648e-25,2.4492287604618595e-22,2.1786405832076014e-13,5.497381656261837e-22,4.606350267448128e-24,1.7816322388826263e-18,1.2287404899838315e-24,7.668875454699883e-35,6.394519707472155e-35,6.513596436985032e-35,3.3423027283046483e-35,1.0427879284797176e-34,2.2005824594610483e-24,4.6915560236365154e-48,4.800939043613681e-47,4.618288480958643e-55,5.42193131700502e-71
1.5160196720821319e-15,0.8779605067609935,3.76,0.0,0.6386322239108854,0.999999999999671,4.922145396799343e-30,7.404062865744353e-40,2.443823991422211e-26,7.647316772068395e-13,3.289089566520568e-13,2.2624104747268752e-24,9.800105288349943e-22,4.358227152019395e-13,2.1996687229138686e-21,1.8431401505752403e-23,3.564521364368058e-18,4.916562111312497e-24,6.1382084345775926e-34,5.117559268674962e-34,5.213517158362682e-34,2.674857955222992e-34,8.345472845881798e-34,8.8051962193124e-24,7.509539383777173e-47,7.68554854624553e-46,1.4786566838473428e-53,3.471958016082529e-69
