Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59)
0.0,0.788700353748467,3.76,0.0,0.5032532604357776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7700248108897587e-18,0.7887003537484669,3.76,0.0,0.5032532604357773,1.0,4.913985648661563e-39,9.584730047825928e-50,2.3463092711994112e-33,2.2566721077021094e-16,1.3640758422469697e-16,2.645176379859928e-30,4.399698402159816e-28,8.92596265436604e-17,3.023186217183961e-21,1.0598017497682893e-29,5.411877585278817e-22,2.3792502039907697e-30,5.862159138693507e-35,1.4617809505875142e-43,9.497185860615318e-37,1.1908067799903112e-43,6.665516921640437e-42,4.513742390037321e-30,1.5958002221893358e-59,8.894041950008513e-59,3.5888941256607496e-69,2.63586472454084e-88,3.023185501082254e-21,7.538731897206351e-31,3.9821632209977897e-47,7.65283162717075e-49,7.391832524641946e-46
7.756069470491324e-18,0.788700353748467,3.76,0.0,0.5032532604357769,0.9999999999999997,5.833906373590616e-38,1.1378991525188954e-48,1.4171707996267292e-32,6.318681901588721e-16,3.8194123582907504e-16,1.5976865330846252e-29,2.6574178348786528e-27,2.4992695431860207e-16,8.464923725475369e-21,6.401202569118824e-29,1.5153271227043294e-21,1.4370671227185524e-29,3.540744131937157e-34,1.7355512106266813e-42,5.736302553019864e-36,1.413725809169614e-42,7.913305000525781e-41,2.7263004035737184e-29,3.570967337569181e-58,2.506186027820908e-57,1.8554643569987607e-67,2.4578623726988775e-86,8.464919400221059e-21,4.553394064553254e-30,4.727624951015055e-46,9.085441709878102e-48,8.775583493221763e-45
1.7728158789694457e-17,0.7887003537484671,3.76,0.0,0.5032532604357761,0.9999999999999992,5.727773780321435e-37,1.1171961380472904e-47,6.823067357982148e-32,1.4442701489453214e-15,8.730085390375252e-16,7.692172907371109e-29,1.2794322953092595e-26,5.712616098538973e-16,1.93484080114993e-20,3.0819034891037246e-28,3.4636114463622634e-21,6.918859585826785e-29,1.704715895393893e-33,1.7040291859658243e-41,2.7617850225206687e-35,1.3880043826481798e-41,7.769331222281991e-40,1.31259628700961e-28,7.056733293581735e-57,5.408588243640366e-56,8.047099825844126e-66,2.1555559563416955e-84,1.9348387187261658e-20,2.19226323366852e-29,4.641611853039004e-45,8.92014054931716e-47,8.615919742619834e-44
3.7672337428100717e-17,0.788700353748467,3.76,0.0,0.5032532604357745,0.9999999999999982,5.066154978522689e-36,9.881473365821502e-47,2.9798127716686565e-31,3.0690740665547277e-15,1.8551431454532024e-15,3.3593739969851647e-28,5.587616970341867e-26,1.2139309208661348e-15,4.1115413661311624e-20,1.3459482230091863e-27,7.360202474898293e-21,3.021647751443826e-28,7.444942288904122e-33,1.507216247669808e-40,1.2061460604329999e-34,1.2276741576705918e-40,6.871886050140332e-39,5.732452835210517e-28,1.255798005636892e-55,9.99755638810642e-55,2.98806290164578e-64,1.611820309848667e-82,4.111532271639482e-20,9.574189488381442e-29,4.1054560398718827e-44,7.889763302365255e-46,7.620683138588938e-43
7.756069470491324e-17,0.7887003537484675,3.76,0.0,0.5032532604357712,0.9999999999999962,4.2584100780240907e-35,8.305973840015999e-46,1.2440131731107897e-30,6.318681901919571e-15,3.819412358279664e-15,1.4024725117084848e-27,2.3327200924641413e-25,2.499269542657198e-15,8.46495732719941e-20,5.619068884502603e-27,1.5153474056850945e-20,1.2614784512938409e-27,3.1081169390471364e-32,1.2669146887968825e-39,5.035438917394766e-34,1.0319341022168184e-39,5.776234503036941e-38,2.393186215074577e-27,2.1181597963277353e-54,1.7166121622945862e-53,1.0285643749577565e-62,1.1135248701677297e-80,8.464919359486902e-20,3.9970356329352147e-28,3.4508880867768253e-43,6.631821455729493e-45,6.405642851262641e-42
1.5733740925853828e-16,0.7887003537484677,3.76,0.0,0.5032532604357647,0.9999999999999923,3.491302484574843e-34,6.809739298881615e-45,5.0821997127987326e-30,1.2817897573233374e-14,7.747950783913015e-15,5.729557804402293e-27,9.529922723957822e-25,5.069946785305678e-15,1.7171848573759007e-19,2.2955729881904664e-26,3.0740375320278354e-20,5.15355105375311e-27,1.2697672563665117e-31,1.0386966348372388e-38,2.0571546166926863e-33,8.460419234648968e-39,4.735706100782458e-37,9.776946565473189e-27,3.4791423533506583e-53,2.8441081821743718e-52,3.412441961966234e-61,7.401522398941434e-79,1.7171693463264888e-19,1.6329194678066316e-27,2.8292546042727054e-42,5.43716791720483e-44,5.251732190134491e-41
3.168908383657884e-16,0.7887003537484685,3.76,0.0,0.5032532604357517,0.9999999999999845,2.8273475169252626e-33,5.514703631434162e-44,2.0543063725140982e-29,2.581632891819746e-14,1.560502763510143e-14,2.3159788549544914e-26,3.852147134100061e-24,1.0211301266868054e-14,3.4585868364570455e-19,9.279073074422621e-26,6.19156102452195e-20,2.0831477098124538e-26,5.132602845800579e-31,8.411648337368631e-38,8.315457139409736e-33,6.851466841490737e-38,3.835097583889743e-36,3.951998121254214e-26,5.639885788105357e-52,4.6301945912800637e-51,1.1117732385174406e-59,4.827039384013786e-77,3.458524138315346e-19,6.600521503062845e-27,2.2912167815254496e-41,4.403159563631084e-43,4.252987540388666e-40
6.359976965802887e-16,0.78870035374847,3.76,0.0,0.5032532604357257,0.9999999999999687,2.2756953528077605e-32,4.438713561289791e-43,8.260275501581891e-29,5.181319161747156e-14,3.1319181337165104e-14,9.312448975932642e-26,1.5489314192347043e-23,2.049401021505446e-14,6.941485713696098e-19,3.7310744929779164e-25,1.2427180968742988e-19,8.376245125517091e-26,2.063797494501983e-30,6.770431860235699e-37,3.343696614462448e-32,5.514656568662763e-37,3.086820140766722e-35,1.5890810626861054e-25,9.082896173236016e-51,7.4726538052187735e-50,3.589685693397161e-58,3.118462711338033e-75,6.941233607226102e-19,2.654040612213694e-26,1.844191604124528e-40,3.54404590906169e-42,3.423172204824677e-39
1.274211413009289e-15,0.7887003537484731,3.76,0.0,0.5032532604356738,0.9999999999999373,1.8261022396086445e-31,3.5617885905724644e-42,3.3127398693417224e-28,1.0380691705340342e-13,6.274748874003985e-14,3.734708437006845e-25,6.211907759392486e-23,4.105942805167392e-14,1.3907663144480149e-18,1.4963277645914298e-24,2.490071269410257e-19,3.3592487752641407e-25,8.276754732333609e-30,5.432847394058046e-36,1.3410423734248985e-31,4.425164580145294e-36,2.476978679039791e-34,6.372925792432195e-25,1.4580077523981773e-49,1.200797929024631e-48,1.1538489313317086e-56,2.0052013054701824e-73,1.3906652084779812e-18,1.064388947036655e-25,1.4798813327013668e-39,2.843873687568319e-41,2.746876629175621e-38
