Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268),CH3O2(53),C2HO3(631),CO3(131),C2O2(813),C2HO3(230),C2HO2(812),S(1029),CH2O3(220)
0.0,0.8943254190319831,3.76,0.0,0.8794676432658384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4085407769783615e-19,0.8943254190319831,3.76,0.0,0.879467643265838,0.9999999999999999,1.903457484390467e-39,1.1070540828474266e-49,5.134594031267166e-33,3.509546183169038e-16,1.64380380759042e-16,9.180989885523186e-31,3.100757935599529e-28,1.865742375556902e-16,9.573256005172223e-21,6.028964499891152e-30,9.783461104924288e-22,1.5304979377810962e-30,1.2261229738466176e-34,1.4791498285783341e-43,1.3835322189340566e-36,7.255270643579062e-43,1.6388320122247678e-42,4.04915373035155e-30,1.4330738286307823e-59,9.181813532960673e-59,3.756704356704445e-69,4.7612539911744607e-88,9.573255070556217e-21,6.43104707403447e-31,1.2260141123453234e-47,6.595835928461896e-49,2.023816493091723e-46,4.1477880363622283e-41,1.7571396223062942e-42,3.535812516795396e-75,3.751217335993489e-72,6.636089624104529e-86,1.3966650404483064e-89,9.504867607053178e-64,6.729864349889501e-46,-1.6588644043365333e-90,5.0624308618089465e-92,1.563049891355274e-73,1.4834903035677016e-47,-7.659392603673537e-92,3.80341556931819e-91,2.7046369449602234e-77,8.958223006920478e-43,5.651142277731288e-58,1.7287254703162563e-89,1.82799795732073e-102,2.670857582562112e-81,7.021302733601734e-60,8.36799833401496e-116,-6.094710321550556e-96,7.747564465647657e-110,-5.8229165272901566e-95,2.498684382435228e-103,6.244999081186043e-47,1.6259688186119498e-69,1.0679874524323574e-65,-1.6296475800788694e-96,2.225872723112405e-110,6.361068729416579e-76,1.217965198236692e-73,5.41077611955941e-99,4.549826762085807e-73,7.902640650624527e-63,2.7155618408623195e-103,1.6281491503337527e-63,5.102418433098195e-102,3.9410344185519434e-95,1.943162898460197e-104,1.417963331138242e-100,9.379965338453463e-91
2.354391417553941e-18,0.8943254190319831,3.76,0.0,0.8794676432658374,0.9999999999999996,2.2597999727215942e-38,1.3142946089496127e-48,3.101294794717333e-32,9.826729312903425e-16,4.602650661252483e-16,5.545317890394394e-30,1.872857793093604e-27,5.224078651519775e-16,2.6805119840016857e-20,3.6414945580644925e-29,2.739370099399639e-21,9.244207543016025e-30,7.405782771447684e-34,1.75621004044583e-42,8.356535693613379e-36,8.61345730686381e-42,1.945623858322543e-41,2.4456888531281906e-29,3.206897213991659e-58,2.5246560136370863e-57,1.7004637120417323e-67,3.927424171596433e-86,2.68051141949362e-20,3.884352432119532e-30,1.4555239539906649e-46,7.830576415774295e-48,2.4026749337931846e-45,4.924253948950698e-40,2.0860762303868592e-41,2.15108950163266e-73,1.857956660316563e-70,6.022563755916443e-84,1.303099439802186e-87,2.1262041767811687e-62,7.989694950530579e-45,1.808289341415273e-88,5.774265534282282e-90,9.508795249207869e-72,1.7612175669709593e-46,8.339315794793497e-90,3.42889242231766e-89,1.645404796742973e-75,1.0635202352243303e-41,1.2642502677052724e-56,1.9718037025940166e-87,3.7713426018455363e-100,1.6250278379169008e-79,1.5706373362132149e-58,1.3345309115629892e-113,6.638910982571565e-94,8.255670083524532e-108,6.341441132491794e-93,5.1550363275365676e-101,7.41406289100635e-46,5.114094752900722e-68,2.389068377740111e-64,1.774505549328683e-94,2.371840317918788e-108,3.8698927511755476e-74,5.025985896925639e-72,5.7656022064548e-97,1.877498752222089e-71,2.4847159802535454e-61,2.893697791656995e-101,3.642104518786975e-62,5.437296806442925e-100,3.0410791681649977e-93,2.070630879657741e-102,1.567094252800851e-98,6.820979498391272e-89
5.381466097266151e-18,0.8943254190319834,3.76,0.0,0.8794676432658362,0.999999999999999,2.2186916948892548e-37,1.2903822443121564e-47,1.4931399440404383e-31,2.246109557249266e-15,1.0520344368573845e-15,2.6698318580177284e-29,9.017004076595749e-27,1.1940751203287317e-15,6.12688596118447e-20,1.7532228767637027e-28,6.261422037297417e-21,4.4506880012945874e-29,3.5655656217700774e-33,1.7243290170149143e-41,4.0233132983501624e-35,8.456743458456478e-41,1.9102261336943525e-40,1.177493904780009e-28,6.337344289243354e-57,5.404497928398954e-56,7.009059986678371e-66,3.245195672550925e-84,6.126883243321132e-20,1.870148488233278e-29,1.4290420487740173e-45,7.68810636230223e-47,2.3589604832512356e-44,4.8346617109463055e-39,2.0481221631931634e-40,9.711057745107179e-72,9.447289745503106e-69,6.092909016581433e-82,1.2970400283147076e-85,4.201026514624685e-61,7.844329868690608e-44,1.803825846478767e-86,5.227772779866124e-88,4.2927246972874044e-70,1.7292117214220052e-45,8.319205547381373e-88,3.4826385198103625e-87,7.428128172876989e-74,1.0441704731910044e-40,2.4980538038160062e-55,1.7851866526370581e-85,6.833436202828029e-98,7.34230238150325e-78,3.1033147009724626e-57,6.116619922304034e-111,6.625722275477996e-92,1.8787966962673894e-105,6.32759289166568e-91,9.340604689041623e-99,7.279170872679473e-45,1.141769375425363e-66,4.720496696265339e-63,1.77039905238444e-92,5.397754009810603e-106,1.7470529511571606e-72,1.988233246617124e-70,1.3121161637499385e-94,7.427198315529052e-70,5.543264219496005e-60,6.5853863261940916e-99,7.196184762372598e-61,1.2374014013301316e-97,3.314318673450036e-91,4.712276591603246e-100,1.4189661214489502e-96,6.441992694600948e-87
1.143561545669057e-17,0.8943254190319835,3.76,0.0,0.8794676432658336,0.9999999999999978,1.9624103316313524e-36,1.1413284883044098e-46,6.520934417104743e-31,4.7729828092153e-15,2.23557317832055e-15,1.1659857147459508e-28,3.9379625780794594e-26,2.537409630618958e-15,1.3019638756405463e-19,7.656784916880438e-28,1.3305541753426396e-20,1.9437323791499898e-28,1.5571761909314954e-32,1.5251779177427236e-40,1.7570875627049684e-34,7.479893814935619e-40,1.6895738157010518e-39,5.142425237482159e-28,1.1277826688269213e-55,9.95711465339178e-55,2.5478025068461776e-64,2.3658509421331253e-82,1.3019626886782223e-19,8.167429774765598e-29,1.263971508054572e-44,6.800043016813697e-46,2.0864738074152268e-43,4.276203503069202e-38,1.8115411258220688e-39,3.666711638936276e-70,3.738395413561146e-67,4.828292072423931e-80,1.021418704412274e-83,7.47551436803589e-60,6.938220913326774e-43,1.4162667247330882e-84,3.9622667742378366e-86,1.620851160610168e-68,1.529535552890702e-44,6.531921095135039e-86,2.763925339002827e-85,2.804717066414624e-72,9.235569580731368e-40,4.4452411747604677e-54,1.3530400245296623e-83,1.0369644210560459e-95,2.7769392974923556e-76,5.5221826996358075e-56,2.094990206873582e-108,5.2068018946155255e-90,3.175082827632281e-103,4.970506806506283e-89,1.4174244315716632e-96,6.438344134402458e-44,2.141578800172958e-65,8.400229792493812e-62,1.3903273327101615e-90,9.12196693508887e-104,6.596513419569372e-71,7.095868675203825e-69,2.2174182964152668e-92,2.65071429142103e-68,1.0381920007431368e-58,1.1129015817291032e-96,1.2805226223722774e-59,2.091153025117939e-95,2.7113215263795763e-89,7.963542119837784e-98,1.0756729092149112e-94,4.961002535109968e-85
2.354391417553941e-17,0.8943254190319839,3.76,0.0,0.8794676432658285,0.9999999999999954,1.6495251798123703e-35,9.593553752449343e-46,2.722361753033748e-30,9.826729313340119e-15,4.6026506612424534e-15,4.8677608308649495e-28,1.6440218573361205e-25,5.224078650946283e-15,2.680516371026915e-19,3.1965569796590967e-27,2.739384454701804e-20,8.114700049627062e-28,6.500904134057271e-32,1.2820152106637371e-39,7.335502564341636e-34,6.287301441300624e-39,1.4201887671205072e-38,2.1468613077745045e-27,1.9022400618596533e-54,1.707092029838845e-53,8.684096711754063e-63,1.6152290235324523e-80,2.680511415692866e-19,3.4097411503206823e-28,1.0624442113392457e-43,5.71584589624628e-45,1.7538069114717805e-42,3.594406655357926e-37,1.522709918496151e-38,1.272152760317986e-68,1.3239554788691085e-65,3.4229023278059403e-78,7.221756658950925e-82,1.2608583339873677e-58,5.831992700954826e-42,1.0012319132054082e-82,2.7551408101324907e-84,5.623485594645062e-67,1.2857801250757562e-43,4.617797452490138e-84,1.960664037844051e-83,9.730862090663334e-71,7.763052707145633e-39,7.497619288338275e-53,9.408290898180373e-82,1.4429603034147606e-93,9.666517615705529e-75,9.313968257819809e-55,6.181561545071787e-106,3.6874225518616624e-88,4.649021191560817e-101,3.5172336663018866e-87,1.972381238833763e-94,5.4118160690731636e-43,3.710007137851058e-64,1.4169423975757005e-60,9.832974493678573e-89,1.335657269881871e-101,2.2886178467240934e-69,2.3975346054332145e-67,3.246788785972719e-90,8.956164279435332e-67,1.793218448952212e-57,1.629533293760999e-94,2.1597885440467897e-58,3.0619082200183257e-93,1.9513622158649981e-87,1.1660381798968265e-95,7.497607341292736e-93,3.471751237669492e-83
4.776051161323709e-17,0.8943254190319848,3.76,0.0,0.8794676432658184,0.9999999999999907,1.3523808210760236e-34,7.865375158554534e-45,1.1121736035639177e-29,1.9934222322360745e-14,9.336805627068554e-15,1.9886391277118024e-27,6.71636571782058e-25,1.0597416690588425e-14,5.437629107168332e-19,1.305897828072654e-26,5.557070357953596e-20,3.315119739191144e-27,2.65583151331688e-31,1.0510780113738255e-38,2.9967985812066187e-33,5.154709571926018e-38,1.1643566214952986e-37,8.770628945600524e-27,3.1244911756583753e-53,2.8262885346454224e-52,2.86740461113868e-61,1.0674935318436534e-78,5.43760886301186e-19,1.3929905133693902e-27,8.710559527009387e-43,4.686195814513601e-44,1.4378767958315467e-41,2.9469116596890006e-36,1.248410325272817e-37,4.2368000799718365e-67,4.452111158469647e-64,2.303161974526651e-76,4.853259067120798e-80,2.0709749259337168e-57,4.781419911580913e-41,6.730330382049776e-81,1.837145415832418e-82,1.8728554645678325e-65,1.0543460837523906e-42,3.104126352723027e-82,1.319656568643536e-81,3.240782692329396e-69,6.364619616358478e-38,1.2314918383974564e-51,6.273508390915701e-80,1.9249470526525023e-91,3.240673615494632e-73,1.529822081741321e-53,1.6971429436666043e-103,2.4873664335100478e-86,6.357146206017385e-99,2.368743627672808e-85,2.6312136241274192e-92,4.436933592617435e-42,6.200665356791071e-63,2.3277292042589066e-59,6.615110972946008e-87,1.8263993612377725e-99,7.621924316497246e-68,7.882571142122222e-66,4.4397088998251167e-88,2.9445907200964737e-65,2.979459159744917e-56,2.228248999628264e-92,3.5474590911586564e-57,4.186900197391995e-91,1.3227028461701285e-85,1.5944587010409273e-93,5.029957342782702e-91,2.321585960871172e-81
9.619370648863246e-17,0.8943254190319865,3.76,0.0,0.8794676432657982,0.9999999999999812,1.0951932185948447e-33,6.369585009141902e-44,4.4955835185623464e-29,4.0149208343486e-14,1.8805115558649937e-14,8.038397287442457e-27,2.714862408171252e-24,2.1344092765822685e-14,1.0951885560925867e-18,5.278647822603891e-26,1.1192543542590943e-19,1.3400243969449066e-26,1.0735296054597401e-30,8.511920140406582e-38,1.2113591009223355e-32,4.174417436123411e-37,9.429262034154205e-37,3.5452284498986425e-26,5.064979717420573e-52,4.599551388154779e-51,9.320124181878178e-60,6.942214182379982e-77,1.0951803730808664e-18,5.630690345545487e-27,7.054036910210144e-42,3.795002887694449e-43,1.1644297941551622e-40,2.3864853342176529e-35,1.010996240448591e-36,1.3829621436083126e-65,1.4600700509659751e-62,1.5110172214340942e-74,3.182131851010459e-78,3.357176001375748e-56,3.872117715811291e-40,4.4137638348937854e-79,1.2000091714257982e-80,6.113311980857105e-64,8.541378198183009e-42,2.035705445885089e-80,8.658994114154474e-80,1.0578453553722026e-67,5.1542339519427265e-37,1.9963058296669592e-50,4.0978073773606856e-78,2.515110295722463e-89,1.071726140374632e-71,2.479907514423352e-52,4.498093552664919e-101,1.6425722793727491e-84,8.407943282769085e-97,1.5592430321727237e-83,3.4379221569335407e-90,3.5931435525106036e-41,1.0227442801558581e-61,3.774636673067374e-58,4.345175382170085e-85,2.4155907008029017e-97,2.487838831925484e-66,2.556693591609977e-64,5.8719396820722e-86,9.550708471190652e-64,4.85727008494751e-55,2.9470724029817287e-90,5.750583804670217e-56,5.537576101798793e-89,8.709348456791601e-84,2.10882433252349e-91,3.3276321049698614e-89,1.5184761418739743e-79
1.9306009623942318e-16,0.89432541903199,3.76,0.0,0.8794676432657578,0.9999999999999623,8.815068484356893e-33,5.126796610879635e-43,1.8076543538418878e-28,8.057918039807241e-14,3.774173542152939e-14,3.2322041767815945e-26,1.0916342335887307e-23,4.283744490009106e-14,2.1980522394339655e-18,2.122521078307824e-25,2.246389542440004e-19,5.388179116732069e-26,4.316615687350507e-30,6.851140997442908e-37,4.8708634824675023e-32,3.359934286356058e-36,7.589490457557483e-36,1.425520767058142e-25,8.157028885627807e-51,7.421894005635435e-50,3.0057769418458728e-58,4.478664033191671e-75,2.1980193359037544e-18,2.2640757995323226e-26,5.677702542343127e-41,3.054548512820144e-42,9.372342169855718e-40,1.9208508045938383e-34,8.13739647567879e-36,4.4694946830960375e-64,4.729604163970594e-61,9.790502126825473e-73,2.061227154405107e-76,5.406745450669387e-55,3.11661705094952e-39,2.8593824273458114e-77,7.758588255458803e-79,1.975716675700398e-62,6.879690111700516e-41,1.318810533459533e-78,5.610909498630833e-78,3.418773338899947e-66,4.148575848809415e-36,3.2149925854148288e-49,2.649413404364729e-76,3.252494338553302e-87,3.553580820318935e-70,3.993814585911572e-51,1.1715827112118352e-98,1.0788184794358909e-82,1.0938988418096735e-94,1.0176621491067094e-81,4.445892110505893e-88,2.8920740347904363e-40,1.6901052833089986e-60,6.083082399915907e-57,2.8239739833029956e-83,3.1427567645112064e-95,8.039720596410963e-65,8.236731300929629e-63,7.639553597315662e-84,3.0768873443367414e-62,7.844503157705151e-54,3.8342212234594993e-88,9.261137123550063e-55,7.204538110862901e-87,5.653415040468778e-82,2.7436382746206606e-89,2.206642024890733e-87,9.824002291673843e-78
3.8679287574100465e-16,0.8943254190319967,3.76,0.0,0.879467643265677,0.9999999999999244,7.073537567620188e-32,4.1139321347110035e-42,7.249502398517308e-28,1.6143912455658898e-13,7.561497514615514e-14,1.2962584240414808e-25,4.3779415193217766e-23,8.582414910382731e-14,4.403829176476136e-18,8.512258886280164e-25,4.500822123815047e-19,2.160900780337004e-25,1.7311562442081687e-29,5.497612038668056e-36,1.9534676505750177e-31,2.696135611620369e-35,6.090088063852576e-35,5.716975854326591e-25,1.3093863530802396e-49,1.1925368896958197e-48,9.656009084718228e-57,2.877811107780615e-73,4.40369721860364e-18,9.079956398393882e-26,4.555998640231426e-40,2.4510828625634253e-41,7.520711381574456e-39,1.541361459629033e-33,6.529778987060796e-35,1.4373224811259658e-62,1.522714503859282e-59,6.304578039265343e-71,1.3271302291080869e-74,8.679399271187064e-54,2.5008886595718967e-38,1.841187398224819e-75,4.990781868988505e-77,6.353607968344711e-61,5.528295040913895e-40,8.492119882544942e-77,3.61326125886908e-76,1.0994263192180642e-64,3.3289707799802487e-35,5.160777978033788e-48,1.7042594583995336e-74,4.1844963025141394e-85,1.2006291435045061e-68,6.410956859452528e-50,3.0252234687338093e-96,7.135996009779948e-81,1.4116246642614673e-92,6.6498334609836606e-80,5.719950767351873e-86,2.3207064857455612e-39,2.840154096445605e-59,9.77800624629279e-56,1.8300074482546795e-81,4.055579280946284e-93,2.5851033893949086e-63,2.6446429964362386e-61,9.858436858139966e-82,9.879236060727957e-61,1.2609806519890593e-52,4.9478572440870695e-86,1.4866173504889217e-53,9.297074448398255e-85,3.643906677838078e-80,3.5405197551968124e-87,1.4906726019452866e-85,6.321401385599766e-76
