Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125)
0.0,0.6865324184023497,3.76,0.0,0.8421574641696887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.725122715951319e-17,0.6865324184023497,3.76,0.0,0.8421574641696885,0.9999999999999998,5.902680022967605e-37,2.5713289617873064e-50,1.961663214911973e-34,2.2885523032233937e-16,2.1173621018887044e-16,2.119565997751049e-28,1.4141803596672246e-27,1.711902012622523e-17,1.162602881521555e-22,1.3282021216434523e-28,1.720059153771351e-23,1.6739183027393606e-29,4.160809552909417e-35,8.41765250287511e-43,2.3522714432596928e-36,2.167990836593519e-42,3.679863974807647e-40,7.745592984517371e-29,3.7172699752695253e-59,2.2037188361116058e-58,6.199181517957437e-68,3.651231746379364e-88,1.1625720255496876e-22,1.148548573824666e-30,1.9860321908844894e-45,3.723638759721088e-48,5.660342522646274e-44,1.0167530921129005e-38,4.257309465059295e-40,2.4354535314102934e-73,8.05873181657093e-70,3.0125701197381522e-83,1.3990455813003555e-87,1.4437005975834877e-62,9.804036413784534e-53
2.7230343604663696e-16,0.6865324184023497,3.76,0.0,0.8421574641696881,0.9999999999999994,7.007664436463169e-36,3.0526817141868033e-49,1.1848445737485691e-33,6.407946449116242e-16,5.928613885289725e-16,1.280217859287713e-27,8.541649369979146e-27,4.793325633889999e-17,3.2553879944668427e-22,8.022340820001831e-28,4.8165862103769253e-23,1.011046649706607e-28,2.5131292225945336e-34,9.99363960594387e-42,1.4207977037043761e-35,2.573838720045139e-41,4.3687344677627444e-39,4.6783381625966545e-28,8.318910844765965e-58,6.696198562539292e-57,3.4456495999550917e-66,3.189912968993214e-86,3.255201624396811e-22,6.93723323547833e-30,2.3578185366495396e-44,4.420704073802816e-47,6.719958281085722e-43,1.2070890364010404e-37,5.0542987552229027e-39,1.481605634843103e-71,4.344719451513009e-68,2.9536362580648213e-81,1.3716763695220652e-85,3.22951425710605e-61,2.19312325455578e-51
6.224078538208845e-16,0.6865324184023499,3.76,0.0,0.8421574641696873,0.9999999999999987,6.880167684442866e-35,2.997140946065379e-48,5.704516508090055e-33,1.4646734741264892e-15,1.3551117452097168e-15,6.1636978711512415e-27,4.112436482295919e-26,1.0956172870612692e-16,7.441357925182997e-22,3.862411777652226e-27,1.1011322642852701e-22,4.867754347144638e-28,1.2099637887925126e-33,9.811903351628837e-41,6.840784274080913e-35,2.527010115538951e-40,4.289249242979354e-38,2.252418439819846e-27,1.643988967918027e-56,1.4792504182942028e-55,1.5326965183017045e-64,3.1629183927329907e-84,7.440460633521812e-22,3.339979027048104e-29,2.3149225925520385e-43,4.3402737404896435e-46,6.597694122816702e-42,1.1851266770453228e-36,4.962384883190367e-38,6.68867568606371e-70,2.101567642639662e-66,2.8577754038191017e-79,1.3271582743061125e-83,6.38103109012665e-60,4.333239923877836e-50
1.3226166893693795e-15,0.6865324184023499,3.76,0.0,0.8421574641696856,0.9999999999999971,6.0854308670763856e-34,2.6509371127639604e-47,2.491312158035107e-32,3.1124311327014023e-15,2.8796124585733677e-15,2.691848765158064e-26,1.7960090530404455e-25,2.3281867320809057e-16,1.5814896605914604e-21,1.6868167026640187e-26,2.3407524784831284e-22,2.1258761646826267e-27,5.284231925831061e-33,8.678552576884131e-40,2.9877728447337935e-34,2.2351118253440565e-39,3.7937920639054885e-37,9.836903089532854e-27,2.9256431748647192e-55,2.759881075088568e-54,5.748937889456328e-63,2.4943782155205117e-82,1.5810977897494897e-21,1.4586564556021593e-28,2.0475270363121857e-42,3.838923433839679e-45,5.835584371830159e-41,1.0482302408907346e-35,4.389252204491784e-37,2.5255163496770306e-68,8.161604614886686e-65,2.2253141799903196e-77,1.0334414709809461e-81,1.1354899536655624e-58,7.710761576214741e-49
2.7230343604663694e-15,0.6865324184023497,3.76,0.0,0.8421574641696823,0.9999999999999941,5.115171494256662e-33,2.2282721849073513e-46,1.0400737241335422e-31,6.4079464504319615e-15,5.9286138853093195e-15,1.1237938452204167e-25,7.497984233323194e-25,4.793325612820565e-16,3.256836924455089e-21,7.042127722545102e-26,4.822684617664465e-22,8.875114122953042e-27,2.2060646229262565e-32,7.294860214720845e-39,1.2475221473207524e-33,1.8787461574383648e-38,3.188910279397094e-36,4.106713399667232e-26,4.934721907023456e-54,4.758818314443691e-53,1.987995845758476e-61,1.766409839188351e-80,3.2552009408333953e-21,6.089602440022053e-28,1.721076944060376e-41,3.226847231871004e-44,4.9051579914278924e-40,8.810991912488555e-35,3.689563803292377e-36,8.76218717551858e-67,2.867249928526342e-63,1.565719922432925e-75,7.271239755333213e-80,1.9152357380306794e-57,1.3005301641975475e-47
5.5238697026603494e-15,0.68653241840235,3.76,0.0,0.8421574641696757,0.999999999999988,4.1937266922088904e-32,1.8268718532396735e-45,4.249040038266425e-31,1.2998977088216e-14,1.2026616738815813e-14,4.59106433763716e-25,3.0631711977781074e-24,9.723603337101434e-16,6.6100895630322816e-21,2.8769389858720613e-25,9.797315738968066e-22,3.6257733924125385e-26,9.012508626126255e-32,5.980772497123821e-38,5.098052895202132e-33,1.5403095968704122e-37,2.6144604180165534e-35,1.6777264222054767e-25,8.105427515691291e-53,7.900379446081536e-52,6.6099650717526e-60,1.1882341849862456e-78,6.6034060361588e-21,2.487800376205377e-27,1.4110545007323173e-40,2.645565584759784e-43,4.021541117513377e-39,7.223759124964557e-34,3.0251451864507444e-35,2.9181726548052703e-65,9.605710008994558e-62,1.0498223293690536e-73,4.875395612012609e-78,3.1459971240499364e-56,2.1361165575727684e-46
1.1125540387048309e-14,0.68653241840235,3.76,0.0,0.8421574641696625,0.9999999999999758,3.3961886040625576e-31,1.4794476887115868e-44,1.717529521589318e-30,2.6181038373075774e-14,2.4222622445967182e-14,1.8557814443488397e-24,1.2381827621225232e-23,1.9584158636869386e-15,1.332682728343204e-20,1.1629047624535985e-24,1.9789645351726634e-21,1.4655953219536278e-25,3.6430120648759777e-31,4.843386515387535e-37,2.061941531699098e-32,1.2473826272363144e-36,2.117256380106805e-34,6.781638441366265e-25,1.3139265142349252e-51,1.2874463927247985e-50,2.1558328447788608e-58,7.79494168947563e-77,1.3299811399443512e-20,1.0056079452846245e-26,1.1427273701151421e-39,2.1424496515141002e-42,3.2567421707761713e-38,5.849947936072231e-33,2.4501938769952896e-34,9.52539170771971e-64,3.144489797937689e-60,6.875750979290105e-72,3.193107435725074e-76,5.10049936653889e-55,3.46271059296369e-45
2.232888175582423e-14,0.6865324184023501,3.76,0.0,0.8421574641696362,0.9999999999999514,2.7335480126853656e-30,1.1907873993639372e-43,6.906107464436544e-30,5.254516097996213e-14,4.861463386082345e-14,7.462014234716594e-24,4.978678333433036e-23,3.9305268641230125e-15,2.680123249597817e-20,4.675989113048614e-24,3.994657404495039e-21,5.893092284564243e-25,1.4648487632844237e-30,3.898379181939087e-36,8.300843856319534e-32,1.0040020267927252e-35,1.7041497957042698e-33,2.726866988481634e-24,2.116011166486169e-50,2.078817815801919e-49,6.964424893684362e-57,5.050538268725324e-75,2.6692602816576737e-20,4.0434993422805366e-26,9.197967489115632e-39,1.724433168271499e-41,2.6212996229646774e-37,4.7084834606240816e-32,1.9726972316628146e-33,3.078435623755955e-62,1.0176872897455968e-58,4.4513076239506544e-70,2.0671865487490016e-74,8.21645954669653e-54,5.576503634310783e-44
4.473556449337607e-14,0.6865324184023507,3.76,0.0,0.8421574641695835,0.9999999999999026,2.1935000526880685e-29,9.555305955903289e-43,2.769655408006584e-29,1.0527340634240207e-13,9.739865669274999e-14,2.992600385856977e-23,1.9966726116929365e-22,7.874748626925119e-15,5.3913761998177735e-20,1.875280941201186e-23,8.094950919903366e-21,2.3633919401983343e-24,5.874775987821468e-30,3.1282032745327875e-35,3.3369243625886533e-31,8.056483461999315e-35,1.3674691380037474e-32,1.0935956228339341e-23,3.396553780137912e-49,3.3413078457150695e-48,2.2391948485805524e-55,3.25226211604694e-73,5.3478108413324045e-20,1.621619291725837e-25,7.381276658361868e-38,1.3837543121589882e-40,2.1034121260744564e-36,3.7781594251833762e-31,1.5838768860606728e-32,9.899746584922236e-61,3.275037021658033e-57,2.865156960342733e-68,1.3305702816483465e-72,1.3196500993826001e-52,8.951250380185876e-43
