Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14)
0.0,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,2.6665900766884505e-39,1.7898440972165936e-58,1.7043125409910319e-41,1.2679527285588604e-18,1.2674792484099073e-18,5.0325516000368696e-29,1.1675842771119448e-30,4.734802000211614e-22,1.6264652385412798e-31,1.102487321845267e-30,4.176136113794849e-29,3.029303841284339e-32,3.2089809179213882e-46,1.1434580065124263e-48,3.8367304155378123e-44,8.172395717616104e-46,2.505387979869002e-47
3.0000000000000002e-15,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,2.252996515451268e-38,1.5122354881529433e-57,8.556344110826117e-41,3.1310669418206163e-18,3.12989773586994e-18,2.5265463106052994e-28,5.8617496269931295e-30,1.1692062070577548e-21,8.165519355494709e-31,5.534936351002411e-30,1.0336833540721375e-28,1.5208341667114933e-31,9.709272289933369e-45,9.661058383108831e-48,1.1608626312478003e-42,6.904840437176883e-45,2.1167980068750903e-46
7e-15,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,3.520987281785118e-37,2.3633234386929053e-56,5.265976508750638e-40,8.202877854933833e-18,8.199814729514515e-18,1.5549557307730316e-27,3.6075971068645055e-29,3.063126997213388e-21,5.025445639642902e-30,3.406460828605335e-29,2.7250067730936037e-28,9.359930447373223e-31,6.3431435218678e-44,1.5098316285645822e-46,7.58400636484597e-42,1.079089776585795e-43,3.308137478695354e-45
1.5e-14,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,3.480607455062313e-36,2.336218282847364e-55,2.4994248829460292e-39,1.834649967787735e-17,1.8339648716818136e-17,7.380390881744864e-27,1.712298053939201e-28,6.850968548478591e-21,2.385261044010054e-29,1.6168314088346805e-28,6.168703144550695e-28,4.442566591449849e-30,6.009053982422096e-43,1.492516619395517e-45,7.184561338151806e-41,1.06671439989164e-42,3.2702022422368676e-44
3.1e-14,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,3.053746193693533e-35,2.0497016504815253e-54,1.0808108830347558e-38,3.863374331063269e-17,3.8619316691483256e-17,3.1914592645501404e-26,7.404390289162154e-28,1.4426651534824742e-20,1.0314444897152661e-28,6.991569616015193e-28,1.3300294013912725e-27,1.92107300496959e-29,5.36756972533473e-42,1.3094751309061037e-44,6.417588216992904e-40,9.358926374105214e-42,2.8691512722919986e-43
6.300000000000001e-14,0.5018043279445346,3.76,0.0,0.929590468281897,1.0,2.5522933044059695e-34,1.7131168021055872e-53,4.487754852319213e-38,7.920823052361663e-17,7.917865264104502e-17,1.3251631926527058e-25,3.07446360827868e-27,2.957801704278005e-20,4.282781566478435e-28,2.903051630042271e-27,2.8540268200757937e-27,7.976711604547553e-29,4.5440546594214246e-41,1.094448380371262e-43,5.4329749384701606e-39,7.822104865801089e-41,2.3980209292855757e-42
1.2700000000000001e-13,0.5018043279445346,3.76,0.0,0.9295904682818968,0.9999999999999999,2.085956095097888e-33,1.4000995619742227e-52,1.8282434602302284e-37,1.6035720473947757e-16,1.602973245410947e-16,5.398530428338726e-25,1.2524936598922348e-26,5.988074619974284e-20,1.7447456535857132e-27,1.1826629114236451e-26,6.292738590557105e-27,3.249600733142341e-28,3.739273507382505e-40,8.944800100778301e-43,4.4707603665420646e-38,6.392903332244526e-40,1.9598882528660577e-41
2.55e-13,0.5018043279445346,3.76,0.0,0.9295904682818967,0.9999999999999998,1.686502322006095e-32,1.13197132703519e-51,7.3794666088625994e-37,3.226551523307718e-16,3.2253466834489836e-16,2.1790593949676822e-24,5.055557232906421e-26,1.204861970778785e-19,7.04248064685347e-27,4.7736936986227876e-26,1.473302949487933e-26,1.3116663206412763e-27,3.033722367645799e-39,7.231925930289434e-42,3.627187471780813e-37,5.168681373604127e-39,1.5846034836476568e-40
5.11e-13,0.5018043279445346,3.76,0.0,0.9295904682818964,0.9999999999999994,1.3563151763900339e-31,9.103293745408327e-51,2.9650825498223996e-36,6.472510441516513e-16,6.470093559673232e-16,8.755602308665137e-24,2.0313555815422844e-25,2.416970690910014e-19,2.8297148015366626e-26,1.9181016685943646e-25,3.7865077804247745e-26,5.270356879904632e-27,2.444026123772385e-38,5.816085031047217e-41,2.9221333557944122e-36,4.15674252373974e-38,1.2744104262237548e-39
1e-12,0.5018043279445346,3.76,0.0,0.9295904682818957,0.9999999999999988,1.0451230553535539e-30,7.014300904721135e-50,1.1485953260570212e-35,1.2672799027948602e-15,1.2668067085527037e-15,3.391770414684527e-23,7.869122316703542e-25,4.732286602067813e-19,1.096183287446089e-25,7.4304013148966155e-25,1.0593343751317255e-25,2.041643204130729e-26,1.884903680756676e-37,4.481709665798816e-40,2.2536340103412595e-35,3.2030174655926042e-37,9.820780608693628e-39
1.023e-12,0.5018043279445346,3.76,0.0,0.9295904682818957,0.9999999999999988,1.087900775941355e-30,7.301399770148838e-50,1.1886730410564485e-35,1.2964428143465858e-15,1.2959587312714435e-15,3.510119768933636e-23,8.143700302201924e-25,4.841186941447423e-19,1.1344325135559576e-25,7.689671032411854e-25,1.0913501680418538e-25,2.1128824124563448e-26,1.962064262704993e-37,4.665150006784428e-40,2.345888970503881e-35,3.33411949811618e-37,1.022275712034354e-38
2.047e-12,0.5018043279445346,3.76,0.0,0.9295904682818944,0.9999999999999974,8.714600320679004e-30,5.848198810662144e-49,4.7598018959578034e-35,2.5948263009492496e-15,2.593857482116764e-15,1.405623363883941e-22,3.261134119670206e-24,9.689614683629176e-19,4.542823650514541e-25,3.0793230434921493e-24,3.516980753556345e-25,8.460989406133946e-26,1.5723932224198237e-36,3.737112761209536e-39,1.879989677255658e-34,2.670779856597873e-36,8.190046101600923e-38
4.095e-12,0.5018043279445348,3.76,0.0,0.9295904682818918,0.9999999999999949,6.976226424486904e-29,4.6807005094517175e-48,1.904804773805949e-34,5.191593059006503e-15,5.189654984755722e-15,5.625636833367238e-22,1.3051820029193058e-23,1.938645113247743e-18,1.818146881329492e-24,1.232420448149248e-23,1.2369154028842824e-24,3.386269032900846e-25,1.2590118115689343e-35,2.9918106535451496e-38,1.5053041438680205e-33,2.1380047865002391e-35,6.558124355869444e-37
8.191e-12,0.5018043279445346,3.76,0.0,0.9295904682818866,0.9999999999999897,5.5827790714517525e-28,3.744311868969642e-47,7.6198823231804195e-34,1.0385125714534678e-14,1.0381249993826903e-14,2.250876877868612e-21,5.2221639967232105e-23,3.8780047888569e-18,7.274610356092794e-24,4.931065588754577e-23,4.6077028054848345e-24,1.3548670200419263e-24,1.0076478462063802e-34,2.3944932151610184e-37,1.2047683118457093e-32,1.7109350414629958e-34,5.251094474990663e-36
1e-11,0.5018043279445346,3.76,0.0,0.9295904682818843,0.9999999999999873,1.42140216217743e-27,9.528059773172865e-47,1.2666210353644851e-33,1.267885068042634e-14,1.267411996090055e-14,3.7422909780428966e-21,8.682317483561458e-23,4.734517021638714e-18,1.2094733919805446e-23,8.198389422293195e-23,7.509983845475234e-24,2.2525650738869772e-24,2.565630980476253e-34,6.097461622366063e-37,3.0675338657527326e-32,4.356052203006152e-34,1.3379801374619045e-35
1.6383e-11,0.5018043279445346,3.76,0.0,0.9295904682818762,0.9999999999999792,4.466909138336015e-27,2.9935833610944647e-46,3.0472021198561627e-33,2.0772187583293378e-14,2.0764440027142167e-14,9.004699049581014e-21,2.0891360991846992e-22,7.75669368379809e-18,2.910238936877052e-23,1.9727039521506562e-22,1.7750591848934997e-23,5.420064619322553e-24,8.062925809688302e-34,1.9163269993394134e-36,9.640243943468886e-32,1.3689265493293578e-33,4.206168978828844e-35
