Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637)
2.6903843819254296e-14,0.712645552629796,3.76,0.0,0.6347400369279056,0.9999999999998117,4.3786746381049734e-29,2.1124926257256747e-41,3.9495125010166998e-28,2.2400533246948198e-13,1.882895025569209e-13,2.8581296843245625e-23,7.299087122784094e-22,3.5715826616881616e-14,4.541225918605898e-19,3.645235488721357e-23,7.745069315014869e-20,5.8564243265631434e-24,3.567565307857932e-29,1.9384141986793345e-34,1.2791685093721138e-30,2.9905808263297796e-34,4.031413909574382e-32,1.869585035460888e-23,7.598727154659917e-48,6.185809557553791e-47,4.827456736549535e-54,3.577768709951487e-71,4.528039300754784e-19,8.004278186270212e-25,2.2579816643249287e-37,9.876005946300861e-40,5.550869961979734e-36,1.1101036749714837e-30,4.641699185575628e-32,2.498723168651601e-59,4.356985909808634e-56,8.434369604223201e-67,6.179044768777835e-71,1.9337100994103453e-51,3.003982705278619e-42,2.2798849513201063e-75,3.2908805146932756e-82
5.383106195981116e-14,0.7126455526298007,3.76,0.0,0.6347400369276814,0.9999999999996233,3.5056019856299026e-28,1.6912776775365886e-40,1.5808327264308584e-27,4.482052854852402e-13,3.7674259284727655e-13,1.1439959528770792e-22,2.9215369124546567e-21,7.146267944665716e-14,9.112774260330143e-19,1.45904445935439e-22,1.5636849395232644e-19,2.344093173072972e-23,1.427976939409319e-28,1.5519097976247378e-33,5.131695113190535e-30,2.3942828570133024e-33,3.227572370468587e-31,7.483212385904512e-23,1.2167371440438217e-46,9.908398166938502e-46,1.5465854586288718e-52,2.2929555276686328e-69,9.059993426236354e-19,3.203786424142303e-24,1.8078329449147748e-36,7.906817432301302e-39,4.443872955518458e-35,8.887293849812046e-30,3.7187442623643717e-31,8.005748578198914e-58,1.3962492990181813e-54,5.405758679550183e-65,3.9602699617598787e-69,3.09764643597437e-50,4.810104730377478e-41,2.9229580398694265e-73,4.222783547243464e-80
1.076854982409249e-13,0.7126455526298101,3.76,0.0,0.634740036927233,0.9999999999992464,2.805546772268568e-27,1.3535347008924046e-39,6.325377658601669e-27,8.966051991211734e-13,7.53648773372255e-13,4.577467765686244e-22,1.1689952058239125e-20,1.429563729665121e-13,1.833503617856103e-18,5.8380806362269225e-22,3.184053706285779e-19,9.379403721630545e-23,5.713936493949221e-28,1.241999087394081e-32,2.062699497261447e-29,1.916153628568795e-32,2.583022768206534e-30,2.9942596597797736e-22,1.9474126544596218e-45,1.5862304761758875e-44,4.951947591546616e-51,1.4685314570084598e-67,1.8123844113001123e-18,1.2819232190353622e-23,1.446935279695769e-35,6.327869218580057e-38,3.556131777019292e-34,7.112079246215221e-29,2.9802268851681866e-30,2.5633963137478414e-56,4.471227727770706e-53,3.462021575931981e-63,2.5362774218307062e-67,4.9620637837416546e-49,7.698719147912817e-40,3.744395612908274e-71,5.418898705701092e-78
2.1539437080315235e-13,0.712645552629829,3.76,0.0,0.6347400369263362,0.9999999999984925,2.2448632916883494e-26,1.0830310815951591e-38,2.5305530440577557e-26,1.7934050568107139e-12,1.5074611341992795e-12,1.8312802366450758e-21,4.676741171412171e-20,2.8594371144745605e-13,3.709622084665879e-18,2.335614252073191e-21,6.592842112804991e-19,3.752354401228005e-22,2.2860816568936997e-27,9.937872854915165e-32,8.326977465526823e-29,1.5332135079161361e-31,2.066784976134664e-29,1.1978988158809042e-21,3.1159836967082144e-44,2.538671905338487e-43,1.5850789279046634e-49,9.40219073379378e-66,3.625131523271531e-18,5.128458299093136e-23,1.1579592103822917e-34,5.063276368850318e-37,2.8449382750348186e-33,5.69001297371244e-28,2.3911963628432765e-29,8.205245383496092e-55,1.431313267337573e-51,2.2162497659847936e-61,1.6236162325997262e-65,7.953118444105681e-48,1.2318597917829826e-38,4.794740341481301e-69,6.962999225890448e-76
4.3081211592760726e-13,0.7126455526298668,3.76,0.0,0.6347400369245426,0.999999999996985,1.7960605359768248e-25,8.665034078428156e-38,1.0122956767890718e-25,3.587004893860549e-12,3.015085854961592e-12,7.325677626676052e-21,1.8708480354380734e-19,5.719181941744286e-13,7.588523264945003e-18,9.343232126822527e-21,1.4082621378768148e-18,1.5010496476448629e-21,9.146150871304974e-27,7.951042035931832e-31,3.3909360144838175e-28,1.2266864298686113e-30,1.65354386964562e-28,4.7919850601455914e-21,4.984446906275951e-43,4.0624168516310564e-42,5.0729541619721546e-48,6.018884100874828e-64,7.250533648070657e-18,2.0514948217446246e-22,9.267609742216603e-34,4.051037016671028e-36,2.275355124889545e-32,4.5512732896296606e-27,1.9236350801012672e-28,2.625985617337176e-53,4.581056941029582e-50,1.4183322661174163e-59,1.0390538588600495e-63,1.2765327703257728e-46,1.9705813839768413e-37,6.138459677347077e-67,8.975899266302507e-74
8.616476061765171e-13,0.7126455526299422,3.76,0.0,0.6347400369209554,0.9999999999939697,1.4369156492523627e-24,6.932296737221924e-37,4.0492840899842907e-25,7.1742050546436865e-12,6.030335292919225e-12,2.930358692874933e-20,7.483691177598591e-19,1.1438663826898989e-12,1.5852981924184048e-17,3.7374567349543104e-20,3.1750981409997197e-18,6.004328743774101e-21,3.659473259676516e-26,6.361117721740329e-30,1.4043307168355866e-27,9.813943862942143e-30,1.3228321254125689e-27,1.9168718780899005e-20,7.970295217949584e-42,6.500233862952307e-41,1.6234398972492757e-46,3.852986614632659e-62,1.4500969520152514e-17,8.205869570337123e-22,7.419323381816125e-33,3.241033549314472e-35,1.8190731497911728e-31,3.639321768529676e-26,1.5557635098089095e-27,8.403176122175795e-52,1.4660887994217933e-48,9.073969743847742e-58,6.647344709345396e-62,2.0550489043967238e-45,3.151188485142769e-36,7.857906391811879e-65,1.1647554903931747e-71
1e-12,0.7126455526300934,3.76,0.0,0.6347400369198035,0.9999999999930014,3.051964344278709e-24,1.4723842749856472e-36,5.999750006015877e-25,8.326147908166492e-12,6.99860969503105e-12,4.341877091844749e-20,1.1088591465505079e-18,1.327533206415273e-12,1.8832312808078227e-17,5.53781144352697e-20,3.915162417312081e-18,8.896477911885578e-21,5.423357909461299e-26,1.3510782389992793e-29,2.142329743620749e-27,2.084449570274722e-29,2.809487868972198e-27,2.840232279358168e-20,2.714002336840855e-41,2.21558099619903e-40,9.722255069717635e-46,4.7244465640114685e-61,1.682903501287752e-17,1.2158081713047948e-21,1.577093696508959e-32,6.883989231883242e-35,3.8603316864695117e-31,7.725016276955115e-26,3.347446869316163e-27,5.0223407998253686e-51,9.514673990838795e-48,1.0991815784128865e-56,8.051990724362951e-61,7.068820415097724e-45,1.0731094440896882e-35,1.6844472686642954e-63,2.5614502465722868e-70
1.7233185866743368e-12,0.7126455526300934,3.76,0.0,0.634740036913781,0.9999999999879392,1.1495582175619827e-23,5.545873640885085e-36,1.6196958820056463e-24,1.4348607322947449e-11,1.206083415456612e-11,1.172142048240065e-19,2.993532992293434e-18,2.2877596519764424e-12,3.4408518933741725e-17,1.4950225550208173e-19,7.784284097081418e-18,2.4016890294476972e-20,1.4645103313929565e-25,5.088986344610996e-29,6.000654115675636e-27,7.851319912384836e-29,1.058185596167605e-26,7.667642358641166e-20,1.273610624811251e-40,1.0400455044693188e-39,5.206357915089297e-45,2.740989667806188e-60,2.900036790670224e-17,3.2820597353724424e-21,5.943391356100469e-32,2.592968466809506e-34,1.453221237449628e-30,2.908538956538453e-25,1.2714526393940535e-26,2.688632896730976e-50,5.159339127571174e-47,6.371405180270164e-56,4.6673221661995324e-60,3.328126259123562e-44,5.035951511018831e-35,1.008006868251732e-62,1.5343994832901589e-69
3.446660547669976e-12,0.7126455526303956,3.76,0.0,0.6347400368994321,0.9999999999758782,9.196549482465419e-23,4.436598944378928e-35,6.478443802805872e-24,2.8697419646533797e-11,2.4121831820783288e-11,4.688413684125783e-19,1.1974218716680648e-17,4.575533759647937e-12,7.962602768829e-17,5.980226605026149e-19,2.1304658610014865e-17,9.606123254421927e-20,5.863630924405416e-25,4.071191602379628e-28,2.706863109875252e-26,6.281096014075755e-28,8.463902004484508e-26,3.067087221343407e-19,2.032482367623262e-39,1.6640110852564756e-38,1.666078526532673e-43,1.7579362385667425e-58,5.799327246870251e-17,1.3125534121205748e-20,4.767165766615813e-31,2.074527368551763e-33,1.1592886027456655e-29,2.3220915412840217e-24,1.0599462111108184e-25,8.600943376018321e-49,1.6557593059064447e-45,4.087266221029781e-54,2.9938416440666087e-58,5.452874911909123e-43,8.038228911761844e-34,1.29031367953439e-60,2.0669831850781815e-67
6.893344469661254e-12,0.712645552631,3.76,0.0,0.6347400368707344,0.9999999999517561,7.357242599590334e-22,3.5490560104255143e-34,2.5910662519379794e-23,5.7395075441852965e-11,4.824382692488588e-11,1.875213267993902e-18,4.789683799270775e-17,9.151032251992585e-12,2.0248643191224707e-16,2.39216323787902e-18,6.55529924585037e-17,3.8418844961841296e-19,2.349888300393493e-24,3.256899399463492e-27,1.3280142104953866e-25,5.02485148707497e-27,6.768469755495723e-25,1.2268403908248953e-18,3.235096672134855e-38,2.6621499629366344e-37,5.330874237338762e-42,1.1262148091655978e-56,1.1595552249906612e-16,5.247970685792355e-20,3.833365163400408e-30,1.6598360018248824e-32,9.221933786122158e-29,1.8500977288522152e-23,9.15990126889959e-25,2.7505097071749363e-47,5.299336999879424e-44,2.6066108822746055e-52,1.9089708671530732e-56,9.133107377587328e-42,1.2799529177165438e-32,1.6514315090670623e-58,2.9072042318703046e-65
