Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36)
0.0,0.6049222898655571,3.76,0.0,0.974387468370936,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.6049222898655571,3.76,0.0,0.9743874683709359,0.9999999999999998,0.0,0.0,0.0,1.0638950339710466e-16,1.063895033990273e-16,1.92266078575174e-27
2.8e-15,0.604922289865557,3.76,0.0,0.9743874683709357,0.9999999999999997,0.0,0.0,0.0,2.9789060950566355e-16,2.9789060951727637e-16,1.1612871041654751e-26
6.4e-15,0.6049222898655571,3.76,0.0,0.9743874683709354,0.9999999999999993,0.0,0.0,0.0,6.808928216978632e-16,6.808928217537742e-16,5.591097408537422e-26
1.36e-14,0.6049222898655571,3.76,0.0,0.9743874683709346,0.9999999999999986,0.0,0.0,0.0,1.4468972459825908e-15,1.4468972462267686e-15,2.4417790362617884e-25
2.8e-14,0.604922289865557,3.76,0.0,0.974387468370933,0.999999999999997,0.0,0.0,0.0,2.9789060941533582e-15,2.9789060951727527e-15,1.0193946031269537e-24
5.68e-14,0.6049222898655571,3.76,0.0,0.9743874683709299,0.9999999999999939,0.0,0.0,0.0,6.042923788900142e-15,6.042923793064701e-15,4.1645589366509e-24
1.144e-13,0.6049222898655571,3.76,0.0,0.9743874683709238,0.9999999999999878,0.0,0.0,0.0,1.2170959172014715e-14,1.2170959188848523e-14,1.68338079245561e-23
2.296e-13,0.6049222898655571,3.76,0.0,0.9743874683709116,0.9999999999999756,0.0,0.0,0.0,2.44270299127279e-14,2.4427029980415863e-14,6.768795984596673e-23
4.600000000000001e-13,0.6049222898655571,3.76,0.0,0.9743874683708871,0.999999999999951,0.0,0.0,0.0,4.8939171292090665e-14,4.893917156354932e-14,2.7145866076902577e-22
9.208e-13,0.604922289865557,3.76,0.0,0.974387468370838,0.999999999999902,0.0,0.0,0.0,9.796345364256348e-14,9.796345472981137e-14,1.0872479013262876e-21
1e-12,0.6049222898655571,3.76,0.0,0.9743874683708296,0.9999999999998935,0.0,0.0,0.0,1.0638950203121528e-13,1.0638950339901097e-13,1.3677956687575889e-21
1.8424000000000003e-12,0.6049222898655571,3.76,0.0,0.97438746837074,0.9999999999998039,0.0,0.0,0.0,1.9601201671051223e-13,1.96012021062316e-13,4.3518037405268975e-21
3.6856e-12,0.604922289865557,3.76,0.0,0.9743874683705439,0.9999999999996079,0.0,0.0,0.0,3.9210913631453445e-13,3.9210915372724736e-13,1.741271287912406e-20
7.372e-12,0.6049222898655571,3.76,0.0,0.9743874683701517,0.9999999999992156,0.0,0.0,0.0,7.84303349395973e-13,7.843034190567982e-13,6.966082525062574e-20
1e-11,0.604922289865557,3.76,0.0,0.9743874683698721,0.9999999999989361,0.0,0.0,0.0,1.0638948898327124e-12,1.0638950339885532e-12,1.4415584088393942e-19
1.47448e-11,0.604922289865557,3.76,0.0,0.9743874683693673,0.9999999999984313,0.0,0.0,0.0,1.5686916710595927e-12,1.5686919497146536e-12,2.7865506089038805e-19
2.9490400000000004e-11,0.604922289865557,3.76,0.0,0.9743874683677985,0.9999999999968625,0.0,0.0,0.0,3.137467896447117e-12,3.1374690110253767e-12,1.1145782597735545e-18
5.89816e-11,0.6049222898655571,3.76,0.0,0.974387468364661,0.9999999999937249,0.0,0.0,0.0,6.275018675921704e-12,6.27502313362687e-12,4.45770516581874e-18
9.999999999999999e-11,0.604922289865557,3.76,0.0,0.974387468360297,0.999999999989361,0.0,0.0,0.0,1.0638936585665248e-11,1.0638950339738519e-11,1.3754073269918971e-17
1.17964e-10,0.604922289865557,3.76,0.0,0.9743874683583859,0.9999999999874498,0.0,0.0,0.0,1.2550113553334223e-11,1.2550131378750029e-11,1.7825415804538965e-17
2.359288e-10,0.604922289865557,3.76,0.0,0.9743874683458357,0.9999999999748995,0.0,0.0,0.0,2.5100276611302005e-11,2.5100347868676874e-11,7.125737487096069e-17
4.718584e-10,0.604922289865557,3.76,0.0,0.9743874683207352,0.9999999999497988,0.0,0.0,0.0,5.0200496173610335e-11,5.0200780847251384e-11,2.846736410432615e-16
7.07788e-10,0.6049222898655571,3.76,0.0,0.9743874682956347,0.999999999924698,0.0,0.0,0.0,7.530060941558098e-11,7.530121382454499e-11,6.044089640378063e-16
9.437176e-10,0.604922289865557,3.76,0.0,0.9743874682705342,0.9999999998995973,0.0,0.0,0.0,1.0040061656999264e-10,1.0040164680055604e-10,1.0302305634171986e-15
