Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28)
0.0,0.691693655339037,3.76,0.0,0.6115216493961995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.794819831389865e-17,0.6916936553390369,3.76,0.0,0.6115216493961994,0.9999999999999999,1.2296531312639648e-37,2.977522603191834e-50,3.0429060285342754e-34,1.8343699896564514e-16,1.6073408147814514e-16,5.559251287952103e-29,9.031449939589126e-28,2.270291748366941e-17,1.5250219424478054e-27,5.581413590834211e-29,4.2535736600883826e-23,8.28816002117082e-30,9.364603886027342e-43,3.48433493887808e-43,5.625178958692479e-42,7.714440962204041e-43,1.0876293748478648e-42,2.646524758461976e-29,1.9961367764111554e-59,1.0981111993429007e-58
1.0625495527891622e-16,0.691693655339037,3.76,0.0,0.6115216493961989,0.9999999999999996,1.4598452559021904e-36,3.534914827061143e-49,1.8379152376620913e-33,5.136235971084451e-16,4.500554281388161e-16,3.357787773265311e-28,5.454995762960601e-27,6.356816894649198e-17,9.211132531443806e-27,3.371173810157929e-28,1.1910283465036312e-22,5.00604864015963e-29,1.4151789386080544e-41,4.1366024403992476e-42,8.50077044252362e-41,9.15858430907344e-42,1.2912369008942627e-41,1.5985009540981133e-28,4.466907884689017e-58,3.3071007402088145e-57
2.4286846920895136e-16,0.691693655339037,3.76,0.0,0.6115216493961982,0.999999999999999,1.4332851925954895e-35,3.470600322292331e-48,8.84877067738852e-33,1.1739967934126002e-15,1.0286981214601982e-15,1.6166302675498334e-27,2.626345641605661e-26,1.4529867184100762e-16,4.434763807226811e-26,1.6230750741556872e-27,2.722481194208656e-22,2.410196915214708e-28,1.522384922306798e-40,4.061340807266374e-41,9.144740930054653e-40,8.991952381648045e-41,1.267745496389065e-40,7.696093997413511e-28,8.82729675664817e-57,7.286409299320852e-56
5.160954970690217e-16,0.691693655339037,3.76,0.0,0.6115216493961969,0.9999999999999979,1.2677247051274492e-34,3.0697066518842286e-47,3.8644906008630705e-32,2.49474318609513e-15,2.185983508103122e-15,7.060249063503912e-27,1.1469941414733963e-25,3.0875967750552096e-16,1.9367778654502586e-25,7.08839528041747e-27,5.785830436479696e-22,1.0525963031153275e-27,1.3993340245782508e-39,3.592209953381107e-40,8.405592415448621e-39,7.953280046205458e-40,1.1213071124998285e-39,3.361086443046277e-27,1.570887414305255e-55,1.3580382484582426e-54
1.0625495527891623e-15,0.6916936553390373,3.76,0.0,0.6115216493961942,0.9999999999999956,1.0655990729891638e-33,2.580273354274129e-46,1.6133487264909617e-31,5.13623597175707e-15,4.5005542813896055e-15,2.947514967896471e-26,4.788474750280332e-25,6.356816883364758e-16,8.085666325732172e-25,2.9592655039125176e-26,1.1914303108459557e-21,4.3943822670635754e-27,1.197159714196002e-38,3.019468916951447e-39,7.191161280583011e-38,6.68521109193073e-39,9.425264238808774e-39,1.4031874267561267e-26,2.6496248587166125e-54,2.340550098322903e-53
2.155457664229443e-15,0.6916936553390373,3.76,0.0,0.6115216493961889,0.9999999999999909,8.736425284828708e-33,2.1154639068189373e-45,6.591055752085414e-31,1.0419221544268472e-14,9.12969582796512e-15,1.204156010962791e-25,1.956248176204039e-24,1.2895257080060985e-15,3.3032585171062212e-24,1.2089565247132653e-25,2.4178345202121024e-21,1.79524846407551e-26,9.898347944349135e-38,2.4755430536772556e-38,5.94579121192471e-37,5.480939943524724e-38,7.727402044647129e-38,5.732478486291386e-26,4.3520869897482595e-53,3.884813009063272e-52
4.3412738871100054e-15,0.6916936553390374,3.76,0.0,0.6115216493961784,0.9999999999999817,7.074983795980228e-32,1.713157385111668e-44,2.664209940374225e-30,2.098519269404137e-14,1.8387978921126347e-14,4.86739089413938e-25,7.90746787815141e-24,2.597213739376196e-15,1.3352299025246055e-23,4.886795632352677e-25,4.8734816387855974e-21,7.256680703334202e-26,8.049172029633334e-37,2.0047589588706284e-37,4.835018671124155e-36,4.4386072480420835e-37,6.2578509869124436e-37,2.31715945796526e-25,7.054959218442154e-52,6.330006351433555e-51
8.712906332871129e-15,0.6916936553390377,3.76,0.0,0.6115216493961573,0.9999999999999631,5.694562478384243e-31,1.3788978895738639e-43,1.0712669574354863e-29,4.211713501258753e-14,3.690454510748959e-14,1.9571562858810663e-24,3.1795580335922535e-23,5.2125897702397985e-15,5.368900675115971e-23,1.964959082284449e-24,9.796130674981399e-21,2.9178788929553126e-25,6.49194863169242e-36,1.6136044382348653e-36,3.899617723339964e-35,3.572577229218825e-36,5.036863204775927e-36,9.317196262963096e-25,1.1361767975186126e-50,1.0220407303946069e-49
1.7456171224393378e-14,0.6916936553390384,3.76,0.0,0.611521649396115,0.9999999999999261,4.56952771763461e-30,1.1064783709157158e-42,4.2962584964613536e-29,8.438101972568126e-14,7.393767748037919e-14,7.849070581340417e-24,1.275144963109303e-22,1.0443341704460643e-14,2.153169270682326e-22,7.880365181853013e-24,1.9686847941040357e-20,1.1701995388977308e-24,5.214685848528059e-35,1.2948159693884527e-35,3.1323850329221712e-34,2.866768178652621e-35,4.0417658340795447e-35,3.7366124191135676e-24,1.823794862032474e-49,1.6426950099536056e-48
3.494270100743787e-14,0.6916936553390397,3.76,0.0,0.6115216493960305,0.999999999999852,3.661182717255688e-29,8.865286097334733e-42,1.720743402959787e-28,1.6890878945587458e-13,1.4800394222681092e-13,3.143721096794751e-23,5.107230832504869e-22,2.09048450628769e-14,8.623907713770393e-22,3.1562567797948423e-23,3.964995922760443e-20,4.6868986597740514e-24,4.180215611510712e-34,1.037428475435926e-34,2.510994326966105e-33,2.2969030076029407e-34,3.2383315147599992e-34,1.496593971031847e-23,2.922751808942955e-48,2.634270397280127e-47
6.991576057352687e-14,0.6916936553390426,3.76,0.0,0.6115216493958614,0.9999999999997039,2.9311721818159654e-28,7.097610486075117e-41,6.887450696562596e-28,3.3796433013228455e-13,2.961364717222843e-13,1.258306764087026e-22,2.0442232031011928e-21,4.182784973960793e-14,3.451810348402732e-21,1.2633255206655126e-22,8.030288865673109e-20,1.875978323914047e-23,3.347561920815976e-33,8.305736555887955e-34,2.010831986136826e-32,1.8389188809872413e-33,2.5926349451651415e-33,5.99027609414068e-23,4.67996170504824e-47,4.2196027204643586e-46
