Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121)
0.0,0.8027513287003428,3.76,0.0,0.6119543926250186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4748986752671698e-18,0.8027513287003428,3.76,0.0,0.6119543926250184,0.9999999999999999,4.57242037978249e-39,6.968385161780052e-50,2.0062857244580132e-33,2.292438370612499e-16,1.3881793820778287e-16,2.3802102977295352e-30,3.866158361670493e-28,9.042589885156898e-17,2.9995612481937982e-21,9.304619757775472e-30,4.502919667767128e-22,2.0754307033016037e-30,6.102718434282955e-35,1.3346493296839643e-43,1.0063595092311294e-36,8.871231260860933e-44,5.0854975638128885e-42,4.790262918235896e-30,1.2325184214664405e-59,6.769485181606663e-59,2.3931674514973643e-69,1.4342850559174323e-88,2.99956048505839e-21,6.564165275160751e-31,3.033356447005542e-47,6.841873705355171e-49,5.6678312806198445e-46,1.3578442512208634e-40
6.929716290748076e-18,0.8027513287003428,3.76,0.0,0.6119543926250179,0.9999999999999997,5.428397938333246e-38,8.272866873825604e-49,1.2117965774270684e-32,6.418827437739412e-16,3.886902269817231e-16,1.4376470195508622e-29,2.335159650426845e-27,2.5319251678075367e-16,8.398773964985005e-21,5.619990334099228e-29,1.2608187361460544e-21,1.2535601444154876e-29,3.686041945186624e-34,1.5846062037808236e-42,6.078413544241377e-36,1.0531925752626125e-42,6.037505163558664e-41,2.8933188026063234e-29,2.7580262606873373e-58,1.908233046608718e-57,1.2377263830555764e-67,1.3376452148810482e-86,8.398769355647142e-21,3.964755824338099e-30,3.601200783357749e-46,8.122672463902914e-48,6.728849286032821e-45,1.6120326943572327e-39
1.5839351521709887e-17,0.802751328700343,3.76,0.0,0.6119543926250172,0.9999999999999991,5.329642252701437e-37,8.122349773501637e-48,5.834278884540319e-32,1.4671605572090897e-15,8.884348045293278e-16,6.92165154163082e-29,1.1242788515405805e-26,5.787257526245655e-16,1.91972092787369e-20,2.70578342616537e-28,2.8818771915697708e-21,6.035352479520577e-29,1.774670536660932e-33,1.5558241965442713e-41,2.926496555293958e-35,1.0340307156825736e-41,5.92765944349643e-40,1.3930084566107537e-28,5.450233672700561e-57,4.118647051784343e-56,5.368597688250288e-66,1.17349918393168e-84,1.9197187086759234e-20,1.9088592592282394e-29,3.535680303995212e-45,7.974887992359646e-47,6.60642410870135e-44,1.5827032570772789e-38
3.365862198363351e-17,0.8027513287003432,3.76,0.0,0.6119543926250155,0.9999999999999981,4.7140117772405615e-36,7.18412642606987e-47,2.5479828678053023e-31,3.1177161841184487e-15,1.887923959623434e-15,3.022867073810951e-28,4.9100211189784645e-26,1.2297922242539583e-15,4.07941194269186e-20,1.1816867098618885e-27,6.124013769157336e-21,2.6357969873230756e-28,7.750452574953059e-33,1.3761281161138898e-40,1.278079754458537e-34,9.145884578943817e-41,5.2429480677249865e-39,6.083633906033016e-28,9.699083651467759e-56,7.613525136406171e-55,1.993567375191947e-64,8.776131875374448e-83,4.0794022508721776e-20,8.336489870639521e-29,3.1272692242724706e-44,7.05369811680011e-46,5.843307269890602e-43,1.399883104732556e-37
6.929716290748076e-17,0.8027513287003433,3.76,0.0,0.6119543926250122,0.9999999999999961,3.962412350944643e-35,6.038691194464732e-46,1.0637326890768993e-30,6.418827438093419e-15,3.8869022698072344e-15,1.2619874959811965e-27,2.0498371630489383e-25,2.5319251672798212e-15,8.398809780599363e-20,4.93330940119219e-27,1.2608365591292964e-20,1.1003933536074924e-27,3.2356614602329014e-32,1.156726225480703e-39,5.3357465970020794e-34,7.687667067778853e-40,4.4070139163142307e-38,2.5397973991347417e-27,1.635947632531773e-54,1.307295640227549e-53,6.862488402373215e-63,6.063402586884102e-81,8.398769319160032e-20,3.480320402957035e-28,2.628658275154543e-43,5.929058284605422e-45,4.9116517806059396e-42,1.1766860944246097e-36
1.4057424475517525e-16,0.8027513287003437,3.76,0.0,0.6119543926250056,0.9999999999999921,3.2486256055560855e-34,4.95088397745573e-45,4.345695113411433e-30,1.3021049946668362e-14,7.884858890157185e-15,5.155630680485718e-27,8.374253655098602e-25,5.136191052399854e-15,1.7037668689498997e-19,2.0154178627711557e-26,2.5577383903405963e-20,4.495465875849632e-27,1.321873347383385e-31,9.483570810578659e-39,2.179839013814664e-33,6.302813928642706e-39,3.613136311165635e-37,1.0375901090451e-26,2.6870934002624187e-53,2.165969776984239e-52,2.276772898592964e-61,4.0304374131008996e-79,1.7037503391317122e-19,1.4218244333041375e-27,2.155132969287642e-42,4.861000200626916e-44,4.026868771971858e-41,9.647183453932184e-36
2.8312840845056424e-16,0.8027513287003445,3.76,0.0,0.6119543926249924,0.9999999999999841,2.6308214650263395e-33,4.009354357323979e-44,1.7565994393346352e-29,2.6225494966318264e-14,1.5880772130786484e-14,2.0839883387689723e-26,3.385007219093523e-24,1.0344722818913153e-14,3.431563943963659e-19,8.146641258818828e-26,5.1516679198997006e-20,1.8171391646203778e-26,5.34322393560114e-31,7.680053632027604e-38,8.811358286319738e-33,5.104182126360955e-38,2.926011447303487e-36,4.194105116742048e-26,4.355929317499804e-52,3.5262070092103805e-51,7.417759688521366e-60,2.6285679416267225e-77,3.4314971277956813e-19,5.747241597724166e-27,1.7452827136193907e-41,3.936563992844992e-43,3.2610625614213352e-40,7.81253916457143e-35
5.682367358413422e-16,0.8027513287003459,3.76,0.0,0.611954392624966,0.9999999999999681,2.1175140795922782e-32,3.2270774374762334e-43,7.063209029666907e-29,5.263438501561813e-14,3.187259861176268e-14,8.37962534266991e-26,1.3610965141153664e-23,2.076178633703268e-14,6.887259266926363e-19,3.2757286359491752e-25,1.0340030447562392e-19,7.306636509761379e-26,2.1484872592004988e-30,6.181580157808625e-37,3.543089206326044e-32,4.10828982179579e-37,2.355108514321756e-35,1.686431220772948e-25,7.015115969582649e-51,5.69094715435538e-50,2.3950468295963433e-58,1.6981753195077977e-75,6.886990602053831e-19,2.3109404952848038e-26,1.4047556208372662e-40,3.1684891754553693e-42,2.624786575771576e-39,6.288211007582154e-34
1.1384533906228982e-15,0.8027513287003492,3.76,0.0,0.6119543926249131,0.9999999999999362,1.6991717262154812e-31,2.5895268021382212e-42,2.8326626842424158e-28,1.0545216515421812e-13,6.385625157258547e-14,3.360604461776955e-25,5.458605779842836e-23,4.1595913313643445e-14,1.3799054604591355e-18,1.313713706399669e-24,2.0718769377053382e-19,2.930287917010195e-25,8.616398172851021e-30,4.9603307227750486e-36,1.4210020434347917e-31,3.2966438392059956e-36,1.8898261608187852e-34,6.76334346749485e-25,1.1260828984104357e-49,9.144925719160254e-49,7.698516690723839e-57,1.0919474889602906e-73,1.3797977138291004e-18,9.267904386960066e-26,1.127228329357841e-39,2.5425130199198527e-41,2.1062254749023975e-38,5.045893014795347e-33
2.2788867001860103e-15,0.8027513287003554,3.76,0.0,0.6119543926248076,0.9999999999998722,1.3614051034959378e-30,2.0747732502379407e-41,1.1345425455400204e-27,2.110877255914191e-13,1.278235574897126e-13,1.345994595768182e-24,2.1862894999426075e-22,8.32641670283518e-14,2.7624264046870427e-18,5.2617072227598504e-24,4.148430273259928e-19,1.173643500172413e-24,3.4510562252689835e-29,3.974301571780563e-35,5.691939181983147e-31,2.641326717990571e-35,1.5141604771649297e-33,2.7088651261332332e-24,1.804667849577764e-48,1.466348838921956e-47,2.469038834025764e-55,7.00488503471882e-72,2.7619948561649036e-18,3.7119953934008786e-25,9.031550409323058e-39,2.0371043859976374e-40,1.6875427133424738e-37,4.0428542452384637e-32
4.559753319312234e-15,0.8027513287003679,3.76,0.0,0.6119543926245963,0.9999999999997443,1.0899518758035082e-29,1.6610811590155363e-40,4.541126587829548e-27,4.223588471058252e-13,2.557581693058931e-13,5.3874855784758615e-24,8.7508555894038e-22,1.6660067350371593e-13,5.528115799915078e-18,2.1060542119166835e-23,8.304759142915852e-19,4.697631829871593e-24,1.3813239960697876e-28,3.181858152105841e-34,2.278674586200012e-30,2.114667384018245e-34,1.2122487831134068e-32,1.0842519994095008e-23,2.889812242515907e-47,2.3486898307035595e-46,7.909757516572249e-54,4.4883949338180895e-70,5.526388481190144e-18,1.4857651513167743e-24,7.230742469410765e-38,1.6309221582796565e-39,1.3510591171608836e-36,3.2367408520929843e-31
