Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13)
0.0,0.7252077724151268,3.76,0.0,0.9356119382662604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.126087046955735e-17,0.7252077724151267,3.76,0.0,0.9356119382662603,0.9999999999999999,9.525385843059898e-38,1.1512661757433152e-50,1.7337690171672678e-34,1.7504862633766067e-16,1.5474398152015293e-16,4.3306285906886337e-29,6.018715883464902e-28,2.0304644813900342e-17,1.5387392897500024e-27,3.908926140856713e-29,2.4090949917516018e-23,5.599333354720122e-30,6.436538828042769e-43,2.390026257782549e-43,4.244002006087528e-42,3.5820347141534255e-43,4.94101852373436e-43,2.756170220141266e-29
8.753043731476058e-17,0.7252077724151268,3.76,0.0,0.9356119382662599,0.9999999999999996,1.1308545233457989e-36,1.3667832018074675e-49,1.0471964843019821e-33,4.901361537502393e-16,4.332831482564225e-16,2.61569966598765e-28,3.635304393237088e-27,5.685300547202813e-17,9.293985309149794e-27,2.36099138976642e-28,6.745650130116009e-23,3.381997339595955e-29,9.726897473644861e-42,2.8374391723956408e-42,6.413535831719798e-41,4.2525916120216625e-42,5.86599123466233e-42,1.6647268129556007e-28
2.0006957100516703e-16,0.7252077724151267,3.76,0.0,0.9356119382662592,0.999999999999999,1.1102799904892232e-35,1.3419158477781171e-48,5.0418002709167055e-33,1.1203112085945546e-15,9.903614817289395e-16,1.259346789989829e-27,1.7502425783480194e-26,1.2994972676071244e-16,4.474653853182682e-26,1.1367157227945807e-27,1.5419497019690233e-22,1.628286129569791e-28,1.0463752430602708e-40,2.785814603210691e-41,6.899389181653919e-40,4.175219660888436e-41,5.759271136659049e-41,8.01494300002487e-28
4.2514783838597995e-16,0.7252077724151268,3.76,0.0,0.935611938266258,0.9999999999999979,9.820302022949356e-35,1.186909362249647e-47,2.201886619763199e-32,2.3806613183598182e-15,2.1045181486738843e-15,5.49989826695617e-27,7.643769166176794e-26,2.7614316922779595e-16,1.954198896525168e-25,4.964336209566997e-27,3.2770137250214794e-22,7.11115325733723e-28,9.617991215040597e-40,2.4640214644712686e-40,6.341727318515758e-39,3.692934504850864e-40,5.094012551034758e-40,3.500336179428573e-27
8.753043731476057e-16,0.7252077724151268,3.76,0.0,0.9356119382662554,0.9999999999999957,8.254556055234852e-34,9.976688214751415e-47,9.192443040667784e-32,4.901361538196876e-15,4.332831482563416e-15,2.2960992398865606e-26,3.191123156171811e-25,5.685300537208227e-16,8.1583957011385e-25,2.072512649493305e-26,6.7483203516724185e-22,2.968766451830372e-27,8.228393953192562e-39,2.0711585030140237e-39,5.425481238138817e-38,3.104133963375278e-39,4.2818254701201304e-39,1.461321450583131e-26
1.7756174426708573e-15,0.725207772415127,3.76,0.0,0.9356119382662504,0.9999999999999912,6.767583958866261e-33,8.17949153244908e-46,3.7554127978060635e-31,9.942761979097112e-15,8.789458150341049e-15,9.38031442325107e-26,1.303677930784409e-24,1.1533038209423148e-15,3.332970840065204e-24,8.466890459515048e-26,1.3695647927123047e-21,1.2128379233591047e-26,6.803395201046453e-38,1.6980608645401938e-38,4.485892807611468e-37,2.5449565605751774e-38,3.510499627347906e-38,5.969974942485212e-26
3.5762435817173605e-15,0.7252077724151271,3.76,0.0,0.9356119382662403,0.9999999999999823,5.480565011774568e-32,6.623963934631706e-45,1.5179977946188257e-30,2.002556286580207e-14,1.77027114858906e-14,3.791672930424602e-25,5.269674617832882e-24,2.3228513483270536e-15,1.3472400985273673e-23,3.4224525317113e-25,2.7609160366336534e-21,4.9024844734540095e-26,5.532407922895965e-37,1.3751336965238395e-37,3.647853533601437e-36,2.0609717947215944e-37,2.842893807418994e-37,2.4131593229585985e-25
7.177495859810368e-15,0.7252077724151273,3.76,0.0,0.9356119382662201,0.9999999999999645,4.411235522179913e-31,5.331541841167142e-44,6.103801546792962e-30,4.019116465882993e-14,3.5529218156966814e-14,1.5246148981398413e-24,2.1189129720293183e-23,4.661946374863549e-15,5.41719314504417e-23,1.376153137886091e-24,5.551161439575009e-21,1.9712671803941853e-25,4.4620873075175783e-36,1.106827205872485e-36,2.942126031087644e-35,1.6588493840043263e-36,2.2882083874834282e-36,9.70320749914577e-25
1.438000041599638e-14,0.725207772415128,3.76,0.0,0.9356119382661798,0.9999999999999288,3.539738662607134e-30,4.278225587384594e-43,2.4478967606224058e-29,8.052236832335741e-14,7.118223149902774e-14,6.1143867534994366e-24,8.497788605072543e-23,9.340136315004619e-15,2.1725367110800654e-22,5.5189898020545385e-24,1.11618239040425e-20,7.9056609428731845e-25,3.584191011353223e-35,8.881590838089e-36,2.363275633740321e-34,1.3311221328857003e-35,1.8361432513619127e-35,3.89142019061752e-24
