Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201)
0.0,0.8419129008840717,3.76,0.0,0.7135023561537956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6870991305879086e-18,0.8419129008840717,3.76,0.0,0.7135023561537953,0.9999999999999999,4.4756689065064034e-39,1.3289226144369143e-49,4.1659756948066035e-33,3.185281455606501e-16,1.717085626478924e-16,1.957893080286289e-30,4.597908033798333e-28,1.4681958291013314e-16,6.0345025011967004e-21,9.86707684083381e-30,7.652516501562165e-22,2.349031643265984e-30,1.1110043564972815e-34,2.0885754458430258e-43,1.5238285188044178e-36,1.9670590326261927e-42,4.469424205520215e-42,5.70709808435948e-30,2.298605786020521e-59,1.3512816709642309e-58,1.0718054221848284e-68,1.0606590669080347e-87,6.034501411663737e-21,8.60887556299164e-31,3.2761076081321963e-47,1.0130886760660765e-48,5.825643928055204e-46,1.172903219171664e-40,4.915249537786207e-42,1.0678246437241758e-74,1.1069083426429282e-71,2.626867257633954e-85,4.879798012642677e-89,1.9931414854107056e-63,2.0707846131074525e-45,-3.7744741834216074e-90,1.0682027863359355e-91,3.039154209454863e-76,4.393083799277215e-47,-1.7151705819835702e-91,9.011655970149965e-91,6.77467603671525e-77,2.5700419339507898e-42,9.250619432665516e-58,3.870575722531995e-89,8.702422916296478e-102,1.348679447857758e-83,2.508879996720457e-59,1.6705787820475302e-114,-1.4715467982474101e-95,4.501786378397713e-109,-1.3161533033694184e-94,7.634902682698514e-103,1.491193309936536e-46,1.9848768572816376e-69,2.5486100965980103e-65,-3.6747560325081447e-96
4.723877565646144e-18,0.8419129008840717,3.76,0.0,0.7135023561537948,0.9999999999999994,5.313540838267863e-38,1.5776969301660787e-48,2.51624931940225e-32,8.918788075733203e-16,4.807839754140062e-16,1.182567420317219e-29,2.777136452393272e-27,4.1109483214346175e-16,1.68966105300582e-20,5.959714412218433e-29,2.1427060857413453e-21,1.4188151122027096e-29,6.710466328238954e-34,2.4797567776930628e-42,9.203926517918839e-36,2.335292482852668e-41,5.306104188399153e-41,3.447087242944326e-29,5.143681099819185e-58,3.761518391006426e-57,4.8117060538716975e-67,8.676648197931177e-86,1.6896603949279103e-20,5.19976083838873e-30,3.889394953162251e-46,1.2027388764511894e-47,6.916204431342379e-45,1.3924706973201727e-39,5.8353846562167e-41,6.496236129017368e-73,5.5291414462482386e-70,2.4056686281826397e-83,4.61266510142693e-87,4.458584306760459e-62,2.458435489357421e-44,3.719875593283292e-88,1.2179509978866982e-89,1.8488659456810933e-74,5.2155429725979576e-46,1.6880615732735845e-89,8.192693205628478e-89,4.1214153344943776e-75,3.0511537831356053e-41,2.069486020739859e-56,4.413180380085492e-87,1.7947322961090484e-99,1.040701481717092e-81,5.612264182623785e-58,2.664027999858799e-112,1.4501131551382864e-93,4.797002908886097e-107,1.2963199815188648e-92,1.574574014580463e-100,1.7703446886673644e-45,6.245685147812079e-68,5.701215990270739e-64,3.617734135370737e-94
1.0797434435762616e-17,0.8419129008840719,3.76,0.0,0.7135023561537936,0.9999999999999988,5.2168776090600265e-37,1.5489922062474312e-47,1.2114657316583506e-31,2.0385801316126593e-15,1.0989348009458636e-15,5.693553074837033e-29,1.337071656197173e-26,9.396453305904755e-16,3.862084069461097e-20,2.8693459458466895e-28,4.8976208181273595e-21,6.830984013668024e-29,3.2308006907103756e-33,2.4347275515921e-41,4.431296664467314e-35,2.2928040063174766e-40,5.209566207288903e-40,1.659624122918529e-28,1.0164663020984347e-56,8.085318091018506e-56,1.976682456112766e-65,7.153667630630628e-84,3.862080901099237e-20,2.503461011230614e-29,3.8186310304807493e-45,1.180856161364944e-46,6.790370438402334e-44,1.367135978377157e-38,5.7292161166099825e-40,2.932713438854474e-71,2.797344670144213e-68,2.4209907130291113e-81,4.556709018649762e-85,8.80942822908169e-61,2.4137065347344145e-43,3.729303588583175e-86,1.1026708073675246e-87,8.346665997144973e-73,5.1208075233336803e-45,1.692460842923776e-87,8.28055949198869e-87,1.8606006277149004e-73,2.9956408755628885e-40,4.0891093811772706e-55,3.995468796204021e-85,3.2519069588714365e-97,1.1342073797647495e-79,1.1088888213292744e-56,1.221021243077934e-109,1.455433031398721e-91,1.0916857539979752e-104,1.3005164194635314e-90,2.852999501131018e-98,1.7381348945052092e-44,1.3956951416901337e-66,1.1264975663112567e-62,3.628056457238835e-92
2.294454817599556e-17,0.841912900884072,3.76,0.0,0.7135023561537913,0.9999999999999976,4.614273814487255e-36,1.3700660727501257e-46,5.290789128359815e-31,4.331982779747337e-15,2.3352364520080978e-15,2.486524209240243e-28,5.839343202599594e-26,1.996746327405927e-15,8.206935745103556e-20,1.2531187593358525e-27,1.0407473727762407e-20,2.9832701818332254e-28,1.410975555279211e-32,2.1535237536590814e-40,1.9352656315196035e-34,2.0279591758418675e-39,4.607802965227358e-39,7.248014567000022e-28,1.80887928383186e-55,1.492114568058688e-54,7.17484612020285e-64,5.2107716373871444e-82,8.206921908034912e-20,1.0933271939296627e-28,3.3775359048078535e-44,1.0444539024591743e-45,6.006005603376248e-43,1.2092162736696086e-37,5.06742829974539e-39,1.1073369606219086e-69,1.1049146861685424e-66,1.9146462411878e-79,3.577830853558002e-83,1.5675959112266979e-59,2.1348960830916176e-42,2.9330265380152802e-84,8.357410108891462e-86,3.1515432833496383e-71,4.529574672178231e-44,1.3311218661218243e-85,6.559511578518718e-85,7.025268455849138e-72,2.649610426648838e-39,7.276476425602887e-54,3.028262973820259e-83,4.934708235783302e-95,9.27852054831062e-78,1.9732083869111162e-55,4.182114123428745e-107,1.1471909140259867e-89,1.8449011037489654e-102,1.0241802501588556e-88,4.329377238924393e-96,1.5373605969428449e-43,2.622699332014127e-65,2.0046614984333515e-61,2.854915393924072e-90
4.723877565646144e-17,0.8419129008840724,3.76,0.0,0.7135023561537868,0.9999999999999951,3.878577014828322e-35,1.1516231004318399e-45,2.2088003097463437e-30,8.91878807624068e-15,4.807839754126643e-15,1.0380749087167811e-27,2.437810839228017e-25,4.110948320722531e-15,1.6896661667316094e-19,5.2315241459597155e-27,2.1427273326484558e-20,1.2454565726564498e-27,5.890545299944006e-32,1.810180274857211e-39,8.07936939099063e-34,1.7046218766839727e-38,3.873136284713468e-38,3.025903404204513e-27,3.0510460700839795e-54,2.5601091165178545e-53,2.4438515891855154e-62,3.556155521950194e-80,1.689660390027834e-19,4.564425800365644e-28,2.8390224447890484e-43,8.779264389029931e-45,5.048409344780822e-42,1.0164191103642717e-36,4.2594813883985245e-38,3.8418665790905744e-68,3.910024500812326e-65,1.3561797211663654e-77,2.526429820405779e-81,2.6439966426291103e-58,1.794508773908228e-41,2.075119793243874e-82,5.811272567632948e-84,1.0934174750202736e-69,3.807848799751709e-43,9.41782906426788e-84,4.649492709325192e-83,2.4373911257888398e-70,2.2271572091624132e-38,1.227294084657816e-52,2.1056836770345152e-81,6.866748541280878e-93,6.677818554386404e-76,3.3281042773029447e-54,1.2339946971957125e-104,8.15183093622783e-88,2.701342900194515e-100,7.26494553664896e-87,6.02442807323782e-94,1.2922441583065434e-42,4.5601942008661994e-64,3.381557125180258e-60,2.0219335473400334e-88
9.582723061739321e-17,0.841912900884073,3.76,0.0,0.7135023561537776,0.9999999999999901,3.1798925035820174e-34,9.44170218187013e-45,9.023669963159226e-30,1.8092398670123344e-14,9.753046358340047e-15,4.2408747068714394e-27,9.959252715057461e-25,8.339352306098537e-15,3.4276203795451623e-19,2.1372483162226543e-26,4.3467247641736835e-20,5.088096461606067e-27,2.4064800468066936e-31,1.48410064755954e-38,3.300699366062698e-33,1.3975519963403222e-37,3.1754312203313257e-37,1.2361802733605534e-26,5.011438189056291e-53,4.240117728463884e-52,8.066678333711622e-61,2.349804568328726e-78,3.4275967798253517e-19,1.8647168628606884e-27,2.3276021349377134e-42,7.197771380233714e-44,4.138990576618084e-41,8.333217495571297e-36,3.4921843988943616e-37,1.2795020093124106e-66,1.314364539322253e-63,9.121675668092195e-76,1.6968406224389784e-79,4.3428278399642465e-57,1.4712466779518812e-40,1.3954313914306636e-80,3.8749910100512193e-82,3.6415414153515127e-68,3.1226725767019614e-42,6.333160896169165e-82,3.128272210228856e-81,8.117528746161382e-69,1.8259580303196178e-37,2.0158421940303806e-51,1.404082442937306e-79,9.160404616184902e-91,4.526442760486101e-74,5.466421014787357e-53,3.387927636468336e-102,5.529360128192493e-86,3.693861461428672e-98,4.910664113076755e-85,8.036756259992088e-92,1.059459742676082e-41,7.676978131046067e-63,5.555540037747581e-59,1.3624384645741762e-86
1.9300414053925676e-16,0.8419129008840743,3.76,0.0,0.7135023561537592,0.9999999999999802,2.5751596856470043e-33,7.646135580966031e-44,3.647511662284868e-29,3.643961986147258e-14,1.96434595666721e-14,1.7142293535884122e-26,4.025689181143397e-24,1.679616027182175e-14,6.903564918656427e-19,8.639099428310156e-26,8.754869674347133e-20,2.0566899251390678e-26,9.727377823788246e-31,1.2018653730821827e-37,1.334206246698224e-32,1.1317738291496219e-36,2.5715465486603657e-36,4.9968383127088757e-26,8.123825448733917e-52,6.901687837014193e-51,2.6215379150121834e-59,1.5280068920237637e-76,6.903469524815715e-19,7.537483620319175e-27,1.8849525692955717e-41,5.82894190002603e-43,3.3518612052801297e-40,6.748454826787142e-35,2.8280682855647158e-36,4.176507674372335e-65,4.309711617467227e-62,5.983238475660167e-74,1.1122480398500394e-77,7.0400903614379935e-56,1.1914536484886407e-39,9.153015225712347e-79,2.531113228178017e-80,1.1886628395255936e-66,2.53006524929439e-41,4.1541443349342256e-80,2.0522701254045735e-79,2.6496963696160708e-67,1.4787081396595246e-36,3.267773437740027e-50,9.171355599170536e-78,1.1968825239469022e-88,2.9804130405610046e-72,8.86130320439409e-52,8.97934093982979e-100,3.6892710117415093e-84,4.885494764256167e-96,3.254194583961336e-83,1.0500756482018042e-89,8.57977818296844e-41,1.2841951625152728e-61,9.010056889830083e-58,8.972910109835971e-85
3.873579603829838e-16,0.841912900884077,3.76,0.0,0.7135023561537225,0.9999999999999605,2.0727126647110856e-32,6.1542756961355765e-43,1.466648386696427e-28,7.313406225850659e-14,3.942428598295719e-14,6.89284076641372e-26,1.6187119132821203e-23,3.370977618315299e-14,1.385559845081542e-18,3.473743898083366e-25,1.757175968318448e-19,8.26985960134769e-26,3.911336412589618e-30,9.673666873454756e-37,5.364871403050736e-32,9.109500213346209e-36,2.069804360526259e-35,2.0092067082968514e-25,1.3083222526073818e-50,1.1137646449793333e-49,8.453873548921481e-58,9.857264881599078e-75,1.385521487637775e-18,3.0307889467777334e-26,1.5171738362859366e-40,4.6916395821980555e-42,2.6978684179604378e-39,5.431742332511693e-34,2.2762863686540147e-35,1.3497750846361532e-63,1.3959257689943702e-60,3.8764209980124666e-72,7.2035782906939e-76,1.133842567272868e-54,9.589854603404708e-39,5.930261163033563e-77,1.6364758327507987e-78,3.841572746006147e-65,2.0384192502877426e-40,2.6915364285388767e-78,1.329727791781451e-77,8.563360481480705e-66,1.1901929322337394e-35,5.2626534709104046e-49,5.929685422405408e-76,1.5477773400385789e-86,1.9346114099671267e-70,1.4270852975769065e-50,2.338778051325186e-97,2.4711518837253945e-82,6.356187006922969e-94,2.1513554392804716e-81,1.3579487748087871e-87,6.90574949610843e-40,2.1794517695357504e-60,1.4524227324891883e-56,5.8605907452959115e-83
7.76065600070438e-16,0.8419129008840822,3.76,0.0,0.7135023561536491,0.999999999999921,1.6632214236587612e-31,4.938419597137366e-42,5.8819159220057405e-28,1.4652294710991685e-13,7.898593881401129e-14,2.764337381168685e-25,6.491758752191043e-23,6.753700792535465e-14,2.7760243330877885e-18,1.3931266814337021e-24,3.5207940454808597e-19,3.3165834734752124e-25,1.56862129920427e-29,7.762511938958363e-36,2.1516229759404656e-31,7.309799928620169e-35,1.6608875934718892e-34,8.057817537126407e-25,2.1001503051025026e-49,1.7896571202195427e-48,2.715682495859523e-56,6.333745991429023e-73,2.77587050258271e-18,1.2154818701526035e-25,1.2174364896117e-39,3.76474535105134e-41,2.16486775769098e-38,4.358629193716493e-33,1.82659407052781e-34,4.34067416397517e-62,4.4940477862199205e-59,2.4960980573282354e-70,4.637731770234887e-74,1.8202537053862937e-53,7.695252925484944e-38,3.8188571873114265e-75,1.0526775105077782e-76,1.2354049885099136e-63,1.6389170392992162e-39,1.7333134869116354e-76,8.562689503884276e-76,2.7538483554740663e-64,9.550548350474527e-35,8.447728371969376e-48,3.814324176584041e-74,1.9912698170581248e-84,1.2469076648097396e-68,2.290787101587892e-49,6.039116857229795e-95,1.6954606733308062e-80,8.202385535704254e-92,1.4407042651479533e-79,1.7470957141043868e-85,5.5414251949670833e-39,3.842495547759354e-59,2.335893277824038e-55,3.8345382509402133e-81
1.5534808794453464e-15,0.8419129008840925,3.76,0.0,0.7135023561535023,0.9999999999998418,1.3326011188612515e-30,3.9567467061045066e-41,2.3558342932332783e-27,2.933007170421065e-13,1.5810924447005526e-13,1.107176778329749e-24,2.6000895789201204e-22,1.3519147108791477e-13,5.557184435396975e-18,5.579773326511653e-24,7.048990501375587e-19,1.328363225893537e-24,6.282670758526253e-29,6.219457104667503e-35,8.618272183851796e-31,5.856734718237869e-34,1.330731103912045e-33,3.227329947911547e-24,3.365716535336628e-48,2.869573553781007e-47,8.706933203690677e-55,4.061651210475817e-71,5.5565683110027084e-18,4.868266976997128e-25,9.754307374984701e-39,3.0163776649826757e-40,1.7345258290065124e-37,3.4922042207338497e-32,1.4635262545562966e-33,1.3924487357699536e-60,1.4424431413092618e-57,1.6023784989673873e-68,2.976957283520821e-72,2.9177459830435313e-52,6.165564329100328e-37,2.451831126284725e-73,6.754249839173686e-75,3.963149011485267e-62,1.318278182230885e-38,1.1129312668448554e-74,5.496955028135518e-74,8.834095669202987e-63,7.652060085067391e-34,1.353839560206715e-46,2.447370793150162e-72,2.5552155150775075e-82,8.008338960366179e-67,3.6712297439543036e-48,1.552685193938713e-92,1.222233045161204e-78,1.0541924682878902e-89,9.959941321601335e-78,2.242009715459508e-83,4.439877285693381e-38,7.249934737509283e-58,3.757729079294699e-54,2.5396280698677382e-79
3.1083114381951627e-15,0.8419129008841135,3.76,0.0,0.7135023561532088,0.9999999999996836,1.0668911769737783e-29,3.1678056320846037e-40,9.429476120953818e-27,5.868562578239617e-13,3.16355855757886e-13,4.431592140165344e-24,1.0407134301918182e-21,2.705003961256622e-13,1.1120429145193331e-17,2.233363534019745e-23,1.4109224619365696e-18,5.316914043604888e-24,2.514708557744467e-28,4.9793479428972745e-34,3.4500011299707084e-30,4.688948159756672e-33,1.065393869859042e-32,1.2917730438216872e-23,5.389523137041759e-47,4.596221410463085e-46,2.7889017002577443e-53,2.602040339286154e-69,1.1117963041963363e-17,1.9485751588603693e-24,7.809377815541791e-38,2.4149363610808867e-39,1.3886708597418973e-36,2.795881785597833e-31,1.1717560879142375e-32,4.461336097917263e-59,4.622786175377641e-56,1.0270838382207231e-66,1.9080741731300426e-70,4.674096911453773e-51,4.936196680652801e-36,1.571939160111093e-71,4.3281986283728654e-73,1.2698258808149263e-60,1.0636706181416006e-37,7.136437488365638e-73,3.5234457645529034e-72,2.830400738054854e-61,6.12629989015661e-33,2.1679074517988685e-45,1.5683053591433672e-70,3.2745062094156098e-80,5.134353757058964e-65,5.878742098552724e-47,3.983431245370508e-90,9.549750506775922e-77,1.352148064093613e-87,7.295870688152168e-76,2.87344244705103e-81,3.5545915426052544e-37,1.5097820886001903e-56,6.062768497713366e-53,1.727861070836659e-77
6.217972555694796e-15,0.8419129008841549,3.76,0.0,0.7135023561526217,0.9999999999993671,8.538371879880445e-29,2.5352111012233543e-39,3.773018267719016e-26,1.1739673430575765e-12,6.328490782365193e-13,1.7732138102917766e-23,4.164209278565124e-21,5.411182410516661e-13,2.2250616585427627e-17,8.936363807145509e-23,2.8245057679516845e-18,2.1274576378367354e-23,1.0062133342875252e-27,3.984991909330884e-33,1.380806967596728e-29,3.7525823779746723e-32,8.526386418707738e-32,5.1687747731861965e-23,8.626712791829274e-46,7.357879328464378e-45,8.928780662898904e-52,1.6661370161977942e-67,2.2240748960368465e-17,7.796836059819962e-24,6.249877088724164e-37,1.932683265155433e-38,1.1113515794858273e-35,2.2375471499730356e-30,9.378333342675348e-32,1.428507741053962e-57,1.480407519601865e-54,6.57832171428004e-65,1.2220684998420149e-68,7.487687243777616e-50,3.9504516177116575e-35,1.0072840977273423e-69,2.771793768704177e-71,4.066285981200323e-59,8.644591144581242e-37,4.5743918689936975e-71,2.2567312878311696e-70,9.062870941745253e-60,4.902900286314851e-32,3.4700638817532637e-44,1.0043519818990279e-68,4.193140944983889e-78,3.288871271390548e-63,9.409787848596498e-46,1.0208524944940764e-87,8.314036917344596e-75,1.7326117944746626e-85,5.840876241116086e-74,3.6803539722203363e-79,2.8447376668482897e-36,3.532719937169708e-55,9.850055401283577e-52,1.2347941932428127e-75
1.2437294790694063e-14,0.8419129008842383,3.76,0.0,0.7135023561514474,0.9999999999987341,6.831994687649186e-28,2.02856020495265e-38,1.509452649782509e-25,2.348189528204424e-12,1.2658355228056728e-12,7.094007589229137e-23,1.6659548410688744e-20,1.0823539103057101e-12,4.4525783547899846e-17,3.5751278882762103e-22,5.6578183091449396e-18,8.511211550017692e-23,4.025527388839388e-27,3.1885990858267844e-32,5.526984520233966e-29,3.002634103438265e-31,6.822400601944875e-31,2.0678464681452462e-22,1.3805434348927296e-44,1.1775746836665309e-43,2.8578970658871677e-50,1.0665987921064583e-65,4.448630662312314e-17,3.1192399532075616e-23,5.000853496996567e-36,1.5464406188799851e-37,8.892386688102024e-35,1.7903648728214574e-29,7.505249272079987e-31,4.572630515807871e-56,4.739091161702142e-53,4.2117011200093173e-63,7.82408955374114e-67,1.2002223465508791e-48,3.1609520037148147e-34,6.455164140819163e-68,1.7744970334965182e-69,1.301827976215683e-57,7.12821382701854e-36,2.933319901280357e-69,1.444858386015453e-68,2.9010133777664948e-58,3.9230626971021755e-31,5.5532318363486014e-43,6.429888932994222e-67,5.366614941771033e-76,2.105796900273783e-61,1.5058634435346945e-44,2.6147699253883806e-85,8.136927389430725e-73,2.219139961515879e-83,5.235127007398042e-72,4.712348439044423e-77,2.2761969358810339e-35,9.225149966852372e-54,1.6229551470916583e-50,9.546245318687729e-74
2.4875939260692594e-14,0.8419129008844046,3.76,0.0,0.713502356149099,0.9999999999974681,5.466114552519889e-27,1.6230120755182664e-37,6.038299270181276e-25,4.69663395721659e-12,2.5318084103915265e-12,2.837832141870042e-22,6.664361497870184e-20,2.1648251664219515e-12,8.913528579635715e-17,1.4301679153389972e-21,1.1349027104140785e-17,3.404758247927484e-22,1.610357083989302e-26,2.551121529019021e-31,2.2132599434645974e-28,2.4023322502095714e-30,5.458432333704265e-30,8.272058969072181e-22,2.2090570553716846e-43,1.8843703662132116e-42,9.146369169245346e-49,6.82716436391859e-64,8.897736525248472e-17,1.2477957920441065e-22,4.0010662693087867e-35,1.2372705479398334e-36,7.114401648675036e-34,1.4324074008312259e-28,6.006621984375518e-30,1.4634647561140555e-54,1.5167957173168e-51,2.6959664030311835e-61,5.008287203428276e-65,1.9267872489832476e-47,2.5289865077637234e-33,4.1398857548733383e-66,1.1358408657804783e-67,4.167868973322537e-56,6.041101592033992e-35,1.883562095356356e-67,9.248827160823091e-67,9.284675673144693e-57,3.138744231471089e-30,8.886074036838613e-42,4.1157787137740755e-65,6.864429956168089e-74,1.3479987193956353e-59,2.4095979219188834e-43,6.695516732755701e-83,8.811122188681658e-71,2.8419163998539025e-81,5.265742866684842e-70,6.032743435938379e-75,1.8210897883361803e-34,2.619169734551543e-52,2.746205158219738e-49,8.211054922627194e-72
