Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30)
7.015383733035884e-15,0.9142956470104978,3.76,0.0,0.8169449530315502,0.9999999999978751,9.310540134445913e-28,1.432417776667348e-37,9.626216098976983e-25,5.2179911383557926e-12,2.1248315359444804e-12,6.687832089662048e-23,3.188647698081759e-20,3.0931593872227363e-12,9.234840358486075e-20,5.834608722679307e-22,2.1341289612050413e-17,1.5802309577593537e-22,1.2988647803072029e-31,1.1447423434906862e-31,1.0308792865847328e-31
1.4030957775697492e-14,0.9142956470110047,3.76,0.0,0.8169449530263321,0.9999999999957503,7.44860874298196e-27,1.1459719267802543e-36,3.8505643797031585e-24,1.043612401065112e-11,4.249720709283373e-12,2.6751860146695335e-22,1.2754849985698457e-19,6.186402440595956e-12,3.694011173855094e-19,2.333891452384472e-21,4.274607810596596e-17,6.321048099697438e-22,1.0391244488159043e-30,9.158158164420502e-31,8.24729559107253e-31
2.8062105861020706e-14,0.914295647012019,3.76,0.0,0.8169449530158958,0.9999999999915005,5.958957449791889e-26,9.168052301702797e-36,1.5402411000217088e-23,2.0872390304342444e-11,8.499499044220303e-12,1.0700842928170226e-21,5.101991650182684e-19,1.2372887817000119e-11,1.4776194010168175e-18,9.335664617412093e-21,8.574441743961844e-17,2.5284414935090467e-21,8.313122952249678e-30,7.326616747489847e-30,6.597941340454988e-30
5.612440203166713e-14,0.9142956470140475,3.76,0.0,0.8169449529950232,0.9999999999830008,4.767193822651974e-25,7.334754299182085e-35,6.160993176336749e-23,4.174492508812761e-11,1.6999055667130735e-11,4.2803509540132275e-21,2.0408068447135374e-18,2.4745855648440062e-11,5.910506869141601e-18,3.7342879129373616e-20,1.7249614510989591e-16,1.0113789678973913e-20,6.650544285195232e-29,5.861333401708323e-29,5.278395574354873e-29
1.1224899437295999e-13,0.9142956470181044,3.76,0.0,0.8169449529532782,0.9999999999660016,3.813765692033839e-24,5.868251145989044e-34,2.4644014896646293e-22,8.349000344130673e-11,3.399816872509785e-11,1.7121383451940115e-20,8.163246575489577e-18,4.9491779625852246e-11,2.36420812227789e-17,1.4937214218131055e-19,3.4901979341983857e-16,4.045503970711936e-20,5.3204457629136895e-28,4.6890889902376535e-28,4.222734347757206e-28
2.2449817905554569e-13,0.9142956470262182,3.76,0.0,0.8169449528697881,0.9999999999320033,3.051015989194138e-23,4.695296354980495e-33,9.857602107898032e-22,1.6698019529008972e-10,6.799639408961669e-11,6.848510964685443e-20,3.265301531373288e-17,9.898358083885206e-11,9.456839411115008e-17,5.97491294777375e-19,7.141478375772916e-16,1.6181858948459004e-19,4.256347888859436e-27,3.751290127403372e-27,3.3781960533879746e-27
4.489965484207171e-13,0.9142956470424458,3.76,0.0,0.8169449527028074,0.9999999998640063,2.440812856772625e-22,3.757341421665462e-32,3.9430302418414066e-21,3.339607195572727e-10,1.3599284181298988e-10,2.7393652288064096e-19,1.3061204422604489e-16,1.979669962979243e-10,3.782734087051751e-16,2.3899824286117528e-18,1.4927267213232036e-15,6.472605690300031e-19,3.405054254194024e-26,3.001055719986134e-26,2.702562544558772e-26
6.734949177858885e-13,0.9142956470586735,3.76,0.0,0.8169449525358268,0.9999999997960093,6.979211212715345e-22,1.074575307290772e-31,8.378921578070783e-21,5.009413843939904e-10,2.0398928653069564e-10,5.821092130740292e-19,2.7755049900543913e-16,2.969502247904398e-10,8.038305442206945e-16,5.078736713357317e-18,2.319628205780735e-15,1.3754081243220833e-18,1.0108713196015755e-25,8.581186768427176e-26,8.023239909211666e-26
8.979932871510599e-13,0.9142956470749011,3.76,0.0,0.816944952368846,0.9999999997280123,1.4721199319190945e-21,2.267080516183471e-31,1.4293425617307342e-20,6.679221898001609e-10,2.719857282427309e-10,9.930004964149939e-19,4.734683140830382e-16,3.9593326631676934e-10,1.3712395327624511e-15,8.663764470916265e-18,3.194852096231095e-15,2.3462519514837e-18,2.202627188225093e-25,1.8100295494458898e-25,1.7482231852887782e-25
1e-12,0.9142956471073564,3.76,0.0,0.8169449522929738,0.9999999996971161,1.9340705791731104e-21,2.9788701106336798e-31,1.7363038254115137e-20,7.43794327641614e-10,3.02881691316593e-10,1.2062504666140583e-18,5.751493293388026e-16,4.4090875488150717e-10,1.6657237812061578e-15,1.0524396475912532e-17,3.6050237552622194e-15,2.8501115199295293e-18,2.9431946653294893e-25,2.3780200457991276e-25,2.3360158957547654e-25
1.3469900258814027e-12,0.9142956471073564,3.76,0.0,0.816944952034884,0.9999999995920182,4.020827709814619e-21,6.195083428277292e-31,2.959262049830183e-20,1.001884130520145e-09,4.0797860461266705e-10,2.0558489872954077e-18,9.80255301058053e-16,5.938989105723865e-10,2.8389742931064862e-15,1.793735097024646e-17,5.058709001456688e-15,4.8575040839983346e-18,6.3935097892494e-25,4.943796038684585e-25,5.074560338312957e-25
1.7959867646117455e-12,0.9142956471398119,3.76,0.0,0.8169449517009215,0.999999999456024,8.412934314946021e-21,1.2967850290302092e-30,5.032913018739556e-20,1.3358465881634576e-09,5.43971469929655e-10,3.496408086819697e-18,1.667156320656639e-15,7.91863867289734e-10,4.828346684123834e-15,3.050694043073532e-17,7.1002630104964185e-15,8.261159777672055e-18,1.3981810495852925e-24,1.0344162056613878e-24,1.1097504932314338e-24
2.2449835033420884e-12,0.9142956471722672,3.76,0.0,0.8169449513669584,0.9999999993200296,1.531544572273492e-20,2.3618078566990707e-30,7.689127681671276e-20,1.6698095996526436e-09,6.799643234041781e-10,5.341639186767323e-18,2.5470362227183054e-15,9.898280873614132e-10,7.376614745941642e-15,4.660803062032409e-17,9.33220547210423e-15,1.2620899973511968e-17,2.6231630237144008e-24,1.8831317420668767e-24,2.0820455442129495e-24
3.142976980802774e-12,0.9142956472371779,3.76,0.0,0.8169449506990307,0.9999999990480402,4.043732520066178e-20,6.24278435215819e-30,1.478580239020771e-19,2.3377373189542893e-09,9.519499940818182e-10,1.0271414979622855e-17,4.897851515933475e-15,1.3857542713127583e-09,1.418493232479559e-14,8.962700899808799e-17,1.4379206028823452e-14,2.4268268206371217e-17,7.177332013444468e-24,4.9721422217028416e-24,5.696873556003056e-24
4.040970458263459e-12,0.9142956473020886,3.76,0.0,0.8169449500311005,0.99999999877605,8.383667790577901e-20,1.2955586574718897e-29,2.4248490240618685e-19,3.0056672877092814e-09,1.2239356166606265e-09,1.6844507504887473e-17,8.032449718992493e-15,1.781677463393004e-09,2.3263194422250613e-14,1.469903248587018e-16,2.0199455355290376e-14,3.9797863864412266e-17,1.5130460471970234e-23,1.030871645823172e-23,1.2009735312886983e-23
5.836957413184831e-12,0.9142956474319099,3.76,0.0,0.8169449486952337,0.9999999982320675,2.51904416507719e-19,3.90129334386254e-29,5.027062392601358e-19,4.34153397260385e-09,1.767906717541025e-09,3.491906418735603e-17,1.6652642785843823e-14,2.57351487332387e-09,4.822850678301282e-14,3.047473282131758e-16,3.4159310049445455e-14,8.249903067173327e-17,4.615093560720097e-23,3.0976246625264816e-23,3.6633643157577066e-23
9.428931323027574e-12,0.9142956476915526,3.76,0.0,0.8169449460234727,0.9999999971440936,1.08301110582071e-18,1.6849304436227661e-28,1.306998770551353e-18,7.013294331546105e-09,2.8558483421910363e-09,9.077582096091468e-17,4.329680303086289e-14,4.157153797333706e-09,1.2539350323488266e-13,7.924033529046634e-16,7.135595812303256e-14,2.1444918692222687e-16,2.002367621897567e-22,1.3319127369059196e-22,1.5895856034463394e-22
1e-11,0.9142956482108385,3.76,0.0,0.8169449455987003,0.9999999969711214,1.3181230541364127e-18,2.053552977394073e-28,1.4697323717948853e-18,7.43806650420154e-09,3.0288142782357644e-09,1.0207565262828241e-16,4.8687935530257765e-14,4.408923651454421e-09,1.4100686766003314e-13,8.910844345387077e-16,7.840912569824408e-14,2.4114025539653944e-16,2.438802908980022e-22,1.621117783036649e-22,1.936108359410305e-22
1.661287914271306e-11,0.9142956482108385,3.76,0.0,0.8169449406798417,0.9999999949681102,6.098475184601009e-18,9.574707826283147e-28,4.050826434435306e-18,1.2356923003742762e-08,5.03172928301504e-09,2.812732946765432e-16,1.3419878539401601e-13,7.324288069485316e-09,3.8865549152077355e-13,2.4564545003841515e-15,1.8285336444048453e-13,6.643800122055455e-16,1.1318591047190654e-21,7.501851009306076e-22,8.987054458174458e-22
3.098077478208403e-11,0.914295649249412,3.76,0.0,0.8169449299921441,0.9999999906160012,4.0494878838794556e-17,6.472667251088098e-27,1.4078272328039757e-17,2.3044612153749573e-08,9.383481930353327e-09,9.770376570838027e-16,4.6644829398673e-13,1.3657982361513961e-08,1.3508704281416557e-12,8.54091779733514e-15,5.542378615804488e-13,2.307095214981999e-15,7.5234596364699e-21,4.983773750535437e-21,5.976056709251068e-21
4.5348670421455e-11,0.9142956502879872,3.76,0.0,0.8169449193038656,0.9999999862637026,1.2167797048191787e-16,1.9721020359912017e-26,3.0157235489251285e-17,3.373287702968736e-08,1.3735222264742541e-08,2.092016932452799e-15,9.992800800365432e-13,1.9990911050275884e-08,2.8939586192465945e-12,1.8302362127433704e-14,1.1234404464183628e-12,4.938628975239301e-15,2.260767640864075e-20,1.498014163012621e-20,1.796271666294818e-20
5.971656606082597e-11,0.9142956513265644,3.76,0.0,0.8169449086150065,0.9999999819112141,2.6962420487239323e-16,4.429705974718741e-26,5.2285571183685614e-17,4.4421717610924424e-08,1.8086950285430167e-08,3.6255446779136145e-15,1.7326777413590728e-12,2.6323074228349724e-08,5.017853143230001e-12,3.174334571533804e-14,1.890412529030619e-12,8.556676159032234e-15,5.00913102756311e-20,3.32047969415109e-20,3.9809911650251405e-20
7.408446170019694e-11,0.9142956523651434,3.76,0.0,0.8169448979255665,0.9999999775585361,5.049842701604155e-16,8.409391706227184e-26,8.046106375361848e-17,5.5111133876206247e-08,2.2438665991636707e-08,5.57693302136297e-15,2.6666243454287454e-12,3.2654471991328924e-08,7.722484899152251e-12,4.88665084493817e-14,2.8551039106771844e-12,1.3158859145049706e-14,9.380339750484802e-20,6.220951878855045e-20,7.456918794287449e-20
9.999999999999999e-11,0.9142956544423074,3.76,0.0,0.8169448786434325,0.9999999697070815,1.2118999765857317e-15,2.067866579992661e-25,1.4656544119282528e-16,7.439321228111366e-08,3.028787442606531e-08,1.0151213879882615e-14,4.858240940697948e-12,4.407255171586888e-08,1.4069074243250347e-11,8.907012425398086e-14,5.094921523462108e-12,2.3941258318663573e-14,2.2504668406798604e-19,1.4938040872029316e-19,1.7898483741454685e-19
1.0282025297893888e-10,0.9142956544423074,3.76,0.0,0.8169448765449443,0.9999999688526114,1.3145090397973514e-15,2.248515082957956e-25,1.5494530992178616e-16,7.649169338020055e-08,3.1142060457714245e-08,1.0730747097197584e-14,5.136101624500821e-12,4.53149716262188e-08,1.4873704041856843e-11,9.416912976720495e-14,5.3774585253577305e-12,2.5306847497622513e-14,2.4409275044560457e-19,1.620376329980875e-19,1.941419252370289e-19
1.3155604425768082e-10,0.9142956565194792,3.76,0.0,0.8169448551619992,0.9999999601459286,2.7158552876659093e-15,4.765686821949658e-25,2.5359222084488545e-16,9.787455537141867e-08,3.9845405656719583e-08,1.7547961645350114e-14,8.407576155220367e-12,5.79724107210532e-08,2.434706220073638e-11,1.5423130278352058e-13,8.690101909368763e-12,4.136362279842574e-14,5.04129172106073e-19,3.3498405836697416e-19,4.0116538637198e-19
1.6029183553642278e-10,0.914295658596659,3.76,0.0,0.8169448337767315,0.9999999514384879,4.8833445548112455e-15,8.785027607549276e-25,3.7638312028008146e-16,1.1925971967063067e-07,4.854870158206772e-08,2.6022806775182772e-14,1.2480904982808187e-11,7.062679008208892e-08,3.614197644335509e-11,2.2907512699659507e-13,1.2792610592125344e-11,6.130930239118171e-14,9.061308293515816e-19,6.027004149647374e-19,7.214247933419773e-19
2.1776341809390666e-10,0.9142956627510408,3.76,0.0,0.816944790999229,0.9999999340213331,1.2195011579427874e-14,2.3129100211410274e-24,6.943243264497877e-16,1.6203695449540715e-07,6.595514558617347e-08,4.7923099994242763e-14,2.303256883822281e-11,9.592637273821974e-08,6.669420563491496e-11,4.2319289574253713e-13,2.3365577046901886e-11,1.1279083709302885e-13,2.2609213831855757e-18,1.5071762762390325e-18,1.8020893271372445e-18
2.7523500065139055e-10,0.9142956669054538,3.76,0.0,0.8169447482124378,0.999999916601149,2.4599312094073094e-14,4.898604180356906e-24,1.1086245769399423e-15,2.0482339646586027e-07,8.336139241905251e-08,7.638734114731394e-14,3.678998504054184e-11,1.2121372583403816e-07,1.0652587903243084e-10,6.766915641356378e-13,3.709308089940838e-11,1.795994969448838e-13,4.556804907463495e-18,3.0443116057194694e-18,3.636067826250621e-18
3.901781657663583e-10,0.9142956752143727,3.76,0.0,0.8169446626109954,0.999999881751699,7.003957285619205e-14,1.532652829122565e-23,2.225730953937786e-15,2.90423896330806e-07,1.1817329436899588e-07,1.5283394056750804e-13,7.391767283120826e-11,1.717517680759254e-07,2.1400966499452957e-10,1.3624926670718346e-12,7.399871289110545e-11,3.5860527433951337e-13,1.2951286179328592e-17,8.692159664499516e-18,1.0358329085993893e-17
5.051213308813261e-10,0.9142956835234158,3.76,0.0,0.8169445769724158,0.9999998468901499,1.5193137008879588e-13,3.608856503148291e-23,3.726558847905078e-15,3.7606120821427084e-07,1.5298440702694789e-07,2.550163102787113e-13,1.2385514276274932e-10,2.2224096634604646e-07,3.5855748604340337e-10,2.2877939499106816e-12,1.2348349204436996e-10,5.971477016189047e-13,2.804683019553009e-17,1.890548081686282e-17,2.248115629027093e-17
6.200644959962939e-10,0.9142956918325835,3.76,0.0,0.8169444912967105,0.9999998120165152,2.809927391259175e-13,7.188366417897486e-23,5.609968842223701e-15,4.617353210626477e-07,1.8779472998845885e-07,3.8259288872766577e-13,1.865935619010715e-10,2.726813701023988e-07,5.401335361080216e-10,3.4538874942027827e-12,1.8552144883885816e-10,8.940712400909713e-13,5.178611545762028e-17,3.5056047766758596e-17,4.159933430008623e-17
7.350076611112616e-10,0.914295700141876,3.76,0.0,0.8169444055838904,0.9999997771308073,4.679355185102118e-13,1.282122870357931e-22,7.874825296837565e-15,5.474462238163493e-07,2.226042628494717e-07,5.352268720248614e-13,2.621240868982396e-10,3.230730287355925e-07,7.587020416515509e-10,4.8620418406477764e-12,2.6008665230762215e-10,1.2482438951692438e-12,8.609738050755075e-17,5.852901282143623e-17,6.931006472342228e-17
8.499508262262293e-10,0.9142957084512936,3.76,0.0,0.8169443198339666,0.9999997422330387,7.234652355914341e-13,2.1136682370548053e-22,1.051999632764437e-14,6.331939054100376e-07,2.574130052063245e-07,7.12586123011433e-13,3.504378642058294e-10,3.7341599156915244e-07,1.0142272618986332e-09,6.513502596481784e-12,3.471532100905306e-10,1.6585566071098242e-12,1.328946135428362e-16,9.072269529800215e-17,1.0721292934274764e-16
9.999999999999999e-10,0.9142957250705048,3.76,0.0,0.8169442078384379,0.9999996966586459,1.1779838138656901e-12,3.720280651864694e-22,1.454347346617223e-14,7.451860194299486e-07,3.028518637981497e-07,9.807774318381364e-13,4.849456693989814e-10,4.3906153712520495e-07,1.403347367523095e-09,9.037501959517294e-12,4.795805113685624e-10,2.2768637221494296e-12,2.1592275612565263e-16,1.4821154065986917e-16,1.7468472242381701e-16
1.0798371564561647e-09,0.9142957250705048,3.76,0.0,0.8169441482228542,0.9999996724013707,1.48307318579479e-12,4.8699395958970245e-22,1.69467725840719e-14,8.047995608343935e-07,3.270281167949291e-07,1.1401733982034268e-12,5.653797179833026e-10,4.7395602679921087e-07,1.636005052449847e-09,1.055122129024013e-11,5.586870111214205e-10,2.6432703831490257e-12,2.715362774731168e-16,1.869257061421929e-16,2.200038186435062e-16
1.3097234866861002e-09,0.9142957416902203,3.76,0.0,0.816943976463463,0.9999996025216125,2.645317524955927e-12,9.645490240385493e-22,2.488131813898463e-14,9.765521987203498e-07,3.9664006153345065e-07,1.6627878804337858e-12,8.313481099907076e-10,5.743018689916361e-07,2.4051816877822e-09,1.5576570911536042e-11,8.199165173739047e-10,3.839777404803721e-12,4.827431457265443e-16,3.3510497683604817e-16,3.928128626160978e-16
1.5396098169160356e-09,0.9142957583104421,3.76,0.0,0.8169438045558827,0.9999995325938646,4.2955792243732545e-12,1.722037121429873e-21,3.4314714179107736e-14,1.1484517303849832e-06,4.662488362080235e-07,2.2779331659275117e-12,1.1482718841301261e-09,6.74453910226504e-07,3.3214725284543477e-09,2.159874203377389e-11,1.13063604852095e-09,5.239979042199362e-12,7.813261834338286e-16,5.468991681184448e-16,6.385155618348021e-16
1.769496147145971e-09,0.9142957749311713,3.76,0.0,0.8169436325002037,0.999999462618228,6.519119246229298e-12,2.8493996074749596e-21,4.523810157763597e-14,1.3204980670812336e-06,5.358544376116867e-07,2.98318051442225e-12,1.5160797450598296e-09,7.744125414884768e-07,4.3845935112148936e-09,2.8626606178822746e-11,1.4906405719621659e-09,6.836095476322206e-12,1.1818815330747101e-15,8.341398394591829e-16,9.700214892233616e-16
2.2292688076058423e-09,0.914295808174164,3.76,0.0,0.8169432879449098,0.9999993225236894,1.3026482425404718e-11,6.6320340728484004e-21,7.151970841344334e-14,1.6650308002647877e-06,6.75056107812592e-07,4.65458961970993e-12,2.4040618535728402e-09,9.737511327033563e-07,6.950192497069372e-09,4.5733406833974546e-11,2.357687672915145e-09,1.0586445123793959e-11,2.346251022151066e-15,1.6832255371629524e-15,1.942252372384808e-15
2.689041468065713e-09,0.9142958414192139,3.76,0.0,0.8169429427983009,0.9999991822387965,2.2847104508591133e-11,1.3265708754388785e-20,1.0365644354461335e-13,2.0101496870399986e-06,8.142450466173134e-07,6.658871201554415e-12,3.494721307050777e-09,1.1723207492211634e-06,1.0099717546075709e-08,6.696202245790576e-11,3.4194304060824888e-09,1.5034505844220315e-11,4.08846148549878e-15,2.980758510195038e-15,3.4134668422141184e-15
3.148814128525584e-09,0.9142958746663365,3.76,0.0,0.8169425970610973,0.9999990417643451,3.6658763097842014e-11,2.3886684841294217e-20,1.4157954325947188e-13,2.3558540152093102e-06,9.534212286160455e-07,8.97885769600566e-12,4.787482791943084e-09,1.3701244809998903e-06,1.3830916643048036e-08,9.237311607626055e-11,4.674251586910595e-09,2.0128340078950028e-11,6.517901423120802e-15,4.828038433703747e-15,5.48817470326155e-15
3.608586788985455e-09,0.9142959079155466,3.76,0.0,0.8169422507340187,0.9999989011011261,5.5137306925157143e-11,3.9809768630701794e-20,1.852211626156237e-13,2.7021430716525262e-06,1.0925846285075712e-06,1.1598303503619344e-11,6.281768846288946e-09,1.567165401784916e-06,1.8141546812872673e-08,1.220233192502211e-10,6.1205442031198955e-09,2.5820038098604615e-11,9.740851875446529e-15,7.329168285565117e-15,8.271433369232777e-15
4.068359449445326e-09,0.9142959411668574,3.76,0.0,0.8169419038177856,0.9999987602499274,7.895664745716569e-11,6.25238928586459e-20,2.34514362667695e-13,3.0490161423696607e-06,1.2317352210987757e-06,1.4501833957708298e-11,7.976999898159014e-09,1.7634465694917043e-06,2.302937407547734e-08,1.5596555419445373e-10,7.756711354280777e-09,3.206539584917665e-11,1.3860596266611691e-14,1.059095792947259e-14,1.1868846508562584e-14
4.528132109905197e-09,0.9142959744202823,3.76,0.0,0.816941556313118,0.9999986192115325,1.0878875179570877e-10,9.368790874701858e-20,2.89393098109958e-13,3.396472512519811e-06,1.3708729813041454e-06,1.7674898727886852e-11,9.872594302460081e-09,1.9589710265525924e-06,2.8492173400084452e-08,1.942493190143541e-10,9.581166191254259e-09,3.882362968840612e-11,1.8977523247255942e-14,1.4722834339552653e-14,1.638656284343426e-14
4.9879047703650675e-09,0.914296007675833,3.76,0.0,0.816941208220736,0.9999984779867209,1.4530363671773444e-10,1.3512687842754792e-19,3.4979220630101214e-13,3.7445114664540785e-06,1.5099978841453137e-06,2.110373196490382e-11,1.196796837336162e-08,2.153741800210529e-06,3.452772866383081e-08,2.3692092576988913e-10,1.1592331861820952e-08,4.605713830459501e-11,2.5189216351125236e-14,1.98367637553376e-14,2.1931275267859467e-14
5.447677430824938e-09,0.9142960409335217,3.76,0.0,0.8169408595413596,0.9999983365762686,1.8916936103711833e-10,1.8882739226010696e-19,4.1564739335996365e-13,4.093132287756255e-06,1.6491099047504857e-06,2.477530327224918e-11,1.426253642568715e-08,2.347761902876203e-06,4.113383259982637e-08,2.8402378771310477e-10,1.3788641441903053e-08,5.37312154566475e-11,3.259056598475054e-14,2.604715472319273e-14,2.861021980862047e-14
5.907450091284809e-09,0.9142960741933592,3.76,0.0,0.8169405102757095,0.9999981949809477,2.410520191465173e-10,2.569337328524557e-19,4.868952227202106e-13,4.442334259275335e-06,1.78820901835397e-06,2.8677279201697334e-11,1.6755710809627233e-08,2.5410343324033274e-06,4.830828675523886e-08,3.355986381724377e-10,1.6168537879045583e-08,6.181383106759407e-11,4.1273859489314904e-14,3.3470780370200236e-14,3.653117477434486e-14
