Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30)
0.0,0.9142956470099907,3.76,0.0,0.8169449530367683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3788703215405297e-19,0.9142956470099907,3.76,0.0,0.8169449530367682,0.9999999999999999,9.528842863992894e-41,1.4660146575360248e-50,1.660273721170254e-33,1.7693863246505262e-16,7.205163503720228e-17,1.1534787690930338e-31,5.499593507516443e-29,1.0488699742747915e-16,1.592771399796468e-28,1.0063190393056478e-30,7.226023413627905e-22,2.7254919603928177e-31,8.862418509031219e-45,1.1716023716180194e-44,7.033896976214058e-45
6.660836900313484e-19,0.9142956470099907,3.76,0.0,0.8169449530367677,0.9999999999999998,1.1312746219729428e-39,1.7404526023828765e-49,1.0028053275808639e-32,4.954281709026587e-16,2.0174457810415547e-16,6.9670117651356774e-31,3.3217544785353764e-28,2.9368359279626146e-16,9.620339254752078e-28,6.0781669974777454e-30,2.0232867316145355e-21,1.6461971440126055e-30,1.3392886850664008e-43,1.3909263356032572e-43,1.0629625110476506e-43
1.522477005785939e-18,0.9142956470099907,3.76,0.0,0.8169449530367671,0.9999999999999996,1.1106966881914077e-38,1.7087866876804954e-48,4.8280759810735596e-32,1.1324072477799163e-15,4.61130464238018e-16,3.3543162602431725e-30,1.5992817919789475e-27,6.712767835311053e-16,4.631779230580245e-27,2.9263757664082734e-29,4.6246562153129155e-21,7.925730619852375e-30,1.4407456521124463e-42,1.3656197244133506e-42,1.1434865636363894e-42
3.2352636372951205e-18,0.9142956470099909,3.76,0.0,0.8169449530367658,0.999999999999999,9.82400451837373e-38,1.5114024772450326e-47,2.1085476257937005e-31,2.4063654015426133e-15,9.799022365055683e-16,1.4649180364594707e-29,6.984483754475256e-27,1.4264631649899098e-15,2.0228196777127002e-26,1.2780251800292042e-28,9.827397995489234e-21,3.461374788696565e-29,1.3242934728276158e-41,1.2078751811581462e-41,1.051061157377334e-41
6.660836900313484e-18,0.9142956470099912,3.76,0.0,0.8169449530367633,0.999999999999998,8.257674912200517e-37,1.270424856642854e-46,8.80277126881199e-31,4.954281709100738e-15,2.0174457810399688e-15,6.115744431133125e-29,2.915884477621652e-26,2.936835927863988e-15,8.444873961461545e-26,5.335503547397825e-28,2.0232892806960104e-20,1.445055836498172e-28,1.132960947033431e-40,1.0152918698132574e-40,8.992049487915724e-41
1.351198342635021e-17,0.9142956470099916,3.76,0.0,0.8169449530367582,0.9999999999999959,6.770143655369466e-36,1.0415710626374689e-45,3.596219290298606e-30,1.0050114324347902e-14,4.0925328701059706e-15,2.4984811508065166e-28,1.1912339520482717e-25,5.957581453438016e-15,3.450006562595577e-25,2.179727292743663e-27,4.1043927434374785e-20,5.903524598251405e-28,9.367540200935347e-40,8.32397616405084e-40,7.434800406050504e-40
2.721427647842366e-17,0.9142956470099927,3.76,0.0,0.816944953036748,0.9999999999999918,5.482638998525435e-35,8.434912661797343e-45,1.4536493354432455e-29,2.024177955536589e-14,8.242707048226778e-15,1.0099260275123883e-27,4.815158095876292e-25,1.1999072503889563e-14,1.3945478133683881e-24,8.81080622921932e-27,8.266617670709584e-20,2.3862990286552295e-27,7.61752811548535e-39,6.740971714237305e-39,6.045856216573441e-39
5.461886258257056e-17,0.9142956470099945,3.76,0.0,0.8169449530367275,0.9999999999999835,4.412905299337605e-34,6.789151774145964e-44,5.845060041624867e-29,4.0625110019496523e-14,1.6543055404423607e-14,4.0608681310659026e-27,1.9361538923361016e-24,2.4082054602006622e-14,5.607415422374511e-24,3.542786436282039e-26,1.6591139532410444e-19,9.595203415280872e-27,6.143812383005881e-38,5.425720491624601e-38,4.876202065516344e-38
1.0942803479086436e-16,0.9142956470099987,3.76,0.0,0.8169449530366868,0.9999999999999668,3.5410787688634226e-33,5.44786712307581e-43,2.344130501488941e-28,8.139177095613639e-14,3.314375211663811e-14,1.6285897413874337e-26,7.764843072808887e-24,4.82480187870966e-14,2.2488243815642023e-23,1.420815818228469e-25,3.324047128443845e-19,3.8481057048775564e-26,4.9350442111766986e-37,4.353799002164751e-37,3.916830679338578e-37
2.1904637920745197e-16,0.9142956470100063,3.76,0.0,0.8169449530366053,0.9999999999999336,2.837172203577213e-32,4.3649237993587166e-42,9.388748910487881e-28,1.6292509286293057e-13,6.634514554035051e-14,6.522853596982685e-26,3.1099873486012744e-23,9.657994711269998e-14,9.007027327200953e-23,5.690674227160005e-25,6.654028690299737e-19,1.5412494267179107e-25,3.9560487556420214e-36,3.4883373248499175e-36,3.139824597595834e-36
4.382830680406272e-16,0.9142956470100224,3.76,0.0,0.8169449530364422,0.9999999999998672,2.2714629125149105e-31,3.4945941011314804e-41,3.757946330575402e-27,3.2599173681057677e-13,1.3274793238490887e-13,2.610841305433145e-25,1.2448054246029302e-22,1.9324380358560048e-13,3.6051582261456553e-22,2.2777527380091315e-24,1.3314452659810874e-18,6.169014186623467e-25,3.168047476315075e-35,2.7927909377537157e-35,2.5144061906275425e-35
8.767564457069777e-16,0.914295647010054,3.76,0.0,0.816944953036116,0.9999999999997344,1.8178606830538306e-30,2.796738961775807e-40,1.5036680176443238e-26,6.521250252421004e-13,2.6555350606255995e-13,1.0446765695385418e-24,4.980843125110593e-22,3.8657151581817646e-13,1.44253288102289e-21,9.113977979538075e-24,2.663714398201604e-18,2.468409120184922e-24,2.5357219670597774e-34,2.235081567501539e-34,2.012544058637406e-34
1.7537032010396785e-15,0.9142956470101173,3.76,0.0,0.8169449530354638,0.9999999999994689,1.4545647436291074e-29,2.23781865615118e-39,6.015651122269572e-26,1.3043916042500723e-12,5.311646533719993e-13,4.179386286937391e-24,1.9926615771071368e-21,7.732269374304283e-13,5.7710708207638186e-21,3.64618475216896e-23,5.3289900159041894e-18,9.87524296590294e-24,2.029091245609209e-33,1.788404890836893e-33,1.610442994219522e-33
3.5075967117050805e-15,0.9142956470102441,3.76,0.0,0.8169449530341593,0.9999999999989376,1.1637622807052912e-28,1.7904290155140593e-38,2.4064562263133563e-25,2.608924770845714e-12,1.0623869478074277e-12,1.6718903799492047e-23,7.971294972963256e-21,1.5465377692433312e-12,2.3086161864194223e-20,1.458592677649494e-22,1.0662490664262721e-17,3.9504179984087936e-23,1.6234784137370109e-32,1.430859841686144e-32,1.2885175226761256e-32
