Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17)
0.0,0.5790082903901679,3.76,0.0,0.9519874833142186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5790082903901678,3.76,0.0,0.9519874833142185,0.9999999999999999,4.829160065367808e-37,2.906282516099496e-53,2.96514212073331e-37,4.2053904007865293e-17,4.184133750923333e-17,9.097554994821343e-28,1.5122847363171573e-28,2.1256649917761668e-19,2.5970560662595573e-25,8.615282562540068e-29,5.0868585803817744e-26,4.981480552588415e-30,3.4202946813661565e-37,1.7685945110203764e-44,5.708481737006552e-38,7.434976526776694e-43,1.1108163827877718e-40,2.9345271325080563e-29,3.968844860941926e-62,6.996923442070003e-61,2.9408380815005697e-70,8.922781954151967e-92,2.595398397076719e-25,3.068935939853714e-32
3.0000000000000002e-15,0.5790082903901678,3.76,0.0,0.9519874833142185,0.9999999999999999,4.080148024822611e-36,2.455511968005358e-52,1.488622293780308e-36,1.0384739560920367e-16,1.0332248650245865e-16,4.5673439155965596e-27,7.592286621070159e-28,5.249091094844004e-19,6.417366165015004e-25,4.325223493610266e-28,1.2579297949999436e-25,2.5009065324135295e-29,1.7171423959802716e-36,1.4943529174158458e-43,2.8721039768617293e-37,6.281796473139653e-42,9.385264201085947e-40,1.4732523971311361e-28,5.0662219892495456e-61,2.450834829325383e-59,1.5826785823204014e-68,6.911649043104231e-90,6.409043989125345e-25,1.540730933187743e-31
7e-15,0.5790082903901679,3.76,0.0,0.9519874833142183,0.9999999999999998,6.376462481884961e-35,3.8374772222240027e-51,9.161681749433056e-36,2.7206301162303583e-16,2.7068783653995856e-16,2.8109587683039386e-26,4.672651163423152e-27,1.3751750999368371e-18,1.6841847319574055e-24,2.6619464986670922e-27,3.307999962319988e-25,1.539175737051888e-28,1.0568106539173274e-35,2.335287903022276e-42,1.7679095527648703e-36,9.817203497907394e-41,1.4667302820134663e-38,9.067089956171063e-28,2.1500502685121966e-59,5.730311166700064e-58,9.811101307807453e-67,1.4267254811931713e-87,1.6790628725054663e-24,9.482380686977606e-31
1.5e-14,0.5790082903901679,3.76,0.0,0.9519874833142179,0.9999999999999993,6.30333510385078e-34,3.7934651530027954e-50,4.348469086416813e-35,6.084942435991289e-16,6.054185366166157e-16,1.334184220106198e-25,2.217811811830784e-26,3.0757070625346385e-18,3.7796874557945685e-24,1.2634575713460646e-26,7.452976714866029e-25,7.305492684139777e-28,5.016063525544905e-35,2.30850325852712e-41,8.414147207974526e-36,9.704616434677357e-40,1.4499083387159036e-37,4.303573872067161e-27,4.3669399569781934e-58,1.218786479987424e-56,4.196180536257659e-65,9.67899468044286e-86,3.755377230044239e-24,4.500682713683391e-30
3.1e-14,0.5790082903901678,3.76,0.0,0.9519874833142172,0.9999999999999987,5.5302948621449846e-33,3.32823049201056e-49,1.8803817787414484e-34,1.2813567073450296e-15,1.2748799367765597e-15,5.7693345325145485e-25,9.590353812570158e-26,6.476770914501954e-18,8.013118874256836e-24,5.463495816962866e-26,1.5922275881704051e-24,3.159071001763735e-27,2.1691153732199315e-34,2.0253895132091793e-40,3.659721631038845e-35,8.514443176084185e-39,1.2720900197015885e-36,1.8609693082761017e-26,7.72331113841373e-57,2.2343566779187517e-55,1.5455028925412667e-63,7.612061797959395e-84,7.907995586559423e-24,1.9462010314529286e-29
6.300000000000001e-14,0.5790082903901679,3.76,0.0,0.9519874833142159,0.9999999999999973,4.622170130780591e-32,2.781697153686256e-48,7.80774290752214e-34,2.62708163401169e-15,2.6138027371229658e-15,2.3955527693950237e-24,3.9821230883990474e-25,1.3278898325523456e-17,1.6649685587025362e-23,2.2685622208312826e-25,3.3578256783340866e-24,1.3117144901357258e-26,9.007042633140597e-34,1.6928024845870933e-39,1.537356209772265e-34,7.116293664747765e-38,1.0631983635863806e-35,7.727148932912744e-26,1.2952980959437839e-55,3.8178552657328224e-54,5.294250404564474e-62,5.376595424426731e-82,1.621319086554837e-23,8.081025503225495e-29
1.2700000000000001e-13,0.5790082903901679,3.76,0.0,0.9519874833142132,0.9999999999999947,3.777639420913595e-31,2.273432402643728e-47,3.180757181858104e-33,5.318531484044451e-15,5.291648337921853e-15,9.759146842884044e-24,1.6222614635373368e-24,2.6883151975914062e-17,3.460163445747622e-23,9.241807690734752e-25,7.175974822627386e-24,5.343739088946991e-26,3.669673749438818e-33,1.3835053057715299e-38,6.407806265071575e-34,5.816053315757493e-37,8.689334286714985e-35,3.1479331307220492e-25,2.1204246105491146e-54,6.308950239582775e-53,1.751831680897133e-60,3.6096038503549495e-80,3.282341568902476e-23,3.292077927252981e-28
2.55e-13,0.5790082903901679,3.76,0.0,0.9519874833142079,0.9999999999999893,3.05423371968272e-30,1.8380573624609604e-46,1.2838718505264294e-32,1.0701431170907738e-14,1.0647339539943928e-14,3.9391744167114506e-23,6.54808534977946e-24,5.409165459008676e-17,7.3220793510336e-23,3.730358124976671e-24,1.5960084461330903e-23,2.1569408728062867e-25,1.4814911633818746e-32,1.118568043723577e-37,2.7033764650730893e-33,4.702296719654217e-36,7.025278299779538e-34,1.270629885163177e-24,3.430711322619702e-53,1.0257022423643776e-51,5.699623446195885e-59,2.3652061202308397e-78,6.604320241128458e-23,1.328796582900167e-27
5.11e-13,0.5790082903901679,3.76,0.0,0.9519874833141971,0.9999999999999787,2.4562689391664728e-29,1.478166000195851e-45,5.158624636253098e-32,2.1467230491825485e-14,2.135872194568527e-14,1.5827847482431444e-22,2.6310628419826105e-23,1.0850864107200639e-16,1.6132015312231185e-22,1.4988827366619017e-23,3.8119545093233955e-23,8.666707910034825e-25,5.954868528652598e-32,8.995713626052294e-37,1.1802055792962833e-32,3.7816684425265486e-35,5.6497301668888276e-33,5.105474724591898e-24,5.517915167677081e-52,1.654223670478935e-50,1.838986876660964e-57,1.531497243243033e-76,1.3248012426353302e-22,5.339065199844511e-27
