Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77)
0.0,0.7118282280392424,3.76,0.0,0.8432079109090456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.993674290979773e-17,0.7118282280392424,3.76,0.0,0.8432079109090453,0.9999999999999998,3.0058305593500285e-37,3.7250610271041865e-50,3.5514225648721533e-34,2.442689839983234e-16,2.170001738500343e-16,9.910770452843535e-29,1.3035613395774501e-27,2.7268810141175702e-17,2.5075448422433496e-22,8.755878411385338e-29,3.4936754587556697e-23,1.2450767380922964e-29,5.657161564573517e-35,7.544845321826885e-43,2.5722354943877635e-36,7.978629189899266e-41,1.981449975870202e-40,5.549368961344575e-29,4.124828820716215e-59,2.1877117597232878e-58,4.374384394379058e-68,3.5809813384707614e-88,2.5075149026727445e-22,1.2307691020854458e-30,1.1367737652280054e-45,3.546766215145316e-48,3.066365123052001e-44,5.5300524383766234e-39,2.287462126458461e-40,1.8379162464709196e-73,4.311164248112493e-70,1.5695176578287336e-83,9.107993482829069e-88,1.2661212773502304e-62,1.6968112356337299e-43,-1.716049396553376e-89,-1.902520935564694e-101,1.1040250128127543e-74,2.800723644361266e-45
1.3982288014743366e-16,0.7118282280392424,3.76,0.0,0.8432079109090449,0.9999999999999993,3.5685242345610004e-36,4.42239243714639e-49,2.1450592217772245e-33,6.839531552045373e-16,6.076004867801068e-16,5.98610534345335e-28,7.873510489830354e-27,7.635266838146593e-17,7.021222512059884e-22,5.288550562895614e-28,9.782689298239866e-23,7.520263474674734e-29,3.4169257459439262e-34,8.957469928911367e-42,1.5536425605598104e-35,9.47222847755651e-40,2.352377434633518e-39,3.3518188526215584e-28,9.230538150685334e-58,6.584375436453612e-57,2.4093295005985826e-66,3.2165256865014405e-86,7.021041677053458e-22,7.433845295316698e-30,1.3495780438677465e-44,4.210720884351569e-47,3.640387970330895e-43,6.565277601663616e-38,2.7156808791025063e-39,1.118094785675595e-71,2.295000293539977e-68,1.5196226797084108e-81,8.818449135437177e-86,2.8325170219460637e-61,2.014454241533336e-42,1.0641876533143702e-87,2.1725061666832867e-99,6.716337247597644e-73,3.3254900157634697e-44
3.1959515462270547e-16,0.7118282280392424,3.76,0.0,0.843207910909044,0.9999999999999986,3.503599215314106e-35,4.3419310874635065e-48,1.0327536707564854e-32,1.563321497653892e-15,1.3888011126402942e-15,2.882052032590683e-27,3.790756373665037e-26,1.7452038480674222e-16,1.604896566680676e-21,2.5462094456591586e-27,2.2362309032102028e-22,3.6206831192672614e-28,1.645102819145995e-33,8.794597670998878e-41,7.480242123763886e-35,9.29988988400146e-39,2.3095780863566572e-38,1.6137564939131276e-27,1.824106207090527e-56,1.4504350255678943e-55,1.068460590862362e-64,3.106910733508183e-84,1.6048095024093975e-21,3.5790764269453376e-29,1.3250242130954537e-43,4.134110793031502e-46,3.5741530057852484e-42,6.4458270973230515e-37,2.6662839665663147e-38,5.0476142529058874e-70,1.1183826808673862e-66,1.4809616372473452e-79,8.59409744874077e-84,5.597597423617131e-60,1.977802998280473e-41,1.0995930930189064e-85,4.482992394614047e-97,3.032090073901929e-71,3.2659832856133416e-43
6.791397035732491e-16,0.7118282280392425,3.76,0.0,0.8432079109090422,0.999999999999997,3.09889420901745e-34,3.8403888191681126e-47,4.510306542601467e-32,3.3220581827003104e-15,2.95120236436084e-15,1.2586678319117051e-26,1.6555228993762888e-25,3.708558174360781e-16,3.410600323675397e-21,1.1119965619951843e-26,4.75279167193839e-22,1.5812474211014281e-27,7.184597602937955e-33,7.778761961333044e-40,3.266924783351671e-34,8.225646920153594e-38,2.0427955837682742e-37,7.047698580433444e-27,3.2461492067677543e-55,2.703113573480576e-54,4.0028685281390826e-63,2.4237068090173272e-82,3.4102200911291416e-21,1.5630766336653884e-28,1.1719697769238239e-42,3.656574279853772e-45,3.161295205812444e-41,5.7012586096879464e-36,2.358319989006912e-37,1.9058829851896967e-68,4.355815877676415e-65,1.1565657731076923e-77,6.711611165084856e-82,9.96425045935692e-59,1.7493441377431337e-40,8.735333164556854e-84,7.144843110348811e-95,1.1448704344613617e-69,2.890499639175033e-42
1.3982288014743365e-15,0.7118282280392425,3.76,0.0,0.8432079109090387,0.9999999999999939,2.604807453288704e-33,3.2280781074858877e-46,1.8829641405876594e-31,6.839531553383982e-15,6.076004867802613e-15,5.254690353702836e-26,6.911482205455937e-25,7.635266818098827e-16,7.022628341844824e-21,4.6423667674597216e-26,9.788460497203758e-22,6.601396538881205e-27,2.999429225384978e-32,6.538533916131075e-39,1.3639656894237709e-33,6.914151255870286e-37,1.7170926334618513e-36,2.9422754228780903e-26,5.47530337871827e-54,4.6586019867954225e-53,1.3834568143663472e-61,1.707894805049784e-80,7.021040945815219e-21,6.525536645408869e-28,9.851126705948123e-42,3.0735711747031804e-44,2.6572546417497904e-40,4.7922472475930484e-35,1.9823470858995945e-36,6.612392611574301e-67,1.532149237002494e-63,8.14785754102282e-76,4.72824349828834e-80,1.6818387650291509e-57,1.4704287897388227e-39,6.208707206423655e-82,1.0173174737726393e-92,3.972163153189877e-68,2.432624151539539e-41
2.836406997276511e-15,0.7118282280392425,3.76,0.0,0.8432079109090317,0.9999999999999877,2.135578581021226e-32,2.646573307627564e-45,7.692522457745061e-31,1.3874478297114661e-14,1.2325609874688891e-14,2.146712404300122e-25,2.8235659895987873e-24,1.5488684070180247e-15,1.4249166394892442e-20,1.896558315988965e-25,1.9869987298858306e-21,2.696885741353352e-26,1.2253656512556856e-31,5.360691354112021e-38,5.5729711676537175e-33,5.668637929841062e-36,1.407776045853997e-35,1.202015514141698e-25,8.99334718769366e-53,7.732159460736274e-52,4.5987302768723855e-60,1.1461604443020002e-78,1.4242681364173972e-20,2.6658941458897976e-27,8.076572740587091e-41,2.5198996199797765e-43,2.1785705841535033e-39,3.928967038997883e-34,1.6253086445459338e-35,2.2022022551217493e-65,5.13592182636512e-62,5.466422805373007e-74,3.172192459087758e-78,2.7664401416670743e-56,1.2055457645873481e-38,4.1846873673823785e-80,1.3723830839508694e-90,1.3229466464914664e-66,1.999307443480053e-40
5.71276338888086e-15,0.7118282280392427,3.76,0.0,0.8432079109090176,0.9999999999999751,1.7294469189960366e-31,2.1432634270113052e-44,3.1094402043416308e-30,2.7944371794029374e-14,2.4824819888472368e-14,8.677354270664442e-25,1.1413305119160078e-23,3.119551843276438e-15,2.8712170567733264e-20,7.666192066336755e-25,4.007379750576515e-21,1.0901242205018071e-25,4.953131510412607e-31,4.3412292039398354e-37,2.253271169616031e-32,4.5906083369246486e-35,1.1400531548859137e-34,4.858738892394566e-25,1.4578670576305162e-51,1.2598864258341104e-50,1.499682957128485e-58,7.510252264608074e-77,2.8685957036839743e-20,1.077596636122587e-26,6.540656693753666e-40,2.040680487893822e-42,1.764251093215742e-38,3.181768375940454e-33,1.3163154510087331e-34,7.188351258921459e-64,1.6817517559821095e-60,3.5812408140079134e-72,2.0782109762134028e-76,4.497535191025141e-55,9.762812494071812e-38,2.748458762605269e-78,1.8031305252059713e-88,4.318647694972601e-65,1.627019659484592e-39
1.146547617208956e-14,0.7118282280392431,3.76,0.0,0.8432079109089895,0.9999999999999502,1.3920093346956637e-30,1.7250844559848737e-43,1.2502919360696806e-29,5.608415882567219e-14,4.9823239916082996e-14,3.489125587915774e-24,4.5892397424949097e-23,6.260918659161784e-15,5.767789117968153e-20,3.0825422088570998e-24,8.064444432679033e-21,4.383340615206406e-25,1.991638530703161e-30,3.4941996974915045e-36,9.065025782416429e-32,3.6949183426935464e-34,9.176133392766635e-34,1.953677537905933e-24,2.347839466947426e-50,2.0342003391111834e-49,4.8444313425544604e-57,4.863303345165532e-75,5.75724877259793e-20,4.3329654495571106e-26,5.264551810937793e-39,1.6425179045611898e-41,1.420003692091608e-37,2.5609462929806775e-32,1.0596435472728768e-33,2.323148530051436e-62,5.443604234686405e-59,2.3188088205980394e-70,1.3456144773681675e-74,7.285066883898899e-54,7.85794527994366e-37,1.7825650201448537e-76,2.3384251792346468e-86,1.3959252859489553e-63,1.3223302555445666e-38
2.2970901738506958e-14,0.711828228039244,3.76,0.0,0.8432079109089332,0.9999999999999002,1.1169998071030223e-29,1.3842709762596504e-42,5.0142275099730575e-29,1.1236373304021145e-13,9.982007997147896e-14,1.3992950949318018e-23,1.840490356699673e-22,1.2543652064406566e-14,1.1576818146291877e-19,1.2362373729192207e-23,1.6243784354025002e-20,1.7579148904329502e-24,7.987410498482656e-30,2.8038752026333487e-35,3.639267846284553e-31,2.9649350661892504e-33,7.36325916770395e-33,7.835120720885419e-24,3.7687429609909564e-49,3.2695013758025675e-48,1.5575293857459185e-55,3.13080625118567e-73,1.1534546647961048e-19,1.7377103512425144e-25,4.224571224269116e-38,1.3180183200021063e-40,1.1394329237550558e-36,2.0549697058350665e-31,8.505513484177602e-33,7.470882181129723e-61,1.7519372100052303e-57,1.4926615238871863e-68,8.661961346995511e-73,1.1828743044711867e-52,6.305481238031774e-36,1.1493557558789346e-74,3.0132990003616165e-84,4.490456299529964e-62,1.0815698346337694e-37
