Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49)
0.0,0.5670688463336616,3.76,0.0,0.5585719703956643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5670688463336615,3.76,0.0,0.5585719703956642,0.9999999999999998,1.4198243490965405e-36,9.686611936988131e-52,4.391915594865104e-36,8.436222405161825e-17,8.346316956374284e-17,1.5680693323467318e-27,6.323998165643716e-28,8.99054488046472e-19,1.7690682884190187e-24,2.487085708093748e-28,4.976122294053404e-25,1.8141530667513714e-29,2.0017013544335542e-36,1.563416922950784e-43,2.535799382786848e-37,5.237775278827915e-42,8.100531287621945e-40,6.098999458469307e-29,1.6214626290050492e-60,2.1333525977971325e-59,1.5477979570794852e-68,2.2138486185402842e-89,1.768488977586473e-24,2.14638860519035e-31,3.204053420725608e-47,5.0891955828260384e-49
3.0000000000000002e-15,0.5670688463336615,3.76,0.0,0.558571970395664,0.9999999999999997,1.1996071647152972e-35,8.18419808048491e-51,2.204920808573619e-35,2.0832304306319304e-16,2.061029289230496e-16,7.872348022094155e-27,3.1749051972974114e-27,2.2201141410021317e-18,4.369992754874798e-24,1.248618540710127e-27,1.2298226254111482e-24,9.10778871067356e-29,1.0049433905248173e-35,1.3210257353208002e-42,1.2752150213526203e-36,4.425385629523583e-41,6.844121873310972e-39,3.0619466668789765e-28,2.0671654120359236e-59,7.448972321632418e-58,8.303588783236962e-67,1.7101860415656628e-87,4.367084378044696e-24,1.0775745763245193e-30,2.7070979908091403e-46,4.2998916091255606e-48
7e-15,0.5670688463336615,3.76,0.0,0.5585719703956638,0.9999999999999994,1.8747477912644066e-34,1.2790275773345692e-49,1.3570120462487417e-34,5.457719392435264e-16,5.399556071809174e-16,4.845014061775154e-26,1.9539863595100492e-26,5.816332067894313e-18,1.1458934251464202e-23,7.684587315066327e-27,3.2290626232743086e-24,5.605362282723896e-28,6.18489666035159e-35,2.06437799542363e-41,7.849243211234576e-36,6.9160010982265455e-40,1.0696002657925755e-37,1.8844663632007802e-27,8.780658485132845e-58,1.7442261452246969e-56,5.15689087111628e-65,3.516027019297955e-85,1.1441034729084575e-23,6.631899471721373e-30,4.230656313312949e-45,6.719860326575914e-47
1.1e-14,0.5670688463336615,3.76,0.0,0.5585719703956634,0.9999999999999991,6.007885726536475e-34,4.098818126006593e-49,3.1962381448550504e-34,8.832208354047431e-16,8.738082854409036e-16,1.14117040118804e-25,4.602321887088419e-26,9.41254997628811e-18,1.8557140655497777e-23,1.809989329063333e-26,5.23473191853395e-24,1.3202589914787284e-27,1.4567645567659261e-34,6.615582874115753e-41,1.8502173948483976e-35,2.2163271357635103e-39,3.4276797463900046e-37,4.438577972934749e-27,3.6262838861393373e-57,7.418091935525761e-56,2.6699207504221036e-64,1.8663299476792247e-84,1.851498101436629e-23,1.5620441222303927e-29,1.3557714425816793e-44,2.1534749696402073e-46
1.9e-14,0.5670688463336616,3.76,0.0,0.5585719703956628,0.9999999999999984,3.105706600952754e-33,2.1188351893850588e-48,9.685513651741057e-34,1.5581186276507081e-15,1.541513641969349e-15,3.458072585910777e-25,1.3946351630226205e-25,1.660498571908217e-17,3.2790613092960354e-23,5.484785427728493e-26,9.271787698039253e-24,4.0007619740869676e-27,4.414454556105592e-34,3.419852192425943e-40,5.618876337239809e-35,1.1457044919752635e-38,1.7718981542444675e-36,1.3450160844832113e-26,3.2055356679114337e-56,7.493051519748388e-55,4.632508330244828e-63,7.063071468309189e-83,3.2662857321915936e-23,4.7334375541278113e-29,7.008498726138704e-44,1.1132215431475222e-45
3.5e-14,0.5670688463336615,3.76,0.0,0.5585719703956614,0.9999999999999971,2.0644305016000074e-32,1.4084340146663791e-47,3.390734811872455e-33,2.9079142118367675e-15,2.8769243550601327e-15,1.2106133082050195e-24,4.88238453627364e-25,3.098985690869617e-17,6.140579648241716e-23,1.9201317423805275e-25,1.744876800819474e-23,1.4005995908349027e-26,1.545457112940428e-33,2.273250205342415e-39,1.976057960975711e-34,7.615745835471635e-38,1.1778176524484541e-35,4.7086765194705294e-26,4.099667080573222e-55,9.576558922122921e-54,1.1608530129378405e-61,3.1573928655122404e-81,6.095854488511106e-23,1.6570951462730195e-28,4.6586952387659115e-43,7.399937459944401e-45
6.7e-14,0.5670688463336615,3.76,0.0,0.5585719703956588,0.9999999999999944,1.52361353100394e-31,1.0394653373190256e-46,1.2732407258181714e-32,5.607505378985397e-15,5.547745781377269e-15,4.545927336420401e-24,1.8333656576717894e-24,5.975959810402775e-17,1.1922911729505708e-22,7.210214208725892e-25,3.421420359469153e-23,5.259336080717394e-26,5.8035156199663564e-33,1.677728712408776e-38,7.487828136959258e-34,5.620655449890172e-37,8.692636427110347e-35,1.76813728289651e-25,5.987435914801573e-54,1.3750062721691182e-52,3.3147524001106195e-60,1.7085371318070615e-79,1.1754965980509235e-22,6.222478120113062e-28,3.4382524011135375e-42,5.461548159430726e-44
1.31e-13,0.5670688463336616,3.76,0.0,0.5585719703956533,0.9999999999999891,1.1745532220142498e-30,8.013196425451291e-46,4.940491173569242e-32,1.1006687708388716e-14,1.088938863455382e-14,1.7639358935283234e-23,7.113929059696241e-24,1.1729907575910576e-16,2.372475748600392e-22,2.7977484590986154e-24,6.939097432527889e-23,2.04075559959165e-25,2.2520897904158514e-32,1.2933607550180307e-37,2.9578489506130913e-33,4.332960980288942e-36,6.701116866291149e-34,6.860826718274247e-25,9.196733013771112e-53,2.0869720776815346e-51,1.0038664057154213e-58,1.010068805475889e-77,2.3073084882908063e-22,2.4144679830634504e-27,2.650534288166371e-41,4.2105596360504164e-43
2.59e-13,0.5670688463336617,3.76,0.0,0.5585719703956425,0.9999999999999785,9.231554243267006e-30,6.298015204767106e-45,1.9470605801970853e-31,2.1805052347619615e-14,2.1572674343076032e-14,6.951740291463722e-23,2.803628925035773e-23,2.3237801212692545e-16,4.827717521871906e-22,1.1026045660215027e-23,1.46328111559634e-22,8.04268885548653e-25,8.876971956695494e-32,1.0165344803848533e-36,1.2069551976666726e-32,3.405546166844625e-35,5.266776720440676e-33,2.7038806264311786e-24,1.4431796066974636e-51,3.253513558631729e-50,3.1266205863362917e-57,6.220788968081004e-76,4.57089063690451e-22,9.515414627059848e-27,2.083200794629684e-40,3.3097423109229576e-42
5.15e-13,0.5670688463336616,3.76,0.0,0.5585719703956209,0.9999999999999571,7.321670296898693e-29,4.994944038631238e-44,7.731288918749759e-31,4.340178154777875e-14,4.29392457687969e-14,2.7603794689575353e-22,1.1132592246509934e-22,4.625358090932541e-16,1.0117691431372709e-21,4.378202011974904e-23,3.265367494635191e-22,3.1935636448633916e-24,3.525955595161428e-31,8.062285977919203e-36,5.120101980531207e-32,2.7009830024082646e-34,4.177066867969368e-32,1.0736516790844947e-23,2.2866916967692516e-50,5.1389355923077704e-49,9.871936657617143e-56,3.906741350209345e-74,9.097888412850734e-22,3.7782789116906394e-26,1.6521810397750602e-39,2.6256322646783867e-41
1e-12,0.5670688463336616,3.76,0.0,0.55857197039558,0.9999999999999166,5.563412238261549e-28,3.79529008642251e-43,2.959508673552101e-30,8.431745961857628e-14,8.341888307305768e-14,1.0566764937446174e-21,4.261579434585023e-22,8.985766607827258e-16,2.1577624071269237e-21,1.6759866438551534e-22,7.677300454787923e-22,1.2224946759690675e-23,1.3505779892882828e-30,6.126194982215793e-35,2.2072880358906105e-31,2.0523546094355835e-33,3.173839633005388e-31,4.109963225323556e-23,3.459049131814681e-49,7.76586186891596e-48,2.977701852084919e-54,2.34833120572892e-72,1.7673796255371884e-21,1.4462707857321722e-25,1.2553682704612406e-38,1.9960533132143624e-40
