Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202),C2O3(290),C3H5(167),C3H3(983),CHO2(209),C3H7(93),CH3O2(749),C3H5(201),C2O3(295),CHO3(520),CO3(1196),C2HO2(133),CO3(268)
0.0,0.8633883677236388,3.76,0.0,0.8696715453715458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5491111574931598e-18,0.8633883677236388,3.76,0.0,0.8696715453715455,0.9999999999999999,4.462651267343257e-39,1.0387567904186008e-49,3.757432655011183e-33,3.313379350058142e-16,1.7837249386690287e-16,1.8408910583768096e-30,4.236302129372421e-28,1.529654411360584e-16,6.1524847369869005e-21,9.041803797558098e-30,6.556916946851614e-22,2.1387408435922948e-30,1.2141926022216387e-34,2.0565278077299352e-43,1.696958641098707e-36,1.6011888677714087e-42,3.6447754647559816e-42,6.315418153221464e-30,1.9650001169164883e-59,1.1346200258521218e-58,8.544165562779672e-69,7.060342111652849e-88,6.152483516841224e-21,7.856478717089542e-31,2.660329674676862e-47,9.692737888444506e-49,4.764262414846235e-46,9.575679070027529e-41,4.012087364245582e-42,7.800628165817249e-75,8.181738149552172e-72,1.7118313844518609e-85,3.1283349483645144e-89,1.638367463610938e-63,1.7045344152212966e-45,-2.9032322316074294e-90,8.516099537043561e-92,2.179645404018633e-76,3.6026615487665123e-47,-1.3172323284437002e-91,6.742569188276462e-91,4.7834192377018916e-77,2.1332876917523438e-42,8.111127976291016e-58,3.1037100120455603e-89,6.246663675906023e-102,9.274498181234088e-84,1.8011440621629139e-59,8.725163975324919e-115,-1.1384618665524682e-95,2.4447792121768956e-109,-1.0118392166917024e-94,5.412649417778282e-103,1.1976393178362081e-46,1.9806065177392064e-69,2.1162795883754434e-65,-2.8243927643363113e-96,3.336723113876695e-112,2.6807096060186985e-75,2.7043877715328586e-81,1.6211802026735572e-100,5.562892603197449e-81
4.3375112409808475e-18,0.8633883677236389,3.76,0.0,0.8696715453715449,0.9999999999999994,5.298085470422597e-38,1.2332120635596701e-48,2.2694893233974282e-32,9.277462180202088e-16,4.994429828272403e-16,1.111898199110418e-29,2.558726486121491e-27,4.28303235175737e-16,1.7226961213631196e-20,5.461249494021786e-29,1.8359380952591346e-21,1.291799469257633e-29,7.3337233317417075e-34,2.441699814669922e-42,1.0249632421382007e-35,1.9009314233109112e-41,4.3270804417017185e-41,3.814512564537042e-29,4.3971265554752165e-58,3.1586819805938934e-57,3.8198063384872745e-67,5.7529914774152475e-86,1.722695384395132e-20,4.745313143739494e-30,3.1583433905102316e-46,1.1507218422197196e-47,5.6561323087927e-45,1.136824615833254e-39,4.763150422639413e-41,4.7456012389784265e-73,4.085413964616186e-70,1.5669846616210499e-83,2.95544677633535e-87,3.664967556155715e-62,2.0236232552544163e-44,2.859532008883599e-88,9.709116815972638e-90,1.3259847533115253e-74,4.2771445537130124e-46,1.295549042454096e-89,6.127645956578119e-89,2.910021224867976e-75,2.532639147011338e-41,1.8145617725211499e-56,3.5385076262285863e-87,1.288162620402719e-99,7.15661828732707e-82,4.0290872107170344e-58,1.3914236261889928e-112,1.1210978616269286e-93,2.6051021045131043e-107,9.95916832298787e-93,1.1161756420208926e-100,1.4218373915697956e-45,6.2318528543801524e-68,4.734101260219139e-64,2.7786947215541385e-94,3.555587290179685e-110,1.6308376194013236e-73,1.645211447132949e-79,1.7275114327718442e-98,3.3841796746570454e-79
9.914311407956224e-18,0.8633883677236389,3.76,0.0,0.8696715453715437,0.9999999999999988,5.201703075035472e-37,1.210774920788999e-47,1.0926614157332619e-31,2.1205627840647152e-15,1.1415839607475638e-15,5.353311195522144e-29,1.2319166591923218e-26,9.789788232341885e-16,3.937592996719129e-20,2.629356544774938e-28,4.196436296969815e-21,6.219458369084419e-29,3.530872108287167e-33,2.3973586145509634e-41,4.934759008313796e-35,1.8663457427016636e-40,4.24835455409068e-40,1.8365235989437113e-28,8.689333326395948e-57,6.7897286948437045e-56,1.5664276919204084e-65,4.734415008463891e-84,3.9375894485355063e-20,2.284664008855733e-29,3.100880271078295e-45,1.1297855284663356e-46,5.553224177395197e-44,1.1161411419851168e-38,4.676489973566491e-40,2.1423926190313853e-71,2.0673522825027832e-68,1.5773683071945596e-81,2.920515721639091e-85,7.241371232404383e-61,1.9868053066433773e-43,2.866870015200229e-86,8.790121831316171e-88,5.986129916860193e-73,4.1994630665949346e-45,1.298971191838419e-87,6.194613389475489e-87,1.3137204064307676e-73,2.48656013152146e-40,3.585398337980376e-55,3.2035780316537994e-85,2.3340388247394092e-97,7.799632670983645e-80,7.960797323367892e-57,6.37739029326614e-110,1.1251946632607764e-91,5.928603858538897e-105,9.99152700667103e-91,2.022414121206051e-98,1.3959683685172874e-44,1.3924181583227554e-66,9.35408241119962e-63,2.7866901839398808e-92,8.09177705833146e-108,7.36235820138952e-72,7.427280451389495e-78,3.931414152633725e-96,1.5277822698343331e-77
2.1067911741906975e-17,0.8633883677236391,3.76,0.0,0.8696715453715413,0.9999999999999974,4.600851967132739e-36,1.0709167127938828e-46,4.771939468309629e-31,4.506195916216592e-15,2.4258659165868052e-15,2.3379316418263405e-28,5.380103704001459e-26,2.080329999267468e-15,8.367393067539745e-20,1.1483090827497558e-27,8.9174543026421e-21,2.716200867144039e-28,1.542024626335336e-32,2.120469610466136e-40,2.155140833791416e-34,1.6507616718149208e-39,3.757622012076794e-39,8.020581054455944e-28,1.5463307401012977e-55,1.2530332884572536e-54,5.681337906599755e-64,3.445783160197794e-82,8.367377571689673e-20,9.97772794927326e-29,2.742693486182215e-44,9.992825056126626e-46,4.911763783175726e-43,9.87214187527236e-38,4.136303566826429e-39,8.089268089880815e-70,8.16639130175635e-67,1.2475877641669972e-79,2.293411293218452e-83,1.2885672713063506e-59,1.7573067844655414e-42,2.254762900434078e-84,6.66224291031887e-86,2.260249443880636e-71,3.714621557551692e-44,1.0216540099373419e-85,4.9074898350674883e-85,4.960354461431429e-72,2.1993342745109202e-39,6.380130315134403e-54,2.4280682017129e-83,3.54185849846764e-95,6.380583774367509e-78,1.4165813329619273e-55,2.1843119063490636e-107,8.868144819184145e-90,1.001908183345372e-102,7.868230872480619e-89,3.0689764100581888e-96,1.2347181883759535e-43,2.6158431166386316e-65,1.6646148408920245e-61,2.1928210783475072e-90,1.3675049738554961e-105,2.779866274046517e-70,2.804406966969067e-76,6.643917389361588e-94,5.7686286760226e-76
4.337511240980848e-17,0.8633883677236392,3.76,0.0,0.8696715453715366,0.9999999999999949,3.8672950863622476e-35,9.00170036343968e-46,1.99219079048781e-30,9.277462180771814e-15,4.994429828259668e-15,9.76040437070398e-28,2.246087388721892e-25,4.283032350999534e-15,1.7227018489615365e-19,4.7939643776041986e-27,1.8359576722990344e-20,1.1339603914762199e-27,6.437649369688077e-32,1.782395585225276e-39,8.997304824029927e-34,1.3875646477967622e-38,3.1585079160185996e-38,3.348434704716224e-27,2.6082021639733246e-54,2.1499148533164645e-53,1.9344370840540115e-62,2.3507181321898576e-80,1.722695379749168e-19,4.165504996513422e-28,2.305399139467644e-43,8.399571573970967e-45,4.128633224845131e-42,8.298129874321687e-37,3.476814304722178e-38,2.80654306607365e-68,2.889980426148307e-65,8.83726694388196e-78,1.6195434747385525e-81,2.1733698761890013e-58,1.4771222221961495e-41,1.595254953544436e-82,4.63254738062656e-84,7.84186008170523e-70,3.1227737715414132e-43,7.228347969226e-84,3.4786255578486445e-83,1.7209767963905194e-70,1.8486729734812672e-38,1.0761106741303076e-52,1.688341513976943e-81,4.928568680653215e-93,4.59215243792784e-76,2.389271414728134e-54,6.445127366580783e-105,6.300397704645318e-88,1.467015277698129e-100,5.580774748781685e-87,4.2705500639390835e-94,1.0378549930643542e-42,4.5458669972671695e-64,2.807973468477515e-60,1.5529569071443637e-88,2.0024171394478287e-103,9.644505765901578e-69,9.729840335609576e-75,9.728159189875249e-92,2.0014146286626778e-74
8.798951374561148e-17,0.8633883677236401,3.76,0.0,0.869671545371527,0.9999999999999898,3.1706428743012092e-34,7.380138009072693e-45,8.138749400974528e-30,1.8819994710888114e-14,1.013155765158291e-14,3.987443650467486e-27,9.175999862008268e-25,8.688437053125693e-15,3.494637045550413e-19,1.958490873270537e-26,3.72441671997013e-20,4.632598184711437e-27,2.6299899068978917e-31,1.461320805317168e-38,3.6757057345130796e-33,1.1376093261148633e-37,2.5895356904175165e-37,1.3679448335572533e-26,4.284051756257148e-53,3.560752807438231e-52,6.384066422971119e-61,1.5529967762204893e-78,3.4946106167070423e-19,1.7017446997064023e-27,1.8901055085133643e-42,6.886476259313743e-44,3.384902646208784e-41,6.803307873532268e-36,2.850505585457283e-37,9.346960436453482e-67,9.714886556517694e-64,5.944068142979138e-76,1.0877704291155867e-79,3.569808319655291e-57,1.211034015772061e-40,1.072744417885392e-80,3.089009642982262e-82,2.6116699948912343e-68,2.5609118407076887e-42,4.860820643219549e-82,2.340524713677684e-81,5.731570325558805e-69,1.5156537890911797e-37,1.7675217593842085e-51,1.125796038620742e-79,6.574828108786427e-91,3.1127103899944845e-74,3.924385291903737e-53,1.7695060396627165e-102,4.271866535721892e-86,2.0060220379955224e-98,3.771570510013278e-85,5.6970329295976666e-92,8.508961596226778e-42,7.644915116572705e-63,4.613278448587741e-59,1.0463357551317088e-86,2.738378124118384e-101,3.2119283694382485e-67,3.240476216223623e-73,1.330243467565773e-89,6.665608656737338e-73
1.772183164172175e-16,0.8633883677236415,3.76,0.0,0.8696715453715079,0.9999999999999795,2.567669086985471e-33,5.976627412569629e-44,3.289812623949392e-29,3.7905059775144166e-14,2.0405813298139463e-14,1.6117884698866357e-26,3.709085854877825e-24,1.7499246452026126e-14,7.03854788742315e-19,7.916533260169789e-26,7.501473069717918e-20,1.8725702416850627e-26,1.063084038237209e-30,1.183417556238185e-37,1.4857896489662925e-32,9.2126551825931e-37,2.0970731558033073e-36,5.529451732368402e-26,6.944689627872067e-52,5.795885201475125e-51,2.074534664162768e-59,1.009773780641519e-76,7.038441057812674e-19,6.878724093462328e-27,1.5306564574445554e-41,5.5768470223257255e-43,2.741181415412162e-40,5.509494537853459e-35,2.3084184427152252e-36,3.051003573317293e-65,3.185467898103437e-62,3.898966758951779e-74,7.130222440722514e-78,5.786948247828949e-56,9.807267021183596e-40,7.036425702005725e-79,2.0177163449948112e-80,8.524946584826146e-67,2.0749832334663723e-41,3.1883837476173294e-80,1.535487876133059e-79,1.870879867400545e-67,1.2274157235558082e-36,2.8652343297513787e-50,7.353610277009585e-78,8.590560875967002e-89,2.049548213368362e-72,6.3615970835553534e-52,4.689885527549237e-100,2.8480664696833476e-84,2.6531634161984997e-96,2.4984230475843534e-83,7.443693634672503e-90,6.890776604928514e-41,1.2762754330102376e-61,7.482128109997882e-58,6.889846032285203e-85,3.622407307747336e-99,1.0483650287293103e-65,1.0577670452226974e-71,1.7593741744137082e-87,2.17580636191523e-71
3.5567592176042953e-16,0.8633883677236441,3.76,0.0,0.8696715453714697,0.9999999999999589,2.0666835756196233e-32,4.8105101952114296e-43,1.3228191778554756e-28,7.607518991975e-14,4.095432459089284e-14,6.480930489103047e-26,1.4914071083211263e-23,3.512086522841944e-14,1.412653136594836e-18,3.1832032175261125e-25,1.5056138786834395e-19,7.529522475038338e-26,4.2746147080439654e-30,9.525182350310151e-37,5.974380248112289e-32,7.415146236329548e-36,1.6879069019968657e-35,2.2233682218261165e-25,1.1184252310766435e-50,9.353155694878708e-50,6.689618583952315e-58,6.513813240254729e-75,1.4126101808783476e-18,2.765904649311293e-26,1.2320055009437977e-40,4.488731664040566e-42,2.206340464333228e-39,4.434519608440016e-34,1.8580242250241068e-35,9.860316168393677e-64,1.0317842161905445e-60,2.5260745304979655e-72,4.6179825619796333e-76,9.320136753724374e-55,7.893741034988196e-39,4.558912734275914e-77,1.3045421861220724e-78,2.7551288324199214e-65,1.6718823786284733e-40,2.0658000453667383e-78,9.948925412118295e-78,6.046360225833859e-66,9.879309396409342e-36,4.614375860611514e-49,4.754432829720786e-76,1.1109103668069807e-86,1.3303791570763325e-70,1.0245154092479157e-50,1.2215372666074424e-97,1.9049069451050472e-82,3.451857168899703e-94,1.6505327092143018e-81,9.626120145978107e-88,5.5462947161722785e-40,2.1579640614556639e-60,1.2061992184995587e-56,4.4984475867800306e-83,4.714516643855414e-97,3.387734590009041e-64,3.418660161743903e-70,2.288993558132625e-85,7.0320931110765e-70
7.125911324468536e-16,0.8633883677236497,3.76,0.0,0.8696715453713934,0.9999999999999178,1.65838345790854e-31,3.860132276723346e-42,5.305096475443613e-28,1.524154502733367e-13,8.205134717496072e-14,2.5991429452840523e-25,5.981209546300024e-23,7.036410269557583e-14,2.8303145502116157e-18,1.2766068719282935e-24,3.016768229153897e-19,3.019675191871011e-25,1.714312123022914e-29,7.643362275535387e-36,2.3960622020822604e-31,5.950187644372366e-35,1.3544389481833275e-34,8.916700992481585e-25,1.7953230386400657e-49,1.5029159892744878e-48,2.1488948097773884e-56,4.1853290271634434e-73,2.8301422785763255e-18,1.1092514284141344e-25,9.886068574321478e-40,3.6019244791639334e-41,1.7704479622857098e-38,3.5584212477363377e-33,1.490960641585678e-34,3.1709297583015146e-62,3.3217351387659944e-59,1.6265891397456028e-70,2.9731096228862904e-74,1.4962279949475529e-53,6.334228964260094e-38,2.93575344423964e-75,8.391582824823302e-77,8.860167647558187e-64,1.3443974396164593e-39,1.3303403114645519e-76,6.406552691495307e-76,1.9444188089828102e-64,7.927523333692619e-35,7.407098604136875e-48,3.058332185642384e-74,1.4292287764503921e-84,8.574641834704801e-69,1.6445735198905757e-49,3.1542137101200424e-95,1.3034848226516124e-80,4.4544874034031054e-92,1.1038260740784556e-79,1.2384674185624028e-85,4.450549360428885e-39,3.779993261841586e-59,1.940151444380478e-55,2.9412455643831398e-81,6.088132173255233e-95,1.089187465242098e-62,1.0994798229963894e-68,2.953823649660263e-83,2.2615848622396254e-68
