Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92)
0.0,0.7209967502219136,3.76,0.0,0.6914926162328434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.981617639639675e-17,0.7209967502219133,3.76,0.0,0.6914926162328433,0.9999999999999999,5.553141247498625e-38,2.567563110992258e-50,3.7134483033301264e-34,1.8243537506209026e-16,1.527644213577171e-16,2.5307342817228576e-29,6.651441392084674e-28,2.967095370114677e-17,1.3103222296859768e-27,3.263538938742208e-29,5.94784501825645e-23,5.261910902339444e-30,5.094844500732057e-43,2.4005841899717104e-43,2.452052785402384e-42,3.4844512104015986e-43,5.905123316117018e-43,1.8234365085717734e-29,1.4321372612445532e-59
5.54852939099109e-17,0.7209967502219136,3.76,0.0,0.6914926162328429,0.9999999999999997,6.592695875939121e-37,3.048210924848202e-49,2.242922772828894e-33,5.108190501779521e-16,4.277403798015745e-16,1.5285635048720363e-28,4.0174706005789795e-27,8.307867035689008e-17,7.914346266800868e-27,1.9711775194884148e-28,1.6654172685461435e-22,3.178194180294219e-29,7.699329007243935e-42,2.8499735505050396e-42,3.705542169357217e-41,4.136740476633099e-42,7.01058543857809e-42,1.1013556511708885e-28,3.204497395515276e-58
1.268235289369392e-16,0.7209967502219136,3.76,0.0,0.6914926162328422,0.9999999999999991,6.472750790888499e-36,2.992751559836955e-48,1.0798707630346472e-32,1.167586400426074e-15,9.776922966891568e-16,7.359375271921531e-28,1.934239156457975e-26,1.8989410364309331e-16,3.8104170431731756e-26,9.490371241184165e-28,3.806765455724446e-22,1.5301636833218935e-28,8.282586800140599e-41,2.798120932191797e-41,3.986253172361717e-40,4.061476329739147e-41,6.883044453905065e-41,5.3025533668297205e-28,6.332309874825889e-57
2.6949999899099577e-16,0.7209967502219136,3.76,0.0,0.6914926162328409,0.999999999999998,5.725075917967271e-35,2.6470548594225203e-47,4.716079308300478e-32,2.48112110098791e-15,2.0775961304637895e-15,3.2140325178152085e-27,8.447330564224945e-26,4.0352497011436604e-16,1.6641092309224256e-25,4.144694459768491e-27,8.0897924450299145e-22,6.682626772826471e-28,7.613124223433107e-40,2.474906277082688e-40,3.6640534365790957e-39,3.5923298175533184e-40,6.087978887349021e-40,2.3157643657858965e-27,1.1268628627328038e-55
5.54852939099109e-16,0.7209967502219137,3.76,0.0,0.6914926162328382,0.9999999999999958,4.812271722979368e-34,2.22500910056272e-46,1.9688702571897295e-31,5.108190502373951e-15,4.277403798010928e-15,1.3417952981939213e-26,3.526594222732953e-25,8.307867026523765e-16,6.947328454786164e-25,1.7303283521304174e-26,1.6657168883433405e-21,2.789865094589792e-27,6.513188039931504e-39,2.080307850602934e-39,3.134674856975506e-38,3.01956966349981e-39,5.1173146843525217e-39,9.66786036754512e-27,1.90066885543622e-54
1.1255588193153353e-15,0.7209967502219138,3.76,0.0,0.691492616232833,0.9999999999999913,3.9453912808273006e-33,1.824196880499119e-45,8.043477281547876e-31,1.0362329306195511e-14,8.677019133096707e-15,5.481671531390098e-26,1.4407288084544827e-24,1.685310166110258e-15,2.8382103564548263e-24,7.068955940525234e-26,3.379721159938744e-21,1.1397508933536019e-26,5.385229795969676e-38,1.7055620635157017e-38,2.5918097910794545e-37,2.4756256411411694e-38,4.195484405296276e-38,3.949636414262708e-26,3.1218925535280824e-53
2.2669705797477883e-15,0.7209967502219138,3.76,0.0,0.6914926162328224,0.9999999999999826,3.195080216465348e-32,1.4772819138855553e-44,3.251302003612114e-30,2.087060691803654e-14,1.7476249803234256e-14,2.2157792137029717e-25,5.823656184623399e-24,3.3943570865534643e-15,1.1472500026757513e-23,2.857385038161333e-25,6.809845638769834e-21,4.607055108241251e-26,4.379179388661669e-37,1.3812083798224338e-37,2.10761667949797e-36,2.004825823114809e-37,3.3976123304747014e-37,1.59650618757845e-25,5.0607462599192155e-52
4.5497941006126934e-15,0.7209967502219145,3.76,0.0,0.6914926162328014,0.9999999999999649,2.5716785429463507e-31,1.1890449800590207e-43,1.307334141231109e-29,4.188716215851024e-14,3.507471114337332e-14,8.909550252739243e-25,2.3416665289228676e-23,6.812450901549648e-15,4.6130417829055285e-23,1.1489419760056497e-24,1.3678558338844874e-20,1.8524764089335386e-25,3.5319667497645527e-36,1.1117166682709498e-36,1.6998692074147156e-35,1.6136582286719918e-36,2.7346941406081837e-36,6.419481160788965e-25,8.150172863637048e-51
9.115441142342504e-15,0.7209967502219152,3.76,0.0,0.6914926162327594,0.9999999999999297,2.063610067877843e-30,9.541336731654754e-43,5.24299386643799e-29,8.392027270662415e-14,7.027163382310729e-14,3.573127730012126e-24,9.391130040383916e-23,1.3648638427981101e-14,1.8500360622675118e-22,4.607771356222193e-24,2.7449838707460164e-20,7.42925743602045e-25,2.8370676513468936e-35,8.920826156675869e-36,1.3654273930470667e-34,1.2948590883357e-35,2.1944199444120858e-35,2.574499061726659e-24,1.3082758972652581e-49
