Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082),C3H5(202)
0.0,0.7532110909721687,3.76,0.0,0.5825812557740251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03526468887486e-17,0.7532110909721687,3.76,0.0,0.5825812557740249,0.9999999999999998,4.972077186641472e-38,1.5870913386887333e-49,2.069000669037495e-33,2.900938924034689e-16,2.1125986178885353e-16,1.625508381444009e-29,1.1718592950628648e-27,7.883403060935193e-17,1.6766786282756844e-21,3.772138434813917e-29,2.8155881512980126e-22,7.281927327665111e-30,1.005680855789996e-34,5.894679988471629e-43,2.3971944386039513e-36,2.289325421409808e-41,5.39041867952432e-41,1.8803836370436698e-29,6.951629724993333e-59,3.491594745740045e-58,1.6838423123813323e-67,6.019852939968366e-87,1.6766765501122676e-21,1.6270975721781222e-30,3.557116916652029e-46,3.1281465632358607e-48,7.736535680354362e-45,1.480944504614516e-39,6.139565263669389e-41,1.377891648213923e-73,1.6806912194570165e-70,7.072538180076977e-84,9.105178113573274e-88,1.1613350270225047e-62,3.3469044446041646e-44,-2.714042375218372e-89,6.162437873290325e-91,5.580054435275592e-75,6.3474224227931664e-46,1.9566181582241283e-96,7.510704666050335e-90,5.3980563568616026e-76,3.857539179689986e-41,3.1692194068582205e-57,2.6656322618294127e-88,4.0815750977594457e-100,5.489355142196201e-81,4.595755093053341e-59,7.555737880600611e-116,3.130020663217588e-97
2.898741128849608e-17,0.7532110909721687,3.76,0.0,0.5825812557740242,0.9999999999999994,5.90286213984565e-37,1.884194839758715e-48,1.2496764033345293e-32,8.122628987363039e-16,5.915276130086418e-16,9.818070617867715e-29,7.078030141944453e-27,2.2073528569587013e-16,4.694706886213272e-21,2.278371615101579e-28,7.883683804765426e-22,4.398284101355885e-29,6.074312432881928e-34,6.998515523239733e-42,1.4479074830433375e-35,2.71788713495393e-40,6.399505911677424e-40,1.1357517167670822e-28,1.5555648080412772e-57,1.0102278946391523e-56,7.348190131325232e-66,4.787644081277686e-85,4.694694334106235e-21,9.827669315207387e-30,4.2230092556960526e-45,3.71373559994061e-47,9.184814815341783e-44,1.7581772803104366e-38,7.288895080684624e-40,8.382421154838759e-72,8.637890039328129e-69,6.66856772880016e-82,8.935525944093392e-86,2.5978816170423112e-61,3.9734449282738804e-43,2.0662517151501127e-87,7.019904884953064e-89,3.394620973833405e-73,7.535978337527364e-45,1.1241153080578267e-93,7.023316930468453e-88,3.283903073998021e-74,4.5796705081183805e-40,7.089757151242359e-56,3.036539381327555e-86,8.409913840767061e-98,4.235832327332504e-79,1.0280521000451561e-57,1.2048832534757063e-113,1.6545738952290778e-94
6.625694008799105e-17,0.7532110909721687,3.76,0.0,0.5825812557740232,0.9999999999999987,5.795470355932386e-36,1.8499136714931235e-47,6.016653934099257e-32,1.8566009114283373e-15,1.3520631154476268e-15,4.7269783641580315e-28,3.407766829689927e-26,5.045377958276458e-16,1.073079031025387e-20,1.0969378575548476e-27,1.8020023036224164e-21,2.1175844600540223e-28,2.9245200224346713e-33,6.871338040027417e-41,6.971071475471197e-35,2.6684376946294464e-39,6.283073207609384e-39,5.468155616413508e-28,3.073993376291118e-56,2.1986676787032102e-55,2.9827340934506577e-64,3.9248054677652994e-83,1.0730729877261715e-20,4.731599708771227e-29,4.146175640014513e-44,3.646167631991679e-46,9.017704921458793e-43,1.7261888043181268e-37,7.156287190267163e-39,3.7842260483085466e-70,4.297232339369613e-67,6.5987320703144584e-80,8.639430194250118e-84,5.133062047805375e-60,3.9011517327140105e-42,2.1032387263306743e-85,6.355324048722414e-87,1.5324958892875079e-71,7.399542731246362e-44,2.1170544810929844e-91,6.983512174993585e-86,1.482509649392977e-72,4.4963476492130076e-39,1.4008493319737154e-54,2.749067527587707e-84,1.5237650512702513e-95,4.616417209485926e-77,2.0312580053779984e-56,5.522417436883501e-111,3.0810311563448684e-92
1.4079599768698096e-16,0.7532110909721687,3.76,0.0,0.5825812557740211,0.9999999999999971,5.126030003944234e-35,1.6362277010510457e-46,2.6276308378337716e-31,3.9452769369178556e-15,2.8731341203232297e-15,2.0643956350500387e-27,1.4882613043651887e-25,1.0721428159261537e-15,2.280306479099673e-20,4.7906158195602606e-27,3.829329319723689e-21,9.248047635546691e-28,1.2772147828120925e-32,6.077681839455781e-40,3.0444677141575226e-34,2.3602029016683647e-38,5.557307205008279e-38,2.3880872189322954e-27,5.47038154768518e-55,4.077988461404565e-54,1.0769798023738394e-62,2.853063437058448e-81,2.2802800864242863e-20,2.066413884506017e-28,3.667245596517748e-43,3.224993974067727e-45,7.976056583137664e-42,1.526794314930223e-36,6.329667033992416e-38,1.428851776786302e-68,1.6868269329101893e-65,5.184569213949782e-78,6.725537955711236e-82,9.134313200593969e-59,3.4505244215842126e-41,1.6626283100593264e-83,4.8168223111568905e-85,5.78642587996187e-70,6.546011646827673e-43,3.2704854045036985e-89,5.497284269772079e-84,5.5976723325266746e-71,3.976968553558902e-38,2.4927631477594228e-53,2.0835713198544795e-82,2.3122638362281755e-93,3.7765158045638493e-75,3.614516153702676e-55,1.891480741472824e-108,4.733467134630232e-90
2.8987411288496083e-16,0.7532110909721689,3.76,0.0,0.5825812557740169,0.9999999999999941,4.308737918806875e-34,1.3753479866426974e-45,1.0969841440642144e-30,8.122628988318702e-15,5.915276130064968e-15,8.618445353961462e-27,6.2131979791414485e-25,2.2073528554629972e-15,4.694804428312883e-20,1.9999878047502654e-26,7.884220031164037e-21,3.860877805598382e-27,5.332120756891403e-32,5.1086820404143846e-39,1.2710200739878006e-33,1.9838927178710503e-37,4.671251543677285e-37,9.96979404258691e-27,9.226900574374703e-54,7.012879151545778e-53,3.659230710724195e-61,1.9454184537285472e-79,4.694694244088589e-20,8.626871038246527e-28,3.0825412231856536e-42,2.7108017470236416e-44,6.704353968613644e-41,1.2833623924942157e-35,5.320486815580843e-37,4.957350528427062e-67,5.9534491975360906e-64,3.662031762008289e-76,4.7314863959206195e-80,1.5407377164830778e-57,2.900373506260524e-40,1.1790763333203018e-81,3.3493361874011906e-83,2.007588961583098e-68,5.504335773333502e-42,4.591007040894174e-87,3.886076189972192e-82,1.942092122712923e-69,3.3428816614885988e-37,4.20443067823702e-52,1.4487937367659097e-80,3.217537033301269e-91,2.717985698207306e-73,6.09641338881169e-54,5.581096488758934e-106,6.62658653433552e-88
5.880303432809206e-16,0.7532110909721692,3.76,0.0,0.5825812557740085,0.999999999999988,3.5325639992761775e-33,1.1275933970856337e-44,4.481538118911822e-30,1.6477333092807637e-14,1.1999560149510571e-14,3.5209161030380215e-26,2.538294104699317e-24,4.477772931895991e-15,9.523972538997659e-20,8.17060279132531e-26,1.5994948170993548e-20,1.5772945330929384e-26,2.1783456868696186e-31,4.1884158358768516e-38,5.192652092132095e-33,1.6265150563092195e-36,3.829774141711091e-36,4.0729861723195724e-26,1.515545116742453e-52,1.1627655183928214e-51,1.2063758275920803e-59,1.2849569981644668e-77,9.5235224004895e-20,3.52435818017988e-27,2.5272540771841684e-41,2.2224790376123417e-43,5.496630863590086e-40,1.0521776571166567e-34,4.3620898031336835e-36,1.6510046348791676e-65,1.9988024748317923e-62,2.4598726517092026e-74,3.172311411108522e-78,2.53100225769537e-56,2.3779011388051876e-39,7.938150285363806e-80,2.2333531879210075e-81,6.686169505143757e-67,4.51609728098238e-41,6.151148050137502e-85,2.6113588263533132e-80,6.467976055224178e-68,2.7406962919955298e-36,6.905806998621398e-51,9.660628312986091e-79,4.2922215805263374e-89,1.8423389996113065e-71,1.0013389080957509e-52,1.5322894316746057e-103,8.866426078751094e-86
1.18434280407284e-15,0.7532110909721698,3.76,0.0,0.5825812557739918,0.9999999999999758,2.8607620440407205e-32,9.131544044112913e-44,1.8115093235364074e-29,3.318674130853445e-14,2.416812818825029e-14,1.423210553537943e-25,1.0260190597880336e-23,9.018613074199213e-15,1.9182997609399032e-19,3.302688308373315e-25,3.2220191318428665e-20,6.375676465426862e-26,8.805224584191365e-31,3.391891578675356e-37,2.0990503028424744e-32,1.3171939728745464e-35,3.101450204260949e-35,1.6463661319368138e-25,2.4567815814305466e-51,1.8936640280074318e-50,3.9181714194388314e-58,8.354058165109733e-76,1.9181178077580575e-19,1.4246018235431183e-26,2.046636754874436e-40,1.7998211230252004e-42,4.451308384817737e-39,8.520801474171539e-34,3.5325872905972135e-35,5.3891536071379775e-64,6.550041216548023e-61,1.612502639853389e-72,2.077640881170811e-76,4.103952791093228e-55,1.9256855159480433e-38,5.210409847374406e-78,1.4588065409707445e-79,2.18251629610534e-65,3.662614251674358e-40,8.054393116485425e-83,1.7121196841700214e-78,2.1112543036047924e-66,2.219486813383798e-35,1.1194624248117241e-49,6.310241183535036e-77,5.6080274996056435e-87,1.2130784503293191e-69,1.6232173409835972e-51,4.061178281380763e-101,1.1601956649084768e-83
2.3769677256566786e-15,0.7532110909721711,3.76,0.0,0.5825812557739584,0.9999999999999515,2.3025902217528213e-31,7.349861662540362e-43,7.28399901322032e-29,6.660555776698387e-14,4.8505264265123775e-14,5.722666800124739e-25,4.1255775041013033e-23,1.8100293316554594e-14,3.8503803146316245e-19,1.3279964618807175e-24,6.468582508425005e-20,2.5636312845328133e-25,3.540544515469631e-30,2.7300909573710525e-36,8.440971448506304e-32,1.0601921578146353e-34,2.4963166282367066e-34,6.619965803802812e-25,3.9565800019423783e-50,3.0567264820610626e-49,1.2631456553935935e-56,5.388739227203686e-74,3.8496486888920107e-19,5.728260451699703e-26,1.6473127297869417e-39,1.4486525831857538e-41,3.5827909092147145e-38,6.85827267899864e-33,2.8434203035993676e-34,1.7416809902994268e-62,2.120954112716254e-59,1.0443836884287072e-70,1.3450443561065564e-74,6.612797211140949e-54,1.5499584654069213e-37,3.3776907415688166e-76,9.43181014523341e-78,7.053768969800381e-64,2.956621560834533e-39,1.0427084531903028e-80,1.1090045471033192e-76,6.823204215307457e-65,1.7864359154513656e-34,1.8028607836197984e-48,4.0798471425584036e-75,7.251867319966693e-85,7.874192320817048e-68,2.6141537916984827e-50,1.0577875238114752e-98,1.5014625071466319e-81
4.762217568824356e-15,0.7532110909721735,3.76,0.0,0.5825812557738915,0.9999999999999029,1.847683654159078e-30,5.897802052075218e-42,2.9212091455687475e-28,1.3344319079186598e-13,9.717953641644693e-14,2.2950451464136178e-24,1.6545410926098466e-22,3.6263653632261085e-14,7.715643580450606e-19,5.3258599241477304e-24,1.2967768249847114e-19,1.0281306611536698e-24,1.4199186600729376e-29,2.1907266556617837e-35,3.3858347160701436e-31,8.50737205625229e-34,2.0031363695604293e-33,2.6549023702044493e-24,6.351177862546447e-49,4.91236300526401e-48,4.057065653824771e-55,3.4623520206368593e-72,7.712709434023137e-19,2.297287982515969e-25,1.321866994140718e-38,1.162452404822042e-40,2.8749490886066315e-37,5.50331643439675e-32,2.281804901954705e-33,5.600982899038019e-61,6.82721799184372e-58,6.723929454530865e-69,8.65772034153958e-73,1.0626265447054618e-52,1.2437428218769517e-36,2.1766088452143163e-74,6.067079593348911e-76,2.2685493906390418e-62,2.386354183588265e-38,1.342238156074033e-78,7.14030393673651e-75,2.1942371395334642e-63,1.433502054833066e-33,2.893991611534159e-47,2.6243980360498124e-73,9.329046057934287e-83,5.075119211623645e-66,4.196335287695323e-49,2.7314078029661476e-96,1.9324479976307344e-79
9.532717255159712e-15,0.7532110909721788,3.76,0.0,0.5825812557737579,0.9999999999998055,1.4803953539020765e-29,4.725420156271545e-41,1.1700071577322656e-27,2.671184572735631e-13,1.94528080709398e-13,9.192149931842376e-24,6.626794350887418e-22,7.259037358765703e-14,1.5450578745748719e-18,2.1331220444596937e-23,2.5990375684741744e-19,4.117884182908485e-24,5.687096554238989e-29,1.7552474245146187e-34,1.3566026896680246e-30,6.816246488367e-33,1.6049458774792584e-32,1.0633457359404287e-23,1.0178384647284076e-47,7.877104540691284e-47,1.3006664974043316e-53,2.2202605471238946e-70,1.5438826855740473e-18,9.201129223046567e-25,1.059105808673966e-37,9.313764084511682e-40,2.303433774866188e-36,4.409325307125577e-31,1.8284436618372517e-32,1.7967431146946289e-59,2.191157273511722e-56,4.3161001288648855e-67,5.556787697912568e-71,1.706582728766871e-51,9.965057836012294e-36,1.3991088034329483e-72,3.8927756653843e-74,7.278346395275796e-61,1.93418335619235e-37,1.7229276656225715e-76,4.58349268406483e-73,7.038893981873639e-62,1.148545644561052e-32,4.637932928560591e-46,1.683882285436244e-71,1.1969232931118759e-80,3.2595208322184804e-64,6.725204815285925e-48,7.022696340295788e-94,2.4803251339371723e-77
1.907371662783042e-14,0.753211090972189,3.76,0.0,0.5825812557734905,0.9999999999996108,1.1852164099917042e-28,3.7832118100655845e-40,4.683076195804449e-27,5.344689919646889e-13,3.892251692565191e-13,3.6792542787541274e-23,2.6524446847194232e-21,1.4524381079438092e-13,3.093808361032951e-18,8.538048223070375e-23,5.213253435488509e-19,1.648225893939705e-23,2.2763332560220477e-28,1.4052652595342012e-33,5.433970876961027e-30,5.457135796045567e-32,1.2849312602488214e-31,4.2561540877991027e-23,1.6298459309856668e-46,1.2617241500136663e-45,4.165985581891947e-52,1.4223689807028433e-68,3.0891045425013004e-18,3.6828453319343665e-24,8.479344593189728e-37,7.456672889381953e-39,1.844109172205914e-35,3.530101607500446e-30,1.4642238085738904e-31,5.7566674918909176e-58,7.022038284520794e-55,2.766380606342505e-65,3.5613916655570636e-69,2.744315653004639e-50,7.978073797580112e-35,8.990401123818393e-71,2.4945103757649597e-72,2.332616411674618e-59,1.5840628777255707e-36,2.208464833613641e-74,2.9378216777073893e-71,2.2552143296411526e-60,9.195342095715931e-32,7.426735108867656e-45,1.0790519295231342e-69,1.533373767999262e-78,2.0897571708715086e-62,1.0769495492756016e-46,1.801741726118462e-91,3.179169882205879e-75
3.8155715373171844e-14,0.7532110909722095,3.76,0.0,0.5825812557729558,0.9999999999992214,9.485333083703184e-28,3.0277231284900094e-39,1.8738392274181759e-26,1.0691700682578675e-12,7.786193461956374e-13,1.472179966330659e-22,1.0613233323272726e-20,2.9055067439155746e-13,6.198363147018122e-18,3.4163321967603485e-22,1.0480462683380787e-18,6.595043040488967e-23,9.10839839161356e-28,1.1246392654049067e-32,2.177516974414389e-29,4.367357625292135e-31,1.0283334158938289e-30,1.7030160129176114e-22,2.608743314488941e-45,2.0198685292098538e-44,1.3337318714507122e-50,9.107738118042277e-67,6.179541746704975e-18,1.473614451886131e-23,6.786146037040792e-36,5.967602072868164e-38,1.4757862859125901e-34,2.825090618899077e-29,1.172395624034145e-30,1.8432644993796496e-56,2.2487086769052187e-53,1.771761546549302e-63,2.280866635661991e-67,4.429698180750397e-49,6.3848330739487174e-34,5.786694473842107e-69,1.5974630738686187e-70,7.473269201994333e-58,1.3246156802244022e-35,2.8288310588408553e-72,1.881605089541905e-69,7.221057824463581e-59,7.35905758870635e-31,1.1887610322980734e-43,6.910305026079762e-68,1.962315227216725e-76,1.3386108918719564e-60,1.723950437912625e-45,4.617720763658674e-89,4.072125129636437e-73
