Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082)
2.2377668556207064e-14,0.7503004259344757,3.76,0.0,0.9248181819014004,0.999999999999787,4.660895305032458e-29,1.5803938933016555e-41,3.7794852354231763e-28,2.552614744742358e-13,2.1308685259787058e-13,2.5807356937738285e-23,6.767885765763238e-22,4.217461768258169e-14,5.326416183906479e-19,3.2643893291592157e-23,6.497766466987399e-20,5.230597746490816e-24,4.7866547701057104e-29,2.1359969149073633e-34,1.7247685276161936e-30,1.2104514161209707e-32,2.949040205671599e-32,2.4157713513939495e-23,6.824809605359238e-48,5.345647936536264e-47,2.1218933868108552e-53,8.930916852171304e-71,5.308583738818295e-19,7.412939767914858e-25,1.778168760140133e-37,1.03848864696511e-39,4.447946559999858e-36,8.198246990664422e-31,3.394942924951869e-32,1.6821908481856996e-59,2.9082845692340784e-56,4.7512615482037664e-67,4.5016401457028394e-71,1.6082052200127215e-51,2.2459072320472766e-35,7.703941164869766e-73,2.2837432731088765e-74,8.398989982185406e-61,4.111480984198358e-37,1.1503818432045956e-77,3.409427527644289e-73,4.688234640495459e-62,2.7552527005148705e-32,3.710425553680642e-46,1.1376486060244615e-71,1.893654721943581e-80,2.2993422910380472e-63,4.422435909151589e-48,1.5842168762471216e-93
4.477477904860544e-14,0.7503004259344813,3.76,0.0,0.924818181901145,0.9999999999995737,3.731550109309129e-28,1.2652760771220095e-40,1.5127776363215396e-27,5.107447260906258e-13,4.263588370967539e-13,1.0329662624269085e-22,2.7089179416859252e-21,8.438587220780888e-14,1.0693136772022233e-18,1.3066066744485325e-22,1.313116393989513e-19,2.0936001363374654e-23,1.9159305693361383e-28,1.710095855447919e-33,6.915609504686272e-30,9.690945506269995e-32,2.3610193123390413e-31,9.669381049708528e-23,1.0928218360664926e-46,8.562623642495461e-46,6.796123888498886e-52,5.721448588950685e-69,1.0621760522568286e-18,2.9670994494614467e-24,1.4236632317982835e-36,8.314221176818921e-39,3.56088012865226e-35,6.563406977054172e-30,2.7195929534930045e-31,5.389635766052539e-58,9.319981967760398e-55,3.0451689565031246e-65,2.8849849107092065e-69,2.615353527500979e-50,1.7980765725617008e-34,4.993404478002265e-71,1.463412805611842e-72,2.6930775528736543e-59,3.4589332014319706e-36,1.475696988757721e-75,2.18523388053034e-71,1.502059478501718e-60,2.2058745075169895e-31,5.94151240748501e-45,7.29018007320649e-70,2.425334826955768e-78,1.4741578496773453e-61,7.082115514204181e-47,4.0645545925592706e-91
8.956900003340221e-14,0.7503004259344924,3.76,0.0,0.924818181900634,0.9999999999991471,2.986373921753588e-27,1.0126054294681783e-39,6.053069664728496e-27,1.02171123979575e-12,8.529028060044758e-13,4.1332059553676017e-22,1.0839199283016097e-20,1.6880836662516128e-13,2.153365469364942e-18,5.228130379355481e-22,2.678808509582563e-19,8.377110817427074e-23,7.666387732238568e-28,1.3685955983552e-32,2.7767801525906945e-29,7.755660248873633e-31,1.8895234162550103e-30,3.8690118849184315e-22,1.7491071549576026e-45,1.3707855355196862e-44,2.175728744192181e-50,3.663634512624173e-67,2.124805675270785e-18,1.1872195998063423e-23,1.1394385122223846e-35,6.653899874482629e-38,2.849495599596116e-34,5.252439447165814e-29,2.1790206118158728e-30,1.7257342537966147e-56,2.9845555061148295e-53,1.950232837828834e-63,1.8475574252422556e-67,4.314733586240032e-49,1.4389840083197515e-33,3.2688694182357053e-69,9.37129580418533e-71,8.636501257192949e-58,3.035876218214385e-35,1.890940553554802e-73,1.399567748870237e-69,4.809378031062571e-59,1.7653652713350655e-30,9.51027956620308e-44,4.668658896645825e-68,3.102210202651345e-76,9.442763607934005e-60,1.1337456682195027e-45,1.0417594318462111e-88
1.7915744200299574e-13,0.7503004259345146,3.76,0.0,0.9248181818996121,0.999999999998294,2.3895524535786527e-26,8.102382329976215e-39,2.4216129249414565e-26,2.043644309095379e-12,1.705990743459739e-12,1.6535478436046043e-21,4.3363847091456466e-20,3.3765329692748004e-13,4.3642997370042774e-18,2.0915939854104206e-21,5.566243093099767e-19,3.3513763948511004e-22,3.0671901920135746e-27,1.0950830685975097e-31,1.1186025702305226e-28,6.205640251505097e-30,1.5118904619272098e-29,1.5478566647495494e-21,2.7987575032614424e-44,2.193864230628491e-43,6.963871082781726e-49,2.3454575979327077e-65,4.250041986605954e-18,4.7495981615267103e-23,9.118442974716855e-35,5.324124573186202e-37,2.2795642964669943e-33,4.2023001444681895e-28,1.747579230703364e-29,5.523967648362922e-55,9.554063514957105e-52,1.2484807536747822e-61,1.1826910796490114e-65,7.316129685238449e-48,1.1513678777152462e-32,2.1832618608061644e-67,5.998907515276969e-69,2.7730694994192773e-56,2.8574625368378644e-34,2.421696510011047e-71,8.96040485502073e-68,1.5393617457980064e-57,1.4125528444234292e-29,1.521951206406394e-42,2.9888687696207384e-66,3.961377903799882e-74,6.045842193094636e-58,1.8148291807108347e-44,2.668919643541553e-86
3.5833432594218277e-13,0.7503004259345594,3.76,0.0,0.9248181818975681,0.9999999999965878,1.911822805528197e-25,6.482521957977933e-38,9.687167306841851e-26,4.087510615252185e-12,3.412166616929539e-12,6.6147002717553536e-21,1.734694406621122e-19,6.753429234027496e-13,8.957490886783674e-18,8.367068048288921e-21,1.1965312615740643e-18,1.3406489280067293e-21,1.227084653376793e-26,8.761474675909758e-31,4.536457042003818e-28,4.9648774955539625e-29,1.2096026434951002e-28,6.191930371572327e-21,4.477240183644003e-43,3.5106513845124804e-42,2.228677422478301e-47,1.5014817968073697e-63,8.500422872516664e-18,1.8999512386856687e-22,7.297371483482197e-34,4.259694027308412e-36,1.8230807502580562e-32,3.3614403539976014e-27,1.4046454091913163e-28,1.767887699141835e-53,3.05787510914265e-50,7.990156922821472e-60,7.56851060676082e-64,1.302269121159322e-46,9.211210224577858e-32,1.5132452817262587e-65,3.8391114251921835e-67,8.929822288641649e-55,2.971319888904475e-33,3.1005498436245484e-69,5.735561594551124e-66,4.925988415850182e-56,1.1301374243395942e-28,2.43535953067794e-41,1.9131532044006774e-64,5.044145816222431e-72,3.869955495862094e-56,2.905515426347472e-43,6.837243486537923e-84
7.166880938205569e-13,0.7503004259346484,3.76,0.0,0.9248181818934804,0.9999999999931755,1.529529780253759e-24,5.186264768399502e-37,3.874966397111932e-25,8.175243897796186e-12,6.8245183581061846e-12,2.6459642411316772e-20,6.939054792232159e-19,1.3507212398372215e-12,1.88291626943078e-17,3.3469723579807675e-20,2.7260244653726705e-18,5.362728051391491e-21,4.9094081709771444e-26,7.009477696798836e-30,1.8640047601716196e-27,3.9719208078304257e-28,9.676887405251527e-28,2.4768727788324152e-20,7.16002330436268e-42,5.6173615743328e-41,7.132100923103777e-46,9.61270987400813e-62,1.7000817713389672e-17,7.599773012943184e-22,5.841248492860975e-33,3.407900911343302e-35,1.4573449702138243e-31,2.688130184819028e-26,1.1340825753434678e-27,5.657327918564181e-52,9.786228286774875e-49,5.112150456759051e-58,4.841666853352121e-62,2.5046998323509865e-45,7.368346279552815e-31,1.1166579080453228e-63,2.4562051658841274e-65,2.892715197177967e-53,3.4727528740335116e-32,3.9690759889880764e-67,3.67090416733141e-64,1.5759717050762827e-54,9.041334199395222e-28,3.896740987283296e-40,1.2244817632628348e-62,6.388419006949927e-70,2.4767445648001448e-54,4.653832336173478e-42,1.7520889597025448e-81
1e-12,0.7503004259348266,3.76,0.0,0.9248181818902487,0.9999999999904777,5.761961075176404e-24,1.9537442798432552e-36,8.470187763186365e-25,1.1406977429875233e-11,9.522299042276741e-12,5.783795328984258e-20,1.5168211681072406e-18,1.884668988464061e-12,2.7717202166511113e-17,7.316246667970814e-20,4.3300174123095385e-18,1.1722230229306094e-20,1.0734330956886537e-25,2.640553262151924e-29,4.2306281247053044e-27,1.4961747277299256e-27,3.6451798487468e-27,5.4142486229163664e-20,4.956656850677373e-41,3.892551217695954e-40,9.456129790710086e-45,2.550786526687797e-60,2.3720588476013557e-17,1.6611427257525854e-21,2.2024237489690116e-32,1.2837971654466367e-34,5.482534310811668e-31,1.0119325268360032e-25,4.33740573109995e-27,7.4975262147395e-51,1.4223174826848856e-47,1.445387693228521e-56,1.3349745382358777e-60,2.267966974845161e-44,2.7751520121297555e-30,3.6424174857850197e-62,6.357344150961253e-64,3.937801094125557e-52,2.0003236231912294e-31,2.9172679980088407e-65,1.0432478611781677e-62,2.087847024240897e-53,3.405883110363396e-27,2.700247231618665e-39,3.171703699858512e-61,3.2037898690297164e-68,8.427241453730188e-53,3.2309388232023733e-41,3.8517540126430114e-79
1.4333956295773051e-12,0.7503004259348266,3.76,0.0,0.924818181885305,0.9999999999863508,1.2236511511273766e-23,4.14911189477248e-36,1.5499715338831253e-24,1.6350713143807306e-11,1.3649221817407285e-11,1.0583884030395086e-19,2.775674238853378e-18,2.7014741266531485e-12,4.1313656740939425e-17,1.3388233411279733e-19,6.783721326309399e-18,2.145066165092747e-20,1.9644990985552735e-25,5.607659568687069e-29,7.850963877184383e-27,3.1773404880788883e-27,7.741064699418692e-27,9.90769145212671e-20,1.1443786743678296e-40,8.987856633959659e-40,2.283058777989113e-44,6.305795211354432e-60,3.400013980005128e-17,3.0396981198877606e-21,4.678012155861129e-32,2.7263597113658212e-34,1.1640056922414636e-30,2.148717604164573e-25,9.237680747954764e-27,1.81014186353688e-50,3.4483992768192875e-47,3.5782626605457214e-56,3.303082993141849e-60,5.354227593540634e-44,5.89326257057956e-30,9.04357543344291e-62,1.5706737009317966e-63,9.519129437348585e-52,4.529069886882448e-31,7.319234069925307e-65,2.582997924124714e-62,5.0406415674761275e-53,7.232927997913395e-27,6.23484029238172e-39,7.836294169015488e-61,8.007052170630293e-68,2.0939912157366884e-52,7.461540078343714e-41,9.717161861955794e-79
2.8668107010908016e-12,0.7503004259351833,3.76,0.0,0.924818181868954,0.9999999999727014,9.789297907229433e-23,3.3193314462139064e-35,6.199576750586764e-24,3.270166235953459e-11,2.729862864379769e-11,4.2334460700898505e-19,1.1102776702635772e-17,5.402964916162939e-12,9.724718575867412e-17,5.355405114263712e-19,1.889390291216428e-17,8.579802400768311e-20,7.863643401891404e-25,4.486091797707785e-28,3.4562556576728526e-26,2.5414681008578392e-26,6.191919052964211e-26,3.9631159068101983e-19,1.827028500583432e-39,1.4380064220247312e-38,7.305698868428486e-43,4.0416061859641065e-58,6.799291462252806e-17,1.2156733089558872e-20,3.7502461643491607e-31,2.1810725264109042e-33,9.281924553178132e-30,1.7160609296929362e-24,7.653267072788287e-26,5.790973583064827e-49,1.1067260677489755e-45,2.295774449882144e-54,2.1157855513201237e-58,1.2872798988673418e-42,4.712180386572333e-29,8.214994209631771e-60,1.0035491095349462e-61,3.2017323102399643e-50,6.41767414116613e-30,9.389101392283947e-63,1.6597955565707483e-60,1.6112450321375213e-51,5.785913436778513e-26,9.975538953611879e-38,5.014604283751735e-59,9.839244592259395e-66,1.3445701537324175e-50,1.1987003629844223e-39,2.5025454833728015e-76
5.733640844117795e-12,0.7503004259358963,3.76,0.0,0.924818181836252,0.9999999999454026,7.831440827400374e-22,2.655484911828868e-34,2.4795453989870623e-23,6.54036036859099e-11,5.459744192770724e-11,1.6932665657738162e-18,4.441106712197065e-17,1.0805886559414296e-11,2.5297192108291935e-16,2.142218751468405e-18,5.909298595376246e-17,3.4314988584203793e-19,3.1499270443420106e-24,3.588752234272269e-27,1.6351818062063308e-25,2.0324916625292603e-25,4.951955266256527e-25,1.5852536345448054e-18,2.9105435195022853e-38,2.300587632812062e-37,2.3376694525161533e-41,2.592166331541058e-56,1.3595499509710346e-16,4.8609721632542506e-20,3.012517508269167e-30,1.7448027028919528e-32,7.377644347115643e-29,1.3681842589947805e-23,6.541419635575208e-25,1.852112583185128e-47,3.5421911397534705e-44,1.4649044287783556e-52,1.3485896890372842e-56,3.435477382356621e-41,3.7657941353786155e-28,8.363838734289282e-58,6.401103100256186e-60,1.1237050410869082e-48,9.583101037593937e-29,1.201288037775997e-60,1.0619690290287157e-58,5.144599338625594e-50,4.627962154241723e-25,1.5959900515498303e-36,3.208454766314814e-57,1.1660854161410771e-63,8.596806310409107e-49,1.933218083607145e-38,6.455514215143727e-74
1e-11,0.7503004259373226,3.76,0.0,0.9248181817875852,0.999999999904777,4.862213207733919e-21,1.6487015901900265e-33,8.012806006374763e-23,1.1407010495883915e-10,9.522298757920755e-11,5.4723904144015824e-18,1.4354731221181124e-16,1.8846227866179753e-11,6.152516879540573e-16,6.92451807808642e-18,1.6647230784204442e-16,1.1088940937631557e-18,1.0207949990101624e-23,2.227960255936413e-26,6.789462162207086e-25,1.2610757378139905e-24,3.0725797860737143e-24,5.123974949932707e-18,3.509718367787392e-37,2.7972582413953008e-36,5.62522387566018e-40,1.2463168189193769e-54,2.370249972981816e-16,1.570162655800756e-19,1.8846294834928605e-29,1.0832086242772545e-31,4.52445151886554e-28,8.439440811452158e-23,4.554980175271304e-24,4.4526245237447506e-46,8.526446912961452e-43,6.970062342474081e-51,6.4034194655873446e-55,7.444047268759524e-40,2.3333299742828618e-27,6.962243643168061e-56,3.0442721648360074e-58,3.1737512653063613e-47,1.1194401407854634e-27,1.1461726211955025e-58,5.0799778298046326e-57,1.2327550644867935e-48,2.8723911943922322e-24,1.9406923153990488e-35,1.5352618405613512e-55,9.700700618727148e-62,4.1073784623865223e-47,2.386527766586081e-37,1.2494552647253512e-71
1.1467301130171781e-11,0.7503004259373226,3.76,0.0,0.9248181817708476,0.9999999998908048,6.265100896854107e-21,2.1244004311035063e-33,9.915824305141531e-23,1.3080765791914766e-10,1.0919506701984843e-10,6.772119877286904e-18,1.7764259560133892e-16,2.1611490108604418e-11,7.39848209706214e-16,8.569263152371044e-18,2.0340257897182595e-16,1.3722515141425512e-18,1.263536987359007e-23,2.870782503286751e-26,8.562140250303553e-25,1.6248871440424788e-24,3.959002775465261e-24,6.341024334598953e-18,4.61669252901563e-37,3.6801784452463295e-36,7.479472558955842e-40,1.6660393799243435e-54,2.7178534518207666e-16,1.942998225054045e-19,2.4291902791835736e-29,1.3957416511761827e-31,5.826782156108173e-28,1.0871412043140417e-22,5.896570066683376e-24,5.920288186949681e-46,1.1337068018064831e-42,9.316849003949054e-51,8.559324668423486e-55,9.886075847520259e-40,3.0063024560503293e-27,9.327957568579664e-56,4.06925397487694e-58,4.226632020691953e-47,1.471483365236752e-27,1.5362367973919136e-58,6.790577924315595e-57,1.6390350029017708e-48,3.701107508868806e-24,2.5532521425433047e-35,2.052239821113486e-55,1.29968950136668e-61,5.490435961335301e-47,3.1408228138670037e-37,1.6769520768988518e-71
