Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635),S(1002),CH2O3(747),CO2(213),C2O3(1082)
0.0,0.7503004259344701,3.76,0.0,0.9248181819016557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.430242023914755e-17,0.7503004259344701,3.76,0.0,0.9248181819016553,0.9999999999999998,1.5654181359599758e-37,5.307953477421418e-50,6.683516551167687e-34,2.772170642201947e-16,2.314149137845723e-16,4.563685808858068e-29,1.1968094449358078e-27,4.5802150428206316e-17,5.76522839261372e-22,5.772631635045855e-29,6.986246473049005e-23,9.249616442362834e-30,8.464460299921003e-35,7.173595498792756e-43,3.0447117400121696e-36,4.0654656003726537e-41,9.904750300998743e-41,4.271966086138869e-29,4.661241867114076e-59,2.27719576935972e-58,2.861986338437573e-67,2.4889263678486124e-87,5.765196858336217e-22,1.3108821667407405e-30,5.972008681812335e-46,3.48789699296273e-48,1.493975377396405e-44,2.7535588096220943e-39,1.1395756140414496e-40,1.2900502360597552e-73,2.2302803718265147e-70,7.784149344120568e-84,7.37527436897953e-88,1.0819359868394795e-62,7.543226629683632e-44,-1.6732284130731816e-89,3.617343491774315e-91,6.436086629919875e-75,1.3108775026189356e-45,-1.6554215459424517e-97,5.585655923002361e-90,3.595406367598053e-76,9.253878421339684e-41,2.5355138632502294e-57,1.801938994077463e-88,6.462728135999093e-100,3.872334737667619e-80,3.0220477059489107e-59,1.7044279410164265e-115
6.804677666961314e-17,0.7503004259344701,3.76,0.0,0.924818181901655,0.9999999999999993,1.8584662261997482e-36,6.301602369826582e-49,4.0368439899571214e-33,7.762077798265323e-16,6.479617585967164e-16,2.7564662257408496e-28,7.228729046793125e-27,1.2824602118502245e-16,1.6142741615695743e-21,3.486669508636118e-28,1.956186217819769e-22,5.586768320935962e-29,5.1125341294486325e-34,8.516767453763098e-42,1.8390120003133344e-35,4.826520737569867e-40,1.175891998816823e-39,2.58026751600945e-28,1.043052988500834e-57,6.761072027691962e-57,1.2212933255117258e-65,1.9378160340330224e-85,1.6142551148659644e-21,7.917728246380013e-30,7.089969128426011e-45,4.1408313111682177e-47,1.7736474052601273e-43,3.2690248615300217e-38,1.3529055796546384e-39,7.848014730559698e-72,1.1701817940075746e-68,7.488597756467866e-82,7.40188398512691e-86,2.4203214882756492e-61,8.955318521968877e-43,1.1103187641392675e-87,4.118455191942354e-89,3.915390048865999e-73,1.556423631350914e-44,4.460218827603457e-95,5.331076323470825e-88,2.1872604916890853e-74,1.0986204435256544e-39,5.672017969640554e-56,2.051562240723004e-86,1.3309033486876508e-97,2.9880669297246935e-78,6.760200609610349e-58,2.717979221945656e-113
1.5553548953054432e-16,0.7503004259344701,3.76,0.0,0.924818181901654,0.9999999999999984,1.824653956595632e-35,6.186950575370233e-48,1.9435666026573162e-32,1.7741892110791567e-15,1.4810554482206612e-15,1.3271198290017915e-27,3.480321864944582e-26,2.9313376264283397e-16,3.689817652736895e-21,1.67868128107397e-27,4.471458180313571e-22,2.6897884460617564e-28,2.4614652140936952e-33,8.361933231615287e-41,8.854111633193857e-35,4.73870663189734e-39,1.1544977472372856e-38,1.2422877378215268e-27,2.0612103624391937e-56,1.4832717642786485e-55,4.9080516626575373e-64,1.5823866474762177e-83,3.689725951057943e-21,3.8120452797809333e-29,6.960974625793086e-44,4.065492733159894e-46,1.741377195260179e-42,3.2095476610102014e-37,1.3282937087866055e-38,3.542969073875017e-70,5.751152603511298e-67,7.324814320439138e-80,7.066057764319311e-84,4.7824440630925105e-60,8.792384547905399e-42,1.1412718728531586e-85,3.7285086033395316e-87,1.7675995655477847e-71,1.528423383754964e-43,1.1335700860469076e-92,5.238589416506543e-86,9.87433521812345e-73,1.0786320605579046e-38,1.1207120285605465e-54,1.8573148991073777e-84,2.411380836334491e-95,3.256541411817488e-76,1.33570205572816e-56,1.2457485653413368e-110
3.305129152524067e-16,0.7503004259344702,3.76,0.0,0.924818181901652,0.9999999999999968,1.613886076423259e-34,5.47228771956364e-47,8.488065912286384e-32,3.770152073744199e-15,3.1472428274671768e-15,5.79588093370369e-27,1.5199479941087634e-25,6.229092453351732e-16,7.841068021275092e-21,7.331242193068804e-27,9.502597391156455e-22,1.1747012722898784e-27,1.074986620597525e-32,7.39608306627394e-40,3.866875984251276e-34,4.19133226437632e-38,1.0211401713528129e-37,5.4253969291105074e-27,3.668068893661075e-55,2.759848787441644e-54,1.7642595181123912e-62,1.148780371690764e-81,7.840667535951076e-21,1.6648202886228716e-28,6.156904813772194e-43,3.595882274692729e-45,1.5402277953515174e-41,2.838807966648987e-36,1.1748660584760645e-37,1.3377576807552693e-68,2.2472231503014246e-65,5.728730042543863e-78,5.472151400229081e-82,8.511156617654152e-59,7.776764061665501e-41,9.051400125352216e-84,2.825897007197094e-85,6.674160033206238e-70,1.3524378599776569e-42,1.971015555383543e-90,4.1046093873804304e-84,3.728360029035658e-71,9.54037832435737e-38,1.994260850650729e-53,1.4076892851478452e-82,3.659170061474458e-93,2.6640529171787396e-74,2.3768116373786872e-55,4.2668084798885895e-108
6.804677666961314e-16,0.7503004259344704,3.76,0.0,0.924818181901648,0.9999999999999934,1.356568615491103e-33,4.5997875592729104e-46,3.543600378502174e-31,7.762077799713466e-15,6.479617585954711e-15,2.4196661766650972e-26,6.345483668412211e-25,1.2824602098267181e-15,1.6144222303164823e-20,3.0606493078058244e-26,1.956725695625549e-21,4.904146494727816e-27,4.487858306450427e-32,6.216872401055222e-39,1.6143886821564488e-33,3.52306716790537e-37,8.583298116274054e-37,2.264996418613526e-26,6.186939144059055e-54,4.752913948431737e-53,5.9816361194558436e-61,7.828945696635986e-80,1.614255035577406e-20,6.950296679818512e-28,5.1752521484100684e-42,3.0225557064045147e-44,1.2946532357957485e-40,2.3861881501594351e-35,9.87554655266493e-37,4.6413025846774885e-67,7.915683500036802e-64,4.038381725139482e-76,3.84094295313804e-80,1.4358859865638661e-57,6.5368379372565596e-40,6.42909800909899e-82,1.964959255279357e-83,2.315604188427642e-68,1.1377554677918143e-41,2.919104577258922e-88,2.8957796369419945e-82,1.293540837278849e-69,8.019262664171636e-37,3.3636233306728546e-52,9.788230540511808e-81,5.091740071328009e-91,1.9173380067167558e-72,4.0088442630489256e-54,1.2589860029229488e-105
1.3803774695835809e-15,0.7503004259344705,3.76,0.0,0.92481818190164,0.9999999999999868,1.1121969597231002e-32,3.7711837499930234e-45,1.4476763369843187e-30,1.574592925420873e-14,1.3144367102907794e-14,9.885125677597993e-26,2.5923371227957116e-24,2.6015621352372716e-15,3.275314504619054e-20,1.2503751152966266e-25,3.9706100660043826e-21,2.0035037987967866e-26,1.8334371881206866e-31,5.096975100105978e-38,6.595664622220102e-33,2.888423077906722e-36,7.037105831684399e-36,9.253249419041613e-26,1.0162223363631214e-52,7.885951040737363e-52,1.9699713216366813e-59,5.169773498621511e-78,3.274631459556702e-20,2.839422727336479e-27,4.2429887671712803e-41,2.478073760496978e-43,1.0614332501637031e-39,1.9563395782194745e-34,8.096716362154757e-36,1.5457473597459644e-65,2.6551613970022395e-62,2.7101689770729122e-74,2.5724730964375725e-78,2.359613194897075e-56,5.35929329966461e-39,4.33258552079018e-80,1.3102423418409158e-81,7.712115416816706e-67,9.343585157079915e-41,4.0124358201543454e-86,1.944086743369068e-80,4.308028441750762e-68,6.574675759421889e-36,5.524770078150023e-51,6.526834490230227e-79,6.792363917822385e-89,1.2996338263252964e-70,6.584551994125679e-53,3.456547081956668e-103
2.78019687535848e-15,0.750300425934471,3.76,0.0,0.924818181901624,0.9999999999999735,9.006859510517446e-32,3.0540023776048216e-44,5.851738874292565e-30,3.171363217342614e-14,2.6473866136726026e-14,3.9957257096245934e-25,1.0478641098790815e-23,5.239765971768236e-15,6.598144724917036e-20,5.054216186603846e-25,8.002188636147915e-21,8.098482180856124e-26,7.411051386807651e-31,4.1276655148111e-37,2.6663641948124605e-32,2.3391195054151688e-35,5.698829852707135e-35,3.7403113609945684e-25,1.6473501921097934e-51,1.284726930077562e-50,6.394938546998136e-58,3.36069642972834e-76,6.595383747574186e-20,1.147739863573258e-26,3.43608940531793e-40,2.0068083426730897e-42,8.595734246764972e-39,1.5842918642732117e-33,6.557168347180236e-35,5.045575621037287e-64,8.697058194280124e-61,1.7757822186047367e-72,1.683912097772499e-76,3.828815363434626e-55,4.340092427291702e-38,2.8463312856064475e-78,8.55837544173772e-80,2.51748477802768e-65,7.591909686361962e-40,5.320081438026882e-84,1.274052623173976e-78,1.4062105883668735e-66,5.32434244274909e-35,8.955897075882433e-50,4.263271229871468e-77,8.874457607734498e-87,8.557368662514678e-69,1.067388550184464e-51,9.161241450410134e-101
5.579835686908278e-15,0.7503004259344717,3.76,0.0,0.924818181901592,0.9999999999999468,7.249504152809298e-31,2.4581268094253047e-43,2.3529581883649333e-29,6.364903805276857e-14,5.313286420401077e-14,1.6066636223593856e-24,4.213415474481291e-23,1.0516173587669588e-14,1.3247987852239066e-19,2.0322781418399636e-24,1.6080585093576466e-20,3.2563636591146017e-25,2.9799552939247718e-30,3.322305378837393e-36,1.0723674122607977e-31,1.8827262481373912e-34,4.586912598703833e-34,1.5039627470358826e-24,2.65300617868394e-50,2.074133332073731e-49,2.061079282464164e-56,2.167676056615582e-74,1.32368860838455e-19,4.6150098933075977e-26,2.7656751072801538e-39,1.6152538829761584e-41,6.918550612891895e-38,1.2751716604449053e-32,5.2781618931573224e-34,1.6306420697055047e-62,2.8155605288337827e-59,1.1498815231112929e-70,1.0898664222934337e-74,6.178366416685524e-54,3.4932803657814066e-37,1.847494050418398e-76,5.533345560022537e-78,8.136863428739682e-64,6.151247524117085e-39,6.930038962754331e-82,8.250688784035077e-77,4.5446190905069625e-65,4.285493285335897e-34,1.4423200798086165e-48,2.7563904745624874e-75,1.1475393052023098e-84,5.554655892261766e-67,1.719010195121538e-50,2.3861729851695805e-98
1.1179113310007873e-14,0.750300425934473,3.76,0.0,0.9248181819015282,0.9999999999998935,5.817270492762578e-30,1.972491963123298e-42,9.436412506997089e-29,1.275198499750838e-13,1.0645086033717327e-13,6.443438828070704e-24,1.689768035144837e-22,2.1068988590829998e-14,2.6564404853424956e-19,8.150344647936225e-24,3.229833527378383e-20,1.3059471449662737e-24,1.1950986642538046e-29,2.6659411088423503e-35,4.3025506103170585e-31,1.5107682353185788e-33,3.680706151157448e-33,6.0315632735135396e-24,4.2586346599826764e-49,3.3335456365005187e-48,6.619078808140592e-55,1.3927307413485915e-72,2.6519881797339617e-19,1.8508240802447721e-25,2.2192984260440284e-38,1.2961394202982655e-40,5.551630344443044e-37,1.0232381097593627e-31,4.2360061251740036e-33,5.243895470720639e-61,9.062132711882808e-58,7.40230980412544e-69,7.014273873400995e-73,9.95674080589063e-53,2.8031317181520808e-36,1.1932488090092259e-74,3.559350846804263e-76,2.6171999193070955e-62,5.001175176343368e-38,8.948260403873393e-80,5.311603896688732e-75,1.4614746283170214e-63,3.4388373151723625e-33,2.315243299541374e-47,1.773072046710656e-73,1.4761387397234413e-82,3.5801148969410178e-65,2.7594365005260548e-49,6.161585090037838e-96
