Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27)
0.0,0.9034178284712889,3.76,0.0,0.7707274926342151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6634359683056075e-19,0.9034178284712889,3.76,0.0,0.7707274926342149,0.9999999999999998,2.852611909633385e-40,4.1580006164860734e-50,3.159068882976939e-33,2.403933656255161e-16,9.999093504262709e-17,2.4705173094869e-31,1.1310766145748321e-28,1.404024305821627e-16,8.893725880528229e-21,2.0896120146534686e-30,9.96103348567051e-22,5.620839278618271e-31,5.136483410965971e-35,3.4192867349414825e-44,4.794851973118764e-37,1.391397890765269e-44,3.00596142136653e-43,1.1781499252457773e-30,2.4558911833817057e-60,1.7521478550084972e-59,1.6234220311880094e-70,2.193134920651464e-89,8.893725572327742e-21,2.5874831466438707e-31,1.7640593736187386e-48,1.4769502650182058e-49,2.6516137845393054e-47,7.250920672640409e-42,3.1228730269635557e-43,3.120731846773465e-76,3.3609742896366917e-73
1.02576207112557e-18,0.9034178284712892,3.76,0.0,0.7707274926342145,0.9999999999999997,3.386650961458256e-39,4.936378335524108e-49,1.9080776052751708e-32,6.731014237524371e-16,2.7997461811932976e-16,1.4921924548693728e-30,6.8317027520182665e-28,3.9312680562872024e-16,2.490243346302443e-20,1.2621256568731533e-29,2.789089737485995e-21,3.394986924082105e-30,3.102435982324632e-34,4.059823860957626e-43,2.8960907791024762e-36,1.6518675759005473e-43,3.568684899907406e-42,7.116025548477679e-30,5.495902075930289e-59,4.775115317230558e-58,8.125310686467193e-69,1.9947084862295834e-87,2.4902431601493484e-20,1.5628398204709838e-30,2.0942912886828135e-47,1.7534353549434783e-48,3.1479958841880907e-46,8.608293016378719e-41,3.7074749140550584e-42,1.8986124517738535e-74,1.656082366144842e-71
2.3445990197155888e-18,0.9034178284712892,3.76,0.0,0.7707274926342136,0.9999999999999993,3.325047187183098e-38,4.8465655294084214e-48,9.186572311053438e-32,1.5385175400102472e-15,6.399419842726308e-16,7.184264335077181e-30,3.2891707951630305e-27,8.98575555716494e-16,5.69198526181984e-20,6.076591738949163e-29,6.375063961316889e-21,1.6345400619171705e-29,1.4936893789952733e-33,3.98615486019303e-42,1.3943432294377318e-35,1.6218133814262875e-42,3.5037592831002094e-41,3.4260599826044915e-29,1.0860942690522875e-57,1.0191360094191655e-56,3.481770668130974e-67,1.7145919425157927e-85,5.69198436557282e-20,7.524400988911628e-30,2.0561876068902e-46,1.7215332298103787e-47,3.090721024726387e-45,8.451673116871701e-40,3.6400209752048724e-41,8.571260801702215e-73,8.446879057090735e-70
4.982272916895626e-18,0.9034178284712893,3.76,0.0,0.7707274926342118,0.9999999999999987,2.940971820672209e-37,4.2867323379749924e-47,4.0120174807157626e-31,3.26934977254174e-15,1.3598767165788165e-15,3.137556982107282e-29,1.4364673004887697e-26,1.9094730558706773e-15,1.2095470688927255e-19,2.653807258958011e-28,1.3547018192950705e-20,7.138465880693186e-29,6.523333963514009e-33,3.5257865607559205e-41,6.08946482931156e-35,1.434475569358831e-41,3.0990367117263164e-40,1.496250405051565e-28,1.9328070810309823e-56,1.8753182827219135e-55,1.28651714758017e-65,1.2708828165439227e-83,1.2095466774781054e-19,3.286103594657995e-29,1.818674653926383e-45,1.5226766470561985e-46,2.7337077419901126e-44,7.475409136433612e-39,3.2195575433282515e-40,3.2363464553096776e-71,3.3462670463691715e-68
1.0257620711255701e-17,0.9034178284712895,3.76,0.0,0.7707274926342084,0.9999999999999972,2.4720660991078646e-36,3.603256846608242e-46,1.674938321155918e-30,6.7310142376682184e-15,2.7997461811895223e-15,1.3098682766429812e-28,5.996968210284356e-26,3.931268056093586e-15,2.4902447927432587e-19,1.1079122904825654e-27,2.7890949792106447e-20,2.980168982686539e-28,2.72336353279184e-32,2.96366686728583e-40,2.5422330465465877e-34,1.205763149581171e-40,2.604927603581786e-39,6.246550903557955e-28,3.2600915120429934e-55,3.213310932362791e-54,4.418543186651854e-64,8.743690815613363e-82,2.490243158664269e-19,1.3718835629288233e-28,1.5287056320387536e-44,1.2799014717261318e-45,2.2978460702118642e-43,6.283531767187505e-38,2.706232465857279e-39,1.1228391580941703e-69,1.1856449871068373e-66
2.080831629997585e-17,0.9034178284712903,3.76,0.0,0.7707274926342015,0.9999999999999943,2.0267499704589e-35,2.9541676977743513e-45,6.842669558216453e-30,1.3654343168175142e-14,5.679485110404267e-15,5.351239305869964e-28,2.449957190071613e-25,7.97485805619757e-15,5.051642794160524e-19,4.526183210872577e-27,5.657890553397031e-20,1.2174962687039284e-27,1.1125828766535046e-31,2.429805419033883e-39,1.0385862547645089e-33,9.885574790006176e-40,2.1356772366093814e-38,2.5519198639987943e-27,5.354814720348024e-54,5.318561776524218e-53,1.464342643966197e-62,5.800203828728385e-80,5.051636118414665e-19,5.604591982918917e-28,1.2533252410033822e-43,1.0493405577346607e-44,1.8839130298789167e-42,5.1516189134962835e-37,2.2187334659416036e-38,3.739523567422128e-68,3.987884516396271e-65
4.190970747741615e-17,0.9034178284712916,3.76,0.0,0.7707274926341876,0.9999999999999886,1.6413150027299557e-34,2.392361650825064e-44,2.765916438184743e-29,2.7501001030204846e-14,1.1438962968807096e-14,2.163056483387876e-27,9.903118676044607e-25,1.606203805503821e-14,1.0174449011859852e-18,1.8295556223877737e-26,1.1395518719190744e-19,4.9213145689579874e-27,4.497237973919529e-31,1.9677243178302124e-38,4.198140623975243e-33,8.005594763074811e-39,1.729526876534147e-37,1.0315268106828134e-26,8.680469283611793e-53,8.654365419525443e-52,4.768292674715135e-61,3.7789604691648594e-78,1.0174422027427731e-18,2.2654656841758586e-27,1.01497528024816e-42,8.497831942163691e-44,1.525641601583973e-41,4.171914456835261e-36,1.7967888356276851e-37,1.22064283189203e-66,1.30796515676816e-63
8.411248983229675e-17,0.9034178284712941,3.76,0.0,0.77072749263416,0.999999999999977,1.3210732369094148e-33,1.925580879418334e-43,1.112162833146893e-28,5.519431675832771e-14,2.2957918685506104e-14,8.697554960895512e-27,3.982000463594033e-24,3.2236398047250176e-14,2.0420102306717673e-18,7.356562699766231e-26,2.287092312046184e-19,1.9788389353689648e-26,1.8083196899900707e-30,1.5837976738174564e-37,1.6880610593912713e-32,6.443599131969422e-38,1.3920737236606333e-36,4.147723937287187e-26,1.397969484274401e-51,1.3963869649226175e-50,1.5391777660743113e-59,2.4401584770504952e-76,2.0419993803502947e-18,9.109337836770237e-27,8.169404151424266e-42,6.839794515310073e-43,1.227969066630746e-40,3.3579195357116905e-35,1.4462135018795649e-36,3.944906783062522e-65,4.237110770407702e-62
1.6851805454205794e-16,0.9034178284712996,3.76,0.0,0.7707274926341046,0.9999999999999539,1.0600781267060403e-32,1.5451575346531202e-42,4.460270374230141e-28,1.1058094823082724e-13,4.5995830118477517e-14,3.488108527620581e-26,1.5969602847875615e-23,6.458511800979687e-14,4.091157233426987e-18,2.950310680073181e-25,4.582232420173787e-19,7.936029123356319e-26,7.252171391269634e-30,1.2708986710751e-36,6.769937430426678e-32,5.170582492714254e-37,1.1170514988651924e-35,1.6634228101219293e-25,2.2440557807076425e-50,2.2436162067110433e-49,4.9468005559123865e-58,1.5686594511070605e-74,4.0911137187849754e-18,3.6532518651525975e-26,6.555432480761373e-41,5.4885044614174756e-42,9.853678056427991e-40,2.6945186841994286e-34,1.1604977111657276e-35,1.2686229029551834e-63,1.364189417908712e-60
