Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32),H2CC(23),C3H3(635)
9.208e-13,0.6082388469088097,3.76,0.0,0.7653900442570327,0.9999999999997958,2.5585031634964334e-27,4.128943134350781e-42,2.3572536339671995e-29,2.0791085193696253e-13,2.041857015313647e-13,1.9830325128364444e-21,1.5332168973458253e-21,3.725146840685019e-15,1.2125076704687953e-20,4.337524716571638e-22,3.0759134423916355e-21,3.6291812846034777e-23,1.0935755016190182e-29,5.637313502550101e-34,1.3807593918649413e-30,4.845043936814398e-31,1.2858709832375398e-30,1.64282440393781e-22,7.224887701113403e-48,1.263109512079676e-46,1.0628661056255005e-51,4.264249178635741e-70,9.829413793265714e-21,6.851953650716032e-25,6.37072396421705e-36,1.9534986731422274e-39,2.169270861010271e-34,3.613563123878009e-29,1.5285481927588924e-30,1.684885865465164e-58,2.1226873825731903e-54,5.002593319124557e-65,1.8282403892928945e-69,3.3174613148038385e-50,1.719010844322752e-33,8.451546666999665e-72,2.552413310018909e-74,2.3468592268424197e-59,3.545619727738327e-35,1.2161531445526847e-75,2.8094435217659226e-72,2.984555674268688e-61,3.528153135463648e-30,5.9439462426796295e-46,1.922551063619197e-71
1e-12,0.6082388469088099,3.76,0.0,0.7653900442570148,0.9999999999997783,4.0989374692799186e-27,6.614703476519709e-42,2.965480272661364e-29,2.2579371409422754e-13,2.217481554818854e-13,2.4947225012981424e-21,1.928842067827507e-21,4.04555412754768e-15,1.3562742573907475e-20,5.456766252884232e-22,3.53585532289232e-21,4.565622162196947e-23,1.3760875258391507e-29,9.031429145004799e-34,1.8142105520375787e-30,7.761749222585726e-31,2.059965623237096e-30,2.0667329895008538e-22,1.6531284713596896e-47,2.8932671723741217e-46,3.896872923058056e-51,2.7378166303429803e-69,1.0674715642690552e-20,8.61969128310839e-25,1.0228970799285081e-35,3.1304691856471084e-39,3.4718694162035864e-34,5.786459535487876e-29,2.473369652335815e-30,6.178380833063017e-58,7.786768096060668e-54,3.2103268074994524e-64,1.171981129689805e-68,1.1359933481599404e-49,2.753700909467726e-33,8.919474336718166e-71,1.6376629775200446e-73,9.054148418087117e-59,6.518319352647063e-35,1.4517240711021218e-74,1.8043349979424095e-71,1.0936282517725064e-60,5.6523291853659206e-30,1.361258016766254e-45,1.2343981894590303e-70
1.8424000000000003e-12,0.6082388469088099,3.76,0.0,0.7653900442568247,0.9999999999995914,2.04835569035225e-26,3.305415438868024e-41,9.434799975135689e-29,4.160023388578655e-13,4.0854880204651564e-13,7.937243287663503e-21,6.136855244769049e-21,7.453522542359638e-15,2.885427954651519e-20,1.736142623002732e-21,8.427964415490525e-21,1.4525947860236627e-22,4.3809881470896575e-29,4.513247734202306e-33,6.424554710237467e-30,3.878488726215361e-30,1.0293517703232404e-29,6.575578854125976e-22,1.1551750748273997e-46,2.0232216831869688e-45,3.40403999812045e-50,2.7322619390351316e-68,1.9665653495663868e-20,2.742199155491811e-24,5.126668713591796e-35,1.5649155545926354e-38,1.7326781321441652e-33,2.889817591352022e-28,1.2522834267835859e-29,5.397282730660397e-57,6.803199023042778e-53,3.203558995692488e-63,1.1693015640506243e-67,9.690259198297065e-49,1.3759040693282503e-32,9.48008744632758e-70,1.634160230866774e-72,8.039531527041737e-58,3.8137033544858305e-34,1.5599244482709642e-73,1.8007671866542538e-70,9.551374076176139e-60,2.824583807978108e-29,9.517895918793558e-45,1.2319010982401072e-69
3.6856e-12,0.6082388469088108,3.76,0.0,0.7653900442564084,0.9999999999991828,1.6393030557708718e-25,2.6449374209440636e-40,3.7748626740636257e-28,8.321853127380631e-13,8.172750044557001e-13,3.1758874190300913e-20,2.4555350397071783e-20,1.491025118742749e-14,7.609939707663804e-20,6.946850686238576e-21,2.5955364539447545e-20,5.812083025637598e-22,1.7560359088908553e-28,3.6119205184255537e-32,3.28922769203388e-29,3.103181779510501e-29,8.235912237667722e-29,2.6310879819724902e-21,1.8434573943825587e-45,3.238767665509793e-44,1.0897223017826863e-48,1.749930518586035e-66,3.933299027481493e-20,1.0969424575928677e-23,4.144537252263922e-34,1.2538937365507436e-37,1.380216209102493e-32,2.3075772224694754e-27,1.047700976124335e-28,1.7275504735324308e-55,2.1793708766094145e-51,2.0484871416693472e-61,7.458920159276635e-66,2.9515626634297596e-47,1.1005817495405965e-31,1.1275897340655726e-67,1.0446638673805058e-70,2.9071531307827507e-56,4.607744943948999e-33,1.998409134416018e-71,1.153590131645489e-68,3.0513104676166055e-58,2.260391103058045e-28,1.5234311674046292e-43,7.887973509416025e-68
7.372e-12,0.6082388469088124,3.76,0.0,0.7653900442555761,0.9999999999983653,1.3116850569788831e-24,2.1157126663079776e-39,1.5099618808039905e-27,1.6645512606546654e-12,1.6347274147895095e-12,1.2705267487532845e-19,9.823687734085806e-20,2.982361744513073e-14,2.2573614303126933e-19,2.779207638320299e-20,8.830294306665045e-20,2.3250610908985288e-21,7.049851737816175e-28,2.890006297419221e-31,1.8908541056049917e-28,2.481756624594012e-28,6.586733657212105e-28,1.0526064641504157e-20,2.9324432067004496e-44,5.182725917896877e-43,3.4876087435277746e-47,1.1207203244314054e-64,7.864710418392815e-20,4.386129930121713e-23,3.381902796285611e-33,1.005679944971189e-36,1.0941875349717924e-31,1.8382103456845137e-26,9.10651756381732e-28,5.52573611544575e-54,6.9818880280492225e-50,1.3074061762256294e-59,4.737860391394792e-64,9.199293802577299e-46,8.797378763986678e-31,1.388224517119035e-65,6.664250517413293e-69,1.1433393674037857e-54,6.16030320138656e-32,2.558094237587188e-69,7.389383088136248e-67,9.72262772941811e-57,1.8084412746880488e-27,2.4378193811786704e-42,5.048374995737495e-66
1e-11,0.6082388469088158,3.76,0.0,0.7653900442549827,0.9999999999977826,4.584811321737722e-24,7.39159361434385e-39,3.124140837662585e-27,2.2579371417238968e-12,2.217481582363687e-12,2.629194231164166e-19,2.0329503512595578e-19,4.0455086647079925e-14,4.110366781014086e-19,5.751479549381405e-20,1.71662297071497e-19,4.811172930892591e-21,1.4659386598261404e-27,1.0101244167790116e-30,5.552668319319467e-28,8.66752177185658e-28,2.3004686398416795e-27,2.1783183735410232e-20,1.8414706641993024e-43,3.288832740698281e-42,4.202351085090577e-46,2.6312565871998794e-63,1.0664448477384454e-19,9.070179227702232e-23,1.2184393668049665e-32,3.528749360606588e-36,3.767916770525913e-31,6.379014013677408e-26,3.590326009869105e-27,6.649965078458816e-53,8.426927769490741e-49,3.048762744434853e-58,1.0947903767769758e-62,1.0929665552094853e-44,3.0699321645315844e-30,6.29670379569923e-64,1.5526999474817665e-67,1.8616700876904635e-53,3.5459324448607553e-31,1.1827461466405509e-67,1.7352899330821882e-65,1.161707225929704e-55,6.319977635412902e-27,1.54715759237992e-41,1.1836351490577174e-64
1.47448e-11,0.6082388469088158,3.76,0.0,0.7653900442539113,0.9999999999967304,1.0494373536740667e-23,1.6917088257509992e-38,6.03850777621002e-27,3.3292831571338244e-12,3.2696322575181628e-12,5.082240452832032e-19,3.929753802776802e-19,5.964998583635258e-14,7.455929866253041e-19,1.1117855410721867e-19,3.2216589786380912e-19,9.299796773512008e-21,2.8398245428489923e-27,2.3120985966624153e-30,1.2163998639423139e-27,1.9835793640475854e-27,5.264696271746857e-27,4.210768094879135e-20,4.636761514571306e-43,8.29102216023462e-42,1.1159929027217184e-45,7.179592536746981e-63,1.5719318014029635e-19,1.7527133986895554e-22,2.8077110063919576e-32,8.084099346644199e-36,8.595279965677056e-31,1.4577341732053623e-25,8.42842281274083e-27,1.765868008310672e-52,2.23810071641372e-48,8.317191735035675e-58,2.985870810521457e-62,2.9002038530836407e-44,7.024282947763345e-30,1.7414632030459915e-63,4.235746124141303e-67,5.016449604063359e-53,8.835810527578192e-31,3.2719841455732185e-67,4.734906457329708e-65,3.0836057057949367e-55,1.4465463831899695e-26,3.900375554458533e-41,3.2295167162005276e-64
2.9490400000000004e-11,0.6082388469088224,3.76,0.0,0.7653900442505819,0.9999999999934606,8.395732126502777e-23,1.3517981875891478e-37,2.414037529145337e-26,6.6587469528449495e-12,6.539442031213823e-12,2.032754798815272e-18,1.5719326025716754e-18,1.1930126616642458e-13,2.6676185460365933e-18,4.447419164075593e-19,1.2265364767073047e-18,3.7191067785334043e-20,1.1517017916860508e-26,1.8495660342444917e-29,8.545922957988464e-27,1.5837225433102936e-26,4.2036683789951166e-26,1.6843754249676944e-19,7.247253019709181e-42,1.3258495895025505e-40,3.570334357956039e-44,4.602982473170452e-61,3.139574170121031e-19,6.996121489220241e-22,2.399990756297395e-31,6.527908261711897e-35,6.634405252760606e-30,1.1459537874949956e-24,8.524725533079421e-26,5.634361493477078e-51,7.184746999972754e-47,5.258688834366916e-56,1.8536960499982554e-60,9.183886263249859e-43,5.596922808091915e-29,2.2058963498498692e-61,2.6734102361768732e-65,2.4680979270167028e-51,1.3162527838191046e-29,4.180334207083174e-65,3.0367236312042936e-63,9.693536760491885e-54,1.1567418912253195e-25,6.239218298263849e-40,2.0645555170314583e-62
5.89816e-11,0.6082388469088355,3.76,0.0,0.765390044243923,0.9999999999869209,6.716480704999778e-22,1.0788581369802421e-36,9.644655247185637e-26,1.3317674556629847e-11,1.3079061931512248e-11,8.129392303722496e-18,6.287595279165859e-18,2.3859800137209046e-13,1.0040744887650595e-17,1.7790806350689166e-18,4.781644157992414e-18,1.4869028803151976e-19,4.7327355658252357e-26,1.4793698021747303e-28,6.362602946132646e-26,1.2618842691572012e-25,3.34980813607901e-25,6.737635971687681e-19,1.1081570039193588e-40,2.118849147115337e-39,1.1420382434140037e-42,3.134085549259645e-59,6.2617974638157125e-19,2.7865457403119925e-21,2.1391492796885002e-30,5.3179733416742015e-34,4.955591343522875e-29,8.857506798730025e-24,9.529560588801185e-25,1.7899723512338156e-49,2.4501091855613358e-45,3.467885734496406e-54,1.155710813496896e-58,2.906212430969579e-41,4.441503629461102e-28,2.80787274226601e-59,1.661939299239447e-63,1.5832846625712984e-49,1.9799782656172294e-28,7.656636373096941e-63,2.0649024175221326e-61,2.99848306251079e-52,9.245361227222808e-25,9.977585198167802e-39,1.31596366064396e-60
9.999999999999999e-11,0.6082388469088617,3.76,0.0,0.7653900442346613,0.9999999999778251,3.941009231673008e-21,6.302012382423545e-36,2.9701783246794703e-25,2.2579371512293303e-11,2.2174818423692054e-11,2.5080038198491115e-17,1.940414309541091e-17,4.0450794603292417e-13,3.0111804144011e-17,5.491260034791653e-18,1.4583088251575496e-17,4.584797698178512e-19,1.5307165963852787e-25,8.677626215713379e-28,3.6017103529680237e-25,7.348354187894734e-25,1.9511324066273184e-24,2.079456594919339e-18,1.1661046878804339e-39,2.416467785531909e-38,2.573381974611274e-41,1.4128679180801218e-57,1.0568372256239004e-18,8.534266035977805e-21,1.4507169896160684e-29,3.224772819538454e-33,2.580252512879727e-28,4.8811480171341005e-23,8.323105522375788e-24,3.985528231477695e-48,5.594093432603346e-44,1.4875244427404453e-52,4.661104736588061e-57,6.444747864229066e-40,2.566749330200056e-27,2.4987343368242303e-57,7.055604750517398e-62,6.506642273622658e-48,2.096630871255998e-27,6.781120294684852e-61,9.33442645352596e-60,6.347270714744847e-51,5.4155134029048045e-24,1.1394072529690617e-37,5.859239683743176e-59
1.17964e-10,0.6082388469088617,3.76,0.0,0.7653900442306051,0.9999999999738416,5.37282529225344e-21,8.589491729866244e-36,3.848579840547904e-25,2.6635529824454153e-11,2.6158303143367085e-11,3.250357014643701e-17,2.5148532563820855e-17,4.771681728064507e-13,3.8901920493777414e-17,7.117008253557361e-18,1.8875628713834548e-17,5.941520108318757e-19,1.9938235622107792e-25,1.1830101158978072e-27,4.900428607416879e-25,1.0013922460187196e-24,2.658925670552797e-24,2.6950795595301306e-18,1.628268286929724e-39,3.38196440878921e-38,3.65037854911072e-41,2.0179074162644082e-57,1.2454435817252894e-18,1.105147897922622e-20,1.9923742028528269e-29,4.404160889750976e-33,3.493243557188305e-28,6.630931474474183e-23,1.1550860992170719e-23,5.65259771294233e-48,7.936723039861169e-44,2.1237978735920743e-52,6.651820283335429e-57,9.13994637567801e-40,3.496341119439761e-27,3.5807574622335555e-57,1.0072820828695507e-61,9.286885024083781e-48,2.9281368299205973e-27,9.717378335360639e-61,1.3332004274901338e-59,8.995738137808209e-51,7.382335996209248e-24,1.5947136151708389e-37,8.36765991853492e-59
