Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309)
0.0,0.8101998884583709,3.76,0.0,0.659066097011678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6215371673809786e-18,0.8101998884583709,3.76,0.0,0.6590660970116776,0.9999999999999999,6.28829877170802e-39,9.124392836193804e-50,2.485467269401847e-33,2.6274570298780113e-16,1.5827120942195548e-16,2.8584403357600734e-30,4.6972835293887345e-28,1.0447449356339466e-16,3.4786832973667924e-21,1.1224041337103842e-29,4.879775370194408e-22,2.50650416939844e-30,8.024734601438152e-35,1.8685843166979927e-43,1.319068268814474e-36,1.1410369741572924e-43,6.50143494002746e-42,6.199376620533224e-30,1.8460456678566447e-59,1.0115328093160607e-58,3.8002812844587e-69,2.4479507619193854e-88,3.478682298228669e-21,7.989987363480798e-31,3.8774432146402785e-47,9.479733519186485e-49,7.236378452297367e-46,1.7349161184252722e-40,7.263657026870227e-42,1.2029156685874484e-74,1.2667742907826911e-71,3.151166317319231e-85,4.574120616672883e-89,1.990169716752276e-63,2.2081208989374415e-55,-1.0867202567029996e-96,-4.743996327706609e-103,3.838406756829155e-76
7.34030406866674e-18,0.810199888458371,3.76,0.0,0.6590660970116773,0.9999999999999996,7.465496592237553e-38,1.0832479189742537e-48,1.501222230480323e-32,7.356879683690444e-16,4.4315938638139016e-16,1.7264979624453823e-29,2.8371592517212072e-27,2.925285819728502e-16,9.740316466734812e-21,6.779320968128759e-29,1.3663385972785695e-21,1.5139285178318114e-29,4.846939714270261e-34,2.2185374676811948e-42,7.96717524274477e-36,1.3546390956660898e-42,7.718506761912915e-41,3.7444234787908156e-29,4.130919246653455e-58,2.8497823425063863e-57,1.9644111337520694e-67,2.2822447671395422e-86,9.740310431940549e-21,4.825952365109644e-30,4.60330059055739e-46,1.125433963495364e-47,8.591028437113166e-45,2.0596924054298033e-39,8.623414559732546e-41,7.318013616220411e-73,6.381522629632464e-70,2.8888983212473837e-83,4.193420693618752e-87,4.451932071863011e-62,4.9394780948406897e-54,1.8081401029354678e-94,7.89330285603866e-101,2.335090393372143e-74
1.6777837871238262e-17,0.810199888458371,3.76,0.0,0.6590660970116763,0.999999999999999,7.329681220643625e-37,1.0635392333176402e-47,7.227738815844664e-32,1.681572499144335e-15,1.0129357402999188e-15,8.31234449108476e-29,1.3659700503018605e-26,6.686367587731416e-16,2.2263595741902025e-20,3.263951221606856e-28,3.1230666922933683e-21,7.288914117337597e-29,2.3335928441199388e-33,2.1782407965193988e-41,3.835854791489913e-35,1.3299926969116066e-41,7.578077106018e-40,1.802778721234173e-28,8.163250192711402e-57,6.149722066939711e-56,8.518814351959721e-66,2.0013831755328829e-84,2.2263566686965398e-20,2.323488321651061e-29,4.5195478300076795e-45,1.1049577390938184e-46,8.434722533489532e-44,2.0222181955059762e-38,8.466521536559702e-40,3.303702416912189e-71,3.2124432511934266e-68,2.9056917513565986e-81,4.217798069206534e-85,8.796270289397793e-61,9.759576207041607e-53,3.624143061929036e-92,1.5820939278670056e-98,1.0541716672468465e-72
3.565290547638131e-17,0.8101998884583711,3.76,0.0,0.6590660970116744,0.9999999999999979,6.483024956681293e-36,9.406884127738341e-47,3.1565434284452346e-31,3.5733415607461326e-15,2.1524884481356123e-15,3.6302192209329077e-28,5.965550081865052e-26,1.4208531122992456e-15,4.731020603796111e-20,1.425453250615148e-27,6.636546780309124e-21,3.183260287620345e-28,1.0191413169141003e-32,1.9266561457502386e-40,1.675221070686773e-34,1.176363478527962e-40,6.70272392625437e-39,7.873208307902625e-28,1.4527087111183847e-55,1.1367228148486496e-54,3.163099332805888e-64,1.4964905839391128e-82,4.731007914741945e-20,1.0147283913912612e-28,3.9974888965137534e-44,9.77322606893831e-46,7.460416329113071e-43,1.7886290539776141e-37,7.488545951105457e-39,1.2474152801210427e-69,1.2665428130591126e-66,2.2974821030598335e-79,3.334942933529581e-83,1.5652498026177147e-59,1.736664392522084e-51,5.7268112377203835e-90,2.5000015775546746e-96,3.980353486391019e-71
7.34030406866674e-17,0.8101998884583713,3.76,0.0,0.6590660970116706,0.9999999999999956,5.44937505920677e-35,7.907053002364535e-46,1.3177947429112573e-30,7.356879684154597e-15,4.431593863801546e-15,1.5155450610858438e-27,2.4904997268691253e-25,2.9252858190535383e-15,9.740363361297791e-20,5.950986724159098e-27,1.366360254828523e-20,1.3289485038508732e-27,4.2547144875042004e-32,1.619481217510391e-39,6.993739119124664e-34,9.88804384579217e-40,5.634043529189189e-38,3.286909484049579e-27,2.45028815541184e-54,1.9517668933622268e-53,1.0887969823598432e-62,1.033834827817628e-80,9.740310386994498e-20,4.236291266180282e-28,3.360130323193261e-43,8.214985390172759e-45,6.270929058869048e-42,1.5034504271521352e-36,6.294580032983968e-38,4.327863239889839e-68,4.478483602090761e-65,1.6272007852840825e-77,2.3619865989505136e-81,2.6400239142572606e-58,2.929138171173118e-50,8.122910303757171e-88,3.546010676589327e-94,1.3809708156745034e-69
1.489033111072396e-16,0.8101998884583719,3.76,0.0,0.6590660970116631,0.999999999999991,4.4677276869494226e-34,6.482679915877635e-45,5.383621496058401e-30,1.4923955931790992e-14,8.989804695111598e-15,6.1914960630939666e-27,1.0174504012502266e-24,5.934151231370464e-15,1.9759131669460567e-19,2.4311722559005953e-26,2.771809645201549e-20,5.429188233813438e-27,1.73818978408823e-31,1.327752779955565e-38,2.8571877181318212e-33,8.106815749645002e-39,4.619129332782615e-37,1.3428097733809265e-26,4.0246719561538376e-53,3.233698304260442e-52,3.6122434787502345e-61,6.871782035255346e-79,1.975891525214658e-19,1.7306631941458532e-27,2.754837913267306e-42,6.735141348251814e-44,5.141285877198906e-41,1.2326193870838378e-35,5.160686758460619e-37,1.4413591662698174e-66,1.504907754262218e-63,1.0944100916796819e-75,1.5886066838346107e-79,4.3362513349241697e-57,4.811117706247792e-49,1.093771716441499e-85,4.774819999246254e-92,4.599217955984347e-68
2.99903851948384e-16,0.8101998884583728,3.76,0.0,0.659066097011648,0.9999999999999819,3.618082023215849e-33,5.249842498286922e-44,2.1761458736290252e-29,3.0058108430341654e-14,1.8106226357644438e-14,2.5027016847301102e-26,4.1126971967143956e-24,1.1951882051237675e-14,3.9796999458423534e-19,9.827186994948638e-26,5.582861373058557e-20,2.1945646653988537e-26,7.0260417315264794e-31,1.0752503139499418e-37,1.1549347719792442e-32,6.565109568414094e-38,3.740690671103064e-36,5.427851800260123e-26,6.5242189360929255e-52,5.2644313447759694e-51,1.1768636437097464e-59,4.481544775130753e-77,3.979612466503864e-19,6.995617219764276e-27,2.2309392694802908e-41,5.454292079028361e-43,4.1635455654747695e-40,9.982069629637685e-35,4.1792737205833684e-36,4.70483631961668e-65,4.933627100726876e-62,7.178486053624992e-74,1.0420034921796144e-77,7.029263443923128e-56,7.799027390624799e-48,1.4357123508732873e-83,6.267605024065552e-90,1.501266931438431e-66
6.019049336306727e-16,0.8101998884583744,3.76,0.0,0.6590660970116177,0.9999999999999637,2.912147300136139e-32,4.2255303349492405e-43,8.750186752756709e-29,6.03264134405545e-14,3.6339069682361076e-14,1.0063253260926956e-25,1.6536974533235936e-23,2.3987343671905523e-14,7.987405972689699e-19,3.9514686897160124e-25,1.1205576617214309e-19,8.824247806422201e-26,2.8251410508521255e-30,8.654556715349647e-37,4.6440530104760544e-32,5.284171317730753e-37,3.010833207584745e-35,2.182515335877425e-25,1.0507092068901869e-50,8.496234847957182e-50,3.79984127979663e-58,2.8952546265399235e-75,7.98705422211744e-19,2.812906819551379e-26,1.7956541777305804e-40,4.3900887696273626e-42,3.351182025700599e-39,8.034435249093595e-34,3.3638684873053427e-35,1.5205217377933012e-63,1.5978762188214583e-60,4.650750773870933e-72,6.750864811220433e-76,1.1320454319379001e-54,1.25600875893277e-46,1.8609082610035474e-81,8.123943300183087e-88,4.8518714335532274e-65
1.2059070969952501e-15,0.810199888458378,3.76,0.0,0.6590660970115572,0.9999999999999273,2.3368148540799738e-31,3.39072256714034e-42,3.509216173538767e-28,1.2086302351342621e-13,7.280475633039819e-14,4.035814534897484e-25,6.632066412659617e-23,4.8058266836974967e-14,1.600334790260173e-18,1.584715694844503e-24,2.245345425927598e-19,3.538917889952903e-25,1.1330083779152538e-29,6.944739410368929e-36,1.8625620699937067e-31,4.240214673637535e-36,2.4160038925573714e-34,8.752862647119913e-25,1.6866230051619774e-49,1.3652786137235372e-48,1.2213989310956658e-56,1.8616750255212603e-73,1.600193722548528e-18,1.128101367431565e-25,1.4408996582052559e-39,3.5227697462248005e-41,2.6891098523601034e-38,6.447123787813721e-33,2.699333389291462e-34,4.889769601165073e-62,5.143988730945575e-59,2.994687473893278e-70,4.346982679526397e-74,1.8171971767748514e-53,2.016170426578216e-45,2.3969240129162582e-79,1.0464335572525262e-85,1.5603123762941335e-63
