Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12),CH3O2(36),OH(8),H(6),H2(9),CH2O(19),O(7),CH3O(26),C2H5(31),C2H4(29),C2H6(30),HCO(16),CO(14),H2O2(13),C2H4(92),C2H3(28),C2H2(22),C2H(21),CH2(S)(24),CH2(T)(17),C1OO1(207),C2H5O(49),CH2O2(59),CHO2(121),CO2(15),HCCO(20),CH2CO(27),C2H2O(171),C2H2O(603),CH3CO(33),CHO2(125),C#CC(199),C3H4(637),CHO3(309),CH2O2(77),C3H4(718),C2H3O(346),C2H2O(128),CH2OH(32)
0.0,0.6028175789861262,3.76,0.0,0.7377283043535507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.6028175789861261,3.76,0.0,0.7377283043535505,0.9999999999999998,6.912449446293397e-36,1.0057246677996946e-50,3.1766485703727195e-35,2.0065859045115443e-16,1.9728232610910303e-16,3.1871715462249373e-27,2.2702678685600045e-27,3.3762643374511987e-18,8.598807891359836e-24,6.7020102682411e-28,1.7695723105759793e-24,5.515811397135107e-29,1.4718724160114781e-35,1.4033311821048715e-42,1.5935622537363254e-36,1.329366230507236e-39,3.5335609023266136e-39,2.4118892639899435e-28,3.273150610460987e-59,3.4707518447840804e-58,3.356829609442553e-67,1.0252952315018008e-87,8.59559176601075e-24,9.84103936607591e-31,1.73586359327866e-44,4.825291681631386e-48,5.988570136198575e-43,9.94169345061203e-38,4.1023542427735745e-39,8.31125169944764e-73,1.1113860624123221e-68,5.164270293665188e-82,1.8470745833457616e-86,2.7580826267324292e-62,4.783609888215355e-42,-2.9956618012772765e-89,-1.1750562246084457e-100,1.108882455132114e-73,6.439364352188533e-44,4.907007871032522e-114,2.6553683455181002e-89,1.4711579491760675e-75,9.971614278585513e-39
2.8e-15,0.6028175789861262,3.76,0.0,0.7377283043535502,0.9999999999999994,8.206460549221238e-35,1.1939961636263621e-49,1.9186956052165975e-34,5.618440532617547e-16,5.523905131066451e-16,1.925051590328304e-26,1.3712417894129756e-26,9.45354012732448e-18,2.4087078385014747e-23,4.048014211640596e-27,4.960165370915479e-24,3.3315499872450564e-28,8.890124735459134e-35,1.666050453830731e-41,9.628801847504924e-36,1.5782232269951505e-38,4.195042573644551e-38,1.4567811154173496e-27,7.327390108421503e-58,1.070124336852379e-56,1.892331204738959e-65,8.428815885956311e-86,2.4067652987937346e-23,5.943986308707058e-30,2.060837028695447e-43,5.728593078738442e-47,7.109600395368368e-42,1.180275471478387e-36,4.870524585296313e-38,5.056138853105954e-71,6.215719539180201e-67,5.276299846001098e-80,1.9538414185270103e-84,6.228228017119401e-61,5.679099073662705e-41,1.6748177279389445e-87,1.2170440243139459e-98,6.746369103269761e-72,7.651605990893211e-43,8.511523479332128e-112,2.6997061088897656e-87,8.949752778310535e-74,1.183829984516707e-37
6.4e-15,0.6028175789861261,3.76,0.0,0.7377283043535494,0.9999999999999988,8.057151849451014e-34,1.1722721702107265e-48,9.23769207331622e-34,1.2842149788770452e-15,1.262606887106356e-15,9.268294502548759e-26,6.60193891381327e-26,2.1608091636915535e-17,5.5105284528913e-23,1.9489446004389694e-26,1.1362803096500284e-23,1.6039978093481962e-27,4.280227525898045e-34,1.6357450544529552e-40,4.639502439059812e-35,1.5495081565041183e-37,4.118715698360805e-37,7.013773979193775e-27,1.448247342900858e-56,2.3740928264314483e-55,8.454325644469678e-64,8.777697853995234e-84,5.501175960422768e-23,2.86177204505138e-29,2.0233838930585343e-42,5.6243804782324616e-46,6.980184133527489e-41,1.1587964261985736e-35,4.782353950269847e-37,2.2825810990689424e-69,2.94299390711709e-65,4.986148027458073e-78,1.8107549686289774e-82,1.2540835708541653e-59,5.575767670266486e-40,1.746895289006307e-85,2.5266136678573847e-96,3.046551303929684e-70,7.526780158965827e-42,4.0435488054082807e-109,2.558343354696713e-85,4.040327920909615e-72,1.1622911661360777e-36
1.36e-14,0.6028175789861261,3.76,0.0,0.737728304353548,0.9999999999999973,7.126459601571633e-33,1.0368608477628727e-47,4.0343416494019846e-33,2.7289568300839836e-15,2.683039635124283e-15,4.0477074980365498e-25,2.883240143513239e-25,4.591719437547563e-17,1.173083574411401e-22,8.511553189822243e-26,2.4253884964852015e-23,7.005078976653158e-27,1.8693010386153046e-33,1.4468006415232554e-39,2.0293790855815434e-34,1.370521053277582e-36,3.642953873088346e-36,3.0630993647617937e-26,2.577446219193648e-55,4.4367898882591056e-54,3.1764778184305343e-62,7.058862946180226e-82,1.168999095266223e-22,1.2498097234696615e-28,1.789734633913939e-41,4.974725183152154e-45,6.173780514747054e-40,1.024933367051544e-34,4.23072779280893e-36,8.618579288287924e-68,1.1333443158896096e-63,3.845173303774061e-76,1.3848970465949913e-80,2.31496948197663e-58,4.931693617957892e-39,1.3935567122452874e-83,4.040040539894407e-94,1.1510118134717563e-68,6.682946545568798e-41,1.3720692403061822e-106,1.97522081871989e-83,1.5255371280064742e-70,1.0280331378945697e-35
2.8e-14,0.6028175789861261,3.76,0.0,0.7377283043535451,0.9999999999999944,5.990218624793703e-32,8.715429898162725e-47,1.6842572405383715e-32,5.618440532403294e-15,5.5239051312341614e-15,1.689838024706286e-24,1.2036959793083024e-24,9.453539873010781e-17,2.4238114574793163e-22,3.5534059784618425e-25,5.037927435075513e-23,2.924481854819999e-26,7.804074234256297e-33,1.216124087443649e-38,8.498851584932017e-34,1.152003231543555e-35,3.0621163136029626e-35,1.278783687312511e-25,4.347460595475626e-54,7.65600651533775e-53,1.0992678281760811e-60,5.042532089464355e-80,2.406759561311904e-22,5.217698587725811e-28,1.5045051123019733e-40,4.181597119900063e-44,5.189243923269435e-39,8.615031975966643e-34,3.5575103950471843e-35,2.9901767685738333e-66,3.966894369839283e-62,2.6939168361826984e-74,9.66674555833766e-79,4.1857335181168134e-57,4.145369252672166e-38,9.944015863192723e-82,5.762063441778738e-92,3.998189508480341e-67,5.660475518660184e-40,4.033299323956218e-104,1.384562104119222e-81,5.292701101707325e-69,8.641233989863424e-35
5.68e-14,0.6028175789861262,3.76,0.0,0.7377283043535393,0.9999999999999888,4.911142974672227e-31,7.145419131652257e-46,6.880732362913504e-32,1.1397407936663647e-14,1.1205636123750015e-14,6.903538269587185e-24,4.917490636383481e-24,1.9177180294942042e-16,4.95193292167783e-22,1.4516823457989244e-24,1.0400295556312903e-22,1.1947456706072823e-25,3.18830912910069e-32,9.970522511411066e-38,3.493783386979307e-33,9.444780886672108e-35,2.510498248623822e-34,5.224248617520534e-25,7.140640560800679e-53,1.2714678790786996e-51,3.656317228362631e-59,3.4060457170101147e-78,4.882270363836259e-22,2.1315911476389978e-27,1.2336896671934881e-39,3.428392916378108e-43,4.254143157532909e-38,7.062876846432794e-33,2.9188409045341298e-34,9.958478747584831e-65,1.3266758715895352e-60,1.8026338185451604e-72,6.457019383512091e-77,7.79874542085494e-56,3.3985972879570228e-37,6.742280799633994e-80,7.782015746617224e-90,1.3347565663184035e-65,4.711404757817547e-39,1.1097550372524288e-101,9.267293536655707e-80,1.7626265875773444e-67,7.0845991948692035e-34
1.144e-13,0.6028175789861262,3.76,0.0,0.7377283043535278,0.9999999999999775,3.9771706196652165e-30,5.786518357649219e-45,2.7812955472093693e-31,2.2955342743671302e-14,2.2569098109966112e-14,2.790519380918084e-23,1.9877281811489475e-23,3.8624459342824055e-16,1.0114838632479135e-21,5.867932621256179e-24,2.1674192650030127e-22,4.829348249375672e-25,1.288838414376683e-31,8.074386407994682e-37,1.4298057176475778e-32,7.648567507832514e-34,2.033050842697131e-33,2.1117248181389765e-24,1.157439990865762e-51,2.0723412005820505e-50,1.1927119559509409e-57,2.2388794916473727e-76,9.833251450951674e-22,8.616159673843442e-27,9.994066093320645e-39,2.776509900685691e-42,3.444609322953028e-37,5.71930097786416e-32,2.3672819010672596e-33,3.2505752396332656e-63,4.339365255468024e-59,1.1794289382284592e-70,4.2208083633693254e-75,1.5636594359678674e-54,2.7522286649336886e-36,4.476765592341588e-78,1.0237096680906844e-87,4.3777071654428906e-64,3.9297642823783587e-38,2.9685041246054496e-99,6.0644704129888805e-78,5.753089914507083e-66,5.737281562228098e-33
2.296e-13,0.6028175789861263,3.76,0.0,0.7377283043535047,0.9999999999999547,3.2011724442090977e-29,4.65744942294767e-44,1.1183414898870268e-30,4.6071212351634454e-14,4.5296022087135856e-14,1.1220546324402052e-22,7.992566322401097e-23,7.751901025466773e-16,2.086730110492715e-21,2.3594702812965112e-23,4.641862924255747e-22,1.9418558510995006e-24,5.182948728725808e-31,6.49896458465635e-36,5.890421343532777e-32,6.156134463595101e-33,1.63635087115687e-32,8.491152603743483e-24,1.8636851350201422e-50,3.346447803182391e-49,3.853379013678522e-56,1.4520417496699172e-74,1.9735051556127062e-21,3.4644615604003045e-26,8.049447559251794e-38,2.2349512541899516e-41,2.7717068728983216e-36,4.602747505117799e-31,1.9110739634617825e-32,1.0505051320420949e-61,1.4038544353024955e-57,7.631237831385941e-69,2.7294228719943137e-73,3.4826851484075167e-53,2.2151629908398686e-35,2.9650981273991045e-76,1.33019248120427e-85,1.428268181341804e-62,3.3470519310591516e-37,7.892201547696873e-97,3.9245582343214645e-76,1.85902988192907e-64,4.617846356127068e-32
4.600000000000001e-13,0.6028175789861264,3.76,0.0,0.7377283043534585,0.9999999999999093,2.5687385158408543e-28,3.73723928586472e-43,4.4850077198411826e-30,9.230295154335271e-14,9.074987006042551e-14,4.499933407883573e-22,3.205375552462023e-22,1.5530808334268712e-15,4.40788296230316e-21,9.46253419401197e-23,1.0469406404897483e-21,7.787679681205753e-24,2.0790643969989457e-30,5.215002458491251e-35,2.4756055555504722e-31,4.939752811080871e-32,1.3130278886209893e-31,3.405331959787025e-23,2.990507642452188e-49,5.37896846669332e-48,1.238977099148319e-54,9.354628553695248e-73,3.953800351167738e-21,1.3893572378347169e-25,6.467758591214069e-37,1.7936877115433478e-40,2.2228142816734033e-35,3.6923826564199594e-30,1.5426277434380245e-31,3.378108754384383e-60,4.5170808892075575e-56,4.9099816779939037e-67,1.7552225794159484e-71,8.686536051643169e-52,1.777416335918962e-34,1.9907415180664826e-74,1.720285971092079e-83,4.6797146159389795e-61,2.9810330935890748e-36,2.1231010213624935e-94,2.5257320850825783e-74,5.976629827315625e-63,3.705503632630034e-31
