Time (s),Volume (m^3),N2,Ne,CH4(1),O2(2),H2O(3),C(4),CH(5),CH3(18),HO2(12)
0.0,0.5216513331320163,3.76,0.0,0.5529900596233206,1.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5216513331320163,3.76,0.0,0.5529900596233206,1.0,0.0,0.0,0.0,1.2259668239623624e-17,1.2259668239623624e-17
3.0000000000000002e-15,0.5216513331320163,3.76,0.0,0.5529900596233206,1.0,0.0,0.0,0.0,3.0273874632539976e-17,3.0273874632539976e-17
7e-15,0.5216513331320163,3.76,0.0,0.5529900596233206,1.0,0.0,0.0,0.0,7.931254759103447e-17,7.931254759103447e-17
1.5e-14,0.5216513331320163,3.76,0.0,0.5529900596233205,0.9999999999999999,0.0,0.0,0.0,1.7738989350802343e-16,1.7738989350802343e-16
3.1e-14,0.5216513331320162,3.76,0.0,0.5529900596233203,0.9999999999999997,0.0,0.0,0.0,3.735445853420013e-16,3.735445853420013e-16
6.300000000000001e-14,0.5216513331320163,3.76,0.0,0.5529900596233198,0.9999999999999992,0.0,0.0,0.0,7.658539690099564e-16,7.658539690099564e-16
1.2700000000000001e-13,0.5216513331320163,3.76,0.0,0.552990059623319,0.9999999999999984,0.0,0.0,0.0,1.550472736345865e-15,1.550472736345865e-15
2.55e-13,0.5216513331320164,3.76,0.0,0.5529900596233175,0.9999999999999969,0.0,0.0,0.0,3.119710271017675e-15,3.119710271017675e-15
5.11e-13,0.5216513331320163,3.76,0.0,0.5529900596233144,0.9999999999999938,0.0,0.0,0.0,6.2581853403612684e-15,6.2581853403612684e-15
1e-12,0.5216513331320163,3.76,0.0,0.5529900596233084,0.9999999999999878,0.0,0.0,0.0,1.2253163109537008e-14,1.2253163109537008e-14
1.023e-12,0.5216513331320163,3.76,0.0,0.552990059623308,0.9999999999999875,0.0,0.0,0.0,1.2535135479048342e-14,1.2535135479048342e-14
2.047e-12,0.5216513331320162,3.76,0.0,0.5529900596232955,0.9999999999999749,0.0,0.0,0.0,2.5089035756422055e-14,2.5089035756422055e-14
4.095e-12,0.5216513331320164,3.76,0.0,0.5529900596232704,0.9999999999999498,0.0,0.0,0.0,5.0196836311167685e-14,5.0196836311167685e-14
8.191e-12,0.5216513331320163,3.76,0.0,0.5529900596232202,0.9999999999998996,0.0,0.0,0.0,1.0041243742065188e-13,1.0041243742065188e-13
