Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131)
0.0,0.8528183986994372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7914944038656886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0294533777178303e-19,0.8528183986994372,3.3153177656446225e-21,7.830953830083076e-23,2.0506854979420267e-32,9.74982605188235e-17,0.0,0.0,2.4888058091106778e-18,2.892520401475064e-32,2.2552629593307818e-39,2.8623975989726413e-39,5.3070904500472976e-45,1.1215664347946623e-51,3.582420623693956e-33,3.9342093693852844e-27,1.3788862826032998e-19,5.036805916232275e-34,2.4493847611032006e-68,4.1344258382061594e-85,3.693483697564618e-65,5.670471596818225e-62,2.328902483234656e-16,3.136546638001332e-63,1.1957555117106303e-34,4.780945372277311e-74,4.1484070701788914e-63,1.2249487169053561e-46,5.495518381010529e-51,4.077862395406461e-51,1.5689310172012109e-47,3.3797920081239434e-74,1.8774231471603706e-75,2.6186999763238557e-77,3.76,0.0,0.7914944038656883,1.0,3.7085921129528345e-40,5.260413917447651e-32,2.4921211268326243e-18,2.3289024832740226e-16,1.3489802996869756e-44,2.602749607246382e-43,1.0763366816519303e-32,9.749826051876955e-17,4.2065336127279393e-32,5.3881916002552317e-33,7.368144424477183e-35,8.398786586156986e-34,5.137538693852985e-29,1.378886282578653e-19,1.88155198405672e-32
5.682469457609925e-19,0.8528183986994372,9.282889910477748e-21,2.192667073836384e-22,1.2386141517513718e-31,2.729951294527056e-16,0.0,0.0,6.968656265509568e-18,1.7470823224903536e-31,2.6774481852730285e-38,3.398238455664661e-38,6.300577782901975e-44,1.3315236713445732e-50,2.163782056660303e-32,2.3762624590247042e-26,3.860881591287513e-19,3.0422374266541306e-33,1.4900802808011573e-66,3.596409341481556e-83,1.7644214843637274e-63,1.6036217630896007e-60,6.520926952929563e-16,9.861821605154765e-62,7.2223632905249845e-34,2.907860717586489e-72,1.2865384316213053e-61,1.8511425011599066e-45,8.30482737737688e-50,6.162465652366703e-50,1.8626349038348313e-46,2.0560924130534993e-72,1.070868589711207e-73,1.5930852039403332e-75,3.76,0.0,0.7914944038656877,1.0,4.402840556457524e-39,3.1772900061371947e-31,6.97793915515611e-18,6.520926953167342e-16,1.6015094121249657e-43,3.089984333259889e-42,6.501110566110338e-32,2.729951294523798e-16,2.5407463023903615e-31,3.254467726488687e-32,4.450359233266178e-34,5.072867097021851e-33,3.1030733710718906e-28,3.8608815911386463e-19,1.1364573980733934e-31
1.2988501617394113e-18,0.8528183986994375,2.1218034866835214e-20,5.011810461145031e-22,5.963395092931226e-31,6.239888673204697e-16,0.0,0.0,1.5928357178306027e-17,8.411449327480713e-31,2.6287345051871815e-37,3.336410722471968e-37,6.185944630453174e-43,1.307297836261277e-49,1.0417679172939319e-31,1.1440680844912288e-25,8.824872208649037e-19,1.4647131403150992e-32,6.726934660214732e-65,3.738215193050958e-81,9.187306085199338e-62,3.521220746289795e-59,1.4904975891809485e-15,2.2001262452496802e-60,3.477257027743676e-33,1.3129075323997888e-70,2.8615687340297846e-60,1.9913746306680536e-44,8.933954321620596e-49,6.629299340370255e-49,1.8287459943053303e-45,9.282183982340479e-71,4.789698148617764e-72,7.191948432561618e-74,3.76,0.0,0.7914944038656865,1.0,4.3227349667161263e-38,1.5297283671919973e-30,1.594957521190212e-17,1.490497589295429e-15,1.5723714383585615e-42,3.0337649407710327e-41,3.130042583642786e-31,6.239888673189006e-16,1.2232599750353133e-30,1.56688611725601e-31,2.1426563999609032e-33,2.4423671377289976e-32,1.4939962521494786e-27,8.824872207932304e-19,5.471553165183952e-31
2.7600565936962492e-18,0.852818398699438,4.508832744631504e-20,1.0650097258372304e-21,2.60437230279938e-30,1.3259763430559954e-15,0.0,0.0,3.3847759003893657e-17,3.673500909864266e-30,2.3250859000477276e-36,2.9510175989666958e-36,5.4713979743246554e-42,1.156290131331551e-48,4.5496741913031975e-31,4.996445897817186e-25,1.8752853443344474e-18,6.396846638987428e-32,2.539962531834807e-63,2.9923322212643803e-79,3.6664126818604536e-60,6.648837498590207e-58,3.1673073767529762e-15,4.120623417990682e-59,1.5186094995512997e-32,4.957563073174744e-69,5.352983367998116e-59,1.8304163699274835e-43,8.21184320633187e-48,6.093468223239725e-48,1.6175051228645877e-44,3.5047760546138905e-69,1.8002791406805756e-70,2.7155429132223756e-72,3.76,0.0,0.791494403865684,1.0,3.823410124456175e-37,6.680725675140125e-30,3.3892847325790324e-17,3.167307377252942e-15,1.3907447319564727e-41,2.683330732072495e-40,1.3670049495434629e-30,1.3259763430491436e-15,5.342297692856115e-30,6.843003331309295e-31,9.357543432756383e-33,1.0666458948656355e-31,6.52467414095594e-27,1.8752853440214314e-18,2.3895710151506132e-30
5.682469457609925e-18,0.8528183986994385,9.282892327233446e-20,2.1926670943266804e-21,1.0872749993805685e-29,2.7299512945270407e-15,0.0,0.0,6.968656265504781e-17,1.5336143168539204e-29,1.9543747953785698e-35,2.4805082699351437e-35,4.599039677719138e-41,9.719315268141558e-48,1.899399413973222e-30,2.085917806476165e-24,3.8608815912624905e-18,2.670607309621521e-31,8.812309950844189e-62,2.1303971283972955e-77,1.3031004911936185e-58,1.1842703692159224e-56,6.520926951081207e-15,7.11745750297342e-58,6.339895720198956e-32,1.720062343726499e-67,9.240636592362227e-58,1.565959742569607e-42,7.025404751981354e-47,5.213090357510402e-47,1.3596105190923124e-43,1.2159696250037167e-67,6.231033395610171e-69,9.421479913249602e-71,3.76,0.0,0.7914944038656793,1.0,3.2138065870282765e-36,2.7890714590141963e-29,6.97793915551514e-17,6.520926953168467e-15,1.1690047479993797e-40,2.255501160177317e-39,5.707253360726434e-30,2.729951294498436e-15,2.2303041256908237e-29,2.8568191855419608e-30,3.906590186161131e-32,4.453036633793723e-31,2.723923015267239e-26,3.860881589955711e-18,9.975988578055939e-30
1.1527295185437277e-17,0.8528183986994401,1.883101575926139e-19,4.447981867481588e-21,4.4418799255094554e-29,5.537901197469103e-15,0.0,0.0,1.4136416995727153e-16,6.265314890341975e-29,1.602314534703095e-34,2.0336708176770352e-34,3.770570596365561e-40,7.968481868575922e-47,7.759666361740534e-30,8.521654852541117e-24,7.8320740850744e-18,1.0910708902133076e-30,2.9348671400707346e-60,1.4362997441114531e-75,4.389201335950591e-57,2.100345452116198e-55,1.3228166096474366e-14,1.1826111970595744e-56,2.5900542661381424e-31,5.728678276955675e-66,1.5349068967435792e-56,1.2947657998499528e-41,5.808740506872898e-46,4.310283923797613e-46,1.1146908499398636e-42,4.049686528492669e-66,2.0726509005729064e-67,3.137746185831294e-69,3.76,0.0,0.7914944038656697,0.9999999999999999,2.634872809536974e-35,1.13942669616082e-28,1.415524800202123e-16,1.3228166105001506e-14,9.584207242008304e-40,1.8491961179404683e-38,2.3318254184238087e-29,5.537901197352242e-15,9.111520102263473e-29,1.1671038526083697e-29,1.595969565336273e-31,1.8192107576965318e-30,1.1128114310624724e-25,7.832074079735776e-18,4.0755168244833886e-29
2.321694664109198e-17,0.8528183986994431,3.7927279690614844e-19,8.958611558495651e-21,1.7954843700118543e-28,1.115380100335312e-14,0.0,0.0,2.8471938456138085e-16,2.5325404524138734e-28,1.297595851553268e-33,1.64691979516613e-33,3.053505837781497e-39,6.4530832066610796e-46,3.136581207293972e-29,3.4445891367847524e-23,1.577445907252151e-17,4.410611742831759e-30,9.579895141603888e-59,9.43194858765096e-74,1.4405798244357765e-55,3.867592123714477e-54,2.664264437420748e-14,1.928068808197419e-55,1.0469413447539102e-30,1.870004167141052e-64,2.5019278648406585e-55,1.0528820487664883e-40,4.7235713109501327e-45,3.505051311458396e-45,9.027055541245892e-42,1.3218851248525833e-64,6.761295595770062e-66,1.0242126197143015e-67,3.76,0.0,0.7914944038656505,0.9999999999999998,2.133788314004266e-34,4.605744884478207e-28,2.85098656975689e-16,2.6642644408675537e-14,7.761539568603441e-39,1.4975269521592724e-37,9.427439892232174e-29,1.1153801002880745e-14,3.683022120964184e-28,4.7176203728591343e-29,6.451164200248872e-31,7.353540699132996e-30,4.498161726837877e-25,1.5774459050941937e-17,1.647389047694889e-28
4.659624955240139e-17,0.8528183986994489,7.6119875822522345e-19,1.7979871519342562e-20,7.219607790386766e-28,2.238560061512071e-14,0.0,0.0,5.714298137682472e-16,1.0183233773748187e-27,1.0444180272686111e-32,1.3255850390988693e-32,2.457727163670958e-38,5.1940027584308744e-45,1.2612055062470444e-28,1.3850541387094457e-22,3.165922904670891e-17,1.77375196940438e-29,3.0960565617045365e-57,6.114190202706231e-72,4.6682845723072836e-54,7.687524495412095e-53,5.347160087746088e-14,3.1142047610039905e-54,4.2097050928675715e-30,6.043921503602661e-63,4.0403309925652467e-54,8.491875208520006e-40,3.80973138521345e-44,2.826950874815953e-44,7.265759692524694e-41,4.272104260508045e-63,2.1844560881035538e-64,3.310078229043137e-66,3.76,0.0,0.7914944038656121,0.9999999999999994,1.7174584691307356e-33,1.851949761199637e-27,5.721910109880623e-16,5.347160101605544e-14,6.247162374723503e-38,1.205339960448478e-36,3.792202774497345e-28,2.2385600613221305e-14,1.4809270083480425e-27,1.8969344004766705e-28,2.5939847867163434e-30,2.956826332662231e-29,1.808691046119017e-24,3.1659228959938384e-17,6.624078788010349e-28
9.33548553750202e-17,0.8528183986994605,1.5250534116322275e-18,3.602239375632568e-20,2.8954210065048108e-27,4.4849199838654126e-14,0.0,0.0,1.14485067217657e-15,4.083932199349029e-27,8.380796879627817e-32,1.063699649569232e-31,1.9721712929482336e-37,4.167860087769574e-44,5.057998151793644e-28,5.55468655005301e-22,6.34287689922565e-17,7.115659345633537e-29,9.95645385149e-56,3.938130763705122e-70,1.5032620036610065e-52,1.6998457470443244e-51,1.0712951367511638e-13,5.007177860996865e-53,1.6882800192970253e-29,1.943878320932424e-61,6.494481465360861e-53,6.82113605981278e-39,3.0601834303784294e-43,2.2707606995933858e-43,5.830314662920788e-40,1.373844678041522e-61,7.023792122224619e-63,1.0644715665529976e-64,3.76,0.0,0.7914944038655354,0.9999999999999989,1.3781522575259248e-32,7.42714684680787e-27,1.1463757194184885e-15,1.0712951423094258e-13,5.012954519584061e-37,9.672093884599607e-36,1.5220225241285175e-27,4.484919983103665e-14,5.939179760745378e-27,7.607555349689699e-28,1.0403039463895187e-29,1.185819574273291e-28,7.25366004689874e-24,6.342876864426775e-17,2.656551768535794e-27
