Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46)
0.0,0.5297641357659086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5297641357659086,8.596714399919823e-23,3.185384935872752e-26,4.14897276846941e-28,8.871223699815423e-19,0.0,0.0,1.8837493717679127e-18,1.4880804675567595e-30,8.900602844396472e-33,1.0355917792062573e-32,1.6305555625871337e-41,7.435413399390359e-53,3.0139306485568894e-33,2.25861108978216e-24,3.941449405072451e-34,4.502359431624317e-33,2.3188367791829096e-60,2.596629674415151e-80,2.0034995604423773e-56,1.077854726131176e-55,1.749296097523231e-17,1.0304702925405818e-58,4.7249636326555765e-47,3.4327321582081935e-66,6.910868992220612e-74,2.239974678705317e-58,1.1379377477071104e-73,5.477361952414284e-69,8.37410004528327e-52,1.388540129074443e-78,2.397176467442706e-82,2.171241984956074e-82,3.76,0.0,0.5006124703835313,1.0,1.4654931914751655e-33,2.59693596679662e-44,1.883835338499998e-18,1.7492963233843673e-17,4.7001419240033977e-38,1.8437208040583562e-36,2.4686993757947182e-31,8.87122369981382e-19,4.149115549204874e-28
3.0000000000000002e-15,0.5297641357659086,2.122862157627545e-22,7.865972887177727e-26,2.082979167081659e-27,2.1906491177098234e-18,0.0,0.0,4.651707632319272e-18,7.470771326878646e-30,7.520100232315016e-32,8.749901162508747e-32,1.3776545560695691e-40,6.282164825529134e-52,1.5131160416279205e-32,1.1339147613006399e-23,3.2758832069870194e-33,3.804033816545602e-32,1.0699097892956385e-58,1.8316901642328544e-78,1.1351604436226557e-54,6.107004271087021e-54,4.319689787095386e-17,4.7545832907272663e-57,5.9173088068275835e-46,2.681533820351155e-64,5.333335892734182e-72,1.0247583807192943e-56,6.626825973837385e-72,4.2315561263832405e-67,1.0630004370041311e-50,1.4950145625442078e-76,2.3257232520507663e-80,2.337736276367093e-80,3.76,0.0,0.5006124703835313,1.0,1.238192068018512e-32,3.265479703691519e-43,4.651919916466152e-18,4.319690921010378e-17,3.971183647174189e-37,1.557755232539382e-35,2.0857967173887966e-30,2.190649117709001e-18,2.0830253570404442e-27
7e-15,0.5297641357659086,5.561548358262705e-22,2.0607734899409153e-25,1.282023112366121e-26,5.739138597638924e-18,0.0,0.0,1.21867051193431e-17,4.597864954743532e-29,1.1752419538976116e-30,1.3676035361611937e-30,2.153013214776748e-39,9.817772919420971e-51,9.312425851158867e-32,6.978641604047531e-23,5.044313055131013e-32,5.944947536789704e-31,8.030197989991284e-57,4.043625611496283e-76,7.764338805345191e-53,4.17710512503435e-52,1.1316869235902655e-16,3.568548376368027e-55,2.4779985431090824e-44,5.628739340442927e-62,1.0973864808527461e-69,7.520929302997599e-55,1.709873366815215e-69,8.70608665730779e-65,4.529269758007433e-49,9.40077063603539e-74,1.5599039670530964e-77,1.4699975360434518e-77,3.76,0.0,0.5006124703835312,1.0,1.9350478378661934e-31,1.3595246056412955e-41,1.2187261261424893e-17,1.1316876214547844e-16,6.206523043014515e-36,2.4344571422692574e-34,3.259668204599863e-29,5.7391385976334464e-18,1.2819920279461323e-26
1.5e-14,0.5297641357659088,1.2438923573775509e-21,4.609216856359909e-25,6.085457002872808e-26,1.283611755750868e-17,0.0,0.0,2.7256700093250854e-17,2.182315559023343e-28,1.1617626519474814e-29,1.352194749687995e-29,2.128341550204749e-38,9.705169083029346e-50,4.420016100895592e-31,3.3123157492677325e-22,4.961338922991481e-31,5.876762647153926e-30,3.5838491382453e-55,3.0142452206387213e-74,2.8682882431647986e-51,1.5430985034217946e-50,2.5311213678429864e-16,1.5926307984259564e-53,5.005875705100811e-43,3.68548557424252e-60,7.169224032565214e-68,3.33904130782239e-53,1.5650969404252158e-67,5.67610554305656e-63,9.197632650244435e-48,9.175114857672286e-72,1.854185445518808e-75,1.434721169931258e-75,3.76,0.0,0.5006124703835311,1.0,1.9128542580420467e-30,2.7448353775934204e-40,2.7257943924893552e-17,2.531124680162277e-16,6.135919985812321e-35,2.406528564692807e-33,3.2222541379061273e-28,1.2836117557479173e-17,6.084804955989625e-26
3.1e-14,0.5297641357659086,2.6193696103829172e-21,9.706651860470253e-25,2.631930414218548e-25,2.7030075477315566e-17,0.0,0.0,5.739669004050676e-17,9.43685968220488e-28,1.0192820643090176e-28,1.1868397447469654e-28,1.8673563677532484e-37,8.51491026801879e-49,1.911319005113326e-30,1.4323220634496268e-21,4.3425492008146954e-30,5.156026278182698e-29,1.3304159656267908e-53,2.3272229659927746e-72,1.1077666470927258e-49,5.959625968560679e-49,5.329984474325572e-16,5.9122521293246496e-52,8.829861501049944e-42,2.9288536264055637e-58,5.678441984800631e-66,1.2365392504130888e-51,1.3046688231150511e-65,4.497942013888786e-61,1.6265019703230913e-46,1.5130647077574676e-69,2.9714290591367565e-73,2.366034579936249e-73,3.76,0.0,0.5006124703835307,1.0,1.678258888322958e-29,4.840400114683455e-39,5.739930914603716e-17,5.329998797577262e-16,5.384410396058749e-34,2.1113758294013731e-32,2.82702324831946e-27,2.7030075477157973e-17,2.6312166548626495e-25
6.300000000000001e-14,0.5297641357659088,5.370341630095897e-21,1.990519026581875e-24,1.0931927855647043e-24,5.5417991317368136e-17,0.0,0.0,1.1767666993278013e-16,3.918389190915919e-27,8.519030725964041e-28,9.927479182306294e-28,1.5607768414574637e-36,7.116654369895679e-48,7.936189125246205e-30,5.9472851846068014e-21,3.625228534579373e-29,4.30934162641226e-28,4.5697046585159515e-52,1.6339661722960608e-70,3.8837623170180744e-48,2.0894071876200317e-47,1.0927687559295908e-15,2.0307377732513524e-50,1.478980039991062e-40,2.0782216999624357e-56,4.022869275581245e-64,4.2422364218316896e-50,1.0884432416608566e-63,3.187233935552481e-59,2.7279839099961272e-45,2.1804011577811075e-67,4.234897229415799e-71,3.409691500968474e-71,3.76,0.0,0.5006124703835301,0.9999999999999999,1.4026682381059268e-28,8.106521254992862e-38,1.17682039165162e-16,1.092774703240722e-15,4.5019090147416955e-33,1.7646413825158393e-31,2.3627100914273028e-26,5.541799131646496e-17,1.0925383237860934e-24
1.2700000000000001e-13,0.529764135765909,1.0872425124169937e-20,4.032874298511859e-24,4.4564324651020145e-24,1.1219382300058279e-16,0.0,0.0,2.3823662970837323e-16,1.5962973225548904e-26,6.96243393135541e-27,8.126640666143748e-27,1.2756963505715726e-35,5.816299599738182e-47,3.233074718783264e-29,2.422819169404115e-20,2.9611195332743576e-28,3.5219389771933074e-27,1.513858030035763e-50,1.0939564117619106e-68,1.299191245496008e-46,6.989449481660285e-46,2.2123001218029898e-15,6.7274626630143356e-49,2.4197390383992125e-39,1.398148514309942e-54,2.7043515104488713e-62,1.404572507145338e-48,9.748877640871684e-62,2.14280878128289e-57,4.466838497780931e-44,2.9546822849461604e-65,5.709576203628226e-69,4.620826342973253e-69,3.76,0.0,0.5006124703835287,0.9999999999999998,1.1463738601070118e-27,1.3262118737500554e-36,2.3824749751086186e-16,2.212324350206711e-15,3.6820771446229316e-32,1.4421737527483474e-30,1.9308647431632858e-25,1.1219382299487641e-16,4.4508493220562865e-24
2.55e-13,0.5297641357659091,2.1877705243360522e-20,8.137616779953364e-24,1.8011463989853662e-23,2.257454863902845e-16,0.0,0.0,4.793565492237452e-16,6.443285162782844e-26,5.629055210205474e-26,6.591497878000244e-26,1.0315562628014884e-34,4.702417394652094e-46,1.3049814663519441e-28,9.779273933543184e-20,2.3933472289448556e-27,2.847450926680183e-26,4.9280483038077625e-49,7.158459958929441e-67,4.249230939567129e-45,2.2860151690262435e-44,4.451325849685254e-15,2.1899891768151027e-47,3.914434861933869e-38,9.170537216299856e-53,1.7731321441318217e-60,4.571152400730911e-47,9.648370678564904e-60,1.4050125596993246e-55,7.231101296830954e-43,3.8893199441775067e-63,7.49719356442093e-67,6.083350934884605e-67,3.76,0.0,0.5006124703835262,0.9999999999999996,9.268330549922388e-27,2.1453580663796708e-35,4.793784074328611e-16,4.451423644138677e-15,2.981378030105437e-31,1.1659299543020897e-29,1.560872067924632e-24,2.257454863508894e-16,1.7965381852358734e-23
5.11e-13,0.5297641357659096,4.389716232411785e-20,1.6502757575744724e-23,7.256045913307395e-23,4.52848813349448e-16,0.0,0.0,9.615963881112346e-16,2.588954495728026e-25,4.526832949225037e-25,5.33489415628551e-25,8.298397151124517e-34,3.7816393209838414e-45,5.243381753550584e-28,3.929232819990001e-19,1.924431590561537e-26,2.2898930984150188e-25,1.5904142523398193e-47,4.631956494140616e-65,1.374517368816803e-43,7.394635664662567e-43,8.929229294936557e-15,7.067714562690331e-46,6.297300255249933e-37,5.940808913121934e-51,1.1484545775433918e-58,1.475154289795868e-45,1.0488465083300863e-57,9.100374059478753e-54,1.1643859316993398e-41,5.047613502848881e-61,9.718314078698789e-65,7.897251160883729e-65,3.76,0.0,0.500612470383521,0.9999999999999991,7.453531842080363e-26,3.451270571729418e-34,9.616402002056463e-16,8.929622232002561e-15,2.4047636514287328e-30,9.375454405928889e-29,1.2548978121251399e-23,4.528488130596753e-16,7.218608750501122e-23
1e-12,0.5297641357659106,8.602573972954875e-20,3.365315031415669e-23,2.825357045812131e-22,8.866516540851802e-16,0.0,0.0,1.88274982981394e-15,1.0029171240086521e-24,3.48796414693538e-24,4.16274368640085e-24,6.398153163617059e-33,2.9137855746575177e-44,2.031105482802752e-27,1.5220080010773776e-18,1.4826858496267454e-25,1.7643825423822954e-24,4.8880968569139794e-46,2.8486103076341717e-63,4.229317907971966e-42,2.2752673724802033e-41,1.7482159139145734e-14,2.1722609804366523e-44,9.677007195854432e-36,3.6556855965852336e-49,7.06650311965077e-57,4.534361484634469e-44,1.1672831191153685e-55,5.599474894419961e-52,1.7922360452835549e-40,6.214948841589766e-59,1.1959024205984503e-62,9.729007743880371e-63,3.76,0.0,0.5006124703835111,0.9999999999999981,5.743054129072988e-25,5.303518914944065e-33,1.8828354744351212e-15,1.7483681253351747e-14,1.8638693687646916e-29,7.222576466946839e-28,9.663880618822861e-23,8.866516519558775e-16,2.7963665995215944e-22
1.023e-12,0.5297641357659106,8.800724746027454e-20,3.445981500328445e-23,2.9241184087018485e-22,9.070554686801125e-16,0.0,0.0,1.9260760653132494e-15,1.0379120084913199e-24,3.6307278679912e-24,4.333444807521019e-24,6.660057477145906e-33,3.0330479423034486e-44,2.1019759287563246e-27,1.5751142353080578e-18,1.5433721111464256e-25,1.8365994019905537e-24,5.1105268669929976e-46,2.9804153936912956e-63,4.421777871029382e-42,2.378805988766854e-41,1.7884444182942893e-14,2.2711084818694216e-44,1.0102543749878107e-35,3.824835663397999e-49,7.393472702930152e-57,4.740695757190834e-44,1.2216926836199442e-55,5.8585645396919014e-52,1.871056784340024e-40,6.504893365620256e-59,1.2516943110891543e-62,1.0182894881594574e-62,3.76,0.0,0.5006124703835106,0.9999999999999981,5.978119817686268e-25,5.536735709890355e-33,1.9261636775174893e-15,1.7886019407730134e-14,1.940225276910503e-29,7.518191423196616e-28,1.0059395147563245e-22,9.070554664642878e-16,2.893940488402666e-22
2.047e-12,0.5297641357659124,1.7679723420467863e-19,8.011309912927672e-23,1.1831074853541981e-21,1.815468790536111e-15,0.0,0.0,3.855035417426256e-15,4.156310566178576e-24,2.9079907388214495e-23,3.558172996009061e-23,5.341285602045628e-32,2.429285043959423e-43,8.416576502602263e-27,6.30660835883472e-18,1.2361024227134104e-24,1.471003679293052e-23,1.6384511306213973e-44,2.211462371655607e-61,1.6437942699149546e-40,8.843022014579447e-40,3.579250626538083e-14,7.28136200565689e-43,1.6183854816393854e-34,3.2450188449662866e-47,6.2625979566297954e-55,1.5207600101663707e-42,2.540325199775666e-53,4.9702501610108e-50,3.00685468914369e-39,1.4632551094981375e-56,2.340976107272542e-60,2.294292265851632e-60,3.76,0.0,0.5006124703834899,0.9999999999999962,4.788180162305375e-24,8.869666010509084e-32,3.855210199615592e-15,3.5798813759184515e-14,1.572404295598779e-28,6.019444120669983e-27,8.048224750584753e-22,1.815468773221674e-15,1.1588760730169654e-21
4.095e-12,0.5297641357659163,3.5894491502995953e-19,2.490144187361901e-22,4.832273007423242e-21,3.632295523372348e-15,0.0,0.0,7.712954112501547e-15,1.6634569342863166e-23,2.327278677796424e-22,2.986996913057317e-22,4.2858399563786115e-31,1.9441672476145974e-42,3.3679033302311455e-26,2.5233189309692817e-17,9.892409766201226e-24,1.1772511695467573e-22,5.246279841199619e-43,1.4251596304628152e-59,5.285849458926959e-39,2.8434802063368875e-38,7.159916218655754e-14,2.3315483894978486e-41,2.5904495735082476e-33,2.086114849452768e-45,4.026286661067575e-53,4.87419244698238e-41,3.2114868708324226e-51,3.195182984855322e-48,4.84302116764717e-38,1.8804637198593203e-54,3.0130098271953798e-58,2.9564333819743417e-58,3.76,0.0,0.5006124703834484,0.9999999999999923,3.832118668662366e-23,1.4197359881433797e-30,7.713301516989014e-15,7.162440246209017e-14,1.2878259882813587e-27,4.8139248035143957e-26,6.427094728931282e-21,3.632295386529092e-15,4.638103739965329e-21
8.191e-12,0.5297641357659237,7.599354981543329e-19,1.2060058078099283e-21,2.011161422243521e-20,7.26594970003546e-15,0.0,0.0,1.5428791466262436e-14,6.655693275743604e-23,1.8614135196039344e-21,2.61063280569855e-21,3.445808332084313e-30,1.5549905561491376e-41,1.3470463046367995e-25,1.0090190271648143e-16,7.912117897759501e-23,9.415938299735963e-22,1.678207984791339e-41,9.117871854998554e-58,1.6907801063578383e-37,9.094670442294575e-37,1.43174621287991e-13,7.458757138408323e-40,4.1437851254328024e-32,1.334515806905121e-43,2.5761867984334242e-51,1.562256551104465e-39,4.0750260996542644e-49,2.044024294636346e-46,7.843269526199976e-37,2.405496043798643e-52,3.8555768337469133e-56,3.802335774917025e-56,3.76,0.0,0.5006124703833653,0.9999999999999847,3.065205615353811e-22,2.2711474258313026e-29,1.5429477270760618e-14,1.4327557986788916e-13,1.0769992404267475e-26,3.8447626426016024e-25,5.1183890394099706e-20,7.265948612314515e-15,1.855760727254143e-20
1e-11,0.529764135765939,1.0023989439474879e-18,2.720096153984336e-21,3.4808394864317015e-20,8.870755739871741e-15,0.0,0.0,1.8836494016155327e-14,1.10657513833937e-22,4.735685483299978e-21,7.414223806383932e-21,8.82974949878209e-30,3.9561059287959833e-41,2.238728510681094e-25,1.6765505333634668e-16,2.012942992506032e-22,2.3955409084138857e-21,1.3148590778288632e-40,1.357052121202622e-56,1.32418919116333e-36,7.12173490794148e-36,1.7475255111032717e-13,5.844532778105317e-39,1.785549330233282e-31,1.9863766417550858e-42,3.83606912587357e-50,1.2283618704201222e-38,1.1766588058035515e-47,3.0425565321307294e-45,3.4475015975206945e-36,6.971290076415895e-51,1.1180560111471134e-54,1.1134871099315485e-54,3.76,0.0,0.5006124703833287,0.9999999999999812,7.798946458190832e-22,9.786922326807737e-29,1.883732327534913e-14,1.7492035035789087e-13,2.905095667459176e-26,9.762153671403093e-25,1.294462536954575e-19,8.870752978145817e-15,3.08538497549448e-20
