Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40),CHF2(81),S(2051),CF2(42)
0.0,0.6093443942532863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5799926974795143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.041389328501491e-22,0.6093443942532861,3.988884540323348e-27,5.1960754185099444e-30,1.8954047043096003e-39,6.214510172935401e-23,0.0,0.0,2.160457101331235e-23,4.125380994362352e-41,8.44230890316021e-50,1.9484649006938428e-39,1.6412070328499545e-57,3.02540292701881e-67,4.555670352271599e-43,3.884439953751696e-35,3.574055939774005e-26,9.250973793827037e-44,1.108321952918437e-87,1.400690308443544e-87,9.823489340072513e-61,2.513663977308584e-81,5.656524734277415e-22,3.001703403827844e-61,8.955776891356557e-45,1.1815794974377754e-83,8.100678143439731e-66,3.3670972380878754e-61,6.581624567091098e-66,4.077621856248201e-67,1.2022771008792293e-60,1.23950966268554e-93,1.0755853223330778e-80,4.5182361798813513e-98,3.76,0.0,0.5799926974795143,0.9999999999999996,1.3888810126383816e-50,4.089519668206606e-42,2.1608559897852612e-23,5.656524734277805e-22,4.350345195874047e-55,1.4801678801310823e-53,3.0408637362192497e-41,6.214510172935396e-23,1.777087258733701e-39,7.1279372500220685e-40,6.431432323266186e-44,7.804988432878825e-43,5.89170460677708e-38,3.5740559397738305e-26,8.477275414027664e-41,6.492202193163235e-40,4.213074886573584e-16,7.459072148648704e-63,1.6621558552176316e-40,7.592955264833638e-62,1.2211206603647477e-76,7.182797377048179e-59,1.5751043128161715e-92,2.3919330831422573e-61,2.4664968330785706e-75,1.634559096550289e-57,7.363898222434302e-42,1.0889011217587883e-86,4.44394674597981e-45,2.431243942248453e-61,4.754115036808901e-43,1.0997605856193753e-44,3.877662833854358e-63,2.373420332663257e-79,9.675065289156334e-64
1.6915890119804174e-21,0.6093443942532861,1.116887671309637e-26,1.4549011172267263e-29,1.1448244414441449e-38,1.7400628484219123e-22,0.0,0.0,6.049279883727453e-23,2.49173012059486e-40,1.0022709129830588e-48,1.1768728000765735e-38,1.9484409894009109e-56,3.591758354956361e-66,2.7516248927718132e-42,2.346201732065714e-34,1.0007356631367212e-25,5.5875906620447066e-43,6.71161228875545e-86,3.1332881923775277e-86,1.1662446544534076e-59,6.258832761216621e-80,1.5838269255975504e-21,3.5636222810243424e-60,5.409289242379237e-44,3.715074993328835e-82,9.617125091891594e-65,5.08835734620023e-60,9.94615104578806e-65,6.16210214922622e-66,1.4273433741639837e-59,7.416353281055017e-92,2.406041357814913e-79,2.7486635582106454e-96,3.76,0.0,0.5799926974795143,0.9999999999999988,1.6488795382041298e-49,2.47006987959679e-41,6.050396771398727e-23,1.5838269255977851e-21,5.164729816570682e-54,1.7572553072883847e-52,1.8366818333884885e-40,1.7400628484219087e-22,1.0733607042751705e-38,4.305274099013274e-39,3.884585123265504e-43,4.7142130134469214e-42,3.5585895824933195e-37,1.0007356631366157e-25,5.1202743500710744e-40,3.9212901246705896e-39,1.179660968238368e-15,9.395932416975442e-62,1.0039421365514474e-39,9.03574061163759e-61,3.839398735489163e-75,8.527417046012819e-58,9.582128185730718e-91,3.613721830859318e-60,6.956237269143075e-74,1.940548559424535e-56,4.447794526349536e-41,3.4236793511438304e-85,2.6841439523642623e-44,3.666821948935981e-60,2.8714854822325705e-42,6.642553937141024e-44,5.857118184933896e-62,6.690333738790266e-78,1.3944899754016908e-62
3.866489170240954e-21,0.6093443942532861,2.55288610594064e-26,3.325488268153958e-29,5.511836880749518e-38,3.9772865106786574e-22,0.0,0.0,1.3826925448519882e-22,1.1996607931605702e-39,9.840355257519775e-48,5.666135932080084e-38,1.9129909174943864e-55,3.5264096517319696e-65,1.3247889384402326e-41,1.1295951385505281e-33,2.287395801455362e-25,2.690186915104668e-42,3.0377551191129657e-84,6.190849463925967e-85,1.1450259174788487e-58,1.3369038785267537e-78,3.6201758299366645e-21,3.4987854875015048e-59,2.6043399200063016e-43,8.28812794761539e-81,9.442150443993183e-64,5.473822638020739e-59,1.0699615426228643e-63,6.628908299476582e-65,1.4013741887853284e-58,3.31776136058497e-90,4.753932283808242e-78,1.2408781190413763e-94,3.76,0.0,0.5799926974795143,0.9999999999999972,1.6188797083308063e-48,1.1892323195144807e-40,1.382947833462565e-22,3.6201758299377945e-21,5.070762360400734e-53,1.7252836810707585e-51,8.842833795606507e-40,3.977286510678639e-22,5.167769748397831e-38,2.072804152306337e-38,1.8702605196248982e-42,2.26969063626333e-41,1.71330769965072e-36,2.287395801454855e-25,2.4651916903967962e-39,1.8879323977718625e-38,2.696367927391448e-15,9.461835685546544e-61,4.833549226972844e-39,8.880714108955029e-60,8.565487373818495e-74,8.372268622629149e-57,4.325830698310049e-89,3.887144003575059e-59,1.5131108216532203e-72,1.905242082939116e-55,2.141421603082722e-40,7.638040296863638e-84,1.2922998904196142e-43,3.9420957188763174e-59,1.382496652704021e-41,3.1981037829811416e-43,6.299854552526491e-61,1.455057302866365e-76,1.4768556485716793e-61
8.216289486762027e-21,0.6093443942532861,5.424882975508241e-26,7.066662570711496e-29,2.407163975110967e-37,8.451733835192146e-22,0.0,0.0,2.938221657810469e-22,5.23923386284017e-39,8.703682786794137e-47,2.474550424772318e-37,1.6920188025963963e-54,3.119069401636881e-64,5.785701347381332e-41,4.933238741259851e-33,4.860716078092643e-25,1.174877532204459e-41,1.1482610821714499e-82,1.1016285845262128e-83,1.0127624570041089e-57,2.587737127549621e-77,7.69287363861288e-21,3.0946361412098696e-58,1.1373836652020915e-42,1.5522746394087166e-79,8.351475138760279e-63,5.0313860609430026e-58,9.834789958112869e-63,6.09310878781047e-64,1.2394995999234918e-57,1.2470839914682741e-88,8.459368508368509e-77,4.685319671987678e-93,3.76,0.0,0.5799926974795143,0.9999999999999942,1.4318807687886278e-47,5.193689978622386e-40,2.938764146107946e-22,7.692873638617812e-21,4.485031883327195e-52,1.5259938776788768e-50,3.861899064035408e-39,8.451733835192067e-22,2.256900818592037e-37,9.052480307527199e-38,8.16791905074533e-42,9.91233530957184e-41,7.482464850606328e-36,4.860716078090427e-25,1.0766139775789841e-38,8.245096785317247e-38,5.729781845661845e-15,8.462951436966121e-60,2.1109379361263629e-38,7.858612453558943e-59,1.6042209890203645e-72,7.405176783719354e-56,1.633351362812926e-87,3.5728343220051454e-58,2.8050386539634417e-71,1.6851650461796945e-54,9.352150742479446e-40,1.430520416072937e-82,5.643814193177442e-43,3.62255752589792e-58,6.037726096747232e-41,1.3966959437366053e-42,5.790301597260951e-60,2.697256745024052e-75,1.3490492317609745e-60
1.6915890119804172e-20,0.6093443942532861,1.1168876715865826e-25,1.454901117863887e-28,1.0049435747989477e-36,1.7400628484219124e-21,0.0,0.0,6.049279883727411e-22,2.1872770032109037e-38,7.315969818521829e-46,1.0330760911498999e-36,1.4222437553723125e-53,2.6217657701032534e-63,2.4154164207711636e-40,2.0595300634748272e-32,1.0007356631367194e-24,4.904901048982924e-41,3.985836532436386e-81,1.8580576252303433e-82,8.512878686277275e-57,4.955722396868226e-76,1.5838269255957257e-20,2.6012281425018684e-57,4.7483529077955234e-42,2.681168420661254e-78,7.019918068253949e-62,4.304456704028682e-57,8.413869867074425e-62,5.212782850403904e-63,1.041874099190211e-56,4.317043423815165e-87,1.426796144557655e-75,1.6255550492394348e-91,3.76,0.0,0.5799926974795143,0.9999999999999881,1.203582063454331e-46,2.1682633280831385e-39,6.050396771398693e-22,1.5838269255977853e-20,3.769939541564012e-51,1.2826898021972986e-49,1.612267860076712e-38,1.7400628484218793e-21,9.422116645808209e-37,3.779232329960955e-37,3.4099454179732805e-41,4.138204866946513e-40,3.123781782512702e-35,1.000735663135794e-24,4.4946514244947053e-38,3.442165602815093e-37,1.179660968205959e-14,7.150916010960498e-59,8.812750344363624e-38,6.607112764071643e-58,2.7708928169113577e-71,6.224497281970152e-55,5.666854645601364e-86,3.056588928474778e-57,4.821140097121993e-70,1.4164827601253143e-53,3.9043388375237624e-39,2.4708682744991004e-81,2.3561822079232695e-42,3.0988279582741174e-57,2.520631792516015e-40,5.830930624953918e-42,4.953591349176828e-59,4.63576137731796e-74,1.1509216489041463e-59
3.431509138588846e-20,0.6093443942532861,2.2656864201470516e-25,2.951370840574279e-28,4.105522410582616e-36,3.529841778227309e-21,0.0,0.0,1.2271396335561217e-21,8.935740249028499e-38,5.998074069490331e-45,4.220452920289363e-36,1.166041359017622e-52,2.1494819787427262e-62,9.867764209806953e-40,8.413852317387726e-32,2.030063773791626e-24,2.003827343797912e-40,1.3277654099872782e-79,3.051865228864682e-81,6.979372273476682e-56,9.994225197217225e-75,3.2129060490613786e-20,2.13264399080703e-56,1.939857097773936e-41,4.4548014462235825e-77,5.7553529579394566e-61,3.5590080429432205e-56,6.95675031438701e-61,4.310029666792107e-62,8.541913338995054e-56,1.4361556898598027e-85,2.3435169525575545e-74,5.4137770106445125e-90,3.76,0.0,0.5799926974795143,0.999999999999976,9.867692929835961e-46,8.858063182122204e-39,1.2273662021980123e-21,3.212906049069793e-20,3.090824206629169e-50,1.0516265966613745e-48,6.586648634261995e-38,3.5298417782271725e-21,3.8492420859093454e-36,1.5439397201031487e-36,1.393073967099074e-40,1.6905917143748744e-39,1.2761667846459147e-34,2.030063773787847e-24,1.8362117637607764e-37,1.4062369638478838e-36,2.3930265354282893e-14,5.8775943367345136e-58,3.6002960686353803e-37,5.417497382256608e-57,4.603879857385244e-70,5.103218939849642e-54,1.8872991976355589e-84,2.527228828017819e-56,7.990685837971638e-69,1.161318147034772e-52,1.5950498105629273e-38,4.10538459648487e-80,9.625780322129194e-42,2.562035495072571e-56,1.0297603334329012e-39,2.382125418874985e-41,4.095672895599845e-58,7.683329576703742e-73,9.503459531091154e-59
6.911349391805704e-20,0.6093443942532861,4.563283919223799e-25,5.944310290494734e-28,1.6595178020464794e-35,7.1093996378381e-21,0.0,0.0,2.4715629239228527e-21,3.611969078851862e-37,4.857395892024638e-44,1.7059745524584034e-35,9.442905242205698e-52,1.7407062354632298e-61,3.9887080655681374e-39,3.401013632597287e-31,4.088719995101425e-24,8.099913574874747e-40,4.334550733918458e-78,4.9472050498747954e-80,5.6520766195071055e-55,2.2144716204117482e-73,6.471064295979797e-20,1.7270703962836308e-55,7.841212545661445e-41,7.262450740178411e-76,4.660834042940542e-60,2.894126234046167e-55,5.657113820874074e-60,3.504844547080335e-61,6.917462886003731e-55,4.685248655010283e-84,3.7989419696764504e-73,1.7671469845435542e-88,3.76,0.0,0.5799926974795143,0.9999999999999517,7.991113571769996e-45,3.58057076645893e-38,2.472019252314273e-21,6.471064296013812e-20,2.503029578045889e-49,8.516344831826376e-48,2.6624354447796817e-37,7.109399637837549e-21,1.5559251952112544e-35,6.240851203377127e-36,5.6310277090076056e-40,6.833642011275201e-39,5.1584701850509394e-34,4.088719995086148e-24,7.422261534042571e-37,5.6842346458193115e-36,4.8197576696440726e-14,4.7657487396748346e-57,1.4552972347239077e-36,4.387464063432971e-56,7.505486126424696e-69,4.1327190070599695e-53,6.160458916442339e-83,2.055093389108516e-55,1.3010761727473328e-67,9.404655446755274e-52,6.447446360779966e-38,6.692813049070318e-79,3.890900129675285e-41,2.08335116232067e-55,4.162455912247516e-39,9.62893181217867e-41,3.330512521507402e-57,1.2510227314770503e-71,7.723078070905042e-58
1.3871029898239423e-19,0.6093443942532861,9.158478925200531e-25,1.1930189208334334e-27,6.672848110135247e-35,1.4268515357059683e-20,0.0,0.0,4.9604095046561924e-21,1.4523568805891572e-36,3.9096547977604575e-43,6.859648666795023e-35,7.600471653508239e-51,1.4010718163105728e-60,1.60384197018033e-38,1.3675326234536828e-30,8.20603243772097e-24,3.257038593895385e-39,1.4009323298186804e-76,7.96732121926169e-79,4.5492829829318154e-54,5.475316848555433e-72,1.2987380789765084e-19,1.3900965066557556e-54,3.1529170776999043e-40,1.1728877502659375e-74,3.7514447211547115e-59,2.3342176547369421e-54,4.562667239557177e-59,2.8267841008793914e-60,5.567775936368918e-54,1.513771535421896e-82,6.118078927770796e-72,5.711113695788429e-87,3.76,0.0,0.5799926974795143,0.9999999999999032,6.431943413685647e-44,1.4397317572707865e-37,4.961325352546696e-21,1.2987380789901854e-19,2.0146559638495935e-48,6.854695225032419e-47,1.070559015179914e-36,1.4268515357057465e-20,6.256306777874352e-35,2.5094188206150564e-35,2.264211476138128e-39,2.7477773968118974e-38,2.0741981736314434e-33,8.206032437659538e-24,2.984458718481518e-36,2.2856057509115866e-35,9.673219937160131e-14,3.8382541350319303e-56,5.851686174526427e-36,3.5315063407851665e-55,1.2121380141079318e-67,3.3263717948008074e-52,1.9909538703025194e-81,1.657504435800674e-54,2.0999423563680828e-66,7.569684890089762e-51,2.592489824739289e-37,1.0808910987927103e-77,1.5645185101670567e-40,1.6802768837521578e-54,1.6737052151683613e-38,3.87175113209639e-40,2.6861707870139916e-56,2.019149114440155e-70,6.226962262434445e-57
2.7790390911106855e-19,0.6093443942532861,1.8348868968446945e-24,2.390194711600828e-27,2.6761105557053216e-34,2.858674679550285e-20,0.0,0.0,9.938102666122384e-21,5.824600673653546e-36,3.137251753691097e-42,2.7510259389950105e-34,6.098899841583585e-50,1.1242718961520195e-59,6.432123636202784e-38,5.4844174638656184e-30,1.6440657322959837e-23,1.3062975338533417e-38,4.505317047223049e-75,1.2789315053275094e-77,3.6505130899674973e-53,1.4913438119509687e-70,2.602001377712946e-19,1.115464901367923e-53,1.2644607658166535e-39,1.8853828539365618e-73,3.0102981309881745e-58,1.8749705605757608e-53,3.6649824553010224e-58,2.270626720066331e-59,4.467789542724737e-53,4.867387848741803e-81,9.820871629530216e-71,1.836608575729825e-85,3.76,0.0,0.5799926974795143,0.9999999999998062,5.161229519765671e-43,5.773968282422721e-37,9.939937553011143e-21,2.6020013777677964e-19,1.616634533650625e-47,5.5004612230546435e-46,4.29346404490623e-36,2.8586746795493967e-20,2.509058838092232e-34,1.0063891835648726e-34,9.080500716704666e-39,1.101981633090479e-37,8.318462384057927e-33,1.6440657322713468e-23,1.1969014292377474e-35,9.166301323311578e-35,1.9380144468530223e-13,3.0809025892977645e-55,2.3467878790454736e-35,2.833848832922632e-54,1.9484764554200318e-66,2.6692038769325608e-51,6.4026092726060614e-80,1.3313965715357212e-53,3.3745511531641817e-65,6.074195402208268e-50,1.039704371636949e-36,1.7375008843315546e-76,6.274456518263001e-40,1.3496812724712116e-53,6.712306495777373e-38,1.5527453722724463e-39,2.157675178293506e-55,3.244713139862364e-69,5.00104490220067e-56
