Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39)
0.0,0.5617327946829795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5617327946829795,6.674906906344524e-22,4.77563324263415e-25,3.3591171827515937e-31,7.569563518619963e-18,0.0,0.0,7.301355001622244e-18,1.0512776725379329e-29,5.295564765583748e-32,6.161433208339388e-32,3.022578734983958e-40,8.203288615363541e-51,5.297346702068275e-32,1.3916921792215214e-23,3.698255864536749e-33,2.6787554547177135e-32,1.409577342824454e-58,2.2962088251956183e-77,9.295126121863416e-55,5.1145087385970725e-54,1.1360305695669032e-16,2.9194203187574745e-57,8.1472026519757e-46,1.018876741539784e-64,1.0778308745640837e-71,1.2722573747776778e-56,1.0514757108137682e-71,2.7941667733267746e-67,2.854919172812001e-50,7.522054317243326e-77,3.2521653148442318e-80,3.101747421952502e-80,3.76,0.0,0.5015556553335351,1.0,8.705957318889897e-33,3.815870860033579e-43,7.302022492334766e-18,1.1360307087361378e-16,2.7443907549288335e-37,1.0155279708040833e-35,1.468878134966375e-30,7.569563518618834e-18
2.8e-15,0.5617327946829795,1.868973968247537e-21,1.3371784893695645e-24,2.2869708888914394e-30,2.1194777852139723e-17,0.0,0.0,2.0443794004483702e-17,6.349717142009547e-29,6.286893155076048e-31,7.315162277609393e-31,3.588411053412714e-39,9.738942164646341e-50,3.1995969409644886e-31,8.405818813920627e-23,4.237716605794934e-32,3.1802178007233292e-31,8.575144763722478e-57,1.9973293163474564e-75,4.440392038732711e-53,2.4432614304945267e-52,3.180885143879107e-16,1.7760254672519025e-55,1.7618849353741826e-44,7.862107381342849e-63,8.123957285527162e-70,7.474743762794805e-55,1.2521436621516024e-69,2.097899509315303e-65,6.386361015112147e-49,7.858641142015357e-75,4.1713123618773853e-78,3.240543884689563e-78,3.76,0.0,0.5015556553335349,1.0,1.0335710624013061e-31,8.226622925654673e-42,2.0445662978574988e-17,3.1808859844611837e-16,3.258186252364297e-36,1.20563394317373e-34,1.7438486483815083e-29,2.1194777852132728e-17
6.4e-15,0.5617327946829797,4.271940734836191e-21,3.0564147951087184e-24,1.3639272718903253e-29,4.844520651919599e-17,0.0,0.0,4.672867200997232e-17,3.0571154715609515e-28,6.172506153428388e-30,7.182723738889054e-30,3.5231350691322363e-38,9.56174676208616e-49,1.5404677203344951e-30,4.0470379343111596e-22,4.081406512360987e-31,3.1223552651553018e-30,3.871227635128963e-55,2.0761101354763348e-73,2.3121010383496967e-51,1.27220002975309e-50,7.27059248887144e-16,8.017823013935528e-54,3.413048713952673e-43,8.568502542552808e-61,8.626636249691132e-68,3.3097230170161504e-53,1.1298662415688159e-67,2.232552186364615e-63,1.2618464020115407e-47,1.7396586458445893e-72,8.920454405969619e-76,7.173579371765215e-76,3.76,0.0,0.5015556553335344,1.0,1.0147657945483597e-30,1.5885417861989544e-40,4.6732943951206176e-17,7.2705965359112705e-16,3.1990030628692194e-35,1.1836967251013237e-33,1.7121135864606852e-28,4.84452065191605e-17
1.36e-14,0.5617327946829797,9.077875701295991e-21,6.494921307069611e-24,8.266067245837736e-29,1.02946063853387e-16,0.0,0.0,9.929842802001232e-17,1.3351226439378375e-27,5.45950676232641e-29,6.354201265187614e-29,3.1161940934175436e-37,8.457248888934258e-48,6.727623071818346e-30,1.767446047319574e-21,3.575827794414631e-30,2.761685328585036e-29,1.4616999203876139e-53,1.6618734849449203e-71,9.226973130774874e-50,5.077007273419025e-49,1.5449999964334254e-15,3.027373704596128e-52,6.013101501602341e-42,7.009556043247004e-59,6.971786878243905e-66,1.2376549119719135e-51,8.785679713591247e-66,1.8057258136807082e-61,2.2454207297535014e-46,2.900852896914847e-70,1.4535435741480575e-73,1.1961908120424645e-73,3.76,0.0,0.5015556553335335,1.0,8.97548135612035e-30,2.7933388852132842e-39,9.930750589707282e-17,1.5450017638811431e-15,2.8296536094952237e-34,1.0469630936910141e-32,1.514331990117811e-27,1.0294606385321594e-16
2.8e-14,0.5617327946829799,1.868975607011655e-20,1.3372149919673448e-23,5.380987164704477e-28,2.1194777852217456e-16,0.0,0.0,2.0443794003634334e-16,5.573874218128074e-27,4.589035933600171e-28,5.34304624206743e-28,2.619384266656645e-36,7.108814091544893e-47,2.808646705615521e-29,7.378724751644456e-21,2.9916107420900874e-29,2.321358643176623e-28,5.0713023482465615e-52,1.1831740844859491e-69,3.2793999806614506e-48,1.8044414442702054e-47,3.1808786057224045e-15,1.0503340020878959e-50,1.0091590749176318e-40,5.0448124547122025e-57,4.988265230225654e-64,4.2733732718473667e-50,6.520861026184763e-64,1.2924292300195379e-59,3.7873398614144105e-45,4.220166667238521e-68,2.0891082280925148e-71,1.7402440031655753e-71,3.76,0.0,0.5015556553335316,0.9999999999999999,7.544420817647301e-29,4.683167608860527e-38,2.0445662979123332e-16,3.180885984461168e-15,2.3787830807161544e-33,8.800300892097777e-32,1.2728652658711278e-26,2.119477785213264e-16
5.68e-14,0.5617327946829802,3.791359617529928e-20,2.712810938963015e-23,3.775573275941303e-27,4.299512078621065e-16,0.0,0.0,4.1471696405400965e-16,2.2771094884117817e-26,3.762355042477922e-27,4.3837616128529196e-27,2.1475874757423627e-35,5.828213663103094e-46,1.1474209683372287e-28,3.014437913353726e-20,2.4469783786144686e-28,1.9031830482423476e-27,1.6889462908748042e-50,7.976840279695622e-68,1.1045849644400909e-46,6.077812232097783e-46,6.452624281127297e-15,3.4980336320204e-49,1.6534242005969743e-39,3.419516538481559e-55,3.371454179062025e-62,1.4198039231776752e-48,4.931778173449582e-62,8.736629110664827e-58,6.221077163235603e-44,5.752474673808985e-66,2.830270053521721e-69,2.3721756027603236e-69,3.76,0.0,0.501555655333528,0.9999999999999997,6.1853521983368445e-28,7.668935423955877e-37,4.147548775893454e-16,6.452654425621193e-15,1.9507435602161623e-32,7.214928574341667e-31,1.0435357436415943e-25,4.2995120785754573e-16
1.144e-13,0.561732794682981,7.63618948756442e-20,5.465115636481973e-23,2.801294441460926e-26,8.659580665572714e-16,0.0,0.0,8.35275012029359e-16,9.204440624735243e-26,3.046830188019392e-26,3.5552816682517716e-26,1.7392659546042818e-34,4.719803504495009e-45,4.638035931031678e-28,1.2184743729335783e-19,1.9793093043859635e-27,1.541235608895554e-26,5.512942414730357e-49,5.238194687166162e-66,3.6253107544332616e-45,1.9947702692697376e-44,1.2996069459574939e-14,1.1418052578165665e-47,2.6769230136659247e-38,2.251534778221323e-53,2.216722614231384e-60,4.628965773358151e-47,3.995097029613535e-60,5.744747739196038e-56,1.0085801537798918e-42,7.596197288342863e-64,3.7259779310035164e-67,3.1326473590627064e-67,3.76,0.0,0.5015556553335205,0.9999999999999992,5.009026502332415e-27,1.2412824417625254e-35,8.353513732253906e-16,1.2996191307941137e-14,1.5805295581345133e-31,5.842690793264196e-30,8.450238277017341e-25,8.659580665299781e-16
2.296e-13,0.5617327946829827,1.5326337484760237e-19,1.0978271388440753e-22,2.1518381090385434e-25,1.737971784055798e-15,0.0,0.0,1.676391107740126e-15,3.701065087853866e-25,2.4523178306749613e-25,2.8699657220714767e-25,1.4000637673151264e-33,3.798852089814376e-44,1.8649152885114956e-27,4.899354433280968e-19,1.5921725586630787e-26,1.2405022045239227e-25,1.7816492180167902e-47,3.3955287981636126e-64,1.1747725948433032e-43,6.463986574466587e-43,2.6082775129662615e-14,3.690045027013618e-46,4.308357815748384e-37,1.4614535195714795e-51,1.4378397933886947e-58,1.495133883199739e-45,3.587074993550943e-58,3.7263633295782546e-54,1.6246632391866575e-41,9.874872336648187e-62,4.836310682666782e-65,4.072799853205788e-65,3.76,0.0,0.5015556553335058,0.9999999999999983,4.0316486732152823e-26,1.997508107736283e-34,1.6765443646620187e-15,2.6083265072580602e-14,1.2733820532308083e-30,4.702471762378469e-29,6.800545801864963e-24,1.7379717838748173e-15
4.600000000000001e-13,0.5617327946829854,3.0710514120865317e-19,2.20715278272553e-22,1.68545290878313e-24,3.4819992198615635e-15,0.0,0.0,3.358623298201944e-15,1.4842926306000755e-24,1.9677725664180635e-24,2.316387295645011e-24,1.1237056694246674e-32,3.0482490718968004e-43,7.478995541820697e-27,1.9647981530088586e-18,1.2772101841011617e-25,9.95395529982268e-25,5.729269217762715e-46,2.1869299114855425e-62,3.7827558510784776e-42,2.0813874617885059e-41,5.22554477437347e-14,1.186616703350605e-44,6.91350364197811e-36,9.418975631700497e-50,9.263576289398468e-57,4.806867996676463e-44,3.6002514021299287e-56,2.4008145727801963e-52,2.609151352262168e-40,1.273726371248308e-59,6.233537195864048e-63,5.254486938680188e-63,3.76,0.0,0.5015556553334761,0.9999999999999967,3.2350612965844045e-25,3.205139214304016e-33,3.3589303482354667e-15,5.225741260185785e-14,1.0237895971893106e-29,3.7730617946347865e-28,5.45549989256501e-23,3.4819992185643934e-15
