Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186)
0.0,0.8834016196682932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.477010503809486e-19,0.8834016196682934,3.08193621093335e-21,5.951539049674925e-23,1.3479368236060554e-32,7.418112117173065e-17,0.0,0.0,2.2245385234759155e-18,2.2838222996589162e-32,1.1035464539507964e-39,1.2839195533947848e-39,2.663337458224714e-45,5.9889541181213e-52,2.5526505019290355e-33,2.738930795186258e-27,1.9846882230054506e-35,5.5822413878334815e-40,8.419042299112308e-69,1.0091957968853708e-85,1.2630553072386704e-65,7.79306372005971e-65,2.307427264799752e-16,1.9216040427869165e-69,1.2224669114461016e-50,1.2397345808762677e-80,3.0032513887702596e-79,1.2270951991143923e-62,-2.555007640333205e-79,2.1072093158882854e-77,1.147917601222914e-57,9.094490033379764e-91,9.2329225792019e-92,2.1324015355582985e-92,3.76,0.0,0.9824554467669732,1.0,1.8147726258817877e-40,1.308995975637505e-47,2.22762045968689e-18,2.3074272648271415e-16,6.609247955158274e-45,1.2709950014109998e-43,3.1056207887445383e-38,7.418112117173064e-17,1.306222894419764e-32,3.3641441315012266e-33,4.4054388134606474e-37
4.135629410666561e-19,0.8834016196682932,8.629421390752067e-21,1.666430933951251e-22,8.141538952342866e-32,2.0770713928084575e-16,0.0,0.0,6.228707865732335e-18,1.3794286689936428e-31,1.310130350123322e-38,1.5242693031075527e-38,3.1619142306173067e-44,7.110086328870285e-51,1.5418009031396603e-32,1.6543142002519862e-26,1.1988508157544818e-34,6.627236975487317e-39,5.1217142822853295e-67,8.778673718070257e-84,6.0337667691449804e-64,3.722840055713535e-63,6.460796341350561e-16,1.1690055135805942e-67,1.4514226400700086e-49,9.566347429361283e-79,1.4750094215775042e-77,3.858492898375038e-61,5.682556440180149e-78,1.0066922692737854e-75,2.5678457573711787e-56,7.017945213385869e-89,8.23256759591049e-90,1.645510313652993e-90,3.76,0.0,0.9824554467669726,1.0,2.1544980614436934e-39,1.76201355418424e-46,6.2373372871233364e-18,6.460796341515992e-16,7.846499173557446e-44,1.508925265511918e-42,3.6869929993796846e-37,2.077071392808457e-16,7.889586282295214e-32,2.0319430553924215e-32,2.6608850433302308e-36
9.45286722438071e-19,0.8834016196682936,1.9724391750944264e-20,3.808984992087855e-22,3.91980108968984e-31,4.747591754990758e-16,0.0,0.0,1.423704655024425e-17,6.641355247402989e-31,1.2862937466656563e-37,1.4965366603204783e-37,3.104386141966792e-43,6.980724919575575e-50,7.423107659227478e-32,7.964810751793927e-26,5.7729602822373126e-34,6.506660561198057e-38,2.3121866499557157e-65,9.124818930356712e-82,3.141769847132552e-62,1.9384750985774935e-61,1.4767534494097202e-15,5.277449684496596e-66,1.4252481904251953e-48,1.042587338497957e-76,7.511030919873837e-76,8.609545339426321e-60,2.8627139477255854e-76,5.242618359767912e-74,5.073630498143958e-55,7.649484248797556e-87,8.383141296244475e-88,1.7935884145716902e-88,3.76,0.0,0.9824554467669715,1.0,2.1152989727078152e-38,1.8211889105029744e-45,1.4256770941996395e-17,1.4767534494893683e-15,7.70373942023246e-43,1.4814717731386737e-41,3.619911588205353e-36,4.747591754990756e-16,3.7984961769724255e-31,9.782931133890765e-32,1.281101606954355e-35
2.0087342851809012e-18,0.8834016196682939,4.191433247354771e-20,8.094093109037412e-22,1.7118805995112357e-30,1.008863247935535e-15,0.0,0.0,3.0253723919264405e-17,2.9004543205615116e-30,1.1377122520057529e-36,1.3236697634232724e-36,2.7457943873174874e-42,6.174372136554198e-49,3.2418661370549794e-31,3.478442109258578e-25,2.522090534408676e-33,5.755067580233443e-37,8.73037684249947e-64,7.30415271955975e-80,1.253797871341055e-60,7.735945248852515e-60,3.1381010798170565e-15,1.992664585164869e-64,1.2610300776828003e-47,8.529011771977241e-75,2.9741943938397234e-74,1.613021779956146e-58,1.1072464362570682e-74,2.0928272544431769e-72,9.028254390543915e-54,6.25939987888096e-85,6.661299819283777e-86,1.4676528176225665e-86,3.76,0.0,0.9824554467669693,1.0,1.8709579863276874e-37,1.6472293992545408e-44,3.0295638251743203e-17,3.138101080164901e-15,6.813870279619921e-42,1.3103450055921105e-40,3.201770801737977e-35,1.008863247935534e-15,1.6589030759128434e-30,4.272463046474595e-31,5.594907293095008e-35
4.135629410666561e-18,0.8834016196682944,8.629421392763089e-20,1.6664309345641945e-21,7.146768540543214e-30,2.07707139280845e-15,0.0,0.0,6.228707865729e-17,1.2108825832743758e-29,9.563156999318361e-36,1.1126242523052639e-35,2.308005630413052e-41,5.189931813567179e-48,1.3534152957673685e-30,1.4521811070425802e-24,1.0536645366797359e-32,4.837481069079215e-36,3.0289732926712444e-62,5.200207151145083e-78,4.456194007830946e-59,2.7494761037100207e-58,6.460796340063765e-15,6.913479131025544e-63,1.060668550127383e-46,6.138391714084355e-73,1.0540816822507533e-72,2.78799261477223e-57,3.8837101783653965e-73,7.442758736299046e-71,1.5227470634256987e-52,4.507311989015312e-83,4.730085374105689e-84,1.056837600394206e-84,3.76,0.0,0.9824554467669648,1.0,1.5726529211258655e-36,1.3993216395422665e-43,6.237337287123953e-17,6.460796341515948e-15,5.727468544069775e-41,1.1014239303749372e-39,2.691281273571772e-34,2.077071392808446e-15,6.925593786211274e-30,1.7836692180431843e-30,2.3357636588968218e-34
8.389419661637881e-18,0.883401619668296,1.7505397687130318e-19,3.3804741829672788e-21,2.91969142891403e-29,4.2134876825542655e-15,0.0,0.0,1.2635378813328228e-16,4.9468504539127144e-29,7.8404538866026e-35,9.121966808217898e-35,1.892242461852818e-40,4.2550196615356497e-47,5.529143090189258e-30,5.9326336548201e-24,4.310622125934222e-32,3.9660592471822136e-35,1.0087745706358226e-60,3.505945651201304e-76,1.5009688685453368e-57,9.260992741490298e-57,1.3106186858285314e-14,2.30247719947184e-61,8.707428300877957e-46,4.1608017776686714e-71,3.5491165907772595e-71,4.638601439057113e-56,1.3007762423503606e-71,2.5099731985353756e-69,2.5011166265656577e-51,3.058425730474566e-81,3.1881089695842703e-82,7.171146184289113e-83,3.76,0.0,0.982455446766956,0.9999999999999999,1.289355880330643e-35,1.1535808235557249e-42,1.265288421102431e-16,1.3106186864217955e-14,4.6957247639098206e-40,9.030138816556018e-39,2.2064749778592143e-33,4.2134876825542505e-15,2.829331038227022e-29,7.286870750543358e-30,9.542356687508181e-34
1.689700016358052e-17,0.8834016196682987,3.525735029006779e-19,6.808560684102273e-21,1.1801886146641284e-28,8.486320262045843e-15,0.0,0.0,2.544872070850314e-16,1.999596046788462e-28,6.3494028299204595e-34,7.387206793023257e-34,1.5323870088922723e-39,3.4458252379933066e-46,2.234968039187728e-29,2.3980653759275723e-23,1.7473206153656224e-31,3.2118176028960664e-34,3.2928082095974953e-59,2.3022979744868623e-74,4.926330110997855e-56,3.0395505428719053e-55,2.6396967885640967e-14,7.51566906053567e-60,7.070008910548028e-45,2.7396587228405557e-69,1.1668183245726715e-69,7.582665464152565e-55,4.261175493959591e-70,8.257985102606103e-68,4.0544178397652067e-50,2.0180493439333796e-79,2.097166356430536e-80,4.73175685530432e-81,3.76,0.0,0.9824554467669383,0.9999999999999998,1.0441538205450982e-34,9.374870644674814e-42,2.5483978058829377e-16,2.6396967909621642e-14,3.8027196787959575e-39,7.312840508324077e-38,1.7868606266598716e-32,8.48632026204578e-15,1.143660842761819e-28,2.945469662713255e-29,3.857173142247743e-33
3.3912161167465796e-17,0.8834016196683039,7.076125555275987e-19,1.366473370368841e-20,4.745507882528354e-28,1.7031985421028773e-14,0.0,0.0,5.107540449875875e-16,8.04028775857108e-28,5.1105517751192765e-33,5.9458692248668754e-33,1.2333983851844424e-38,2.7734999271261385e-45,8.986708177984344e-29,9.642515389758358e-23,7.065290847003491e-31,2.585150224599523e-33,1.0641787120811459e-57,1.4924474797638288e-72,1.5964065644214397e-54,9.849844262389752e-54,5.297852990400247e-14,2.4289343691446813e-58,5.720351652034197e-44,1.778335885860798e-67,3.798257920244068e-68,1.2312480804045437e-53,1.3817830363397973e-68,2.689012553346062e-66,6.529514964909028e-49,1.3154434524107599e-77,1.3655925807097578e-78,3.0843441205185463e-79,3.76,0.0,0.9824554467669029,0.9999999999999996,8.404258338539977e-34,7.571068414873396e-41,5.114616575445696e-16,5.2978530000427706e-14,3.060759658980135e-38,5.886010199604855e-37,1.4382208581094434e-31,1.7031985421028523e-14,4.598609948707445e-28,1.184360395366979e-28,1.5509523560339936e-32
6.794248317523636e-17,0.8834016196683147,1.4176906630545325e-18,2.737707981213212e-20,1.9031780492456508e-27,3.412331573899375e-14,0.0,0.0,1.0232877207889314e-15,3.2245150017370388e-27,4.1008959354441815e-32,4.771189648106122e-32,9.897245366554016e-38,2.225559015482569e-44,3.60407191159841e-28,3.8670799304213967e-22,2.8650932104694173e-30,2.0744202417029328e-32,3.4222392407877105e-56,9.612807562101277e-71,5.140683476544901e-53,3.1718067777654028e-52,1.0614165379532625e-13,7.811088906266017e-57,4.63803666787956e-43,1.1461841915658333e-65,1.2348140172114264e-66,2.000560520539629e-52,4.465193060197716e-67,8.74253712152007e-65,1.0481317667426221e-47,8.549410532239008e-76,8.879208469727178e-77,2.0045958287070577e-77,3.76,0.0,0.9824554467668322,0.999999999999999,6.743888030962097e-33,6.105037457243505e-40,1.0247054114578188e-15,1.061416541820346e-13,2.456066918338985e-37,4.72315242620863e-36,1.1540816183722567e-30,3.4123315738992754e-14,1.8442482672833365e-27,4.749814892616293e-28,6.220012628091553e-32
