Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40),CHF2(81),S(2051),CF2(42),CF2O(48)
0.0,0.6897328710833016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8685140293285146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4991567304683137e-22,0.6897328710833016,2.8070024880860784e-26,5.370747394369376e-29,3.7212863477212584e-39,5.050992823078161e-22,0.0,0.0,7.728562217370781e-23,2.380329452240218e-40,1.4051185725955864e-49,1.0423252463247389e-38,9.422993871365156e-57,1.2132030483897406e-65,4.4785572647413394e-42,1.2320054914638533e-34,3.6820848803123886e-25,7.651217913418138e-43,1.013648650631004e-86,3.107818505030842e-85,3.4538046246275093e-59,1.9233867809688333e-79,3.483283788464538e-21,3.904828495414685e-60,9.641314816111779e-44,6.421410424769289e-82,8.142241128912938e-64,1.0794173142579734e-59,2.6338488206197237e-64,2.914316365067639e-65,1.0400346140807923e-59,3.3397839220064016e-92,5.942008112710299e-79,9.37383805838414e-97,3.76,0.0,0.8685140293285146,0.9999999999999996,2.3118703413809934e-50,5.755349201913064e-41,7.73136921985884e-23,3.4832837884646616e-21,7.323378773167878e-55,2.233670503342833e-53,1.1123846568697137e-40,5.050992823078157e-22,3.0200934529943146e-39,9.465008945407598e-40,3.2008995604427405e-43,3.920609500336107e-42,3.0442756610213347e-37,3.6820848803122453e-25,2.67609707064999e-40,6.176414159893358e-39,4.2426406868231857e-16,3.0600605692645503e-61,8.891948027371345e-40,2.867946083557428e-60,1.9108821334478393e-75,1.6902889842354484e-58,4.857385797537087e-91,2.9429159018221147e-60,1.56042422019787e-74,3.5307574291928697e-57,3.795467933164465e-41,5.714541589056079e-85,2.2784769245871574e-44,3.0351817469583785e-60,5.024269194009317e-42,1.0391846168048175e-43,1.3921780911836275e-61,3.175553851578033e-78,1.9914053263272236e-62,1.0072209863360466e-58
9.797638845311278e-22,0.6897328710833016,7.859606966739716e-26,1.5038092704387066e-28,2.2476569540921504e-38,1.414277990461885e-21,0.0,0.0,2.163997420863818e-22,1.4377189891530914e-39,1.6681567693853828e-48,6.29564448789755e-38,1.1186978324088346e-55,1.4403146590482446e-64,2.705048587903647e-41,7.44131316844116e-34,1.0309837664874686e-24,4.621336034229328e-42,6.145494391786683e-85,6.952065683018488e-84,4.100356850357779e-58,4.864030380900917e-78,9.753194607700309e-21,4.635812389756233e-59,5.823354148931402e-43,2.0189941803045597e-80,9.666468668245412e-63,1.6312154453069576e-58,3.9802723377205267e-63,4.404114890900215e-64,1.2347290938368902e-58,1.3651741152709211e-90,1.3292034540260121e-77,5.702563136529288e-95,3.76,0.0,0.8685140293285146,0.9999999999999988,2.7446524692874615e-49,3.4762309179554903e-40,2.1647833815604756e-22,9.753194607701053e-21,8.694315279522502e-54,2.651813621565986e-52,6.71880355551362e-40,1.4142779904618831e-21,1.8241364456086032e-38,5.716865403026122e-39,1.9333433345099734e-42,2.3680481381997483e-41,1.8387424992568707e-36,1.030983766487382e-24,1.6163626306722136e-39,3.730554152575587e-38,1.1879393923092081e-15,3.8195666270391637e-60,5.370736608532284e-39,3.4126430008142993e-59,6.008119168698444e-74,2.0067110820818018e-57,2.954984821039687e-89,4.445201021756882e-59,4.4025791439501255e-73,4.191715219937773e-56,2.2924626316310427e-40,1.796743308290096e-83,1.3762001249785196e-43,4.572785590282186e-59,3.034658593181625e-41,6.2766750855011036e-43,2.1032856583744663e-60,8.953213745457271e-77,2.8287237464949465e-61,1.1957727549781527e-57
2.2394603074997206e-21,0.6897328710833016,1.7964815924441767e-25,3.4372783325033693e-28,1.0821500700201069e-37,3.2326354067700234e-21,0.0,0.0,4.9462798191172935e-22,6.921998047114546e-39,1.6378062082170972e-47,3.0310818164565287e-37,1.0983441656474486e-54,1.414109473202906e-63,1.3023644525865987e-40,3.582671969176111e-33,2.3565343233999272e-24,2.224974791009154e-41,2.7796941665328434e-83,1.3736110266399687e-82,4.0257546704658183e-57,1.0178980566402105e-76,2.2293016246170242e-20,4.551468094255101e-58,2.8036943485251346e-42,4.504264952524616e-79,9.490596259860818e-62,1.7547871394439155e-57,4.2817953507050695e-62,4.737745828396164e-63,1.2122643461730781e-57,4.5348194348395176e-89,2.6262820416222862e-76,2.5744095880746966e-93,3.76,0.0,0.8685140293285146,0.9999999999999972,2.6947160699134192e-48,1.673655547916318e-39,4.948076300709658e-22,2.2293016246173832e-20,8.536130298059021e-53,2.6035663386882663e-51,3.2348149242079476e-39,3.232635406770013e-21,8.78243176130802e-38,2.752424601324429e-38,9.308215921805861e-42,1.1401132426928484e-40,8.852753622249805e-36,2.356534323399511e-24,7.782090281444463e-39,1.796101237696985e-37,2.715290039557853e-15,3.8318676609622112e-59,2.585778486359575e-38,3.3539786777898434e-58,1.3403783359167077e-72,1.970200840017017e-56,1.3340213994365445e-87,4.7812099687848994e-58,9.5771641573685e-72,4.115450859467207e-55,1.1037220749637841e-39,4.008435482209687e-82,6.625811834617603e-43,4.914381149070694e-58,1.461057481617904e-40,3.0219488656684164e-42,2.262421179583661e-59,1.947339354101458e-75,2.9808108755393965e-60,1.1740167816732908e-56
4.7588531534369065e-21,0.6897328710833016,3.8175233841424974e-25,7.304216456877196e-28,4.726033662667902e-37,6.8693502393863e-21,0.0,0.0,1.0510844615624223e-21,3.023018404345067e-38,1.448621043602463e-46,1.3237530629814126e-36,9.714729761646273e-54,1.2507638147675148e-62,5.687767726219618e-40,1.5646469741582934e-32,5.007635437224842e-24,9.71705317517502e-41,1.0504200565542347e-81,2.444267430156945e-81,3.560734415805964e-56,1.8662930296295535e-75,4.7372659523103745e-20,4.025721985632184e-57,1.2244469816460196e-41,8.435989763098865e-78,8.394324914263871e-61,1.6129517043515918e-56,3.9357076156756336e-61,4.354804658064586e-62,1.0722340857337693e-56,1.4095578943165824e-87,4.673328576590274e-75,9.72048076413042e-92,3.76,0.0,0.8685140293285146,0.9999999999999941,2.3834458471494975e-47,7.309293486429584e-39,1.0514662139008022e-21,4.737265952311939e-20,7.550110580099694e-52,2.302824942109233e-50,1.412728867656384e-38,6.869350239386257e-21,3.835518685303351e-37,1.2020561360666605e-37,4.0651424418019306e-41,4.9791740653763085e-40,3.8662300894968487e-35,5.007635437223022e-24,3.3986432797195836e-38,7.84404598306453e-37,5.769991334034605e-15,3.421727733416722e-58,1.1292773994761477e-37,2.967916591216257e-57,2.5103802806182305e-71,1.742620331170952e-55,5.037010976066946e-86,4.394489484393967e-57,1.7754940547723337e-70,3.640069679200675e-54,4.820244275114299e-39,7.507356036501953e-81,2.8936666634077784e-42,4.515418456862473e-57,6.380821876391776e-40,1.3197644633421246e-41,2.0794832396715656e-58,3.6099061450947126e-74,2.7173333358331387e-59,1.0384045480729994e-55
9.797638845311278e-21,0.6897328710833016,7.859606968170783e-25,1.5038092706602848e-27,1.9730260225175254e-36,1.414277990461885e-20,0.0,0.0,2.163997420863802e-21,1.2620506755777544e-37,1.217653273112923e-45,5.5264084573547165e-36,8.165815721066015e-53,1.0513423504850978e-61,2.374531061764164e-39,6.53209311573415e-32,1.0309837664874659e-23,4.056681520314883e-40,3.6457482103482525e-80,4.1226142826204e-80,2.99301182682818e-55,3.2212798090446546e-74,9.75319460769452e-20,3.383861896869461e-56,5.111825115500879e-41,1.45710744459746e-76,7.055935886457501e-60,1.3799141415436435e-55,3.367080726094392e-60,3.7256270694372514e-61,9.012773560104447e-56,4.3713596721990886e-86,7.88225171674402e-74,3.3724863388941634e-90,3.76,0.0,0.8685140293285146,0.999999999999988,2.0034298479140485e-46,3.051486146854298e-38,2.1647833815604746e-21,9.753194607701053e-20,6.346322870974722e-51,1.9356631194378327e-49,5.897866631609851e-38,1.4142779904618674e-20,1.6012535487780996e-36,5.018347742854167e-37,1.6971169469824259e-40,2.078707157032711e-39,1.6140749554732895e-34,1.030983766486706e-23,1.4188666668533113e-37,3.2747347875754263e-36,1.1879393922905951e-14,2.8890478454247234e-57,4.714510844112167e-37,2.495252117549444e-56,4.3360576472496114e-70,1.4647773890848906e-54,1.7475731003001544e-84,3.7594767092797935e-56,3.0516695527317516e-69,3.0596978960196634e-53,2.012357098159686e-38,1.296709060709546e-79,1.2080493376799902e-41,3.8623699885967324e-56,2.6638675266636872e-39,5.509756838299198e-41,1.779014373019728e-57,6.204404335242863e-73,2.3161342463626053e-58,8.72841591223016e-55
1.9875210229060022e-20,0.6897328710833016,1.594377413875393e-24,3.050584520996615e-27,8.060455088709868e-36,2.868963923508396e-20,0.0,0.0,4.389823339466534e-21,5.155888806730324e-37,9.983057208089453e-45,2.2577181776845756e-35,6.694829085973223e-52,8.619539783564488e-61,9.700734177705988e-39,2.6685731747242672e-31,2.0914242120174244e-23,1.6572893008701198e-39,1.2144013357098236e-78,6.771406338713598e-79,2.4538519257916865e-54,5.445858835701439e-73,1.9785051918452588e-19,2.7742944273772925e-55,2.0883473544277335e-40,2.4210058163088275e-75,5.784882541407854e-59,1.1409396971549166e-54,2.7839674572918343e-59,3.0804205076901917e-60,7.38921629343259e-55,1.3699645730365276e-84,1.2946622117116137e-72,1.1231787578428322e-88,3.76,0.0,0.8685140293285146,0.9999999999999758,1.6425328314518565e-45,1.2466316585311707e-37,4.391417716879818e-21,1.9785051918479277e-19,5.203098918485743e-50,1.5869735731276465e-48,2.409472355316754e-37,2.868963923508323e-20,6.541643222928154e-36,2.0501587976102702e-36,6.933276484203524e-40,8.492197001722848e-39,6.594022852796768e-34,2.09142421201432e-23,5.796533298865718e-37,1.3378360126895133e-35,2.409819910032004e-14,2.3737412482426485e-56,1.9260315105206417e-36,2.0459730886263572e-55,7.204424632025272e-69,1.200913001667852e-53,5.8201480650671784e-83,3.10836833455743e-55,5.057963103370775e-68,2.5085251943174824e-52,8.221135361916726e-38,2.1545014988360177e-78,4.935279542900282e-41,3.193221973200737e-55,1.0882768044991494e-38,2.2509154473839537e-40,1.4709128050952728e-56,1.0283265194974005e-71,1.9116615075471906e-57,7.156082713523478e-54
4.003035299655751e-20,0.6897328710833016,3.211210849002653e-24,6.144135023234076e-27,3.2581648258307396e-35,5.778335789601416e-20,0.0,0.0,8.841475176671887e-21,2.0840926912499547e-36,8.084538555329572e-44,9.126057857030398e-35,5.42164616904784e-51,6.980326793381049e-60,3.9211918560179533e-38,1.0786799440351782e-30,4.212305103077322e-23,6.699048814811778e-39,3.964351216554022e-77,1.0976741475002393e-77,1.987192909913514e-53,9.262193072764418e-72,3.9848766539927845e-19,2.2466955557290766e-54,8.441433904605996e-40,3.946850524676985e-74,4.6847478652397356e-58,9.277932134851907e-54,2.2638761013082295e-58,2.5049467987132268e-59,5.98397893281749e-54,4.332091983248843e-83,2.098703236243442e-71,3.6662425347314983e-87,3.76,0.0,0.8685140293285146,0.9999999999999514,1.3301656724472618e-44,5.039084483036528e-37,8.844686387518502e-21,3.9848766540035745e-19,4.213604403935186e-49,1.2851723445429564e-47,9.739483768865875e-37,5.778335789601126e-20,2.644236782585842e-35,8.287069652127174e-36,2.802541208595048e-39,3.432681806483442e-38,2.6654094664543583e-33,4.2123051030647736e-23,2.343051437976452e-36,5.407747064866081e-35,4.853580945383375e-14,1.9243617564982798e-55,7.785327311468095e-36,1.656967678101425e-54,1.1745030452741542e-67,9.725304844803022e-53,1.8997932648192934e-81,2.5276577996650614e-54,8.235619939051483e-67,2.031468740265941e-51,3.323114357917629e-37,3.512381212973472e-77,1.994921989264296e-40,2.5965721432507442e-54,4.3989888442761034e-38,9.098560128742625e-40,1.1961176397392849e-55,1.6743568248088917e-70,1.5532010995623998e-56,5.79518131538443e-53
8.034063853155249e-20,0.6897328710833016,6.4448777232996926e-24,1.2331236033968192e-26,1.3100937492594872e-34,1.1597079521787458e-19,0.0,0.0,1.7744778851082156e-20,8.380045049789262e-36,6.507139968258764e-43,3.669547730271123e-34,4.363812509504857e-50,5.618374278003775e-59,1.57669399927168e-37,4.337324612877473e-30,8.45406688519704e-23,2.6936745372934864e-38,1.2812646251132664e-75,1.7677703752177702e-76,1.5994657357742746e-52,1.6261221647407034e-70,7.997619578271487e-19,1.8083360413444113e-53,3.3942634462624636e-39,6.37417418442148e-73,3.7706926457971633e-57,7.482988383025178e-53,1.825898090249041e-57,2.0203303413963573e-58,4.816426839575031e-53,1.3775207633405569e-81,3.379896862775215e-70,1.1848662355045527e-85,3.76,0.0,0.8685140293285146,0.9999999999999025,1.070633054980631e-43,2.0261937079302598e-36,1.7751223728795858e-20,7.997619578314871e-19,3.391475400062278e-48,1.0344185102840697e-46,3.9162126487132695e-36,1.1597079521786288e-19,1.063235980503362e-34,3.332194259261208e-35,1.1268894940536922e-38,1.380266256774338e-37,1.0717494235639476e-32,8.454066885146583e-23,9.421306780805963e-36,2.1744313106469103e-34,9.741103015560335e-14,1.5497104464574898e-54,3.130445870827516e-35,1.3337059430972804e-53,1.8968255552615145e-66,7.827771420813176e-52,6.139803551854317e-80,2.0386413377171922e-53,1.3292355431600998e-65,1.6351027759521369e-50,1.3362096677190426e-36,5.672505046713982e-76,8.021518426241382e-40,2.0941885541399375e-53,1.7688140668274588e-37,3.6584910108463424e-39,9.647105280689982e-55,2.7024136216103154e-69,1.2521837702730062e-55,4.664466092000863e-52
1.6096120960154244e-19,0.6897328710833016,1.2912211488063855e-23,2.470543808047323e-26,5.254061910117755e-34,2.323456698615954e-19,0.0,0.0,3.555138619990092e-20,3.360772871640834e-35,5.221570019120267e-42,1.4716527674361936e-33,3.501684715723307e-49,4.508391525220179e-58,6.323248130667646e-37,1.739461161332098e-29,1.6937590449436167e-22,1.080297179315976e-37,4.120442676295766e-74,2.8376629545544296e-75,1.2834705221251893e-51,3.037721545696468e-69,1.6023105426763492e-18,1.4510757881493512e-52,1.3612514540907216e-38,1.0246298979597355e-71,3.0257433783226526e-56,6.010743211761121e-52,1.4666606426857855e-56,1.622839200975777e-57,3.864879210859204e-52,4.3936939238445135e-80,5.425482999170615e-69,3.810352244784128e-84,3.76,0.0,0.8685140293285146,0.9999999999998048,8.591156005024095e-43,8.125943006085506e-36,3.556429841135052e-20,1.602310542693748e-18,2.721445421655141e-47,8.300557089864652e-46,1.5705836968208643e-35,2.323456698615484e-19,4.2640518257453295e-34,1.3363589339924482e-34,4.5193308856155205e-38,5.535485027797462e-37,4.298194540131927e-32,1.6937590449233813e-22,3.77836539722652e-35,8.72044209386697e-34,1.9516147153811125e-13,1.243871486152357e-53,1.2554488068151989e-34,1.0702286971560818e-52,3.0490916808002857e-65,6.281293588280323e-51,1.974468808382271e-78,1.6375450960119034e-52,2.136048409485612e-64,1.3120670025255982e-49,5.358798401840105e-36,9.118386209091892e-75,3.2170075898771405e-39,1.682149799786094e-52,7.093735529404195e-37,1.4672185253592713e-38,7.749072889073722e-54,4.342702116125453e-68,1.0056110074419875e-54,3.742940281016268e-51
