Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148)
0.0,0.8351122447245657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6851668098220961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4564865438482973e-19,0.8351122447245658,3.360018497073005e-21,9.012975245061417e-23,2.4651744158429544e-32,9.845045718527584e-17,0.0,0.0,2.588011291128704e-18,3.170837927126512e-32,3.3574691957202073e-39,3.906241722374351e-39,7.689269741611591e-45,1.5425498603679275e-51,4.211504722182174e-33,4.740451616015731e-27,2.566722490967138e-35,1.6983608938552916e-39,4.348181768549388e-68,7.942418961789023e-85,6.595867984475975e-65,4.0664244126647924e-64,2.2704801467609226e-16,1.0283371692660237e-68,2.7166915998708746e-50,1.1606238156334204e-79,1.1179631410370985e-78,2.748389722556764e-62,-1.0769975665903107e-78,8.307502621321759e-77,4.016071133096871e-57,6.287399292354996e-90,6.032880442463951e-91,8.81221471531587e-93,3.76,0.0,0.6851668098220958,1.0,5.5208813593381724e-40,2.512098624274501e-47,2.5913713095620087e-18,2.2704801468083277e-16,2.0053066722927164e-44,3.883932692924218e-43,9.446924416416068e-38,9.845045718521195e-17,5.224565525508176e-32,6.972786652119381e-33,9.170352496527368e-35,1.0460462042785724e-33,6.381584921749959e-29
6.878162322775233e-19,0.8351122447245658,9.408051998839724e-21,2.5236330696166206e-22,1.4889655124400909e-31,2.756612801187722e-16,0.0,0.0,7.246431615159977e-18,1.915186107983653e-31,3.985987429061607e-38,4.6374902199747463e-38,9.128701038330739e-44,1.8313151941545127e-50,2.543748852124213e-32,2.8632327759511856e-26,1.5505065849758276e-34,2.016294053106133e-38,2.645211162119163e-66,6.908858367167054e-83,3.150925286443435e-63,1.942579738910399e-62,6.357344410776989e-16,6.255876829373381e-67,3.225649167016078e-49,8.955893322486048e-78,5.48293899153424e-77,8.642491258459766e-61,1.9130445443920957e-77,3.968930388603634e-75,8.983790482690615e-56,4.851893949839547e-88,5.371293964645597e-89,6.800257033593094e-91,3.76,0.0,0.6851668098220952,1.0,6.554390349709276e-39,3.461073459403058e-46,7.255839666773657e-18,6.357344411063312e-16,2.380700081960916e-43,4.6110048922058475e-42,1.1215388661995069e-36,2.7566128011838657e-16,3.155637577405689e-31,4.211563137763396e-32,5.538892909244912e-34,6.318119072310234e-33,3.8544772927345755e-28
1.5721513880629103e-18,0.835112244724566,2.1504119830514393e-20,5.768304163835266e-22,7.1687296803355065e-31,6.300829259857645e-16,0.0,0.0,1.6563272263220938e-17,9.220796692072484e-31,3.913466094131164e-37,4.553115497832484e-37,8.962612814199783e-43,1.7979961170144546e-49,1.2247055730998457e-31,1.3785233297538994e-25,7.4671219960769295e-34,1.9796094576332314e-37,1.1941747621864091e-64,7.181276167249335e-81,1.6406802638643782e-61,1.011497242498078e-60,1.4531072938194741e-15,2.8242018377500286e-65,3.1677937102311735e-48,9.760570637155824e-76,2.7955684899237745e-75,1.9286181986494738e-59,9.821971490823394e-76,2.0671164106145266e-73,1.7750456099042364e-54,5.288925836497803e-86,5.476464606259735e-87,7.412786740256797e-89,3.76,0.0,0.685166809822094,1.0,6.435139312121137e-38,3.608121769316903e-45,1.6584776381197077e-17,1.4531072939573268e-15,2.337385459130896e-42,4.5271119442877343e-41,1.1011335083734885e-35,6.300829259839076e-16,1.5193036548159015e-30,2.0276863582612495e-31,2.6667385080037286e-33,3.041902359743569e-32,1.855764895241286e-27
3.3408216996336846e-18,0.8351122447245664,4.56962588064287e-20,1.2257646368263327e-21,3.130774069820221e-30,1.3389262177197472e-15,0.0,0.0,3.519695355933654e-17,4.026964167438876e-30,3.461416441088245e-36,4.027179273188232e-36,7.927329539904235e-42,1.590307203560994e-48,5.3486109960271424e-31,6.02037355044406e-25,3.26293364902285e-33,1.7509421466156073e-36,4.508976681791239e-63,5.748403090771351e-79,6.547524237026876e-60,4.036619965854711e-59,3.0878529990572723e-15,1.0663648768621482e-63,2.8033581256978003e-47,7.984752814598057e-74,1.107664817388648e-73,3.6140670023222186e-58,3.8136414014509095e-74,8.253351199681821e-72,3.1585988237232736e-53,4.328500928226415e-84,4.354392405407014e-85,6.066686376105263e-87,3.76,0.0,0.6851668098220917,1.0,5.691807845523066e-37,3.2751888004170597e-44,3.524264981004443e-17,3.0878529996593104e-15,2.0673909708705588e-41,4.004179243669206e-40,9.739401162664964e-35,1.3389262177116375e-15,6.635198217375996e-30,8.855439046382594e-31,1.1646347691396645e-32,1.3284786770586492e-31,8.104612850585225e-27
6.878162322775233e-18,0.835112244724567,9.408055000851749e-20,2.5236330841082555e-21,1.3070377808096355e-29,2.756612801187704e-15,0.0,0.0,7.246431615154243e-17,1.6811782689518607e-29,2.90952908373663e-35,3.3850871338895436e-35,6.66339814263228e-41,1.3367490273190387e-47,2.232939802671191e-30,2.513387445105211e-24,1.3637527388288457e-32,1.4717723759091579e-35,1.564373473215194e-61,4.0925878546682055e-77,2.327092662282578e-58,1.4346779579908868e-57,6.3573444085498576e-15,3.6997151331249424e-62,2.3588819636129337e-46,5.746684588388354e-72,3.927857818321482e-72,6.249241734879334e-57,1.339970218015997e-72,2.936238288408183e-70,5.327438590841576e-52,3.117896087690784e-82,3.093728160062221e-83,4.3699419422813914e-85,3.76,0.0,0.6851668098220869,1.0,4.784307450612412e-36,2.7869624089263933e-43,7.255839666774118e-17,6.357344411063247e-15,1.7377666845658922e-40,3.365753918917191e-39,8.186553487364276e-34,2.7566128011538482e-15,2.7700646416069857e-29,3.696971481325577e-30,4.862120912385006e-32,5.546136953708751e-31,3.383516325478326e-26
1.395284356905833e-17,0.8351122447245686,1.9084918541373826e-19,5.119370004257387e-21,5.339685911843926e-29,5.591985968123586e-15,0.0,0.0,1.4699904133585294e-16,6.868161783583222e-29,2.3854077275709894e-34,2.775299441080468e-34,5.463056394213954e-40,1.095947614797774e-46,9.122287679716518e-30,1.0268007803907784e-23,5.583977720169714e-32,1.2066479136920359e-34,5.210016813018006e-60,2.7591959574209696e-75,7.838288980264739e-57,4.832390479743768e-56,1.2896327223602989e-14,1.232159607947048e-60,1.9380382254643717e-45,3.8952899314923444e-70,1.3236184374830249e-70,1.0405940306636764e-55,4.49214928937173e-71,9.909381012085875e-69,8.750333896297391e-51,2.1169952688518112e-80,2.0869201242902194e-81,2.967111857535316e-83,3.76,0.0,0.6851668098220774,0.9999999999999999,3.922464302544488e-35,2.2996160958976445e-42,1.4718989038314277e-16,1.2896327233871007e-14,1.4247261258410759e-39,2.7594484043474515e-38,6.711831105883411e-33,5.591985967985275e-15,1.131661791072398e-28,1.5103334786171912e-29,1.9863350480126584e-31,2.2657779022170082e-30,1.3822768203623616e-25
2.810220606162453e-17,0.8351122447245714,3.8438666822837176e-19,1.0310843946897127e-20,2.1583945863412284e-28,1.126273230199522e-14,0.0,0.0,2.9606849170406905e-16,2.776220805345823e-28,1.9317650210339055e-33,2.247510236127836e-33,4.4241247256797143e-39,8.875267915721877e-46,3.68737452932511e-29,4.150492919615573e-23,2.26732197951386e-31,9.771747636396493e-34,1.7006362589966595e-58,1.8119194881272453e-73,2.5726049215647767e-55,1.5860389376760884e-54,2.5974292837981086e-14,4.021974175836859e-59,1.5760888629462792e-44,2.564833798546906e-68,4.358209671854989e-69,1.7038427899519623e-54,1.4725348253907762e-69,3.265041360902077e-67,1.418466836729336e-49,1.3986445250003748e-78,1.3748711499173217e-79,1.9602947854458064e-81,3.76,0.0,0.6851668098220586,0.9999999999999998,3.1765132870942244e-34,1.8700505753158313e-41,2.964528778139785e-16,2.5974292879486056e-14,1.1537801655802743e-38,2.2346728473331234e-37,5.435414758399704e-32,1.1262732301436143e-14,4.574357896606098e-28,6.10500939635075e-29,8.029083918048421e-31,9.158636471761782e-30,5.587383914834991e-25
5.640093104675691e-17,0.8351122447245771,7.71462481874561e-19,2.0693792241545143e-20,8.678875377241452e-28,2.2604224969737976e-14,0.0,0.0,5.942073924388812e-16,1.116306175536622e-27,1.5548525444604553e-32,1.8089930455670819e-32,3.560920498908285e-38,7.143587729280159e-45,1.4826770776457942e-28,1.6688949435857438e-22,9.198740981814781e-31,7.865152599225832e-33,5.49616250205761e-57,1.174563282556981e-71,8.336679198620669e-54,5.139653470036486e-53,5.213022400382463e-14,1.299832551885657e-57,1.2792225664680062e-43,1.6648555304788908e-66,1.4229004666265054e-67,2.7756512435266357e-53,4.7784837278447365e-68,1.0662762639807868e-65,2.284397125799521e-48,9.139995050240701e-77,8.978887180876986e-78,1.2810320699495129e-79,3.76,0.0,0.6851668098220208,0.9999999999999994,2.556734240867916e-33,1.5113299821673147e-40,5.9497885267578e-16,5.2130224170714263e-14,9.28662670534e-38,1.7986590970784328e-36,4.374894527716922e-31,2.260422496748994e-14,1.8393291914186758e-27,2.4547974228279893e-28,3.2284593835966415e-30,3.6826473832565793e-29,2.2466624978524915e-24
1.1299838101702167e-16,0.8351122447245887,1.545617501235863e-18,4.145969046833646e-20,3.4806698759678786e-27,4.528721030522142e-14,0.0,0.0,1.1904851939020261e-15,4.4768870437992514e-27,1.2476712389537294e-31,1.4516050445950557e-31,2.8574144888242516e-37,5.732279232966754e-44,5.946198201361406e-28,6.693015116299154e-22,3.7548291270357376e-30,6.311289596561875e-32,1.7674834792456938e-55,7.565325351439775e-70,2.6845435109294766e-52,1.6550502935836065e-51,1.0444208608386109e-13,4.180066669204376e-56,1.0435860859266681e-42,1.0730431174553134e-64,4.652653266187573e-66,4.538746009789938e-52,1.545930511847921e-66,3.4865201348129256e-64,3.666963349962183e-47,5.969952489621583e-75,5.87163553538437e-76,8.367292090083558e-78,3.76,0.0,0.6851668098219452,0.9999999999999989,2.0516182059902667e-32,1.220094711496827e-39,1.1920308023999032e-15,1.0444208675316319e-13,7.45193334723326e-37,1.4433106135433046e-35,3.510577112191451e-30,4.5287210296205815e-14,7.37653271727777e-27,9.844835563322525e-28,1.294756651983617e-29,1.4769062622746744e-28,9.010121459984652e-24
