Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62)
0.0,0.7462814966354967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7400132245121243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5110050970505945e-22,0.7462814966354967,1.4678598471394675e-25,9.976104800228981e-28,2.0037200096897784e-39,3.2805667836220866e-21,0.0,0.0,2.0380009642404766e-22,5.8858058703269155e-40,8.986290525610775e-50,1.072172337888809e-49,3.1551153609071095e-56,4.654095567916958e-64,3.1214842696656137e-41,1.910006691999901e-34,3.2724932976652034e-24,5.0173097912115134e-42,2.0743356161415587e-86,7.005440142447582e-83,5.188765028426115e-58,7.588070832742703e-78,1.341494942295671e-20,5.770899933877235e-78,8.719276560244771e-43,2.433226462224636e-92,5.889841023887562e-62,1.4504943792691537e-58,5.044483523303704e-63,1.3178883244225239e-63,5.967559348113205e-59,2.533786817803715e-92,1.898735371111006e-77,6.35290704156175e-96,3.76,0.0,0.7400132245121243,0.9999999999999997,1.477832813003654e-50,3.876867838681739e-40,2.0394688240876075e-22,1.34149494229569e-20,4.897350750008575e-55,1.238273733291091e-53,4.2067407230620995e-40,3.2805667836220855e-21,2.7451153919674883e-39,6.356851894939958e-40,1.7145213321937398e-42,2.0428598299757745e-41,1.0169641360379164e-36,3.2724932976651585e-24,5.829615469367437e-40,2.421862439922244e-38,3.741657381674081e-16,4.464034113676054e-60,2.8131355554149286e-59,3.3164906187608305e-59
4.2308142717416646e-22,0.7462814966354969,4.1100075720234877e-25,2.793309344068597e-27,1.2102468858965206e-38,9.185586994141845e-21,0.0,0.0,5.7064026998733315e-22,3.5550267456774536e-39,1.0668524112007455e-48,1.2728829995495314e-48,3.74575295646931e-55,5.525342258230861e-63,1.8853764988779937e-40,1.153644041967907e-33,9.162981233462568e-24,3.030455140402278e-41,1.2619195828862256e-84,1.5670889381053956e-81,6.160101841747483e-57,1.979712074667536e-76,3.7561858384278165e-20,1.814463279875921e-76,5.266443042387769e-42,1.1629807559095576e-90,6.9924192635593e-61,2.1919871059517136e-57,7.623223500416546e-62,1.991592835867822e-62,7.084686458081474e-58,1.5413983144184111e-90,4.2473950757604565e-76,3.864783452858393e-94,3.76,0.0,0.7400132245121243,0.999999999999999,1.754483115598229e-49,2.34162817456377e-39,5.710512707445301e-22,3.7561858384279327e-20,5.814134810412696e-54,1.47007857616304e-52,2.540871411375892e-39,9.185586994141837e-21,1.6580496967484108e-38,3.8395385445436966e-39,1.03557088464534e-41,1.233887337305186e-40,6.142463381668993e-36,9.162981233462297e-24,3.521087743497438e-39,1.4628049137130353e-37,1.0476640668682686e-15,5.647202741045617e-59,3.339754531388666e-58,3.951709411469521e-58
9.670432621123804e-22,0.7462814966354969,9.394303021923444e-25,6.384707072177922e-27,5.826817788836299e-38,2.0995627415181356e-20,0.0,0.0,1.3043206171139032e-21,1.7115923470910635e-38,1.0474420236654768e-47,1.249724077067803e-47,3.6776024646745406e-54,5.4248137939635395e-62,9.077276256187056e-40,5.5542994603352135e-33,2.0943957105057296e-23,1.4590337270500938e-40,5.696908207308551e-83,3.0963036646264222e-80,6.048024517133475e-56,4.1841394781416804e-75,8.58556763069186e-20,4.0479677935318375e-75,2.535565623719071e-41,4.876732042812191e-89,6.8651986974433e-60,2.3580397024908345e-56,8.20071597416435e-61,2.1424646912488727e-61,6.955787176163535e-57,6.958575985561767e-89,8.392136922417092e-75,1.7447479922136967e-92,3.76,0.0,0.7400132245121243,0.9999999999999977,1.7225619268374252e-48,1.1273931674886493e-38,1.3052600474160694e-21,8.585567630692417e-20,5.708352034217799e-53,1.4433318635236533e-51,1.223320224236035e-38,2.099562741518133e-20,7.982795559842178e-38,1.848572531048484e-38,4.985828034024219e-41,5.940636385566831e-40,2.95733170759823e-35,2.0943957105055986e-23,1.6952521784913105e-38,7.0427759752938804e-37,2.394660724268094e-15,5.696730209553175e-58,3.2789908033918367e-57,3.8861093486331216e-57
2.0549669319888085e-21,0.7462814966354969,1.996289392225102e-24,1.356750252846828e-26,2.544724412986392e-37,4.461570825726038e-20,0.0,0.0,2.7716813113670393e-21,7.474973455315156e-38,9.264506080285578e-47,1.105366793521522e-46,3.2527977324833467e-53,4.7981863666986924e-61,3.9642850224747654e-39,2.4257084988393594e-32,4.450590884824672e-23,6.3719838457517404e-40,2.151044142331991e-81,5.509706936338952e-79,5.349409193706175e-55,7.667900397982477e-74,1.8244331215218958e-19,7.581395791419457e-74,1.1073481231509744e-40,1.786636923816234e-87,6.072190501987031e-59,2.167444741055515e-55,7.537870839202236e-60,1.9692941654216832e-60,6.152314985534973e-56,2.627421082191485e-87,1.493335926328559e-73,6.587836441227505e-91,3.76,0.0,0.7400132245121243,0.999999999999995,1.52358651689452e-47,4.923622155125804e-38,2.7736776007591504e-21,1.8244331215221387e-19,5.04897272924523e-52,1.2766106880728547e-50,5.342560945307825e-38,4.461570825726025e-20,3.4862965477994576e-37,8.073201906573178e-38,2.177442091891034e-40,2.594431984066423e-39,1.2915444527681226e-34,4.4505908848241024e-23,7.403611646089001e-38,3.075765298701243e-36,5.088654039060161e-15,5.099167670944224e-57,2.900230232210987e-56,3.4397207692132254e-56
4.230814271741665e-21,0.7462814966354969,4.1100075725016814e-24,2.793309344133585e-26,1.062372349749857e-36,9.185586994141843e-20,0.0,0.0,5.7064026998732945e-21,3.1206542724473075e-37,7.787375588845843e-46,9.291273933507906e-46,2.7341724899209625e-52,4.033164753625986e-60,1.6550109597762027e-38,1.0126855480978847e-31,9.16298123346255e-23,2.6601780211221512e-39,7.462971390376406e-80,9.29292606385255e-78,4.496500753393596e-54,1.3115185768079884e-72,3.7561858384269196e-19,1.3094976254830216e-72,4.622960432240773e-40,6.1130568538023914e-86,5.104041993844417e-58,1.85429460852735e-54,6.4488072023891435e-59,1.6847726192884715e-59,5.171391450131502e-55,9.115736773359236e-86,2.518729310320648e-72,2.2856264974342696e-89,3.76,0.0,0.7400132245121243,0.9999999999999896,1.280666270424031e-46,2.0555153280690537e-37,5.7105127074453205e-21,3.756185838427932e-19,4.24396580237517e-51,1.0730682048886429e-49,2.2304141356845893e-37,9.185586994141787e-20,1.4554601808218359e-36,3.3704028746966555e-37,9.090392103336073e-40,1.0831242818506259e-38,5.3919438492727515e-34,9.162981233460169e-23,3.0908621218517385e-37,1.2840714656467675e-35,1.0476640668613964e-14,4.310134870379534e-56,2.4378182621544375e-55,2.8922841991944896e-55
8.582508951247378e-21,0.7462814966354967,8.3374439338991e-24,5.666427526821843e-26,4.340137694972906e-36,1.8633619330973451e-19,0.0,0.0,1.1575845476885745e-20,1.274889094736273e-36,6.384561001148704e-45,7.617547726641626e-45,2.2416397989852172e-51,3.3066321385718652e-59,6.761259787462232e-38,4.13715089513555e-31,1.8587761930738274e-22,1.0867696831313758e-38,2.4854810646173563e-78,1.5263658964857256e-76,3.6865029847648916e-53,2.170098262989057e-71,7.619691272235383e-19,2.175750017932031e-71,1.8886301800544093e-39,2.022303466774676e-84,4.1846019997820295e-57,1.5331666408742207e-53,5.3319985026391946e-58,1.3930025819415576e-58,4.2398191531333465e-54,3.0359197482423198e-84,4.137020455471945e-71,7.612090524266316e-88,3.76,0.0,0.7400132245121243,0.9999999999999788,1.0499675830903603e-45,8.397450813298162e-37,1.1584182920817703e-20,7.61969127223952e-19,3.479459574427094e-50,8.797661464164274e-49,9.11197040566591e-37,1.863361933097322e-19,5.946029743622966e-36,1.3769195478511445e-36,3.713721786422915e-39,4.4249161060993094e-38,2.2027849972233312e-33,1.8587761930728545e-22,1.2627180291210438e-36,5.245850919369124e-35,2.1252613927600237e-14,3.543250463595989e-55,1.9986706980905136e-54,2.3716639419475484e-54
1.7285898310258803e-20,0.7462814966354967,1.679231666007098e-23,1.1412663892657318e-25,1.7543530513085021e-35,3.752968400463667e-19,0.0,0.0,2.331473103091038e-20,5.15330555815284e-36,5.170383029647638e-44,6.168887648632753e-44,1.8153380276613547e-50,2.6777964360405214e-58,2.7330093093336747e-37,1.672302539163908e-30,3.743732332528959e-22,4.3928981287056034e-38,8.113024159889632e-77,2.4743048937975475e-75,2.985425696106889e-52,3.534972885077012e-70,1.534670213984597e-18,3.5470220775308736e-70,7.634145153762209e-39,6.579438221382848e-83,3.388799192556616e-56,1.2467456501748992e-52,4.335892630755989e-57,1.1327665652429627e-57,3.4335154749489865e-53,9.909745794537022e-83,6.706288434632669e-70,2.4847131290223977e-86,3.76,0.0,0.7400132245121243,0.9999999999999573,8.502909710340057e-45,3.3943838824220934e-36,2.3331523347562614e-20,1.5346702139862701e-18,2.8177565744948592e-49,7.124574348432876e-48,3.683204849565066e-36,3.752968400463573e-19,2.403480291211047e-35,5.565728962907357e-36,1.5011457233908117e-38,1.7886218383980117e-37,8.904009153795308e-33,3.743732332525027e-22,5.104108164925849e-36,2.1204568155489964e-34,4.280456044508748e-14,2.8732223334348067e-54,1.6185753503519386e-53,1.920792365963516e-53
3.469267702828165e-20,0.7462814966354969,3.3702062125922883e-23,2.290513662616412e-25,7.05417647750419e-35,7.532181335196312e-19,0.0,0.0,4.679250213895862e-20,2.0721214998719504e-35,4.161574075410218e-43,4.965257462867332e-43,1.4611419755115903e-49,2.1553235347462226e-57,1.0989310230700077e-36,6.724254959427199e-30,7.513644611439168e-22,1.7663660703572436e-37,2.621989217456218e-75,3.984791752963586e-74,2.4029303263923896e-51,5.720883172716909e-69,3.0800723875041796e-18,5.728451477843811e-69,3.0696561901347496e-38,2.1228941965426683e-81,2.7276004090358847e-55,1.0055455333341112e-51,3.4970544852023147e-56,9.136172721707874e-57,2.763591963345324e-52,3.202658298273187e-81,1.080027078061893e-68,8.03016348095296e-85,3.76,0.0,0.7400132245121243,0.9999999999999142,6.843881471300404e-44,1.3648668300792394e-35,4.682620420105301e-20,3.080072387510907e-18,2.26797563050342e-48,5.734477259540115e-47,1.4810010527032692e-35,7.532181335195931e-19,9.664288542075312e-35,2.2379551370183266e-35,6.036040931094798e-38,7.191969745680009e-37,3.580262919485344e-32,7.513644611423359e-22,2.0523394444138546e-35,8.52626359424349e-34,8.590845347812068e-14,2.3141396872014437e-53,1.3027702548379917e-52,1.5460836805687672e-52
6.950623446432735e-20,0.7462814966354969,6.752155311165932e-23,4.589008210052113e-25,2.8290402872243514e-34,1.50906072046616e-18,0.0,0.0,9.374804435505094e-20,8.310133993478371e-35,3.339401108723513e-42,3.9843064164114634e-42,1.1724744158577124e-48,1.7295113990923868e-56,4.4072049114123064e-36,2.6967269883734623e-29,1.5053469169259383e-21,7.083926418477772e-37,8.431924381558584e-74,6.396473261992542e-73,1.928200255663783e-50,9.251163643191087e-68,6.170876734533207e-18,9.20832277870327e-68,1.231069425970462e-37,6.82137086406677e-80,2.1887275499770677e-54,8.077088562941732e-51,2.8090243404956442e-55,7.338670776708733e-56,2.2176085056597853e-51,1.029926863693826e-79,1.733682650205463e-67,2.5823802322967967e-83,3.76,0.0,0.7400132245121243,0.999999999999828,5.4917838681062946e-43,5.473726440227542e-35,9.381556590803618e-20,6.170876734560185e-18,1.8199076114723785e-47,4.601556855955748e-46,5.939481283554533e-35,1.5090607204660074e-18,3.875811951257231e-34,8.975201049331282e-35,2.420722382000506e-37,2.8843015366687053e-36,1.4358455618858434e-31,1.5053469169195978e-21,8.230799103194302e-35,3.4194130477512816e-33,1.721162395364221e-13,1.8575590902027765e-52,1.045391083905402e-51,1.2406599188477957e-51
