Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156)
0.0,0.5216513331320163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5529900596233206,1.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.5216513331320163,3.7151726994737017e-23,9.342906364429986e-27,1.3875543787099261e-32,4.6495760390265154e-32,0.0,0.0,1.120266972044441e-18,7.413522739846781e-31,4.262097609686537e-33,4.9587477656307736e-33,4.68047519588587e-42,6.939140741493952e-63,8.94703576138242e-34,1.0764006274290316e-24,1.71671789594426e-34,2.1559772863292827e-33,4.2173081342246695e-61,9.583010015342931e-82,4.110263769090298e-57,2.1888618752991277e-56,8.231428047513016e-18,5.682375177984491e-59,1.5456413208480855e-47,8.465664613400302e-67,9.065853535005653e-75,4.687072380855158e-59,3.04091056917034e-76,9.539251485303156e-78,1.9940200811547084e-52,2.902473515721534e-79,3.356515855310062e-83,2.896518706274548e-83,3.76,0.0,0.5529900596233206,1.0,7.0069269444220275e-34,1.186559549300675e-60,1.1203041237730078e-18,8.231429123913657e-18,1.329932078517209e-40
3.0000000000000002e-15,0.5216513331320163,9.174202029683895e-23,2.307129769864095e-26,8.187142249000507e-32,2.419099250713476e-31,0.0,0.0,2.766373543209232e-18,3.721891008155113e-30,3.6010373139616225e-32,4.1896355667634607e-32,3.9545285711482686e-41,2.525199617128114e-61,4.4917766555394874e-33,5.403969969989006e-24,1.4321595845374783e-33,1.8215806786032273e-32,1.945863282273616e-59,6.759514333655295e-80,2.3288296716811036e-55,1.2401847472636668e-54,2.0326584881612634e-17,2.6218442979070556e-57,1.9416280950103985e-46,6.613090262168447e-65,7.015065699742149e-73,2.1484123689278808e-57,3.2537508077772954e-74,1.0206925365882944e-75,2.531184578836636e-51,3.1331330216133062e-77,3.290269939761665e-81,3.12670720497112e-81,3.76,0.0,0.5529900596233205,1.0,5.9201379340608984e-33,5.438828183128614e-59,2.7664652852373908e-18,2.0326590285582703e-17,1.123656818391645e-39
7e-15,0.5216513331320163,2.4034893379095453e-22,6.04434059710736e-26,7.889364486505013e-31,1.6868497959500212e-30,0.0,0.0,7.247441431365112e-18,2.2906272301920748e-29,5.627705988796969e-31,6.547568135030652e-31,6.18018224834214e-40,5.800799304828777e-60,2.764450036367698e-32,3.325856710805023e-23,2.2128066567701665e-32,2.8467687503015545e-31,1.4604663230447748e-57,1.4922758959806388e-77,1.5928879283291647e-53,8.482694646649754e-53,5.325227352266868e-17,1.9678235690833247e-55,8.163335757314596e-45,1.3881377809965944e-62,1.4500619440294706e-70,1.584885076201652e-55,2.024190442633062e-71,6.349828845570047e-73,1.0784795111470443e-49,1.979104655652561e-74,2.2064185251227064e-78,1.9750599024570038e-78,3.76,0.0,0.5529900596233206,1.0,9.252000248582569e-32,4.012219293699533e-57,7.247681780346622e-18,5.325230678123733e-17,1.7560523968185115e-38
1.5e-14,0.5216513331320163,5.375627818285378e-22,1.3519027717961289e-25,6.161173354208951e-30,9.685130650502149e-30,0.0,0.0,1.620957720761285e-17,1.087215804212207e-28,5.56316225229959e-30,6.47247456879827e-30,6.109367449178129e-39,1.235983186194088e-58,1.3121085551265365e-31,1.5785726906216716e-22,2.1789569236844456e-31,2.8141193737269754e-30,6.518012833447777e-56,1.1124769614032344e-75,5.884422406290559e-52,3.1336636799052514e-51,1.191035819152623e-16,8.78233254164177e-54,1.6510867340072036e-43,9.089006529531878e-61,9.479814533497354e-69,7.044902184405779e-54,1.972176371313255e-69,6.186662141285243e-71,2.1900258170147106e-48,1.9330424022861364e-72,2.589111895643158e-76,1.929104697336284e-76,3.76,0.0,0.5529900596233205,1.0,9.14589085900852e-31,1.7834513395587906e-55,1.6210114770615504e-17,1.1910373977254655e-16,1.735912364023358e-37
3.1e-14,0.5216513331320164,1.131990597043662e-21,2.84703469097263e-25,4.7325526404184457e-29,5.624869463651022e-29,0.0,0.0,3.4133848759852265e-17,4.701383787714498e-28,4.8808908725790716e-29,5.678684282988316e-29,5.360222229143391e-38,2.2689017208939737e-57,5.673866211437184e-31,6.826120742153484e-22,1.908246417389378e-30,2.4689931630000567e-29,2.419654328197752e-54,8.589027389653807e-74,2.272636999896844e-50,1.210259440889026e-49,2.5080592314295805e-16,3.260228976194989e-52,2.9140420432885025e-42,7.223040590323677e-59,7.514067978715291e-67,2.6103959266548526e-52,3.246414450447504e-67,1.0183911318859102e-68,3.872637650184055e-47,3.190290830745059e-70,4.159890288719537e-74,3.183848996501325e-74,3.76,0.0,0.5529900596233204,1.0,8.024232237627466e-30,6.608312524343895e-54,3.413498075135562e-17,2.5080660575516505e-16,1.523018461245927e-36
6.300000000000001e-14,0.5216513331320163,2.3208469835728436e-21,5.838782973778603e-25,3.680328165328363e-28,3.5271065455283982e-28,0.0,0.0,6.998239186330684e-17,1.9521167037948613e-27,4.07939443151936e-28,4.746181311392072e-28,4.4802033889056805e-37,3.8794763926813453e-56,2.355905768976805e-30,2.834346253786682e-21,1.5934682669230824e-29,2.063557088975199e-28,8.31102877506168e-53,6.030423826645768e-72,7.967753791299526e-49,4.243107513189509e-48,5.142095033730409e-16,1.1198240250422714e-50,4.882360373014532e-41,5.125256821990514e-57,5.325181706737504e-65,8.958078243130488e-51,4.674268603262245e-65,1.4663049701158183e-66,6.4945983532311e-46,4.5990912027880845e-68,5.93509659094604e-72,4.589968026738993e-72,3.76,0.0,0.55299005962332,1.0,6.706567468229525e-29,2.2677481907866e-52,6.998471271365071e-17,5.142123377204018e-16,1.2729219300543044e-35
1.2700000000000001e-13,0.5216513331320164,4.698565017319054e-21,1.1833868980804937e-24,2.8965455090217665e-27,2.407502728599589e-27,0.0,0.0,1.4167947806611892e-16,7.952652266144985e-27,3.3340199795708906e-27,3.87897360367613e-27,3.6619034449673086e-36,6.412868694220062e-55,9.597577693156085e-30,1.1546672604613444e-20,1.3017387923995562e-28,1.686510260077396e-27,2.75329883549255e-51,4.037443674948293e-70,2.665380978150469e-47,1.419406773157061e-46,1.0410122549692308e-15,3.7097853644983955e-49,7.989138483622255e-40,3.448099582618693e-55,3.5804479743047225e-63,2.966373316580821e-49,6.331564346243909e-63,1.9861939616625772e-64,1.0632299768323246e-44,6.233442911514882e-66,8.005928482621678e-70,6.22152012687122e-70,3.76,0.0,0.5529900596233195,0.9999999999999999,5.481169243274885e-28,7.509263892474595e-51,1.4168417664154394e-16,1.0410238016508749e-15,1.0403375350135747e-34
2.55e-13,0.5216513331320164,9.454040017568542e-21,2.3915611239934503e-24,2.2970493386744113e-26,1.7552698006499434e-26,0.0,0.0,2.850736504553547e-16,3.210003903215034e-26,2.6955401997048057e-26,3.1361327605626315e-26,2.9611322965577866e-35,1.0427592384820247e-53,3.8739161358540355e-29,4.6606434995481465e-20,1.0522182731547063e-27,1.3635359809331465e-26,8.962852627354494e-50,2.641990792377676e-68,8.71771036045092e-46,4.64246793229667e-45,2.0946001230037793e-15,1.2076541089523358e-47,1.2925132615421985e-38,2.261657025739805e-53,2.3477668290687284e-61,9.654739019393958e-48,8.332828231500792e-61,2.613984715052067e-62,1.7205385111588e-43,8.206071985208307e-64,1.0515217670616416e-67,8.191540940516475e-68,3.76,0.0,0.5529900596233183,0.9999999999999998,4.4315092137750764e-27,2.4439666243345456e-49,2.850831045108913e-16,2.094646729511818e-15,8.411082309266107e-34
5.11e-13,0.5216513331320167,1.8965288863841637e-20,4.8807063303898e-24,1.8293207689839403e-25,1.3348916765843036e-25,0.0,0.0,5.718619951682728e-16,1.2898007506611667e-25,2.1677598107324456e-25,2.522085391348762e-25,2.3821534564248e-34,1.681851734314248e-52,1.5565293046341944e-28,1.8726382040164683e-19,8.461034713611725e-27,1.0965588642797484e-25,2.892595810569392e-48,1.7095726488923832e-66,2.820032522881343e-44,1.5017525866454554e-43,4.201705320826036e-15,3.89749719533936e-46,2.079422887753684e-37,1.4651716243919452e-51,1.5207285892633486e-59,3.1158298687988728e-46,1.0813750826007202e-58,3.392242851681511e-60,2.7683633184287355e-42,1.0650697474836e-61,1.3632365460578799e-65,1.0634861193971817e-65,3.76,0.0,0.5529900596233158,0.9999999999999994,3.5638438167523783e-26,7.886690819605973e-48,5.718809603066205e-16,4.201892585233696e-15,6.764212307716953e-33
1e-12,0.5216513331320172,3.713549538222863e-20,1.0189799819589705e-23,1.4026719218751009e-24,9.99231918451995e-25,0.0,0.0,1.1196725439983743e-15,4.9964696656524295e-25,1.670326626262008e-24,1.9433455505628915e-24,1.8367551869839622e-33,2.5879191592530233e-51,6.029457065991452e-28,7.253983777083592e-19,6.519135829987711e-26,8.44932846927352e-25,8.890571257486019e-47,1.0514275210338467e-64,8.677562482522151e-43,4.621017545503463e-42,8.226336023925295e-15,1.1979293950091763e-44,3.195590521994055e-36,9.016409580105517e-50,9.357568702787442e-58,9.577956588432898e-45,1.3314891282290813e-56,4.176842793227614e-58,4.2545777711687454e-41,1.311477930849872e-59,1.6777110422193844e-63,1.3102723061781587e-63,3.76,0.0,0.5529900596233113,0.9999999999999989,2.746073806853834e-25,2.4239672574084337e-46,1.1197096772806455e-15,8.2270614268274e-15,5.212036807459066e-32
1.023e-12,0.5216513331320172,3.799012677266401e-20,1.0439511783294404e-23,1.4600420986326965e-24,1.0399519251355368e-24,0.0,0.0,1.1454386843318965e-15,5.17081196635754e-25,1.7386940390213977e-24,2.02288778218425e-24,1.9119421324867314e-33,2.7017307782180474e-51,6.239840171331364e-28,7.507094100561187e-19,6.785965572826996e-26,8.795164258465455e-25,9.295131929383501e-47,1.1000770737425035e-64,9.072445636500438e-43,4.8313025610398536e-42,8.415633582557775e-15,1.2524405437418614e-44,3.336113854026836e-36,9.433602884003933e-50,9.790547034911789e-58,1.0013798291573428e-44,1.393606784016956e-56,4.371704078275361e-58,4.441669904306772e-41,1.372662033851152e-59,1.7559805914329888e-63,1.371400447762282e-63,3.76,0.0,0.552990059623311,0.9999999999999989,2.858472286974709e-25,2.5342685008274207e-46,1.1454766721485444e-15,8.416384296677412e-15,5.425368419450497e-32
2.047e-12,0.521651333132018,7.605832076444102e-20,2.619346738264474e-23,1.1665892411275477e-23,8.206903581079581e-24,0.0,0.0,2.292592061610301e-15,2.0706476337329094e-24,1.392669399467689e-23,1.6203045789414853e-23,1.5335043967605697e-32,4.331703090582528e-50,2.4985095362649566e-27,3.0059588979475977e-18,5.435313672634692e-25,7.044802508122198e-24,2.9803442079345555e-45,7.058793536967802e-63,2.9106362855444e-41,1.5499546118542613e-40,1.6842361722946176e-14,4.015826925143798e-43,5.344706755897695e-35,6.055027502100928e-48,6.283848660766978e-56,3.211893842182732e-43,1.7897116541160542e-54,5.614271689920945e-56,7.1160881113921854e-40,1.762795718666496e-57,2.2545089297614617e-61,1.7631775274303962e-61,3.76,0.0,0.5529900596233015,0.9999999999999978,2.289630967514133e-24,8.126067572943231e-45,2.292668097012876e-15,1.6845367719564697e-14,4.345643574448938e-31
4.095e-12,0.5216513331320196,1.5234201822010297e-19,9.475560083506142e-23,9.325799575654091e-23,6.519621370542069e-23,0.0,0.0,4.5868988119718634e-15,8.28723725136741e-24,1.1146910007926987e-22,1.2968899391191298e-22,1.2307219538713948e-31,6.943608072895942e-49,9.99780750993789e-27,1.2028571733012554e-17,4.350359266372159e-24,5.638651902827025e-23,9.543677619247588e-44,5.228745107832873e-61,1.0803257113348123e-39,5.7526531492538645e-39,3.36913056917007e-14,1.2859921799187238e-41,8.556079355959549e-34,5.127682472003195e-46,5.313865689775514e-54,1.0297730721393419e-41,4.0172154968813065e-52,1.2601875902097043e-53,1.1391925571291555e-38,3.9565200677281915e-55,4.264802024679333e-59,3.970410277617979e-59,3.76,0.0,0.5529900596232823,0.9999999999999954,1.8326740250247978e-23,2.602670002935752e-43,4.587050952892636e-15,3.3703334565338667e-14,3.4782481663925194e-30
8.191e-12,0.5216513331320228,3.060841982673678e-19,5.280806273485343e-22,7.456080481101802e-22,5.1961440842380545e-22,0.0,0.0,9.175512295915987e-15,3.315824320127188e-23,8.917664508603508e-22,1.0375278326833281e-21,9.898835173933595e-31,1.1155808494743448e-47,3.9987744999825895e-26,4.811170358461533e-17,3.480316878483507e-23,4.510990573100762e-22,3.0535717650335904e-42,3.3673130442260413e-59,3.4716784506366766e-38,1.848492210650337e-37,6.737115413806309e-14,4.114894514087873e-40,1.3690189796570299e-32,3.2941169478124376e-44,3.413496278151255e-52,3.301416564826483e-40,5.159386362975368e-50,1.618480746224152e-51,1.8227706654558124e-37,5.080515120511825e-53,5.484193847850504e-57,5.126569940896855e-57,3.76,0.0,0.552990059623244,0.9999999999999909,1.4662512753049338e-22,8.330355862753279e-42,9.175816700692477e-15,6.741926825688422e-14,2.782641126866376e-29
1e-11,0.5216513331320295,3.7605538491674843e-19,1.2422150730396625e-21,1.8971166712225234e-21,1.3206790936711053e-21,0.0,0.0,1.1202075218713175e-14,5.512887429064052e-23,2.269513761200227e-21,2.640471270958149e-21,2.5379030201460668e-30,4.873079618881921e-47,6.645765431173282e-26,7.996211342787113e-17,8.857261221004166e-23,1.1480309868786056e-21,2.3934208265299e-41,5.017424920512147e-58,2.7216973845652006e-37,1.4489534244318919e-36,8.222995528195678e-14,3.225671111905333e-39,5.901566346533164e-32,4.907933399554573e-43,5.085361987340779e-51,2.596964652278989e-39,1.4972318996746705e-48,4.696749782709078e-50,7.857534222847075e-37,1.4738110905897745e-51,1.5914406468365716e-55,1.5031294809504732e-55,3.76,0.0,0.5529900596232271,0.9999999999999888,3.7318735938685067e-22,6.533587302543933e-41,1.1202446937741507e-14,8.230992354203982e-14,7.081722264621142e-29
1.6383e-11,0.5216513331320295,6.229465316182389e-19,3.762016160295864e-21,5.960178883121959e-21,4.1472108161329685e-21,0.0,0.0,1.8352739196720047e-14,1.3265155988679306e-22,7.13085211493125e-21,8.29640712861883e-21,8.000041486741162e-30,1.8131296669809806e-46,1.5985590259139109e-25,1.92345289784699e-16,2.7829641396962893e-22,3.607133533277678e-21,9.761088199730228e-41,2.153310615406634e-57,1.1100150701667616e-36,5.909305624592562e-36,1.346587710373318e-13,1.3155423206404747e-38,2.189451816674895e-31,2.106310423513673e-42,2.182446142949237e-50,1.0595378793886525e-38,6.598120558643548e-48,2.069800882235372e-49,2.9151008952989907e-36,6.494843103354977e-51,7.013281197112712e-55,6.625985488457061e-55,3.76,0.0,0.5529900596231674,0.9999999999999817,1.1726051183360642e-21,2.6647805989632092e-40,1.8353348431983604e-14,1.3485113563996577e-13,2.225089578716877e-28
3.2767e-11,0.5216513331320428,1.3315252218336863e-18,2.913672060466415e-20,4.7616999610676184e-20,3.310884123165451e-20,0.0,0.0,3.6707192730499804e-14,5.306433958235597e-22,5.69804568024516e-20,6.629405019027247e-20,6.527807737571466e-29,3.0844479491449815e-45,6.385300533222282e-25,7.684088002242941e-16,2.2237777660862086e-21,2.8823500109395756e-20,3.1157056607247445e-39,1.374635194912616e-55,3.543691399637741e-35,1.8859162610581336e-34,2.6894630728344133e-13,4.200248770756611e-37,3.499096418526397e-30,1.344800752868705e-40,1.3931670148676047e-48,3.4088575976378584e-37,8.426023717013043e-46,2.643191743012404e-47,4.658679757214793e-35,8.287937611211799e-49,8.95496273021199e-53,8.639917410926824e-53,3.76,0.0,0.5529900596230142,0.9999999999999634,9.372219022099098e-21,8.5180093438247e-39,3.670841357025373e-14,2.697148704060908e-13,1.7780009819007947e-27
4.9151e-11,0.5216513331320559,2.1522117274891727e-18,8.283383000793019e-20,1.3605231455511231e-19,9.458374390428586e-20,0.0,0.0,5.506164599721285e-14,1.1276404177643653e-21,1.6281540229545598e-19,1.8942797333005593e-19,1.887455551671518e-28,1.203860139039777e-44,1.3555281153356659e-24,1.6313971594704883e-15,6.354198307313225e-21,8.235998853624571e-20,1.4566888757715404e-38,7.352624060307758e-55,1.5657335501282801e-34,8.331533414556534e-34,4.029467670537844e-13,1.9639416016233563e-36,1.287159572157124e-29,6.671123927616031e-40,6.914697447313644e-48,1.5952860232767905e-36,4.34657238497976e-45,1.3634902078943487e-46,1.7137150883144222e-34,4.274124540881595e-48,5.0079252462430336e-52,4.465202241601662e-52,3.76,0.0,0.552990059622861,0.999999999999945,2.6783848860027824e-20,3.9831437596149456e-38,5.506348111781261e-14,4.045786051721782e-13,5.080442688501861e-27
6.5535e-11,0.5216513331320692,3.122171694182816e-18,1.7424684416269362e-19,2.8677963939017647e-19,1.993542438718191e-19,0.0,0.0,7.341609899787354e-14,1.9236426091585228e-21,3.4320612866359333e-19,3.993039999320169e-19,4.0211241068807273e-28,3.4284023538996526e-44,2.31023753202543e-24,2.780640337843802e-15,1.3394306030404324e-20,1.7361043513751741e-19,4.692784428274574e-38,2.775276504395806e-54,5.343352019936678e-34,2.8430509807119502e-33,5.366607700831931e-13,6.327567786754109e-36,3.262799366489572e-29,2.818438339896315e-39,2.9191585612939547e-47,5.165978200223674e-36,2.368309916375784e-44,7.429225247653755e-46,4.344218863049976e-34,2.328750799038298e-47,2.4463037062580112e-51,2.4583488609134036e-51,3.76,0.0,0.5529900596227078,0.9999999999999267,5.646610980136389e-20,1.284388959327796e-37,7.34185518089379e-14,5.394423399382281e-13,1.0709300486521322e-26
