Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156)
9.8303e-11,0.5216513331320958,5.5273721692133645e-18,4.746425532961706e-19,7.824076130741305e-19,5.438587860652391e-19,0.0,0.0,1.1012500437892008e-13,3.98269988940246e-21,9.364018235758843e-19,1.0894589649452089e-18,1.1164238821771132e-27,1.6453022054872143e-43,4.7756555308723436e-24,5.74887647399602e-15,3.6544947592466704e-20,4.736778123787976e-19,2.573962824270767e-37,1.9992643880760749e-53,3.274674282928785e-33,1.7420984646367545e-32,8.034183969078907e-13,3.471404757548178e-35,1.139997376646428e-28,2.530577865031882e-38,2.6174366728538633e-46,2.8727675330190274e-35,3.2798002334467396e-43,1.0288489204536302e-44,1.5181148633830315e-33,3.2242100420220956e-46,2.9087274223125853e-50,3.485559298319589e-50,3.76,0.0,0.5529900596224013,0.99999999999989,1.5409454010448823e-19,7.062483853904996e-37,1.1012870284934836e-13,8.091698094702412e-13,2.9219199971251547e-26
9.999999999999999e-11,0.5216513331321222,5.6752576077218795e-18,4.960934741271754e-19,8.178093019838069e-19,5.684661110535886e-19,0.0,0.0,1.1202609726128317e-13,4.109266082550617e-21,9.78773828595483e-19,1.1387567765992835e-18,1.1680909334285173e-27,1.7696118506427816e-43,4.927004979807426e-24,5.931114864266749e-15,3.819859924782474e-20,4.951116436309329e-19,2.780038586326987e-37,2.195413414555061e-53,3.551634017231722e-33,1.8894145490748828e-32,8.172047789834254e-13,3.749376236221841e-35,1.206451809226749e-28,2.78831722522958e-38,2.8839249047918184e-46,3.1049652478044045e-35,3.67532437875856e-43,1.1529216531629893e-44,1.6066269788877458e-33,3.6129220760169944e-46,3.2540080656437084e-50,3.9102075929884804e-50,3.76,0.0,0.5529900596223855,0.9999999999998881,1.610692354523216e-19,7.62891220450633e-37,1.1202986074987886e-13,8.23138544693499e-13,3.0541363231377806e-26
1.31071e-10,0.5216513331321222,8.788969476769932e-18,9.914469133501442e-19,1.6354389010111275e-18,1.136792378240101e-18,0.0,0.0,1.4683390879367267e-13,6.773570017082085e-21,1.957404138883141e-18,2.2773465764724167e-18,2.3695257219053597e-27,5.035406462895173e-43,8.110154156477686e-24,9.764228761689781e-15,7.639158964055964e-20,9.901506895256223e-19,8.243069046970932e-37,7.649124737354628e-53,1.0973385089428557e-32,5.836900244174252e-32,1.069127748939263e-12,1.1118636239743897e-34,2.8464338905449785e-28,9.966763449568922e-38,1.030563139268356e-45,9.274279245604936e-35,1.5059037952725467e-42,4.723899143139471e-44,3.79105884540074e-33,1.4799875506351872e-45,1.318472574476253e-49,1.6156775323171368e-49,3.76,0.0,0.5529900596220949,0.9999999999998532,3.221716302530849e-19,2.2651068675147196e-36,1.4683887155925416e-13,1.0788972790021212e-12,6.107824816067913e-26
1.6383900000000002e-10,0.5216513331321486,1.3214590005125965e-17,1.802413069256805e-18,2.9742652458849168e-18,2.0674240876122146e-18,0.0,0.0,1.8354281218552326e-13,1.0348525228204e-20,3.559929020489179e-18,4.141808023306858e-18,4.375728638633396e-27,1.2982872221020471e-42,1.2371746674974173e-23,1.4897045179813703e-14,1.389333014536266e-19,1.8007861062141043e-18,2.1488616018701483e-36,2.3219600468286958e-52,2.9595394286653755e-32,1.573990706676531e-31,1.3337180618851091e-12,2.898916434651342e-34,6.034474369795094e-28,3.136738232784862e-37,3.2423821210430367e-45,2.439162908510749e-34,5.551302987819573e-42,1.7413965889613844e-43,8.038250580007028e-33,5.454661075553566e-45,4.733375615046671e-49,6.0292416165207845e-49,3.76,0.0,0.5529900596217885,0.9999999999998165,5.860455112348449e-19,5.9145712422551163e-36,1.8354906412386076e-13,1.3486247485338622e-12,1.1108295105144314e-25
2.2937500000000002e-10,0.5216513331322017,2.7288476096499786e-17,4.744286846063334e-18,7.83151704874773e-18,5.4441626583768835e-18,0.0,0.0,2.56960615956963e-13,1.9899941825830227e-20,9.374421748217884e-18,1.0906693641069145e-17,1.1998888477762695e-26,7.544875429329043e-42,2.3707104973097093e-23,2.855534368813323e-14,3.658554144733675e-19,4.7420407494818536e-18,1.1933419874262297e-35,1.9815980293954977e-51,1.6485688583892165e-31,8.761569570330761e-31,1.8594989548732604e-12,1.6108223074190752e-33,2.2054070289914142e-27,2.5679596719210977e-36,2.653364920916808e-44,1.3875181917304051e-33,6.763353859941819e-41,2.1215805870252596e-42,2.938720137191073e-32,6.634243070369115e-44,5.957904685095709e-48,7.706236823861874e-48,3.76,0.0,0.5529900596211756,0.9999999999997431,1.5440504772677659e-18,3.299635171779482e-35,2.5696955577718213e-13,1.8880796875969603e-12,2.925166277738377e-25
3.60447e-10,0.5216513331323076,8.550827620827115e-17,1.8229071376386564e-17,3.009522589324537e-17,2.092674475073599e-17,0.0,0.0,4.037962126262836e-13,4.855004393810799e-20,3.603076297795871e-17,4.192007827304297e-17,5.030985121129354e-26,9.834765398798945e-41,5.7404000798327e-23,6.919134445454308e-14,1.406172164472034e-18,1.8226121231752564e-17,1.2493098424011379e-34,3.712692544617891e-50,1.697680125082232e-30,9.007782960652628e-30,2.8977006380742286e-12,1.6885304030186317e-32,1.390326598296404e-26,4.345743361460444e-35,4.487620884866556e-43,1.5187525727520613e-32,1.8678206341955814e-39,5.8589592091063e-41,1.853461191350105e-31,1.8250736997580236e-42,1.7609061289238685e-46,2.3251939225039495e-46,3.76,0.0,0.5529900596199498,0.9999999999995962,5.941690519123556e-18,3.4849693705985696e-34,4.0381115453123474e-13,2.9669895657220113e-12,1.124293056722601e-24
4.915190000000001e-10,0.5216513331324135,1.9635293291928301e-16,4.501648298102635e-17,7.431777420364766e-17,5.168957610547339e-17,0.0,0.0,5.506317967180255e-13,8.99407771961969e-20,8.898741296694879e-17,1.0353262069791812e-16,1.325734746576234e-25,4.9213838863968585e-40,1.0560864915714862e-22,1.2737575991800882e-13,3.472911159992574e-18,4.5014183722364257e-17,5.220264408759021e-34,1.970953684650339e-49,7.254879232927734e-30,3.846022125934313e-29,3.918282676691081e-12,7.06087652097679e-32,4.511100657167118e-26,2.3417728439268355e-34,2.4167527506518204e-42,6.55596817816358e-32,1.2406310332106792e-38,3.8915577374887196e-40,6.016036231629487e-31,1.2105086460351802e-41,1.1563842934400402e-45,1.6045514166224356e-45,3.76,0.0,0.552990059618724,0.9999999999994493,1.468866487307102e-17,1.4659468451815026e-33,5.50653836526794e-13,4.0458994438462e-12,2.7767363848145096e-24
6.225910000000001e-10,0.5216513331325195,3.769426800200038e-16,8.9435900449269e-17,1.4763981180169387e-16,1.0271128629559051e-16,0.0,0.0,6.974673715316859e-13,1.4406925439669837e-19,1.7680517637112463e-16,2.057044097830969e-16,2.7895242717962406e-25,1.7311835706608833e-39,1.680344603555842e-22,2.0279432476306257e-13,6.900175385241974e-18,8.943670190603964e-17,1.5498762748142193e-33,7.006379237427421e-49,2.1909642974277896e-29,1.1605885931190749e-28,4.921536150570218e-12,2.0978885352717616e-31,1.0976524323591925e-25,8.581764555904022e-34,8.850247766613644e-42,2.0114308354869864e-31,5.55303036862363e-38,1.7418363662472534e-39,1.4644432152356683e-30,5.412098474543585e-41,5.0135889344980815e-45,7.536228898806259e-45,3.76,0.0,0.5529900596174983,0.9999999999993021,2.9210621146104544e-17,4.3828231398319474e-33,6.974979668117728e-13,5.1248093219706666e-12,5.516975377532503e-24
7.536630000000002e-10,0.5216513331326255,6.446855682403185e-16,1.558902213897598e-16,2.5732023906578744e-16,1.790579846818188e-16,0.0,0.0,8.443029413270186e-13,2.109345081834454e-19,3.081908282121187e-16,3.585653639703733e-16,5.129092082467448e-25,4.920286429981387e-39,2.443921012515104e-22,2.951298868595332e-13,1.2027764850010212e-17,1.558979884917948e-16,3.7766733478099866e-33,1.9872990547452258e-48,5.390814628550793e-29,2.853409766480765e-28,5.907754631037075e-12,5.11591441295491e-31,2.2587242483412205e-25,2.5024746192647236e-33,2.578872866682303e-41,5.06543636741914e-31,1.938260698624738e-37,6.079753757603748e-39,3.0148605729018656e-30,1.886958671595439e-40,1.6978403379862102e-44,2.7668585676493843e-44,3.76,0.0,0.5529900596162725,0.9999999999991549,5.096253182955435e-17,1.0757640147419187e-32,8.44343925172169e-13,6.20371920009688e-12,9.616693615598555e-24
9.999999999999999e-10,0.5216513331328373,1.438688950660024e-15,3.5431806117829867e-16,5.847524850613221e-16,4.070901773142444e-16,0.0,0.0,1.1202660329091993e-12,3.710635864156265e-19,7.005162486333804e-16,8.150173225830311e-16,1.2786060406412924e-24,2.4429359439560654e-38,4.246828452769045e-22,5.13438700600916e-13,2.733905888528901e-17,3.543553699285318e-16,1.4420332349057573e-32,9.855507949199897e-48,2.074712455295805e-28,1.0964827959611971e-27,7.716088827149544e-12,1.956487123305492e-30,6.595184740421223e-25,1.2799036126341202e-32,1.316995450680738e-40,2.0635089819970947e-30,1.3464342438797291e-36,4.223286263460301e-38,8.81134277112892e-30,1.3072805928836268e-39,1.128931103908219e-43,2.135138949596672e-43,3.76,0.0,0.5529900596139687,0.9999999999988779,1.1602884571002325e-16,4.169927780320953e-32,1.12033272600929e-12,8.231424756198973e-12,2.18586976608867e-23
