Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38)
9.208e-13,0.5729208537928361,6.44174473942114e-19,3.490027247597686e-22,1.3950453713246136e-23,1.0360572792715412e-23,0.0,0.0,7.320572049604527e-15,7.568400402777354e-24,1.6499242031138106e-23,1.919608292631846e-23,8.462972816799635e-32,1.7459407922959996e-48,2.901600118997528e-26,8.418133438372035e-18,1.3055482958332725e-24,8.346122957601571e-24,1.9608375093298704e-44,8.551874262118319e-61,1.5407951160396627e-40,8.45981604558478e-40,1.1418561738786523e-13,1.0258629753030962e-42,1.301184296616169e-34,8.914678411525405e-48,9.50654421676797e-55,2.108428646593421e-42,5.365319278536002e-54,3.2898335318718075e-55,4.5886606525495525e-39,3.744424914871705e-57,1.357325346510396e-60,1.4124373406686052e-60,3.76,0.0,0.6368792382832857,0.9999999999999928,2.712542095646021e-24,2.7588959353360787e-44,7.321216209197834e-15,1.141940355666796e-13
1e-12,0.5729208537928483,6.995989252066449e-19,3.833560171718471e-22,2.2292841968306275e-23,1.632859954242439e-23,0.0,0.0,7.950230286420106e-15,9.521323622525015e-24,2.6432453258886313e-23,3.075290148152109e-23,1.356339822722811e-31,3.999442064762624e-48,3.650241028772367e-26,1.0590117771222305e-17,2.0914796470873544e-24,1.3370826646024036e-23,7.190546015432472e-44,5.52089403418212e-60,5.668920105259879e-40,3.1125072411463845e-39,1.2400552141540588e-13,3.761975890899152e-42,2.9797002729270966e-34,5.742988013742759e-47,6.123719036835308e-54,7.733807991580022e-42,6.419528467625428e-53,3.936236736403256e-54,1.0508477565676644e-38,4.480194869097935e-56,1.62642654658906e-59,1.6915021417127653e-59,3.76,0.0,0.6368792382832753,0.9999999999999921,4.345637601979881e-24,1.0117111980685352e-43,7.950929855713543e-15,1.2401611160586127e-13
1.8424000000000003e-12,0.5729208537928483,1.2891135432021112e-18,7.487501273730478e-22,1.1102551704485528e-22,7.980670224387479e-23,0.0,0.0,1.4647504259822214e-14,3.02933251416593e-23,1.3208569995402686e-22,1.5367542611413145e-22,6.781337759269487e-31,2.796850105372589e-47,1.1613057978195687e-25,3.3692132947902585e-17,1.0450931292244438e-23,6.681540224106324e-23,6.281562739852398e-43,5.514704613713905e-59,4.9577158626966053e-39,2.7220098103036027e-38,2.284535915265206e-13,3.286426781133006e-41,2.0833006566416116e-33,5.734552075856622e-46,6.114631539806698e-53,6.75673882973469e-41,6.89932189361079e-52,4.230429544879261e-53,7.347380291439238e-38,4.8150470158230766e-55,1.7481990128111708e-58,1.8180614295764746e-58,3.76,0.0,0.6368792382831642,0.9999999999999855,2.1715835260258273e-23,8.83817735539461e-43,1.4648793186835204e-14,2.284872840226121e-13
3.6856e-12,0.5729208537928726,2.5804000460073226e-18,1.9001244300602047e-21,8.858001102524595e-22,6.260733909597357e-22,0.0,0.0,2.9301368609374834e-14,1.2121275712811917e-22,1.05695006695728e-21,1.2297111040572244e-21,5.436434716621612e-30,4.47917292024653e-46,4.646012332784712e-25,1.347937023581336e-16,8.362551135348294e-23,5.346569986455866e-22,2.0107882394720172e-41,3.531660789611071e-57,1.5873391969730436e-37,8.714889351459886e-37,4.569389843266152e-13,1.0520578321755792e-39,3.3340782251719463e-32,3.671984159959066e-44,3.9151460740184824e-51,2.164634558986353e-39,8.835235324408976e-50,5.417458520872473e-51,1.1759135939970549e-36,6.165616823964355e-53,2.2388213350583764e-56,2.332556899864302e-56,3.76,0.0,0.6368792382829209,0.9999999999999708,1.7377675878528726e-22,2.829500967269222e-41,2.9303947247185325e-14,4.570737809343816e-13
7.372e-12,0.5729208537929211,5.17415792294092e-18,7.013389008371225e-21,7.075353985471722e-21,4.95813734794729e-21,0.0,0.0,5.860909702496166e-14,4.849299389424451e-22,8.455015272929356e-21,9.837007907078327e-21,4.3648562653669105e-29,7.182298064644084e-45,1.8581287615203997e-24,5.391128877774323e-16,6.689463380180493e-22,4.276959938180604e-21,6.432974829863395e-40,2.2598054248583116e-55,5.078596822995062e-36,2.788072385078129e-35,9.137076386299733e-13,3.3660391581170765e-38,5.334113975395761e-31,2.3496627874716076e-42,2.5051221426493607e-49,6.936651353446593e-38,1.1307205027735026e-47,6.933165543712748e-49,1.8813782281611218e-35,7.888960369250448e-51,2.8651153241494314e-54,2.9961703227612666e-54,3.76,0.0,0.6368792382824344,0.9999999999999415,1.3902233798277414e-21,9.054729240971033e-40,5.861425600786172e-14,9.142467747575386e-13
1e-11,0.5729208537929696,7.035152775852176e-18,1.3661872616202354e-20,1.6446940207459828e-20,1.1503104740258919e-20,0.0,0.0,7.950230165037553e-14,8.738798470001859e-22,1.9660675608030705e-20,2.2874260444385315e-20,1.016846460601371e-28,2.159841546527494e-44,3.347880654846309e-24,9.713648801825136e-16,1.5555130204365107e-21,9.945330582318613e-21,2.3299734022657208e-39,9.269899900668212e-55,1.7462713257247542e-35,9.58649269081777e-35,1.2391896971376674e-12,1.2191870280810222e-37,1.5526527692000885e-30,8.986647195222421e-42,9.589100198906016e-49,2.5128665576150034e-37,4.483577358966124e-47,2.749163428350841e-48,5.476383729093643e-35,3.127906169030834e-50,1.2468891533322785e-53,1.1884162200371503e-53,3.76,0.0,0.6368792382820876,0.9999999999999206,3.2328475879355856e-21,3.279653619206748e-39,7.950930095204884e-14,1.2401611160569777e-12
1.10584e-11,0.5729208537929696,7.784649333052053e-18,1.633948108291791e-20,2.0221250274945456e-20,1.413902311469676e-20,0.0,0.0,8.791682515704906e-14,1.0305254264097419e-21,2.4173640181345502e-20,2.812487995941033e-20,1.2505808239096124e-28,2.7404358637583816e-44,3.947862924213183e-24,1.1454499291785328e-15,1.912568643218741e-21,1.22282086225605e-20,3.009264799893308e-39,1.2093143429282067e-54,2.245028891706978e-35,1.2324486622170452e-34,1.3702742522078897e-12,1.5746383089127741e-37,1.9631417599784324e-30,1.1659624477248095e-41,1.244209958046692e-48,3.2455312400088147e-37,5.833906010638224e-47,3.577134635131654e-48,6.924235259606195e-35,4.0699184688104274e-50,1.6336713732633702e-53,1.5463709614093987e-53,3.76,0.0,0.6368792382819479,0.9999999999999122,3.9749455566803896e-21,4.235830501894743e-39,8.792456562820094e-14,1.3714197685803136e-12
1.47448e-11,0.5729208537930183,1.041742018711217e-17,3.128002602724031e-20,4.263865813731132e-20,2.977728062433647e-20,0.0,0.0,1.1722455300566237e-13,1.7579992073417315e-21,5.0983701194137335e-20,5.931711009228024e-20,2.6425832386230345e-28,7.389277361185721e-44,6.733424311573161e-24,1.953706680273313e-15,4.0337156887992165e-21,2.579004776036069e-20,9.705679318900941e-39,4.56885731691633e-54,7.670174442731553e-35,4.210600033035062e-34,1.826638915591125e-12,5.078785887387485e-37,4.9785056285253665e-30,4.931424608710989e-41,5.25662403831176e-48,1.0479232573320753e-36,3.1820048764192222e-46,1.9510870312838927e-47,1.7560198894004853e-34,2.2198509291470367e-49,7.780873057278506e-53,8.45005970084766e-53,3.76,0.0,0.6368792382814614,0.9999999999998829,8.383737495046965e-21,1.3664286522245604e-38,1.1723487632790166e-13,1.828592762402707e-12
2.21176e-11,0.5729208537931153,1.5752443253847968e-17,7.868310505750072e-20,1.1641031674259444e-19,8.119573622419675e-20,0.0,0.0,1.758400080376964e-13,3.639803950769644e-21,1.3922484189460842e-19,1.6198147801710983e-19,7.239173679948465e-28,3.0109760380397034e-43,1.3936434729923737e-23,4.043809098493737e-15,1.1015128850856392e-20,7.042672933405066e-20,5.338817625482165e-38,3.2991321279315995e-53,4.713309296130607e-34,2.5873177470094017e-33,2.738894558285987e-12,2.793886402063219e-36,1.7407183162831607e-29,4.439331055364899e-40,4.722999636525353e-47,5.781343297611041e-36,4.4169876694624035e-45,2.7083301058244156e-46,6.140350300130913e-34,3.081181444550756e-48,8.880571599014282e-52,1.177962688191566e-51,3.76,0.0,0.6368792382804884,0.9999999999998243,2.289558044988878e-20,7.520196111710342e-38,1.7585550094206011e-13,2.7429387500465965e-12
2.9490400000000004e-11,0.5729208537932123,2.1215426334865675e-17,1.58366024595389e-19,2.4349203135479306e-19,1.69711888602886e-19,0.0,0.0,2.3445546202759843e-13,6.1904399462098076e-21,2.9125157094977593e-19,3.3885734251931513e-19,1.518646455671524e-27,8.205902900170775e-43,2.3695100797119952e-23,6.875627636987812e-15,2.3043078325893985e-20,1.47329278950688e-19,1.7126562837121838e-37,1.2638953624094652e-52,1.581725001987125e-33,8.682416773125479e-33,3.650408309547125e-12,8.962971343996139e-36,4.348956624238724e-29,1.7505807308525078e-39,1.861775471765379e-46,1.8578348971004899e-35,2.0299730741036736e-44,1.2447016744719782e-45,1.5341771985916306e-33,1.415943792663369e-47,4.0132510173552446e-51,5.423148439794795e-51,3.76,0.0,0.6368792382795154,0.9999999999997656,4.789923575454314e-20,2.413160891954531e-37,2.3447613135064806e-13,3.657284737689081e-12
3.68632e-11,0.5729208537933093,2.6852517587820292e-17,2.8198781247305427e-19,4.431404594285607e-19,3.0871078010900965e-19,0.0,0.0,2.93070914901243e-13,9.457680773060724e-21,5.301108266740236e-19,6.16758719553106e-19,2.771970843106446e-27,1.8579850878897442e-42,3.618943727320997e-23,1.0501486985701775e-14,4.194096862543981e-20,2.6815596445829577e-19,4.473021005977209e-37,3.841671508915013e-52,4.27287954367066e-33,2.3453949716426224e-32,4.561127781341689e-12,2.34100559222739e-35,9.22540233298884e-29,5.51748687774734e-39,5.866015231092832e-46,4.861514776536367e-35,7.492444743523605e-44,4.5940765658790376e-45,3.25463950314959e-33,5.225794940081155e-47,1.4302878282523874e-50,2.006156189611364e-50,3.76,0.0,0.6368792382785424,0.999999999999707,8.718721387972873e-20,6.304687112122465e-37,2.9309676943632387e-13,4.571630725330063e-12
5.16088e-11,0.5729208537935035,3.89103633044309e-17,7.270951883650851e-19,1.1692213875449265e-18,8.139719904984354e-19,0.0,0.0,4.103018172326972e-13,1.8186989319865274e-20,1.3988967331594765e-18,1.627549777345548e-18,7.371535621531023e-27,7.426338888793346e-42,6.953982638289009e-23,2.0180772461777997e-14,1.1067685900805466e-19,7.076303377346436e-19,2.4984925009123913e-36,3.29554187832183e-51,2.39266998838628e-32,1.3131360350626375e-31,6.380138083322389e-12,1.3078483949342425e-34,3.378187778812637e-28,4.540863808800693e-38,4.8275803498693635e-45,2.7298926018395386e-34,9.173597356777224e-43,5.62485942868805e-44,1.1919861950450116e-32,6.394951501676927e-46,1.8291950174467735e-49,2.478667040934893e-49,3.76,0.0,0.6368792382765965,0.9999999999995898,2.301135889764845e-19,3.524906798228854e-36,4.1033807907681796e-13,6.400322700607422e-12
6.63544e-11,0.5729208537936975,5.2232693235884886e-17,1.4915260647489113e-18,2.4226815202007294e-18,1.685968971962458e-18,0.0,0.0,5.275327150382677e-13,2.9826808678799276e-20,2.8988387774971585e-18,3.3726609656006035e-18,1.5381654512533098e-26,2.0370777704890263e-41,1.1396308483508535e-22,3.307521168668994e-14,2.2934796640563947e-19,1.4663743347083705e-18,8.250043265714807e-36,1.3596182333813316e-50,7.989496454866411e-32,4.384296464381241e-31,8.195931496855969e-12,4.319056471593081e-34,8.768300561479145e-28,1.8656650170606337e-37,1.9832816570428948e-44,9.050279584640293e-34,4.570072534756023e-42,2.8021653713304033e-43,3.09425859855647e-32,3.184973681962346e-45,9.140328799387296e-49,1.2407827944505596e-48,3.76,0.0,0.6368792382746506,0.9999999999994725,4.769187337381875e-19,1.1647574623259407e-35,5.275794420765551e-13,8.229014675878682e-12
9.58456e-11,0.572920853794086,8.448751607108859e-17,4.43754433458478e-18,7.270032809343348e-18,5.057380580727995e-18,0.0,0.0,7.619944971144319e-13,6.183674883200926e-20,8.700005996663878e-18,1.0122042954780308e-17,4.691422204702036e-26,1.0084575644739578e-40,2.3589916288946136e-22,6.847601403106554e-14,6.883193891253974e-19,4.400888263276804e-18,5.508325938784204e-35,1.4143552657967226e-49,5.285676616190426e-31,2.8996243895169855e-30,1.1817898700879348e-11,2.8847494580911698e-33,3.882243868857062e-27,1.859148264157979e-36,1.9763781379586144e-43,6.1031946698345916e-33,6.941816332624754e-41,4.2563626873235946e-42,1.3703870127842727e-31,4.832925778599682e-44,1.437805747190905e-47,1.9182628983632706e-47,3.76,0.0,0.6368792382707588,0.999999999999238,1.4318252409334434e-18,7.790747425524075e-35,7.620624007339973e-13,1.1886398626402968e-11
9.999999999999999e-11,0.5729208537948625,8.994313582550773e-17,5.082954255762897e-18,8.333358178584035e-18,5.796914678429424e-18,0.0,0.0,7.950229254261853e-13,6.7281337041058e-20,9.972686532785014e-18,1.1602746193230092e-17,5.39904131332068e-26,1.30969433774605e-40,2.56600170971039e-22,7.44872213863165e-14,7.890101331341572e-19,5.044672287926105e-18,7.594329143853256e-35,2.332923345783831e-49,7.242505430626677e-31,3.972391128887537e-30,1.2327096529688928e-11,3.977981102325182e-33,4.805584584815761e-27,2.9786177164119543e-36,3.166556828042379e-43,8.455503474636804e-33,1.3795626834808249e-40,8.458652896403351e-42,1.6964574285259243e-31,9.593633914818265e-44,2.959673666546953e-47,3.876642053925746e-47,3.76,0.0,0.6368792382702105,0.9999999999992051,1.6414204729500553e-18,1.0750651338577788e-34,7.950938510411976e-13,1.2401611160447054e-11
1.54828e-10,0.5729208537948625,1.8304204167297175e-16,1.8931492097803812e-17,3.1169531048267394e-17,2.167890015148651e-17,0.0,0.0,1.2309180075541302e-12,1.6077753640953366e-19,3.73068530068892e-17,4.3404748085250786e-17,2.083244023678578e-25,9.631903630250434e-40,6.113339911369248e-22,1.7751939593897515e-13,2.9516086664278416e-18,1.8871629854550228e-17,6.812263852395382e-34,3.1541309620885177e-48,6.371817879275007e-30,3.492844075393025e-29,1.9023544595989024e-11,3.570481076174594e-32,2.8558762274239995e-26,3.8201750408147603e-35,4.061507221448573e-42,7.69816901865161e-32,2.4168409431669125e-39,1.481840196350709e-40,1.0085930838405414e-30,1.6785397727780824e-42,5.386644702704307e-46,6.918403967312487e-46,3.76,0.0,0.636879238262975,0.9999999999987691,6.1445821487096545e-18,9.669945134905143e-34,1.2310297154414927e-12,1.9201166527379187e-11
2.138104e-10,0.572920853795639,3.42246520538e-16,4.875149654907065e-17,8.037563204045226e-17,5.590317869291984e-17,0.0,0.0,1.699841447131037e-12,3.062792269568749e-19,9.621201083457146e-17,1.1193809598799496e-16,5.515461902667394e-25,4.144808628765137e-39,1.1611397229183247e-21,3.3728104530804254e-13,7.612010216765342e-18,4.8668738351825055e-17,3.0099677436336135e-33,1.764804138454395e-47,2.88928888645522e-29,1.5832198329036909e-28,2.6178388950934775e-11,1.5783094405280907e-31,9.745978478166312e-26,2.1945304177495473e-34,2.3321358892874513e-41,3.451411186885453e-31,1.7139850018725042e-38,1.0508870520975853e-39,3.443292954183581e-30,1.189383024352808e-41,3.744937485089537e-45,4.9783543922895814e-45,3.76,0.0,0.6368792382551912,0.9999999999983,1.585590998800867e-17,4.284281870201269e-33,1.6999995106544083e-12,2.6515934428260003e-11
2.727928e-10,0.5729208537964154,5.832169608644311e-16,9.923595484450091e-17,1.63699537256e-16,1.1386542530675808e-16,0.0,0.0,2.168764817148062e-12,4.983416519861532e-19,1.959707826422422e-16,2.2800267957401114e-16,1.1507299848213963e-24,1.3174206597260456e-38,1.8838691936251077e-21,5.473863151854556e-13,1.550462860783329e-17,9.913160238416145e-17,9.268253781053574e-33,6.478815161915549e-47,9.060686211587034e-29,4.963207610220483e-28,3.3282777402283336e-11,4.862067960817848e-31,2.4400379862160227e-25,8.39673584229458e-34,8.918505806967263e-41,1.0789342479771899e-30,8.070844008971688e-38,4.948397628134904e-39,8.624426361298317e-30,5.596826732887075e-41,1.680539515854175e-44,2.3915448004092755e-44,3.76,0.0,0.6368792382474074,0.9999999999978308,3.2314335351485035e-17,1.323006871856836e-32,2.1689726456702007e-12,3.383070232904727e-11
3.317752e-10,0.572920853797192,9.276181208969398e-16,1.7586251994716222e-16,2.90180274461081e-16,2.0186354244543098e-16,0.0,0.0,2.637688119309858e-12,7.369647223647797e-19,3.47414367512807e-16,4.0420008352632774e-16,2.0876219163629175e-24,3.497843662717143e-38,2.7780373160221388e-21,8.074506653309405e-13,2.7486396872540223e-17,1.7573917235616374e-16,2.3212035595868176e-32,1.8753328945670588e-46,2.2912776089180042e-28,1.2546759728782362e-27,4.033706472161157e-11,1.2182489627178067e-30,5.11908688471745e-25,2.5284516245028838e-33,2.684205013478558e-40,2.744150038093673e-30,2.9267588503401557e-37,1.7944408744178268e-38,1.810193082869196e-29,2.0282196356261143e-40,5.831052667319998e-44,8.861967096848534e-44,3.76,0.0,0.6368792382396237,0.9999999999973616,5.73178186861255e-17,3.323346761283447e-32,2.637950009072102e-12,4.114547022974342e-11
4.4974e-10,0.5729208537987451,2.006142294216444e-15,4.2762776354235284e-16,7.057454620808897e-16,4.910762150408611e-16,0.0,0.0,3.5755345284395147e-12,1.353892596290848e-18,8.450756722385322e-16,9.832053283435693e-16,5.306918889881504e-24,1.7503513255326428e-37,5.07524155648501e-21,1.4760454569825316e-12,6.685989231709068e-17,4.274805962258564e-16,9.92936158276216e-32,1.0248677358828392e-45,9.871408403331599e-28,5.40158518456413e-27,5.42966379473205e-11,5.2165962450106014e-30,1.6264561882748644e-24,1.4765748758515854e-32,1.56601528541666e-39,1.2128394383918216e-29,2.3654672553962643e-36,1.450275228877766e-37,5.75721956125633e-29,1.636416357248859e-39,4.422131454184401e-43,7.517653423188632e-43,3.76,0.0,0.6368792382240562,0.9999999999964223,1.3957486682823485e-16,1.4309322460011181e-31,3.5759207189569597e-12,5.5775006030874354e-11
5.677048e-10,0.5729208538002983,3.748736812839096e-15,8.472711651312924e-16,1.3983608705145345e-15,9.732862022724126e-16,0.0,0.0,4.513380694699869e-12,2.1570624075242305e-18,1.6746746069161927e-15,1.9484042089285974e-15,1.0958013089869511e-23,6.028989602703955e-37,8.041025738040628e-21,2.34002741265614e-12,1.3249532889939126e-16,8.471323115218697e-16,2.9860209464314015e-31,3.6673973075838497e-45,2.9938803656198676e-27,1.6372436772963122e-26,6.805991170451334e-11,1.5700833378754006e-29,3.958463759605457e-24,5.467830717471556e-32,5.795200706042612e-39,3.748719073127115e-29,1.0629767659575758e-35,6.517055172438522e-37,1.402485202668329e-28,7.345080783045359e-39,1.928109428367591e-42,3.4874310775311195e-42,3.76,0.0,0.6368792382084886,0.9999999999954824,2.768845864003716e-16,4.327649628325792e-31,4.5139187777345286e-12,7.040454183168172e-11
