Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38)
0.0,0.5729208537928241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6368792382834072,1.0,0.0,0.0,0.0,0.0
1e-15,0.5729208537928241,6.995418587396099e-22,3.6978087982711394e-25,3.358519455403175e-31,1.4174368018170029e-30,0.0,0.0,7.950230301242283e-18,1.3383696272218453e-29,5.541838236586676e-32,6.447665059589832e-32,2.8399628875493997e-40,6.823232838699913e-60,5.131487492431855e-32,1.4887365859731968e-23,4.700913381595474e-33,2.8033326159431537e-32,1.503942452274987e-58,1.209258065089758e-77,1.0176526138261417e-54,5.5875767591052e-54,1.240160967185152e-16,7.868110978901186e-57,9.533009822924012e-46,1.135638371892668e-64,1.3008318097827426e-71,1.732865276736262e-56,1.502892524570174e-73,9.215238243732846e-75,3.13603193597625e-50,9.78461461411311e-77,3.871285182432017e-80,3.687257427529543e-80,3.76,0.0,0.6368792382834071,1.0,9.110833553515887e-33,2.2682487124414795e-58,7.950929843130692e-18,1.2401611160588129e-16
2.8e-15,0.5729208537928241,1.958717224449844e-21,1.0353876498037423e-24,2.298611328159619e-30,8.748923495659787e-30,0.0,0.0,2.2260644843410788e-17,8.083752548278e-29,6.5792695875085235e-31,7.654667066415221e-31,3.371609149966532e-39,2.1453331290016222e-58,3.099418002912948e-31,8.991967834639746e-23,5.396410304372298e-32,3.328116093679459e-31,9.149214502678683e-57,1.0519111091153618e-75,4.861447931780509e-53,2.669251986117374e-52,3.4724502257678696e-16,4.78655532998914e-55,2.0651444568395107e-44,8.763093211320428e-63,9.817254279747828e-70,1.0199065360705436e-54,1.541987134438927e-71,9.454953408034329e-73,7.015177243122817e-49,1.0232701813501463e-74,4.960696048821992e-78,3.856119733155411e-78,3.76,0.0,0.6368792382834069,1.0,1.0816380703171482e-31,1.3350151051638144e-56,2.2262603560813824e-17,3.4724511249646745e-16
6.4e-15,0.5729208537928241,4.477068040961342e-21,2.3666072428303315e-24,1.3817557168018748e-29,4.4033139711697236e-29,0.0,0.0,5.088147392747741e-17,3.891978875748205e-28,6.459564270967724e-30,7.515395627236075e-30,3.3102768923137936e-38,4.786118086657827e-57,1.4922358990254952e-30,4.329244275052918e-22,5.202612573381806e-31,3.2675632944420305e-30,4.130390840487552e-55,1.093381325052722e-73,2.531344756652848e-51,1.389873271147396e-50,7.937026813531927e-16,2.160879034168965e-53,4.0046619985894086e-43,9.550443562053625e-61,1.0438418563497278e-67,4.5206145474551595e-53,3.3308302813476867e-69,2.0423545913120504e-70,1.3860804741825476e-47,2.2684600833383157e-72,1.0626362181825889e-75,8.548554227375802e-76,3.76,0.0,0.6368792382834064,1.0,1.0619584826134716e-30,5.9172897646325e-55,5.088595099637184e-17,7.937031142776395e-16
1.36e-14,0.5729208537928243,9.513770055750676e-21,5.029081104543133e-24,8.451332852673979e-29,2.090932608590137e-28,0.0,0.0,1.0812313209452902e-16,1.6997294263517217e-27,5.713408555438493e-29,6.64727896077153e-29,2.927922054761279e-37,8.963861577579683e-56,6.51698225639695e-30,1.8906936899977524e-21,4.5604538538521396e-30,2.890121268061152e-29,1.5595555347965655e-53,8.752167633430896e-72,1.0101923577111253e-49,5.5466137201299136e-49,1.6866172271461285e-15,8.15906170497625e-52,7.059150228173723e-42,7.812849055246239e-59,8.441329599551705e-66,1.6913335634558824e-51,5.4884171621001196e-67,3.3653152470152433e-68,2.466454952543453e-46,3.785306705764675e-70,1.7330342371342436e-73,1.4264788174770115e-73,3.76,0.0,0.6368792382834054,0.9999999999999999,9.392899156264108e-30,2.2138782694201134e-53,1.0813264586825654e-16,1.686619117839982e-15
2.8e-14,0.5729208537928243,1.9587175943611828e-20,1.0354251237377576e-23,5.5480948843287175e-28,1.0132338243228495e-27,0.0,0.0,2.226064484243059e-16,7.09603576155002e-27,4.80245928777935e-28,5.5874328387088125e-28,2.4611279325813295e-36,1.5482814588251703e-54,2.720708495400992e-29,7.893265411151048e-21,3.8163328850030707e-29,2.429318609368751e-28,5.410812538602754e-52,6.231103907432391e-70,3.5903755683815306e-48,1.9713493706933183e-47,3.4724432316979027e-15,2.830753115624036e-50,1.1850311936558797e-40,5.622954452374174e-57,6.041572168015297e-64,5.841346639876457e-50,7.93884677826789e-65,4.867837308326523e-66,4.16003275429616e-45,5.508779036508018e-68,2.4919041764107357e-71,2.075989070966164e-71,3.76,0.0,0.6368792382834035,0.9999999999999998,7.895292053910331e-29,7.646024344528269e-52,2.2262603561511375e-16,3.4724511249646614e-15
5.68e-14,0.5729208537928248,3.973399780219092e-20,2.1006150792283805e-23,3.9172007036529906e-27,5.2860219998999434e-27,0.0,0.0,4.515730810665539e-16,2.898962145671029e-26,3.937338303655323e-27,4.580905743632359e-27,2.0178355321885285e-35,2.572483921825185e-53,1.1114954902743925e-28,3.2246494754054077e-20,3.121954136215428e-28,1.991698136171894e-27,1.802019761189211e-50,4.200950616120918e-68,1.2093331353931374e-46,6.6400205351662195e-46,7.0440828927083095e-15,9.42756035329432e-49,1.941839503197505e-39,3.8114083933519365e-55,4.08398564404671e-62,1.9410076927337155e-48,1.0790996042984166e-62,6.616680418840553e-64,6.832853058082491e-44,7.510266648005886e-66,3.376713173936793e-69,2.830322894040809e-69,3.76,0.0,0.6368792382833998,0.9999999999999996,6.473028171208732e-28,2.540659181881609e-50,4.516128151212839e-16,7.044115139213998e-15
1.144e-13,0.5729208537928255,8.002770304842669e-20,4.232154423089039e-23,2.9178552351390976e-26,3.0636988393851007e-26,0.0,0.0,9.095063462818281e-16,1.1718068489957112e-25,3.1885457272320953e-26,3.70972121500218e-26,1.6341832485057118e-34,4.1937700100327714e-52,4.492820618714665e-28,1.3034492197227626e-19,2.5254495645376803e-27,1.612922256696263e-26,5.882048734473982e-49,2.7586746330141525e-66,3.969124619011007e-45,2.1793034543598738e-44,1.4187312822702518e-14,3.0772935208113976e-47,3.1440948308903054e-38,2.509585013358994e-53,2.685420883846436e-60,6.328665994481887e-47,1.4229894638227396e-60,8.72529846870969e-62,1.1076306352748716e-42,9.918266982112896e-64,4.4458578743212686e-67,3.7379910532843786e-67,3.76,0.0,0.6368792382833922,0.9999999999999991,5.242011026350654e-27,8.283697727122898e-49,9.095863741842852e-16,1.4187443167712577e-14
2.296e-13,0.5729208537928271,1.606155292357832e-19,8.504156514251012e-23,2.246414051762868e-25,1.9773866793116877e-25,0.0,0.0,1.825372876435486e-15,4.711783796233381e-25,2.566398210851708e-25,2.9858821868624913e-25,1.3154740552849766e-33,6.772865034329938e-51,1.8065258263921403e-27,5.241066500209777e-19,2.0315693134936292e-26,1.2982096378864137e-25,1.9009481371276285e-47,1.7882627989868962e-64,1.2862004057279547e-43,7.062047267532842e-43,2.847357511735217e-14,9.945156827913968e-46,5.060452562960441e-37,1.6289704650137074e-51,1.741929260003325e-58,2.0442068941206898e-45,1.848603314564448e-58,1.1335020196094126e-59,1.7837911733449166e-41,1.289418753547107e-61,5.771069629848093e-65,4.860043022925391e-65,3.76,0.0,0.636879238283377,0.9999999999999982,4.219202354006442e-26,2.675609593018142e-47,1.825533492519634e-15,2.847409922470936e-14
4.600000000000001e-13,0.5729208537928301,3.217942009765833e-19,1.7118138636905692e-22,1.76166082793064e-24,1.3909551756295919e-24,0.0,0.0,3.6571059356352436e-15,1.88963603744613e-24,2.0593395772468128e-24,2.3959435969056956e-24,1.0558116964285034e-32,1.088694792282775e-49,7.244835513821167e-27,2.101865597105738e-18,1.629732954209161e-25,1.0417146005227735e-24,6.112981841451376e-46,1.1517794299011864e-62,4.141654124302098e-42,2.2740175696611328e-41,5.70453094674371e-14,3.1981335900167233e-44,8.120628764236678e-36,1.0498851094061183e-49,1.1223084536523507e-56,6.572325064105363e-44,2.383713282661286e-56,1.4616133940806693e-57,2.863335520894575e-40,1.6632486666243287e-59,7.438661631850051e-63,6.270333511755753e-63,3.76,0.0,0.6368792382833466,0.9999999999999964,3.385605392538828e-25,8.601785136427924e-46,3.657427730081345e-15,5.704741133870143e-14
