Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564)
0.0,0.4630434845653698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0561883297593894e-20,0.4630434845653697,7.213347990190706e-31,2.094654200665654e-35,1.296135390956835e-39,6.855779737456294e-27,0.0,0.0,2.491879475501111e-25,3.943271512529235e-43,1.8848918453043872e-50,2.1936764683259234e-50,6.334739419041114e-61,5.056669161625548e-75,1.3943365453875375e-47,4.304918711346869e-37,1.1161986090087586e-30,7.518997364585042e-48,1.6085982917051814e-91,3.3566728292768513e-97,9.127478216899229e-67,1.7416363671446596e-86,2.8184765348403983e-25,8.18704339063012e-82,1.5031988130364999e-49,3.163789630150464e-91,9.291033473009212e-75,1.2876608797391881e-67,3.8594036191055965e-73,2.171857865604997e-75,4.24102897531266e-65,1.8750632932083376e-97,2.0707883643216373e-88,5.112347456795536e-104,3.76,0.0,0.7671343263362771,0.9999999999999997,3.165703220616514e-51,2.6110696356100216e-46,2.4918866888490794e-25,2.8184765348447036e-25,1.1548637358909691e-55,4.933358750367743e-54,3.1253523301711317e-43,6.85577973745624e-27,1.2966351601117146e-39,7.703821364501994e-40,2.1562656559482654e-46,2.3632100444530645e-45,5.321061862521845e-41,1.1161986090076235e-30,1.4376575502882914e-42,2.7944060269339158e-43,3.7749172175249905e-16,4.7253381912820154e-68,7.025289231678548e-64,1.7039742119462807e-67,3.1150877952500378e-81
2.9573273233262906e-20,0.4630434845653697,2.0197374374258483e-30,5.865032390094138e-35,7.828657761470677e-39,1.9196183264877624e-26,0.0,0.0,6.9772625314031065e-25,2.381735993567657e-42,2.2377435987396756e-49,2.6043327042635372e-49,7.520602638573127e-60,6.0032776286667416e-74,8.421792734126442e-47,2.6001709016462868e-36,3.1253561052245233e-30,4.547035047173005e-47,9.785888404380265e-90,7.508742852178626e-96,1.0836142139102689e-65,8.305693261945042e-85,7.891734297539167e-25,2.574137688527383e-80,9.079320830740068e-49,9.947461289982942e-90,1.103031493915539e-73,1.9459131214762313e-66,5.832330749192372e-72,3.282111680371414e-74,5.034949599495693e-64,1.1406925043355358e-95,4.632270803270357e-87,3.1100904406415525e-102,3.76,0.0,0.7671343263362771,0.999999999999999,3.7583228635074157e-50,1.577086059908453e-45,6.977282728777352e-25,7.891734297565169e-25,1.37105422787036e-54,5.856883508357623e-53,1.8877158769759752e-42,1.9196183264877294e-26,7.831676367074699e-39,4.653108104159122e-39,1.3023844564584547e-45,1.427378866819079e-44,3.2139213649631176e-40,3.1253561052176664e-30,8.683451603728043e-42,1.6878212402680725e-42,1.0569768208712326e-15,6.91460064356078e-67,8.340423375848768e-63,2.023282733105438e-66,9.794334442164542e-80
6.759605310460092e-20,0.4630434845653698,4.616542714929204e-30,1.3405791281872387e-34,3.769161717039568e-38,4.387699031972028e-26,0.0,0.0,1.5948028643207082e-24,1.1467033558434998e-41,2.1970299348691453e-48,2.5569492947884002e-48,7.38377226772563e-59,5.894053574743896e-73,4.0547306739655354e-46,1.251870361248837e-35,7.143671097656049e-30,2.1948653920667452e-46,4.41781780093678e-88,1.483601054451247e-94,1.0638988609617502e-64,4.3206714417733946e-83,1.8038249822880917e-24,5.742760779587098e-79,4.3713021483095524e-48,2.2192243142442588e-88,1.0829628616135977e-72,2.093324539021826e-65,6.274155275507577e-71,3.530746138724911e-73,4.943343373638393e-63,5.149631226930101e-94,9.152586559293666e-86,1.4040434904477988e-100,3.76,0.0,0.7671343263362771,0.9999999999999977,3.689943673924229e-49,7.592990500353936e-45,1.5948074808633617e-24,1.80382498230061e-24,1.3461091724783784e-53,5.75032295918386e-52,9.088570619426816e-42,4.387699031971869e-26,3.77061504560478e-38,2.240271252797056e-38,6.27042053148309e-45,6.872214808810925e-44,1.547364789621237e-39,7.143671097623036e-30,4.1807081562184954e-41,8.126132726323633e-42,2.4159470189656415e-15,7.360499961170964e-66,8.18867712844451e-62,1.9866132637308427e-65,2.185062135358867e-78
1.4364161284727697e-19,0.4630434845653698,9.810153272695122e-30,2.848731911711433e-34,1.6460919466568423e-37,9.32386044294056e-26,0.0,0.0,3.388956086681498e-24,5.007954820912112e-41,1.9432480967979507e-47,2.261592698731473e-47,6.530862953326373e-58,5.213223638771104e-72,1.770807412620035e-45,5.467246763298588e-35,1.5180301082519087e-29,9.635316556958012e-46,1.6680839424881283e-86,2.6399888078947895e-93,9.410064942493928e-64,1.7237133836704254e-81,3.833128087334124e-24,1.0755559889430829e-77,1.9090624925557463e-47,4.156363102721304e-87,9.578683869326094e-72,1.9241258994791364e-64,5.7670296399570995e-70,3.24536429810325e-72,4.372331232417647e-62,1.9444027677123366e-92,1.6286538807541625e-84,5.301401069313419e-99,3.76,0.0,0.7671343263362771,0.999999999999995,3.263713392271403e-48,3.316058437224721e-44,3.388965896834502e-24,3.833128087388797e-24,1.1906183211942696e-52,5.086095536765089e-51,3.9692450373828015e-41,9.323860442939864e-26,1.6467266533417893e-37,9.783853132916258e-38,2.738457387172684e-44,3.0012767559815205e-43,6.757748565401547e-39,1.518030108237491e-29,1.8258250888456131e-40,3.5488956542058706e-41,5.1338874145822255e-15,6.737330027721269e-65,7.242792186291311e-61,1.7571935496501904e-64,4.0923795535356025e-77
2.957327323326291e-19,0.4630434845653698,2.0197374399263774e-29,5.865041499434287e-34,6.872109844128097e-37,1.9196183264877623e-25,0.0,0.0,6.977262531403061e-24,2.0907225559429873e-40,1.633417114804018e-46,1.9010049412301043e-46,5.489583828106206e-57,4.3820285885796336e-71,7.392772363445483e-45,2.2824679006553674e-34,3.125356105224511e-29,4.064143316242784e-45,5.787358099325015e-85,4.4527269933873156e-92,7.909726583112492e-63,6.1255155196170624e-80,7.891734297336922e-24,1.8577570590977902e-76,7.969960106714047e-47,7.1790890926053e-86,8.051460951160637e-71,1.6461302169164638e-63,4.933815273821151e-69,2.7764780017411654e-71,3.6752078535955165e-61,6.746036467044112e-91,2.746962822698027e-83,1.8393023064252082e-97,3.76,0.0,0.7671343263362771,0.9999999999999896,2.743347759634233e-47,1.384389120800428e-43,6.977282728776336e-24,7.891734297565171e-24,1.0007864430332642e-51,4.2751697583960635e-50,1.657104625715644e-40,1.9196183264874714e-25,6.874759618911517e-37,4.0845660874578115e-37,1.143252054490318e-43,1.25297396514253e-42,2.8212269995080044e-38,3.1253561051643193e-29,7.622460331443873e-40,1.48159407548018e-40,1.0569768203526458e-14,5.7531583702496925e-64,6.088003243544918e-60,1.477049687680909e-63,7.068567974159753e-76
5.9991497130333325e-19,0.4630434845653698,4.0971816696548387e-29,1.189767675758013e-33,2.8074811033076105e-36,3.894082890875175e-25,0.0,0.0,1.4153875420846103e-23,8.541283826998717e-40,1.3391740375625168e-45,1.5585587157931476e-45,4.5006924919553365e-56,3.592651787776445e-70,3.020188730602533e-44,9.32462612467282e-34,6.340008099169693e-29,1.6943216119527023e-44,1.9274318788957033e-83,7.313617457329494e-91,6.484871738386332e-62,2.0631126386323866e-78,1.6008946716985453e-23,3.086696323691683e-75,3.2559887569849445e-46,1.1928182302039426e-84,6.601074136530883e-70,1.361052296550424e-62,4.079373879027829e-68,2.2956465604545367e-70,3.01315744513026e-60,2.2467118017808593e-89,4.511894687922454e-82,6.125644624087242e-96,3.76,0.0,0.7671343263362771,0.9999999999999787,2.2491622393500576e-46,5.655681273516687e-43,1.4153916392658217e-23,1.6008946717917916e-23,8.205051974201167e-51,3.505042461989626e-49,6.770000706102527e-40,3.8940828908739874e-25,2.8085636222077083e-36,1.6686785228356212e-36,4.670557692792287e-43,5.1188074810762154e-42,1.15256328366877e-37,6.34000809892379e-29,3.114023760070117e-39,6.0527952305784e-40,2.1441529772259173e-14,4.7526185090863745e-63,4.99131288072137e-59,1.2109838766036846e-62,1.1744531402955896e-74
1.2082794492447417e-18,0.4630434845653698,8.252070146770692e-29,2.3963011604690583e-33,1.1348287501694244e-35,7.843012019650001e-25,0.0,0.0,2.8507101199731884e-23,3.45252348625186e-39,1.08449785595386e-44,1.2621612743780995e-44,3.644777473159235e-55,2.9094225632746384e-69,1.2208085735022081e-43,3.769162967180707e-33,1.2769312087059967e-28,7.123486982987748e-44,6.291458671965006e-82,1.1855689063465884e-89,5.2516172653976685e-61,6.771137196266131e-77,3.2243371554854244e-23,5.032110955386044e-74,1.316122714352668e-45,1.944600971502104e-83,5.345720980147686e-69,1.1067851240413919e-61,3.317279089898534e-67,1.866783051343459e-69,2.440133020524564e-59,7.333641517367176e-88,7.313975722283847e-81,1.9995124325276406e-94,3.76,0.0,0.7671343263362771,0.9999999999999569,1.821429894751347e-45,2.2861167973190472e-42,2.8507183720414804e-23,3.224337155862342e-23,6.644663923538199e-50,2.8384742587522575e-48,2.736694204360196e-39,7.843012019645199e-25,1.1352663211649406e-35,6.745065388039026e-36,1.8879141083485055e-42,2.069103825030535e-41,4.658845071599779e-37,1.2769312086065989e-28,1.2587381927112165e-38,2.4466366080686696e-39,4.318505287310162e-14,3.8630979830618267e-62,4.042094579333524e-58,9.80690330889639e-62,1.9146550335605717e-73
2.4250084051275584e-18,0.4630434845653698,1.6561847171638201e-28,4.8093938622332364e-33,4.5630964964814336e-35,1.5740870277199652e-24,0.0,0.0,5.721355275750218e-23,1.3882445090718976e-38,8.728982234984936e-44,1.0158972280889896e-43,2.933634006665336e-54,2.3417563925563372e-68,4.908817580373149e-43,1.5155638514354186e-32,2.5627920062840163e-28,3.0852909106104224e-43,2.0332907274251217e-80,1.9093221746064245e-88,4.226958455566322e-60,2.1941946507375925e-75,6.471222122487876e-23,8.126927240700194e-73,5.29207154921659e-45,3.1405571302902954e-82,4.3027013120062154e-68,8.926622990213389e-61,2.6755057626911194e-66,1.5056304076315641e-68,1.9640313418151807e-58,2.370106214396619e-86,1.1778932425318732e-79,6.46207868811295e-93,3.76,0.0,0.7671343263362771,0.9999999999999134,1.4660452398847824e-44,9.192375094950217e-42,5.721371837589933e-23,6.471222124003446e-23,5.348203766569625e-49,2.2846510229831247e-47,1.1005346807345927e-38,1.574087027718034e-24,4.5648559465752287e-35,2.712161126651925e-35,7.591219701774872e-42,8.31977546580671e-41,1.8733011129421844e-36,2.562792005884342e-28,5.061330911048885e-38,9.837818194051652e-39,8.66720989282946e-14,3.115087990536008e-61,3.2534293717284546e-57,7.893473405807925e-61,3.0921729877264976e-72
4.8584663168931914e-18,0.4630434845653698,3.318140150391714e-28,9.63568219524655e-33,1.8300057874811156e-34,3.153658679229896e-24,0.0,0.0,1.1462645587303777e-22,5.567481388910392e-38,7.0044585089997766e-43,8.151935929822193e-43,2.3540565490393195e-53,1.8791120257028742e-67,1.968655401506795e-42,6.078088894454271e-32,5.134513601439913e-28,1.4145762398506107e-42,6.538758258930254e-79,3.064884941282398e-87,3.391867956043498e-59,7.065604333367295e-74,1.2964992054207549e-22,1.3063973739723374e-71,2.1223573849084425e-44,5.048431090903079e-81,3.452646828171367e-67,7.170349043348005e-60,2.1491117288385674e-65,1.2094078343238776e-67,1.5760114616290397e-57,7.621906388486548e-85,1.8907795184012483e-78,2.0781076736803675e-91,3.76,0.0,0.7671343263362771,0.9999999999998265,1.176408976333148e-43,3.686553552099743e-41,1.1462678768675381e-22,1.296499206028566e-22,4.291596974519163e-48,1.833288560213519e-46,4.414614667359231e-38,3.1536586792221513e-24,1.830711402747173e-34,1.0876979161560155e-34,3.0444187106997107e-41,3.3366020630965595e-40,7.512775317274434e-36,5.1345135998370375e-28,2.0298200684665436e-37,3.945405102983557e-38,1.7364619045271282e-13,2.5019796132633787e-60,2.610672176987094e-56,6.334037409436697e-60,4.970577748815703e-71
