Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40),CHF2(81),S(2051)
0.0,0.6023720504729511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.512103328580596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.936697387665802e-22,0.6023720504729511,3.60080040607707e-27,5.3889376045548065e-30,1.6424144943537898e-39,5.62410539549874e-23,0.0,0.0,1.9512917907956818e-23,3.315351823122551e-41,7.378454227662125e-50,1.7608866071122056e-39,1.467721367157472e-57,2.7675227347471147e-67,4.0886668458557564e-43,3.4136715125892647e-35,3.248839933592078e-26,8.428657486785249e-44,8.60314952516224e-88,1.1348990911853616e-87,7.683597890570903e-61,1.9969902540735005e-81,5.00016174538161e-22,2.432621266333341e-61,8.201057279773938e-45,9.765624897535653e-84,6.729655566606398e-66,2.6888175246771552e-61,5.377653753562846e-66,3.3664571845924546e-67,1.0887935306381532e-60,9.822513649022925e-94,8.893739662559235e-81,3.626778427037824e-98,3.76,0.0,0.512103328580596,0.9999999999999996,1.21375616130807e-50,3.2973847278603256e-42,1.9516518708362846e-23,5.000161745381953e-22,3.802324897284353e-55,1.2913825306691204e-53,2.729398768268015e-41,5.624105395498735e-23,1.5352404007226314e-39,6.362293603300253e-40,5.804201811172028e-44,7.04579701040479e-43,5.321182482199126e-38,3.248839933591939e-26,7.688246250606333e-41,5.1972165271675354e-40,4.183300132657588e-16,5.566994352035462e-63,1.5021384388680725e-40,5.5075412803181715e-62,9.857116281872998e-77,6.435510998775848e-59,1.2282531296662601e-92,1.8772653469901306e-61,1.9244429403189277e-75,1.4619766200889288e-57,6.650354517160663e-42,9.282029189045024e-87,4.0125641573208195e-45,1.9091464066027847e-61,4.351205288706858e-43,8.920213404703008e-45,3.1612720406631067e-63,1.9124282381486577e-79
1.6622752685464246e-21,0.6023720504729511,1.00822411371883e-26,1.508902529315065e-29,9.920183546256514e-39,1.5747495107396475e-22,0.0,0.0,5.463617014227907e-23,2.00247250116602e-40,8.759700859079422e-49,1.0635755107460238e-38,1.7424788070906312e-56,3.285602990691431e-66,2.4695547748966695e-42,2.0618575936036454e-34,9.096751814057817e-26,5.090911298742749e-43,5.20946290470475e-86,2.5387238710191832e-86,9.121967415685769e-60,4.979286049743675e-80,1.4000452887067402e-21,2.8880079673908827e-60,4.953438596983346e-44,3.070468718318313e-82,7.989447088675074e-65,4.0633410432935673e-60,8.126710352384174e-65,5.08739009740683e-66,1.29261567957374e-59,5.868365291457875e-92,1.9894940000643945e-79,2.2063463040080573e-96,3.76,0.0,0.512103328580596,0.9999999999999988,1.440971314704801e-49,1.9916203756276368e-41,5.464625238341593e-23,1.4000452887069468e-21,4.5141201180806954e-54,1.5331293404076073e-52,1.6485569755217622e-40,1.574749510739644e-22,9.272852020364831e-39,3.842825336393304e-39,3.5057378939591233e-43,4.255661394273959e-42,3.213994219248241e-37,9.096751814056979e-26,4.6437007353647625e-40,3.1391187824091886e-39,1.1713240371419443e-15,7.0502194546067646e-62,9.072916170763142e-40,6.555989917320181e-61,3.0992350728787934e-75,7.640238657730158e-58,7.472063175259088e-91,2.8361314511018994e-60,5.427490946169266e-74,1.735658643369604e-56,4.016814128364343e-41,2.9184184896279024e-85,2.423588844893142e-44,2.8791621983296613e-60,2.6281279943789386e-42,5.387808896440615e-44,4.774990168632029e-62,5.390822819538782e-78
3.799486328106113e-21,0.6023720504729511,2.3045122600100777e-26,3.448920067193113e-29,4.77614135012026e-38,3.5994274531191936e-22,0.0,0.0,1.2488267461092349e-22,9.64104310164037e-40,8.600326247759706e-48,5.120658254236067e-38,1.7107760255627203e-55,3.2258244996201663e-65,1.1889843187745431e-41,9.926956758605523e-34,2.0792575574989294e-25,2.451056862243838e-42,2.357942190743642e-84,5.0160905575772083e-85,8.95600170124942e-59,1.0632732073901301e-78,3.200103517043457e-21,2.835463348037958e-59,2.3848674569580933e-43,6.850046807109899e-81,7.844086528436283e-64,4.371156873521951e-59,8.74234415409205e-64,5.472782116015613e-65,1.2690977393122113e-58,2.6230878049196688e-90,3.9309048967744275e-78,9.960501871876145e-95,3.76,0.0,0.512103328580596,0.9999999999999972,1.4147541816202484e-48,9.588794788617827e-41,1.2490571973352203e-22,3.2001035170444495e-21,4.431989900351249e-53,1.5052354777393312e-51,7.937093410441605e-40,3.5994274531191777e-22,4.4644790853016176e-38,1.8501549798396424e-38,1.687861886705652e-42,2.0489177706099113e-41,1.547399865823459e-36,2.0792575574985253e-25,2.23574200967413e-39,1.5113505661003148e-38,2.677312084885594e-15,7.115227558032042e-61,4.368218580228331e-39,6.444350527678832e-60,6.9142229588868444e-74,7.501231620121889e-57,3.373246489374225e-89,3.0507081726916554e-59,1.1805789211303783e-72,1.7040799483757417e-55,1.933923093589275e-40,6.5108311090288045e-84,1.1668537977559456e-43,3.09522654139919e-59,1.265330497955948e-41,2.5939980580876332e-43,5.135916453375131e-61,1.1724281625863203e-76
8.07390844722549e-21,0.6023720504729511,4.897088552868579e-26,7.328955143584725e-29,2.0858664083867344e-37,7.648783337878287e-22,0.0,0.0,2.6537568354821183e-22,4.2104968153656276e-39,7.606891170543676e-47,2.236325991811399e-37,1.5131620206930058e-54,2.8532052386126308e-64,5.192606894233598e-41,4.335362820984172e-33,4.418422309685221e-25,1.0704428747446363e-41,8.913066290208182e-83,8.9258651385352e-84,7.921482081262926e-58,2.0548876523742717e-77,6.80021997371512e-21,2.5079352207386327e-58,1.0415342745311163e-42,1.282937957082315e-79,6.938005702948248e-63,4.017846250784937e-58,8.035720450873883e-63,5.030429642154386e-64,1.1225025783475031e-57,9.855622705481599e-89,6.994835245404476e-77,3.760895985435164e-93,3.76,0.0,0.512103328580596,0.9999999999999942,1.2513340520612426e-47,4.18767860438261e-40,2.6542465443373386e-22,6.800219973719455e-21,3.920044876265148e-52,1.331363733800586e-50,3.466338287762537e-39,7.648783337878217e-22,1.949755308917954e-37,8.080112876190585e-38,7.371336300362345e-42,8.948162203050791e-41,6.757901752392408e-36,4.418422309683458e-25,9.764072738247396e-39,6.600464989502723e-38,5.689288180338006e-15,6.370098280713037e-60,1.9077158173624269e-38,5.702989538985969e-59,1.2949574390031753e-72,6.634754419190345e-56,1.2736736906223914e-87,2.804027586683545e-58,2.1885828055127913e-71,1.507239416247063e-54,8.445950236783231e-40,1.2194066101994908e-82,5.095957934803638e-43,2.84430530505748e-58,5.526030716657645e-41,1.1328671023972808e-42,4.7205020658389524e-60,2.1733415510830558e-75
1.6622752685464246e-20,0.6023720504729511,1.0082241139689611e-25,1.5089025298910007e-28,8.708081654080587e-37,1.5747495107396475e-21,0.0,0.0,5.46361701422787e-22,1.7577995366195653e-38,6.394050378411881e-46,9.336220797918994e-37,1.2719038532519197e-53,2.3982909215639985e-63,2.167811161669832e-40,1.809928635971053e-32,9.096751814057801e-25,4.468904564799729e-41,3.0939175380952666e-81,1.505477618807157e-82,6.6584829944024e-57,3.923565198209235e-76,1.400045288705137e-20,2.1080706674635065e-57,4.34820056973458e-42,2.2159562803399596e-78,5.831811839531523e-62,3.437352057756033e-57,6.874728026709686e-62,4.303638467961761e-63,9.435310529559672e-57,3.411029926403399e-87,1.1797812035341827e-75,1.3048295285675902e-91,3.76,0.0,0.512103328580596,0.9999999999999882,1.0518216692893083e-46,1.748273382711542e-39,5.464625238341561e-22,1.400045288706947e-20,3.295033919080129e-51,1.11909143892462e-49,1.447128893791644e-38,1.5747495107396178e-21,8.1398446046333e-37,3.373288068469133e-37,3.077387800439892e-41,3.735681574769656e-40,2.8212909520615425e-35,9.096751814050438e-25,4.076308162051098e-38,2.755564202704185e-37,1.171324037110329e-14,5.384885706744485e-59,7.964338002878294e-38,4.794909465224479e-58,2.2367169426774607e-71,5.576910863167947e-55,4.418965713694297e-86,2.3988669350515533e-57,3.7616106005437e-70,1.2669255473434727e-53,3.526017964988856e-39,2.106221674948984e-81,2.1274628257170764e-42,2.4330803054030988e-57,2.307009044072319e-40,4.729497147173526e-42,4.0383782605703955e-59,3.735309284232628e-74
3.372044116194176e-20,0.6023720504729511,2.045254631774778e-25,3.0609165619728838e-28,3.5575354955976365e-36,3.1944918646432846e-21,0.0,0.0,1.1083337371719302e-21,7.18118466295627e-38,5.242228812463385e-45,3.81415083240452e-36,1.0427836241033155e-52,1.966263796128875e-62,8.856215934772927e-40,7.394149043096887e-32,1.8453410822802927e-24,1.8257066355602053e-40,1.030651683651694e-79,2.4727515095755435e-81,5.459026647409041e-56,7.877220760251765e-75,2.840091871369555e-20,1.728323697451078e-56,1.776381811026831e-41,3.681844514236646e-77,4.781271689278057e-61,2.8420691532408618e-56,5.684158076688583e-61,3.5583315101069237e-62,7.7356376295968535e-56,1.134634902843722e-85,1.937794170060626e-74,4.345627118487126e-90,3.76,0.0,0.512103328580596,0.9999999999999761,8.623469528704747e-46,7.142267215934556e-39,1.108538262634995e-21,2.84009187137695e-20,2.701467884682971e-50,9.174987742584596e-49,5.912001020732894e-38,3.194491864643162e-21,3.3253921175828644e-36,1.3780982436486879e-36,1.2572133292395937e-40,1.526147815517289e-39,1.1525894103738907e-34,1.845341082277284e-24,1.665304890849079e-37,1.125737888650561e-36,2.3761144752075687e-14,4.426965675028079e-58,3.2536919441256065e-37,3.9316352487752696e-57,3.7163386530945674e-70,4.57228846821551e-54,1.4717000818634852e-84,1.9834148313330355e-56,6.234593235990827e-69,1.0387021081299699e-52,1.4404933898268321e-38,3.4995188169183374e-80,8.691385554470413e-42,2.0116072914614217e-56,9.424884703550114e-40,1.932153904312283e-41,3.3389659820924256e-58,6.190915296143525e-73
6.791581811489677e-20,0.6023720504729511,4.119315669152856e-25,6.1649446302039515e-28,1.4380127291964266e-35,6.43397657245056e-21,0.0,0.0,2.232277808670189e-21,2.9027496580312194e-37,4.2452928062752613e-44,1.5417407519660566e-35,8.444732148116203e-52,1.59233140093082e-61,3.579824079535182e-39,2.9888332654782127e-31,3.7166728840293086e-24,7.379905684904572e-40,3.364614404854246e-78,4.0084367551782514e-80,4.42086131389535e-55,1.7358876582060983e-73,5.720185036687066e-20,1.3996413400127295e-55,7.180419299180635e-41,6.0023358469788e-76,3.871997776816359e-60,2.311123435552866e-55,4.62226294785476e-60,2.8935760897014e-61,6.264519912417231e-55,3.7013917007492855e-84,3.141247855365714e-73,1.418485069348892e-88,3.76,0.0,0.512103328580596,0.999999999999952,6.983509202866768e-45,2.887018603708634e-38,2.2326897402366483e-21,5.720185036716957e-20,2.1877187337170522e-49,7.430142951099195e-48,2.389731241604617e-37,6.433976572450064e-21,1.3441766623732263e-35,5.570493439777723e-36,5.081857288457863e-40,6.168933479842358e-39,4.6589506799214465e-34,3.716672884017145e-24,6.731428628083937e-37,4.550412535928184e-36,4.785695351178779e-14,3.5899028694649227e-57,1.3151943058739041e-36,3.184131149411928e-56,6.058569959678357e-69,3.702757745866445e-53,4.8038741832856954e-83,1.6128741705574527e-55,1.0151419741480833e-67,8.411678973348584e-52,5.822704596723237e-38,5.70509891358853e-79,3.513201642886647e-41,1.635761910149373e-55,3.809689088116309e-39,7.810075006060849e-41,2.715174573335764e-57,1.0080232615366012e-71
1.3630657202080682e-19,0.6023720504729511,8.267437750974784e-25,1.237300078293529e-27,5.782185952292145e-35,1.291294598806511e-20,0.0,0.0,4.480165951666598e-21,1.1671828707375181e-36,3.416980982588744e-43,6.199271775402701e-35,6.79705510824394e-51,1.281646841160752e-60,1.4394315177345703e-38,1.2017967106717737e-30,7.459336487527294e-24,2.9675141163585204e-39,1.0874484660938202e-76,6.455463821187836e-79,3.558293791664768e-54,4.2694634552410877e-72,1.1480371367276783e-19,1.1265531164852303e-54,2.8872150195647112e-40,9.693788552536267e-75,3.116520666974077e-59,1.864004777013824e-54,3.7280225204196724e-59,2.3337739448800236e-60,5.0422306264612796e-54,1.1958635782481555e-82,5.058882832172099e-72,4.584298633720453e-87,3.76,0.0,0.512103328580596,0.9999999999999039,5.620935757998087e-44,1.1608574829821237e-37,4.4809926954398615e-21,1.1480371367396978e-19,1.760866364793603e-48,5.980425454120687e-47,9.609051700270693e-37,1.2912945988063115e-20,5.404875240370822e-35,2.2398709122125298e-35,2.0433924653143207e-39,2.4805010198708453e-38,1.8733435775856706e-33,7.459336487478389e-24,2.706677845395836e-36,1.8297008672551993e-35,9.604857102228127e-14,2.8913960104181623e-56,5.288338459571311e-36,2.562942053720613e-55,9.784606667136931e-68,2.980301566068836e-52,1.552529126062036e-81,1.3008391295499662e-54,1.6384433611175087e-66,6.770451037290097e-51,2.341283909129529e-37,9.213750013825334e-78,1.4126466592337403e-40,1.319283843893015e-54,1.531859226710078e-38,3.1403968099792645e-40,2.1898798505817533e-56,1.6269481902653447e-70
2.7308807983262693e-19,0.6023720504729511,1.656368194288174e-24,2.4789113153474796e-27,2.318915192919237e-34,2.587088481929421e-20,0.0,0.0,8.975942237658979e-21,4.68092534695524e-36,2.741912044535844e-42,2.4861852671602637e-34,5.4542086613442585e-50,1.0284408747176894e-59,5.772764187531108e-38,4.819742326423911e-30,1.494466369452308e-23,1.1901752656296439e-38,3.497172412144414e-75,1.036244910320556e-77,2.8553066742950964e-53,1.1581707400838082e-70,2.300074402827501e-19,9.039879281396939e-54,1.1579023566898082e-39,1.558248238728682e-73,2.5008115636288544e-58,1.4972700058968808e-53,2.9945504269628215e-58,1.8746141510783677e-59,4.0460725291948e-53,3.8451360552018765e-81,8.120627319480188e-71,1.474241738629517e-85,3.76,0.0,0.512103328580596,0.9999999999998075,4.5104469515620615e-43,4.6555577129575e-37,8.977598605845913e-21,2.3000744028757035e-19,1.4129843633316487e-47,4.798914791686266e-46,3.8536975920265314e-36,2.587088481928621e-20,2.1675967103465527e-34,8.982884164707903e-35,8.19491771910335e-39,9.947918517521076e-38,7.512945619502233e-33,1.4944663694326956e-23,1.0854988750826228e-35,7.337918831406744e-35,1.9243180600754526e-13,2.3209346561662527e-55,2.120860249006157e-35,2.056630086816936e-54,1.5728469443772482e-66,2.3915043132146362e-51,4.9927009996771094e-80,1.0449038063031676e-53,2.632934615327979e-65,5.43286056932457e-50,9.389595640209401e-37,1.4810834143471974e-76,5.665374845205141e-40,1.0597135897492669e-53,6.14344063989085e-38,1.259439578481936e-39,1.7590278715141962e-55,2.614457741318923e-69
