Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309)
0.0,0.6085951074410778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5324893958670023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.391079497692636e-22,0.6085951074410776,4.138731649560143e-27,6.397425968562752e-30,1.4298592249091029e-39,6.546698460667537e-23,0.0,0.0,2.102717556979604e-23,3.574524789971806e-41,6.77592392807289e-50,7.916862447649504e-50,1.511186173138645e-57,3.410969063557627e-67,4.627874730009247e-43,3.4796880287908977e-35,3.8658263041549734e-26,9.394012070482842e-44,8.293812018105512e-88,1.5524702156313325e-87,9.364209268689849e-61,2.4941193688106737e-81,5.667254077018505e-22,2.707745703048885e-61,9.372247609828013e-45,1.1866375853366728e-83,9.062175009845455e-66,3.2555581434175964e-61,6.66573242750062e-66,4.3947357475268746e-67,1.1661050928674154e-60,9.303799983550234e-94,1.083413089664719e-80,3.862496732645845e-98,3.76,0.0,0.5324893958670023,0.9999999999999997,1.1145770385924596e-50,3.8651554215540626e-42,2.103131430144554e-23,5.667254077018853e-22,3.492988319147301e-55,1.175604441897092e-53,5.562421488638893e-41,6.54669846066753e-23,1.516230668582174e-39,5.985721792521465e-40,1.1710500571475627e-43,1.4292400516948447e-42,5.367599648358454e-38,3.86582630415482e-26,7.8304313256779e-41,5.878130196448337e-40,3.999999999986017e-16,6.89421303074331e-63,1.0901814741764946e-61,6.782607601041789e-62,1.0663306918590173e-76,2.3416155204008506e-78,1.3521331398644614e-92,2.084305714237711e-61,1.920961529272598e-75,5.855647645923696e-63,1.6505177813628087e-60,3.9785631276132677e-97
1.5095022593539382e-21,0.6085951074410778,1.1588448618942416e-26,1.7912792712518527e-29,8.636349718781243e-39,1.83307556898691e-22,0.0,0.0,5.887609159542885e-23,2.159012973142968e-40,8.044376887407254e-49,9.398899098064393e-49,1.7940802247513654e-56,4.0495024722551685e-66,2.7952363369253718e-42,2.101731569389453e-34,1.0824313651633926e-25,5.673985289543752e-43,5.0455305886223316e-86,3.472813773560258e-86,1.1117189243788576e-59,6.218706507982844e-80,1.5868311415650684e-21,3.2146356986595715e-60,5.660837556335999e-44,3.7309784309098413e-82,1.0758614171688466e-64,4.9197994663342563e-60,1.0073254844438951e-64,6.641324661717559e-66,1.384399966252325e-59,5.6599543161869085e-92,2.423551760089388e-79,2.3497452523831262e-96,3.76,0.0,0.5324893958670023,0.9999999999999989,1.3232258602168526e-49,2.334553874618653e-41,5.888768004404749e-23,1.5868311415652783e-21,4.1468757325117266e-54,1.3956775934197381e-52,3.3597026888833945e-40,1.833075568986907e-22,9.158033238236455e-39,3.61537596268292e-39,7.073142345190737e-43,8.632609912217045e-42,3.2420301876084853e-37,1.0824313651632998e-25,4.729580520708068e-40,3.5503906386547907e-39,1.1199999999941936e-15,8.720692898682033e-62,1.294263446142572e-60,8.073712211513598e-61,3.3527143081129063e-75,5.2381007864094266e-77,8.225685730735143e-91,3.1488762595134747e-60,5.417769057030443e-74,6.951824885240464e-62,1.9594947686495553e-59,2.420354104464905e-95
3.4502908785232874e-21,0.6085951074410778,2.6487882558403026e-26,4.094352620260139e-29,4.158030626531068e-38,4.1898870148272235e-22,0.0,0.0,1.3457392364669436e-22,1.0394718089237987e-39,7.898016930559039e-48,9.227894869646475e-48,1.7614386034140243e-55,3.975825540481391e-65,1.3457859714863706e-41,1.0118932787720196e-33,2.474128834659182e-25,2.731781708554585e-42,2.2777936891013526e-84,6.861694797388984e-85,1.0914922323584856e-58,1.3192510776485238e-78,3.627042609291053e-21,3.156148391473583e-59,2.7254496049378043e-43,8.323607641678777e-81,1.0562871191475691e-63,5.292495762596348e-59,1.083634789273922e-63,7.144434010220792e-65,1.3592120962466552e-58,2.5551737838293947e-90,4.788529887827465e-78,1.0607873270972169e-94,3.76,0.0,0.5324893958670023,0.9999999999999974,1.2991509961830074e-48,1.1239871965879205e-40,1.3460041152925123e-22,3.627042609292064e-21,4.071427184860258e-53,1.3702845374737363e-51,1.617552333514445e-39,4.1898870148272075e-22,4.409198784237152e-38,1.7406478972651765e-38,3.4054135662143007e-42,4.156230070298886e-41,1.560897977742607e-36,2.4741288346587367e-25,2.277089429505058e-39,1.7093602611271714e-38,2.5599999999778135e-15,8.796848838656317e-61,1.2707155263008606e-59,7.936196083798981e-60,7.479721188821322e-74,1.0349604928718159e-75,3.713467734826414e-89,3.3870984326250855e-59,1.1784677203562286e-72,6.825342896088206e-61,1.92384370766494e-58,1.0926635381597046e-93
7.331868116861985e-21,0.6085951074410778,5.628675044010848e-26,8.700499319145236e-29,1.8159212161464733e-37,8.90350990650785e-22,0.0,0.0,2.8596958774922497e-22,4.539646483264175e-39,6.985706532880318e-47,8.161968510427794e-47,1.5579724970666216e-54,3.516572665762478e-64,5.87740090710846e-41,4.419203796560584e-33,5.25752377365076e-25,1.1930426313581027e-41,8.600515567536096e-83,1.2210019273030046e-83,9.654125187648429e-58,2.5154910976559603e-77,7.70746554474122e-21,2.7915775100148682e-58,1.1902754464479705e-42,1.558919593320202e-79,9.342739948149921e-63,4.864715422557345e-58,9.960470651765631e-63,6.566965733206173e-64,1.2022077065434165e-57,9.64784981344306e-89,8.520933096079794e-77,4.005331108007457e-93,3.76,0.0,0.5324893958670023,0.9999999999999946,1.149084343706514e-47,4.9087473853736536e-40,2.860258744996584e-22,7.707465544745637e-21,3.601131237638652e-52,1.212001155415048e-50,7.064276991626699e-39,8.903509906507778e-22,1.9256129490995594e-37,7.601866676501591e-38,1.4872335726075671e-41,1.8151348656217402e-40,6.816851553414918e-36,5.257523773648815e-25,9.944647783589496e-39,7.46522534948934e-38,5.439999999914799e-15,7.873970832620622e-60,1.1239334926185506e-58,7.023199801261355e-59,1.4008689989799006e-72,1.84165693775294e-74,1.4021347594154292e-87,3.113211396414913e-58,2.184671830995803e-71,6.036938497040543e-60,1.7016181934615474e-57,4.125689616253975e-92
1.5095022593539382e-20,0.6085951074410778,1.1588448621465641e-25,1.7912792720389525e-28,7.581113615075286e-37,1.83307556898691e-21,0.0,0.0,5.887609159542845e-22,1.8952130436430374e-38,5.871907261274766e-46,6.8606263298722055e-46,1.3095697586769776e-53,2.955891214968777e-63,2.4536991818479488e-40,1.8449305928614657e-32,1.0824313651633907e-24,4.980733085431042e-41,2.9839183845547333e-81,2.0593982157976898e-82,8.114873924898223e-57,4.691561581292825e-76,1.5868311415634335e-20,2.346489102330173e-57,4.96916568272913e-42,2.6926459256273236e-78,7.853135868731283e-62,4.161866463868113e-57,8.521392346527654e-62,5.618177443529791e-63,1.0105280157989102e-56,3.3472872545739207e-87,1.4371799121141216e-75,1.3896354277423952e-91,3.76,0.0,0.5324893958670023,0.9999999999999888,9.658746284102102e-47,2.0493054045079598e-39,5.888768004404714e-22,1.5868311415652785e-20,3.0269677897968077e-51,1.0187599996711867e-49,2.9491974042261174e-38,1.833075568986881e-21,8.03905500482448e-37,3.1736296943942837e-37,6.208907403267847e-41,7.577830753809662e-40,2.8459013335593675e-35,1.0824313651625789e-24,4.1516946888551343e-38,3.1165846301568664e-37,1.1199999999667748e-14,6.655522251790408e-59,9.447338226205801e-58,5.9048992201982e-58,2.4196528241929532e-71,3.1062236389818295e-73,4.864656837513145e-86,2.663373786354208e-57,3.7548912939180924e-70,5.074410559593425e-59,1.430312993353707e-56,1.4313933857850722e-90
3.0621331546894174e-20,0.6085951074410778,2.350799578083003e-25,3.633737953677448e-28,3.0971322794228994e-36,3.7185247256591605e-21,0.0,0.0,1.1943435723643964e-21,7.742563676070419e-38,4.814144338477863e-45,5.624755969047261e-45,1.0736644090477627e-52,2.4234182054518536e-62,1.0024161780164222e-39,7.537143457852878e-32,2.195789340760017e-24,2.0348042003745457e-40,9.93769405671579e-80,3.3825677534585172e-81,6.653063923663315e-56,9.089321548896425e-75,3.21900031573917e-20,1.9237935349898502e-56,2.0300663212777635e-41,4.473871490947365e-77,6.438475251669911e-61,3.4411116749507333e-56,7.045651979679825e-61,4.645217755846911e-62,8.284919208843838e-56,1.1147864053335322e-85,2.3605723219431238e-74,4.6280661706272945e-90,3.76,0.0,0.5324893958670023,0.9999999999999772,7.918823760565508e-46,8.37208124930293e-39,1.1945786523220917e-21,3.219000315746708e-20,2.4816910759747416e-50,8.352409986120115e-49,1.204844040329283e-37,3.718524725659041e-21,3.2842162773772544e-36,1.2965312831468157e-36,2.536541266013752e-40,3.095791121339079e-39,1.1626435542327944e-34,2.1957893407566997e-24,1.6961027468508077e-37,1.2732265130714607e-36,2.2719999998689563e-14,5.471313229696464e-58,7.745498662002391e-57,4.841780741685324e-57,4.020289356271886e-70,5.101981679556933e-72,1.6201338344501924e-84,2.202111705893237e-56,6.223458834810281e-69,4.160308359725851e-58,1.1726576171513015e-55,4.7671376076671e-89
6.167394945360375e-20,0.6085951074410778,4.734709011737801e-25,7.318655322512995e-28,1.251910387859428e-35,7.489423039003661e-21,0.0,0.0,2.4055088851845916e-21,3.1296680308101442e-37,3.8986189004053344e-44,4.555073218999455e-44,8.694812750961559e-52,1.9625468941273983e-61,4.0519264640895705e-39,3.046633894207667e-31,4.422505291953256e-24,8.225102690423194e-40,3.243828855634424e-78,5.4832880931774565e-80,5.3878236577129984e-55,1.914795539339778e-73,6.483338664079099e-20,1.5579378823493502e-55,8.205852650277989e-41,7.293539721420374e-76,5.214044187544958e-60,2.79825486556338e-55,5.729407178648702e-60,3.777413934266912e-61,6.709342376378917e-55,3.6388484898148696e-84,3.826589458411101e-73,1.5106778800801018e-88,3.76,0.0,0.5324893958670023,0.9999999999999541,6.41286879065645e-45,3.3841290990307923e-38,2.4059823560853093e-21,6.483338664109568e-20,2.0097377758481703e-49,6.763998157530455e-48,4.8701776718592164e-37,7.489423039003175e-21,1.3275327294170397e-35,5.2407867439944475e-36,1.0253105356245011e-39,1.2513682685888157e-38,4.699591136918975e-34,4.42250529193985e-24,6.855918486200329e-37,5.1465851372396644e-36,4.575999999479686e-14,4.4366809496514346e-57,6.272505632143551e-56,3.9212339801943443e-56,6.554086319059714e-69,8.270532181682539e-71,5.28838667385536e-83,1.7907138459900865e-55,1.0133292246980224e-67,3.3691255729817623e-57,9.496495284951097e-55,1.556073114785708e-87
1.2377918526702291e-19,0.6085951074410778,9.502527886175074e-25,1.4688490082418304e-27,5.033876621687728e-35,1.5031219665692663e-20,0.0,0.0,4.8278395108248695e-21,1.2584257504086615e-36,3.137947663201339e-43,3.666319214889643e-43,6.998341733904136e-51,1.5796284781027242e-60,1.629261810181996e-38,1.2250380892683677e-30,8.875937194339681e-24,3.3073570514610335e-39,1.0483494335842613e-76,8.830666433971017e-79,4.3365892097918734e-54,4.499713534721207e-72,1.301201536071278e-19,1.2539639452456049e-54,3.2995372600208954e-40,1.1779086275263435e-74,4.196716373727207e-59,2.2568939228692714e-54,4.620974451609163e-59,3.0466211858754955e-60,5.400262444138757e-54,1.1760129521480556e-82,6.162604356049443e-72,4.882249867305345e-87,3.76,0.0,0.5324893958670023,0.9999999999999081,5.161634709663947e-44,1.3607434267797748e-37,4.828789763611654e-21,1.301201536083529e-19,1.6176118057811303e-48,5.444254171588629e-47,1.9582813830910775e-36,1.503121966569071e-20,5.33795071798047e-35,2.107297299941e-35,4.122728569723825e-39,5.031696770032367e-38,1.8896849266015873e-33,8.875937194285775e-24,2.756734669821274e-36,2.0694192481801933e-35,9.183999997926613e-14,3.5733714429964275e-56,5.048658228470794e-55,3.156243879751583e-55,1.0584866911148141e-67,1.3319437126856642e-69,1.7091151907606404e-81,1.4442728762808123e-54,1.6355177400320675e-66,2.7117653684322683e-56,7.643621469081208e-54,5.028959430583305e-86
2.4798965689386124e-19,0.6085951074410778,1.9038165663560347e-24,2.942815969116579e-27,2.018809681458255e-34,3.0114812919070665e-20,0.0,0.0,9.672500762104974e-21,5.046850103811874e-36,2.5180053786399455e-42,2.9419902825783194e-42,5.61572850179874e-50,1.2675523721314118e-59,6.534068563917327e-38,4.912950649563957e-30,1.778280099911232e-23,1.3264618168771824e-38,3.3713346685157913e-75,1.417517532497412e-77,3.479839732008737e-53,1.1764504417482914e-70,2.6069368753795424e-19,1.0062270941660497e-53,1.3232620166754026e-39,1.8934537626231348e-73,3.367600589948425e-58,1.812859934082728e-53,3.711817978903403e-58,2.4472118215485053e-59,4.333370514826869e-53,3.7818814098324147e-81,9.892344802809806e-71,1.5700583901263244e-85,3.76,0.0,0.5324893958670023,0.9999999999998159,4.141886786054157e-43,5.4571897487595025e-37,9.674404578663983e-21,2.606936875428675e-19,1.298031601378589e-47,4.3686711053361474e-46,7.853619188598315e-36,3.011481291906284e-20,2.1407569835953666e-34,8.451204684503314e-35,1.653398550621591e-38,2.0179354522899146e-37,7.57848173790653e-33,1.778280099889613e-23,1.1055739005259216e-35,8.299296755582382e-35,1.8399999991722337e-13,2.868342780763908e-55,4.0512302750623244e-54,2.5327243689948326e-54,1.7014864413582955e-66,2.1380646406344444e-68,5.4962583171387395e-80,1.1601174346954784e-53,2.628233353719149e-65,2.1760209271429847e-55,6.133550347676177e-53,1.6172379927474745e-84
