Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158)
9.208e-13,0.604922289865573,7.947565539460358e-19,2.65725456090656e-22,1.6356292880382622e-23,1.2583833260710689e-23,0.0,0.0,9.132157287260366e-15,1.2754190126365663e-23,1.9354090538583212e-23,2.251756332223697e-23,8.800391470306464e-32,2.267114203027086e-48,3.224443514282875e-26,1.0452320740703406e-17,2.2394321275960468e-24,9.790244867666986e-24,2.706602634725573e-44,8.958858525683308e-61,2.188929102663114e-40,1.1989846471493751e-39,1.4979292361570098e-13,1.5285459942094185e-42,1.969838519542771e-34,1.2507294990952355e-47,1.7158115894793836e-54,4.498907190568224e-42,1.537182885705968e-53,8.922863263409039e-55,6.444252801851846e-39,7.114405470145087e-57,2.3394097726956438e-60,2.4253390486275102e-60,3.76,0.0,0.974387468370777,0.9999999999999909,3.181916212842188e-24,1.8326088164635362e-31,9.132952035674366e-15,1.4980337599037913e-13,1.0951749183209978e-28,3.7622147722035455e-27
1e-12,0.6049222898655886,8.631358309223428e-19,2.936646055373313e-22,2.614011029912827e-23,1.9695649662525512e-23,0.0,0.0,9.91763388845576e-15,1.6045236151781027e-23,3.100608171212627e-23,3.607410055952268e-23,1.4103971311841233e-31,5.193293151868216e-48,4.056385938543578e-26,1.3149164192825132e-17,3.587565153426655e-24,1.5684391461315785e-23,9.92538018536745e-44,5.783673276125329e-60,8.053589238941868e-40,4.4112898352695873e-39,1.6267513918378734e-13,5.605444739331557e-42,4.510930324430673e-34,8.057461609012753e-47,1.1052652523207365e-53,1.6502030308613032e-41,1.8392392644961065e-52,1.0676199330240713e-53,1.475800277444672e-38,8.512456409519148e-56,2.803189355629759e-59,2.904458991477022e-59,3.76,0.0,0.9743874683707634,0.9999999999999901,5.09762489973191e-24,4.19668122815455e-31,9.918497001490453e-15,1.626882884343791e-13,1.8157176811615638e-28,6.0211090918655636e-27
1.8424000000000003e-12,0.6049222898655886,1.590442686033974e-18,5.908355587428788e-22,1.3020435011669598e-22,9.533951502728352e-23,0.0,0.0,1.8272248646624973e-14,5.1049998422108194e-23,1.5494089692163034e-22,1.8026636026519876e-22,7.051477508089308e-31,3.631719651681489e-47,1.2905228087498363e-25,4.183377181993817e-17,1.7926798246352272e-23,7.837667795739872e-23,8.670692322401308e-43,5.777195769032279e-59,7.043224705208884e-39,3.857853592709378e-38,2.996950684079791e-13,4.896882230108546e-41,3.153890679460208e-33,8.045633950540844e-46,1.1036268790922375e-52,1.441716125641812e-40,1.9767053281158418e-51,1.1474145582626641e-52,1.0318607066477444e-37,9.148689785615963e-55,3.013064938000649e-58,3.121766218546529e-58,3.76,0.0,0.974387468370618,0.9999999999999818,2.5473799114831765e-23,2.9341815061595448e-30,1.8273838910625222e-14,2.997369026114698e-13,9.479672522283982e-28,3.0047530491907124e-26
3.6856e-12,0.6049222898656204,3.1834631077944862e-18,1.653777943039041e-21,1.0389468509249204e-21,7.413093260492531e-22,0.0,0.0,3.65524312602827e-14,2.042664856928103e-22,1.2398459030754671e-21,1.4425017066329133e-21,5.652628175279886e-30,5.816117749316771e-46,5.163012815944256e-25,1.6736756947220385e-16,1.4344654475432453e-22,6.271746520570777e-22,2.7756119983214465e-41,3.6998211477862547e-57,2.255100346563779e-37,1.235164043363537e-36,5.994365848303381e-13,1.567647391846573e-39,5.047473981640422e-32,5.15190309678859e-44,7.066545991111435e-51,4.6186413617440576e-39,2.531399954628137e-49,1.4693952898600969e-50,1.651459101729794e-36,1.1715010235936512e-52,3.858726866958432e-56,4.0049697041920753e-56,3.76,0.0,0.9743874683702998,0.9999999999999635,2.0385376171143055e-22,4.695878122074337e-29,3.65556128394316e-14,5.996039558535431e-13,8.717014019642575e-27,2.393107285271112e-25
7.372e-12,0.6049222898656835,6.3826088289070826e-18,7.076373439576468e-21,8.299197924828827e-21,5.843826502258474e-21,0.0,0.0,7.311279606732642e-14,8.171989235309005e-22,9.918216618077294e-21,1.1539373048525823e-20,4.537843496919281e-29,9.32520533489025e-45,2.0649339147141243e-24,6.694032220812048e-16,1.1474895150647059e-21,5.017118698351325e-21,8.880081652949952e-40,2.367481693222781e-55,7.215265294021464e-36,3.9516658988666895e-35,1.1986686314889298e-12,5.015960082277611e-38,8.075450657292677e-31,3.296739698167245e-42,4.521698187127413e-49,1.4799690912414127e-37,3.239739965714877e-47,1.880558871509537e-48,2.642264182612434e-35,1.498995933853953e-50,4.9383288135467435e-54,5.143789072085255e-54,3.76,0.0,0.9743874683696635,0.999999999999927,1.6309150216668042e-21,7.513015266516585e-28,7.311916178948086e-14,1.1993380623372586e-12,8.756785177838887e-26,1.8965439412619228e-24
1e-11,0.6049222898657468,8.6772324908525e-18,1.4465027157103174e-20,1.9292163649794588e-20,1.3543783703218706e-20,0.0,0.0,9.91763370852553e-14,1.4726532923364286e-21,2.3063256388146802e-20,2.6833001276763642e-20,1.0570768819652322e-28,2.8041608600276813e-44,3.720528885254331e-24,1.2061301862007194e-15,2.668296552824801e-21,1.1666522258025248e-20,3.2163176113595074e-39,9.711662303102369e-55,2.480978864079514e-35,1.3587484772443e-34,1.6256766899163292e-12,1.8168239900451908e-37,2.350614513832098e-30,1.260893731357729e-41,1.7307694041914254e-48,5.3613060949253215e-37,1.2846373449684908e-46,7.456876277336663e-48,7.691257700394117e-35,5.943417849318645e-50,2.1463435756299377e-53,2.0402388995979232e-53,3.76,0.0,0.9743874683692099,0.999999999999901,3.7926424134454276e-21,2.186910358441612e-27,9.91849741001336e-14,1.6268828843419428e-12,2.2427499235044584e-25,4.3894656373896194e-24
1.10584e-11,0.6049222898657468,9.601368595800382e-18,1.7440731531011196e-20,2.3719467654095875e-20,1.664486235675612e-20,0.0,0.0,1.0967316045411982e-13,1.7366308052526278e-21,2.8357286103763847e-20,3.2992352919369017e-20,1.3000467511273578e-28,3.5579447723596894e-44,4.387302750102032e-24,1.4222914566817298e-15,3.2807859625528403e-21,1.434450122589393e-20,4.1540203197745313e-39,1.2669455589821002e-54,3.189580215305742e-35,1.7468211825636756e-34,1.7976497983788712e-12,2.3465185471059097e-37,2.97206988060228e-30,1.6359329229920517e-41,2.245712250945855e-48,6.92447469640898e-37,1.6715346387064626e-46,9.702680821601289e-48,9.72468796645962e-35,7.733363113903057e-50,2.8118752798997027e-53,2.6547633348889967e-53,3.76,0.0,0.9743874683690272,0.9999999999998904,4.6632559109562716e-21,2.765087066039211e-27,1.0968271220880745e-13,1.799072168820542e-12,2.79332388690425e-25,5.393464238295844e-24
1.47448e-11,0.6049222898658101,1.2846248498918925e-17,3.439113426879302e-20,5.001568125060359e-20,3.503155571348175e-20,0.0,0.0,1.4623352442069154e-13,2.9625621114451844e-21,5.980769600659172e-20,6.958340818368359e-20,2.746924043509081e-28,9.592599550476443e-44,7.483009534030323e-24,2.425916847297654e-15,6.91941254087341e-21,3.0253655658128255e-20,1.3398031222969157e-38,4.786655935183728e-54,1.0897415481283567e-34,5.968023510057667e-34,2.3963801918724695e-12,7.568596243792719e-37,7.537180851137516e-30,6.919261335245632e-41,9.488362348397064e-48,2.23568795786569e-36,9.117227690310993e-46,5.292234893040626e-47,2.4662480855492963e-34,4.218058827436419e-49,1.3418419619745431e-52,1.450596033268909e-52,3.76,0.0,0.974387468368391,0.9999999999998539,9.835716523593974e-21,7.012304981172575e-27,1.4624626447427534e-13,2.398806275303394e-12,6.440617376231172e-25,1.1320302374325103e-23
2.21176e-11,0.6049222898659367,1.9417480770307702e-17,8.884659847874843e-20,1.3655299526936508e-19,9.54588557162824e-20,0.0,0.0,2.1935425136771742e-13,6.133760047597056e-21,1.633230977227714e-19,1.9001865200383643e-19,7.524169147916391e-28,3.907374386762916e-43,1.5488165209238386e-23,5.021274519574526e-15,1.8895509597679973e-20,8.261680509739276e-20,7.370166898060808e-38,3.4565297751700355e-53,6.69669260041696e-34,3.667354702924949e-33,3.593252758846261e-12,4.1638337361385306e-36,2.635377047007656e-29,6.2290285900917515e-40,8.526066222566452e-47,1.2332688665930468e-35,1.2656156175315306e-44,7.346454120289985e-46,8.623958403540715e-34,5.854916188703765e-48,1.5365778578700501e-51,2.0219016695803103e-51,3.76,0.0,0.9743874683671183,0.9999999999997807,2.686192224138582e-20,2.4518736951133068e-26,2.193733745071293e-13,3.5982744882680856e-12,2.0057300652765707e-24,3.066660375632945e-23
2.9490400000000004e-11,0.6049222898660631,2.6138768220842404e-17,1.811693522304677e-19,2.8562725236351334e-19,1.9944634169956656e-19,0.0,0.0,2.9247497676978045e-13,1.0432065521463732e-20,3.4166754806791904e-19,3.975139329485668e-19,1.5782781634500419e-27,1.064573830159079e-42,2.633385455256174e-23,8.537724001903381e-15,3.9528835541473095e-20,1.7283214465449884e-19,2.3643548534479857e-37,1.3242213409413654e-52,2.2473685094832875e-33,1.2307025498268708e-32,4.789204025592081e-12,1.3358388384340467e-35,6.584198167684201e-29,2.4563610917436884e-39,3.361021563801004e-46,3.96282853953144e-35,5.8166309130492e-44,3.3763469276156555e-45,2.154736104785931e-33,2.690642143762983e-47,6.946316073446367e-51,9.307996890897415e-51,3.76,0.0,0.9743874683658457,0.9999999999997076,5.619907641931004e-20,6.125775885713905e-26,2.9250049445988166e-13,4.7977427012311926e-12,4.649280111633501e-24,6.370036756246521e-23
3.68632e-11,0.6049222898661898,3.3064247910783213e-17,3.2503760862677897e-19,5.198293336762724e-19,3.627014280726451e-19,0.0,0.0,3.6559570051687895e-13,1.5937986084565495e-20,6.218802801947373e-19,7.235281120507549e-19,2.880529739998351e-27,2.4095034974408347e-42,4.0220314768624146e-23,1.3040287145496044e-14,7.194763883426232e-20,3.145774401050488e-19,6.175251332968392e-37,4.02512087493854e-52,6.07119120773033e-33,3.324595781051558e-32,5.9841688949488726e-12,3.4891821045848546e-35,1.3967115704286638e-28,7.74212418755861e-39,1.0590135195567217e-45,1.0368971174351909e-34,2.1469010226415415e-43,1.2461986746932525e-44,4.571161981047076e-33,9.930480796213865e-47,2.477295244915629e-50,3.4430136901251636e-50,3.76,0.0,0.974387468364573,0.9999999999996344,1.022983942270119e-19,1.2994747994574476e-25,3.6562762756063146e-13,5.997210914192598e-12,9.291846439277498e-24,1.1511358301046662e-22
5.16088e-11,0.6049222898664427,4.783440980582834e-17,8.449026908543598e-19,1.371596255971999e-18,9.559829246125719e-19,0.0,0.0,5.118371429456737e-13,3.0648526960973347e-20,1.641112954579901e-18,1.9093568255729956e-18,7.658173468349977e-27,9.617058009894087e-42,7.728856339151628e-23,2.506048241207553e-14,1.898660624256172e-19,8.301551437570688e-19,3.4495851790733214e-36,3.453222003572845e-51,3.3999197450377626e-32,1.8615181608558903e-31,8.37108228680108e-12,1.9495959538496474e-34,5.1146615487901465e-28,6.37219479637018e-38,8.716074008542383e-45,5.821301797319836e-34,2.6287986329893368e-42,1.52591405768653e-43,1.6742159080750437e-32,1.215319188126305e-45,3.1658809757661267e-49,4.252748235779719e-49,3.76,0.0,0.9743874683620278,0.9999999999994882,2.700227614517842e-19,4.758692017939873e-25,5.118819511103197e-13,8.396147340110213e-12,3.030305106557042e-23,2.97997054899554e-22
6.63544e-11,0.6049222898666958,6.408786004490587e-17,1.7394019322830747e-18,2.8420667245516982e-18,1.979740664467429e-18,0.0,0.0,6.580785786616154e-13,5.0263830827366865e-20,3.400856911267125e-18,3.956735176669752e-18,1.5975947034002522e-26,2.6343460395456344e-41,1.2666695353687424e-22,4.1074201615661997e-14,3.9345641561095213e-19,1.7203196503147705e-18,1.1391232009011878e-35,1.424749521190631e-50,1.1353474171993007e-31,6.21559057303553e-31,1.0754000092228878e-11,6.439065730443158e-34,1.327572202552341e-27,2.6182085460622932e-37,3.5809471075862063e-44,1.9296042090667028e-33,1.3096533029826136e-41,7.601999763941579e-43,4.3462067352982417e-32,6.053095940840504e-45,1.5819413274958544e-48,2.128544011702065e-48,3.76,0.0,0.9743874683594826,0.999999999999342,5.596809470258099e-19,1.2351984129054812e-24,6.58136366107298e-13,1.0795083766020947e-11,7.33235127136699e-23,6.070085029489285e-22
9.58456e-11,0.6049222898672019,1.0317662370849132e-16,5.19116283667446e-18,8.528891452536803e-18,5.93754479167832e-18,0.0,0.0,9.50561430003778e-13,1.0420665343137739e-19,1.0207299829061393e-17,1.1875707607079835e-17,4.870009618596049e-26,1.2986207129749418e-40,2.62218361367072e-22,8.504266624793855e-14,1.1809136174893176e-18,5.16335118468282e-18,7.60680322564031e-35,1.4823679932610938e-49,7.512307420708668e-31,4.1114204727401536e-30,1.550788552199198e-11,4.3020141006444326e-33,5.878285691634125e-27,2.609434347948456e-36,3.5690030641596846e-43,1.3007651034977455e-32,1.9895917262659707e-40,1.154863479454659e-41,1.9250064296422023e-31,9.186520828333799e-44,2.487243006215338e-47,3.288990196888745e-47,3.76,0.0,0.9743874683543923,0.9999999999990494,1.680643975543052e-18,5.4695292999390904e-24,9.506455949572035e-13,1.5592956617821844e-11,2.8994977332002923e-22,1.751992315999112e-21
9.999999999999999e-11,0.6049222898682143,1.0975309129083431e-16,5.947787910329009e-18,9.776436361310668e-18,6.805724932361305e-18,0.0,0.0,9.917632357803639e-13,1.1338181771652939e-19,1.170065488431598e-17,1.3613155148165636e-17,5.603822134686619e-26,1.6832299464658032e-40,2.8523324228838905e-22,9.250936194127212e-14,1.353683796364595e-18,5.918763174031347e-18,1.0488339017880148e-34,2.4454581066127566e-49,1.0294219049320203e-30,5.63295570198941e-30,1.6176286892449852e-11,5.9332777359137895e-33,7.276520333959782e-27,4.181107635860222e-36,5.718853007416328e-43,1.8017873672837903e-32,3.954465219229112e-40,2.2953507973837863e-41,2.3831166325757866e-31,1.823863307025384e-43,5.117513472815539e-47,6.643481349277294e-47,3.76,0.0,0.9743874683536752,0.9999999999990082,1.9267605102233793e-18,6.770659511849905e-24,9.918511828345274e-13,1.6268828843280873e-11,3.500498598719545e-22,1.9906337764223943e-21
1.54828e-10,0.6049222898682143,2.2130357652370627e-16,2.2188879330066916e-17,3.656999482814935e-17,2.5450740578144748e-17,0.0,0.0,1.5355270528116474e-12,2.7094065752784785e-19,4.3776372453225565e-17,5.093172612132713e-17,2.1600567011916264e-25,1.2283632435660928e-39,6.79663950554635e-22,2.2050134582884252e-13,5.064601846218938e-18,2.2144229218440095e-17,9.41057007822127e-34,3.30710526040393e-48,9.05875490274489e-30,4.954179063167151e-29,2.4968079049106325e-11,5.328059864966131e-32,4.324793019714495e-26,5.363439273560972e-35,7.336575565680779e-42,1.6395216452143795e-31,6.928780001029224e-39,4.021721874626597e-40,1.4170508781060083e-30,3.191667710501331e-42,9.309392094389092e-46,1.1849854666619484e-45,3.76,0.0,0.9743874683442115,0.9999999999984643,7.215668761423122e-18,4.02450563150192e-23,1.5356664488883442e-12,2.5188702321342316e-11,1.8276836134707275e-21,6.929658574831821e-21
2.138104e-10,0.6049222898692265,4.106104814497229e-16,5.717379127480905e-17,9.43079280495e-17,6.563314996982123e-17,0.0,0.0,2.1204925699689504e-12,5.1613862639368e-19,1.1290851674197075e-16,1.3136368613983772e-16,5.714045637013157e-25,5.2538147778592023e-39,1.2911341600889944e-21,4.1900360259706923e-13,1.3062642348250686e-17,5.711464786107497e-17,4.158930115299637e-33,1.850815836844673e-47,4.1084838370924937e-29,2.2460751231408276e-28,3.43651299486496e-11,2.3561711912782503e-31,1.4760093450260473e-25,3.0815607572054596e-34,4.2134540294374904e-41,7.3466602659987854e-31,4.914343078249156e-38,2.8524414023670338e-39,4.838341874789529e-30,2.261867664808672e-41,6.475174722759801e-45,8.523424068701544e-45,3.76,0.0,0.9743874683340308,0.9999999999978791,1.8626400194961424e-17,1.373622918744325e-22,2.1206915569757833e-12,3.478444802475602e-11,5.760908271135064e-21,1.6826128104996107e-20
2.727928e-10,0.6049222898702388,6.958970567891836e-16,1.1641503474234973e-16,1.920871543256065e-16,1.3369515652126453e-16,0.0,0.0,2.705457982946753e-12,8.398002804514762e-19,2.300022178441713e-16,2.6759663511037073e-16,1.1912767440241154e-24,1.6617460036358996e-38,2.0951080393741015e-21,6.801082989960523e-13,2.6609412103398818e-17,1.1634636753909222e-16,1.2809009326391158e-32,6.796473312839638e-47,1.2886674631925528e-28,7.042701023637705e-28,4.369944482598524e-11,7.261227598260125e-31,3.6956839594547975e-25,1.1792882771546915e-33,1.6116407296429661e-40,2.2953420567771635e-30,2.3144445372293237e-37,1.3433675989754782e-38,1.2119990505929044e-29,1.0645467717051752e-40,2.9086230344563844e-44,4.0923092076670105e-44,3.76,0.0,0.97438746832385,0.9999999999972938,3.7973158511896525e-17,3.4395523069797124e-22,2.705722393686669e-12,4.4380193728065816e-11,1.3543847307299285e-20,3.2467459993763883e-20
3.317752e-10,0.6049222898712511,1.1026158773288457e-15,2.0634724262126586e-16,3.4052201417661735e-16,2.3704215682761486e-16,0.0,0.0,3.290423293669947e-12,1.2419254739749277e-18,4.077847281773322e-16,4.744381255506073e-16,2.159681302395699e-24,4.395209227158833e-38,3.090024236483854e-21,1.0033624975164806e-12,4.717731038934216e-17,2.0627745544733401e-16,3.208721181663386e-32,1.9679779157408034e-46,3.2595042981650237e-28,1.7807667195356873e-27,5.297144117074859e-11,1.8201434466447866e-30,7.753976547576183e-25,3.551822433350082e-33,4.85165874048586e-40,5.8347270581739254e-30,8.394428990599293e-37,4.872322749924531e-38,2.5441684442266706e-29,3.858535466786213e-40,1.0102045606314694e-43,1.5155504138171075e-43,3.76,0.0,0.9743874683136693,0.9999999999967084,6.737709705660394e-17,7.217048299879084e-22,3.2907604838750998e-12,5.397593943127551e-11,2.6878251475907777e-20,5.46979551174005e-20
