Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158)
0.0,0.6049222898655571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.974387468370936,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.6049222898655571,8.63069708684173e-22,2.7775042182532884e-25,3.7986362180920093e-31,2.424089877798976e-30,0.0,0.0,9.917633910427025e-18,2.255406660266164e-29,6.500715115495478e-32,7.563272681882059e-32,2.9532893858464175e-40,8.859980045930324e-60,5.702412290476933e-32,1.8484733431094722e-23,8.039460722051114e-33,3.2883794075001483e-32,2.0759216209207932e-58,1.2667966610858543e-77,1.445716869119809e-54,7.919045820979022e-54,1.6268826994966806e-16,1.1723387371997763e-56,1.4388705637037258e-45,1.5932895736892178e-64,2.34064058106546e-71,3.6865571410985602e-56,4.280133881315689e-73,2.4844846835070043e-74,4.404181217898092e-50,1.8535095984142817e-76,6.643912384185639e-80,6.312780866363842e-80,3.76,0.0,0.9743874683709359,1.0,1.0687237164869301e-32,1.3386276157353276e-42,9.91849698018573e-18,1.6268828843440172e-16,3.3788788343703476e-37,1.2666612845678424e-35
2.8e-15,0.6049222898655571,2.4165952040188426e-21,7.777025277065864e-25,2.611169959913525e-30,1.4861568494892135e-29,0.0,0.0,2.7769374949095454e-17,1.3622656227781555e-28,7.717648133044116e-31,8.979116336585005e-31,3.506150368384503e-39,2.7857189355753052e-58,3.4442565590011105e-31,1.1164777646347576e-22,9.242018296786239e-32,3.9039636015664128e-31,1.2628842494238706e-56,1.1019628780634308e-75,6.906362001472681e-53,3.78302256897527e-52,4.555270959685456e-16,7.13190798719884e-55,3.1212665208166713e-44,1.2294534507023486e-62,1.7681583655011807e-69,2.1728175216917022e-54,4.398516074398767e-71,2.5532018644341087e-72,9.851976233010427e-49,1.9399163095986496e-74,8.5004604037047915e-78,6.607076093960354e-78,3.76,0.0,0.9743874683709355,1.0,1.2687887175360268e-31,2.9038144313287074e-41,2.7771791544600916e-17,4.555272076163247e-16,4.012047403403478e-36,1.5037736820718756e-34
6.4e-15,0.6049222898655571,5.5236462795715534e-21,1.7776136600770853e-24,1.579833817568002e-29,7.37935174102645e-29,0.0,0.0,6.347285702603149e-17,6.558722567714883e-28,7.577230897198555e-30,8.815747564831746e-30,3.4423702576122465e-38,6.214783098688825e-57,1.658260797400399e-30,5.375358462712353e-22,8.917149629702484e-31,3.8329337012274e-30,5.701260654011323e-55,1.1454063500360174e-73,3.596126897045017e-51,1.9698110630606814e-50,1.0412045084443008e-15,3.2196830971609054e-53,6.057568502435856e-43,1.3399179691014973e-60,1.8820043427827944e-67,9.638413503821687e-53,9.522365684129792e-69,5.527437287411923e-70,1.9465840492919674e-47,4.3053861469077704e-72,1.8235290532040264e-75,1.466356976345871e-75,3.76,0.0,0.9743874683709348,1.0,1.2457041200377169e-30,5.635550152621402e-40,6.347838067375514e-17,1.04120504598017e-15,3.9404127483714726e-35,1.4763999490926013e-33
1.36e-14,0.6049222898655573,1.1737748818776304e-20,3.7774758810413685e-24,9.734566352966189e-29,3.419695649346986e-28,0.0,0.0,1.3487982117830025e-16,2.864366458187601e-27,6.701971708485365e-29,7.797425150458952e-29,3.044757139101768e-37,1.1639591177366566e-55,7.242056409982566e-30,2.347559059398302e-21,7.819591847996814e-30,3.390184828032542e-29,2.1526856400250263e-53,9.168611814625815e-72,1.4351186566756563e-49,7.86099127055592e-49,2.2125583751486057e-15,1.215690260232133e-51,1.0682297517747683e-41,1.0961351952642173e-58,1.5226964905323757e-65,3.6075463253362716e-51,1.570789460839794e-66,9.117944512702314e-68,3.4638407544115276e-46,7.188239763909806e-70,2.976264927665727e-73,2.448233150660856e-73,3.76,0.0,0.9743874683709336,0.9999999999999999,1.1018108905607183e-29,9.938083738579911e-39,1.348915589333617e-16,2.2125607227078586e-15,3.487671155838213e-34,1.3058341859512827e-32
2.8e-14,0.6049222898655576,2.4165955838109195e-20,7.777458338014327e-24,6.433300944558139e-28,1.592243535393663e-27,0.0,0.0,2.7769374947642463e-16,1.1958166109577348e-26,5.633405643838023e-28,6.554199384993606e-28,2.5593348585327006e-36,2.010446570431565e-54,3.0234125173859636e-29,9.800586888026604e-21,6.544968635272981e-29,2.849651889726012e-28,7.468653311315904e-52,6.527591976145275e-70,5.1006280423379535e-48,2.793914022431723e-47,4.555262275574742e-15,4.217788606456712e-50,1.793628164666052e-40,7.888951647181491e-57,1.090078728481862e-63,1.2461864289774039e-49,2.2733246856159668e-64,1.3195942967139685e-65,5.842268466598658e-45,1.0463903816596652e-67,4.281196757816211e-71,3.563930338262926e-71,3.76,0.0,0.9743874683709312,0.9999999999999998,9.261379438722752e-29,1.6686698145412609e-37,2.777179154577899e-16,4.55527207616323e-15,2.9356697990450854e-33,1.0975905147563895e-31
5.68e-14,0.6049222898655581,4.9022380748665543e-20,1.5779240830475186e-23,4.56443572005915e-27,7.849862197185052e-27,0.0,0.0,5.633216060470209e-16,4.8853010397326605e-26,4.618597445324814e-27,5.373518338554491e-27,2.0983514997682786e-35,3.3403760857009193e-53,1.2351598262021132e-28,4.003851302158781e-20,5.35464122912021e-28,2.336312307363194e-27,2.4873645930767495e-50,4.40084100842201e-68,1.7180263165211597e-46,9.41063553830485e-46,9.240654744547937e-15,1.4046959426842418e-48,2.9394175615282235e-39,5.3473707280502326e-55,7.369604134032294e-62,4.14134001362455e-48,3.0908681028734687e-62,1.7941527956403118e-63,9.595926247254943e-44,1.42676127648593e-65,5.802466179997737e-69,4.859563705970513e-69,3.76,0.0,0.9743874683709262,0.9999999999999994,7.593030234118037e-28,2.7346346594210236e-36,5.633706285276861e-16,9.240694783073946e-15,2.4135164673379567e-32,8.998024756954284e-31
1.144e-13,0.604922289865559,9.8735298922733e-20,3.179636023019295e-23,3.410373591624865e-26,4.260440025684923e-26,0.0,0.0,1.1345773190856036e-15,1.9747167883862142e-25,3.740245610068756e-26,4.3515977771012846e-26,1.6993871605612663e-34,5.445621469173483e-52,4.99269055307766e-28,1.6184140613133786e-19,4.331754713337716e-27,1.8919990224223228e-26,8.119114940192394e-49,2.889939668269922e-66,5.638697083709534e-45,3.088640944961784e-44,1.8611378355384467e-14,4.585136949286421e-47,4.759554877430126e-38,3.5209258581948944e-53,4.8461660999205575e-60,1.3503532040299511e-46,4.0764087716303087e-60,2.3662284064573917e-61,1.5555354028777525e-42,1.8843450621173775e-63,7.640404543154846e-67,6.41840913923644e-67,3.76,0.0,0.9743874683709162,0.9999999999999989,6.149019499248087e-27,4.427967667381177e-35,1.134676054753076e-15,1.8611540196895273e-14,1.965340304865904e-31,7.285723828691454e-30
2.296e-13,0.604922289865561,1.9816160760288637e-19,6.393508875931139e-23,2.630137591767231e-25,2.5875805573091724e-25,0.0,0.0,2.277088744752329e-15,7.940249345917348e-25,3.0104519666801197e-25,3.502517602322096e-25,1.3679558267439273e-33,8.794588622607356e-51,2.0075204569937864e-27,6.507518272677513e-19,3.484717498599548e-26,1.5228337312590515e-25,2.6239205712744765e-47,1.873354731867075e-64,1.8272291405555753e-43,1.0008769978291061e-42,3.735258027186974e-14,1.4818211549673313e-45,7.660755050164645e-37,2.285433015666732e-51,3.1436171417076935e-58,4.361846587522569e-45,5.29600550841254e-58,3.074166107796686e-59,2.505123795750151e-41,2.4498143991608384e-61,9.918328377163218e-65,8.345303573994622e-65,3.76,0.0,0.9743874683708963,0.9999999999999978,4.9492445210953697e-26,7.127050353019848e-34,2.2772869075577428e-15,3.735323102453751e-14,1.599273676487573e-30,5.862398499595158e-29
4.600000000000001e-13,0.6049222898655648,3.9701770560582184e-19,1.2903266953432145e-22,2.064483745915764e-24,1.739130433141435e-24,0.0,0.0,4.562111594444021e-15,3.1843951168387618e-24,2.4156610488664205e-24,2.8105066742609167e-24,1.0979249977784233e-32,1.4136754509556857e-49,8.050906889346513e-27,2.609762982333517e-18,2.795490602413917e-25,1.2219594165507011e-24,8.437896838968358e-46,1.2065873475231003e-62,5.883813242318002e-42,3.222883793127874e-41,7.483400291010175e-14,4.765212649469402e-44,1.229356685335462e-35,1.472982885760013e-49,2.0254357220654476e-56,1.4023901047356725e-43,6.829257018892076e-56,3.964170189562115e-57,4.021220654701676e-40,3.1601246400667746e-59,1.2784629901429182e-62,1.0767060272655535e-62,3.76,0.0,0.9743874683708565,0.9999999999999954,3.9714228130848945e-25,1.1437114168674742e-32,4.562508614674609e-15,7.48366126798203e-14,1.311209513946817e-29,4.701342141220277e-28
