Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128)
1.2650434626004842e-19,0.7758280822050693,1.9139108941649383e-22,1.1962303475653137e-24,1.3261778478347087e-33,4.374787189689362e-18,0.0,0.0,2.430810869623088e-19,5.0614099110394665e-34,2.9805311801272777e-41,3.5643840785549675e-41,1.231319451479943e-47,2.36311380804216e-55,2.5967440227070234e-35,1.371356715017138e-28,4.498410082071167e-21,3.9354665731927015e-36,4.1105250960650363e-72,2.6007386879980046e-71,3.03748859434322e-49,3.12757780149525e-66,1.7917224495006427e-17,2.1704981812892063e-66,7.041604899618958e-37,3.86733733292825e-78,3.7061824190750216e-53,1.2242899859057683e-49,4.1663184896794316e-54,1.1870349756770756e-54,2.387035631594798e-50,4.829398379970718e-78,5.188528446976718e-66,1.3379408641611782e-81,3.76,0.0,0.899018110463071,0.9999999999996648,4.9018560895452166e-42,3.7660108688136953e-34,2.4327247805108515e-19,1.791722449514363e-17,1.6344776972464265e-46,4.047342008043967e-45,2.9358340548179105e-34,4.374787189688551e-18,1.8488687083839195e-33,3.894362252062807e-34,1.2485501340419327e-36,1.4833080576345774e-35,7.513731334508465e-31,4.498410082030674e-21,4.0077230125454995e-34,2.2291773433083646e-32,3.3517625821451564e-13
2.531186007270995e-19,0.7758280822050693,3.8294846277921573e-22,2.3934999936329107e-24,5.308167610515102e-33,8.753375237058734e-18,0.0,0.0,4.863733651382008e-19,2.0258830059058534e-33,2.3862372346267232e-40,2.8536745699202222e-40,9.858042561734034e-47,1.891927920770914e-54,1.039374340096088e-34,5.48900071873406e-28,9.00072842659341e-21,1.575218277489909e-35,1.3169919735594322e-70,4.164570414826212e-70,2.4318377985768857e-48,5.100355762000637e-65,3.58500156487262e-17,3.4768445493110732e-65,2.8184770550255404e-36,1.2388136580229576e-76,2.9671994528324254e-52,9.804249316292725e-49,3.3364338247205716e-53,9.505907083723093e-54,1.9110799252029686e-49,1.5473154062135303e-76,8.308405671995942e-65,4.286696560997054e-80,3.76,0.0,0.899018110463071,0.9999999999993293,3.9244654099650817e-41,1.5073857982825839e-33,4.867563135984176e-19,3.585001564927535e-17,1.30857599047556e-45,3.240334563486796e-44,1.1751020588297727e-33,8.753375237055489e-18,7.400293124559253e-33,1.5587598009105417e-33,4.997454352447149e-36,5.937097842465731e-35,3.007450668696159e-30,9.000728426431339e-21,1.604133647663412e-33,8.92251877704889e-32,6.706437206777366e-13
5.063471096612016e-19,0.7758280822050693,7.6606321402276e-22,4.78803929157922e-24,2.123958545050813e-32,1.7510551331797474e-17,0.0,0.0,9.729579214896502e-19,8.106170858436131e-33,1.9097150138607777e-39,2.283806960240057e-39,7.889430110557728e-46,1.514117332095117e-53,4.158851208080656e-34,2.1963152628861686e-27,1.8005365115635615e-20,6.302973230705791e-35,4.216974535529512e-69,6.66602482752776e-69,1.9462093240131116e-47,8.456567948851797e-64,7.171559795534184e-17,5.566205717119059e-64,1.127757945631698e-35,3.966244476571319e-75,2.374661354749261e-51,7.847373166147818e-48,2.6704993335232007e-52,7.608578461555849e-53,1.529444756481328e-48,4.954464224979204e-75,1.329885989907036e-63,1.372589249186936e-78,3.76,0.0,0.899018110463071,0.9999999999986584,3.140765053085397e-40,6.031506654057236e-33,9.737239846934205e-19,7.171559795753919e-17,1.0472584957625941e-44,2.5932524543588466e-43,4.701965577061812e-33,1.7510551331784504e-17,2.9610811827321715e-32,6.237069582246238e-33,1.9996326901327358e-35,2.3756124794464362e-34,1.2033720060649717e-29,1.8005365114987103e-20,6.418624070573837e-33,3.5701697227097677e-31,1.3415786451662266e-12
1.0128041275294059e-18,0.7758280822050693,1.5322927345822504e-21,9.577117910716294e-24,8.497217859010891e-32,3.5024903521274956e-17,0.0,0.0,1.9461270341912118e-18,3.24299618551829e-32,1.5280621634887687e-38,1.8273925812759063e-38,6.312742769981811e-45,1.2115239129739207e-52,1.6638112912981985e-33,8.7866912056703e-27,3.601463849371086e-20,2.521638366680185e-34,1.349848039508655e-67,1.0667809996081036e-67,1.5572631564521703e-46,1.4468145376331904e-62,1.4344676256527758e-16,8.908579470571319e-63,4.511766134271672e-35,1.2695340304937629e-73,1.900089877877943e-50,6.279488407070514e-47,2.1369405084332924e-51,6.088404265490847e-52,1.2237881815033023e-47,1.5859175195342757e-73,2.128250557684083e-62,4.393640255492797e-77,3.76,0.0,0.8990181104630709,0.9999999999973166,2.513089234425657e-39,2.4129954097490831e-32,1.9476593268847777e-18,1.4344676257406833e-16,8.379659124706981e-44,2.0749959687962676e-42,1.8811137682564618e-32,3.502490352122306e-17,1.1846252871924268e-31,2.495233966430593e-32,7.999832847781751e-35,9.503996820961436e-34,4.814271613019675e-29,3.601463849111639e-20,2.5678675831948427e-32,1.4283003645740662e-30,2.683448492391399e-12
2.025718163265814e-18,0.7758280822050694,3.0647518479908393e-21,1.91552752419683e-23,3.399164283164552e-31,7.005360790022994e-17,0.0,0.0,3.892465259588986e-18,1.297304050152641e-31,1.2225658040534714e-37,1.4620529126358063e-37,5.050673741335984e-44,9.69311159052566e-52,6.655786819528953e-33,3.514962533172175e-26,7.203318524982471e-20,1.0087683608297776e-33,4.3201797493787954e-66,1.707023242764418e-66,1.2459288166935987e-45,2.61418200121802e-61,2.869090917719668e-16,1.4255994709297805e-61,1.8048533344406596e-34,4.0631049478422105e-72,1.5202162353426415e-49,5.024226754046478e-46,1.7097688498150876e-50,4.871340089373074e-51,9.791235058823091e-47,5.075718552986435e-72,3.4055473144898014e-61,1.40618166731193e-75,3.76,0.0,0.8990181104630707,0.9999999999946328,2.0106622846360946e-38,9.652767191185835e-32,3.895530011272895e-18,2.869090918071327e-16,6.7043638393573036e-43,1.6601543935086342e-41,7.525238395287802e-32,7.005360790002235e-17,4.738886804866598e-31,9.98174819034153e-32,3.200193577893221e-34,3.801908129389846e-33,1.9258653741015624e-28,7.203318523944601e-20,1.0272306297837598e-31,5.713666442383938e-30,5.367188179834511e-12
4.051546234738631e-18,0.7758280822050694,6.129670363966462e-21,3.83115902763839e-23,1.3597214504272165e-30,1.4011101665813988e-16,0.0,0.0,7.785141710363141e-18,5.1894273600052045e-31,9.78099074872505e-37,1.1696979162055919e-36,4.040730815873032e-43,7.754857405551484e-51,2.6624230622413293e-32,1.4060422252534752e-25,1.4407027876190587e-19,4.0354850249387126e-33,1.382564092955583e-64,2.7313761117523197e-65,9.967903724931061e-45,5.139771082014154e-60,5.738337501326164e-16,2.2811875983094663e-60,7.219707109072213e-34,1.3003265196298865e-70,1.216230724559024e-48,4.0196358318530577e-45,1.367901662362093e-49,3.897318762462834e-50,7.833359913190291e-46,1.6243551460359544e-70,5.449152858064068e-60,4.500128226812406e-74,3.76,0.0,0.8990181104630703,0.9999999999892654,1.60860619049812e-37,3.8612639925030043e-31,7.791271380070756e-18,5.738337502732856e-16,5.36374571396669e-42,1.3281865647798963e-40,3.01035458995919e-31,1.401110166573095e-16,1.8956318562597248e-30,3.992861746610885e-31,1.2801295229952704e-33,1.5208251328296808e-32,7.703774965199819e-28,1.440702787203894e-19,4.109089714576526e-31,2.285559577078034e-29,1.0734667526691809e-11
8.103202377684264e-18,0.7758280822050697,1.2259508552551558e-20,7.662422183286273e-23,5.438999736236918e-30,2.802258341739599e-16,0.0,0.0,1.5570494611825867e-17,2.0758131766213504e-30,7.824978327976745e-36,9.357806385328128e-36,3.232661387739797e-42,6.204033179666891e-50,1.064990891932403e-31,5.624283325154109e-25,2.8814446578548204e-19,1.6144247648505747e-32,4.424375620344206e-63,4.370312920800611e-64,7.974512261523911e-44,1.1285799631707106e-58,1.1476830666429998e-15,3.6502334041456066e-59,2.887941598445422e-33,4.161497960510475e-69,9.73007674754186e-48,3.215810442802943e-44,1.0943559639471328e-48,3.1179536975515404e-49,6.266836686661096e-45,5.198136805271848e-69,8.718866303248847e-59,1.4400965394516896e-72,3.76,0.0,0.8990181104630696,0.9999999999785304,1.286915498125991e-36,1.5445370207636563e-30,1.558275411775295e-17,1.1476830672056886e-15,4.2910984517574587e-41,1.062574471233592e-39,1.2042757332124855e-30,2.8022583417063836e-16,7.582681699190211e-30,1.597177193130208e-30,5.120622295329664e-33,6.083424285024297e-32,3.0815726808308224e-27,2.881444656194126e-19,1.6436693226955524e-30,9.142424311837495e-29,2.1469626108290694e-11
1.6206514663575532e-17,0.7758280822050698,2.4519189556257764e-20,1.5324949089642143e-22,2.1756246481856296e-29,5.604554692056005e-16,0.0,0.0,3.1141200414408995e-17,8.303337172383828e-30,6.260056951000947e-35,7.486335460305036e-35,2.586159810811317e-41,4.963285443475875e-49,4.260006900300642e-31,2.249736213600551e-24,5.762928398302898e-19,6.459348073467994e-32,1.4158274815212121e-61,6.992589587850506e-63,6.379685522816291e-43,2.785581848326184e-57,2.295381698820105e-15,5.841121600088628e-58,1.1551883900529893e-32,1.3319056957347345e-67,7.784153779315259e-47,2.5726890702208446e-43,8.754986249864456e-48,2.4944024467705584e-48,5.013528861661267e-44,1.6634358287989824e-67,1.3950363470747645e-57,4.6083977501286454e-71,3.76,0.0,0.8990181104630681,0.9999999999570605,1.0295446166287041e-35,6.1782109311174104e-30,3.1165719593463284e-17,2.295381701070882e-15,3.432919547578674e-40,8.500696628806211e-39,4.818027131123968e-30,5.604554691923139e-16,3.0331035370040116e-29,6.388773760571186e-30,2.048269773241435e-32,2.4333944564549626e-31,1.2326416112949758e-26,5.762928391660053e-19,6.57474414255804e-30,3.6570069257433272e-28,4.2939542823025655e-11
3.241313923535807e-17,0.77582808220507,4.903857006981919e-20,3.065000528260265e-22,8.70256383302725e-29,1.1209147392688828e-15,0.0,0.0,6.228261201820597e-17,3.321351762134842e-29,5.008075270093244e-34,5.989106315030905e-34,2.068940138887823e-40,3.970651909819919e-48,1.7040114251638813e-30,8.998990609741013e-24,1.1525895879105272e-18,2.585019035240731e-31,4.530691586010358e-60,1.1188214471448803e-61,5.1037787038215e-42,7.592432101988705e-56,4.590778959799666e-15,9.347934055942222e-57,4.6207770585215175e-32,4.263445038884105e-66,6.227359975604334e-46,2.0581675497788653e-42,7.004044415539089e-47,1.995537773979875e-47,4.010846908971931e-43,5.323045910860629e-66,2.232072345797071e-56,1.4747014989685002e-69,3.76,0.0,0.8990181104630652,0.9999999999141206,8.236405800647962e-35,2.4712969420982316e-29,6.233165054626766e-17,4.590778968802822e-15,2.7463520060729674e-39,6.800597614812212e-38,1.927920814834833e-29,1.1209147392157366e-15,1.2132475880730752e-28,2.555522500696526e-29,8.193120917405459e-32,9.733627242801038e-31,4.9305915224236654e-26,1.1525895852533754e-18,2.629911009398414e-29,1.4628102105098125e-27,8.587937445864435e-11
6.482638837892314e-17,0.7758280822050708,9.807740512157737e-20,6.130012718958548e-22,3.4810511674522946e-28,2.241833279395454e-15,0.0,0.0,1.2456543522032272e-16,1.3285440834388699e-28,4.006472089665306e-33,4.7913031199589124e-33,1.6551570430765844e-39,3.1765309418790535e-47,6.816063018708117e-30,3.599605385430366e-23,2.3051830840334912e-18,1.0350235776538948e-30,1.4498282841980318e-58,1.790120005502089e-60,4.0830350772089156e-41,2.5362567634520556e-54,9.181573468260192e-15,1.4963337197311569e-55,1.8483155205652362e-31,1.3657318704015189e-64,4.981902760422026e-45,1.6465405686273028e-41,5.603257698630481e-46,1.5964365793553478e-46,3.208687078348207e-42,1.7033828777526592e-64,3.5713271041749624e-55,4.719067591503021e-68,3.76,0.0,0.8990181104630595,0.9999999998282408,6.589144179279601e-34,9.88521290761357e-29,1.246635124574113e-16,9.181573504272908e-15,2.1970882375755835e-38,5.44049416528711e-37,7.717304165369361e-29,2.241833279182868e-15,4.853002713090085e-28,1.0222115986181112e-28,3.277256823096764e-31,3.8934607260349726e-30,1.9722416237948654e-25,2.3051830734048543e-18,1.0519670598087586e-28,5.8512557223189505e-27,1.7175903055447752e-10
