Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70)
0.0,0.7684555281769408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7220646204038255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.329304130061774e-22,0.7684555281769408,2.7227984907907817e-25,2.6870439589605122e-27,8.606422602678511e-39,6.534055352563274e-21,0.0,0.0,3.154087704744718e-22,1.037906986111556e-39,1.1286545704616556e-49,7.312413799330413e-38,6.577216585259698e-56,2.0080789946573657e-63,7.184262774232581e-41,2.7802142935093332e-34,7.165744894512978e-24,1.134528120036584e-41,4.7995091235113334e-86,6.322913282289438e-82,1.7449626873280357e-57,3.81919206125024e-77,2.2796493037351735e-20,5.735003020711044e-59,2.157054409609782e-42,9.695398801794275e-80,3.1072434655901966e-61,4.588688037463978e-58,1.7814288470051998e-62,6.013942855375525e-63,1.4417300775808318e-58,1.6031458719810978e-88,8.838833484925594e-77,2.063266684600674e-95,3.76,0.0,0.7220646204038255,0.9999999999999997,1.857412934712367e-50,9.089490650851512e-40,3.1568105032354903e-22,2.2796493037352015e-20,6.2789614744010625e-55,1.484955999543386e-53,3.800999230790283e-40,6.534055352563273e-21,3.1300226403622397e-39,7.303559787937448e-40,2.0123878276913204e-42,2.4233748305052965e-41,2.0004809483697653e-36,7.165744894512895e-24,9.60782400302497e-40,4.793583838848703e-38,4.0620191884694565e-16,1.4974456102667298e-59,6.24102966001902e-39,1.0423494744931143e-58,3.665186546882177e-74,2.9887593930125464e-58,1.9337150599359935e-89,2.1450870566742805e-59,4.15843308090603e-74,5.605254006364016e-57,2.4994904267081328e-40,1.078463809147581e-82,1.528943554222149e-43,1.1224326950068515e-60
3.7220515641729677e-22,0.7684555281769407,7.6238357742790645e-25,7.523723085095388e-27,5.198279252073014e-38,1.8295354987177168e-20,0.0,0.0,8.831445573285203e-22,6.268958196113796e-39,1.3399387060530777e-48,4.41669793480351e-37,7.808471530020974e-55,2.3839913824572133e-62,4.339294715636409e-40,1.679249433279597e-33,2.0064085704636336e-23,6.852549878317022e-41,2.9127981079445227e-84,1.4144104095953506e-80,2.071619702395844e-56,1.0036359602227879e-75,6.383018050458399e-20,6.808595586188066e-58,1.3028608634042904e-41,3.0483885097532804e-78,3.6889194423486734e-60,6.934425362216021e-57,2.6920952735942525e-61,9.08827044304481e-62,1.7116219481045835e-57,5.042325612658369e-87,1.9772117036431183e-75,1.2551858931588028e-93,3.76,0.0,0.7220646204038255,0.9999999999999988,2.2051206360912805e-49,5.4900523531143143e-39,8.839069409059376e-22,6.383018050458565e-20,7.454383062411158e-54,1.7629397626577542e-52,2.2958035538234795e-39,1.829535498717716e-20,1.8905336747788713e-38,4.411350111914176e-39,1.215482247925839e-41,1.4637183976245233e-40,1.2082904928153324e-35,2.0064085704635837e-23,5.803125697826297e-39,2.8953246386646156e-37,1.1373653727710008e-15,1.8995577467681862e-58,3.769581914651483e-38,1.2424647022830919e-57,1.1523932933243029e-72,3.548255151382898e-57,1.176373236077902e-87,3.2343893034931486e-58,1.1805485072669732e-72,6.654557556355288e-56,1.5096922177316003e-39,3.390862770174969e-81,9.234819268730028e-43,1.332552095512157e-59
8.507546432395356e-22,0.7684555281769408,1.7425910341515137e-24,1.7197081337388952e-26,2.5027476929417e-37,4.1817954256404953e-20,0.0,0.0,2.018616131036616e-21,3.0182335156123996e-38,1.3155597673314726e-47,2.126449932857196e-36,7.66640365178074e-54,2.3406168761725816e-61,2.089183614746728e-39,8.084863165524522e-33,4.5860767324883046e-23,3.299207823010468e-40,1.3167432394337029e-82,2.794636620822651e-79,2.0339285083495558e-55,2.127042546518973e-74,1.4589755543904484e-19,6.684719520940526e-57,6.272714223144975e-41,6.8007870740863836e-77,3.6218029834919092e-59,7.459738368745956e-56,2.8960332479994055e-60,9.776746621131255e-61,1.6804805784292485e-56,1.1257556736369546e-85,3.906637145156619e-74,5.666509124507038e-92,3.76,0.0,0.7220646204038255,0.9999999999999973,2.1650005167017613e-48,2.6432238812676184e-38,2.0203587220707162e-21,1.4589755543905293e-19,7.31875749456873e-53,1.7308647130672904e-51,1.1053306039530366e-38,4.1817954256404893e-20,9.102105838174565e-38,2.1238751863321446e-38,5.852023802930571e-41,7.047174007099269e-40,5.817398597859189e-35,4.586076732488063e-23,2.793955220078484e-38,1.3939741803372011e-36,2.599692280617322e-15,1.9183648552593428e-57,1.8148914251335234e-37,1.2220446642233562e-56,2.5709260443382337e-71,3.4836979484904725e-56,5.3107111056662454e-86,3.4769070419888544e-57,2.5716458641227467e-71,6.53348406981767e-55,7.26851816086557e-39,7.564828309186512e-80,4.4461681575203796e-42,1.3083075493000551e-58
1.8078536168840132e-21,0.7684555281769408,3.703005947702531e-24,3.654379784207133e-26,1.0930156706257202e-36,8.886315279486054e-20,0.0,0.0,4.2895592784528e-21,1.3181418723616709e-37,1.163597715964418e-46,9.286765525272719e-36,6.78084721074361e-53,2.07024912033186e-60,9.124013723274271e-39,3.530872152756208e-32,9.745413056537641e-23,1.440850764055346e-39,4.974627412797424e-81,4.972906549896886e-78,1.7989867321277075e-54,3.902094272102474e-73,3.1003230530795215e-19,5.912558714231697e-56,2.7394591002041434e-40,1.273712153374815e-75,3.2034437232848204e-58,6.856784760624952e-55,2.6619534975029204e-59,8.986514529940012e-60,1.4863660407840766e-55,2.111578022898977e-84,6.951652075052677e-73,2.139566028083398e-90,3.76,0.0,0.7220646204038255,0.9999999999999944,1.9149184391719947e-47,1.1543653126581413e-37,4.293262284400278e-21,3.100323053079874e-19,6.473358121662899e-52,1.5309302372882386e-50,4.827269308708956e-38,8.886315279486026e-20,3.975128753261252e-37,9.275520930679882e-38,2.555732541172328e-40,3.0776860347312573e-39,2.54061080442951e-34,9.745413056536589e-23,1.2201936483829543e-37,6.087851475337838e-36,5.524346096302809e-15,1.7179666814835872e-56,7.92610766822408e-37,1.0817526050394006e-55,4.815059951141246e-70,3.0812913838098184e-55,2.0052234650107388e-84,3.194969940176131e-56,4.77026348475971e-70,5.778792670400572e-54,3.1743528419175923e-38,1.4168086207437404e-78,1.9417586257659112e-41,1.1571832112444074e-57
3.7220515641729684e-21,0.7684555281769408,7.623835775219773e-24,7.523723085181708e-26,4.56312526471009e-36,1.8295354987177168e-19,0.0,0.0,8.83144557328514e-21,5.502982840363426e-37,9.780739922898825e-46,3.8770417965157704e-35,5.699710657328436e-52,1.740169127505977e-59,3.8090961228971165e-38,1.4740696184180664e-31,2.0064085704636295e-22,6.015268556913927e-39,1.7263783818528083e-79,8.387533751718795e-77,1.5121567454354709e-53,6.67601198285937e-72,6.383018050457091e-19,4.969861857698841e-55,1.1436702479748547e-39,2.2000209956902713e-74,2.6926874713849264e-57,5.866123722843534e-54,2.277357260865271e-58,7.6881523790152375e-59,1.249380217552042e-54,3.658157559475682e-83,1.1724977304342592e-71,7.423148481510782e-89,3.76,0.0,0.7220646204038255,0.9999999999999886,1.609604330615434e-46,4.819247943081463e-37,8.839069409059423e-21,6.383018050458565e-19,5.441247550358458e-51,1.2868391099064715e-49,2.0152900492097754e-37,1.8295354987177055e-19,1.6595380039211463e-36,3.872347399563825e-37,1.0669680262458537e-39,1.2848733351244865e-38,1.0606549988255671e-33,2.0064085704631901e-22,5.094068286392887e-37,2.5415581513575695e-35,1.1373653727645162e-14,1.4524579012599211e-55,3.308993925742017e-36,9.096223702401454e-55,8.316818644730839e-69,2.5900110698155222e-54,6.957051720157497e-83,2.7330181401282304e-55,8.201349696133447e-69,4.857423437850096e-53,1.3252298242390895e-37,2.4471845569487545e-77,8.106461531619875e-41,9.726822145700772e-57
7.550447458750877e-21,0.7684555281769408,1.5465495431915092e-23,1.526240968728326e-25,1.8641855620824624e-35,3.7113434402559396e-19,0.0,0.0,1.7915218162949715e-20,2.248148048197039e-36,8.018841516205627e-45,1.5838980786839636e-34,4.672967158897979e-51,1.4266957873195444e-58,1.5561400539490283e-37,6.022055368308023e-31,4.070143100083353e-22,2.4574336823837415e-38,5.750274203371868e-78,1.3776549373437353e-75,1.2397574605704205e-52,1.1043721842154129e-70,1.2948408045209923e-18,4.0745930173467685e-54,4.672266133389044e-39,3.6553677903561656e-73,2.2076278743659653e-56,4.850224533762562e-53,1.8829630230547824e-57,6.356713061274925e-58,1.0243173867234398e-53,6.114414499182424e-82,1.9258310434277795e-70,2.472218373551483e-87,3.76,0.0,0.7220646204038255,0.9999999999999769,1.3196508784357893e-45,1.9688200329370333e-36,1.7930683658377804e-20,1.294840804521595e-18,4.461063488136945e-50,1.0550284498439871e-48,8.23311855017335e-37,3.7113434402558924e-19,6.779754239939428e-36,1.5819802643058874e-36,4.358912530325657e-39,5.249126817787924e-38,4.333121753406148e-33,4.070143100081557e-22,2.0810931103419493e-36,1.0383094338299733e-34,2.307226899021538e-14,1.1941567879185424e-54,1.3518319884787028e-35,7.459003174451157e-54,1.3818518566689236e-67,2.1234475568959505e-53,2.3169886914127785e-81,2.2595770055649872e-54,1.3595245538397913e-67,3.9824092075117164e-52,5.413996243853654e-37,4.0660337422260164e-76,3.311755272894165e-40,7.974636464889033e-56
1.5207239247906695e-20,0.7684555281769408,3.114881475194906e-23,3.073978289209595e-25,7.535336102292256e-35,7.474959323332386e-19,0.0,0.0,3.6082763342278426e-20,9.087373858759711e-36,6.493865762324057e-44,6.402369277947714e-34,3.7842899601417754e-50,1.1553752381572866e-57,6.290166903446831e-37,2.4342110642494503e-30,8.1976121593227685e-22,9.933341499296077e-38,1.8770991011749543e-76,2.233238020632506e-74,1.0039877344526825e-51,1.7973984501701584e-69,2.6079188034706368e-18,3.299711066403844e-53,1.8886046742232742e-38,5.959172071733925e-72,1.7877942892792506e-55,3.944122040373823e-52,1.5311942588896312e-56,5.169173491834977e-57,8.295187769918147e-53,1.0086499538917561e-80,3.1218551114107697e-69,8.069732527749991e-86,3.76,0.0,0.7220646204038255,0.9999999999999535,1.0686874956163197e-44,7.958285360371675e-36,3.61139121570149e-20,2.6079188034730723e-18,3.612684873611964e-49,8.543893921407798e-48,3.3279590647124004e-36,7.474959323332194e-19,2.740485062731449e-35,6.394617165204817e-36,1.7619421377867488e-38,2.1217809860336364e-37,1.7515170933826764e-32,8.1976121593155105e-22,8.412111090124241e-36,4.197012742936212e-34,4.646949951489787e-14,9.683931177248275e-54,5.464321036769867e-35,6.041040437537287e-53,2.2527672877464719e-66,1.7196228856431545e-52,7.563036990674447e-80,1.8373969980095358e-53,2.2138078109375314e-66,3.2250582271729846e-51,2.1884238441125694e-36,6.628661214131504e-75,1.3386654260451246e-39,6.4580673656833926e-55
3.052082282621833e-20,0.7684555281769408,6.251545341859037e-23,6.169452930415972e-25,3.029925507312795e-34,1.500219108948528e-18,0.0,0.0,7.241785370093413e-20,3.65399306088494e-35,5.226828119063018e-43,2.574364528335298e-33,3.045925785725731e-49,9.29946507042579e-57,2.5292484467140336e-36,9.787855628838414e-30,1.6452550277801478e-21,3.994154251559222e-37,6.066641849642543e-75,3.596560985390845e-73,8.08096673646358e-51,2.903276267376164e-68,5.234074801366234e-18,2.6558945346143595e-52,7.593996331193419e-38,9.624078833823754e-71,1.4389723785997438e-54,3.181077311208856e-51,1.2349636411159006e-55,4.169125687375338e-56,6.676688782280498e-52,1.667235481257424e-79,5.0276514157523985e-68,2.6079981101049234e-84,3.76,0.0,0.7220646204038255,0.9999999999999067,8.601726701820852e-44,3.199991541594826e-35,7.248036915429048e-20,5.234074801376031e-18,2.9078030828235075e-48,6.876869129879041e-47,1.338158435241613e-35,1.5002191089484503e-18,1.1019369906362284e-34,2.571247437579091e-35,7.084691843121579e-38,8.53158802525491e-37,7.042773197969032e-32,1.6452550277772292e-21,3.3824728714990935e-35,1.6876003648019664e-33,9.326396056243107e-14,7.799798864732973e-53,2.1971794559279585e-34,4.862573111763117e-52,3.6382251870783013e-65,1.3841021021322528e-51,2.4442428679330407e-78,1.4819059623161237e-52,3.5732367971446756e-65,2.5958074349515085e-50,8.799556026754776e-36,1.0705305568084049e-73,5.382722797871382e-39,5.198014455070894e-54
6.114798998284161e-20,0.7684555281769408,1.2524873085816636e-22,1.2360402213804076e-24,1.2151356469221215e-33,3.0056654621791062e-18,0.0,0.0,1.450880344182385e-19,1.4654146462487981e-34,4.1942003913973804e-42,1.0324353173832939e-32,2.444163617367809e-48,7.462235059156536e-56,1.0143417505316869e-35,3.9253678796935324e-29,3.296242651475841e-21,1.6018355590495745e-36,1.950970192328573e-73,5.773276899834897e-72,6.484466884503063e-50,4.676574619225204e-67,1.0486386797142671e-17,2.1311881016288735e-51,3.0455321785901536e-37,1.5470425708345612e-69,1.1546847105109926e-53,2.5552142907908244e-50,9.91989956748126e-55,3.348868478945997e-55,5.357622264646979e-51,2.8030461929789243e-78,8.070493979313151e-67,8.386931077326417e-83,3.76,0.0,0.7220646204038255,0.9999999999998131,6.902343960372705e-43,1.2833397312992916e-34,1.4521328314884715e-19,1.0486386797181957e-17,2.3333288470203065e-47,5.518254386570169e-46,5.366619704351158e-35,3.0056654621787954e-18,4.419260185841068e-34,1.0311852243202454e-34,2.8412782997685702e-37,3.4215483825127476e-36,2.8244670481138267e-31,3.2962426514641353e-21,1.3565229062428657e-34,6.768032260566852e-33,1.8685288265017033e-13,6.260977313476732e-52,8.811672330799854e-34,3.901995910619085e-51,5.848340729524691e-64,1.110654769185997e-50,7.860318758809097e-77,1.1903389694369706e-51,5.7422102758210946e-64,2.082971988303395e-49,3.529015536455547e-35,1.7208466044119041e-72,2.1587190039405257e-38,4.171079240688048e-53
