Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139)
0.0,0.6608183762440722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6151672731527065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3234943143810207e-17,0.6608183762440725,2.066372623417895e-21,5.783460572676984e-24,1.864414336668176e-29,3.046480403186966e-17,0.0,0.0,5.8066352424160096e-18,1.297941056461667e-30,9.43968335471781e-35,1.098263717763017e-34,6.682253018708224e-42,8.920794720563433e-51,3.1846639771649234e-32,8.339675234778866e-25,1.989451649444511e-34,4.7750515176620095e-35,4.648562360336463e-62,7.950037288390163e-80,1.6619743306301196e-58,9.606417229358367e-58,2.377775563482004e-16,1.5974261467521193e-61,5.327695338691514e-48,2.0354272721137834e-70,9.968876651194059e-75,3.9446014188418273e-59,-8.279381135271122e-75,2.21815874320938e-71,9.265584385831481e-53,2.1627284994828537e-82,8.10003000086618e-85,6.259159652594283e-85,3.76,0.0,0.6151672731527061,1.0,1.5525488960131205e-35,3.148815529952923e-45,5.808701615017035e-18,2.3777755718216803e-16,4.924431426587161e-40,1.4938869728719648e-38,2.6270047898577095e-33,3.046480403186934e-17,1.8638586120807128e-29,6.948692458631258e-30
9.305784080266858e-17,0.6608183762440725,5.7858433504234085e-21,1.6193689951640386e-23,1.1261108591223824e-28,8.530145128923588e-17,0.0,0.0,1.625857867875486e-17,7.839563980992038e-30,1.1206792008787439e-33,1.3038605332578386e-33,7.933171038403278e-41,1.0590767425124373e-49,1.9235370337343706e-31,5.037163807481839e-24,1.3195439491885872e-33,5.6689411263928785e-34,2.827947313480752e-60,6.915407168886642e-78,7.939450749652534e-57,4.589100745060586e-56,6.657771550729062e-16,9.717922741009228e-60,6.893436968713744e-47,1.5706268584871015e-68,5.0859287757256183e-73,1.3580812151592634e-57,4.255394740833846e-73,1.125902931705701e-69,2.0726742595716624e-51,1.733464614695987e-80,7.409835354954233e-83,5.0168258061223906e-83,3.76,0.0,0.6151672731527058,1.0,1.8431860407679785e-34,4.2715558109732916e-44,1.6264364521970017e-17,6.657771601100703e-16,5.846286118069085e-39,1.7735425777148595e-37,3.1187798814905074e-32,8.530145128923397e-17,1.1257706016914588e-28,4.1970102404425723e-29
2.1270363612038532e-16,0.6608183762440726,1.3224784823979017e-20,3.701415010437435e-23,5.421785887652275e-28,1.9497474580397154e-16,0.0,0.0,3.716246555139268e-17,3.774412592135878e-29,1.1002894701464963e-32,1.2801419167654889e-32,7.788834907844177e-40,1.0398078118111784e-48,9.261002718496924e-31,2.4251775067867964e-23,7.554052588183882e-33,5.5657999393229134e-33,1.2766705709059447e-58,7.188113940541478e-76,4.134055447032541e-55,2.3895351812674006e-54,1.5217763417140963e-15,4.3871347807046526e-58,7.971992317000581e-46,1.711745941584815e-66,3.0849396283612305e-71,3.5867112050550513e-56,2.2853459071954405e-71,6.8526018231868485e-68,4.0952554704795604e-50,2.166968527544402e-78,8.994072343240685e-81,6.271431478909044e-81,3.76,0.0,0.6151672731527048,1.0,1.8096509665985624e-33,4.829126758835055e-43,3.7175690335565233e-17,1.5217763659658727e-15,5.739920768946723e-38,1.7412745424954792e-36,3.0620361474696698e-31,1.949747458039624e-16,5.420100843851333e-28,2.020679760113907e-28
4.519952267558188e-16,0.6608183762440727,2.810266785031961e-20,7.865507600689378e-23,2.3678775040754376e-27,4.1432133483345574e-16,0.0,0.0,7.897023929650882e-17,1.6483851416498447e-28,9.73193549611213e-32,1.1322779898775475e-31,6.889137229566896e-39,9.196982087876934e-48,4.04452311966415e-30,1.0591387016137892e-22,4.3542882733816097e-32,4.9228868823545863e-32,4.820464969963794e-57,5.753888006262514e-74,1.6497929273214315e-53,9.536007131356374e-53,3.2337746717635933e-15,1.6564985642117314e-56,9.192904782861608e-45,1.4003143979304608e-64,1.5870945771365734e-69,8.812605942666276e-55,1.0543772603499028e-69,3.5290165946607544e-66,7.28728976318638e-49,2.2374408844495938e-76,9.269553727799692e-79,6.475386865243424e-79,3.76,0.0,0.6151672731527028,1.0,1.6006157539855427e-32,5.2232789261673387e-42,7.899834196151273e-17,3.2337747776774712e-15,5.076899169598729e-37,1.540137476075522e-35,2.708335523416238e-30,4.143213348334158e-16,2.3671004372604813e-27,8.824839351615716e-28
9.305784080266859e-16,0.6608183762440732,5.785843422832673e-20,1.619369503427209e-22,9.885766481545024e-27,8.530145128924761e-16,0.0,0.0,1.6258578678610298e-16,6.881683480851497e-28,8.180277734278956e-31,9.517595867446759e-31,5.790736556960228e-38,7.730617178804991e-47,1.6885087224910692e-29,4.421695330651631e-22,2.699723370456649e-31,4.137982826562082e-31,1.6724430994971167e-55,4.0964966892420725e-72,5.8636219006687475e-52,3.389245934404318e-51,6.657771158931067e-15,5.747162668055908e-55,1.1330231031528393e-43,1.0078163487068403e-62,8.179531520152611e-68,2.246417844348377e-53,4.929204365737617e-68,1.8192445875313935e-64,1.229108425250274e-47,2.280929480388403e-74,9.54449267068619e-77,6.601249554445939e-77,3.76,0.0,0.6151672731526988,0.9999999999999999,1.345413931178104e-31,5.926119694721913e-41,1.6264364520843603e-16,6.657771601100643e-15,4.267446811198544e-36,1.2945781176490078e-34,2.276517897223782e-29,8.530145128923091e-16,9.882178360513714e-27,3.6841966778049086e-27
1.8877447705684198e-15,0.6608183762440741,1.1736996835291188e-19,3.285007902781871e-22,4.0389393090993976e-26,1.7304008690107252e-15,0.0,0.0,3.2981688176273895e-16,2.8113922455078982e-27,6.706685191142662e-30,7.803292177228113e-30,4.747598337538107e-37,6.338026329129549e-46,6.898108560323337e-29,1.8064066091462622e-21,1.82361866399361e-30,3.392567959868195e-30,5.569932917154503e-54,2.7618321558240284e-70,1.9750289685504851e-50,1.1415911334137046e-49,1.3505763441539995e-14,1.9140448742624575e-53,1.5197878593086877e-42,6.831306105100381e-61,4.466396973732127e-66,6.139513498055174e-52,2.4819149441665385e-66,9.933973166098867e-63,2.018815900253333e-46,2.4555856415604364e-72,1.0404169165381571e-74,7.10672743022376e-75,3.76,0.0,0.6151672731526909,0.9999999999999997,1.1030515380859743e-30,7.351690443207166e-40,3.299342516823962e-16,1.350576524794688e-14,3.498722454431281e-35,1.0613729767559077e-33,1.866424782228828e-28,1.7304008690100414e-15,4.0371923074862805e-26,1.5051145273247283e-26
3.802077495651887e-15,0.660818376244076,2.363930426145052e-19,6.616288443296345e-22,1.6328311345931791e-25,3.4851735812480694e-15,0.0,0.0,6.6427907170580165e-16,1.1364096957489169e-26,5.431246372856095e-29,6.319619389713659e-29,3.844732510170149e-36,5.1326969147736236e-45,2.7883253526607587e-28,7.30178263765478e-21,1.3197901358590545e-29,2.7473888965413485e-29,1.8181183004803928e-52,1.813650391627398e-68,6.482240357263866e-49,3.7468148294605145e-48,2.7201745239854346e-14,6.247759641584051e-52,2.1877851829531431e-41,4.498037020653044e-59,2.589400324440875e-64,1.7857398165670445e-50,1.3604843907982597e-64,5.758947337456995e-61,3.2725928264728153e-45,2.814660991457542e-70,1.2044764006019707e-72,8.145940348305997e-73,3.76,0.0,0.6151672731526752,0.9999999999999993,8.93279589640805e-30,9.9817761524329e-39,6.645154645507747e-16,2.7201752541638934e-14,2.833375153596536e-34,8.59526740330136e-33,1.5114757268886526e-27,3.4851735812452887e-15,1.63189767957592e-25,6.083913340702557e-26
7.630742945818823e-15,0.6608183762440798,4.744392194925265e-19,1.327886522156685e-21,6.5673700295648055e-25,6.994719005726224e-15,0.0,0.0,1.3332034515510897e-15,4.5694534040443603e-26,4.371537693132626e-28,5.087080232033322e-28,3.094582108896476e-35,4.131239190910164e-44,1.1211730240956774e-27,2.9360133202080227e-20,9.992512472133719e-29,2.2113366425436414e-28,5.875840478991682e-51,1.175684552576502e-66,2.100606932146912e-47,1.2141766051091288e-46,5.4593697768873607e-14,2.0191669103600474e-50,3.3015154609558722e-40,2.919712101811175e-57,1.567275637010694e-62,5.4190434206320375e-49,7.992836891054651e-63,3.485539409531926e-59,5.270426786224759e-44,3.3820371837202363e-68,1.4565629570445648e-70,9.7880148891349e-71,3.76,0.0,0.6151672731526436,0.9999999999999987,7.18988894788145e-29,1.4514802578730649e-37,1.3336778899693955e-15,5.459372712902137e-14,2.2805774066685286e-33,6.918209090279366e-32,1.2165616033341194e-26,6.9947190057149174e-15,6.561788794004696e-25,2.4463146146432826e-25
1.5288073846152695e-14,0.6608183762440875,9.505317211094898e-19,2.6604087407234046e-21,2.635275216882778e-24,1.4013809854697066e-14,0.0,0.0,2.6710522110783167e-15,1.8325551876591033e-25,3.5078806468756905e-27,4.082865148486101e-27,2.4832183269165743e-34,3.3150563524509686e-43,4.496402582805129e-27,1.1774715637683809e-19,7.76579383771792e-28,1.7744568517302287e-27,1.889579859417499e-49,7.5725359597034285e-65,6.764278691535212e-46,3.909835548526409e-45,1.0937755855651092e-13,6.493331455235678e-49,5.121719423813099e-39,1.8818283579659387e-55,9.736518224699288e-61,1.686107798232235e-47,4.9355262497834975e-61,2.1652899412231107e-57,8.460256560401504e-43,4.184310365551734e-66,1.8086809069671276e-68,1.2109950146459178e-68,3.76,0.0,0.6151672731525805,0.9999999999999973,5.769429345587028e-28,2.2046211866657923e-36,2.672002739534339e-15,1.0937767630377957e-13,1.830068827994992e-32,5.5514112335808e-31,9.762051519812428e-26,1.4013809854650705e-14,2.6315707878864435e-24,9.810814288833858e-25
