Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181)
0.0,0.7903117798533075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8457391505108672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.212155684449997e-22,0.7903117798533074,3.31884396520186e-25,2.9725231692044707e-27,2.5110403031926277e-39,8.065504619547955e-21,0.0,0.0,3.64666990236199e-22,1.3160365499619067e-39,1.1150682771606814e-49,1.3462392154312795e-49,7.106293519597522e-56,2.516729303623559e-63,8.66516549822767e-41,3.0926361291819765e-34,8.991933173794526e-24,1.3047501698967356e-41,5.4230361513763435e-86,9.983587333743067e-82,2.4958228720628143e-57,5.4065513996543884e-77,2.8587097424629963e-20,7.204527909165043e-59,2.5187558869595504e-42,1.2610059849382331e-79,4.5331854518335206e-61,6.396879152566659e-58,2.373874051924229e-62,8.554701184995141e-63,1.5622923655496306e-58,6.671785696315713e-92,1.1498580130912745e-76,2.4012522973891293e-95,3.76,0.0,0.8457391505108672,0.9999999999999997,1.8337728065743994e-50,1.23760258886316e-39,3.6499887463271737e-22,2.858709742463027e-20,6.227872115080538e-55,1.4551635249307688e-53,7.114942091725347e-40,8.065504619547952e-21,3.814154335177792e-39,7.305334405137334e-40,3.397294631615374e-42,4.0012955458812395e-41,2.124183761681229e-36,8.991933173794417e-24,1.0233296673235555e-39,6.335828530303939e-38,3.840572850957177e-16,2.246825670016906e-59,1.185300820468582e-58,1.596201093746538e-58,4.4088995835263255e-74,4.966328405737142e-78,2.3995602900083002e-89
3.3940359164599918e-22,0.7903117798533074,9.292763102634097e-25,8.32306487378046e-27,1.5166683431828836e-38,2.258341293473427e-20,0.0,0.0,1.0210675726613568e-21,7.948860761769913e-39,1.3238090586463997e-48,1.598255196567873e-48,8.436591666466793e-55,2.9878610292618254e-62,5.2337599609294315e-40,1.867952222025872e-33,2.5177412886624666e-23,7.880691059071975e-41,3.299097535140478e-84,2.233288552209535e-80,2.963040913712973e-56,1.4214449525162922e-75,8.004387278896289e-20,8.553215533760635e-58,1.5213285557235487e-41,3.964804577707593e-78,5.381797768416745e-60,9.666963775359311e-57,3.5873984672678985e-61,1.2927864430766304e-61,1.854753496381278e-57,4.058589255260984e-90,2.572186391782271e-75,1.4607990673291131e-93,3.76,0.0,0.8457391505108672,0.999999999999999,2.177055075966086e-49,7.475119636733485e-39,1.0219968489716092e-21,8.004387278896478e-20,7.393729775025526e-54,1.7275701367976693e-52,4.297425041611808e-39,2.258341293473426e-20,2.303749218447463e-38,4.412421980702908e-39,2.051965957496094e-41,2.4167825097119834e-40,1.2830069920554584e-35,2.517741288662401e-23,6.1809111906335e-39,3.8268404323035775e-37,1.0753603982676247e-15,2.832890103095906e-58,1.4071891340603156e-57,1.9017747321958797e-57,1.3862285714537905e-72,1.1109477990494292e-76,1.4597696227224702e-87
7.757796380479981e-22,0.7903117798533075,2.1240601377774137e-24,1.9024148282964213e-26,7.302105202502211e-38,5.1619229565106907e-20,0.0,0.0,2.3338687375116704e-21,3.827034287289219e-38,1.2997235838602033e-47,1.5691764295310603e-47,8.283095726444786e-54,2.9334996763034257e-61,2.519830126884488e-39,8.993385863660562e-33,5.754837231228492e-23,3.794213543403246e-40,1.4893703275195483e-82,4.4126018378600937e-79,2.909131139676414e-55,3.013047717435425e-74,1.8295742351762473e-19,8.397597730922454e-57,7.324542119278073e-41,8.845260909796236e-77,5.283880962657118e-59,1.039927850074645e-55,3.859159568732181e-60,1.3907206622428308e-60,1.8210079812859087e-56,1.8322195732994503e-88,5.082206869247885e-74,6.594745282367191e-92,3.76,0.0,0.8457391505108672,0.9999999999999977,2.1374455833444444e-48,3.598948328414066e-38,2.3359927976493947e-21,1.8295742351763373e-19,7.259207737343799e-53,1.6961386046588727e-51,2.0690251875882782e-38,5.161922956510684e-20,1.1091560806698167e-37,2.1243912450138754e-38,9.879332788743627e-41,1.1635767447418355e-39,6.177126378968958e-35,5.754837231228178e-23,2.9758426725757376e-38,1.8424589366123834e-36,2.4579666246099006e-15,2.8538513090417303e-57,1.3815866363382266e-56,1.8701380019250023e-56,3.0925996865842737e-71,2.1950456402045924e-75,6.59009786123628e-86
1.648531730851996e-21,0.7903117798533075,4.513627792915646e-24,4.0426315101458803e-26,3.1890211858999563e-37,1.0969086282585218e-19,0.0,0.0,4.95947106721229e-21,1.6713664184516152e-37,1.1495907910232076e-46,1.3879187815921919e-46,7.326304366968285e-53,2.5946472428633383e-60,1.1004760182747925e-38,3.927647884060467e-32,1.2229029116360537e-22,1.6570327667571788e-39,5.623578969842966e-81,7.851989206068194e-78,2.5730935481818745e-54,5.527807776504341e-73,3.8878452497493245e-19,7.4275800932321255e-56,3.1988199764383213e-40,1.6566194762035154e-75,4.673532873422221e-58,9.558728580101374e-55,3.5472325183093338e-59,1.2783118886726217e-59,1.610660937188688e-55,6.918080808700357e-87,9.043515590370989e-73,2.4900503398659175e-90,3.76,0.0,0.8457391505108672,0.9999999999999949,1.8905464126672018e-47,1.5717552878562108e-37,4.9639846950049744e-21,3.8878452497497164e-19,6.420687035775876e-52,1.50021538766172e-50,9.03597673874151e-38,1.096908628258519e-19,4.8439760056769816e-37,9.277774694523784e-38,4.314564182157846e-40,5.081645343264743e-39,2.6977133773351027e-34,1.2229029116359161e-22,1.2996286774997152e-37,8.046502233485987e-36,5.223179077288296e-15,2.5529932875161544e-56,1.2219977338703885e-55,1.655293134600079e-55,5.79209694832694e-70,3.905966435900151e-74,2.4882955606379637e-84
3.394035916459992e-21,0.7903117798533075,9.292763103633012e-24,8.323064873895632e-26,1.3313535695135183e-36,2.258341293473427e-19,0.0,0.0,1.0210675726613498e-20,6.977625787897975e-37,9.663003278962945e-46,1.1666293643581189e-45,6.158200263394201e-52,2.180957346850582e-59,4.594270747159217e-38,1.6397156756917046e-31,2.51774128866246e-22,6.917785859687421e-39,1.951080786188214e-79,1.3243527466929662e-76,2.162840167763673e-53,9.457407613661546e-72,8.004387278894836e-19,6.243328613634675e-55,1.3354443712656778e-39,2.8613981736561973e-74,3.9283859815915804e-57,8.177693546098859e-54,3.0347321014913007e-58,1.0936227338505044e-58,1.3538575673095835e-54,2.4001986536317408e-85,1.5253210877548022e-71,8.639141376065704e-89,3.76,0.0,0.8457391505108672,0.9999999999999893,1.5891181738134529e-46,6.561768926152456e-37,1.0219968489716168e-20,8.004387278896476e-19,5.396974328997528e-51,1.2610214280869626e-49,3.772342551058066e-37,2.258341293473415e-19,2.0222646285123315e-36,3.8732883016032475e-37,1.801245613688161e-39,2.1214868984222454e-38,1.1262422304433345e-33,2.5177412886618855e-22,5.42569389613869e-37,3.3592562867671333e-35,1.0753603982620466e-14,2.1573611430392553e-55,1.0271627262051252e-54,1.3918403814162763e-54,1.0004407085425468e-68,6.587983302183821e-73,8.633053229458258e-83
6.885044287675984e-21,0.7903117798533075,1.8851033726831343e-23,1.6883931601598479e-25,5.439013744768694e-36,4.581206623903238e-19,0.0,0.0,2.0713085045415796e-20,2.8505878086794444e-36,7.922313902159027e-45,9.564732377598396e-45,5.0488646387255407e-51,1.788080600840264e-58,1.876909507577181e-37,6.698773561248425e-31,5.1074180427152625e-22,2.8261414465341666e-38,6.497913627089302e-78,2.1752533632341035e-75,1.7732270428315993e-52,1.564398493716231e-70,1.6237471337183295e-18,5.1186580034834885e-54,5.455726001387535e-39,4.754255863629655e-73,3.2207281707927393e-56,6.761475165008805e-53,2.5091751874777595e-57,9.04228424939578e-58,1.1099742303104852e-53,7.993655767331293e-84,2.505344467403951e-70,2.8771947772901563e-87,3.76,0.0,0.8457391505108672,0.9999999999999782,1.3028550893681429e-45,2.680696711581145e-36,2.0731936079138693e-20,1.6237471337189997e-18,4.4247656263868e-50,1.0338615544498884e-48,1.5411251319108197e-36,4.581206623903189e-19,8.261610856177534e-36,1.5823646534898883e-36,7.358676063912335e-39,8.666966204166835e-38,4.601066995151558e-33,5.107418042712916e-22,2.2165729926003705e-36,1.3723658029779418e-34,2.1814453793186318e-14,1.773278073740105e-54,8.421300615011164e-54,1.1413005798495192e-53,1.6622472000916307e-67,1.0820782356252821e-71,2.875167169890967e-81
1.3867061030107967e-20,0.7903117798533074,3.796757498028241e-23,3.4005665057817523e-25,2.1985363206782188e-35,9.226937284762858e-19,0.0,0.0,4.171790368301992e-20,1.1522531692460119e-35,6.415695197822368e-44,7.745768263135453e-44,4.0887014851058044e-50,1.4480340296795943e-57,7.586768321634634e-37,2.707751377628989e-30,1.0286771550820826e-21,1.1423717213508633e-37,2.1210272327536066e-76,3.526179439861132e-74,1.4360052333007165e-51,2.545771713025562e-69,3.2703639453749955e-18,4.1452219613898496e-53,2.2052916793137468e-38,7.750636977342487e-72,2.6082291757245592e-55,5.498319312458115e-52,2.0404195911299513e-56,7.353035381183066e-57,8.988859097325878e-53,2.6092611233279745e-82,4.06127134469731e-69,9.391642959858191e-86,3.76,0.0,0.8457391505108672,0.9999999999999561,1.055085830169223e-44,1.0835804714739515e-35,4.175587125798429e-20,3.2703639453777046e-18,3.5832899240760804e-49,8.372478914620901e-48,6.22947508768915e-36,9.22693728476266e-19,3.3394751998636725e-35,6.39617092774525e-36,2.9744945201612026e-38,3.5033263125774536e-37,1.8598248441721063e-32,1.0286771550811343e-21,8.959742435582832e-36,5.547321998050453e-34,4.393615341392408e-14,1.4378588566344875e-53,6.819787575001284e-53,9.243288957229152e-53,2.7098824656538014e-66,1.7540954498459543e-70,9.385024510857256e-80
2.783109451497193e-20,0.7903117798533074,7.620065751540216e-23,6.824913197350905e-25,8.840217871978664e-35,1.85183986064821e-18,0.0,0.0,8.372754095822625e-20,4.633159315602605e-35,5.1639096480676524e-43,6.234468166910618e-43,3.2909426642199087e-49,1.1655037631979068e-56,3.0506061743068744e-36,1.0887749198197616e-29,2.064547856703179e-21,4.593427755424092e-37,6.854793508084459e-75,5.678803281930496e-73,1.1558219413922192e-50,4.110974412246003e-68,6.563597568684222e-18,3.3364352606841075e-52,8.867380850261061e-38,1.2517299445320928e-70,2.0993297514328415e-54,4.434593715810979e-51,1.645672319522255e-55,5.930489416974021e-56,7.235015814625341e-52,8.432679069571846e-81,6.540552298945359e-68,3.0352167195093602e-84,3.76,0.0,0.8457391505108672,0.9999999999999118,8.492248665123039e-44,4.3570294181962295e-35,8.380374161567769e-20,6.563597568695117e-18,2.8841434701261673e-48,6.738899419652811e-47,2.50484525814821e-35,1.85183986064813e-18,1.342788290322707e-34,2.5718721986630317e-35,1.1960311642708589e-37,1.4086721020871459e-36,7.478273900346228e-32,2.0645478566993656e-21,3.6026730269382684e-35,2.2305537774075406e-33,8.817955265382385e-14,1.1580378135026443e-52,5.4891583484751036e-52,7.440099073987662e-52,4.376467420407788e-65,2.824916646164995e-69,3.0330777509604775e-78
5.575916148469986e-20,0.7903117798533074,1.5266682269851208e-22,1.3673606581790582e-24,3.5453227724542457e-34,3.710132124992058e-18,0.0,0.0,1.677468155086313e-19,1.858104108671686e-34,4.1437122808921016e-42,5.0027680742735564e-42,2.640774231733743e-48,9.352433691004611e-56,1.2234295175904964e-35,4.3664743949489195e-29,4.136289259945305e-21,1.842171024501099e-36,2.204398863528209e-73,9.115736933000795e-72,9.274743168439124e-50,6.618280755791459e-67,1.3150064815286262e-17,2.677279175341303e-51,3.556216324250371e-37,2.012119335344764e-69,1.684579914354747e-53,3.5621068361190184e-50,1.3218935025401748e-54,4.763691613643401e-55,5.805644545904252e-51,2.711822892289593e-79,1.0499034953900134e-66,9.760802100533755e-83,3.76,0.0,0.8457391505108672,0.9999999999998234,6.814494730611718e-43,1.7473636696002982e-34,1.6789948233107326e-19,1.3150064815329951e-17,2.3143434978481395e-47,5.407542383149558e-46,1.0045555608651764e-34,3.710132124991736e-18,5.385181620960042e-34,1.0314357814581297e-34,4.796619906868848e-37,5.6494051732749814e-36,2.9991223080127356e-31,4.136289259930011e-21,1.4448330172669862e-34,8.945518286964287e-33,1.7666635112732033e-13,9.295417782141936e-52,4.404703879540041e-51,5.97032925233858e-51,7.035043558384975e-64,4.5346168415603935e-68,9.753923497422818e-77
