Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165)
0.0,0.818591706857928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8950940344807795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.404421298923317e-19,0.8185917068579283,2.8368206420456834e-21,3.176519167795483e-23,7.477335665311458e-32,7.307788064256209e-17,0.0,0.0,2.704662133438423e-18,5.702261835882596e-32,1.7061498727028286e-38,1.9850209230719093e-38,1.6308010029191672e-44,1.030499297305851e-51,4.407617168333269e-33,1.0908502551110503e-26,3.317049659921752e-35,8.630514814198947e-39,3.493506477493692e-67,2.518200444858834e-84,6.558292532992052e-64,3.9810581274818043e-63,2.3377831481500914e-16,1.6327717675083613e-67,4.977406446681336e-50,3.71062099896777e-78,3.2018231113544694e-78,8.274743447426226e-62,-4.2678357620838107e-78,5.687424081897282e-76,1.692290844671081e-56,9.069659600374425e-89,3.7084290478419077e-90,7.535352005146706e-92,3.76,0.0,0.8950940344807792,1.0,2.805799839370893e-39,5.160814274088038e-47,2.7074989540805186e-18,2.3377831482591766e-16,9.71356247892503e-44,2.144210293563056e-42,4.784625910709854e-37,7.307788064256201e-17,1.2429999998134156e-31,2.0841619890407515e-32,1.3842572570958915e-34,1.6155756997726403e-33
1.5132379636985287e-18,0.8185917068579283,7.94309779803283e-21,8.894253687375425e-23,4.516311573264877e-31,2.0461806579917384e-16,0.0,0.0,7.573053973627047e-18,3.444166148871364e-31,2.0255411287025546e-37,2.3566168932551433e-37,1.936086951253372e-43,1.2234087656533306e-50,2.6622007695055485e-32,6.588735540249101e-26,2.0044330197321024e-34,1.02461471865318e-37,2.125270473315957e-65,2.1904997476866517e-82,3.132975042175533e-62,1.9017992399521646e-61,6.545792814466818e-16,9.932947454097822e-66,5.9117026298766635e-49,2.8632813984315855e-76,1.554222436808361e-76,2.6028878958478297e-60,9.085663478324385e-77,2.7177590450036255e-74,3.7855869289748825e-55,6.999844971287601e-87,3.26390806480808e-88,5.81568638580353e-90,3.76,0.0,0.8950940344807786,1.0,3.3310455691927163e-38,6.9767119840565564e-46,7.580997071425388e-18,6.54579281512569e-16,1.1531941385787141e-42,2.5456064595900004e-41,5.680307875345174e-36,2.046180657991734e-16,7.507719998872548e-31,1.2588338413224027e-31,8.360913839256606e-34,9.758077225985145e-33
3.4588296313109227e-18,0.8185917068579284,1.8155652111226818e-20,2.0329722796727632e-22,2.174410458597706e-30,4.676984361123973e-16,0.0,0.0,1.7309837654002143e-17,1.6582177418720736e-30,1.9886882910866556e-36,2.3137405534235513e-36,1.900861650824565e-42,1.2011499806041586e-49,1.281735072299694e-31,3.1721925409304694e-25,9.660005763900864e-34,1.0059728064686195e-36,9.59448681449407e-64,2.2768728036402236e-80,1.6313336086013003e-60,9.9026292104447e-60,1.496181214568651e-15,4.484207284911838e-64,5.80949459109583e-48,3.120544130214275e-74,7.997157006293354e-75,5.812455818266795e-59,4.594014378500851e-75,1.416338799709102e-72,7.479681850333439e-54,7.634313135108588e-85,3.359336793833871e-86,6.342822047503074e-88,3.76,0.0,0.8950940344807775,1.0,3.2704402924301486e-37,7.224318394180181e-45,1.7327993306114865e-17,1.4961812148858703e-15,1.1322128458937786e-41,2.499291515300111e-40,5.576959943389755e-35,4.676984361123952e-16,3.6146439994566874e-30,6.060743063257335e-31,4.025420113230985e-33,4.698094133976434e-32
7.35001296653571e-18,0.8185917068579288,3.858076074249376e-20,4.3200661296201665e-22,9.496229181905253e-30,9.938591767388434e-16,0.0,0.0,3.678340501474374e-17,7.241872531544177e-30,1.7589722716292123e-35,2.046477518381173e-35,1.6812906057957096e-41,1.0624035548456449e-48,5.597673801183169e-31,1.3853798230274864e-24,4.227145921393463e-33,8.897715547083934e-36,3.6226956620817114e-62,1.8225710235594648e-78,6.510224187151306e-59,3.9518793615969775e-58,3.1793850802470885e-15,1.6931513479319435e-62,5.147949167393646e-47,2.552798852055545e-72,3.182390080463843e-73,1.0906988488094305e-57,1.779156395220661e-73,5.6619225633255016e-71,1.3309694231364654e-52,6.254610875283863e-83,2.683338075151842e-84,5.196523006432737e-86,3.76,0.0,0.8950940344807753,1.0,2.892667401678471e-36,6.542349527060605e-44,3.682198577549276e-17,3.179385081632468e-15,1.0014294443628354e-40,2.2105950382100932e-39,4.932757890824763e-34,9.938591767388347e-16,1.5786099997622876e-29,2.6468857251794763e-30,1.7580067264277855e-32,2.0517811377167683e-31
1.5132379636985288e-17,0.8185917068579294,7.943097802454503e-20,8.894253941823078e-22,3.9644949680118576e-29,2.046180657991734e-15,0.0,0.0,7.573053973619258e-17,3.023339225360905e-29,1.4785221792253303e-34,1.7201880021197934e-34,1.4132260632554599e-40,8.930142017776678e-48,2.3369186203102224e-30,5.783688043926861e-24,1.7717432927963568e-32,7.479066039292755e-35,1.256881414983101e-60,1.2975834914689012e-76,2.313835638708827e-57,1.4045598188977125e-56,6.545792809341952e-15,5.8743285703591234e-61,4.343171650538879e-46,1.8372678717310832e-70,1.132769386801709e-71,1.8911367060581456e-56,6.24966302180259e-72,2.0192254556747628e-69,2.2448744762898776e-51,4.514864171440255e-81,1.913897818563684e-82,3.751087974629537e-84,3.76,0.0,0.8950940344807709,1.0,2.4314612466927455e-35,5.565960558339579e-43,7.580997071424431e-17,6.54579281512564e-15,8.417617954882305e-40,1.8581383220757223e-38,4.14628019111738e-33,2.046180657991697e-15,6.590385999003971e-29,1.1050226857773557e-29,7.339332066366443e-32,8.565782351244174e-31
3.069711297788444e-17,0.8185917068579307,1.611314126667294e-19,1.8042630015463365e-21,1.619630634312395e-28,4.150823620497508e-15,0.0,0.0,1.5362480917895265e-16,1.2351327226791531e-28,1.2121818092573079e-33,1.410314608465349e-33,1.1586481162889087e-39,7.321469951372188e-47,9.547075071483933e-30,2.3628252792385066e-23,7.295297726135382e-32,6.131790195947707e-34,4.1859398720362035e-59,8.748223539449782e-75,7.793635662709408e-56,4.7309442850492316e-55,1.3278608258483638e-14,1.9563966746252947e-59,3.5870498308791966e-45,1.2453599848766545e-68,3.838249016631091e-70,3.166166279477912e-55,2.0984053358996554e-70,6.847722092850108e-68,3.687213086605065e-50,3.078461394394624e-79,1.2981688528803856e-80,2.557680403923442e-82,3.76,0.0,0.895094034480762,0.9999999999999999,1.9934588315849535e-34,4.600016086254198e-42,1.5378594059173053e-16,1.32786082821119e-14,6.901271882814104e-39,1.523414050779015e-37,3.399370947567589e-32,4.1508236204973555e-15,2.6923877195901257e-28,4.514378227866464e-29,2.9983566647199257e-31,3.499401581157552e-30
6.182657965968275e-17,0.8185917068579334,3.2453228226352335e-19,3.6339383959698344e-21,6.546847063386569e-28,8.360109545509025e-15,0.0,0.0,3.094133480639226e-16,4.992603945715851e-28,9.816562541256756e-33,1.1421102336515399e-32,9.383032944476123e-39,5.929116170316332e-46,3.859080380202342e-29,9.550917531223908e-23,2.9950782762379284e-31,4.9656826631707776e-33,1.366360486543115e-57,5.744817478099238e-73,2.557949248377713e-54,1.5527432759364521e-53,2.6744239120574848e-14,6.386004574465653e-58,2.9474114344353385e-44,8.200009313076254e-67,1.2763994235958787e-68,5.239951244782828e-54,6.906611539412079e-69,2.2779586545768647e-66,5.977131365719948e-49,2.0508865909508614e-77,8.636928455910857e-79,1.7039396840711427e-80,3.76,0.0,0.8950940344807441,0.9999999999999998,1.614354643857543e-33,3.7562223113254297e-41,3.0973788034663506e-16,2.6744239216084058e-14,5.588829080224949e-38,1.2337001798713842e-36,2.7528986294933694e-31,8.360109545508413e-15,1.0883061638319263e-27,1.8247838555251073e-28,1.2119837350899383e-30,1.4145140665510386e-29
1.2408551302327937e-16,0.8185917068579384,6.513340227075959e-19,7.29328990361178e-21,2.6324914488651887e-27,1.6778681395531936e-14,0.0,0.0,6.209904258316614e-16,2.007504088233962e-27,7.901223507408414e-32,9.192711243258473e-32,7.552281378433268e-38,4.7722684859700334e-45,1.5517192413613048e-28,3.8403819081409588e-22,1.2414636181715332e-30,3.9968133879554695e-32,4.415840950817859e-56,3.7240350818756375e-71,8.289186571086334e-53,5.031756866578336e-52,5.36755006999886e-14,2.0638463197255035e-56,2.440789926712441e-43,5.3226960691889975e-65,4.246784606679052e-67,8.715449848217664e-53,2.2604063015555706e-67,7.579325325896738e-65,9.625985991556842e-48,1.3622620794770972e-75,5.746943677433562e-77,1.131809290812806e-78,3.76,0.0,0.8950940344807085,0.9999999999999994,1.2993730600455066e-32,3.0620052640049017e-40,6.216417598561731e-16,5.3675501084026946e-14,4.4983761538313196e-37,9.92989209096031e-36,2.2157721552361598e-30,1.677868139552947e-14,4.376031219304916e-27,7.337375603024769e-28,4.8733335480355396e-30,5.687698823516982e-29
2.4860337975047257e-16,0.8185917068579486,1.3049375086039496e-18,1.4611995794181028e-20,1.0557733121489863e-26,3.361582509557728e-14,0.0,0.0,1.2441445813583356e-15,8.05098927141734e-27,6.340234186892533e-31,7.376595057546559e-31,6.060230435784252e-37,3.829444865917286e-44,6.2230881277853505e-28,1.5401648906295909e-21,5.2768478984476726e-30,3.2071909948141573e-31,1.420068247767224e-54,2.3986393341450615e-69,2.669250097848816e-51,1.6203058477636773e-50,1.0753802327974151e-13,6.637020402464714e-55,2.0684448578548772e-42,3.4306173804211103e-63,1.439137620437549e-65,1.482293794418584e-51,7.437537691709665e-66,2.567837164828608e-63,1.545183996639934e-46,9.17992596486973e-74,3.893283354141262e-75,7.626965744351783e-77,3.76,0.0,0.8950940344806372,0.9999999999999988,1.0426650441973775e-31,2.51465418386145e-39,1.2454495188741654e-15,1.0753802481990703e-13,3.609664035723311e-36,7.968112636538338e-35,1.7780173556708565e-29,3.36158250955674e-14,1.7549842417057852e-26,2.942615770403653e-27,1.9544249218401993e-29,2.281021596327641e-28
