Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61)
0.0,0.898960978339031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7901164290140252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2009925680789233e-23,0.898960978339031,2.3816975208564724e-24,9.728107243430391e-26,2.7408122049131257e-39,7.887823324212246e-20,0.0,0.0,1.4891278074947588e-21,6.747633064978841e-39,8.867397118255983e-50,1.1858247107814822e-49,4.65865969596562e-55,2.7473744452454743e-61,1.1790768396087213e-39,6.273803896350527e-34,1.282648345571335e-22,1.5201672012391137e-40,2.1342020479869112e-85,1.4155704998734196e-78,9.666149984004913e-56,6.823484191231075e-75,1.5219257298619683e-19,1.693271829092105e-76,4.0237926277665e-41,1.3928280785039054e-89,9.525023969719725e-59,1.7977560225042113e-56,8.650520411927769e-61,1.0008414162226022e-60,1.5249027748319523e-57,3.1359013220771384e-91,1.0449583635944038e-74,3.8408606053897017e-94,3.76,0.0,0.7901164290140252,0.9999999999999997,1.458153707007529e-50,1.7546153580062063e-38,1.4915095050156053e-21,1.5219257298619748e-19,5.579084684318769e-55,9.483213155844163e-54,1.856720975962679e-39,7.887823324212245e-20,6.647211117795295e-39,6.311694422511651e-40,1.5913182712274619e-41,1.7704638858553675e-40,1.1794339484630408e-35,1.282648345571329e-22,3.77619108725612e-39,4.421848874618443e-37,3.67423381437248e-16,6.428872654417264e-58
1.4562779190620986e-22,0.8989609783390309,6.668753058436397e-24,2.723870028160783e-25,1.655450571811495e-38,2.208590530779429e-19,0.0,0.0,4.1695578609853224e-21,4.0755703712472185e-38,1.0527373859626564e-48,1.4078110966423763e-48,5.530760791050495e-54,3.261682941395401e-60,7.121624111236635e-39,3.7893775533956846e-33,3.5914153675997372e-22,9.181809898100206e-40,1.2983392579139558e-83,3.166574585397081e-77,1.1475653261010634e-54,1.8318818680603312e-73,4.261392043613492e-19,5.323917554977577e-75,2.4303707471709434e-40,5.902960109515019e-88,1.130810845685124e-57,2.7167689012084237e-55,1.3072666446505227e-59,1.5124715481956084e-59,1.8103645742909338e-56,1.9058194941008168e-89,2.337530061026127e-73,2.336599363807954e-92,3.76,0.0,0.7901164290140252,0.999999999999999,1.7311200809701837e-49,1.0597876762357485e-37,4.176226614043699e-21,4.2613920436135293e-19,6.623489337223451e-54,1.1258470658617712e-52,1.121459470941308e-38,2.2085905307794287e-19,4.014915515148534e-38,3.81226343119701e-39,9.611562358214216e-41,1.0693601870565858e-39,7.123781048716753e-35,3.591415367599703e-22,2.2808194167025206e-38,2.670796720269539e-36,1.0287854680241463e-15,7.633709873648812e-57
3.328635243570511e-22,0.898960978339031,1.5242864133749338e-23,6.2259886357973635e-25,7.970281892546874e-38,5.048206927495837e-19,0.0,0.0,9.530417967966443e-21,1.9622116952958445e-37,1.033583808222196e-47,1.3821972828949558e-47,5.430133741617861e-53,3.202339653378039e-59,3.4287554495820946e-38,1.824422173058682e-32,8.208949411656539e-22,4.420646225127278e-39,5.861324029779484e-82,6.256617767289948e-76,1.126686442135612e-53,3.914041417780594e-72,9.740324671116457e-19,1.1877367200731819e-73,1.170118896154464e-39,2.3621944029789373e-86,1.1102367939105255e-56,2.922576010664847e-54,1.4062978023262706e-58,1.627047873524799e-58,1.7774266743590465e-55,8.60153957345728e-88,4.618565493082844e-72,1.0548528743041038e-90,3.76,0.0,0.7901164290140252,0.9999999999999977,1.6996239609033678e-48,5.102421461082045e-37,9.545660832099903e-21,9.740324671116638e-19,6.502981108042598e-53,1.105363325445047e-51,5.399344619997221e-38,5.048206927495833e-19,1.933008993055134e-37,1.8354407380663473e-38,4.627553532729973e-40,5.148508980066563e-39,3.4297939221305012e-34,8.208949411656376e-22,1.098116368173816e-37,1.285873652739042e-35,2.35150964119735e-15,7.495414172809369e-56
7.073349892587336e-22,0.898960978339031,3.2391086284987594e-23,1.32302258510749e-24,3.4808315009211562e-37,1.0727439720928654e-18,0.0,0.0,2.0252138181928655e-20,8.569493992523098e-37,9.141931734227982e-47,1.222537843844203e-46,4.802891800153416e-52,2.8324331580700936e-58,1.4974275863030066e-37,7.967730948364636e-32,1.7444017499770134e-21,1.9306123496284082e-38,2.2131244285466837e-80,1.1133317027091147e-74,9.965413987509692e-53,7.203864554733932e-71,2.0698189926122062e-18,2.22449942878443e-72,5.110216637263102e-39,8.475724937591273e-85,9.819918711822136e-56,2.6863508693080324e-53,1.292629964113538e-57,1.4955373114331956e-57,1.5721137647559747e-54,3.247449393925236e-86,8.218490525933295e-71,3.9829239457240545e-89,3.76,0.0,0.7901164290140252,0.999999999999995,1.5032981457919657e-47,2.228361504667879e-36,2.028452926821238e-20,2.0698189926122856e-18,5.751813146146623e-52,9.776813435145973e-51,2.3580356621002774e-37,1.0727439720928637e-18,8.441958119602732e-37,8.015851916589376e-38,2.0209742044594087e-39,2.248489135035443e-38,1.4978811145480397e-33,1.744401749976942e-21,4.795762680812551e-37,5.615748070765414e-35,4.996957987541385e-15,6.629844281201117e-55
1.4562779190620986e-21,0.898960978339031,6.668753058991361e-23,2.7238700281647476e-24,1.4531786316582767e-36,2.208590530779429e-18,0.0,0.0,4.169557860985296e-20,3.577595051051754e-36,7.684344465384573e-46,1.0276167211985696e-45,4.0371199539699413e-51,2.380830736258275e-57,6.251465403604813e-37,3.3263708258445703e-31,3.591415367599729e-21,8.059926537462387e-38,7.678356742512957e-79,1.8777966446027062e-73,8.376530917738892e-52,1.2341613960136331e-69,4.261392043613197e-18,3.842269574322129e-71,2.1334148512414812e-38,2.87124093583754e-83,8.254233371775402e-55,2.298229726097926e-52,1.1058721488363455e-56,1.279463656402138e-56,1.3214563462388564e-53,1.1266396932714097e-84,1.3861685511814573e-69,1.381861373981842e-87,3.76,0.0,0.7901164290140252,0.9999999999999897,1.2636126720471463e-46,9.302970628148885e-36,4.1762266140437596e-20,4.26139204361353e-18,4.834745522078139e-51,8.218000789438398e-50,9.844334818203205e-37,2.2085905307794223e-18,3.5243513346575026e-36,3.3464603828152987e-37,8.437169474052801e-39,9.386999522797304e-38,6.253358794750848e-33,3.591415367599431e-21,2.002136514460746e-36,2.344464273322692e-34,1.0287854680219968e-14,5.572876900683794e-54
2.9541637786688287e-21,0.8989609783390309,1.3528041920956363e-22,5.52556491428626e-24,5.936708873522954e-36,4.480283648152556e-18,0.0,0.0,8.458245946570108e-20,1.4615643124066535e-35,6.300089861281682e-45,8.425022740528359e-45,3.309874850779645e-50,1.9519488813185977e-56,2.5539275976655426e-36,1.3589310191647038e-30,7.285442602845146e-21,3.2927429954690425e-37,2.5572133795906593e-77,3.084286627433965e-72,6.86758613504381e-51,2.0424038440486e-68,8.644538145614658e-18,6.383988380475806e-70,8.715695783444665e-38,9.452220841020354e-82,6.767319217956282e-54,1.900220780943773e-51,9.14356478128428e-56,1.0578852935145835e-55,1.0834097516771086e-52,3.7520989851616214e-83,2.2767860077189302e-68,4.6021753770846754e-86,3.76,0.0,0.7901164290140252,0.9999999999999791,1.0359860128065068e-45,3.8005670500557465e-35,8.471773988488911e-20,8.644538145616018e-18,3.9638164820228088e-50,6.737613557871176e-49,4.021732075197089e-36,4.480283648152528e-18,1.4398125169609953e-35,1.3671382586933928e-36,3.4468590282135936e-38,3.834895595311509e-37,2.554701109728721e-32,7.28544260284393e-21,8.179380942619512e-36,9.57790153637848e-34,2.0869648065539186e-14,4.569018311729223e-53
5.9499354978822886e-21,0.8989609783390309,2.7246619648805557e-22,1.1128954686557287e-23,2.3997126486588786e-35,9.02366988289881e-18,0.0,0.0,1.7035622117739544e-19,5.9078766347759e-35,5.10197611053348e-44,6.822801849182956e-44,2.680422468463692e-49,1.5807388117836036e-55,1.0323383687652991e-35,5.4930164538385694e-30,1.467349707333592e-20,1.330979378125838e-36,8.347170383236482e-76,4.999761534015935e-71,5.561549306352959e-50,3.323071911960162e-67,1.74108303496155e-17,1.040751235022193e-68,3.5230235876534963e-37,3.0677783447172124e-80,5.480350557299853e-53,1.5452279809965527e-50,7.435395027659321e-55,8.602547517719455e-55,8.773733062038942e-52,1.2247345844451376e-81,3.6907682318813095e-67,1.5022267020769287e-84,3.76,0.0,0.7901164290140252,0.9999999999999579,8.389683329219617e-45,1.536249967471604e-34,1.7062868737379642e-19,1.7410830349621e-17,3.2100013560278054e-49,5.4562941435838937e-48,1.625648478893902e-35,9.023669882898697e-18,5.81995239978041e-35,5.5261914282385934e-36,1.3932755297400036e-37,1.5501261143274245e-36,1.0326510347087844e-31,1.4673497073331005e-20,3.3062365540478686e-35,3.8715409384743876e-33,4.2033234836025835e-14,3.700124300150998e-52
1.1941478936309208e-20,0.898960978339031,5.46837751201807e-22,2.2335734231211338e-23,9.64913903453229e-35,1.8110442352391318e-17,0.0,0.0,3.419037446007766e-19,2.3755312110579027e-34,4.1065142356485624e-43,5.4915844992730646e-43,2.1574371941070016e-48,1.2723161168912618e-54,4.150987176912537e-35,2.2087177569230776e-29,2.944960601431723e-20,5.351809644796949e-36,2.697661230861354e-74,8.051961816511077e-70,4.4764187256073456e-49,5.361577976702651e-66,3.4943414757608856e-17,1.6808160421760156e-67,1.416592289773917e-36,9.886429880648565e-79,4.411062908237492e-52,1.2462823464035413e-49,5.996915455490265e-54,6.93826622173022e-54,7.061863665870689e-51,3.958109744775765e-80,5.943868457397766e-66,4.85493713338806e-83,3.76,0.0,0.7901164290140252,0.9999999999999156,6.752747029308968e-44,6.177193552475057e-34,3.424505823516283e-19,3.4943414757630975e-17,2.5836883551432503e-48,4.391700213605654e-47,6.536661615128573e-35,1.8110442352390862e-17,2.3401772628780725e-34,2.2220572682207783e-35,5.6022996266142345e-37,6.23298892866488e-36,4.152244392920985e-31,2.944960601429748e-20,1.3294231770190347e-34,1.5567295837048878e-32,8.436040837639199e-14,2.978187856694673e-51
2.3924565813163046e-20,0.898960978339031,1.0955808612563808e-21,4.474929332096742e-23,3.869736335152531e-34,3.6283987291376333e-17,0.0,0.0,6.849987914475083e-19,9.526942638643962e-34,3.2952190548722394e-42,4.4066507138861825e-42,1.7312074776269529e-47,1.0209535561337986e-53,1.664731515379655e-34,8.857946078412095e-29,5.90018238962789e-20,2.1463151164798182e-35,8.675274236194709e-73,1.2925181956174524e-68,3.592044112295633e-48,8.61467199797379e-65,7.000858357356225e-17,2.701862754350775e-66,5.681168668373332e-36,3.17483434070466e-77,3.5396001848212924e-51,1.0010817563758292e-48,4.817048620102351e-53,5.573192748403123e-53,5.666700851247683e-50,1.272865449848391e-78,9.541225242413411e-65,1.5612750262067005e-81,3.76,0.0,0.7901164290140252,0.9999999999998309,5.4186542178652264e-43,2.4773308962767244e-33,6.860943723073607e-19,7.000858357365098e-17,2.0732471900023983e-47,3.5240628417790275e-46,2.6214941323070487e-34,3.628398729137452e-17,9.385157494059375e-34,8.911443484960438e-35,2.2467727192582607e-36,2.4997073376201343e-35,1.6652357152304005e-30,5.900182389619971e-20,5.33158153883898e-34,6.243181894980263e-32,1.6901475545469563e-13,2.389810560173469e-50
4.7890739566870725e-20,0.898960978339031,2.1930670838738108e-21,8.957641150227148e-23,1.549912989041379e-33,7.263107716934636e-17,0.0,0.0,1.3711888851408502e-18,3.8157462823514446e-33,2.640185175502165e-41,3.5306829988174416e-41,1.3870726777408012e-46,8.180052369492082e-53,6.667609254984716e-34,3.547798711497473e-28,1.181062596601985e-19,8.596456254028494e-35,2.7829492645780166e-71,2.0713992906133945e-67,2.8780064260163114e-47,1.3813276068621012e-63,1.4013892120533587e-16,4.333052602334827e-65,2.2754307491863174e-35,1.0177393174710832e-75,2.8359874653460506e-50,8.024909368058153e-48,3.861460700029066e-52,4.46760381074077e-52,4.540256454124443e-49,4.083231556008605e-77,1.5290838663103636e-63,5.008428633697536e-80,3.76,0.0,0.7901164290140251,0.9999999999996616,4.341517300966247e-42,9.922245274449036e-33,1.3733819522191004e-18,1.401389212056912e-16,1.6611206736505959e-46,2.8235386835836964e-45,1.04996538973064e-33,7.26310771693391e-17,3.758958269824006e-33,3.5692255782177528e-34,8.998809981397612e-36,1.001186775457758e-34,6.669628684288138e-30,1.1810625965988129e-19,2.135413553655021e-33,2.5005291843772214e-31,3.3832344960158833e-13,1.9147575393874233e-49
9.582308707428608e-20,0.8989609783390311,4.388039539141801e-21,1.792306478720473e-22,6.20369123585003e-33,1.4532525692528638e-16,0.0,0.0,2.743569072527047e-18,1.527292925120219e-32,2.1137534860066677e-40,2.8266932083706115e-40,1.110501541774396e-45,6.549015717597686e-52,2.668781331104738e-33,1.4200440676197669e-27,2.363151311880226e-19,3.4408233374398183e-34,8.916432228635251e-70,3.3169377004831023e-66,2.3041550919296317e-46,2.2127727791952452e-62,2.8039959646835015e-16,6.940952927610303e-64,9.1076529403702e-35,3.2596367859680083e-74,2.2705143740648215e-49,6.426435982404967e-47,3.0923003424534844e-51,3.5777064347325307e-51,3.634965833660824e-48,1.3082464067229404e-75,2.4485264362793578e-62,1.6046758404348386e-78,3.76,0.0,0.7901164290140249,0.999999999999323,3.475853669150499e-41,3.971483921524725e-32,2.7479571120436794e-18,2.8039959646977246e-16,1.3299065714270367e-45,2.26054777921104e-44,4.202600831472448e-33,1.453252569252573e-16,1.5045629207621866e-32,1.4286203983119857e-33,3.601869150192068e-35,4.007356269753731e-34,2.669589629110963e-29,2.363151311867529e-19,8.547219262590232e-33,1.0008633304631521e-30,6.769408378565159e-13,1.532970664226805e-48
1.916877820891168e-19,0.8989609783390311,8.777984489810304e-21,3.5853912064026976e-22,2.4822846344583656e-32,2.9071361643716636e-16,0.0,0.0,5.488329447297492e-18,6.11116109163887e-32,1.691645201624724e-39,2.2622136611135517e-39,8.887387375278048e-45,5.2412029536008596e-51,1.0678601573009894e-32,5.6820259634779364e-27,4.727328742436105e-19,1.3767779508485579e-33,2.855018740563229e-68,5.3092604667784046e-65,1.844024353314437e-45,3.54339463537901e-61,5.60920946992247e-16,1.1111985325590336e-62,3.6442475028437697e-34,1.0435433919556753e-72,1.817101554919027e-48,5.14375345352482e-46,2.4750935991565774e-50,2.863615210584504e-50,2.909077407356442e-47,4.188970092909855e-74,3.919236893427217e-61,5.138130903068037e-77,3.76,0.0,0.7901164290140245,0.9999999999986457,2.781739318200368e-40,1.5891108783464275e-31,5.4971074316972366e-18,5.609209469979383e-16,1.0643294429352456e-44,1.8091252499016962e-43,1.6815901344944238e-32,2.9071361643704985e-16,6.02021146729405e-32,5.716342457446748e-33,1.4412168253163773e-34,1.6034644901359005e-33,1.068183581794286e-28,4.727328742385297e-19,3.420001031614797e-32,4.004757006711923e-30,1.3541756142109388e-12,1.2268425836825073e-47
