Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49)
0.0,0.7464656585225812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8766185673154414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9441811220091571e-22,0.7464656585225812,1.229593795377176e-25,5.429899109247086e-28,5.898231286928489e-39,2.607313484805813e-21,0.0,0.0,1.935947092630155e-22,6.72393268725822e-40,1.3688100147181518e-49,3.617424758075288e-38,3.2742613962083518e-56,2.8208084813421603e-64,2.631064762263458e-41,2.2788931399306453e-34,2.419418580932522e-24,4.133721295966178e-42,3.2170408402076142e-86,3.350660016798285e-83,4.5031783091886004e-58,5.560892049231098e-78,1.2467352882576873e-20,2.286859581489722e-59,6.691362706651636e-43,1.497241598269602e-80,3.415529313822002e-62,1.2868662396534705e-58,4.0605593672444367e-63,8.530092681114183e-64,5.420466234233217e-59,5.263664100088784e-90,1.3826201772509295e-77,7.179978206388577e-96,3.76,0.0,0.8766185673154414,0.9999999999999997,2.252303923539542e-50,3.6172152929631804e-40,1.9371766864255233e-22,1.2467352882577098e-20,7.35997416771831e-55,1.952037849582578e-53,2.548565516143039e-40,2.607313484805812e-21,3.2853286933062236e-39,8.635095772000998e-40,1.0384736995353307e-42,1.2662451067991892e-41,1.0173484178078248e-36,2.4194185809324733e-24,6.0211909415780056e-40,2.5665538695325983e-38,4.092676381969249e-16,4.0619501197250526e-60,3.086673501132884e-39,3.2604216135400166e-59,1.2971451346525567e-74,2.5354238042213572e-58,5.312826794874921e-90,1.2570538991404907e-59,3.492506931470652e-74,4.9348228206901054e-57,1.2686682415189753e-40,1.4657528519565003e-83,7.665490727520568e-44,1.3203629241474522e-59,3.4848103505082846e-41
5.44370714162564e-22,0.7464656585225811,3.442862627089079e-25,1.5203717505928508e-27,3.5625316973716193e-38,7.300477757456275e-21,0.0,0.0,5.420651859364431e-22,4.061255343103962e-39,1.6250512494735065e-48,2.1849245538869435e-37,3.887203129579109e-55,3.348863829049376e-63,1.5891631164070905e-40,1.3764514565180591e-33,6.774372026611062e-24,2.4967677031447236e-41,1.9518289378368736e-84,7.495292431180284e-82,5.346173288668705e-57,1.4405549912582533e-76,3.49085880712145e-20,2.714959695144559e-58,4.0415830748175245e-42,4.707567143834226e-79,4.0549164013694706e-61,1.9447122613645187e-57,6.136317315779793e-62,1.2890676059705597e-62,6.435177513282796e-58,1.6656495661644363e-88,3.092866046250796e-76,4.3679311610555167e-94,3.76,0.0,0.8766185673154414,0.9999999999999988,2.6739352180264208e-49,2.184798036949761e-39,5.424094721991466e-22,3.490858807121587e-20,8.73776133192102e-54,2.3174593350241548e-52,1.539333594034515e-39,7.30047775745627e-21,1.9843385307570193e-38,5.2155978462885484e-39,6.272381145196392e-42,7.648120445061648e-41,6.144784443559223e-36,6.774372026610758e-24,3.636799328712506e-39,1.5501985371976887e-37,1.1459493869507169e-15,5.097585408533067e-59,1.8643507946842595e-38,3.882231940195843e-58,4.0784318465681097e-73,3.010055140369554e-57,3.232051805126e-88,1.89758020983173e-58,9.87130412011487e-73,5.858621652723247e-56,7.662756178773913e-40,4.608561487025887e-82,4.629956548018925e-43,1.9836547614029077e-58,2.1048254517070023e-40
1.2442759180858605e-21,0.7464656585225812,7.869400290644835e-25,3.4751354299437985e-27,1.7152056583390226e-37,1.66868063027572e-20,0.0,0.0,1.2390061392832972e-21,1.9553196254546871e-38,1.5954849531555485e-47,1.0519471196624987e-36,3.816479083422165e-54,3.2879343658522973e-62,7.65113632866156e-40,6.627021250917557e-33,1.5484278917968138e-23,1.2020862134386918e-40,8.824793699943614e-83,1.4809434779225108e-80,5.248904637190225e-56,3.036500501390799e-75,7.979105844848681e-20,2.665563528184299e-57,1.9458482750942e-41,1.0502323336095421e-77,3.981140968190895e-60,2.0920327084804896e-56,6.601170152141935e-61,1.3867201069852991e-61,6.318095442624759e-57,3.766398304926873e-87,6.110982127749548e-75,1.971892918063302e-92,3.76,0.0,0.8766185673154414,0.9999999999999973,2.6252854532779963e-48,1.0518862071936926e-38,1.2397930793123357e-21,7.979105844849344e-20,8.578785889910573e-53,2.275295317472578e-51,7.411228855205749e-39,1.6686806302757168e-20,9.553735840135399e-38,2.5110858504978077e-38,3.0198815182532335e-41,3.682240770563859e-40,2.9584491989850957e-35,1.5484278917966678e-23,1.75096232580997e-38,7.4635386526007855e-37,2.619312884455611e-15,5.125447341065428e-58,8.976046541294387e-38,3.816619781596939e-57,9.098757095461616e-72,2.9552899861940833e-56,1.4591026801249144e-86,2.040614290334513e-57,2.1481808822181732e-71,5.7520294797962376e-55,3.6892872463361305e-39,1.028144716103044e-80,2.2291249264577344e-42,2.1299052793403697e-57,1.013382849927806e-39
2.6440863259324535e-21,0.7464656585225812,1.672247561828414e-24,7.384662788704352e-27,7.4907537354347714e-37,3.5459463393359055e-20,0.0,0.0,2.632888045977001e-21,8.539394512817909e-38,1.4111883727737085e-46,4.594129442902399e-36,3.3756325290385545e-53,2.908140711924244e-61,3.341452248073997e-39,2.894194287711136e-32,3.2904092700682266e-23,5.249826671784893e-40,3.334224339311299e-81,2.6352597924612237e-79,4.6425967096410654e-55,5.559755599359732e-74,1.695559992030196e-19,2.357660754132389e-56,8.49803063744659e-41,1.966968929802991e-76,3.5212741013778684e-59,1.922938484590757e-55,6.067612651286007e-60,1.2746346891576962e-60,5.588283868849492e-56,7.243749867514893e-86,1.0874166198318358e-73,7.445492461181494e-91,3.76,0.0,0.8766185673154414,0.9999999999999943,2.3220352530124613e-47,4.5938634220632353e-38,2.6345602935387174e-21,1.6955599920304853e-19,7.587838967988905e-52,2.0124729414038173e-50,3.2366785509055104e-38,3.545946339335891e-20,4.172367440499835e-37,1.0966571630440418e-37,1.3188615984145107e-40,1.6081312856265148e-39,1.292032490615877e-34,3.290409270067588e-23,7.64691249579463e-38,3.25952341430639e-36,5.566039879454637e-15,4.5812987592752713e-57,3.9200753464387225e-37,3.377751209558129e-56,1.7040965060808367e-70,2.6139205251867574e-55,5.509294092360367e-85,1.8754166115617959e-56,3.983115149466859e-70,5.0876049352183543e-54,1.6112086667280133e-38,1.9256012663142426e-79,9.735175527196904e-42,1.956292814211555e-56,4.4257091451454885e-39
5.4437071416256395e-21,0.7464656585225812,3.442862627567393e-24,1.520371750646008e-26,3.1272422292615176e-36,7.300477757456276e-20,0.0,0.0,5.420651859364393e-21,3.5650291107842814e-37,1.186188857794076e-45,1.9179586068636232e-35,2.8374225377783367e-52,2.4444674969949212e-60,1.3949905369515513e-38,1.2082691427905234e-31,6.774372026611046e-23,2.19169959443833e-39,1.1571354346796492e-79,4.444750817669909e-78,3.9023822718898696e-54,9.50953461364047e-73,3.490858807120379e-19,1.9817559235652266e-55,3.5477605070658076e-40,3.3974496770468335e-75,2.9598430548890122e-58,1.6451143583806365e-54,5.190970368372863e-59,1.0904768122500817e-59,4.697289311134015e-55,1.3167565739119791e-84,1.8340870703562293e-72,2.5831872128095275e-89,3.76,0.0,0.8766185673154414,0.9999999999999885,1.951810543276403e-46,1.9178475483290744e-37,5.424094721991491e-21,3.490858807121588e-19,6.378035854227018e-51,1.6916047678393364e-49,1.3512497475225057e-37,7.300477757456216e-20,1.7418812731917973e-36,4.5783277783141625e-37,5.50598755497809e-40,6.713631556173198e-39,5.393981311216544e-34,6.774372026608379e-23,3.192435437216167e-37,1.3607868616261747e-35,1.1459493869409642e-14,3.8698487685040484e-56,1.6365542903006187e-36,2.839994101718841e-55,2.9434029353706604e-69,2.197157701933244e-54,1.9114300531079708e-83,1.6043593943336467e-55,6.846622928941247e-69,4.276438499244341e-53,6.726479016523841e-38,3.325997324457781e-78,4.06424525665261e-41,1.673093774432696e-55,1.847646447839463e-38
1.1042948773012012e-20,0.7464656585225812,6.984092759889821e-24,3.0841826942910064e-26,1.2775804904629795e-35,1.4809540593697017e-19,0.0,0.0,1.0996179486139108e-20,1.4564307157908572e-36,9.725092921311881e-45,7.835486724099891e-35,2.3262904263254883e-51,2.004122142541494e-59,5.698991517648621e-38,4.936173696809407e-31,1.3742297539696655e-22,8.953810445332373e-39,3.8542813042168675e-78,7.300516564824219e-77,3.1994087585013927e-53,1.5747980160143613e-71,7.0814564372988555e-19,1.6247632387881012e-54,1.4493759277108177e-39,5.6449134563538044e-74,2.42665816258309e-57,1.3602123649037634e-53,4.2919946840951176e-58,9.016273161290677e-59,3.8511215755399653e-54,2.4057605135823813e-83,3.0124935211703006e-71,8.603091942950289e-88,3.76,0.0,0.8766185673154414,0.9999999999999767,1.600212206803538e-45,7.835033013169934e-37,1.1003163578897082e-20,7.081456437303794e-19,5.229099138051561e-50,1.3868797911270372e-48,5.5202974825638194e-37,1.4809540593696773e-19,7.116153362856107e-36,1.8703962845978555e-36,2.249375572176871e-39,2.7427375510668815e-38,2.203617366908002e-33,1.3742297539685759e-22,1.3042140427023742e-36,5.559258343562314e-35,2.3246401849147467e-14,3.1802931557033667e-55,6.685858270393566e-36,2.3287133952662078e-54,4.8905079993931794e-68,1.8013626307006805e-53,6.365860131004254e-82,1.3264766649041184e-54,1.134834806367151e-67,3.5060826532114654e-52,2.747986157851491e-37,5.526194299468209e-77,1.660377708617152e-40,1.3831289347485278e-54,7.548238611614718e-38
2.2241432035784756e-20,0.7464656585225812,1.4066553027912558e-23,6.211804581956408e-26,5.164184613298822e-35,2.98276662661785e-19,0.0,0.0,2.214723473968827e-20,5.8871258164633755e-36,7.875632387729955e-44,3.1672290130033547e-34,1.883890300399909e-50,1.622990071404809e-58,2.30362349046653e-37,1.9952803308750887e-30,2.7678148565867744e-22,3.6192753364713574e-38,1.2581873237830969e-76,1.1834451952358506e-75,2.590964162908069e-52,2.5704840044059137e-70,1.4262651697648247e-18,1.315775395601588e-53,5.858609235077227e-39,9.202633652043591e-73,1.9651706954211486e-56,1.1061021053080756e-52,3.4901787974622644e-57,7.33188359639654e-58,3.118738098951077e-53,4.632642892973736e-82,4.883381815531426e-70,2.8081924975165272e-86,3.76,0.0,0.8766185673154414,0.9999999999999531,1.295893333371805e-44,3.167045615323297e-36,2.2161301292708427e-20,1.426265169766821e-18,4.234660055642943e-49,1.1231312121366958e-47,2.2313936055416334e-36,2.9827666266177513e-19,2.876462966772714e-35,7.560440832978594e-36,9.092335707098483e-39,1.108658370714814e-37,8.907373725144283e-33,2.767814856582371e-22,5.2718416864576126e-36,2.2471411073614646e-34,4.682021780793438e-14,2.5784985839352185e-54,2.702530810569644e-35,1.8859780002476895e-53,7.97276233936862e-67,1.4587901617871087e-52,2.0779227721884587e-80,1.0786534832513978e-53,1.847831983137563e-66,2.839316633901159e-51,1.1107799415186527e-36,9.009091448810343e-76,6.711519512392341e-40,1.1246515039370444e-53,3.051118732766624e-37
4.463839856133025e-20,0.7464656585225812,2.8231473577469554e-23,1.2467048358788832e-25,2.0764959227533734e-34,5.986391761114147e-19,0.0,0.0,4.444934524678552e-20,2.3671873982798566e-35,6.33899411016265e-43,1.2735288565257022e-33,1.5163188085288366e-49,1.3063236064105355e-57,9.262768738108854e-37,8.022934454811625e-30,5.554985061820944e-22,1.4552962993061384e-37,4.0663809973454745e-75,1.905902003397191e-74,2.0854333670961766e-51,4.177573424906e-69,2.8625042218316786e-18,1.0590505082514331e-52,2.3557210063225055e-38,1.4862277979900865e-71,1.5817403416612626e-55,8.921114192373918e-52,2.814955640563296e-56,5.913429736395622e-57,2.510231746133365e-52,9.777135645876351e-81,7.864535868083853e-69,9.075592903502517e-85,3.76,0.0,0.8766185673154414,0.999999999999906,1.0430476948682637e-43,1.2734551127488348e-35,4.447757672033182e-20,2.8625042218397055e-18,3.4084228200384704e-48,9.039937097271196e-47,8.972344402868311e-36,5.986391761113751e-19,1.1566131077979644e-34,3.0400200069117096e-35,3.6559881983980564e-38,4.457866547860908e-37,3.5816157988261007e-32,5.554985061803239e-22,2.119784355698345e-35,9.035655559843786e-34,9.39678497227532e-14,2.0766042073960599e-53,1.0866757527676337e-34,1.5180493081611767e-52,1.2876032473992062e-65,1.1741612340267258e-51,6.715487339568517e-79,8.69967020449453e-53,2.9824472238304767e-65,2.2853290419268226e-50,4.466397290942031e-36,1.4549706758377982e-74,2.6986783825109804e-39,9.070379805018163e-53,1.2268414231376786e-36
8.943233161242124e-20,0.7464656585225812,5.656131473062966e-23,2.4977535918460155e-25,8.327677407037222e-34,1.199364203010674e-18,0.0,0.0,8.905356626097573e-20,9.493480217542558e-35,5.0866435574766756e-42,5.1074203173892e-33,1.2167503494454126e-48,1.0482424247555165e-56,3.714784551426924e-36,3.217555550877171e-29,1.112932547228909e-21,5.836401928250895e-37,1.3077090932787215e-73,3.059394809244165e-73,1.673428941088633e-50,6.812425145217768e-68,5.734982325953291e-18,8.49821336198739e-52,9.447494857304696e-38,2.389067794511519e-70,1.2692470096555132e-54,7.165924070410382e-51,2.2611254543551373e-55,4.7499883506631835e-56,2.0143028874226812e-51,2.309606390188917e-79,1.2624321800587148e-67,2.918574667381637e-83,3.76,0.0,0.8766185673154414,0.9999999999998117,8.369800862802165e-43,5.107124568842757e-35,8.911012757558134e-20,5.73498232598548e-18,2.735044658363635e-47,7.253980205084903e-46,3.5983185061732106e-35,1.1993642030105151e-18,4.638535870145041e-34,1.2191839909878696e-34,1.4662147857217905e-37,1.7878038684728365e-36,1.4363881270098974e-31,1.112932547221808e-21,8.501283362882033e-35,3.623702009069449e-33,1.8826311354137102e-13,1.6668254494245563e-52,4.358055796206878e-34,1.2181590072667636e-51,2.0697846141622586e-64,9.421904441260129e-51,2.1596000872314714e-77,6.988023920616761e-52,4.792744117031819e-64,1.833832631148334e-49,1.7912250781467417e-35,2.338822868658231e-73,1.0822954690066465e-38,7.28568590009047e-52,4.9201828250192114e-36
