Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78)
0.0,0.48360137879338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9845034437444128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0345548326959508e-20,0.48360137879337994,1.1338581173541095e-30,2.7159338017784216e-35,1.7938192435326082e-39,1.0835982806187292e-26,0.0,0.0,3.45373422424686e-25,6.999157471749881e-43,2.5745203798110915e-50,2.9963408502839563e-50,9.702919837534316e-61,9.691127494957625e-75,2.2548075618814436e-47,6.2542551435592385e-37,1.806407943073356e-30,1.184774136954301e-47,3.355993371159698e-91,9.640313079694606e-97,2.2808186322327887e-66,3.5529164510688855e-86,4.363294174425003e-25,3.909910296684639e-65,2.4435989946437915e-49,7.635481086862838e-91,2.400104448998367e-74,3.022031975091608e-67,9.261195881201282e-73,5.476437635424939e-75,7.0546109089380595e-65,3.887033073633569e-97,5.042393466723098e-88,1.1667451236908896e-103,3.76,0.0,0.9845034437444128,0.9999999999999997,4.345982314242493e-51,5.321775779017853e-46,3.453745562828006e-25,4.363294174431257e-25,1.568413452833324e-55,6.697818381572075e-54,4.5864007406744734e-43,1.0835982806187208e-26,1.7945501198300672e-39,9.799509957986523e-40,3.213892502408008e-46,3.5344831053912874e-45,8.014808874281868e-41,1.8064079430709862e-30,1.962149041764287e-42,5.50639115481494e-43,3.9051248378414777e-16,9.583700192840783e-68,1.0506033990114625e-63,4.7337653821329666e-67,6.626138237293498e-81,1.6767511623251148e-80,4.1534571554355365e-98,1.3690245870412684e-65,3.0404924181003613e-78
2.8967535315486624e-20,0.48360137879338,3.174802728851252e-30,7.604615518291112e-35,1.0834668231061656e-38,3.034075185732441e-26,0.0,0.0,9.670455827891202e-25,4.227491112936926e-42,3.0564705949044225e-49,3.557255858888714e-49,1.151930643152774e-59,1.1505306561986515e-73,1.361903767374222e-46,3.777570106699924e-36,5.057942240605396e-30,7.163630906392481e-47,2.0416145401473155e-89,2.156499474675425e-95,2.7077878801867463e-65,1.6933500061699322e-84,1.2217223688369746e-24,4.6418455042238144e-64,1.475933792764784e-48,2.400717561398678e-89,2.849404001850582e-73,4.566894720790138e-66,1.39955192156714e-71,8.275992716474783e-74,8.375234071100666e-64,2.3646719058771324e-95,1.1279632642463348e-86,7.097879959278672e-102,3.76,0.0,0.9845034437444128,0.9999999999999989,5.159550203458098e-50,3.214352570526781e-45,9.670487575918321e-25,1.2217223688407521e-24,1.8620204520154146e-54,7.951649982499471e-53,2.7701902385642218e-42,3.0340751857323913e-26,1.0839082723773528e-38,5.918904014623753e-39,1.9411910718366964e-45,2.1348277956121442e-44,4.840944560066132e-40,5.057942240591082e-30,1.1851380212238175e-41,3.325860257508198e-42,1.093434954559375e-15,1.3847112049772222e-66,1.2472763553064108e-62,5.620697658586869e-66,2.0833638799862016e-79,3.750825280039291e-79,2.526750676313797e-96,2.068803372217488e-64,8.57445217354217e-77
6.621150929254084e-20,0.48360137879338,7.25669195288452e-30,1.738198244456268e-34,5.21642636037988e-38,6.935028995959866e-26,0.0,0.0,2.2103899035179876e-24,2.035354992784863e-41,3.0008609546851637e-48,3.492534899528946e-48,1.1309723363891698e-58,1.1295978208038349e-72,6.556980389918686e-46,1.8187373957322436e-35,1.1561010835669467e-29,3.4567158690458015e-46,9.216823946287229e-88,4.2608795607168556e-94,2.6585221977304807e-64,8.806045074085888e-83,2.7925082716178175e-24,4.5573914418150294e-63,7.105985876423159e-48,5.355869973851521e-88,2.7975617457516334e-72,4.91285694137153e-65,1.5055740920151323e-70,8.902935669165614e-73,8.222854475487349e-63,1.0675259319812077e-93,2.2286653456241217e-85,3.204322299607451e-100,3.76,0.0,0.9845034437444128,0.9999999999999974,5.065676985448224e-49,1.5475723965383901e-44,2.2103971602098575e-24,2.792508271636005e-24,1.828142723138769e-53,7.806977105241436e-52,1.3337316221833975e-41,6.935028995959626e-26,5.218551748465718e-38,2.8496974957823224e-38,9.345999402736389e-45,1.0278276869814965e-43,2.330706420640994e-39,1.1561010835600554e-29,5.705929413423373e-41,1.601258547820148e-41,2.499279895964873e-15,1.4677230852738255e-65,1.2245833218877696e-61,5.518772431321338e-65,4.6478702102953e-78,7.410998685086005e-78,1.1406960364067862e-94,2.225501341773015e-63,1.8651126197286865e-75
1.406994572466493e-19,0.48360137879338,1.542047040510699e-29,3.6936730270091063e-34,2.278150439479706e-37,1.4736936616414715e-25,0.0,0.0,4.6970785449757135e-24,8.888929989122323e-41,2.654227530722492e-47,3.089107572328479e-47,1.000332223835395e-57,9.991164802024561e-72,2.863605603555796e-45,7.942904032167477e-35,2.456714802579758e-29,1.516435588673958e-45,3.480097350845268e-86,7.582007520374374e-93,2.3514327770865953e-63,3.5127459641481456e-81,5.934080077147082e-24,4.0309611194687665e-62,3.1033707231965974e-47,1.0030956022229764e-86,2.4744116827375432e-71,4.515761939965894e-64,1.3838819781361458e-69,8.183332383643679e-72,7.273021662739995e-62,4.030774797804983e-92,3.965790916468768e-84,1.2098911309318194e-98,3.76,0.0,0.9845034437444128,0.9999999999999947,4.4805339266225085e-48,6.758655239352656e-44,4.697093965445758e-24,5.934080077226511e-24,1.6169715386171628e-52,6.905182837995704e-51,5.824793904207599e-41,1.4736936616413663e-25,2.279078652184065e-37,1.2445377646641252e-37,4.081643483983203e-44,4.48879354316194e-43,1.0178807270336176e-38,2.4567148025496625e-29,2.4919292830125675e-40,6.993116766614593e-41,5.310969778196045e-15,1.3411580155644035e-64,1.0831300802448772e-60,4.88142621458057e-64,8.704946513132074e-77,1.3187476191421334e-76,4.3070511892334625e-93,2.0456108451846647e-62,3.4575912444185093e-74
2.896753531548662e-19,0.48360137879337994,3.174802732617565e-29,7.604628181309269e-34,9.510829630949545e-37,3.0340751857324413e-25,0.0,0.0,9.670455827891141e-24,3.710953291521766e-40,2.2310381687319456e-46,2.59658105631113e-46,8.408395089296926e-57,8.39817602876931e-71,1.195498969279268e-44,3.316006076977629e-34,5.057942240605369e-29,6.38762438680747e-45,1.2074074377727243e-84,1.278816389262865e-91,1.9765209335946022e-62,1.2482570455801169e-79,1.2217223688075922e-23,3.388265704539934e-61,1.2955961869592235e-46,1.7325996923957562e-85,2.0798921138275103e-70,3.86332941298906e-63,1.1839401680177132e-68,7.001014277829178e-71,6.113412940022242e-61,1.3984630256652109e-90,6.688886041811058e-83,4.197674385498572e-97,3.76,0.0,0.9845034437444128,0.999999999999989,3.7661587376804576e-47,2.8216055180352513e-43,9.670487575916955e-24,1.2217223688407523e-23,1.3591620131970164e-51,5.804222243160976e-50,2.4317681399015118e-40,3.0340751857320014e-25,9.51470473533795e-37,5.195700179722986e-37,1.7040058101092562e-43,1.8739829418619657e-42,4.24945166514263e-38,5.057942240479726e-29,1.0403314219181565e-39,2.9194885902825383e-40,1.0934349540339092e-14,1.1443632752440567e-63,9.104360959289861e-60,4.103186530449198e-63,1.5035630330717098e-75,2.224260611702204e-75,1.494316139770795e-91,1.7500599758281164e-61,5.94270590066491e-73
5.876271449713001e-19,0.48360137879338,6.440314123480787e-29,1.5426560846690647e-33,3.88548423573428e-36,6.154838233914381e-25,0.0,0.0,1.9617210393721882e-23,1.5160455050108926e-39,1.8291398842991358e-45,2.128834043665494e-45,6.89371031227017e-56,6.885332104526519e-70,4.884003371081367e-44,1.3546966809991051e-33,1.0260397116656547e-28,2.65597412433692e-44,4.021170880474209e-83,2.100459759409623e-90,1.6204712777256277e-61,4.204118204741481e-78,2.478351090941485e-23,2.777904934971301e-60,5.2929331663504955e-46,2.8787453141108976e-84,1.7052212167015116e-69,3.1942754684926886e-62,9.789046260750526e-68,5.7885758681785595e-70,5.012145285180431e-60,4.6574657570757936e-89,1.098651541640906e-81,1.3980008311901395e-95,3.76,0.0,0.9845034437444128,0.9999999999999778,3.0877244747671908e-46,1.1527179208383715e-42,1.9617274796856943e-23,2.4783510910769548e-23,1.114323143966773e-50,4.758652070211117e-49,9.93482248258904e-40,6.154838233912583e-25,3.887067341555817e-36,2.1226130549384708e-36,6.961419761064598e-43,7.655831780382086e-42,1.7360396614035804e-37,1.0260397116143255e-28,4.2500933102091785e-39,1.1927063496972447e-39,2.2181109055347992e-14,9.449999366764545e-63,7.464305176746571e-59,3.3640621360806166e-62,2.4981924660051073e-74,3.653354733148928e-74,4.976696644592458e-90,1.4469821915165904e-60,9.849591415768317e-72
1.1835307286041678e-18,0.48360137879337994,1.2971336931805215e-28,3.1070515604602505e-33,1.5705748522480762e-35,1.2396364330278262e-24,0.0,0.0,3.9510719525382907e-23,6.128098326075507e-39,1.4812849018364673e-44,1.7239850264143246e-44,5.582705349238692e-55,5.575920452077732e-69,1.974192250979334e-43,5.475900581475522e-33,2.066530686875872e-28,1.1111170065260946e-43,1.312577149139487e-81,3.404935784959168e-89,1.312299654256945e-60,1.3797775106695648e-76,4.991608535001769e-23,2.249619438385657e-59,2.1394882125560137e-45,4.693098138059825e-83,1.3809323521257832e-68,2.5975317623917365e-61,7.960289846876175e-67,4.707176814455485e-69,4.058965200739362e-59,1.5202743945578651e-87,1.780961493689906e-80,4.563307560121701e-94,3.76,0.0,0.9845034437444128,0.9999999999999553,2.5005193341512722e-45,4.6594701397674296e-42,3.951084923872727e-23,4.9916085355493617e-23,9.024077864294354e-50,3.853679821111013e-48,4.016021191424549e-39,1.2396364330270994e-24,1.571214768316235e-35,8.579941344684967e-36,2.8139171898368202e-42,3.094609609665541e-41,7.017349880248479e-37,2.066530686668391e-28,1.7179556690426574e-38,4.821109762813521e-39,4.4674628048257026e-14,7.6799277236093354e-62,6.0447878573103254e-58,2.7243143771870784e-61,4.072684227124554e-73,5.922245454204722e-73,1.6244766713461775e-88,1.1766613969869955e-59,1.603750013462017e-70
2.375337895869903e-18,0.48360137879338,2.603338265484611e-28,6.235878282922168e-33,6.315212409453621e-35,2.4879416523006024e-24,0.0,0.0,7.929773778870315e-23,2.4640813845593053e-38,1.1922669576739721e-43,1.3876131713683794e-43,4.4934469604874296e-54,4.487985873211348e-68,7.93814021219595e-43,2.2018355395339793e-32,4.147512637296235e-28,4.769566714888627e-43,4.242022534949797e-80,5.483544113356603e-88,1.0562529292351682e-59,4.4711616969104e-75,1.0018123422292332e-22,1.8106894364756053e-58,8.602788004551603e-45,7.579422477720354e-82,1.1114944953827237e-67,2.095003469383895e-60,6.420262142809401e-66,3.79651355430401e-68,3.267008315801639e-58,4.913264142560227e-86,2.8681835820580244e-79,1.4747821541896952e-92,3.76,0.0,0.9845034437444128,0.9999999999999103,2.0126355001035013e-44,1.8735524501062772e-41,7.92979981224294e-23,1.001812342449418e-22,7.263363162218483e-49,3.1017767798086093e-47,1.6149910073367488e-38,2.487941652297681e-24,6.31778547886054e-35,3.4499566787407034e-35,1.131463741166194e-41,1.2443289117028463e-40,2.8216455234172942e-36,4.147512636461962e-28,6.907824186065449e-38,1.9385470316152809e-38,8.966166588564006e-14,6.1923198602974085e-61,4.865371152222532e-57,2.1927705139109826e-60,6.577395893591755e-72,9.537593724988151e-72,5.250027883667049e-87,9.490198490402379e-59,2.588458499383581e-69
4.758952230401373e-18,0.48360137879337994,5.215747452649701e-28,1.249367481152349e-32,2.532682634944263e-34,4.984552090846155e-24,0.0,0.0,1.5887177431533648e-22,9.882068439417804e-38,9.567191468653737e-43,1.113472243471298e-42,3.605708216090331e-53,3.60132601859199e-67,3.1835492663974934e-42,8.830345305404619e-32,8.309476538136673e-28,2.1548920149997213e-42,1.3641708739302573e-78,8.802302723774662e-87,8.475764552244691e-59,1.4397710467434286e-73,2.0071153193553438e-22,1.4529642395258905e-57,3.450102758901998e-44,1.2183897504536435e-80,8.919043330542438e-67,1.6828207193348444e-59,5.157103701937639e-65,3.04957406095903e-67,2.62156842484284e-57,1.5800321154305084e-84,4.604069856374026e-78,4.742678414069948e-91,3.76,0.0,0.9845034437444128,0.9999999999998204,1.615013237016038e-43,7.513783291740036e-41,1.5887229588967946e-22,2.0071153202383834e-22,5.828391860124307e-48,2.488980518242271e-46,6.478172139644855e-38,4.9845520908344396e-24,2.533714546882518e-34,1.38358693125547e-34,4.5376757834427586e-41,4.990315461550749e-40,1.1316060560671743e-35,8.309476534790864e-28,2.7703464580229656e-37,7.774440633120676e-38,1.7963574096666595e-13,4.973332681230621e-60,3.904153939287559e-56,1.75956466938025e-59,1.0572971760443476e-70,1.5309950166595515e-70,1.6883302802457046e-85,7.623042746960162e-58,4.159582929713107e-68
