Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69)
0.0,0.6933424269452727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.874611710308132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.097689982811899e-22,0.6933424269452727,2.80813752398806e-26,5.583362204618889e-29,2.3842108239948802e-39,5.09657234105078e-22,0.0,0.0,7.474000814611237e-23,2.1296269859378753e-40,1.0815912702381938e-49,1.2692619121700859e-49,7.776708520086575e-57,1.1136562531131668e-65,4.165177396738692e-42,1.0753345782473638e-34,3.7649844696812954e-25,7.068471189578691e-43,6.9149441036989e-87,2.8399853386717745e-85,3.0918755600427262e-59,1.6444227393866763e-79,3.4510656338698214e-21,3.3314066601573795e-60,9.035152454606555e-44,5.408759098994248e-82,7.762962908961635e-64,9.623356992245826e-60,2.3804947700858587e-64,2.7249069701931425e-65,8.78012994988105e-60,7.440827005476685e-93,5.009808380733419e-79,6.812389788055505e-97,3.76,0.0,0.874611710308132,0.9999999999999997,1.7792096275577593e-50,5.394606965988003e-41,7.476808952135202e-23,3.451065633869929e-21,5.64386278354784e-55,1.7095312541119984e-53,1.8443313727893832e-40,5.096572341050776e-22,2.6829764814190112e-39,7.913323880674414e-40,5.061259513382881e-43,6.150701650203472e-42,2.5932452416094005e-37,3.764984469681165e-25,2.3501358734764897e-40,5.661310068507889e-39,3.8729833458898553e-16,2.747754651173463e-61,7.208791617531047e-61,2.555878932652608e-60,1.5032760768825686e-75,1.1959875547281824e-79,3.6001637741768913e-91,2.4828533765562471e-60
8.673531951873318e-22,0.6933424269452727,7.862785067250643e-26,1.5633414173110524e-28,1.4400633377456462e-38,1.4270402554942184e-21,0.0,0.0,2.0927202280911457e-22,1.2862946995064764e-39,1.2840651560267206e-48,1.5068677421480583e-48,9.2325083550494e-56,1.3221327036958772e-64,2.5157671476300707e-41,6.495020852613683e-34,1.0541956515107627e-24,4.2693569175868044e-42,4.2066979475528335e-85,6.352933603199089e-84,3.670674664882725e-58,4.1638953405275706e-78,9.66298377483515e-21,3.95504598693878e-59,5.457232082582266e-43,1.7006004010111666e-80,9.21618956551923e-63,1.4542817086684304e-58,3.597403696553749e-63,4.117879413363714e-64,1.0423770276500133e-58,4.5266117797093e-91,1.1206741015956105e-77,4.144309154678784e-95,3.76,0.0,0.874611710308132,0.999999999999999,2.1122776698365457e-49,3.2583426074567544e-40,2.0935065065978568e-22,9.662983774835802e-21,6.70039389663999e-54,2.0295555048813813e-52,1.113976166719016e-39,1.4270402554942167e-21,1.6205177947771116e-38,4.779647623927296e-39,3.057000746086646e-42,3.7150237967217576e-41,1.5663201259320714e-36,1.0541956515106843e-24,1.4194820675795e-39,3.419431281378765e-38,1.0844353368481236e-15,3.430077836146892e-60,8.558277408334796e-60,3.0413773352520113e-59,4.7265405098890705e-74,2.6753763204232884e-78,2.190155311800936e-89,3.7502145651409413e-59
1.9825215889996158e-21,0.6933424269452727,1.7972080154112116e-25,3.57335181108043e-28,6.93328507696819e-38,3.2618062982725e-21,0.0,0.0,4.783360521351185e-22,6.192955275107336e-39,1.260702784589426e-47,1.4794516848866197e-47,9.064531451021027e-55,1.2980777286284753e-63,1.2112335869714622e-40,3.127072953542739e-33,2.4095900605960278e-24,2.055511900551393e-41,1.899104537886777e-83,1.2552326239063668e-82,3.603890152785798e-57,8.713644233100148e-77,2.208682005676442e-20,3.8830876030792445e-58,2.6274223337994417e-42,3.793945945494948e-79,9.0485095666856e-62,1.564449899516215e-57,3.8699227378331754e-62,4.4298267633294403e-63,1.023411946958525e-57,2.0435281800966837e-89,2.214263180372401e-76,1.8709392545660145e-93,3.76,0.0,0.874611710308132,0.9999999999999976,2.073846741881157e-48,1.5687517057093108e-39,4.785157729366531e-22,2.2086820056767547e-20,6.578486460540535e-53,1.992629629791751e-51,5.363315895384946e-39,3.2618062982724916e-21,7.80209560796692e-38,2.3011945845000426e-38,1.47181426649682e-41,1.788624039877458e-40,7.54115716260003e-36,2.409590060595651e-24,6.834195120065132e-39,1.6463089679220922e-37,2.4787093413622544e-15,3.4412626117886087e-59,8.402567509400188e-59,2.989126254202088e-58,1.0544651870914628e-72,5.2860927696814386e-77,9.88740799353654e-88,4.0336647675343e-58
4.212858376624184e-21,0.6933424269452727,3.819067032918026e-25,7.593372598903391e-28,3.027947747290943e-37,6.931338383829062e-21,0.0,0.0,1.016464110787125e-21,2.704626272141094e-38,1.1150773359643075e-46,1.308558261099323e-46,8.017475415885495e-54,1.1481350507090636e-62,5.289775293856591e-40,1.365674914373537e-32,5.120378878766556e-24,8.976963356524675e-41,7.170657386853735e-82,2.2336193874251238e-81,3.1876000273816395e-56,1.5960743781660356e-75,4.693449262061738e-20,3.4345470103554375e-57,1.1474643617348834e-41,7.105640874544606e-78,8.003304240622909e-61,1.4379989886390276e-56,3.5571257250438915e-61,4.071773987476065e-62,9.051962773137299e-57,7.715972475456395e-88,3.940163026222468e-75,7.064310636161307e-92,3.76,0.0,0.874611710308132,0.9999999999999948,1.8342939576265174e-47,6.851150846804758e-39,1.0168460174903877e-21,4.693449262063104e-20,5.818596775404541e-52,1.7624583417367948e-50,2.3423011155330498e-38,6.931338383829026e-21,3.407380131402594e-37,1.0049921328455713e-37,6.427799582048728e-41,7.811391095740715e-40,3.2934214568438257e-35,5.120378878764909e-24,2.9846725593104907e-38,7.189863787004996e-37,5.267257350373935e-15,3.0729843609251045e-58,7.4319758060224e-58,2.6450730933829593e-57,1.974896595492618e-71,9.4063196487724e-76,3.733297127719304e-86,3.70739909927921e-57
8.673531951873318e-21,0.6933424269452727,7.86278506846974e-25,1.563341417568614e-27,1.2641085796177853e-36,1.4270402554942185e-20,0.0,0.0,2.0927202280911317e-21,1.1291282279442542e-37,9.372896893272472e-46,1.0999220651290482e-45,6.739171176201618e-53,9.650766904469364e-62,2.2083770557494614e-39,5.701423933861981e-32,1.05419565151076e-23,3.747707875898385e-40,2.487834158077443e-80,3.767325569584062e-80,2.6793698903240466e-55,2.7485666792486007e-74,9.6629837748301e-20,2.8869437091850686e-56,4.790437831431053e-41,1.2273227572238242e-76,6.727259449499284e-60,1.2302384098634758e-55,3.0431959481405094e-60,3.4834883719139945e-61,7.608720132501889e-56,2.677029121952862e-86,6.645660853621699e-74,2.450937529969718e-90,3.76,0.0,0.874611710308132,0.9999999999999892,1.5418345958866658e-46,2.8602206133668333e-38,2.0935065065978565e-21,9.662983774835803e-20,4.890881186559641e-51,1.4814524323088344e-49,9.778647387344108e-38,1.4270402554942038e-20,1.4225141304487631e-36,4.1956443215328575e-37,2.683479794042825e-40,3.261102014921953e-39,1.374938627101202e-34,1.0541956515100726e-23,1.2460420401130473e-37,3.0016265983228595e-36,1.0844353368330977e-14,2.594616423980478e-57,6.247023475109365e-57,2.22382891720528e-56,3.4111427465927624e-70,1.5865132944161091e-74,1.2952542027082733e-84,3.171668797851167e-56
1.759487910237159e-20,0.6933424269452727,1.5950221141725497e-24,3.1713497333798935e-27,5.164296019434797e-36,2.8948530897168435e-20,0.0,0.0,4.245232462699121e-21,4.612857236620813e-37,7.684467159675393e-45,9.017825636900041e-45,5.525179693849942e-52,7.91228178305333e-61,9.021940848420081e-39,2.3292177098622273e-31,2.138511178778964e-23,1.5310629022164222e-39,8.285526459043736e-79,6.187843560673293e-79,2.196709316797957e-54,4.62533228601931e-73,1.9602052800357906e-19,2.36689087458148e-55,1.9570501622764614e-40,2.03921512046586e-75,5.5154137405956555e-59,1.0171849077561392e-54,2.516173259562071e-59,2.880215550049505e-60,6.2380884641450996e-55,8.915624406340751e-85,1.0915517910624123e-72,8.162645282538916e-89,3.76,0.0,0.874611710308132,0.9999999999999781,1.2640891554297162e-45,1.1684934472608599e-37,4.246827484812795e-21,1.9602052800381202e-19,4.0098398914612334e-50,1.2145842095887353e-48,3.994897600046578e-37,2.8948530897167834e-20,5.811434377816253e-36,1.7140576058489952e-36,1.096289055676766e-39,1.332266580227186e-38,5.61707292313476e-34,2.1385111787761556e-23,5.0904883073495645e-37,1.2262624060790622e-35,2.1998545403979776e-14,2.1318345990260113e-56,5.12168727417572e-56,1.8234225460161465e-55,5.667664691344195e-69,2.6058528500544414e-73,4.31373728537448e-83,2.6223622261675712e-55
3.543757340336813e-20,0.6933424269452727,3.212509329684634e-24,6.3873663668213746e-27,2.0874910236508627e-35,5.830478758162092e-20,0.0,0.0,8.550256931915004e-21,1.864590648283883e-36,6.223080739158179e-44,7.302869007002142e-44,4.474433766080951e-51,6.407570927662243e-60,3.646812739350065e-38,9.415070393114626e-31,4.307142233315355e-23,6.188816813434357e-39,2.704533834373574e-77,1.0030761064329986e-77,1.7789521582780523e-53,7.798225336933417e-72,3.9480190851377845e-19,1.9167695960249478e-54,7.910709661316508e-40,3.3244353280299644e-74,4.466525043891653e-58,8.271578740123982e-54,2.0461103071278743e-58,2.34214345203869e-59,5.0517657716498503e-54,2.9102082550574786e-83,1.7694524917035976e-71,2.664423371770765e-87,3.76,0.0,0.874611710308132,0.9999999999999558,1.0236921717902419e-44,4.723237339856821e-37,8.553469441242676e-21,3.948019085147201e-19,3.2472723064269154e-49,9.836017831406197e-48,1.6148023502640136e-36,5.830478758161852e-20,2.3490746923562637e-35,6.928494897071739e-36,4.431375644752221e-39,5.385234528321406e-38,2.2705106847999137e-33,4.3071422333040016e-23,2.0576567637214308e-36,4.956748707861774e-35,4.4306929474216236e-14,1.7282544450515644e-55,4.147675143369827e-55,1.4767319401878426e-54,9.239723891355656e-68,4.224199763678979e-72,1.408075696593538e-81,2.1324476181553112e-54
7.11229620053612e-20,0.6933424269452727,6.4474837641525346e-24,1.2819399640980017e-26,8.39370961586659e-35,1.1701730095052592e-19,0.0,0.0,1.7160305870346376e-20,7.497436989073305e-36,5.008876774643274e-43,5.877984317428042e-43,3.6014135619529043e-50,5.1573705286344135e-59,1.4663673632235724e-37,3.785758396071659e-30,8.644404342388062e-23,2.4885087008970605e-38,8.740586016014175e-76,1.6154231463606228e-76,1.4318554623221223e-52,1.3479603474438337e-70,7.923646695327501e-19,1.5427829260652468e-53,3.180861562246471e-39,5.3689719682126373e-73,3.5950479342199824e-57,6.67132791250175e-53,1.6502620881349235e-57,1.8890235442810636e-58,4.0661005867451813e-53,9.405290133609252e-82,2.849648688892622e-70,8.610955932086875e-86,3.76,0.0,0.874611710308132,0.9999999999999112,8.23956519060857e-44,1.8991929608039046e-36,1.7166753354102434e-20,7.923646695365365e-19,2.6136872588432424e-48,7.916882864822835e-47,6.493056204505943e-36,1.1701730095051625e-19,9.445526021917685e-35,2.785917325482908e-35,1.7818366569912436e-38,2.1653791186707447e-37,9.129623602889766e-33,8.64440434234241e-23,8.273747347772376e-36,1.9930868548583367e-34,8.892369761044459e-14,1.3917843203521826e-54,3.3384097950187557e-54,1.1886331303826558e-53,1.4922178764307626e-66,6.802943494318899e-71,4.550657339095926e-80,1.7198907704199972e-53
1.4249373920934735e-19,0.6933424269452729,1.2917432646863262e-23,2.5683466218400033e-26,3.366252990610219e-34,2.3444232768833587e-19,0.0,0.0,3.4380403747207557e-20,3.006807563683428e-35,4.0193081635787665e-42,4.7167122407968814e-42,2.8899075744772526e-49,4.138465049345744e-58,5.880788975327572e-37,1.5182584389947575e-29,1.731892856053319e-22,9.980134605437515e-38,2.8108414728187574e-74,2.5931119123737283e-75,1.1489738334061804e-51,2.4556794735010297e-69,1.587490191564985e-18,1.2379861370896854e-52,1.2756677539683165e-38,8.630465739515628e-72,2.884799558999751e-56,5.3587733818147184e-52,1.3255802542921962e-56,1.5173664406567674e-57,3.2627896468440007e-52,3.0246003442932466e-80,4.574317247804469e-69,2.769154380655262e-84,3.76,0.0,0.874611710308132,0.9999999999998219,6.611732155739359e-43,7.616613207636373e-36,3.439332117982197e-20,1.5874901915801701e-18,2.097319421469253e-47,6.352799910985018e-46,2.604011542176685e-35,2.3444232768829707e-19,3.7880783962749763e-34,1.1172774507148351e-34,7.145961941536882e-38,8.684138754987509e-37,3.6613873971521937e-32,1.7318928560350099e-22,3.318142738755672e-35,7.993169717864748e-34,1.7815723386592308e-13,1.117112977562316e-53,2.6788636148815446e-53,9.538155379666548e-53,2.398696654211811e-65,1.0920230932254983e-69,1.4634232020590661e-78,1.3815076097512619e-52
