Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145),CHO3(309),CHFO2(220),C2H2F(70),CF(49),CH2F2(40)
0.0,0.6227701750308036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9218484655446667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2476594547849285e-22,0.6227701750308036,2.4181570230344755e-27,1.2644874483935479e-30,2.717937071749369e-39,3.4857332829078476e-23,0.0,0.0,1.8426817506074197e-23,4.841906907154648e-41,1.068393512924468e-49,1.264520804359841e-39,9.982670150353564e-58,6.302566479454237e-68,2.2374796975005073e-43,3.7360368397980705e-35,1.7406162028155402e-26,4.629734766305978e-44,9.737231236763994e-88,2.527466336076903e-88,5.242716599546007e-61,8.171058038431737e-82,4.088740577255441e-22,2.086020557266934e-61,3.804233923548143e-45,3.4112211976706796e-84,1.790840514090108e-66,1.5952078161979497e-61,2.4451061179857114e-66,1.0968070486653396e-67,5.660652973905198e-61,9.803895344595666e-94,3.0499532928744435e-81,2.1973029790428625e-98,3.76,0.0,0.9218484655446667,0.9999999999999997,1.7589841372578967e-50,3.0300889618220895e-42,1.842923566309719e-23,4.0887405772558145e-22,5.513608486018118e-55,1.977984642684533e-53,2.442861946119739e-41,3.485733282907845e-23,2.6473441158539252e-39,9.751167242092589e-40,4.3667399086385705e-44,5.241106368014623e-43,3.89912168905703e-38,1.7406162028153617e-26,7.002843534689479e-41,6.03683605430605e-40,4.123105625604291e-16,4.68931770280162e-63,1.0788044842798117e-40,5.589001399308162e-62,7.495788187682406e-77,6.758087819511137e-59,7.964225654453411e-93,1.954585649858729e-61,2.689135108084413e-75,1.6287940819103422e-57,4.886321149051412e-42,2.7423144912504386e-87,2.972174033025987e-45,1.9667483455826607e-61,2.0572515233183393e-43,9.603806017341602e-45
2.30934464733978e-21,0.6227701750308036,6.770839664622919e-27,3.540564855855734e-30,1.641633991388676e-38,9.760053192141973e-23,0.0,0.0,5.159508901700772e-23,2.9245117719214058e-40,1.2683967785437248e-48,7.637705659060037e-39,1.1851426002512623e-56,7.482406924407091e-67,1.3514377372901572e-42,2.2565662512376406e-34,4.8737253678835115e-26,2.7963629507267473e-43,5.894320803884596e-86,5.6538410951551475e-87,6.224153146981011e-60,2.037735798899655e-80,1.1448473616314024e-21,2.4765236055872484e-60,2.2977572898230215e-44,1.0725425243847347e-82,2.1260858583277613e-65,2.4106780518394848e-60,3.6950443655000064e-65,1.657494811984751e-66,6.720327210621765e-60,5.955143660062209e-92,6.82262356495253e-80,1.3367266305439265e-96,3.76,0.0,0.9218484655446667,0.9999999999999988,2.088265967752331e-49,1.8301737329405414e-41,5.160185985667211e-23,1.1448473616316279e-21,6.545755994665607e-54,2.3482633677937742e-52,1.4754887883377026e-40,9.760053192141952e-23,1.5989958459757852e-38,5.88970501422385e-39,2.637510904831945e-43,3.165628246269591e-42,2.355069500190414e-37,4.873725367882435e-26,4.229717494950856e-40,3.64624897680085e-39,1.1544695751661953e-15,5.7993870072383074e-62,6.515979085050048e-40,6.643793192896877e-61,2.3567957388155994e-75,8.02320185929945e-58,4.845027119803275e-91,2.9532836165373655e-60,7.583750729270009e-74,1.9337043340440194e-56,2.951337974026438e-41,8.622275531671325e-86,1.7951932560447312e-44,2.968207234094071e-60,1.2425799200842744e-42,5.800698834474326e-44
5.2785020510623544e-21,0.6227701750308036,1.5476204948305356e-26,8.092719672195307e-30,7.903761005428024e-38,2.2308693010610223e-22,0.0,0.0,1.1793163203887468e-22,1.4080265286005697e-39,1.2453194786641286e-47,3.677226500168312e-38,1.1635800327292019e-55,7.346271488448794e-66,6.506590960329236e-42,1.0864395130126878e-33,1.113994369801945e-25,1.346331597858684e-42,2.668400980102924e-84,1.1171037250334804e-85,6.110910468430804e-59,4.6307032101325355e-79,2.6167939694426353e-21,2.4314655615501646e-59,1.1062712249677145e-43,2.3927833730787306e-81,2.0874037032233833e-64,2.5932974426404557e-59,3.974960113887007e-64,1.7830572830118436e-65,6.598057106388583e-59,2.68622732917615e-90,1.348035449543364e-78,6.034622978964907e-95,3.76,0.0,0.9218484655446667,0.9999999999999973,2.050271910387042e-48,8.81149870097863e-41,1.1794710824382185e-22,2.6167939694437213e-21,6.426662051503903e-53,2.30553889950905e-51,7.1038451325369075e-40,2.230869301061011e-22,7.698476688903426e-38,2.835639434000415e-38,1.2698479654534695e-42,1.524113731801791e-41,1.1338645871777354e-36,1.1139943698014269e-25,2.0364268998853175e-39,1.755511924592193e-38,2.638787600365704e-15,5.79563394103318e-61,3.13716344028567e-39,6.526653670104514e-60,5.257881646121157e-74,7.877227162347248e-57,2.1872768389976915e-89,3.176840370370327e-59,1.6496023055035172e-72,1.8985223818748854e-55,1.42094219014323e-40,1.9235822405151828e-84,8.643084189495102e-44,3.191704581080628e-59,5.982487429809696e-42,2.792786789842936e-43
1.1216816858507503e-20,0.6227701750308036,3.288693551769244e-26,1.7197029310535253e-29,3.451780081928587e-37,4.7405972647546725e-22,0.0,0.0,2.5060471808260817e-22,6.149221772086384e-39,1.1014709760832846e-46,1.6059414226632232e-37,1.0291733618292317e-54,6.4976939376516804e-65,2.84159921582333e-41,4.744766786537443e-33,2.367238035829131e-25,5.879812007316616e-42,1.0087370099312214e-82,1.9878263920805474e-84,5.405031105467906e-58,1.004588650829548e-77,5.5606871850631624e-21,2.1506037537195537e-58,4.831377082905261e-43,4.481418449522637e-80,1.846284936406241e-63,2.383687135596422e-58,3.6536731699836824e-63,1.638936836976885e-64,5.835906789987134e-58,1.0138576210792921e-88,2.3987570605948667e-77,2.2785588143220566e-93,3.76,0.0,0.9218484655446667,0.9999999999999943,1.8134422861457958e-47,3.848212981514048e-40,2.5063760501812092e-22,5.560687185067907e-21,5.684309805167729e-52,2.03922304721356e-50,3.102437351233468e-39,4.74059726475462e-22,3.3621270271347046e-37,1.2383982397456461e-37,5.5457596841918436e-42,6.656205087204341e-41,4.9518845451019236e-36,2.3672380358268676e-25,8.893611289031015e-39,7.666781788968616e-38,5.607423650716629e-15,5.166586502694577e-60,1.370081695035339e-38,5.774235829311942e-59,9.847430422060859e-73,6.967318218245851e-56,8.258741164348277e-88,2.9200029538023274e-58,3.058064815769264e-71,1.6792215466866884e-54,6.205627859285779e-40,3.6026566512771e-83,3.774663193447056e-43,2.9332344198124277e-58,2.6127094346142556e-41,1.2196833642023815e-42
2.30934464733978e-20,0.6227701750308036,6.77083966645554e-26,3.540564860985834e-29,1.4410502361677158e-36,9.760053192141973e-22,0.0,0.0,5.1595089017007365e-22,2.567179042173377e-38,9.258527240017327e-46,6.704489314851906e-37,8.650822229726046e-54,5.461703270019639e-64,1.1863117356126867e-40,1.9808467324554415e-32,4.873725367883497e-25,2.4547293417926515e-41,3.5016636758797684e-81,3.352759757079262e-83,4.5432543217008957e-57,2.2765997621384448e-76,1.1448473616296471e-20,1.807712038597947e-57,2.0170048262644335e-42,7.740535942937595e-79,1.5519137360620874e-62,2.0392945297486535e-57,3.125794319959504e-62,1.4021449698758504e-63,4.9054312967564923e-57,3.5168388261797564e-87,4.045854395154861e-76,7.90537902411596e-92,3.76,0.0,0.9218484655446667,0.9999999999999885,1.5243075095985805e-46,1.606553167558067e-39,5.160185985667175e-22,1.1448473616316281e-20,4.7780048970140436e-51,1.714089843580738e-49,1.295207815527946e-38,9.76005319214175e-22,1.4036218502259496e-36,5.170068871756477e-37,2.315245499758944e-41,2.778834596164547e-40,2.0673143195375842e-35,4.87372536787405e-25,3.7129076420702015e-38,3.2007304759930074e-37,1.15446957512261e-14,4.358850811166679e-59,5.719821375651371e-38,4.854181749441325e-58,1.7008987170808798e-71,5.856450774697764e-55,2.8653409669962842e-86,2.4981008572681195e-57,5.256020106056436e-70,1.4114868906789228e-53,2.590727473218497e-39,6.222693453732908e-82,1.5758486266640264e-42,2.509256101640396e-57,1.0907547576633523e-40,5.091937950394502e-42
4.6846705703178396e-20,0.6227701750308036,1.3735131899063662e-25,7.182288729907731e-29,5.887160421040503e-36,1.9798965046916574e-21,0.0,0.0,1.0466432343449982e-21,1.0487764037173108e-37,7.590700007999815e-45,2.7390026516574286e-36,7.092466724727773e-53,4.4778343229644127e-63,4.846470523956368e-40,8.092405236429685e-32,9.886700031992203e-25,1.002856296151255e-40,1.166499899809505e-79,5.506917968781766e-82,3.724834384794785e-56,5.631133335841066e-75,2.32240464787321e-20,1.4820715466031274e-56,8.240122847755515e-42,1.2861016309962485e-77,1.272352643502173e-61,1.6861281532989956e-56,2.5844671906779134e-61,1.1593205764020377e-62,4.021768950772285e-56,1.1711376407267907e-85,6.645327995212396e-75,2.632821277966903e-90,3.76,0.0,0.9218484655446667,0.9999999999999766,1.2497193911470235e-45,6.563293894865082e-39,1.0467805856639047e-21,2.3224046478813033e-20,3.917297090143587e-50,1.4053144147002776e-48,5.29135710879307e-38,1.9798965046915663e-21,5.734253248705915e-36,2.112141829305366e-36,9.458533313390437e-41,1.1352446036046773e-39,8.445653543361255e-35,9.886700031953605e-25,1.516843920969118e-37,1.307602836706857e-36,2.3419239951475535e-14,3.5800256741852696e-58,2.3367336651292828e-37,3.9799857081888614e-57,2.8260686574204544e-70,4.8014721766983017e-54,9.542781747691387e-85,2.065469047536698e-56,8.711460318586479e-69,1.1572222314252123e-52,1.0583967061618832e-38,1.0339098261856094e-80,6.437864389356499e-42,2.074628082021181e-56,4.4560890895681935e-40,2.0802227985802473e-41
9.435322416273958e-20,0.6227701750308036,2.7663716377222014e-25,1.4465736503980648e-28,2.3796843723536567e-35,3.9876788756465775e-21,0.0,0.0,2.1080279226948218e-21,4.239321908745318e-37,6.147145668631688e-44,1.1071486682749053e-35,5.743663438518831e-52,3.6262663304145715e-62,1.9590208741726718e-39,3.2710795829732508e-31,1.9912649360209516e-24,4.0538612358706435e-40,3.808128144711952e-78,8.926951336833129e-81,3.016467457659671e-55,1.524546519002653e-73,4.677519220347941e-20,1.2002199637379668e-55,3.330789403289216e-41,2.0966702770506674e-76,1.0303841586777633e-60,1.3711314117765919e-55,2.1016457977143699e-60,9.427402400076906e-62,3.256932767762277e-55,3.8225987714212774e-84,1.0772363048655197e-73,8.593967156586258e-89,3.76,0.0,0.9218484655446667,0.9999999999999528,1.0120551641099557e-44,2.652988330345377e-38,2.1083045598582558e-21,4.677519220380655e-20,3.17232874747657e-49,1.138060048239002e-47,2.1388596874917853e-37,3.987678875646209e-21,2.3178768459490573e-35,8.537614976472637e-36,3.823290394913047e-40,4.588840197210395e-39,3.413868196607353e-34,1.9912649360053484e-24,6.131325650955981e-37,5.285539733675138e-36,4.7168328348896367e-14,2.901741287752041e-57,9.445451086020895e-37,3.2231890546107007e-56,4.607205174164935e-69,3.8883566548560592e-53,3.114922900257846e-83,1.6796015472993522e-55,1.4184349693699675e-67,9.371485660216261e-52,4.278208709350041e-38,1.685533968643519e-79,2.6022946413953454e-41,1.6870240729385735e-55,1.8012224567381116e-39,8.408593150871304e-41
1.8936626108186197e-19,0.6227701750308036,5.552088538530715e-25,2.9032632197042975e-28,9.568606219599612e-35,8.003243617556417e-21,0.0,0.0,4.230797299394367e-21,1.7046126942913247e-36,4.947757623646254e-43,4.451796129839403e-35,4.623000023094841e-51,2.9187346207314692e-61,7.877136774120804e-39,1.3152867135672286e-30,3.996454801664374e-24,1.6301650224300974e-39,1.2307976333810663e-76,1.43765799261433e-79,2.427915436662159e-54,4.4242468527489986e-72,9.38774836524782e-20,9.6604144359177e-55,1.339295769716346e-40,3.3861281729790737e-75,8.293428122993261e-60,1.1058671562791877e-54,1.6950534732042429e-59,7.603541579454072e-61,2.6214628382829957e-54,1.2353672919887917e-82,1.7348558597839871e-72,2.7774216836280448e-87,3.76,0.0,0.9218484655446667,0.9999999999999053,8.145900428783654e-44,1.0667549393652896e-37,4.231352508246863e-21,9.387748365379362e-20,2.5533661640917798e-48,9.160097357739618e-47,8.600329432371202e-37,8.003243617554935e-21,9.320080853639617e-35,3.4329374322419505e-35,1.5373282529187165e-39,1.8451524603992303e-38,1.372701387116728e-33,3.9964548016016324e-24,2.465379077636397e-36,2.1252922802623257e-35,9.46665051314259e-14,2.336589937325251e-56,3.797974339085389e-36,2.5943402882613267e-55,7.440648661677584e-68,3.129687714556731e-52,1.0066892560637073e-81,1.354658071634904e-54,2.2893593862417474e-66,7.542986960185059e-51,1.7202489057597837e-37,2.7221418829492594e-78,1.0463767971596878e-40,1.360634483897485e-54,7.242636277901417e-39,3.381058323629101e-40
3.7939233492010676e-19,0.6227701750308036,1.1123522360855116e-24,5.816642416283366e-28,3.8374390770250837e-34,1.6034373101376098e-20,0.0,0.0,8.476336052793051e-21,6.83625931076942e-36,3.9702638939964224e-42,1.7853693826731597e-34,3.7096663727217413e-50,2.3421007176079102e-60,3.1590841599280276e-38,5.274887997639817e-30,8.006834532951054e-24,6.538695460424685e-39,3.958182944641135e-75,2.307759471604203e-78,1.9482492331477793e-53,1.3422272406698885e-70,1.880820665484926e-19,7.751874193149232e-54,5.3711750512180565e-40,5.44310238369022e-74,6.654953766836216e-59,8.882926396151764e-54,1.3615591306398823e-58,6.107578115327216e-60,2.1035588338248407e-53,3.9727069492139493e-81,2.784827867681804e-71,8.931771900411086e-86,3.76,0.0,0.9218484655446667,0.9999999999998103,6.536572083101548e-43,4.27816442466264e-37,8.477448405023689e-21,1.8808206655376798e-19,2.0489155441225326e-47,7.350401246237685e-46,3.449171864728089e-36,1.6034373101370154e-20,3.737769273118515e-34,1.3767614522061054e-34,6.165373885612223e-39,7.399886627226501e-38,5.505146518028904e-33,8.006834532699435e-24,9.887272768558582e-36,8.523372604055682e-35,1.8966285864723642e-13,1.875372494518809e-55,1.5231575785269082e-35,2.081809618274122e-54,1.1960625407717795e-66,2.5113772890327787e-51,3.2373617796493395e-80,1.0881344645506589e-53,3.6789387912414293e-65,6.052771994849644e-50,6.898967512029233e-37,4.375763642111324e-77,4.196483613790725e-40,1.0929310055723157e-53,2.9046210822626327e-38,1.3559556093047859e-39
