Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37)
0.0,0.8446254533290299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6653656978544326e-19,0.8446254533290302,3.6926356841487864e-21,1.7322042062940944e-22,1.4911162993640058e-32,1.169108144880329e-16,0.0,0.0,2.56878145969582e-18,2.354096057185659e-32,1.4854365675221368e-39,1.956166039650966e-39,5.71635829757534e-45,2.206696032680843e-51,4.396121309098161e-33,3.0999912470633507e-27,1.8043774130484606e-19,6.53967032515867e-34,1.5621364828046876e-68,5.106266815653634e-85,2.0933666744629445e-65,8.382246026219495e-62,2.2096429747627566e-16,3.571666674919252e-63,1.6638734920729048e-34,4.9441933651757515e-74,5.792649074282405e-63,1.2546062342642761e-46,6.515372770251641e-51,6.373419798532354e-51,1.9336419801358424e-47,1.3308117034050513e-74,2.1565172838201759e-75,2.533768616377232e-77,3.76,0.0,0.5601695368435428,1.0,2.442495115563721e-40,5.148740953341978e-32,2.5724740953258173e-18,2.209642974793776e-16,9.162546535711536e-45,1.6350694027115071e-43,9.85463849394988e-33,1.1691081448797665e-16,3.5288071602171997e-32,4.024789408850017e-33,7.756151930967564e-35,8.711712127554282e-34,5.620334393973887e-29,1.8043774130294724e-19
4.663023953992412e-19,0.8446254533290299,1.033938009798887e-20,4.850171778402757e-22,9.006343183318528e-32,3.2735028056649185e-16,0.0,0.0,7.192588087147935e-18,1.421874018539615e-31,1.7635102929890305e-38,2.322360336300168e-38,6.786460571380395e-44,2.619789529926174e-50,2.6552572706425697e-32,1.8723947131721702e-26,5.052256756533992e-19,3.949965258575672e-33,9.503238559013132e-67,4.441781235257388e-83,1.0000263811525872e-63,2.366475556674376e-60,6.187000329235272e-16,1.1229899027668029e-61,1.0049795891858485e-33,3.00697636814282e-72,1.7887843393802265e-61,1.8959609413677616e-45,9.846031330398475e-50,9.631511999862554e-50,2.29561975896471e-46,8.09597703720874e-73,1.2217131404526575e-73,1.5414214440208416e-75,3.76,0.0,0.5601695368435421,1.0,2.8997302011704158e-39,3.109839535817681e-31,7.202927466918847e-18,6.18700032942263e-16,1.0877775248564467e-43,1.9411543946472005e-42,5.952226074892031e-32,3.2735028056615214e-16,2.1313995247710405e-31,2.4309728028941214e-32,4.684715766923945e-34,5.261874124169557e-33,3.394681973945547e-28,5.0522567564193e-19
1.0658340466268369e-18,0.8446254533290303,2.3632869655158117e-20,1.1086106925737242e-21,4.336167301290422e-31,7.48229212723409e-16,0.0,0.0,1.6440201342050727e-17,6.845711334288052e-31,1.7314248630634058e-37,2.2801071792994406e-37,6.662987233200566e-43,2.5721248954678934e-49,1.2783920766066657e-31,9.014774545648808e-26,1.1548015443498264e-18,1.901742703825892e-32,4.290216149643182e-65,4.616920978210577e-81,5.2071166302414105e-62,5.1664589511300996e-59,1.4141715037778521e-15,2.5053322586997654e-60,4.8385441145552146e-33,1.357701014611519e-70,3.974906823629813e-60,2.03958826340579e-44,1.0591911205123547e-48,1.0361141099123127e-48,2.253853092488324e-45,3.654911029875912e-71,5.456808778766892e-72,6.958714101873365e-74,3.76,0.0,0.5601695368435409,1.0,2.8469723066012676e-38,1.4972538692305358e-30,1.6463834210131143e-17,1.4141715038680572e-15,1.0679864246265327e-42,1.9058368950196375e-41,2.865765510860056e-31,7.482292127217734e-16,1.0261771221909384e-30,1.1704087600166509e-31,2.2554889824546704e-33,2.533365885382942e-32,1.6343932417455856e-27,1.1548015442946075e-18
2.2648973490820286e-18,0.8446254533290306,5.021985168745296e-20,2.3557977232874876e-21,1.8937188396901772e-30,1.58998707703724e-15,0.0,0.0,3.493542785185055e-17,2.989701992617681e-30,1.5314256834538668e-36,2.0167290315513365e-36,5.893336753716447e-42,2.2750153413802976e-48,5.58307406173751e-31,3.9369888829319937e-25,2.4539532817399644e-18,8.305449236738925e-32,1.6199039866499873e-63,3.6957109560009957e-79,2.078023554517839e-60,9.646953620618512e-58,3.0051144453257893e-15,4.692223447407831e-59,2.113119334526701e-32,5.126762886068893e-69,7.432827299248582e-59,1.87473300478873e-43,9.735791223090283e-48,9.523673738799885e-48,1.993507536755094e-44,1.3800248613386646e-69,2.04982688279657e-70,2.6274781183704014e-72,3.76,0.0,0.5601695368435384,1.0,2.5181147641166336e-37,6.538901010730763e-30,3.4985647696660685e-17,3.0051144457197378e-15,9.446218985361084e-42,1.6856911497795758e-40,1.2515769467783297e-30,1.5899870770300968e-15,4.4815850934735375e-30,5.111482548444535e-31,9.850312961931603e-33,1.1063874388458894e-31,7.13782468011929e-27,2.4539532814988095e-18
4.663023953992411e-18,0.8446254533290315,1.0339382742386813e-19,4.850171789702478e-21,7.905908874708964e-30,3.273502805664888e-15,0.0,0.0,7.192588087142714e-17,1.248141729512541e-29,1.2872555619718601e-35,1.6951823569723573e-35,4.953704644839145e-41,1.91228747392768e-47,2.3308235173484044e-30,1.6436153584383727e-24,5.0522567565093755e-18,3.4673943378077827e-31,5.620199449048684e-62,2.63116921580026e-77,7.385621177084793e-59,1.6817876864196461e-56,6.187000327778813e-15,8.104695445578261e-58,8.821857251317535e-32,1.7787699794177288e-67,1.2828651569625295e-57,1.6038735565439716e-42,8.329174364940436e-47,8.147703393535662e-47,1.6756632033608677e-43,4.7879473267214075e-68,7.092706167691816e-69,9.115942307570935e-71,3.76,0.0,0.5601695368435335,1.0,2.116627186804476e-36,2.729862453449722e-29,7.202927467013958e-17,6.18700032942347e-15,7.9401162432573e-41,1.4169249803041378e-39,5.225270051911563e-30,3.273502805635068e-15,1.8709735563450833e-29,2.1339433438567912e-30,4.1123117624415185e-32,4.618949757847739e-31,2.979901295480164e-26,5.052256755502599e-18
9.459277163813177e-18,0.844625453329033,2.0974182558400155e-19,9.83891994248234e-21,3.2298262320483267e-29,6.64053426292013e-15,0.0,0.0,1.4590678691048812e-16,5.099066223644656e-29,1.055369881926807e-34,1.3898130606605446e-34,4.061346363254365e-40,1.5678088059143724e-46,9.522174594132249e-30,6.714705034400023e-24,1.0248863706004742e-17,1.41657050903664e-30,1.8717610681011057e-60,1.773917041825562e-75,2.4876806172191714e-57,2.866032281419231e-55,1.2550772090113458e-14,1.3466226621266842e-56,3.6040165356767162e-31,5.924164460720453e-66,2.130697655713131e-56,1.326113674135932e-41,6.886722435305e-46,6.736678730557838e-46,1.3738099348614144e-42,1.594586362409481e-66,2.3589292634357783e-67,3.035989418003678e-69,3.76,0.0,0.5601695368435238,0.9999999999999999,1.735338848589049e-35,1.1152378854473619e-28,1.4611652861877657e-16,1.2550772096832421e-14,6.509787032057776e-40,1.1616807032362561e-38,2.1348425946570073e-29,6.6405342627983064e-15,7.643537461299288e-29,8.717854845087694e-30,1.680013540172628e-31,1.8869916833630624e-30,1.21738691089893e-25,1.0248863701891724e-17
1.9051783583454708e-17,0.844625453329036,4.224380086534893e-19,1.9816416327841723e-20,1.3055510361218376e-28,1.3374597177430396e-14,0.0,0.0,2.938685989882413e-16,2.061124094625981e-28,8.546658919115568e-34,1.1255068860277387e-33,3.2889835908795257e-39,1.2696522179959297e-45,3.849015214816289e-29,2.714191131128293e-23,2.064207760482163e-17,5.726221024533008e-30,6.109739866193801e-59,1.1649027045259864e-73,8.164816862450559e-56,4.922493855157939e-54,2.5278315604497145e-14,2.1953849971688844e-55,1.4568011056933048e-30,1.9337815672084773e-64,3.472920894358318e-55,1.078373619052999e-40,5.6001683124888584e-45,5.4781552696931625e-45,1.1125469060101248e-41,5.204995455748777e-65,7.694616098903486e-66,9.909975171078215e-68,3.76,0.0,0.5601695368435041,0.9999999999999998,1.4053223906670928e-34,4.507969844131738e-28,2.9429103652276735e-16,2.5278315631656263e-14,5.271794339215474e-39,9.40759147845531e-38,8.630581990847537e-29,1.3374597176937967e-14,3.0896400514993914e-28,3.5238963123567865e-29,6.790883371045724e-31,7.627522045017357e-30,4.920872536548776e-25,2.0642077588196162e-17
3.8236796422737776e-17,0.8446254533290424,8.478311217894163e-19,3.9771409417760303e-20,5.24959250973828e-28,2.684272300645006e-14,0.0,0.0,5.897922231422726e-16,8.287689332752284e-28,6.879094627983533e-33,9.059062389402563e-33,2.6472601425691597e-38,1.0219265603228907e-44,1.5476720871987423e-28,1.0913643142308227e-22,4.1428505401760086e-17,2.3026624277606844e-29,1.9745623448098237e-57,7.551394803663616e-72,2.645857450950965e-54,8.77095893662767e-53,5.073340259212207e-14,3.545714742771427e-54,5.857733163146517e-30,6.249813159049545e-63,5.608247843298065e-54,8.69747395024623e-40,4.51673862387546e-44,4.4183306943808525e-44,8.954745431033489e-41,1.6821645807694552e-63,2.4859045246786734e-64,3.2027327545947193e-66,3.76,0.0,0.5601695368434649,0.9999999999999994,1.131125719298344e-33,1.812634847518975e-27,5.906400523576164e-16,5.073340270132768e-14,4.243198757014034e-38,7.572047995546161e-37,3.471289640002167e-28,2.6842723004470025e-14,1.2423306759713798e-27,1.4169432065014946e-28,2.73058436072639e-30,3.0669930325405154e-29,1.9786612035792182e-24,4.142850533490979e-17
7.660682210130391e-17,0.8446254533290546,1.6986203360496242e-18,7.968139687440624e-20,2.105344822231105e-27,5.3778974664485896e-14,0.0,0.0,1.1816394714444354e-15,3.323734098232126e-27,5.520040188416611e-32,7.269333149076196e-32,2.1242595674952553e-37,8.200317028158835e-44,6.206857266122836e-28,4.376859007443762e-22,8.300136099285563e-17,9.236102976915577e-29,6.349896551827349e-56,4.8638297699324917e-70,8.520082521080624e-53,1.6749506147491082e-51,1.0164357640280218e-13,5.700154061501009e-53,2.349212983594378e-29,2.0099422494010933e-61,9.014669396071815e-53,6.986284137913042e-39,3.6280900931969294e-43,3.549043508231392e-43,7.185619318467242e-40,5.409589134652996e-62,7.99290792042792e-63,1.0299508675960013e-64,3.76,0.0,0.5601695368433864,0.9999999999999989,9.076571523298466e-33,7.269476459022973e-27,1.1833380841347834e-15,1.0164357684076558e-13,3.4048998346750276e-37,6.076091535925243e-36,1.3929208966347115e-27,5.377897465654508e-14,4.982301656573246e-27,5.682575985061796e-28,1.0950864767684742e-29,1.2300013528320433e-28,7.935316399526689e-24,8.300136072475604e-17
