Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55),O2(128),C2H4F(61),CFO(50),C2H4F(62),S(564),CFO3(1309),C2H2O(181),CH2CF(69),CH2CFO(78),CFO3(296),CHO2(145)
0.0,0.6222074568051135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6360652402048058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2329046197745285e-22,0.6222074568051135,5.21596906918644e-27,6.958176005968857e-30,1.7072350386210062e-39,8.295573393041028e-23,0.0,0.0,2.533486693271343e-23,5.028171031554485e-41,7.845026695955975e-50,9.166894132916148e-50,1.8368682445472273e-57,4.555259208712397e-67,5.894697825099501e-43,4.239099904225079e-35,4.94449157093753e-26,1.1609536943711663e-43,1.1955650569713906e-87,2.6131167005786068e-87,1.502498609429102e-60,4.0447872285645463e-81,7.269993738416975e-22,3.9036989806436504e-61,1.1706152966319478e-44,1.795733028905411e-83,1.4417691356872306e-65,5.068875486224294e-61,1.023652743904423e-65,6.900050911496775e-67,1.4327118217223408e-60,1.3089473843412523e-93,1.6410179554185785e-80,5.620296942013227e-98,3.76,0.0,0.6360652402048058,0.9999999999999997,1.290562115815682e-50,5.733729891249063e-42,2.5340082901782557e-23,7.269993738417398e-22,4.044864729179587e-55,1.35601554108359e-53,6.646551764348979e-41,8.29557339304102e-23,1.810586884973321e-39,6.762906777653498e-40,1.4141415000211228e-43,1.7259091490707853e-42,6.51211826818882e-38,4.944491570937307e-26,9.150999766468633e-41,8.588106813756208e-40,3.9686269665777626e-16,1.182275333838687e-62,1.3227125811008927e-61,1.1976356635410046e-61,1.5361053636085772e-76,2.8501646454524767e-78,2.0872539290642227e-92,3.127348609242437e-61,2.73661075878692e-75,7.26759205915722e-63,1.9651684673259412e-60
1.4652132935368679e-21,0.6222074568051135,1.460471339393315e-26,1.9482892817355427e-29,1.0311699633653244e-38,2.322760550051488e-22,0.0,0.0,7.093762741159757e-23,3.037015303058907e-40,9.313615693437969e-49,1.0882936714839639e-48,2.1807299799278077e-56,5.408003732582795e-66,3.5603974863598413e-42,2.560416342151659e-34,1.3844576398625083e-25,7.012162628371024e-43,7.273205677278473e-86,5.845437534529494e-86,1.7837663491142284e-59,1.0070229818839394e-79,2.0355982467566154e-21,4.6344714298200536e-60,7.070516391656817e-44,5.646071961048596e-82,1.7116683178878723e-64,7.660084634784496e-60,1.5469440265883627e-64,1.0427356937534977e-65,1.7009154747489578e-59,7.962963831389702e-92,3.670891548192888e-79,3.4191009004371957e-96,3.76,0.0,0.6360652402048058,0.9999999999999989,1.5321553438962578e-49,3.463172854314434e-41,7.095223212499113e-23,2.035598246756871e-21,4.8020634065041715e-54,1.6098616503738958e-52,4.01451739273652e-40,2.3227605500514837e-22,1.0935944785239004e-38,4.084795693702665e-39,8.541414660150067e-43,1.0424491260364361e-41,3.933319433986023e-37,1.3844576398623731e-25,5.527203858945469e-40,5.187216515508746e-39,1.1112155506399531e-15,1.4849702886393545e-61,1.5703243762833135e-60,1.4251060265656362e-60,4.829761040039999e-75,6.375704972359964e-77,1.2697784230365003e-90,4.724684941523227e-60,7.71826889304305e-74,8.628085292631273e-62,2.3330480720356975e-59
3.349058956655698e-21,0.6222074568051135,3.338220204427103e-26,4.4532326442699116e-29,4.96463949288344e-38,5.309166971546257e-22,0.0,0.0,1.621431483693657e-22,1.4621921359760418e-39,9.144163116803299e-48,1.0684931802075992e-47,2.141053625848402e-55,5.309610133673424e-65,1.7141781275385497e-41,1.2327302521482213e-33,3.1644746054000177e-25,3.37605681478512e-42,3.283472709213031e-84,1.1549599527771557e-84,1.7513123791505574e-58,2.129451904086083e-78,4.652795992585902e-21,4.550151531837963e-59,3.4041492826054815e-43,1.2596075959820958e-80,1.6805261045570112e-63,8.240369500452844e-59,1.6641317927105396e-63,1.1217274766069545e-64,1.669968899400155e-58,3.5948622903957225e-90,7.253063121114131e-78,1.5435455828975967e-94,3.76,0.0,0.6360652402048058,0.9999999999999974,1.5042792021943795e-48,1.667368652375227e-40,1.6217653057140816e-22,4.652795992587135e-21,4.714694328400443e-53,1.580571714685353e-51,1.932817443677288e-39,5.309166971546239e-22,5.265186661502637e-38,1.9666532909415653e-38,4.112323482095153e-42,5.01894380546307e-41,1.893723992389272e-36,3.1644746053993675e-25,2.6611107320867028e-39,2.4974214614402995e-38,2.539921258597026e-15,1.493609806906941e-60,1.5417537845322363e-59,1.4006117423062775e-59,1.0774931195514653e-73,1.2597319216966803e-75,5.732386768323575e-89,5.0821308140678045e-59,1.6788759212825187e-72,8.471105304153104e-61,2.290600575156772e-58
7.116750282893359e-21,0.6222074568051135,7.093717934832467e-26,9.463119370366864e-29,2.168188499641353e-37,1.1281979814535797e-21,0.0,0.0,3.4455419028490153e-22,6.385777210074174e-39,8.087908722456495e-47,9.450701176843982e-47,1.8937376854071333e-54,4.696290033810468e-64,7.486266237872392e-41,5.383656878361388e-33,6.724508536475035e-25,1.4744147791236096e-41,1.239776819397043e-82,2.0551895266979584e-83,1.5490159663770184e-57,4.037369692874354e-77,9.887191484242277e-21,4.024557501083798e-58,1.4866814267223434e-42,2.3591056255667774e-79,1.4864063081280547e-62,7.57431926157195e-58,1.5296238221614975e-62,1.0310608076609314e-63,1.4770685797241048e-57,1.3573515680125047e-88,1.2906438310703731e-76,5.8281344260816574e-93,3.76,0.0,0.6360652402048058,0.9999999999999946,1.3305179189205294e-47,7.281836961886304e-40,3.4462512746424195e-22,9.887191484247662e-21,4.170093741339294e-52,1.397997782232011e-50,8.441122710304119e-39,1.1281979814535711e-21,2.299445343916347e-37,8.588891607619207e-38,1.795959705061679e-41,2.1919046192839637e-40,8.270390200599426e-36,6.724508536472191e-25,1.1621769703390626e-38,1.0906895653470322e-37,5.3973326744820505e-15,1.3352419867117636e-59,1.3636637626139539e-58,1.2393948062616898e-58,2.0180253644346286e-72,2.2416256956191298e-74,2.164440171891616e-87,4.67118356404441e-58,3.112344923781028e-71,7.492596709307569e-60,2.026010523321829e-57
1.4652132935368678e-20,0.6222074568051136,1.4604713396994346e-25,1.9482892826673627e-28,9.051760180102648e-37,2.3227605500514875e-21,0.0,0.0,7.093762741159708e-22,2.665936280930169e-38,6.798374614276917e-46,7.943883788132425e-46,1.591800630848542e-53,3.947514746116176e-63,3.1253687868641786e-40,2.2475707692161192e-32,1.3844576398625055e-24,6.155408773005981e-41,4.301361720810973e-81,3.4663775296076226e-82,1.3020412549534933e-56,7.456494323357322e-76,2.035598246754624e-20,3.382883077441043e-57,6.206602302740514e-42,4.074768306128823e-78,1.2494140646802872e-61,6.479989595114041e-57,1.3086253839744819e-61,8.820942285709409e-63,1.2415651413176766e-56,4.7092830921323925e-87,2.1768594668994608e-75,2.0220505765264274e-91,3.76,0.0,0.6360652402048058,0.9999999999999889,1.1183804805705467e-46,3.0400235883402476e-39,7.095223212499077e-22,2.0355982467568714e-20,3.5052150567331746e-51,1.175101371647983e-49,3.524003518080651e-38,2.3227605500514518e-21,9.599731664130608e-37,3.585693173511221e-37,7.497778233425669e-41,9.150770308049898e-40,3.452725105793374e-35,1.384457639861319e-24,4.851860076159581e-38,4.553414232653483e-37,1.1112155506135611e-14,1.1279659884926617e-58,1.1462415593846854e-57,1.0420118447512916e-57,3.4856369695558004e-71,3.780829417724935e-73,7.509448439874613e-86,3.996230938101221e-57,5.349327182443249e-70,6.297978996990597e-59,1.7029843498238913e-56
2.972289824031932e-20,0.6222074568051135,2.9626704326722697e-25,3.9522439755738605e-28,3.6979393875708304e-36,4.711885687247304e-21,0.0,0.0,1.439020441778101e-21,1.0891219581188122e-37,5.573718249267905e-45,6.51287588126529e-45,1.3050543297268739e-52,3.236411087655529e-62,1.276815127704824e-39,9.182059956513685e-32,2.8084712122925045e-24,2.5146994751701025e-40,1.4325330421218053e-79,5.693535501310575e-81,1.067492086830055e-55,1.422545322739347e-74,4.1293564434119e-20,2.773491932072031e-56,2.5355995571149103e-41,6.770288504211714e-77,1.0243451366430993e-60,5.357780707979699e-56,1.081996773803772e-60,7.293325663063323e-62,1.017910115060508e-55,1.5683878821369342e-85,3.575498212158285e-74,6.734272660072353e-90,3.76,0.0,0.6360652402048058,0.9999999999999775,9.169158876730205e-46,1.2419488293641073e-38,1.4393167088212338e-21,4.1293564434210823e-20,2.8737870799139617e-50,9.634191011058675e-49,1.439671199185703e-37,4.711885687247157e-21,3.921803616329361e-36,1.4648726596662977e-36,3.0630870549713334e-40,3.7383882529794685e-39,1.4105508653624858e-34,2.808471212287657e-24,1.9821431533974735e-37,1.8602182882868014e-36,2.2541801168976784e-14,9.270089602378523e-58,9.397580833851095e-57,8.543941333015885e-57,5.791437956896462e-70,6.210023703254135e-72,2.5009598625115534e-84,3.304135626380627e-56,8.866122978815413e-69,5.163463689594969e-58,1.3962101629643268e-55
5.98644288502206e-20,0.6222074568051135,5.96706862077978e-25,7.960153367967432e-28,1.4947662273094724e-35,9.490135961638934e-21,0.0,0.0,2.8983087771023284e-21,4.402405090335342e-37,4.513741546645135e-44,5.274295750426484e-44,1.056866832053809e-51,2.6209296083978158e-61,5.1610908913453105e-39,3.7115354429164886e-31,5.6564983571524835e-24,1.0164931704530516e-39,4.67602644251803e-78,9.229466398886938e-80,8.644827685163019e-55,2.935809330899078e-73,8.316872836712388e-20,2.2460456742246744e-55,1.0249298817340659e-40,1.1037279060524095e-75,8.295412495945644e-60,4.356858292003113e-55,8.798618071095493e-60,5.930811306244838e-61,8.24330002281106e-55,5.119479254554935e-84,5.796036681451273e-73,2.1981787578045446e-88,3.76,0.0,0.6360652402048058,0.9999999999999546,7.425422584852559e-45,5.020155738823296e-38,2.898905483963862e-21,8.316872836749507e-20,2.3272672856491086e-49,7.802017663933882e-48,5.819387449632463e-37,9.490135961638343e-21,1.5852557259660603e-35,5.921249503356354e-36,1.2381487622789557e-39,1.5111163034253941e-38,5.70167212547384e-34,5.65649835713289e-24,8.012139543378274e-37,7.519299744570224e-36,4.5401092492795324e-14,7.516071859980064e-57,7.610404608045597e-56,6.91946370308881e-56,9.441505552781985e-69,1.0066716055941492e-70,8.163549533714412e-83,2.6868581733713714e-55,1.4436189198784377e-67,4.1815067676674967e-57,1.1306883278009597e-54
1.2014749007002318e-19,0.6222074568051136,1.1975865005642155e-24,1.597597217907688e-27,6.010389272998993e-35,1.9046636510422196e-20,0.0,0.0,5.8168854477506474e-21,1.7701877243427824e-36,3.633051883353494e-43,4.2452120798513326e-43,8.506583718096058e-51,2.1095521645459652e-60,2.0752519480973775e-38,1.4923920776593693e-30,1.1352552646872364e-23,4.08736629957312e-39,1.5112109456473498e-76,1.4863771107333192e-78,6.958109404029993e-54,6.747452026921782e-72,1.6691905623257104e-19,1.8078129601710834e-54,4.121197976392936e-40,1.782523537822029e-74,6.676869661311565e-59,3.513964050602749e-54,7.09640422616782e-59,4.7834141793476355e-60,6.634925009303678e-54,1.6545272296843362e-82,9.334338394312744e-72,7.104133905772604e-87,3.76,0.0,0.6360652402048058,0.9999999999999089,5.976626093420468e-44,2.0185825431337668e-37,5.818083034249023e-21,1.6691905623406354e-19,1.8731871797692022e-48,6.27974257598361e-47,2.3399551483860894e-36,1.904663651041982e-20,6.374243552035649e-35,2.380908382696285e-35,4.978541718256333e-39,6.076132193842767e-38,2.2926172847870455e-33,1.1352552646793577e-23,3.221646071659596e-36,3.023477356209806e-35,9.111967513297719e-14,6.05314879846492e-56,6.1255157188830805e-55,5.569529568931058e-55,1.5248056685905923e-67,1.6212135886916842e-69,2.638318144857733e-81,2.167044459346466e-54,2.3300073444619334e-66,3.3656404294810896e-56,9.10078166837741e-54
2.4071361250962834e-19,0.6222074568051135,2.3993457809956326e-24,3.2007609906585025e-27,2.410434931890609e-34,3.815963760798873e-20,0.0,0.0,1.1654038789046747e-20,7.099244510424788e-36,2.9152953347335275e-42,3.406515350471394e-42,6.825997708425112e-50,1.6927827570688903e-59,8.322688490908308e-38,5.985159719993224e-30,2.2744661226311814e-23,1.6392904649200589e-38,4.859827925015492e-75,2.3859644457690766e-77,5.583444590309571e-53,1.7307123293604492e-70,3.3441971196121513e-19,1.4506560484499826e-53,1.6527847136134413e-39,2.865354595057699e-73,5.3577674086354074e-58,2.822607023121575e-53,5.700217793474953e-58,3.8422984060369182e-59,5.324109467066897e-53,5.320711613179447e-81,1.498368036753611e-70,2.2845829989113884e-85,3.76,0.0,0.6360652402048058,0.9999999999998174,4.795866045151464e-43,8.095418831074954e-37,1.1656438134818967e-20,3.344197119672008e-19,1.5031147435210542e-47,5.039097932617877e-46,9.384307217020916e-36,3.815963760797917e-20,2.556356759381927e-34,9.548507501898193e-35,1.9966179004581656e-38,2.4368007706465616e-37,9.194420710130872e-33,2.2744661225995839e-23,1.2920241663273582e-35,1.2125496481698914e-34,1.825568403835201e-13,4.8586938745222654e-55,4.915340593044015e-54,4.469253965225303e-54,2.45108057815557e-66,2.6024068554672496e-68,8.484435762694095e-80,1.7406863648113023e-53,3.744259755461873e-65,2.7007144840202713e-55,7.302833558435423e-53
