Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3F(1),O2(2),H2O(3),CH4(4),CH2F(45),HF(38),C1OO1(156),CH2O2(158),CHO2(146),CHF(39),CHFO(46),S(139),CHFO2(186),CHFO2(165),CFO2(148),F(37),CH2FO(131),CH2CHF(55)
0.0,0.49080702623268496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.49080702623268496,3.2900572787184697e-24,4.0239979211196135e-28,7.688476198484905e-29,3.543675944907029e-20,0.0,0.0,2.39344491137244e-19,8.167109284025308e-32,5.0384960487937625e-34,5.865601637738397e-34,1.500408625534053e-43,3.861782989809543e-56,3.047427485659833e-35,1.2303853819579226e-25,8.990032059171708e-24,2.660304713846976e-34,3.2013892758911533e-63,1.900465760738676e-72,1.2197192784668663e-48,2.1936896583067893e-58,8.914289408980925e-19,2.743832039900974e-59,3.972448818203122e-37,1.400260985236613e-68,4.177226968422397e-56,2.8637766058506015e-49,1.7787943581080552e-54,2.0695427918542443e-56,2.361900376081944e-47,3.6045492257507485e-69,9.186661734865223e-65,5.891465829146426e-75,3.76,0.0,0.5591692688980385,1.0,8.319833771301097e-35,3.305284450651929e-34,2.3934778104263385e-19,8.914290639376344e-19,2.8067086353187333e-39,1.1682806476003162e-37,1.310735807872406e-31,3.543675941465337e-20,7.706222277779254e-29,4.277972155892697e-29,1.1097033548254734e-34,1.2880043105150212e-33,3.3577104049280393e-29,8.990031374122098e-24,3.1352712656552823e-31,1.8579024724691272e-31
3.0000000000000002e-15,0.49080702623268496,8.124512935719733e-24,9.94939520202586e-28,3.8599432882586256e-28,8.750709986403982e-20,0.0,0.0,5.910343556651894e-19,4.100222211975194e-31,4.2570144643366735e-33,4.955949041769104e-33,1.2676940470730902e-42,3.26281214056831e-55,1.5299328125237537e-34,6.177035701862157e-25,2.2199875084171503e-23,2.209427198919446e-33,1.4771189271004313e-61,2.412427937294293e-71,1.0305383288546687e-47,1.2429197412348343e-56,2.2012833973235274e-18,1.0029388504710751e-57,1.994331434829655e-36,1.093529001436422e-66,3.529330526441562e-55,8.664803918940122e-48,5.382019780861325e-53,6.262226578125375e-55,1.9955649052637153e-46,1.663136735201149e-67,1.166143592175631e-63,2.7183204364132477e-73,3.76,0.0,0.5591692688980385,1.0,7.029409730609238e-34,1.6593877037606803e-33,5.9104247941553e-19,2.20128401503219e-18,2.3714217791281023e-38,9.870773779331118e-37,7.060398470314374e-31,8.750709969125181e-20,3.868838124328284e-28,2.1477166286663477e-28,5.571218577475722e-34,6.46630020106549e-33,1.685707668084223e-28,2.219987164485726e-23,1.5740338941684822e-30,9.32742873314876e-31
7e-15,0.49080702623268496,2.1285478708532487e-23,2.6153481456799388e-27,2.375624780352427e-27,2.292541376604184e-19,0.0,0.0,1.5484123202120246e-18,2.5234700930497384e-30,6.652865875452542e-32,7.74608800271273e-32,1.98116972425948e-41,5.0991256327104253e-54,9.415923989565123e-34,3.801636445833259e-24,5.816000331638374e-23,3.399822620128058e-32,9.609403169546297e-60,1.0278803880486121e-69,1.6105272883819366e-46,5.709722340589088e-55,5.766996469135336e-18,2.1880451212606385e-56,1.2274055770738798e-35,1.209605398266873e-64,5.515644416369476e-54,5.531786643603525e-47,3.435984673646729e-52,4.0022464376854427e-54,3.1186734782482416e-45,1.0819540823016033e-65,4.968671492272949e-62,1.7684203918365748e-71,3.76,0.0,0.5591692688980385,1.0,1.098556830498614e-32,1.0212654403867191e-32,1.5484336009961619e-18,5.767000270804349e-18,3.706380263260537e-37,1.542601939962067e-35,5.4658081043395674e-30,2.292541365969766e-19,2.3810654175263396e-27,1.321806076751079e-27,3.4289185441195895e-33,3.979649357957844e-32,1.0374639768685119e-27,5.815998214722392e-23,9.687340941937766e-30,5.740539457910844e-30
1.5e-14,0.49080702623268496,4.760957390121333e-23,5.887933949117261e-27,1.1275873041408075e-26,5.127482132536295e-19,0.0,0.0,3.463168249299432e-18,1.1977315778407559e-29,6.5765612145248045e-31,7.658769602929688e-31,1.9584737612946246e-40,5.040641531509217e-53,4.469139949074899e-33,1.804394064056592e-23,1.3008025978219584e-22,3.3431104006431085e-31,4.933095355596413e-58,2.087277220895143e-68,1.5920572518723937e-45,3.112652804987523e-53,1.2898414738306276e-17,5.487470715673929e-55,5.825717369979963e-35,1.491627519061245e-62,5.452389031870218e-53,5.349761554356453e-46,3.3229108433981914e-51,3.879036617339465e-53,3.0829088449316055e-44,5.554333280521812e-64,1.0089691260767656e-60,9.078516554284584e-70,3.76,0.0,0.5591692688980385,1.0,1.085957114367018e-31,4.8473008286028716e-32,3.4632158365810063e-18,1.2898432782411912e-17,3.664397227857269e-36,1.524903498963486e-34,3.5441636586320336e-29,5.127482082059456e-19,1.1301410915620456e-26,6.273776966115093e-27,1.6275991099293343e-32,1.888873575736189e-31,4.924184940637957e-27,1.3008015928865028e-22,4.5979627917035376e-29,2.724670829537003e-29
3.1e-14,0.49080702623268496,1.0026648035094004e-22,1.2561223735485302e-26,4.8762041843179046e-26,1.079736364443065e-18,0.0,0.0,7.292680107449197e-18,5.179280691515323e-29,5.769999668918055e-30,6.722131320085878e-30,1.7183297273221594e-39,4.422448039972348e-52,1.9325611990197298e-32,7.802616975669162e-23,2.7392077282228767e-22,2.9258240188670602e-30,1.836625799169607e-56,3.6909502936273395e-67,1.396807584038349e-44,1.2126450393651785e-51,2.7161219778907534e-17,1.1433341745456931e-53,2.519180715699913e-34,1.1938480953448055e-60,4.7837084090365535e-52,4.788922814120505e-45,2.9745366756143357e-50,3.4861192531327084e-52,2.7048235970549116e-43,2.067917065967309e-62,1.7841691064355466e-59,3.3800892538158246e-68,3.76,0.0,0.5591692688980385,1.0,9.527735442725912e-31,2.096089980419537e-31,7.292780277445125e-18,2.7161297805880022e-17,3.215903858385603e-35,1.3378767121832329e-33,2.3455528829526155e-28,1.0797363426139618e-18,4.8870031206591793e-26,2.712932642970802e-26,7.039059894815922e-32,8.167824485357827e-31,2.1293364493951645e-26,2.739203381189425e-22,1.9882659299304371e-28,1.1782134790432978e-28
6.300000000000001e-14,0.49080702623268496,2.0561564934117128e-22,2.6428627714853454e-26,2.0249085123131233e-25,2.213712666843573e-18,0.0,0.0,1.495170382364852e-17,2.1505498824809643e-28,4.822491718001452e-29,5.622691060916171e-29,1.436236063110794e-38,3.6962254223896756e-51,8.024390129308819e-32,3.2398004652560088e-22,5.616018001596711e-22,2.4423900727721847e-29,6.308921362620343e-55,6.18991250170149e-66,1.16743916759932e-43,4.2524057351920013e-50,5.568670386970832e-17,2.406010514043515e-52,1.0460183963876856e-33,8.471721738850623e-59,3.9981794671656204e-51,4.055200704542135e-44,2.5187690485373208e-49,2.975067401918525e-51,2.2606708232788262e-42,7.10342128828431e-61,2.992143836314127e-58,1.1611459543565658e-66,3.76,0.0,0.5591692688980385,1.0,7.963162501662417e-30,8.703421069993346e-31,1.4951909037951912e-17,5.568702785382819e-17,2.6893389860493006e-34,1.1181637988529864e-32,1.6480929449138073e-27,2.2137125761903083e-18,2.0291899011289514e-25,1.1264685160423377e-25,2.92354030955117e-31,3.391357718106737e-30,8.841466971309977e-26,5.615999939746238e-22,8.255676845269136e-28,4.892198289461939e-28
1.2700000000000001e-13,0.49080702623268496,4.164593467379154e-22,5.631354572388712e-26,8.250846166296919e-25,4.481665271807813e-18,0.0,0.0,3.0269751255646357e-17,8.761041471144446e-28,3.941324496878088e-28,4.602533925020313e-28,1.1739342173832874e-37,3.0208500554364133e-50,3.269005604501578e-31,1.3198369593584587e-21,1.136963866449761e-21,1.9949113907304154e-28,2.090031327742511e-53,1.0133540967554876e-64,9.541330851631329e-43,1.4225153308141312e-48,1.1273716809418892e-16,5.4668822925637e-51,4.261332229191707e-33,5.699390208761565e-57,3.267659171969593e-50,3.3371764638350454e-43,2.072736936479447e-48,2.4862174752174415e-50,1.84762314255061e-41,2.3532349882724055e-59,4.89845829804959e-57,3.847094979659763e-65,3.76,0.0,0.5591692688980384,1.0,6.508136505196878e-29,3.5456528700274986e-30,3.027016607408642e-17,1.1273848795377228e-16,2.2004388576221217e-33,9.138257561570057e-32,1.2205192876769726e-26,4.481664902384267e-18,8.2666379038462195e-25,4.589075710057707e-25,1.1916366396077606e-30,1.3815101750505103e-29,3.601890294768454e-25,1.1369564985090831e-21,3.3632192884386316e-27,1.9930135510279353e-27
2.55e-13,0.490807026232685,8.3875966580592395e-22,1.2521830396592823e-25,3.33169878028383e-24,9.017570483002556e-18,0.0,0.0,6.090584611803884e-17,3.536301649350226e-27,3.1865168064869474e-27,3.7327737276320716e-27,9.493191196494446e-37,2.442323699459326e-49,1.3194837985090673e-30,5.32727930512401e-21,2.2876880981816414e-21,1.6123789496675392e-27,6.803650422892927e-52,1.6398427385543396e-63,7.714204623894501e-42,4.652564417024868e-47,2.268360807505531e-16,1.3733519884756468e-49,1.720040546037325e-32,3.738236545282336e-55,2.641911726997897e-49,2.7076419943219494e-42,1.6816449661642722e-47,2.078733923243265e-49,1.4938195740628906e-40,7.660455306104456e-58,7.926850506092959e-56,1.252618780842542e-63,3.76,0.0,0.5591692688980383,1.0,5.261764665789454e-28,1.431165304315195e-29,6.090667820689293e-17,2.268414081698514e-16,1.7830669407165586e-32,7.38774584594405e-31,9.358150632050044e-26,9.017568990937315e-18,3.3367409940555915e-24,1.8523313985251223e-24,4.814975175796246e-30,5.57565898361813e-29,1.4538644653089724e-24,2.287658279212069e-21,1.3575046386774525e-26,8.044587656801402e-27
5.11e-13,0.49080702623268496,1.6860639927952857e-21,3.0384308766999017e-25,1.339768953798581e-23,1.808938091536379e-17,0.0,0.0,1.2217803583641152e-16,1.4209093389444074e-26,2.5625619455383635e-26,3.0206287259747845e-26,7.637640552250671e-36,1.9640903010662667e-48,5.301646736962673e-30,2.140453316812927e-20,4.5891373797469826e-21,1.2964630895717996e-26,2.1957152163929456e-50,2.6385734894576324e-62,6.203923525310545e-41,1.5049723102975573e-45,4.550258431799782e-16,3.777577992434807e-48,6.911228161627019e-32,2.4216703353210416e-53,2.124670175205628e-48,2.1815514442585707e-41,1.3547672477621481e-46,1.7739556415400038e-48,1.2013728151108733e-39,2.472229647112602e-56,1.2754619016436073e-54,4.044329520287501e-62,3.76,0.0,0.559169268898038,0.9999999999999999,4.231468100776104e-27,5.750517567774983e-29,1.22179694715086e-16,4.550472486667721e-16,1.4404143204576721e-31,5.940447642192379e-30,7.319867658026269e-25,1.8089374912704492e-17,1.340724640019772e-23,7.442786308500896e-24,1.9387537132757837e-29,2.2398058897177445e-28,5.841719954212981e-24,4.589016929887668e-21,5.454356587624829e-26,3.2323679487732436e-26
