Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73)
0.0,0.7462814966354967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7400132245121243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5240159571524076e-22,0.7462814966354967,4.427237938585128e-26,1.0062006152090455e-27,1.4950306604655278e-36,6.474755855519008e-41,0.0,0.0,1.7129784422913343e-21,5.5272979263260315e-40,1.6710559984777493e-53,2.703156238693182e-66,1.788499858201465e-66,1.2456952083241062e-72,1.75435341731925e-51,2.976560749721818e-58,6.096771440032991e-74,2.013883158052185e-72,1.2987591195878308e-64,1.103202899513424e-62,8.101405805895301e-38,4.3285792588454e-58,3.8337705690612025e-63,3.846646200095712e-125,1.6470167880464112e-92,5.440502294132326e-60,3.482246982906302e-57,1.2502742213867598e-77,-6.049120305761796e-135,3.747541921546484e-99,1.1652562691855127e-93,2.777579099297911e-80,2.127616822087103e-71,-7.747303881770324e-116,3.76,0.0,0.7400132245121243,0.9999999999999997,1.1008904384239353e-51,3.986474967994977e-90,6.2670550391761945e-18,6.2670550391761945e-18,1.0632079564215703e-37,4.926785379158049e-41,3.773875791020853e-16,2.0474304945968888e-41,1.0046173233521406e-42,1.7130227146707024e-21,6.112158186142456e-36,1.5486124049309117e-49,5.595462533445036e-36,2.513478826020827e-19,1.036509193927429e-40,1.4950126906866651e-36,1.0593348133639411e-37,1.2037415628369574e-41,1.7240519092914626e-38,3.502261853480075e-37,2.4527432940367224e-72
4.267244680026741e-22,0.7462814966354967,1.2396266229848813e-25,2.8173617225854e-27,9.02998518921178e-36,3.9107525372100776e-40,0.0,0.0,4.7963396384157346e-21,3.3384879475009216e-39,1.9838776813927827e-52,3.2091872736712654e-65,2.1233122812730236e-65,1.4788893513224228e-71,1.0596294640608733e-50,3.6578774102068245e-57,1.4095790790438682e-72,5.631613100951243e-71,1.5418868267841583e-63,1.3097224823023338e-61,4.893249106760761e-37,5.138889296101246e-57,5.793189208403783e-62,1.0570844580302098e-122,7.026449270974817e-91,8.221687066892962e-59,5.250866253349125e-56,3.931062196185638e-76,5.792601214201851e-133,2.1583922728101898e-97,5.981856195621354e-92,7.833217473143547e-79,6.652209287315148e-70,1.4979220916331743e-114,3.76,0.0,0.7400132245121243,0.999999999999999,1.3069771285050842e-50,1.698882671660193e-88,1.7547754109693342e-17,1.7547754109693342e-17,6.4217760567855046e-37,2.975778369011354e-40,1.0566852214853567e-15,1.2366480187365225e-40,6.06788863304956e-42,4.796463601077925e-21,3.691743544429921e-35,1.8385126471339223e-48,3.379659370200777e-35,7.0377407128583155e-19,6.2605155313216666e-40,9.029876651747452e-36,6.398382272718024e-37,7.27059903953819e-41,1.041327353212016e-37,2.1153661595019393e-36,5.486688639028225e-71
9.753702125775409e-22,0.7462814966354967,2.8334322819618e-25,6.439683937338397e-27,4.347549160633746e-35,1.882859003499822e-39,0.0,0.0,1.0963062030664525e-20,1.6073382369756079e-38,1.9477828718256615e-51,3.150799489841083e-64,2.0846915287703863e-64,1.4519823348227143e-70,5.101659737565072e-50,3.6457075830302745e-56,2.8292069262714135e-71,1.2213386432657495e-69,1.5138336298199626e-62,1.2858932996728376e-60,2.3558888083543536e-36,5.0453919841101595e-56,6.23190921563799e-61,2.3946328238690754e-120,2.8261453911364154e-89,8.844515769525682e-58,5.644681625320319e-55,8.769983514613975e-75,1.2056885144546285e-130,9.67913688761353e-96,2.6038693519064463e-90,1.7038958994933844e-77,1.4822441257265634e-68,1.5816241151078865e-112,3.76,0.0,0.7400132245121243,0.9999999999999977,1.2831978950385651e-49,6.8296139476275935e-87,4.0109152250727644e-17,4.0109152250727644e-17,3.0918087372727564e-36,1.4327091882589998e-39,2.415280506249971e-15,5.953927878287778e-40,2.9214271763119036e-41,1.0963345373892212e-20,1.7774156005300442e-34,1.8050626191873002e-47,1.6271605047257807e-34,1.6086264486533293e-18,3.0141687359409554e-39,4.347496904516815e-35,3.080545637262068e-36,3.500480464734238e-40,5.013542952219159e-37,1.0184577469919677e-35,1.0840772164606964e-69
2.0726617017272744e-21,0.7462814966354967,6.021043602812364e-25,1.3684328366845544e-26,1.8986889387912114e-34,8.222939943896382e-39,0.0,0.0,2.3296506815162073e-20,7.01966836643404e-38,1.7227918921906136e-50,2.7868471677124584e-63,1.8439054316261175e-63,1.284261931974106e-69,2.228028839996165e-49,3.2461844885688326e-55,5.07022305635709e-70,2.261457992517802e-68,1.3389687019890518e-61,1.13735806128234e-59,1.0288785373487035e-35,4.4625920726991705e-55,5.728147714560781e-60,3.9899468160400945e-118,1.016247981887328e-87,8.129633768077448e-57,5.186999317894262e-54,1.6425208538712022e-73,1.9306379202431532e-128,3.641533209629913e-94,9.681629805096685e-89,3.1587358367653256e-76,2.774721300747546e-67,1.2501726158025473e-110,3.76,0.0,0.7400132245121243,0.999999999999995,1.1349740064092458e-48,2.4552756410845226e-85,8.523194853279625e-17,8.523194853279625e-17,1.350274104654185e-35,6.257017431529059e-39,5.1324710757714864e-15,2.600236728138074e-39,1.2758640006611947e-40,2.3297108919520132e-20,7.76244089639904e-34,1.5965574449872157e-46,7.1062374174748275e-34,3.418331203388325e-18,1.3163666762878258e-38,1.8986661171720566e-34,1.3453552129719226e-35,1.5287517848074076e-39,2.189545924799729e-36,4.4478725539193014e-35,1.9290574846681266e-68
4.267244680026741e-21,0.7462814966354967,1.23962662561004e-24,2.8173617225864446e-26,7.926652561788152e-34,3.432915561244695e-38,0.0,0.0,4.7963396384157035e-20,2.930573360538043e-37,1.44811039138483e-49,2.3425141428811173e-62,1.5499461943121284e-62,1.0794995364108551e-68,9.301581818633121e-49,2.7371767251583324e-54,8.58031120988863e-69,3.8847967816973995e-67,1.1254838729948864e-60,9.560179814719054e-59,4.295365358285689e-35,3.75107752844713e-54,4.900531694806791e-59,5.795324998145165e-116,3.445908332990314e-86,6.955072846793806e-56,4.437039408828483e-53,2.8370463119753896e-72,2.754839261158e-126,1.2609473363643796e-92,3.33363202504583e-87,5.429059845609128e-75,4.791519956067674e-66,8.86088974019328e-109,3.76,0.0,0.7400132245121241,0.9999999999999896,9.540140397015672e-48,8.324472710217682e-84,1.7547754109693344e-16,1.7547754109693344e-16,5.637128584936281e-35,2.6121816080281016e-38,1.0566852214783657e-14,1.0855476482352925e-38,5.326481048448695e-40,4.796463601077335e-20,3.240666270291035e-33,1.3420027323140008e-45,2.966714235232224e-33,7.037740712858315e-18,5.495571746203145e-38,7.926557286020627e-34,5.616593180453069e-35,6.38223776620162e-39,9.14092322305947e-36,1.8568992347147804e-34,3.2536374048614135e-67
8.656410636625675e-21,0.7462814966354969,2.514671160902409e-24,5.715219494392066e-26,3.238296211794684e-33,1.4024580229579159e-37,0.0,0.0,9.729717552214639e-20,1.1972348400339073e-36,1.1872483900019732e-48,1.9205365552136265e-61,1.2707929419453263e-61,8.850389405649571e-68,3.799999676055655e-48,2.2475104402771095e-53,1.4116072469274389e-67,6.437141176537229e-66,9.227396780454434e-60,7.838013013842055e-58,1.754796903180146e-34,3.0753599883793616e-53,4.0518468378336096e-58,7.891711495659667e-114,1.1348987588049008e-84,5.7505887276529074e-55,3.668415841733777e-52,4.713794888930572e-71,3.7200718544141145e-124,4.195251221273339e-91,1.1060225361815042e-85,8.99826855464993e-74,7.960257394758619e-65,5.963009937992221e-107,3.76,0.0,0.7400132245121239,0.9999999999999787,7.821583488480687e-47,2.741492717602527e-82,3.559687262252078e-16,3.559687262252078e-16,2.3029509619181626e-34,1.0671614202658834e-37,2.1435614492684573e-14,4.434816348516828e-38,2.1760413071037936e-39,9.729969019326933e-20,1.3239179117497651e-32,1.1002549203404094e-44,1.2119995665940452e-32,1.4276559731798288e-17,2.245120374414496e-37,3.238257288534882e-33,2.2945615791366723e-34,2.607352374801218e-38,3.7343653975984063e-35,7.586039265108974e-34,5.344109207543557e-66
1.7434742549823545e-20,0.7462814966354969,5.064760250026196e-24,1.1510935038010684e-25,1.3089711047092163e-32,5.668959586091653e-37,0.0,0.0,1.9596473379812299e-19,4.8394146447987716e-36,9.614645277167583e-48,1.555303425092152e-60,1.0292075713314922e-60,7.167274802543244e-67,1.5360206258315314e-47,1.8214515629008717e-52,2.2901055929824668e-66,1.0479928719716938e-64,7.472585150731408e-59,6.347426152819171e-57,7.0931696505400164e-34,2.4905062526815102e-52,3.294891578549988e-57,1.0415603003764458e-111,3.684152690672625e-83,4.6762832499703384e-54,2.983010132166043e-51,7.684675401848576e-70,4.889886525844809e-122,1.368702933205577e-89,3.603356186855938e-84,1.4651347721550386e-72,1.2976475100634332e-63,3.912561955975641e-105,3.76,0.0,0.7400132245121236,0.9999999999999569,6.334121097218607e-46,8.899308435302259e-81,7.169510964817563e-16,7.169510964817563e-16,9.30889599821412e-34,4.313637085140652e-37,4.3173139047992704e-14,1.792623674683466e-37,8.795906882510756e-39,1.9596979855821955e-19,5.351487875548848e-32,8.910149605259049e-44,4.8990960302304037e-32,2.875419776967823e-17,9.075135517247128e-37,1.308955371305278e-32,9.274984771693956e-34,1.0539335178865918e-37,1.5094902010736276e-34,3.0663983612882986e-33,8.663031318718335e-65
3.499140637621928e-20,0.7462814966354969,1.0164938502429968e-23,2.3102366125277403e-25,5.263315241394862e-32,2.2794637355163315e-36,0.0,0.0,3.932998503500674e-19,1.9459073441546782e-35,7.738702974298983e-47,1.2518485424978327e-59,8.285350356641394e-60,5.768846299914196e-66,6.176271379845583e-47,1.466605662448168e-51,3.6896073453307866e-65,1.6913622635153158e-63,6.014586631942486e-58,5.108960781383024e-56,2.852132319588662e-33,2.0045761013048763e-51,2.657448241580465e-56,1.3536669270065005e-109,1.1874006038739644e-81,3.7715918511017356e-53,2.4058720424603986e-50,1.241077140573667e-68,6.342441701541504e-120,4.4222812772231077e-88,1.1634290540357973e-82,2.364733438658931e-71,2.0956433107515765e-62,2.5352870733631974e-103,3.76,0.0,0.7400132245121228,0.9999999999999134,5.0982517151229985e-45,2.868205597694571e-79,1.4389158369948522e-15,1.4389158369948522e-15,3.743066138838905e-33,1.7344944998656565e-36,8.664818815663409e-14,7.208060953449339e-37,3.536795471754848e-38,3.933100152879527e-19,2.1518097380546175e-31,7.171663567794116e-43,1.9699049667475674e-31,5.770947384543806e-17,3.6490720775887846e-36,5.263251978069624e-32,3.72943058382588e-33,4.237820321855553e-37,6.0695937087151155e-34,1.2329852945630672e-32,1.3951544872391258e-63
7.010473402901075e-20,0.7462814966354971,2.036529530386229e-23,4.628522829992881e-25,2.110824819326957e-31,9.141669246401787e-36,0.0,0.0,7.879700834539215e-19,7.803958778391307e-35,6.20982177038463e-46,1.0045377014722706e-58,6.650706541117368e-59,4.629135846450437e-65,2.4769610638219225e-46,1.1770757214317668e-50,5.923806952730166e-64,2.717891984511238e-62,4.8263269905796706e-57,4.099619275947143e-55,1.1438326248908718e-32,1.60854607750337e-50,2.1346064786555936e-55,1.7459106268107755e-107,3.813297103193385e-80,3.029547682778158e-52,1.932513819966053e-49,1.9949952901592145e-67,8.172126982480887e-118,1.4219574353480634e-86,3.739622480253764e-81,3.8000631832253476e-70,3.36863645776626e-61,1.632656748375251e-101,3.76,0.0,0.7400132245121214,0.9999999999998265,4.0910259247080513e-44,9.211086406367993e-78,2.8828453180210418e-15,2.8828453180210418e-15,1.5011369343743452e-32,6.956098716052896e-36,1.7359828636601756e-13,2.8907548307393508e-36,1.4184131712985782e-37,7.879904487467504e-19,8.629719469988258e-31,5.754808357535493e-42,7.900199978180612e-31,1.1562002599695754e-16,1.463441111850581e-35,2.1107994479040303e-31,1.4956684669680608e-32,1.699555490301745e-36,2.4341785463995595e-33,4.944822497341227e-32,2.23953193212038e-62
