Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63)
0.0,0.6710751400533589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5266697572829779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3656220930734597e-22,0.6710751400533589,1.2902318248768713e-26,1.3957418396031163e-28,8.838553070156958e-37,1.678371507054966e-41,0.0,0.0,6.0674903785388125e-22,1.3212591753423844e-40,8.02670218493226e-54,1.0708375092245939e-67,7.085049171415663e-68,2.367973453919161e-74,4.543159485723734e-53,8.023536265387261e-60,1.3247435969975936e-75,1.5548447154448908e-73,5.438043288800354e-66,2.1135154555774673e-64,9.972839610947073e-39,3.208103857326891e-59,5.059689954564414e-65,7.366491842306196e-127,3.382705099351592e-94,3.039704870307427e-82,1.5014705474930265e-58,8.279761627871567e-79,-7.425957722476038e-137,8.487181843504973e-101,2.524440764528554e-95,3.369179633739133e-91,5.081001697377154e-72,-1.7936365436677412e-119,3.76,0.0,0.5266697572829779,0.9999999999999997,6.641988402132407e-52,6.62434433084582e-92,2.0942984704636045e-18,2.0942984704636045e-18,1.3988335715129836e-38,3.611575963335372e-42,3.707980895750698e-16,3.244700224487165e-42,1.1835695886086465e-43,6.067619401721252e-22,2.222369923934543e-36,4.1485468563814065e-50,1.3425253039873687e-36,6.778202954123992e-20,1.9268350600815862e-41,8.838510594901843e-37,1.2560863776180076e-38,1.6838327066614972e-42,1.8838477246576028e-39
6.623741860605687e-22,0.6710751400533589,3.612649110087608e-26,3.9080771508888855e-28,5.3384860543747994e-36,1.0137363903624383e-40,0.0,0.0,1.698897305990867e-21,7.980405419067997e-40,9.529300833951574e-53,1.2712983838359147e-66,8.411421861191901e-67,2.811258084492888e-73,2.7440683293772524e-52,9.974403378292041e-59,3.0967968018400707e-74,4.360517902372576e-72,6.4560449925302385e-65,2.509165548861559e-63,6.023595125012033e-38,3.8086608994184686e-58,7.644273393216282e-64,3.20208699240979e-124,1.4584589321082705e-92,6.956059464574323e-81,2.2642611429529897e-57,2.603289532131833e-77,7.111052441375939e-135,4.888182198412253e-99,1.2995944612646928e-93,1.937371421573832e-89,1.5949480055804378e-70,9.091457193863535e-118,3.76,0.0,0.5266697572829779,0.999999999999999,7.885368631026182e-51,2.8536241177408407e-90,5.864035717298093e-18,5.864035717298093e-18,8.448954771937087e-38,2.1813918818544694e-41,1.0382346508094441e-15,1.9597989355902467e-41,7.1487603152012036e-43,1.6989334324819386e-21,1.34231143405643e-35,4.925154827895892e-49,8.10885283608366e-36,1.897896827154718e-19,1.163808376289277e-40,5.338460399320712e-36,7.586761720812591e-38,1.0170349548241617e-41,1.1378440256931719e-38
1.5139981395670143e-21,0.6710751400533589,8.257483682238558e-26,8.932747773461061e-28,2.570251232801637e-35,4.880704344034424e-40,0.0,0.0,3.883193842264836e-21,3.8422216818956504e-39,9.355924066757028e-52,1.2481684874879787e-65,8.258491507928101e-66,2.760109857888362e-72,1.3211507784486368e-51,9.989616667049604e-58,6.247367129102497e-73,9.466423599697666e-71,6.33858325762457e-64,2.4635136150210644e-62,2.900101758863409e-37,3.739365856100175e-57,8.222696072318643e-63,7.306539066608816e-122,5.896178951482914e-91,1.3882662635510173e-79,2.434149808894236e-56,5.807795740673942e-76,1.4801147078417543e-132,2.192066068042364e-97,5.6630349623603366e-92,8.684711336967821e-88,3.556969927586981e-69,9.542527701273839e-116,3.76,0.0,0.5266697572829779,0.9999999999999977,7.741901681546237e-50,1.1531686608051606e-88,1.340351021096707e-17,1.340351021096707e-17,4.067808025957753e-37,1.0502462901377832e-40,2.3731077732751876e-15,9.435588252808662e-41,3.441820363681288e-42,3.883276417101516e-21,6.462651738801138e-35,4.835546215797812e-48,3.9040635839951955e-35,4.338049890639355e-19,5.603236354717236e-40,2.570238880997452e-35,3.6526991861129004e-37,4.896585510980719e-41,5.478229183304005e-38
3.2172460465799056e-21,0.6710751400533589,1.7547152833458357e-25,1.898208901860797e-27,1.1224962399099264e-34,2.1315318155290092e-39,0.0,0.0,8.25178691481276e-21,1.6779991526848236e-38,8.275208884577733e-51,1.1039912394492649e-64,7.304733091703907e-65,2.441285912052893e-71,5.769812546870949e-51,8.913816355517559e-57,1.1221230504701044e-71,1.7535402771689044e-69,5.606405109433439e-63,2.178949894082079e-61,1.2665506305902786e-36,3.3074267527496266e-56,7.557833513397613e-62,1.2205433726023598e-119,2.1250284030455797e-89,2.4818194352954024e-78,2.236808967469476e-55,1.0877358665688137e-74,2.3700695052754274e-130,8.24710041435143e-96,2.1065007515022666e-90,3.266927003306169e-86,6.660866159943298e-68,7.617707688142142e-114,3.76,0.0,0.5266697572829779,0.999999999999995,6.84762436308325e-49,4.155341840734325e-87,2.848245919830502e-17,2.848245919830502e-17,1.7765186358194193e-36,4.586701473434446e-40,5.042854018194654e-15,4.120769285098686e-40,1.5031333775405125e-41,8.251962386340473e-21,2.8224098033963386e-34,4.276985867054225e-47,1.7050071360638827e-34,9.21835601760863e-19,2.447080526303597e-39,1.1224908455525297e-34,1.5952296995745952e-36,2.1384675374694066e-40,2.392486610314842e-37
6.623741860605688e-21,0.6710751400533589,3.612649116356956e-25,3.9080771508912004e-27,4.68620083779715e-34,8.898725744528249e-39,0.0,0.0,1.6988973059908568e-20,7.00531614766528e-38,6.955811686227282e-50,9.279717413008218e-64,6.140389165489388e-64,2.0520479075917988e-70,2.4087831593323495e-50,7.52357063963752e-56,1.9009740743976277e-70,3.01283180504572e-68,4.712521306124312e-62,1.8315386775560224e-60,5.2875995617241386e-36,2.7800914730975764e-55,6.465793813082163e-61,1.7749089533592353e-117,7.213283148229384e-88,4.195764610553482e-77,1.913410510628661e-54,1.8787932102795418e-73,3.381866923354423e-128,2.855709037755846e-94,7.25458835636563e-89,1.1311542147657818e-84,1.1504209719286326e-66,5.425925054192301e-112,3.76,0.0,0.5266697572829779,0.9999999999999897,5.755840877491977e-48,1.4103841778357961e-85,5.864035717298093e-17,5.864035717298093e-17,7.416615596143207e-36,1.914857575759086e-39,1.0382346507985507e-14,1.7203400590230825e-39,6.275285958870582e-41,1.6989334324817606e-20,1.1783005336696164e-33,3.5950643289890636e-46,7.118069161740347e-34,1.8978968271547174e-18,1.0216079488552411e-38,4.686178317416917e-34,6.659769974128205e-36,8.927681010802653e-40,9.988160636131788e-37
1.3436733488657252e-20,0.6710751400533589,7.328516793447835e-25,7.927813648956095e-27,1.914465949208218e-33,3.6354198310986573e-38,0.0,0.0,3.446334535009999e-20,2.8619002241585823e-37,5.70279467281003e-49,7.608082569663345e-63,5.034788104820658e-63,1.6823928541569193e-69,9.840665172470793e-50,6.1806023290178114e-55,3.1290277872549e-69,4.992719748586196e-67,3.863609685955489e-61,1.501606064766324e-59,2.1601569510895795e-35,2.2792869556972626e-54,5.346007442617848e-60,2.418328847512562e-115,2.3769011470188498e-86,6.901043820267027e-76,1.5819561944667823e-53,3.1216430238816755e-72,4.566795649054471e-126,9.501123859601751e-93,2.4071209305705676e-87,3.763290860900637e-83,1.91137730056017e-65,3.6605457172996855e-110,3.76,0.0,0.5266697572829778,0.999999999999979,4.718986104626625e-47,4.647264504699643e-84,1.189561531223327e-16,1.189561531223327e-16,3.029929469224207e-35,7.822817999611701e-39,2.106133148737489e-14,7.028150474248072e-39,2.563659071766953e-40,3.446407820176874e-20,4.8137421500351304e-33,2.947450941542088e-45,2.907963509448224e-33,3.850019277942425e-18,4.173601813538981e-38,1.914456748898084e-33,2.7207333373736144e-35,3.64724899600753e-39,4.0804895255149645e-36
2.706271674476038e-20,0.6710751400533591,1.4760252191904156e-24,1.5967286645102236e-26,7.738577463469292e-33,1.4694948260948202e-37,0.0,0.0,6.941208993048212e-20,1.1568258284526442e-36,4.61827098097798e-48,6.161238030130422e-62,4.078153990325452e-62,1.3624453522776173e-68,3.977754201417761e-49,5.010128461771751e-54,5.077622449087527e-68,8.128693894778986e-66,3.128851295584909e-60,1.216039523013877e-58,8.731699775685486e-35,1.8458256712283353e-53,4.347270266972182e-59,3.192633316069959e-113,7.717953831793229e-85,1.1199541978973267e-74,1.2863854515795482e-52,5.08906600813517e-71,6.0028712793512455e-124,3.099746689438394e-91,7.842599195523861e-86,1.2277543239184702e-81,3.115974965984968e-64,2.404974446432078e-108,3.76,0.0,0.5266697572829777,0.9999999999999577,3.821557295503576e-46,1.508966192262331e-82,2.395877450210363e-16,2.395877450210363e-16,1.2247459358580724e-34,3.162108111537106e-38,4.241930144538436e-14,2.8408907921492e-38,1.036271986214035e-39,6.941356595565848e-20,1.945791542157712e-32,2.38692219028498e-44,1.1754453448550589e-32,7.754264179517839e-18,1.6870365831841989e-37,7.73854027434483e-33,1.099763915748968e-34,1.4742763587099607e-38,1.6493991076265488e-35
5.431468325696664e-20,0.6710751400533591,2.962372316591503e-24,3.2046232637459933e-26,3.111647962560637e-32,5.908774105227033e-37,0.0,0.0,1.3930957909124343e-19,4.651545777159638e-36,3.7171862659858436e-47,4.9591253536295665e-61,3.283824717918835e-61,1.0966145495814783e-67,1.599437469596163e-48,4.0345511144236405e-53,8.181619396463899e-67,1.3119222518230272e-64,2.518371728291831e-59,9.787744011688127e-58,3.5109780763923596e-34,1.4856810834082603e-52,3.506225322442777e-58,4.149885057502112e-111,2.4878067892785424e-83,1.8062809202505535e-73,1.0375025251262485e-51,8.218855252243003e-70,7.786041836850601e-122,1.0015286292835149e-89,2.5322236068399723e-84,3.9668415939836674e-80,5.032265520600454e-63,1.559595090295127e-106,3.76,0.0,0.5266697572829775,0.999999999999915,3.0759217793919155e-45,4.863955021294129e-81,4.808509288184434e-16,4.808509288184434e-16,4.92464954174906e-34,1.2714697641885667e-37,8.513524135832613e-14,1.1423096928315335e-37,4.166804079860626e-39,1.393125414633878e-19,7.823942211981513e-32,1.9212026362756168e-43,4.7264140336958464e-32,1.556275398266865e-17,6.783499902418702e-37,3.1116330089773377e-32,4.422102335845323e-34,5.928000397579463e-38,6.632161268550132e-35
1.0881861628137914e-19,0.6710751400533591,5.935066582232973e-24,6.420412462243695e-26,1.2479100048432963e-31,2.3696827248453893e-36,0.0,0.0,2.7910455741275448e-19,1.8654779021106682e-35,2.982807878239397e-46,3.979425857408658e-60,2.637263761943049e-60,8.799641136697562e-67,6.414459619010363e-48,3.2382581757793545e-52,1.3136722282507985e-65,2.1081821643263442e-63,2.0208347131617978e-58,7.854048158788282e-57,1.4080592409658497e-33,1.19216550450797e-51,2.816388623466661e-57,5.35273719215752e-109,7.990010115056976e-82,2.9067657415496523e-72,8.333728876517395e-51,1.3211569955579632e-68,1.0032180879812565e-119,3.2203539012591167e-88,8.139440251071433e-83,1.2755080272177449e-78,8.089185778118161e-62,1.0049585585685498e-104,3.76,0.0,0.526669757282977,0.9999999999998295,2.468233513174432e-44,1.562133061191124e-79,9.63377296413257e-16,9.63377296413257e-16,1.9750047265329647e-33,5.099162433116982e-37,1.7056712117190088e-13,4.581172778751512e-37,1.6710748010453184e-38,2.791104924786459e-19,3.1377507613618872e-31,1.541644122490368e-42,1.8955034215448455e-31,3.117973358897021e-17,2.7204868603180855e-36,1.2479040077876444e-31,1.7734608200293392e-33,2.3773932959171343e-37,2.6597932993448777e-34
