Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674)
0.0,0.45450778342091464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.658680183040346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1791017401861577e-20,0.45450778342091464,2.81208057896623e-30,2.5078236234245806e-35,5.342400099086664e-38,3.8010623928037446e-44,0.0,0.0,3.945657252722381e-24,1.149745087095756e-42,8.897656790037684e-56,1.4013088670046142e-57,4.165198523356975e-68,4.313491008395857e-77,8.041126344946375e-55,2.4171904818988897e-44,1.1564430241540137e-41,6.98585235055325e-58,4.019784948960447e-76,4.918710364884434e-75,1.1178819142591006e-44,7.875259434076038e-67,1.3912465780607722e-32,3.9227839238309616e-91,1.8018526491639428e-60,1.5773236099901287e-68,4.852773964660941e-67,3.5020884128134545e-85,4.63710133000992e-95,2.669141961425052e-97,5.737501250787524e-76,2.3475613305158466e-91,4.3755138881468657e-75,2.6373124629970614e-122,3.76,0.0,0.658680183040346,0.9999999999999996,1.2056155630900687e-51,2.181187604951143e-57,4.972365484998596e-21,4.972365484998596e-21,2.8453631368594974e-44,4.924836429757255e-50,4.2720018719405507e-16,2.0144508895353226e-47,8.830922562459279e-50,3.945660064802902e-24,1.239827354592251e-38,1.2187894910752148e-49,6.44553310157759e-39,1.4176799028343865e-23,2.596131684003952e-46,5.342399752204963e-38,1.4498471156529899e-43,4.8050275298456625e-48,1.0568884097248086e-44,1.4671436538545653e-40,3.784653710663079e-75,1.4323158027377186e-63,1.3912465780632502e-32,5.163484242421135e-88,1.156443024154014e-41,3.1964378322117574e-38,1.380026148239918e-61,3.91962322400778e-78,2.5918292743263168e-76,3.964567063584311e-59,1.535538245993703e-73,2.9793536531761265e-102,8.91219933172198e-107,6.998822584479845e-111,1.1837250461882672e-93,6.932447565786997e-75,9.579888155604124e-107
3.301484872521242e-20,0.45450778342091464,7.873825622014633e-30,7.021906146713488e-35,3.2268096598482616e-37,2.2958416854747117e-43,0.0,0.0,1.1047840307622683e-23,6.944460326058374e-42,1.0563298141132464e-54,1.6636338869051115e-56,4.944923687232543e-67,5.12097652515285e-76,4.8568403123382416e-54,1.4599830510642787e-43,6.984915865890157e-41,8.293603910564801e-57,4.772288736778397e-75,5.8394929451889015e-74,6.75200676212497e-44,9.349508000132447e-66,3.895490418562332e-32,1.8739636993278315e-89,2.1391594650873145e-59,2.3836514397735983e-67,7.318734649237511e-66,1.10111263044895e-83,2.215198950562532e-93,1.2750811446763679e-95,1.2834560797957798e-74,6.623422981766496e-90,1.3757311688409223e-73,3.718964505161519e-120,3.76,0.0,0.658680183040346,0.9999999999999988,1.431306796500496e-50,2.5895059245979685e-56,1.3922623357996073e-20,1.3922623357996073e-20,1.7185993346599616e-43,2.9746012035727996e-49,1.1961605240981707e-15,1.2167283372790214e-46,5.333877228174124e-49,1.1047848181447957e-23,7.488557221736594e-38,7.412786405366048e-49,3.893101993352817e-38,3.9695037279362655e-23,1.5680635371381535e-45,3.2268094503317853e-37,8.757076578543463e-43,2.9022366280932017e-47,6.383605994737453e-44,8.86154766928084e-40,4.5249924754514675e-74,1.7004453210101964e-62,3.8954904185772976e-32,1.164265950190346e-86,6.98491586589016e-41,1.9306484506555958e-37,1.638367043190317e-60,1.2323922555996151e-76,8.149125930925907e-75,4.7071193398869154e-58,3.4352062688822423e-72,1.2390095868580858e-100,3.706273808818755e-105,2.9105669512077188e-109,2.6658775620496307e-92,8.282722366150711e-74,3.983942373933523e-105
7.546251137191409e-20,0.45450778342091464,1.7997315711748193e-29,1.6050071197789937e-34,1.5535699488142766e-36,1.1053489441592042e-42,0.0,0.0,2.525220641742334e-23,3.3434587132744703e-41,1.0371108754467067e-53,1.6333656153719993e-55,4.854955399764171e-66,5.027805119340599e-75,2.3383595410963494e-53,7.029189921322204e-43,3.362936314239739e-40,8.142709499767603e-56,4.685461475986981e-74,5.733248801303395e-73,3.2508006066654658e-43,9.179402396350884e-65,8.903978099534123e-32,9.757681277280315e-88,2.1002394478651204e-58,2.564223447465248e-66,7.868073718924292e-65,2.4565217068093648e-82,1.1534495009724195e-91,6.639321085147063e-94,2.535892932827636e-73,1.4420624085090274e-88,3.069180360463363e-72,4.025843431225467e-118,3.76,0.0,0.658680183040346,0.9999999999999972,1.405265500337679e-49,2.5423922723309606e-55,3.182313910399102e-20,3.182313910399102e-20,8.27431600193979e-43,1.4321424337725333e-48,2.7340811977256665e-15,5.858023186764005e-46,2.5680322818324535e-48,2.5252224414737384e-23,3.605417947153359e-37,3.621186658954334e-48,1.8743610259386912e-37,9.073151378139952e-23,7.549550937079982e-45,1.5535698479411834e-36,4.216155412317996e-42,1.397302005776852e-46,3.0734314954791538e-43,4.2664537454079705e-39,4.510132294620814e-73,1.669507299671012e-61,8.903978099606181e-32,2.3355020159158367e-85,3.3629363142397414e-40,9.295241216067183e-37,1.6085584783880937e-59,2.7493993284393943e-75,1.8180251667396725e-73,4.6216465265521e-57,6.787647714107596e-71,4.975243596943278e-99,1.4882544276784095e-103,1.1687383004201311e-107,5.344865738932121e-91,8.24327479240794e-73,1.599752253472683e-103
1.6035783666531744e-19,0.45450778342091464,3.8244295905762323e-29,3.410640131793739e-34,6.784848125838764e-36,4.8273492422901336e-42,0.0,0.0,5.366093863702488e-23,1.4601762606116216e-40,9.173128244255442e-53,1.4446933895090606e-54,4.294153071612146e-65,4.447036689920004e-74,1.0212230457936647e-52,3.069831911970498e-42,1.46868264067546e-39,7.202134339248115e-55,4.144237782931955e-73,5.070993637768856e-72,1.4197100311090584e-42,8.119077466137922e-64,1.89209534613524e-31,3.894033208832213e-86,1.8576380071812776e-57,2.3569631264779902e-65,7.23027144630385e-64,4.600793289807829e-81,4.603114166940684e-90,2.6495787566031236e-92,4.5124859817212523e-72,2.6782447278866427e-87,5.748234994953304e-71,3.279430140693058e-116,3.76,0.0,0.658680183040346,0.9999999999999941,1.2429414209231157e-48,2.2487171732002354e-54,6.762417059598092e-20,6.762417059598092e-20,3.613611183762343e-42,6.254542265782657e-48,5.809922544257715e-15,2.5583526297049885e-45,1.1215271661221685e-47,5.366097688131351e-23,1.5745807403312206e-36,1.627374366536693e-47,8.185827039002795e-37,1.9280446678547048e-22,3.297087238681392e-44,6.784847685300092e-36,1.8413058368783673e-41,6.102384963905042e-46,1.3422482803498966e-42,1.863272440394155e-38,4.1091804414360633e-72,1.4766602999903248e-60,1.8920953461667095e-31,4.27806484632489e-84,1.4686826406754625e-39,4.05947604690417e-36,1.4227517577886806e-58,5.149320660248013e-74,3.4049599319246113e-72,4.08786107032861e-56,1.2078466631233306e-69,1.8270455623953872e-97,5.465277417683423e-102,4.29192678465228e-106,9.788122254167676e-90,7.488985352878318e-72,5.874727937814609e-102
3.301484872521242e-19,0.45450778342091464,7.873825635197862e-29,7.021906163021049e-34,2.832540532534578e-35,2.0153232837509851e-41,0.0,0.0,1.1047840307622894e-22,6.095948451781805e-40,7.71056701173473e-52,1.214351843171639e-53,3.609494400742219e-64,3.738002291845925e-73,4.263405187959841e-52,1.281594393465808e-41,6.13146091406334e-39,6.05382787320984e-54,3.483481849138232e-72,4.262475702820507e-71,5.927009909401755e-42,6.824573821388304e-63,3.8954904184487723e-31,1.384000207669413e-84,1.5614566761216676e-56,2.0164315798030195e-64,6.184945970740535e-63,7.946726276744379e-80,1.6360188706498307e-88,9.417017888036883e-91,7.610967166969462e-71,4.6200785090345876e-86,9.92864634696068e-70,2.3560457293262036e-114,3.76,0.0,0.658680183040346,0.999999999999988,1.0447671571244416e-47,1.8901822794486254e-53,1.3922623357996073e-19,1.3922623357996073e-19,1.5086115351186076e-41,2.6111482750491447e-47,1.1961605234430044e-14,1.0680618616272431e-44,4.682155148816905e-47,1.1047848181445482e-22,6.573564634039668e-36,7.177627297520852e-47,3.4174216504557674e-36,3.969503727936013e-22,1.3764690188556305e-43,2.8325403486188806e-35,7.687089407183778e-41,2.5476255972213187e-45,5.6036223483554375e-42,7.778795652726614e-38,3.6559194824883224e-71,1.2412219575993834e-59,3.895490418580152e-31,7.625312088686545e-83,6.131460914063361e-39,1.6947513386343865e-35,1.1959085796449882e-57,8.894170894966774e-73,5.881221526475622e-71,3.436120128482928e-55,2.0372267540116058e-68,6.518473296966824e-96,1.949883770848378e-100,1.5312595763480725e-104,1.744464887939543e-88,6.627869137650324e-71,2.095966185943991e-100
6.697297884257376e-19,0.45450778342091464,1.5972617747716334e-28,1.4244438254266944e-33,1.1571852310615753e-34,8.233253211440476e-41,0.0,0.0,2.241133319546407e-22,2.4903938484529813e-39,6.32158868905426e-51,9.955990090514257e-53,2.9592815893430427e-63,3.0646401192883453e-72,1.7417401307100813e-51,5.235731271099145e-41,2.5049018480375087e-38,4.963293847206787e-53,2.855969347963837e-71,3.494635109087269e-70,2.4213769415617835e-41,5.5951979421299396e-62,7.902280562875347e-31,4.6616935796615455e-83,1.280176522322075e-55,1.6672246282797143e-63,5.113557888209256e-62,1.3203604579052525e-78,5.510562131106024e-87,3.171910978089783e-89,1.2501036425984422e-69,7.713335165256707e-85,1.6496594300516001e-68,1.5957246110600023e-112,3.76,0.0,0.658680183040346,0.9999999999999757,8.565632375831757e-47,1.5496856326948637e-52,2.824303595479203e-19,2.824303595479203e-19,6.163170368588086e-41,1.0667392700242385e-46,2.4264970603207635e-14,4.363381204731962e-44,1.9128131559659784e-46,2.241134916806938e-22,2.6855156431338466e-35,3.245826041325691e-46,1.3961282519335443e-35,8.052421848098187e-22,5.623325072792273e-43,1.1571851559264416e-34,3.1404268463819098e-40,1.0407881838327061e-44,2.2892625709956674e-41,3.1778918399864274e-37,3.328451419458136e-70,1.0176287523117491e-58,7.902280563412074e-31,1.3868653692595392e-81,2.504901848037525e-38,6.923612202047652e-35,9.804781073448082e-57,1.4777797965561695e-71,9.771737520072607e-70,2.8171494629005306e-54,3.346164497085405e-67,2.369840110206712e-94,7.088949451415118e-99,5.567009632286059e-103,3.1726381961906365e-87,5.979896621468438e-70,7.620043084935895e-99
1.3488923907729644e-18,0.45450778342091464,3.2170202065854133e-28,2.868950255192385e-33,4.677527721946968e-34,3.328012597390089e-40,0.0,0.0,4.51383189711479e-22,1.0066570115165888e-38,5.119386418646223e-50,8.06261890130677e-52,2.3965029607056613e-62,2.481825024512699e-71,7.04039208815465e-51,2.116366291788036e-40,1.0125213769111333e-37,4.019404039348484e-52,2.3128387770237936e-70,2.830046115840484e-69,9.787592742657275e-41,4.5311363587954355e-61,1.5915860850926523e-30,1.5300144649155095e-81,1.0367201385921011e-54,1.35575938587664e-62,4.1581515545434184e-61,2.1525207936668054e-77,1.808621668325313e-85,1.0410529431450633e-87,2.0264718752534844e-68,1.2741189472315029e-83,2.6893612153401085e-67,1.0503058961373716e-110,3.76,0.0,0.658680183040346,0.999999999999951,6.936671176959096e-46,1.2549756036690508e-51,5.688386114838395e-19,5.688386114838395e-19,2.491252003442541e-40,4.311930686344328e-46,4.887170129449454e-14,1.7637484474003315e-43,7.731896630864598e-46,4.513835114129971e-22,1.0855283606526514e-34,1.5654932473940753e-45,5.643373616015381e-35,1.6218258088420764e-21,2.273037903643549e-42,4.677527418242217e-34,1.269410742409909e-39,4.207032249930227e-44,9.253565333539054e-41,1.2845546918378868e-36,3.2317584276788487e-69,8.24102147428751e-58,1.591586085309607e-30,2.6837694499089856e-80,1.0125213769111463e-37,2.798634751087475e-34,7.940165919374767e-56,2.409154040748121e-70,1.593039839320909e-68,2.28140489507455e-53,5.424287586351189e-66,9.156615045283953e-93,2.7390363138277063e-97,2.1509874838235205e-101,6.139449631965182e-86,5.726976397092949e-69,2.9442408733308316e-97
2.707217595467418e-18,0.45450778342091464,6.456537107453314e-28,5.7579631607898105e-33,1.8808133244772352e-33,1.338179237071413e-39,0.0,0.0,9.059229052252151e-22,4.0477235689246916e-38,4.1205275662716125e-49,6.489497123013242e-51,1.9289140820302054e-61,1.9975886932263615e-70,2.8309106935052663e-50,8.509815777055118e-40,4.0713039242481525e-37,3.235166050790262e-51,1.8615750723976793e-69,2.2778673224243984e-68,3.935547994425735e-40,3.6470527414414043e-60,3.194302142382103e-30,4.95810278969103e-80,8.344425601493216e-54,1.0934690713150253e-61,3.3536565892892696e-60,3.476326849237907e-76,5.860946072519455e-84,3.373593972286952e-86,3.26357048237911e-67,2.115190681900917e-82,4.343325539801775e-66,6.816523768709642e-109,3.76,0.0,0.658680183040346,0.9999999999999019,5.5832364399609373e-45,1.0101135462420175e-50,1.1416551153556778e-18,1.1416551153556778e-18,1.0017214735336904e-39,1.7338083643957088e-45,9.80851624919952e-14,7.091954934396958e-43,3.108961646797144e-45,9.05923550876905e-22,4.364861794888469e-34,8.333249584059736e-45,2.269175710539004e-34,3.2549930569058826e-21,9.139785438618795e-42,1.8808132023616837e-33,5.1042447644936444e-39,1.6916291670420566e-43,3.7208179219415e-40,5.165137919082991e-36,3.4645142388724623e-68,6.633091035164921e-57,3.1943021432544666e-30,5.725048619417162e-79,4.071303924248257e-37,1.1253187245572536e-33,6.390936310704777e-55,3.8907902109821613e-69,2.5727635880685827e-67,1.8362748231369884e-52,8.735656524923618e-65,3.8970585589109456e-91,1.1657348109438613e-95,9.154610238390834e-100,1.309696068946114e-84,6.033101479696094e-68,1.2530699432251535e-95
5.423868004856326e-18,0.45450778342091464,1.2935571058150489e-27,1.153598915624885e-32,7.54290264544653e-33,5.366697326468517e-39,0.0,0.0,1.8150023362529254e-21,1.6233181900004575e-37,3.306463870158995e-48,5.207412745760929e-50,1.547832085237513e-60,1.6029391219324528e-69,1.1353218033723134e-49,3.412816736567278e-39,1.6327749671392528e-36,2.596017011594995e-50,1.4937987031623996e-68,1.827845071089517e-67,1.5783307674509392e-39,2.926530141533441e-59,6.399734255677856e-30,1.5965880877526126e-78,6.695876031577553e-53,8.783338409080615e-61,2.6938220881068453e-59,5.588093937320065e-75,1.8873180219071606e-82,1.0863510129099926e-84,5.238753395831007e-66,3.587898711201634e-81,6.981768948190396e-65,4.3932530971071815e-107,3.76,0.0,0.658680183040346,0.9999999999998034,4.480195623104722e-44,8.105525061287912e-50,2.2872881230993544e-18,2.2872881230993544e-18,4.017351138737363e-39,6.953347005784733e-45,1.965120841467041e-13,2.8441911240300365e-42,1.2468326862253906e-44,1.8150036298019256e-21,1.75050480294622e-33,4.977044746859615e-44,9.100409512888242e-34,6.521327553030659e-21,3.665462747706476e-41,7.542902155730952e-33,2.047030443469634e-38,6.784189579890097e-43,1.4922144043349644e-39,2.071451321968487e-35,4.1655663571804594e-67,5.322637818227508e-56,6.399734259176428e-30,1.3693869102944013e-77,1.6327749671393363e-36,4.513031396477655e-33,5.128323902180559e-54,6.254331629249463e-68,4.1356423027460086e-66,1.4734955748593682e-51,1.402267024757004e-63,1.859458702908973e-89,5.562235481480742e-94,4.368068742990195e-98,3.1327659170436253e-83,7.125777554867903e-67,5.978949959485827e-94
