Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175),S(11877),S(5944),S(1828)
0.0,0.8867529959525442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9788924064912605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.881004785557274e-23,0.8867529959525442,3.354297921214155e-25,4.555245495220222e-26,4.6249622475438685e-36,1.425285027073881e-23,0.0,0.0,1.154545459321063e-20,8.187983305342775e-39,1.0347113167323037e-52,3.8583407513963927e-54,1.1204383276276468e-53,2.2096777167021608e-65,1.175338251141651e-44,1.2335345349477617e-38,5.26220954893555e-36,2.2175593718099643e-53,6.200783859368401e-62,2.8862490570472416e-59,4.3818370631849276e-36,9.497964703675646e-56,1.5000055276607047e-24,2.2927287763690475e-70,2.2345195016528363e-54,1.1723233861944917e-55,4.0797329784884505e-38,6.273595398796746e-38,2.2150273694068068e-76,1.282135377261999e-58,3.9422653111637004e-70,1.3292510454344922e-60,8.230117734449077e-54,1.3040754458867218e-69,3.76,0.0,0.9788924064912604,0.9999999999999993,3.5417618595419233e-51,6.097577891473854e-52,4.16206736697138e-17,4.16206736697138e-17,5.182107036252091e-36,6.506347993434969e-39,5.399353611298885e-16,7.49016344658374e-40,6.181855577335973e-41,1.1545790023002468e-20,5.33472584608365e-35,5.493635928503982e-38,9.615071764355268e-35,2.290104495983119e-18,2.6903122468488186e-39,4.6183297039614655e-36,1.1721928636140102e-21,5.454794633841202e-40,3.618176216548039e-36,3.835293665671052e-36,3.800746506695167e-43,4.972069268948143e-44,1.500005527660745e-24,1.0969430703287943e-58,5.2622097402352394e-36,2.1736826439348017e-38,4.8226953276427715e-52,2.5383090115107993e-54,2.93091261213203e-67,2.719913391462233e-54,1.7957723959870764e-71,1.242141787014025e-75,1.0738193604447395e-79,2.8675244100707477e-74,3.11691361971445e-63,8.503282581777735e-60,5.47519194308758e-80,9.226071629408008e-53,2.4769789329154082e-59,2.965006445505959e-53,4.776951604021581e-58,4.218519901191163e-71,1.4252850270737664e-23,2.574892936023957e-40,1.1576575342336586e-57,7.041325730656472e-53,3.731414142803573e-40,9.731552360574351e-46,8.784690918396486e-61,1.6025520938841293e-35,4.091231579869344e-59,2.208681988034789e-52,4.0168728230227704e-70,6.756671081541951e-63,1.1721928636140574e-21,1.8819277342432777e-76,1.3209162965698493e-57,8.336425894915267e-56,1.1532975253070749e-59,6.369630807395464e-90,8.146146454877432e-74,1.1914175271328283e-55,5.044626982681487e-56,7.501784874229707e-55,8.089198251507244e-67,6.04966902676016e-67,7.942724835406574e-61,6.562737385968255e-53,2.033141674586589e-40,9.937999251040554e-74,1.5764494550468352e-75,5.570312195634232e-72,5.8078626911795785e-39,1.1545195891523245e-57,7.0596312513437e-75,6.706896574420184e-56,2.0477315190003074e-104,1.2046934532697042e-57,2.404059936827101e-77,1.6356660094798237e-75,4.75669404283836e-77,6.554384896506863e-76
2.7666813399560367e-22,0.8867529959525442,9.39203418445718e-25,1.2754687386616906e-25,2.793477197516508e-35,3.990798075806868e-23,0.0,0.0,3.232727286098974e-20,4.945541916427035e-38,1.2284093553834311e-51,4.580622140076434e-53,1.3301843825595518e-52,2.6233293852696648e-64,7.099043036897935e-44,7.450548591084356e-38,3.178374567557044e-35,2.632686486214689e-52,7.36157059787168e-61,3.4265548805340805e-58,2.646629586163697e-35,1.1275983696203637e-54,4.2000154774499355e-24,5.128742563586397e-69,2.652821552362189e-53,1.3985472878612255e-54,2.4641587190070467e-37,3.789251620873058e-37,4.954927624361943e-75,1.5221511198853734e-57,9.512316939506048e-69,2.008764179861303e-59,9.77079577685379e-53,2.9172047327185922e-68,3.76,0.0,0.9788924064912604,0.9999999999999984,4.204779679876368e-50,7.239044472757717e-51,1.1653788627519864e-16,1.1653788627519864e-16,3.129992649895925e-35,3.929834188034579e-38,1.5118190111632647e-15,4.524058721737157e-39,3.733840768711972e-40,3.2328212064406496e-20,3.222174411034317e-34,3.3181561009847547e-37,5.8075033456705155e-34,6.4122925887527336e-18,1.624948597097188e-38,2.789471141192723e-35,3.2821400181190366e-21,3.294695958841033e-39,2.1853784347947714e-35,2.3165173740652585e-35,2.295650890043702e-42,3.003129838445163e-43,4.200015477450177e-24,1.302290813094259e-57,3.1783746831020565e-35,1.312904316936509e-37,5.725503892977457e-51,3.0134804584656163e-53,4.889066955941611e-66,3.8422775704334505e-53,4.7458038101406084e-70,2.7786214918786378e-74,2.4020909565400843e-78,6.414537421390787e-73,3.7003998493240517e-62,1.0095097081560916e-58,1.2247785369005512e-78,1.0953192238431139e-51,2.9406693891574614e-58,3.520055652104445e-52,5.671196944294001e-57,9.4366602781685e-70,3.990798075806175e-23,1.5552353333584527e-39,1.3743710246424287e-56,8.359461907434887e-52,2.253774142253337e-39,5.877857625790504e-45,1.1806443997506912e-59,9.67941464706014e-35,4.857110131050398e-58,2.6221472561995967e-51,8.9855838302038e-69,8.022314317435065e-62,3.282140018119324e-21,4.2097970644797505e-75,1.5681920937930167e-56,9.89700484996466e-55,1.3691948220541359e-58,3.4100443706413916e-88,1.8222603822109202e-72,1.4144508882120656e-54,5.988981153850919e-55,8.906119002684119e-54,1.8095212920683337e-65,1.353286762609828e-65,9.42960292459574e-60,7.791281824618969e-52,1.228017571450645e-39,3.1246659725151423e-72,3.526456472807732e-74,1.2460565569142947e-70,3.507949065472426e-38,1.3706456562418845e-56,1.5792112724007653e-73,7.96243610415201e-55,1.5801213784324907e-102,1.4302120677216353e-56,7.558749090974196e-76,3.658923163951164e-74,1.495580714173033e-75,1.4752370228174127e-74
6.323843062756655e-22,0.8867529959525443,2.1467506731173398e-24,2.9153571169411416e-25,1.344939021585774e-34,9.12182417327284e-23,0.0,0.0,7.389090939654788e-20,2.381065545193675e-37,1.2060596246087244e-50,4.497281979885411e-52,1.3059829146828151e-51,2.575600346590692e-63,3.417883634323461e-43,3.587118427627904e-37,1.530250536830415e-34,2.58478720378758e-51,7.227633666568255e-60,3.3642119009169625e-57,1.2742382179741772e-34,1.107082765860404e-53,9.600035377028242e-24,1.013353103860671e-67,2.604555931126365e-52,1.376066387504128e-53,1.186386350144475e-36,1.8243615419698288e-36,9.79010200959172e-74,1.494456995736362e-56,1.9408018578215868e-67,2.1609368395446566e-58,9.593025234846421e-52,5.763940436615742e-67,3.76,0.0,0.9788924064912603,0.9999999999999964,4.128277623806131e-49,7.107336790301764e-50,2.6637231148616825e-16,2.6637231148616825e-16,1.5069567261416022e-34,1.892045996490673e-37,3.4555863112283224e-15,2.1781395302674014e-38,1.7976836018908387e-39,7.389305614721284e-20,1.5513382760408124e-33,1.5975493282614827e-36,2.796062869074411e-33,1.465666877429196e-17,7.82342801384374e-38,1.3430102779119909e-34,7.502034327128321e-21,1.586254279522413e-38,1.0521656437718027e-34,1.115303397977056e-34,1.1052570841466858e-41,1.4458777434108448e-42,9.600035377029404e-24,1.278596842774976e-56,1.5302505924603655e-34,6.321069128560732e-37,5.621333673900282e-50,2.958652983816971e-52,7.628866702751032e-65,4.041069925854488e-52,1.007952980520171e-68,5.4900878301830423e-73,4.746126943175446e-77,1.267404502013298e-71,3.6330745151362354e-61,9.911426178790132e-58,2.41995599607841e-77,1.0753909091231628e-50,2.8871666442070946e-57,3.456011512881032e-51,5.568014789646252e-56,1.864525049639861e-68,9.121824173269502e-23,7.4877886579574e-39,1.3493656219034233e-55,8.2073692716517e-51,1.0850952327272469e-38,2.829935426460414e-44,1.2195143428133293e-58,4.6602214890150456e-34,4.768739527726983e-57,2.5744397252599416e-50,1.7753999448115122e-67,7.878038481873514e-61,7.502034327129705e-21,8.317849588282184e-74,1.5396604140484987e-55,9.716938063035572e-54,1.344283595526546e-57,1.620049306420189e-86,3.600479443074343e-71,1.3887162696259356e-53,5.880017211049056e-54,8.744080449397826e-53,3.575309142706137e-64,2.673866594591724e-64,9.258040068153166e-59,7.649526697076706e-51,5.912375989702876e-39,6.970957897046106e-71,6.967685588144813e-73,2.46199777797282e-69,1.6889264705949608e-37,1.3457080331166813e-55,3.120255354404998e-72,7.817570704364781e-54,1.7220935730358777e-100,1.4041906891306782e-55,1.6863153415756364e-74,7.229419184504776e-73,3.336558301539708e-74,2.9228191312342286e-73
1.3438166508357893e-21,0.8867529959525443,4.561845190552653e-24,6.195133873500499e-25,5.873702054380889e-34,1.938387636820479e-22,0.0,0.0,1.570181824676638e-19,1.0398738797785282e-36,1.0667460937254706e-49,3.9777949811809545e-51,1.1551270982510608e-50,2.2780893388168237e-62,1.492679578953554e-42,1.566588859383464e-36,6.683006127147702e-34,2.2862150099735593e-50,6.392760127837691e-59,2.975607327900407e-56,5.564933070244859e-34,9.792021690900826e-53,2.0400075176184234e-23,1.8032077050712976e-66,2.3037002254236275e-51,1.2182924164262942e-52,5.1812608826806786e-36,7.967466156469123e-36,1.7420963444955238e-72,1.3218302885415598e-55,3.503667567921207e-66,1.9862732521780544e-57,8.484922183105499e-51,1.0256653029803876e-65,3.76,0.0,0.97889240649126,0.9999999999999926,3.651414807039741e-48,6.286358902993516e-49,5.660411619081076e-16,5.660411619081076e-16,6.581275936034929e-34,8.263061951660182e-37,7.34312091135166e-15,9.512507577170055e-38,7.850956583232441e-39,1.570227443128188e-19,6.775101824523003e-33,6.976917631809478e-36,1.2211141140730145e-32,3.11454211453704e-17,3.4166965535055552e-37,5.8652787240310235e-34,1.5941822945143816e-20,6.927589184992579e-38,4.5950837950122175e-34,4.870822955401346e-34,4.826948063500088e-41,6.31452797157163e-42,2.040007517618932e-23,1.1309044277856137e-55,6.683006370098314e-34,2.7605769577954698e-36,4.9720059749863096e-49,2.6168950585071387e-51,1.1741156558197118e-63,3.680992750746945e-51,1.8506165013681027e-67,9.769317959539465e-72,8.445479310785204e-76,2.255278595957789e-70,3.21341326537466e-60,8.766544213596102e-57,4.306182397263061e-76,9.511710807041146e-50,2.553666200680347e-56,3.0568030450573244e-50,4.924846025679354e-55,3.3178227046428226e-67,1.9383876368190211e-22,3.270114028750148e-38,1.1934986114949095e-54,7.259325175274485e-50,4.738895961360202e-38,1.2359071497985148e-43,1.1026145232283205e-57,2.035241159232842e-33,4.217896105867604e-56,2.277062782390836e-49,3.1592293425370796e-66,6.971029223605741e-60,1.594182294514986e-20,1.4801168922588502e-72,1.361812247209564e-54,8.594521682523764e-53,1.1890036167498186e-56,6.244606696105663e-85,6.40686080115241e-70,1.228303813772673e-52,5.200808634139884e-53,7.734040133926782e-52,6.362071591398143e-63,4.758002740925802e-63,8.188631596317607e-58,6.765919735421257e-50,2.582089926730168e-38,1.3055832650309808e-69,1.2398625739220877e-71,4.380993501861425e-68,7.375985617797436e-37,1.190263515633995e-54,5.552327688562367e-71,6.914554234495041e-53,1.408779467851645e-98,1.2419907625819061e-54,3.158282006636497e-73,1.286436808883483e-71,6.24900443472204e-73,5.207537156938685e-72
2.7666813399560366e-21,0.8867529959525444,9.392034257791554e-24,1.2754687386621036e-24,2.4521549836479186e-33,3.990798075806868e-22,0.0,0.0,3.232727286098943e-19,4.3412687484927e-36,8.966643735810195e-49,3.3435763619282164e-50,9.709539277089886e-50,1.914871354460714e-61,6.231643407585946e-42,6.54020010429129e-36,2.7900235028452254e-33,1.921701470682986e-49,5.373500080317377e-58,2.5011772529369246e-55,2.3232500109006493e-33,8.23078424476893e-52,4.2000154774493745e-23,3.041373356981139e-65,1.9363988478196295e-50,1.0245149582602794e-51,2.163074425194888e-35,3.3262602804395635e-35,2.938300115830639e-71,1.1110780037683573e-54,5.9502333377199266e-65,1.699298585482594e-56,7.1320883499879105e-50,1.729936807155662e-64,3.76,0.0,0.9788924064912593,0.9999999999999848,3.0692341595794824e-47,5.284063439504283e-48,1.1653788627519857e-15,1.1653788627519857e-15,2.747553150616154e-33,3.449665706117212e-36,1.5118190111571224e-14,3.9712846593865e-37,3.2776198271176546e-38,3.2328212064400335e-19,2.828471643590641e-32,2.91272577164129e-35,5.097911049460216e-32,6.412292588752727e-17,1.4264035532860134e-36,2.4486384090403358e-33,3.2821400181162524e-20,2.89213211487538e-37,1.9183570300103575e-33,2.0334727015379884e-33,2.0151557978472806e-40,2.636191126403042e-41,4.2000154774514974e-23,9.505933136567915e-55,2.7900236042723256e-33,1.152486537812676e-35,4.179270607809469e-48,2.19965797643101e-50,1.825906106011475e-62,3.13640604076656e-50,3.1669473336797677e-66,1.6477382652281434e-70,1.424453527482618e-74,3.803856993195598e-69,2.70106747221547e-59,7.368808638446737e-56,7.263006017815895e-75,7.995166056874716e-49,2.1465103116049734e-55,2.569427145569614e-49,4.139629828814476e-54,5.595992934540965e-66,3.9907980758007827e-22,1.3652082346796508e-37,1.0032074966488122e-53,6.101900216969565e-49,1.9783957785141502e-37,5.1596690616266665e-43,9.363168706567789e-57,8.496731201773639e-33,3.545395820670202e-55,1.9140084719246423e-48,5.328502048854134e-65,5.864605822286438e-59,3.2821400181187735e-20,2.4964334776452092e-71,1.1446852687400587e-53,7.224213337982311e-52,9.994291827774938e-56,2.1862064914176757e-83,1.080610719517464e-68,1.0324633663325339e-51,4.371593029295357e-52,6.500926743433003e-51,1.0730563638782286e-61,8.025067066851085e-62,6.883038258778383e-57,5.687163214851839e-49,1.0779717158704689e-37,2.2550704147127554e-68,2.0912095765149113e-70,7.389185880345499e-67,3.0793287988628426e-36,1.0004882036487072e-53,9.364812192045002e-70,5.8121000531093946e-52,1.0139088145741089e-96,1.0439680715064072e-53,5.455146757197804e-72,2.1697639410348633e-70,1.079360114332838e-71,8.788592487065194e-71
5.6124107181965316e-21,0.8867529959525446,1.905241252174246e-23,2.5873794412869392e-24,1.0017853226671267e-32,8.095618953779647e-22,0.0,0.0,6.557818208943493e-19,1.7735499358704312e-35,7.35139629842284e-48,2.7412659120775577e-49,7.96046692501359e-49,1.5699272280500453e-60,2.5458296655307257e-41,2.671885144076775e-35,1.1398156371372937e-32,1.5755269699981628e-48,4.40552001933385e-57,2.0506162267964417e-54,9.49123435234108e-33,6.748094206898971e-51,8.520031397110285e-23,4.9954648715120465e-64,1.587576767732565e-49,8.401450097534362e-51,8.836864820727756e-35,1.3588858577588776e-34,4.8261667656619036e-70,9.109288759940665e-54,9.806260701696694e-64,1.4050129317002126e-55,5.8473169320179974e-49,2.841428308443275e-63,3.76,0.0,0.9788924064912581,0.9999999999999692,2.516343599347034e-46,4.3321944573711244e-47,2.36405426443974e-15,2.3640542644397398e-15,1.1224651124763641e-32,1.4093010007682868e-35,3.0668328511901896e-14,1.622399363190415e-36,1.3390146454852135e-37,6.558008733062639e-19,1.1555229571626378e-31,1.1899435186460555e-34,2.082663004445605e-31,1.300779353718409e-16,5.8273239392216095e-36,1.0003486871968408e-32,6.658055465315077e-20,1.1815303368793326e-36,7.837114412062816e-33,8.30739949158332e-33,8.232568963340858e-40,1.076970091936947e-40,8.52003139711896e-23,7.793538309638868e-54,1.1398156785735758e-32,4.7082835540553625e-35,3.4264185451764746e-47,1.8034125068153377e-49,2.872532032832715e-61,2.58825195027495e-49,5.238169399340706e-65,2.706415048481039e-69,2.3396691962497992e-73,6.247846539737564e-68,2.2144983053354257e-58,6.0413945313924526e-55,1.1929509193641025e-73,6.554920180991681e-48,1.7598388401473503e-54,2.106571612185038e-48,3.393918639557479e-53,9.19143519869667e-65,8.095618953754786e-22,5.577321095143199e-37,8.224901169988388e-53,5.0027064591496895e-48,8.082392289875668e-37,2.107893167552302e-42,7.714307367066518e-56,3.4711919374367653e-32,2.906729691646977e-54,1.5692197848046037e-47,8.752080615720993e-64,4.816416324729196e-58,6.658055465325378e-20,4.1003994847245986e-70,9.38482151633014e-53,5.922846569016551e-51,8.193924271023139e-55,7.311913144896389e-82,1.774906353425566e-67,8.464758465282944e-51,3.5840960860614307e-51,5.329852513702172e-50,1.762498299842226e-60,1.3181196755001435e-60,5.643130620213103e-56,4.6626800074378323e-48,4.403866192860904e-37,3.7468332214754736e-67,3.4348181087870437e-69,1.213675999675194e-65,1.2580062903597773e-35,8.202606763048229e-53,1.5381732146232994e-68,4.765111008975128e-51,6.872604091265211e-95,8.559080989135034e-53,9.063807925703158e-71,3.563843974959104e-69,1.7933729731592478e-70,1.4439591927891132e-69
1.1303869474677522e-20,0.886752995952545,3.8373169567536686e-23,5.211200846539526e-24,4.049376445913648e-32,1.6305260709725206e-21,0.0,0.0,1.3208000054632369e-18,7.168972407025967e-35,5.953351329062602e-47,2.2199482080324605e-48,6.446592504920033e-48,1.271367772401358e-59,1.0290650551334902e-40,1.0800186950032306e-34,4.607317046148605e-32,1.275902588631644e-47,3.5677043329448705e-56,1.6606421863957518e-53,3.8365086769974343e-32,5.464781644902236e-50,1.716006323642815e-22,8.097863825909739e-63,1.2856608272161177e-48,6.804453089442718e-50,3.572002049851771e-34,5.492833904208479e-34,7.82342430806759e-69,7.376938212047652e-53,1.5922918136578337e-62,1.1425331822115273e-54,4.735308853505551e-48,4.606079269071532e-62,3.76,0.0,0.9788924064912556,0.9999999999999382,2.0378002873674908e-45,3.508323391304338e-46,4.761405067815244e-15,4.761405067815244e-15,4.537183451343676e-32,5.696619972942005e-35,6.176860531212944e-14,6.557997625383656e-36,5.412511287123415e-37,1.3208383786303499e-18,4.670808545066571e-31,4.809941966285824e-34,8.418456853131108e-31,2.6198795434046773e-16,2.3554975071509878e-35,4.0435693356438206e-32,1.3409886359693065e-19,4.7759345321590874e-36,3.1678869500224305e-32,3.3579836983853575e-32,3.327736002426549e-39,4.3532853043359224e-40,1.7160063236463215e-22,6.3114093842568765e-53,4.607317213640701e-32,1.9031634915209895e-34,2.7748025737830165e-46,1.4604502046456694e-48,4.55409347550477e-60,2.1027499794339296e-48,8.520434696977301e-64,4.3872154209151e-68,3.7927045902897333e-72,1.0128028496782537e-66,1.7933581423904922e-57,4.8924779332341125e-54,1.933824848013642e-72,5.308344310314801e-47,1.4251631196592864e-53,1.7059563081008497e-47,2.7484833075894708e-52,1.4899712542913027e-63,1.6305260709624715e-21,2.2544423603481494e-36,6.6607382124547e-52,4.0513213945352e-47,3.267032189901255e-36,8.52044120654538e-42,6.262331465970058e-55,1.4031112806960505e-31,2.353945056744754e-53,1.2707948665044306e-46,1.418749983080022e-62,3.91383445865049e-57,1.3409886359734701e-19,6.646924267395377e-69,7.600071844012384e-52,4.796474720492991e-50,6.635652318020859e-54,2.3916438182650605e-80,2.877199689894136e-66,6.854980868864794e-50,2.90249393465159e-50,4.316252751330594e-49,2.8570856952055917e-59,2.136728795596082e-59,4.569953484307735e-55,3.7759591581230193e-47,1.7801131269332884e-36,6.108283802880176e-66,5.5679882510595536e-68,1.9674210963060307e-64,5.085062563532912e-35,6.642683623696803e-52,2.4934450652971805e-67,3.858910531918173e-50,4.525231139989415e-93,6.931365694135048e-52,1.477629450589303e-69,5.777144808849e-68,2.923650570214776e-69,2.3410663506917886e-68
2.2686786987639502e-20,0.8867529959525458,7.70146857306948e-23,1.0458843657056357e-23,1.6282364590977097e-31,3.272454422161633e-21,0.0,0.0,2.65083637460092e-18,2.8826122745789107e-34,4.791775082996498e-46,1.7868074494589077e-47,5.188778488834843e-47,1.0233073897481849e-58,4.137825326860132e-40,4.342707671655156e-34,1.8525819205386699e-31,1.026957404398725e-46,2.871598831170371e-55,1.3366293044095963e-52,1.5426432654425043e-31,4.398531693072976e-49,3.444012691504804e-22,1.3041360048375195e-61,1.0348116837060405e-47,5.477111801234019e-49,1.436286314010529e-33,2.208644354514026e-33,1.259938368887486e-67,5.937601652156231e-52,2.566467355269055e-61,9.214944025883021e-54,3.8113885278731113e-47,7.417949897717675e-61,3.76,0.0,0.9788924064912508,0.999999999999876,1.6401989558930624e-44,2.8238038825570516e-45,9.556106674566228e-15,9.556106674566226e-15,1.8243815105141136e-31,2.2905858364694007e-34,1.2396915891084936e-13,2.636942002067495e-35,2.1763469835029376e-36,2.6509133892767817e-18,1.8781115730006846e-30,1.9340565164400908e-33,3.38502447492296e-30,5.258079922777198e-16,9.471351877902151e-35,1.6259014455982613e-31,2.6913548148370385e-19,1.9203822700942304e-35,1.2737934097213217e-31,1.3502304761696132e-31,1.3380680106539545e-38,1.7504368744483215e-39,3.4440126915189015e-22,5.079971352633529e-52,1.8525819878865194e-31,7.6525366951903135e-34,2.2334025137474783e-45,1.175497380994949e-47,7.251831457005555e-59,1.6951589752359267e-47,1.3745196240975215e-62,7.065475185021716e-67,6.108033820025131e-71,1.6310877720327633e-65,1.4434506516025492e-56,3.937891889476435e-53,3.1143653011614686e-71,4.2726173164035555e-46,1.1470952650988652e-52,1.373102051597866e-46,2.2122184785803073e-51,2.399552771779894e-62,3.2724544221212265e-21,9.065013576975546e-36,5.361141584567843e-51,3.260855915304583e-46,1.3136592746288418e-35,3.426031935032904e-41,5.046494957364125e-54,5.641848748602745e-31,1.8946597547939507e-52,1.0228462652163388e-45,2.2848531101121655e-61,3.1717263508821752e-56,2.69135481485378e-19,1.0704666633708224e-67,6.117199076126476e-51,3.8606201526278e-49,5.340950276684128e-53,7.73721581323585e-79,4.633641417366125e-65,5.517484973111859e-49,2.336179630183521e-49,3.474095719735789e-48,4.601248432934755e-58,3.4411358535565186e-58,3.678296141167028e-54,3.0392204314108435e-46,7.157756591311324e-36,9.86489465769921e-65,8.967073491277588e-67,3.1684710233338745e-63,2.0446812918773014e-34,5.346609680827844e-51,4.0156164090624373e-66,3.1059869508679645e-49,2.937366206162796e-91,5.578966125783975e-51,2.3863755096484105e-68,9.303913734205217e-67,4.7217034803562965e-68,3.770493104859651e-67
4.545262201356346e-20,0.8867529959525472,1.542977263432896e-22,2.095412927813666e-23,6.529956447540959e-31,6.556311124539857e-21,0.0,0.0,5.31090911287592e-18,1.1560564500911736e-33,3.8450977300521495e-45,1.4338004497988962e-46,4.163667959439042e-46,8.211397346616977e-58,1.6594530249071355e-39,1.741620008677611e-33,7.429682088866389e-31,8.240686415942983e-46,2.304277216247115e-54,1.0725608391255192e-51,6.186689458488398e-31,3.529544673836686e-48,6.900025427222444e-22,2.09342711031554e-60,8.303712060080628e-47,4.3951555937493004e-48,5.7601505139441205e-33,8.857651701876254e-33,2.0224801238557607e-66,4.764551388733262e-51,4.1214556322499493e-60,7.401944172188225e-53,3.058399260759161e-46,1.1907453401439622e-59,3.76,0.0,0.9788924064912409,0.9999999999997515,1.3161563659831109e-43,2.265924778792609e-44,1.9145509888068103e-14,1.9145509888068094e-14,7.316585831628004e-31,9.186273693751412e-34,2.483702661013485e-13,1.0575316829604458e-34,8.728124799147413e-36,5.311063410562683e-18,7.532067413597931e-30,7.756431712502829e-33,1.357546213361936e-29,1.0534480681522175e-15,3.7984357197591957e-34,6.520591999043456e-31,5.392087172541042e-19,7.701591815331605e-35,5.108481290931562e-31,5.415028114762366e-31,5.366251188210243e-38,7.02003476871878e-39,6.900025427278986e-22,4.0763570850299995e-51,7.429682358961501e-31,3.0690094828048665e-33,1.7921648625031208e-44,9.432626180089872e-47,1.1574690635860613e-57,1.361330712606691e-46,2.208271880319523e-61,1.134165243852796e-65,9.80474700636018e-70,2.6182571234078883e-64,1.158278242523193e-55,3.1599102621572368e-52,4.999246036024498e-70,3.4285063162849894e-45,9.204717087179515e-52,1.1018279214505729e-45,1.7751660083890403e-50,3.85181361947816e-61,6.556311124377811e-21,3.635475887003141e-35,4.301978488802185e-50,2.6166315104787614e-45,5.26836123972559e-35,1.3739920390862467e-40,4.0519030142796257e-53,2.262633686042368e-30,1.5203451068978787e-51,8.207697112264572e-45,3.6676952603213935e-60,2.5796666526904376e-55,5.392087172608181e-19,1.7183360719142724e-66,4.908667100737044e-50,3.097904560971783e-48,4.28577623964946e-52,2.4894245455872675e-77,7.438020722381583e-64,4.4274342118433297e-48,1.8746370262665552e-48,2.7877430241211017e-47,7.386022757194616e-57,5.523785141359294e-57,2.951601002332722e-53,2.4387829926792815e-45,2.8705805317099535e-35,1.5857530046911935e-63,1.4394138912278512e-65,5.086097702760147e-62,8.200086486474248e-34,4.290317551247927e-50,6.445953661525701e-65,2.4923589346978385e-48,1.893209688082467e-89,4.476768964858789e-50,3.836028934978957e-67,1.4934842144257977e-65,7.590000441999438e-67,6.052699235663563e-66
