Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706)
0.0,0.7049196097696652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5612989108411388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3463036862363026e-22,0.7049196097696652,3.25880807318634e-26,6.624143459690944e-28,1.898882346601326e-36,1.4875440563831276e-25,0.0,0.0,1.3645777870286041e-21,4.397886949457205e-40,2.6773670884963854e-53,8.221659052127779e-55,7.615918074350939e-56,9.088528725606615e-68,1.0636205592094903e-46,9.205243287726309e-40,2.704287755951178e-37,1.0251514358674843e-54,8.556408348948145e-65,5.327963506100007e-63,5.779766623801441e-38,3.474472043138135e-58,3.931055595930023e-26,6.196946348817652e-72,9.583915011216305e-56,9.133805518669428e-60,8.221601443763035e-41,2.066101962122815e-40,5.4350360553583475e-80,4.883005951858489e-62,1.2783141915417037e-71,3.671768257176647e-63,4.2545050961963625e-56,4.0936735012489267e-72,3.76,0.0,0.5612989108411388,0.9999999999999994,1.616903101095035e-51,1.8452354794322914e-53,4.8171530467392736e-18,4.8171530467392736e-18,7.761055130274324e-38,2.9314464011290957e-41,4.949278308987605e-16,1.6245712869065758e-41,7.18565875849302e-43,1.364610375109319e-21,6.484553641212469e-36,4.560520125114895e-40,5.165799511997793e-36,1.796409518853338e-19,8.729407544976093e-41,1.8987883743695247e-36,1.792679955039314e-23,9.14760457072108e-42,4.748727906540725e-38,3.5273351348277835e-37,1.7341689163787102e-45,1.874187007516962e-46,3.9310555959301546e-26,1.848402391826554e-60,2.704287758362201e-37,1.4750709299479677e-38,1.831373264055024e-54,1.273464563484084e-59,1.1007805550612987e-69,1.2754750345765053e-55,3.2891517120954666e-72,8.083907584154526e-77,5.73462641320223e-81,5.755968563953621e-77,2.8921488898790264e-65,1.4198893756357872e-62,3.8825739850534006e-81,1.9599560396523763e-53,4.1940146771399874e-60,1.7127806515819138e-53,1.1195531288745412e-58,1.838066667872093e-74,1.4875440563829224e-25,7.795321240097069e-41,1.0579773628112595e-59,1.205192193375951e-53,2.1355920172590304e-42,2.940233054681034e-47,9.149201909078348e-64,6.699192618412904e-37,1.1483470426260609e-60,2.047979016042908e-54,2.1738586148018372e-71,5.400879976979026e-66,1.792679955039345e-23,1.0065482307951641e-79,1.1129038293501187e-60,1.3352541161793265e-58,1.3899586152504474e-62,3.739075970905868e-97,6.263486216676314e-76,2.3093696111724398e-57
6.569650321461647e-22,0.7049196097696652,9.124662606787209e-26,1.8547601687135272e-27,1.1469249373471998e-35,4.165123357872759e-25,0.0,0.0,3.82081780368009e-21,2.6563237174721503e-39,3.178570210392166e-52,9.760753626782666e-54,9.041617937869503e-55,1.0789901303040234e-66,6.424268177625479e-46,5.559966945786436e-39,1.6333898045945003e-36,1.2170597846618653e-53,1.0158167991973239e-63,6.325358274461929e-62,3.49097904077607e-37,4.124893209613575e-57,1.1006955668603767e-25,1.3862321104450828e-70,1.1378023901315727e-54,1.3781812520571883e-58,4.9658472720329145e-40,1.2479255851221421e-39,1.215795827083822e-78,5.797104666046216e-61,3.168291533970096e-70,5.548776190247938e-62,5.050948451573596e-55,9.166105906641082e-71,3.76,0.0,0.5612989108411388,0.9999999999999987,1.9195873616278505e-50,2.190663561182003e-52,1.3488028530869965e-17,1.3488028530869965e-17,4.687677298684866e-37,1.7705936262818821e-40,1.385797926515548e-15,9.81241057291608e-41,4.3401378901327175e-42,3.8209090503060544e-21,3.916670399292175e-35,2.7545541567129538e-39,3.1201429052466396e-35,5.029946652789346e-19,5.2725621571657614e-40,1.1468681781191923e-35,5.019503874109884e-23,5.525153160718952e-41,2.8682316555504004e-37,2.1305104214359503e-36,1.0474380254926006e-44,1.1320089525413904e-45,1.1006955668604563e-25,2.1944233195762554e-59,1.6333898060507582e-36,8.909428416884844e-38,2.174206339086112e-53,1.5118571298259436e-58,3.3731583784721116e-68,1.6029754893385112e-54,7.769572948191562e-71,1.8083377909448084e-75,1.2828129901273518e-79,1.2875871457050843e-75,3.4335591620626775e-64,1.685692667397672e-61,8.68516270159852e-80,2.3268598102742323e-52,4.979134224704625e-59,2.0334131895579305e-52,1.3291334745996577e-57,4.1116816133631265e-73,4.165123357871521e-25,4.708374029018588e-40,1.2560307251297181e-58,1.4308041719758757e-52,1.2898975784244446e-41,1.775900765028565e-46,1.3826195058150587e-62,4.0463123415213946e-36,1.3633176084298825e-59,2.4313606878463694e-53,4.862834766967161e-70,6.414890822263242e-65,5.019503874110073e-23,2.2516081303662027e-78,1.3212395498722384e-59,1.5852136890775845e-57,1.6501588681855333e-61,1.7862014607060095e-95,1.4011168147093335e-74,2.741683602383895e-56
1.5016343591912337e-21,0.7049196097696652,2.0856371681450776e-25,4.239451814202644e-27,5.521949863916642e-35,9.520281960852028e-25,0.0,0.0,8.733297836983053e-21,1.2789055249021532e-38,3.120739082510921e-51,9.583165791459486e-53,8.87711410746367e-54,1.0593589082567265e-65,3.093008586181435e-45,2.676884748070427e-38,7.864068794305855e-36,1.1949165136471013e-52,9.97334957183952e-63,6.21027426276994e-61,1.680756134201459e-36,4.049844613481751e-56,2.5158755813950065e-25,2.7389610501497827e-69,1.1171011337072885e-53,1.4818548937149675e-57,2.3908416998463538e-39,6.008224505852573e-39,2.402207685190548e-77,5.691631737485683e-60,6.533000574739146e-69,5.969120220337022e-61,4.959051142070898e-54,1.8118392396207164e-69,3.76,0.0,0.5612989108411388,0.9999999999999969,1.884662254647482e-49,2.150806474826236e-51,3.082977949913135e-17,3.082977949913135e-17,2.256914831882537e-36,8.524646134482042e-40,3.167538117745197e-15,4.7242533023248565e-40,2.0895895669740961e-41,8.73350640069937e-21,1.885708198864354e-34,1.326199254098746e-38,1.5022144980889164e-34,1.1497020920661362e-18,2.5385117140793444e-39,5.521676592666565e-35,1.1473151712250245e-22,2.660123409170721e-40,1.3809300752217468e-36,1.0257490572078736e-35,5.04296320882719e-44,5.4501358178765066e-45,2.51587558139539e-25,2.154497827912317e-58,7.864068801317112e-36,4.289506264287368e-37,2.1346486765824983e-52,1.484350295375719e-57,7.458741939573001e-67,1.6126924704727081e-53,1.5748481004458865e-69,3.572970743925686e-74,2.5346222960129265e-78,2.544055226335081e-74,3.3710887460377187e-63,1.6550230582337334e-60,1.716041792324099e-78,2.2845247598154942e-51,4.888543507686869e-58,1.996417127483515e-51,1.3049511270155525e-56,8.123989990394287e-72,9.520281960846068e-25,2.2668794166201648e-39,1.2331784140933581e-57,1.4047720205988448e-51,6.210301586189113e-41,8.55019772303075e-46,1.4873562568637791e-61,1.9481252134344724e-35,1.3385133110999976e-58,2.3871243410998912e-52,9.608142041782208e-69,6.304460653307355e-64,1.1473151712251157e-22,4.448798237209241e-77,1.297200881335092e-58,1.556372202221897e-56,1.620135762414722e-60,9.300713981448334e-94,2.7683707212030575e-73,2.691801218782517e-55
3.1909730132813714e-21,0.7049196097696652,4.431978986062521e-25,9.008835105181882e-27,2.411580580183669e-34,2.023059916681059e-24,0.0,0.0,1.8558257903588942e-20,5.58531642581063e-38,2.760258377745041e-50,8.476201617010275e-52,7.851706897933292e-53,9.369909574951806e-65,1.3507981101962978e-44,1.1690658975408436e-37,3.434445450057821e-35,1.0568901243218599e-51,8.821314752064564e-62,5.492917256372583e-60,7.340303612227831e-36,3.58204169759357e-55,5.34623561046379e-25,4.873834846613641e-68,9.8806330199618e-53,1.3618154948369828e-56,1.0441433833579708e-38,2.6239494918953806e-38,4.274600261939955e-76,5.034183816126826e-59,1.1848199203906321e-67,5.486649871357023e-60,4.386224575932811e-53,3.2247012849468686e-68,3.76,0.0,0.5612989108411388,0.9999999999999933,1.6669624211161195e-48,1.9023639698754248e-50,6.551328143565413e-17,6.551328143565413e-17,9.856540015435618e-36,3.722936929432535e-39,6.731018500188791e-15,2.0632055343718993e-39,9.125786623330487e-41,1.855870110148539e-20,8.235383124337433e-34,5.791860576621034e-38,6.560565380236766e-34,2.4431169456405394e-18,1.108634758212267e-38,2.411461235449283e-34,2.4380447388527847e-22,1.1617457804867298e-39,6.03088444130366e-36,4.479715621230815e-35,2.2023945237987925e-43,2.380217499564297e-44,5.3462356104654625e-25,1.905628929876004e-57,3.434445453119822e-35,1.8733400810325544e-36,1.88807258031009e-51,1.3128910267447513e-56,1.391766738837754e-65,1.4418498270993052e-52,2.8345840422154525e-68,6.357910535717932e-73,4.5102249514001536e-77,4.527010355572019e-73,2.9816898194986047e-62,1.4638491548898766e-59,3.0536046816694544e-77,2.0206362786330495e-50,4.323861371570486e-57,1.7658083405541274e-50,1.1542144937432106e-55,1.4456206124786425e-70,2.0230599166784555e-24,9.90005797492263e-39,1.0907323419650294e-56,1.2425049436825258e-50,2.7122018619188194e-40,3.7340959794638265e-45,1.367135664914163e-60,8.507974625384388e-35,1.1838998633173674e-57,2.1113844463797824e-51,1.70971754022853e-67,5.58740062056156e-63,2.438044738853183e-22,7.916398764830855e-76,1.1473595155140427e-57,1.3765935902024151e-55,1.4329917349696529e-59,3.71167080333374e-92,4.926167794322298e-72,2.3808676943341737e-54
6.5696503214616475e-21,0.7049196097696652,9.124662633836326e-25,1.854760168714438e-26,1.0067874201680105e-33,4.1651233578727826e-24,0.0,0.0,3.820817803680058e-20,2.3317596606021907e-37,2.3201634847405763e-49,7.124758189169592e-51,6.599832748544142e-52,7.875973577151829e-64,5.639316204930925e-44,4.880619991148909e-37,1.4338133682051562e-34,8.883798318996394e-51,7.41484657380638e-61,4.6171279271932025e-59,3.0644322639395236e-35,3.010921881030595e-54,1.100695566859945e-24,8.220434843489482e-67,8.305267406076673e-52,1.1649609313898757e-55,4.359093085483747e-38,1.095447260316982e-37,7.2097382504793145e-75,4.2315348297831535e-58,2.016526965425828e-66,4.693944478799081e-59,3.6868860460228806e-52,5.4394429123352316e-67,3.76,0.0,0.5612989108411387,0.9999999999999862,1.4011823569692708e-47,1.5990515427081878e-49,1.3488028530869967e-16,1.3488028530869967e-16,4.11491143005995e-35,1.5542528818773704e-38,1.385797926501316e-14,8.613476963183568e-39,3.809836273792767e-40,3.820909050305494e-20,3.438110340568688e-33,2.417987786288522e-37,2.738906901260841e-33,5.029946652789344e-18,4.62833188034904e-38,1.0067375960907101e-33,5.01950387410706e-22,4.850059943442491e-39,2.5177755360451396e-35,1.870193088485267e-34,9.194563594620395e-43,9.936939514014723e-44,1.1006955668606438e-24,1.6017959383158987e-56,1.433813369483482e-34,7.820826070571838e-36,1.587038768657718e-50,1.103564015963004e-55,2.3998262411225216e-64,1.2180840298162893e-51,4.806719786440865e-67,1.0723545410216774e-71,7.607153608856527e-76,7.63546467295484e-72,2.50628995356683e-61,1.2304534222875267e-58,5.150350619844623e-76,1.6984665446534774e-49,3.6344660150222916e-56,1.4842683081690774e-49,9.701868286302809e-55,2.438250459295809e-69,4.165123357861911e-24,4.1330793214988817e-38,9.168262549764643e-56,1.0444002717038796e-49,1.1322908875506032e-39,1.558911565608907e-44,1.1696129690456435e-59,3.55191192628252e-34,9.951391667863814e-57,1.7747458476385255e-50,2.8836885291623083e-66,4.715348941626074e-62,5.019503874108722e-22,1.3352163602375417e-74,9.644248232658065e-57,1.1571098626955085e-54,1.2045158984248218e-58,1.3191859413006635e-90,8.30870203782559e-71,2.0012627551279567e-53
1.33270049378222e-20,0.7049196097696653,1.8510029977139622e-24,3.762513485108546e-26,4.11305511803223e-33,8.449250240256273e-24,0.0,0.0,7.750801830322331e-20,9.525999048002121e-37,1.9022102032440993e-48,5.84130722424375e-50,5.410941632356634e-51,6.457198984830504e-63,2.3038446760719914e-43,1.9938925170916376e-36,5.85759545089915e-34,7.283474598398908e-50,6.079139208366364e-60,3.785400430027864e-58,1.251920569781887e-34,2.468535670306552e-53,2.2328395784863155e-24,1.350208891484646e-65,6.809160002620304e-51,9.631727779635007e-55,1.7808317591253448e-37,4.475259494031977e-37,1.1842017120057784e-73,3.4692679120203277e-57,3.3268340005741653e-65,3.881044067096594e-58,3.022731932839982e-51,8.934716082511657e-66,3.76,0.0,0.5612989108411386,0.999999999999972,1.1487739521158926e-46,1.310999065336977e-48,2.7361429305479073e-16,2.7361429305479073e-16,1.681075585428206e-34,6.349630162690861e-38,2.8111900794410638e-14,3.518886390295262e-38,1.5564424297582294e-39,7.750986930618416e-20,1.4045802568993564e-32,9.87826914686925e-37,1.118932837496441e-32,1.0203606067086952e-17,1.8908245918742965e-37,4.112851570419264e-33,1.0182422144610622e-21,1.9814077404754827e-38,1.0285934594660164e-34,7.640348995438788e-34,3.756279239616408e-42,4.059564025897329e-43,2.2328395784891694e-24,1.3132490866633244e-55,5.857595456121535e-34,3.195062637094094e-35,1.3011502673891853e-49,9.047684554150859e-55,3.984072194606478e-63,1.0010952190781126e-50,7.915652215694341e-66,1.7613455537033614e-70,1.2494772645341524e-74,1.2541273738309078e-70,2.0548079275773943e-60,1.0088000631373578e-57,8.45946635851732e-75,1.392505490322174e-48,2.9797548243448295e-55,1.2168928347498108e-48,7.954177783283077e-54,4.004833701000571e-68,8.449250240211855e-24,1.6884977618894908e-37,7.516695561406645e-55,8.562624427489208e-49,4.625777733062609e-39,6.368662405905434e-44,9.670584741198651e-59,1.4510719179187071e-33,8.158752067219423e-56,1.455043871521529e-49,4.7364670683159415e-65,3.8967616772283514e-61,1.0182422144617418e-21,2.1930968811988707e-73,7.906937554038731e-56,9.486685817204262e-54,9.875349088774339e-58,4.443381594632871e-89,1.3647068139221498e-69,1.6407561178564913e-52
2.68417141705433e-20,0.7049196097696653,3.728076485476895e-24,7.578020117903196e-26,1.6625626408020093e-32,1.701750400502342e-23,0.0,0.0,1.561076988360665e-19,3.850561122823222e-36,1.5404591407490205e-47,4.730442037935325e-49,4.381920822018995e-50,5.229207152105921e-62,9.312508533762863e-43,8.059632350057248e-36,2.36773373614644e-33,5.898346566612374e-49,4.923044544880858e-59,3.065515411686391e-57,5.060463107936102e-34,1.99908418692316e-52,4.497127601736008e-24,2.1887467975458287e-64,5.514234309512092e-50,7.832205030841114e-54,7.1984067008879165e-37,1.808971440728984e-36,1.9196421336617455e-72,2.809503101995655e-56,5.404758109369727e-64,3.156000580678268e-57,2.447886688846942e-50,1.448389360819035e-64,3.76,0.0,0.5612989108411383,0.9999999999999435,9.303069303995248e-46,1.0616810330557502e-47,5.510823085469725e-16,5.510823085469725e-16,6.795176297121353e-34,2.566622033606889e-37,5.661974385220052e-14,1.4223901411118816e-37,6.291389154957238e-39,1.5611142691240306e-19,5.67753797144125e-32,3.992954385606265e-36,4.5229054311279394e-32,2.055092489568215e-17,7.643015317207571e-37,1.662480363602405e-32,2.0508258685597795e-21,8.009166887006285e-38,4.157739221096744e-34,3.088351222625248e-33,1.518348126383947e-41,1.6409406861687476e-42,4.497127601747544e-24,1.0635031586579208e-54,2.3677337382574174e-33,1.291495402565527e-34,1.0537052211303335e-48,7.3270495387182e-54,6.492425885920398e-62,8.116847551838299e-50,1.2848080922544509e-64,2.85521704407321e-69,2.025456489421724e-73,2.0329945444303306e-69,1.6640367342166604e-59,8.169524568585031e-57,1.37131595099454e-73,1.127687049187753e-47,2.4130827121831713e-54,9.854713676557341e-48,6.441499394854774e-53,6.492008009319934e-67,1.701750400484388e-23,6.825177921120441e-37,6.087214949148624e-54,6.934235262401809e-48,1.8698133195261712e-38,2.5743151706784257e-43,7.863958326014208e-58,5.8654646986661676e-33,6.607168857018576e-55,1.1783322517175697e-48,7.678017225937037e-64,3.20563973826717e-60,2.050825868562527e-21,3.5551045517239796e-72,6.403243269992298e-55,7.682564240835696e-53,7.99731375312606e-57,1.4583623492227611e-87,2.2122485844293145e-68,1.3287268437147919e-51
5.3871132635985504e-20,0.7049196097696653,7.48222353741185e-24,1.5209033383518227e-25,6.685091256503117e-32,3.4154011534558394e-23,0.0,0.0,3.1330705990174406e-19,1.5482936921040982e-35,1.2398955334038666e-46,3.8074712939038826e-48,3.52695109605852e-49,4.2089208467571165e-61,3.7445187235318343e-42,3.240742720396963e-35,9.520553216327423e-33,4.747502461360178e-48,3.962494547520875e-58,2.4673934976474466e-56,2.034789958975791e-33,1.609036870028908e-51,9.025703648223202e-24,3.524909242137555e-63,4.438335499830834e-49,6.316895027333233e-53,2.8944476746858602e-36,7.273794601701658e-36,3.0915248885748423e-71,2.2613325177269185e-55,8.713679694769437e-63,2.545428802393069e-56,1.970272168519688e-49,2.3326132039785268e-63,3.76,0.0,0.5612989108411377,0.9999999999998864,7.48791952459309e-45,8.545332595652875e-47,1.1060183395313358e-15,1.1060183395313358e-15,2.732310502768651e-33,1.0320274312958926e-36,1.1363542996375999e-13,5.7193681984336675e-37,2.529739908786423e-38,3.1331454212468257e-19,2.2829130475912117e-31,1.605549442243403e-35,1.8186403813946775e-31,4.1245562552872486e-17,3.07322284385429e-36,6.684760423502207e-32,4.1159931767492345e-21,3.2204507798005357e-37,1.6718086543937355e-33,1.2418124435542695e-32,6.105211036757591e-41,6.598150328346424e-42,9.025703648269588e-24,8.559998647653856e-54,9.520553224815613e-33,5.193046211649617e-34,8.481136322478122e-48,5.897446923284895e-53,1.0483192212387039e-60,6.5370272410106275e-49,2.0704606496806738e-63,4.598239028002622e-68,3.2619352348090574e-72,3.274075128307023e-68,1.3393615315754952e-58,6.575544279582453e-56,2.2084620636442427e-72,9.07660643713322e-47,1.9422589003256299e-53,7.931930907575112e-47,5.184679110707621e-52,1.0455178761548002e-65,3.4154011533836476e-23,2.7443740238578338e-36,4.899520166852837e-53,5.581275804000362e-47,7.518437120433497e-38,1.035120807928839e-42,6.342567050607363e-57,2.358477558082726e-32,5.318024150763485e-54,9.48424308770612e-48,1.236521004220805e-62,2.6605720708070617e-59,4.115993176760283e-21,5.7253862838808665e-71,5.153887619420909e-54,6.18359624122768e-52,6.436933899849607e-56,4.725910039910853e-86,3.5627582414130216e-67,1.0694749604438313e-50
1.0792996956686992e-19,0.7049196097696654,1.4990517946918135e-23,3.0471059914851216e-25,2.6810205918717546e-31,6.842702659363108e-23,0.0,0.0,6.277057820330634e-19,6.209350196616058e-35,9.949380796682845e-46,3.0552559313917163e-47,2.83015613496843e-48,3.3773939109491085e-60,1.5017194858345567e-41,1.2996827766318052e-34,3.8181676568937325e-32,3.8095717379745044e-47,3.179652329376293e-57,1.9799278916639467e-55,8.160417817545499e-33,1.2911507545948327e-50,1.8082855741148825e-23,5.658259983252687e-62,3.561484721996065e-48,5.0740488546667645e-52,1.1608029748867013e-35,2.917116963685106e-35,4.9625834370057994e-70,1.814576931720283e-54,1.3994984681470192e-61,2.0446268406046184e-55,1.5810193318337015e-48,3.744382254762637e-62,3.76,0.0,0.5612989108411366,0.9999999999997724,6.008583845785618e-44,6.857091241756358e-46,2.2158904015000598e-15,2.2158904015000598e-15,1.095778717158039e-32,4.138891585017687e-36,2.276668021707978e-13,2.2937224525778918e-36,1.014538848896705e-37,6.277207725486087e-19,9.155502378607742e-31,6.438971727425632e-35,7.293561336174943e-31,8.263483786725294e-17,1.2324998136429488e-35,2.680887913041538e-31,8.246327793096228e-21,1.2915448009866633e-36,6.70470043875213e-33,4.980223312833283e-32,2.4484626879327458e-40,2.6461533915182564e-41,1.8082855741334853e-23,6.868859824757202e-53,3.818167660297912e-32,2.0826437955120522e-33,6.805577775474591e-47,4.732329772771876e-52,1.684975129712158e-59,5.24710446014225e-48,3.324601096203312e-62,7.38119199614666e-67,5.2361284613585256e-71,5.255615962357372e-67,1.0747532789723644e-57,5.276460450637514e-55,3.5450707123418544e-71,7.283405040627113e-46,1.5585404484936696e-52,6.364875017718038e-46,4.1603784665716596e-51,1.67828773850849e-64,6.842702659073583e-23,1.1006167286939029e-35,3.931556372971212e-52,4.478622336214728e-46,3.015229555609793e-37,4.1512974092804225e-42,5.094694686825759e-56,9.458549862781381e-32,4.267379213060841e-53,7.61050778110572e-47,1.9848900598424247e-61,2.263964462972558e-58,8.246327793140534e-21,9.190512970942045e-70,4.1356708152660036e-53,4.9619468305972766e-51,5.1652341361092225e-55,1.5218184116227596e-84,5.719016317531977e-66,8.581863025746676e-50
