Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37)
0.0,0.8961417085720197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5851149456870208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.60162936636575e-23,0.8961417085720197,3.4834674456651086e-25,2.795866811078086e-25,2.2667100996458205e-36,4.765365028040636e-23,0.0,0.0,1.400936929659702e-20,6.481552387805705e-39,5.24056823741991e-53,2.727480193508024e-54,3.260541864678846e-53,1.0575499174412517e-64,3.847178430966441e-44,1.5217864341276606e-38,7.568728438999392e-36,4.5442256176143805e-53,3.8426608616552755e-61,4.6263377197444584e-58,1.0610086555575986e-35,4.3139535829182485e-55,2.8699503335055878e-24,1.9139403209510522e-70,3.286853446517547e-54,8.199699960063551e-57,2.2606954438707916e-37,2.867565709481101e-37,6.618080461852233e-76,6.913169493552137e-58,1.8020657972642917e-70,5.662220123266128e-60,2.771751480535832e-53,2.467614555680114e-69,3.76,0.0,0.5851149456870207,0.9999999999999994,7.338505642819723e-52,5.0879884446475914e-52,4.292638681815907e-17,4.292638681815907e-17,1.1958398045065055e-35,2.568632672437534e-38,4.730827433120709e-16,1.606463601779324e-39,1.7966094782429075e-40,1.4009717643341132e-20,5.106394964380827e-35,1.7193700946930395e-37,1.3253620844696215e-34,2.7144423703277643e-18,4.6784197615801103e-39,2.2650955815392455e-36,3.1480783133990113e-21,1.3317249087619808e-39,7.510745630535299e-36,4.18904116796216e-36,1.5221139157693135e-42,2.176892061596288e-43,2.869950333505634e-24,2.1938172098755346e-58,7.56872983036932e-36,1.0769600390283533e-38,1.9729604934409127e-51,4.3057184246006443e-69,3.7031089902205115e-66,4.9123338160029156e-54,1.5753838060934655e-71,1.2076331705648644e-75,1.1415913220531842e-79,1.522083016304384e-78,8.433362717151562e-63,5.3861159882468445e-59,4.949978819013508e-80,6.539433152609462e-53,2.023075562104711e-59,1.2511849989351857e-53,3.209455395045291e-58,3.9312509901732156e-70,4.765365028040384e-23,1.8943873515684953e-40,5.0566749539959744e-57,5.454349212932157e-53,1.5897458554730422e-39,1.8938757005325714e-45,3.1233378818960864e-60,1.1585348495259518e-35,7.095439676281629e-59,2.9805050084206213e-52,2.1968744916122518e-70,2.7538776797089685e-62,3.1480783133991583e-21
1.5684562225824099e-22,0.8961417085720197,9.753708857075404e-25,7.828427071018689e-25,1.369092900186097e-35,1.3343022078513782e-22,0.0,0.0,3.922623403047164e-20,3.914857642234644e-38,6.221606521096951e-52,3.2380644857399494e-53,3.8709153017467535e-52,1.2555232619869677e-63,2.3236957723051818e-43,9.191590062130963e-38,4.5715119771555863e-35,5.394904653231811e-52,4.562006974967125e-60,5.492388140884857e-57,6.408492279567897e-35,5.1215256936404616e-54,8.035860933815604e-24,4.281407940354586e-69,3.902152411705555e-53,1.2315444110881434e-55,1.3654600480979697e-36,1.7320096885265053e-36,1.4804381270013562e-74,8.207314822744718e-57,4.3591653598414123e-69,8.55674705028197e-59,3.2906233584920434e-52,5.5199639546907235e-68,3.76,0.0,0.5851149456870207,0.9999999999999987,8.712273900768698e-51,6.040459881485624e-51,1.201938830908454e-16,1.201938830908454e-16,7.222872419218767e-35,1.5514541341522302e-37,1.3246316812735967e-15,9.703040154747957e-39,1.0851521248588807e-39,3.9227209401354624e-20,3.0842625584858144e-34,1.0384995372111761e-36,8.005186990196416e-34,7.60043863691774e-18,2.8257655359952697e-38,1.368117731249704e-35,8.81461927751673e-21,8.04361844892374e-39,4.536490360842793e-35,2.530180865449074e-35,9.193568051246188e-42,1.3148428052042406e-42,8.035860933815886e-24,2.604499791564123e-57,4.571512817543024e-35,6.504838635730815e-38,2.3422986978130323e-50,9.659278338240471e-68,4.648978458577195e-65,7.1918652024558035e-53,4.3091101426020594e-70,2.7014270972265954e-74,2.553694123779814e-78,3.4048388241518278e-77,1.0012088217800768e-61,6.394396901342097e-58,1.107290461897863e-78,7.763615038777138e-52,2.4017953073307627e-58,1.4854068307357638e-52,3.810265444997576e-57,8.794051214977791e-69,1.3343022078512263e-22,1.1442099603473573e-39,6.00328450538482e-56,6.475403385592657e-52,9.602064967057074e-39,1.143900923122281e-44,4.719922737485367e-59,6.997550491136749e-35,8.423705983232039e-58,3.5384555459969054e-51,4.914320362756627e-69,3.2695327706813605e-61,8.814619277517615e-21
3.5850427944740797e-22,0.8961417085720198,2.229419171674839e-24,1.7893547590900086e-24,6.591592969770362e-35,3.0498336179460067e-22,0.0,0.0,8.965996349822077e-20,1.8848354343738966e-37,6.108411889214135e-51,3.1791509135753434e-52,3.8004875974697426e-51,1.2326801837717349e-62,1.1187594877272181e-42,4.425354950443075e-37,2.2009862300609536e-34,5.296749379891375e-51,4.479005500375261e-59,5.392459246146798e-56,3.085413170361498e-34,5.028344296249253e-53,1.836768213443547e-23,8.459340611196926e-68,3.831156377260615e-52,1.3222249925512624e-54,6.574102350776433e-36,8.338881083169844e-36,2.925096263835371e-73,8.057990361683187e-56,8.902997812853398e-68,9.204958009999848e-58,3.230753526848451e-51,1.0906526448611985e-66,3.76,0.0,0.5851149456870206,0.999999999999997,8.553762179561506e-50,5.93055933108114e-50,2.747288756362181e-16,2.747288756362181e-16,3.4775021515041275e-34,7.469583811447738e-37,3.027729557195841e-15,4.671596153975509e-38,5.2245403627327945e-39,8.966219291737934e-20,1.4849396556416367e-33,4.999928235616057e-36,3.8541529416375095e-33,1.7372431170097692e-17,1.3604844666687957e-37,6.586897951116113e-35,2.014770120575015e-20,3.8726560346818616e-38,2.184124829358874e-34,1.21817317164329e-34,4.4263072670564604e-41,6.330402115123243e-42,1.8367682134436817e-23,2.557113339830575e-56,2.200986634671329e-34,3.1317997934937914e-37,2.299682751154664e-49,1.9109472581881112e-66,5.071442187437584e-64,7.656934640389628e-52,9.270985943808924e-69,5.3375647147189733e-73,5.045669254322943e-77,6.727387752108327e-76,9.829927583106997e-61,6.278056796196177e-57,2.187819358307824e-77,7.622363282679058e-51,2.358096875189406e-57,1.4583812347585768e-51,3.7409412084641927e-56,1.737556327642246e-67,3.049833617945275e-22,5.508878418360974e-39,5.894060326380074e-55,6.357589442592482e-51,4.622980947715453e-38,5.507390537157838e-44,5.077454960959293e-58,3.3690193424214672e-34,8.270444485280152e-57,3.4740766378148966e-50,9.709868902997362e-68,3.2103203103944735e-60,2.0147701205754407e-20
7.61821593825742e-22,0.8961417085720197,4.737515758350392e-24,3.802378863066363e-24,2.8787218265505183e-34,6.480896438135263e-22,0.0,0.0,1.905274224337186e-19,8.231571532513215e-37,5.402821820824238e-50,2.811922980346054e-51,3.3614882408094686e-50,1.0902916628898787e-61,4.8859166073498814e-42,1.932668771341962e-36,9.612285117528503e-34,4.684914842735829e-50,3.96162964199398e-58,4.769569135573944e-55,1.3474809925581502e-33,4.447513585844856e-52,3.903132453567453e-23,1.5052944636789002e-66,3.38861442922123e-51,1.2144049926244808e-53,2.87108321371608e-35,3.6418084510397607e-35,5.205052514350211e-72,7.127201221070025e-55,1.6079399713223e-66,8.460942285813731e-57,2.857564907517149e-50,1.9407587510845443e-65,3.76,0.0,0.5851149456870203,0.9999999999999936,7.56570577982881e-49,5.2455125668935946e-49,5.837988607269631e-16,5.837988607269631e-16,1.518716551722444e-33,3.2621634939950344e-36,6.433925309037098e-15,2.040208774261006e-37,2.2816940373709706e-38,1.9053215994941983e-19,6.485121604760465e-33,2.1836000205171478e-35,1.6832098472762637e-32,3.691641623645758e-17,5.941593097220046e-37,2.8766713885548263e-34,4.2813865062208936e-20,1.6912906341297845e-37,9.538646950771658e-34,5.3200822833108435e-34,1.9330846730263003e-40,2.764652918228563e-41,3.9031324535680406e-23,2.2617377906925474e-55,9.612286884568318e-34,1.3677392495653266e-36,2.034043350317708e-48,3.402419633796155e-65,5.38070903674589e-63,7.009137440361287e-51,1.711146037212007e-67,9.497911224851046e-72,8.978498848989475e-76,1.1971027061921645e-74,8.694459626864355e-60,5.55287013986366e-56,3.8931076533661314e-76,6.741894003008945e-50,2.0857099815077985e-56,1.2899216865016393e-50,3.308820134074639e-55,3.09188864776085e-66,6.480896438132068e-22,2.4058719364917715e-38,5.2132296105765764e-54,5.623215864561929e-50,2.0189772364506032e-37,2.4052221396857903e-43,4.6670477085850127e-57,1.4713392588979577e-33,7.315114485732315e-56,3.0727814434809453e-49,1.7278192916573952e-66,2.8399787552167235e-59,4.2813865062227545e-20
1.5684562225824098e-21,0.8961417085720198,9.753708990665328e-24,7.828427071019372e-24,1.2018096948325072e-33,1.334302207851377e-21,0.0,0.0,3.922623403047127e-19,3.436519076014558e-36,4.541397554598611e-49,2.363590696096268e-50,2.825533411261151e-49,9.164558376643377e-61,2.039774004118656e-41,8.068511673743355e-36,4.012939818356824e-33,3.9379532126149336e-49,3.3299884202482084e-57,4.0091102465742566e-54,5.625467891766388e-33,3.738403151698645e-51,8.035860933814993e-23,2.538899131458232e-65,2.848334607096054e-50,1.038587515527719e-52,1.1986207243404503e-34,1.5203833391657656e-34,8.77908185242271e-71,5.990842072395871e-54,2.7313134236934126e-65,7.23851425897892e-56,2.401955486025475e-49,3.2733738241944083e-64,3.76,0.0,0.5851149456870196,0.9999999999999868,6.359431576028861e-48,4.4091693783158865e-48,1.2019388309084528e-15,1.2019388309084526e-15,6.340342643486127e-33,1.3618890429258088e-35,1.3246316812706698e-14,8.517470016645314e-37,9.525623453666104e-38,3.922720940134649e-19,2.707410610111847e-32,9.116100244375378e-35,7.027069771856528e-32,7.600438636917732e-17,2.4804981576016978e-36,1.2009536773320938e-33,8.814619277509426e-20,7.060805466274565e-37,3.982197333302461e-33,2.221029627252547e-33,8.070247981402349e-40,1.1541881710595013e-40,8.035860933817449e-23,1.901126893001447e-54,4.0129405560611645e-33,5.710042126922188e-36,1.709735996247753e-47,5.740298478851461e-64,6.026683533887982e-62,5.985436800138237e-50,2.9352343087613095e-66,1.6019615524590835e-70,1.5143550633786539e-74,2.0190886862007613e-73,7.308217196861527e-59,4.667521938684877e-55,6.566295085969543e-75,5.666968139111294e-49,1.7531649129115403e-55,1.084256901116197e-49,2.781262694057654e-54,5.214922124393517e-65,1.3343022078500425e-21,1.0044041738014203e-37,4.382033608342448e-53,4.726651758334867e-49,8.428832525716622e-37,1.0041328964308515e-42,3.992754456264018e-56,6.142551772186584e-33,6.148794491120285e-55,2.582857952216486e-48,2.9142197787553438e-65,2.3879921903798216e-58,8.814619277517195e-20
3.1817254800957455e-21,0.89614170857202,1.9786095691150518e-23,1.5880523486926596e-23,4.9097847442393114e-33,2.7067273359270753e-21,0.0,0.0,7.957321760466942e-19,1.4039301734082434e-35,3.723312202291624e-48,1.9378144548698034e-49,2.3165430020904527e-48,7.513658656541589e-60,8.333142368781985e-41,3.2962502877766044e-35,1.6394168548004694e-32,3.228571964813706e-48,2.7301256964433006e-56,3.2869108004216257e-53,2.2981871882839802e-32,3.064968768566633e-50,1.6301317894308996e-22,4.170149447255513e-64,2.3352368000250726e-49,8.585828933628215e-52,4.8967567592432135e-34,6.211262029355006e-34,1.4419668306184707e-69,4.9116542823787e-53,4.501788905780859e-64,5.984943568498207e-55,1.9692682275037553e-48,5.376526758712619e-63,3.76,0.0,0.5851149456870184,0.9999999999999731,5.21384622674639e-47,3.614903447136164e-47,2.4382187712714294e-15,2.4382187712714286e-15,2.5902368501470354e-32,5.563761113801751e-35,2.6871099819994223e-14,3.479664420007668e-36,3.891527994272033e-37,7.957519621414111e-19,1.1060655748623148e-31,3.7242244018671493e-34,2.8707872894433847e-31,1.5418032663461662e-16,1.0133644340473726e-35,4.906287633437145e-33,1.7881084820073598e-19,2.8845694213904673e-36,1.626857546550242e-32,9.073630731444373e-33,3.296959626107414e-39,4.7152352811097555e-40,1.6301317894319027e-22,1.558658688130304e-53,1.6394171561767654e-32,2.332738522931773e-35,1.4017448676216514e-46,9.42976798814717e-63,7.406671763429703e-61,4.9445632115003216e-49,4.8603963466158445e-65,2.631226660300219e-69,2.4873327389181953e-73,3.316359230021088e-72,5.991718001855863e-58,3.826716486122403e-54,1.0785159396023176e-73,4.6461228642286466e-48,1.43735051736799e-54,8.889393155768842e-49,2.2802471934006892e-53,8.565525248745452e-64,2.706727335921624e-21,4.1033187789897595e-37,3.5926559034460594e-52,3.875194683749623e-48,3.4434531127876005e-36,4.102210522453383e-42,3.3012853781879545e-55,2.50943282546718e-32,5.041153213661981e-54,2.117582998931089e-47,4.786614737454293e-64,1.9591632396317888e-57,1.7881084820105333e-19
6.408263995122417e-21,0.8961417085720205,3.985087003554215e-23,3.1984716318745863e-23,1.9846134943267357e-32,5.4515775920784615e-21,0.0,0.0,1.6026718475306313e-18,5.674910230038318e-35,3.015234797626348e-47,1.5692923869076996e-48,1.8759965835264663e-47,6.084755584943303e-59,3.3683893810168257e-40,1.3323970688265578e-34,6.626785047304471e-32,2.6145812834872697e-47,2.210926572426535e-55,2.6618255851656735e-52,9.289640063561435e-32,2.4820911734654124e-49,3.283223181529268e-22,6.759991957935459e-63,1.891135305761643e-48,6.981294383905455e-51,1.979347374491272e-33,2.5106914217969958e-33,2.3374903715358372e-68,3.9775849811005606e-52,7.310147867630424e-63,4.866856714529726e-54,1.5947644673681598e-47,8.715581906701081e-62,3.76,0.0,0.5851149456870158,0.9999999999999459,4.222307852530932e-46,2.927442534190833e-46,4.910778651997373e-15,4.9107786519973705e-15,1.047015149150932e-31,2.2489611990833514e-34,5.412066583436259e-14,1.406535993618556e-35,1.573017835472041e-36,1.6027116983967282e-18,4.470893898253713e-31,1.5053910492791093e-33,1.1604181223322247e-30,3.1053220716549446e-16,4.0961810654947227e-35,1.9831999062254213e-32,3.6014015905150373e-19,1.1659890804296082e-35,6.576018315272711e-32,3.6677066165200314e-32,1.3326837947194255e-38,1.905973490754512e-39,3.283223181533322e-22,1.2622422166014479e-52,6.626786265515659e-32,9.429302082469172e-35,1.1351693364895642e-45,1.528711497335414e-61,9.991474126535583e-60,4.019131168290299e-48,7.910299571128762e-64,4.2653318035903536e-68,4.032073556214884e-72,5.375961223460952e-71,4.852248583656096e-57,3.0989742263916946e-53,1.748320814492031e-72,3.7625507543084486e-47,1.1640037147941553e-53,7.198861050607948e-48,1.8466032966134435e-52,1.3885085541751258e-62,5.451577592056428e-21,1.6586270568897224e-36,2.9094258965174893e-51,3.13823312610066e-47,1.3918988042666988e-35,1.6581790819089612e-41,2.6845499611871514e-54,1.0143528704327367e-31,4.0824565655760393e-53,1.7148736145801758e-46,7.759308758627218e-63,1.5887563751393488e-56,3.6014015905278645e-19
1.2861341025175761e-20,0.8961417085720214,7.998042249801043e-23,6.419310198240364e-23,7.980043574223606e-32,1.094127810438119e-20,0.0,0.0,3.216551190498399e-18,2.2818564443363917e-34,2.426923301733941e-46,1.2631030385312019e-47,1.5099652584369596e-46,4.897540656727799e-58,1.3544145554498413e-39,5.3575100127952965e-34,2.664601121859783e-31,2.1044424803818618e-46,1.7795460520080402e-54,2.1424688046412965e-51,3.7353234122367386e-31,1.9978029134545062e-48,6.589405965724275e-22,1.088675864929928e-61,1.5221502191281313e-47,5.630444422273442e-50,7.958868737973695e-33,1.0095379782793624e-32,3.764456184266143e-67,3.2015064348519917e-51,1.17828428065578e-61,3.9252962543485266e-53,1.2836051847147677e-46,1.403617624763556e-60,3.76,0.0,0.5851149456870107,0.9999999999998914,3.398480692208541e-45,2.3562604332597517e-45,9.855898413449217e-15,9.855898413449211e-15,4.210001865315721e-31,9.042974068590893e-34,1.0861979786227257e-13,5.655619368671995e-35,6.32503553265829e-36,3.2166311709050598e-18,1.7977267727739104e-30,6.053111206236075e-33,4.665990232850697e-30,6.232359682272471e-16,1.6470563908104325e-34,7.974359598631334e-32,7.227987807509764e-19,4.6883908103972635e-35,2.6441880421709385e-31,1.4747686993401508e-31,5.358662924985466e-38,7.663835578597127e-39,6.589405965740577e-22,1.0159623485088027e-51,2.6646016116971557e-31,3.79148089576616e-34,9.136830395065327e-45,2.4620273760132488e-60,1.44703738026403e-58,3.2408964407702553e-47,1.2764392654600716e-62,6.86918537679555e-67,6.4935301603317454e-71,8.657819818655908e-70,3.905511796170147e-56,2.494324064648149e-52,2.8156167739787727e-71,3.0284281815630393e-46,9.36891455702213e-53,5.794269660262111e-47,1.4863069839652908e-51,2.236150221163526e-61,1.0941278104292598e-20,6.669266446679824e-36,2.3417590758698037e-50,2.525923039986508e-46,5.596763874018848e-35,6.66746515923205e-41,2.165186606481844e-53,4.078668279149997e-31,3.2859161974827133e-52,1.380279475645216e-45,1.2496127549550344e-61,1.2822709310878502e-55,7.227987807561341e-19
2.5767495085282446e-20,0.8961417085720229,1.6023954251768714e-22,1.2860987330979617e-22,3.200354389442631e-31,2.192067912898647e-20,0.0,0.0,6.444309876433513e-18,9.151264927027275e-34,1.947453114188033e-45,1.0135606412846591e-46,1.2116520256063696e-45,3.92996794099739e-57,5.4318081445322874e-39,2.1486011356193942e-33,1.0686242270622727e-30,1.6886825573490465e-45,1.427973635249134e-53,1.719196287925192e-50,1.4980317547298305e-30,1.6031110208108573e-47,1.3201771534107373e-21,1.7475658685423544e-60,1.2214296891745726e-46,4.522590437077498e-49,3.1918623330356107e-32,4.0486988197713846e-32,6.042785882557273e-66,2.569007290119443e-50,1.8922145275870474e-60,3.153011418401375e-52,1.0300123221046639e-45,2.2531171640598144e-59,3.76,0.0,0.5851149456870005,0.9999999999997824,2.7270667266674365e-44,1.8907506055896156e-44,1.9746137936352742e-14,1.9746137936352726e-14,1.6883990449103883e-30,3.626637058392465e-33,2.1761806191478547e-13,2.2681563206220055e-34,2.5366221427749583e-35,6.444470115912519e-18,7.209688411708866e-30,2.4275683310008987e-32,1.8712707748837173e-29,1.248643490350741e-15,6.605432791396812e-34,3.1980748610010924e-31,1.4481160241416704e-18,1.8802544084156281e-34,1.0604376690944429e-30,5.91448209075366e-31,2.149063504961367e-37,3.0735408404677323e-38,1.3201771534172751e-21,8.152458015995821e-51,1.0686244235089774e-30,1.5205534173159311e-33,7.331730974551498e-44,3.952166993559777e-59,2.192826642961276e-57,2.6029936331901403e-46,2.0509751676883326e-61,1.1026563824730893e-65,1.042355400717189e-69,1.3897718226551723e-68,3.1339272558165854e-55,2.0015379789839105e-51,4.519688487184191e-70,2.43012289192389e-45,7.517963898402784e-52,4.649536491964497e-46,1.19266775027947e-50,3.5895163375326214e-60,2.1920679128631177e-20,2.674674135346485e-35,1.879114179582452e-49,2.0268941624951392e-45,2.244552634860635e-34,2.673951738713663e-40,1.739195553779742e-52,1.6357284028365158e-30,2.6367407891471827e-51,1.1075873522376688e-44,2.0059052191637074e-60,1.0345612724658205e-54,1.4481160241623543e-18
