Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990)
0.0,0.7611674945987915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6601093903455388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.463928926263345e-22,0.7611674945987915,7.107524252250416e-26,3.1484384418484047e-27,2.0872699168260777e-36,7.5766087066080225e-25,0.0,0.0,2.6612608179886906e-21,9.751765549574307e-40,3.145875774340939e-53,1.0305541916523043e-54,5.307770344757217e-61,5.319884706539291e-67,5.197589936150118e-46,1.9614346359728836e-39,6.589248328126052e-37,1.62033859397972e-54,7.931473844307587e-64,1.020745124128633e-61,2.399111818551767e-37,1.9536298526449237e-57,1.4463292538725127e-25,1.4395800838900674e-71,2.2397531984587473e-55,5.238351657123086e-59,1.6951045666805337e-56,6.768388427838186e-70,1.6591011381912306e-88,5.7196888966502676e-89,1.6580796853807408e-71,3.9939776024123927e-79,5.315682747360247e-71,5.197753427843005e-87,3.76,0.0,0.6601093903455388,0.9999999999999996,1.4217153079463875e-51,4.6054335163373615e-53,9.559936348015375e-18,9.559936348015375e-18,3.0529058701820207e-37,1.8748407175786606e-40,4.525671630448257e-16,5.548252639329998e-41,3.1559833834214086e-42,2.6613318932311758e-21,1.1050282114820653e-35,2.2477457102344566e-39,1.2433728442527256e-35,4.2208208169827153e-19,2.5797473690192937e-40,2.0871329835376847e-36,2.51198929781868e-37,3.474968272224536e-41,4.2258508509755567e-38,6.824831932957044e-37,1.0968603521096438e-44,1.2795239911109245e-45,1.4463292538725478e-25,6.24250204098482e-60,6.589248353646742e-37,1.286837861802955e-38,1.1114189154855075e-53,1.4224615600858983e-72,3.329783516590929e-69,2.5459942573925897e-55,3.430339794820931e-72,1.434860860365552e-76,1.1023717469410434e-80,1.1462962834501835e-80,1.229441747319547e-64,1.1766937262829536e-61,6.731677752643653e-81,2.4587006751234135e-53,5.693265273594512e-60,1.4365436218916246e-53,1.3537980756074734e-58,2.3474254990236706e-73,7.576608706607276e-25,9.322505150626048e-41,3.6015281723056013e-59,1.5935740041917933e-53
4.099000993537366e-22,0.7611674945987915,1.9901067910305042e-25,8.81562763717571e-27,1.2607110297629502e-35,2.121450437850246e-24,0.0,0.0,7.451530290368329e-21,5.890066391942876e-39,3.734783719297642e-52,1.2234739363370947e-53,6.30138495352866e-60,6.315767123603852e-66,3.1393443214349254e-45,1.1847065201275894e-38,3.979905990188104e-36,1.923665978772714e-53,9.416245748017367e-63,1.2118286113655101e-60,1.4490635384052668e-36,2.319349361060047e-56,4.0497219108429714e-25,3.2202830644586594e-70,2.659034997210168e-54,7.916197024244559e-58,2.556246083033037e-55,2.1280896159270956e-68,7.925725232210348e-87,2.7354918855286702e-87,3.7090579330109804e-70,1.1263655875365109e-77,1.6536265249701288e-69,2.9624705084964777e-85,3.76,0.0,0.6601093903455388,0.9999999999999988,1.6878604136131863e-50,5.4675706705956766e-52,2.6767821774443046e-17,2.6767821774443046e-17,1.8439551455897052e-36,1.1324037934174668e-39,1.2671880565249635e-15,3.3511445941553246e-40,1.9062139635873162e-41,7.451729301047208e-21,6.674370397351379e-35,1.3576384092032662e-38,7.509971979286387e-35,1.18182982875516e-18,1.5581674108876504e-39,1.2606283220567604e-35,1.5172415358824268e-36,2.0988808364244603e-40,2.5524139139891406e-37,4.122198487505985e-36,6.625036526741617e-44,7.728324906313597e-45,4.049721910843183e-25,7.411098423056604e-59,3.979906005602601e-36,7.772500685289196e-38,1.3194765364643855e-52,4.472375487555227e-71,1.046937213473745e-67,3.3375015944343806e-54,8.437229833444265e-71,3.209726350203014e-75,2.465961503036774e-79,2.5642189342264127e-79,1.459593242417275e-63,1.3969707920530466e-60,1.5058493865546814e-79,2.91896944150569e-52,6.759044532813601e-59,1.7054645879096434e-52,1.6072290753610365e-57,5.251096944295945e-72,2.1214504378497965e-24,5.630793110978078e-40,4.275734246162242e-58,1.8918910577764188e-52
9.369145128085407e-22,0.7611674945987915,4.54881552424298e-25,2.0150006027831022e-26,6.069780918130228e-35,4.8490295722291356e-24,0.0,0.0,1.7032069235127584e-20,2.835813421816203e-38,3.6668328025719045e-51,1.2012139658131118e-52,6.186737114562963e-59,6.200857613943455e-65,1.5114591534328364e-44,5.703851921408661e-38,1.916153413819009e-35,1.888666665142731e-52,9.244925913090817e-62,1.1897805166843262e-59,6.976617168348538e-36,2.2771509562429052e-55,9.256507224783634e-25,6.362736671261607e-69,2.6106563281233403e-53,8.515883521952355e-57,2.7480353598101043e-54,4.747650867086741e-67,4.1269086957278554e-85,1.4230399071503406e-85,7.328473445912664e-69,2.4500911819785116e-76,3.6804909503812703e-68,1.325206614422237e-83,3.76,0.0,0.6601093903455388,0.9999999999999971,1.6571513629696225e-49,5.368093306642708e-51,6.11835926272984e-17,6.11835926272984e-17,8.877850270485793e-36,5.452036806718085e-39,2.8964298434830458e-15,1.6134318675171722e-39,9.177599679001036e-41,1.703252411667894e-20,3.213422038989403e-34,6.536444528686614e-38,3.615728231086816e-34,2.7013253228689373e-18,7.501905349108066e-39,6.069382716127573e-35,7.304864878055878e-36,1.0105207735641318e-39,1.2288774274635489e-36,1.984661126103804e-35,3.1896699039338974e-43,3.7208557661559906e-44,9.256507224784652e-25,7.276260378970125e-58,1.916153421240426e-35,3.742124502122019e-37,1.2954698878898806e-51,9.977578866776529e-70,2.3356593309924666e-66,3.414764947537893e-53,1.740687688667453e-69,6.3418783828498944e-74,4.872324379944946e-78,5.066464506183036e-78,1.4330373006741418e-62,1.3715542080060585e-59,2.9753046305044916e-78,2.86586150692129e-51,6.636070002908572e-58,1.6744352456765888e-51,1.5779870369275866e-56,1.0375282676412494e-70,4.84902957222697e-24,2.7109844978019716e-39,4.197941237642469e-57,1.857469859285712e-51
1.990943339718149e-21,0.7611674945987915,9.666232997074132e-25,4.281876280914448e-26,2.6508327943691142e-34,1.0304187840986918e-23,0.0,0.0,3.619314712464604e-20,1.2384742247959316e-37,3.2432720883146236e-50,1.0624601494745504e-51,5.4720989161221796e-58,5.484588337056393e-64,6.600939218914602e-44,2.491021987685061e-37,8.368345376719599e-35,1.6705042768492668e-51,8.177032274870954e-61,1.0523473931716384e-58,3.0468720095607434e-35,2.014114232882774e-54,1.9670077852663944e-24,1.1322149946793045e-67,2.309095957482661e-52,7.827564114206949e-56,2.525244660366943e-53,8.891824641351094e-66,1.6469409250629e-83,5.6770997102303335e-84,1.3040626938167567e-67,4.542056131863103e-75,6.886716973854536e-67,4.980953137619118e-82,3.76,0.0,0.6601093903455387,0.9999999999999939,1.4657316139079122e-48,4.748017738002909e-50,1.3001513433300906e-16,1.3001513433300906e-16,3.877190455127528e-35,2.3810477113242155e-38,6.154913417390437e-15,7.046280851949195e-39,4.008098896957061e-40,3.619411374794107e-20,1.4033858285817656e-33,2.854637055433401e-37,1.5790835122008472e-33,5.740316311096491e-18,3.2762791586544603e-38,2.6506588890928457e-34,3.1902264082288507e-35,4.4132097057378274e-39,5.3668305807374754e-36,8.66753655485437e-35,1.3930126471782697e-42,1.624995468716477e-43,1.967007785266839e-24,6.435769904169972e-57,8.368345409130882e-35,1.6342840844887468e-36,1.1458284451088834e-50,1.8686868540257084e-68,4.374431434267681e-65,3.075121252840845e-52,3.1572144532521677e-68,1.1285033737014706e-72,8.67004090681212e-77,9.01550288858796e-77,1.2675052638133643e-61,1.2131241654149395e-58,5.2943956200555716e-77,2.5348220480198565e-50,5.869528766479295e-57,1.4810190124247838e-50,1.395711664027264e-55,1.8462261173448937e-69,1.030418784097746e-23,1.1839581541294223e-38,3.713031484526494e-56,1.6429110553610635e-50
4.099000993537366e-21,0.7611674945987915,1.9901067968361255e-24,8.815627637178273e-26,1.1066705099011829e-33,2.1214504378502502e-23,0.0,0.0,7.45153029036827e-20,5.170386094384254e-37,2.7261656120315182e-49,8.930617737071599e-51,4.599628859139595e-57,4.610126968536448e-63,2.7557621841503493e-43,1.0399526439923722e-36,3.493619463571995e-34,1.404159500125204e-50,6.873288330515038e-60,8.845613926478564e-58,1.2720090861961463e-34,1.6929843722243824e-53,4.0497219108420485e-24,1.9096460765489326e-66,1.940934285732507e-51,6.696645898248225e-55,2.1601430994205608e-52,1.5358415827307886e-64,5.853485997608103e-82,2.0174471388396867e-82,2.199492338931954e-66,7.80663399116081e-74,1.1889777677155591e-65,1.7239536683663023e-80,3.76,0.0,0.6601093903455386,0.9999999999999873,1.2320357384458575e-47,3.9909949983212304e-49,2.676782177444304e-16,2.676782177444304e-16,1.618650692367233e-34,9.940405484595914e-38,1.2671880565170128e-14,2.941683549372855e-38,1.6733023899006748e-39,7.451729301045998e-20,5.8588595772737915e-33,1.1917547786583865e-36,6.592362820226918e-33,1.1818298287551597e-17,1.3677820550539915e-37,1.1065979078716684e-33,1.3318567257026794e-34,1.8424281779448013e-38,2.2405461211859078e-35,3.618525890852856e-34,5.815553586876532e-42,6.78403620092055e-43,4.049721910843906e-24,5.409652388678011e-56,3.4936194771030685e-34,6.822814343270216e-36,9.631378494569916e-50,3.227689322521101e-67,7.555742458189506e-64,2.6065522440667973e-51,5.3729041959733505e-67,1.903385885266614e-71,1.462329122913432e-75,1.520596335519182e-75,1.0654145471533645e-60,1.0197039585759083e-57,8.929772058319715e-76,2.1306706658413918e-49,4.933692593878571e-56,1.244885718032234e-49,1.1731797515503825e-54,3.1139301969842224e-68,2.1214504378463023e-23,4.942792230861159e-38,3.121026689680636e-55,1.38096573484762e-49
8.3151163011758e-21,0.7611674945987915,4.037073801343472e-24,1.7883130349710446e-25,4.521110130641928e-33,4.303513745353374e-23,0.0,0.0,1.5115961446175494e-19,2.1122714250999572e-36,2.2350752767321314e-48,7.321859986825875e-50,3.771053638962286e-56,3.7796606209500113e-62,1.1258187705328718e-42,4.2485458788988885e-36,1.4272575448650444e-33,1.1512147939462355e-49,5.635137040488345e-59,7.252168726410008e-57,5.196572163455866e-34,1.3880108741569596e-52,8.215150161991727e-24,3.1365994150386454e-65,1.5912951937531823e-50,5.53691632910769e-54,1.7859476551197976e-51,2.551823760159411e-63,1.9716152943927256e-80,6.794876065460545e-81,3.6126727713561995e-65,1.2938923331702808e-72,1.9750660715284763e-64,5.734392190663732e-79,3.76,0.0,0.6601093903455383,0.9999999999999744,1.0100973348424755e-46,3.2720588253848603e-48,5.430043845672729e-16,5.430043845672729e-16,6.612716231021345e-34,4.060979987898882e-37,2.570581486058914e-14,1.2017737146895121e-37,6.835986247916062e-39,1.5116365153547652e-19,2.393535307195126e-32,4.8687071443758334e-36,2.693195315564301e-32,2.39742622404618e-17,5.587835991190229e-37,4.5208135276618644e-33,5.44106929864053e-34,7.526920276465153e-38,9.153361977235813e-35,1.4782858960054086e-33,2.375843397076123e-41,2.771500145748603e-42,8.215150161999317e-24,4.4351598656631285e-55,1.4272575503929315e-33,2.7873422821720096e-35,7.896385993226268e-49,5.362852102779985e-66,1.2553979099682768e-62,2.1456552726073555e-50,8.86320896441524e-66,3.126317032055073e-70,2.4018799754768395e-74,2.4975840471498222e-74,8.734912153869015e-60,8.360149153403287e-57,1.4667177420098042e-74,1.7468525415476928e-48,4.044939269635763e-55,1.0206325244689627e-48,9.618436408544655e-54,5.1146396990927935e-67,4.3035137453372464e-23,2.019291905645551e-37,2.5588062447003242e-54,1.132199143862691e-48
1.674734691645267e-20,0.7611674945987915,8.131007851357864e-24,3.60181357747929e-25,1.8275050011372146e-32,8.667640360359656e-23,0.0,0.0,3.044482375778954e-19,8.538138823398401e-36,1.8100219073373775e-47,5.929432050630389e-49,3.0538970118366886e-55,3.0608671651712967e-61,4.550739473441137e-42,1.717330172653647e-35,5.769203195191058e-33,9.322835873966038e-49,4.563480077059708e-58,5.8729942598179165e-56,2.100537554509361e-33,1.1240471925042923e-51,1.654600666428457e-23,5.084562817018436e-64,1.2886721050143555e-49,4.502528404053875e-53,1.4522632460265768e-50,4.160116776116884e-62,6.471038812693711e-79,2.2300765176888922e-79,5.856298243001318e-64,2.1067682457834874e-71,3.2194990196838457e-63,1.8706344826561453e-77,3.76,0.0,0.6601093903455377,0.9999999999999483,8.180030102975542e-46,2.64979807064985e-47,1.0936567182129574e-15,1.0936567182129574e-15,2.6729656288033274e-33,1.641513040590284e-36,5.1773683450865665e-14,4.857761501860736e-37,2.763214939461773e-38,3.044563685854242e-19,9.675052405038315e-32,1.9680092826391833e-35,1.0886326070390683e-31,4.8286190146282175e-17,2.2586926494498397e-36,1.8273851094703682e-32,2.1993672057210853e-33,3.0425015208884683e-37,3.6999352608606687e-34,5.975467949229937e-33,9.60353887562767e-41,1.1202846714043092e-41,1.654600666431524e-23,3.591707448489056e-54,5.769203217535675e-33,1.1266883162195501e-34,6.39469810494527e-48,8.742800865575387e-65,2.0466154392683404e-61,1.7410563927338684e-49,1.439817799004858e-64,5.067894631090534e-69,3.893550944256804e-73,4.0486913686154066e-73,7.073758330011393e-59,6.770265571264495e-56,2.377612664917556e-73,1.4146464783419897e-47,3.2756966927205796e-54,8.2653467999855e-48,7.789259178417283e-53,8.291051357013739e-66,8.667640360294461e-23,8.162300739614967e-37,2.0721876385063205e-53,9.168842209437844e-48
3.3611808147006406e-20,0.7611674945987916,1.6318876115385433e-23,7.228814662503019e-25,7.348317232982688e-32,1.7395893590372336e-22,0.0,0.0,6.110254838101596e-19,3.4331480687896035e-35,1.45686309937206e-46,4.772522765304531e-48,2.4580420043382314e-54,2.4636521839659742e-60,1.829832327401489e-41,6.905309093302513e-35,2.3197712309076154e-32,7.503829379755621e-48,3.673085781225528e-57,4.727096719253878e-55,8.446169121684224e-33,9.047309704229487e-51,3.320771966884421e-23,8.188531668458035e-63,1.0372354220533693e-48,3.6314522731671055e-52,1.1712871165601643e-49,6.718599705647951e-61,2.0969786096491437e-77,7.226584427274289e-78,9.431387780720896e-63,3.400332445489491e-70,5.199210929220329e-62,6.04367656953731e-76,3.76,0.0,0.6601093903455366,0.9999999999998961,6.583999873410856e-45,2.1327880144800373e-46,2.1949613855043245e-15,2.1949613855043245e-15,1.0747877232025674e-32,6.600451739829688e-36,1.0390942062917278e-13,1.9532845346871983e-36,1.1110765741269747e-37,6.110418026849783e-19,3.890296019627808e-31,7.913278857380176e-35,4.377343833099673e-31,9.691004595792282e-17,9.082103802525041e-36,7.347835153863077e-32,8.843558802498254e-33,1.2233764801736366e-36,1.4877276954818227e-33,2.4027093813197948e-32,3.861540743966386e-40,4.5046153919505303e-41,3.320771966896751e-23,2.890918626014443e-53,2.319771239892298e-32,4.530364165940648e-34,5.147009361019494e-47,1.4119645493508135e-63,3.305289401069656e-60,1.4027313915341847e-48,2.321223847664737e-63,8.161688068828976e-68,6.27044376415497e-72,6.520292634898354e-72,5.69357610692641e-58,5.449298788427587e-55,3.829071899011038e-72,1.1386305572093813e-46,2.6365656775326487e-53,6.652670173523421e-47,6.269473436981189e-52,1.335248261159019e-64,1.73958935901102e-22,3.282025228294149e-36,1.6678768877459798e-52,7.379881881378885e-47
6.734073060811387e-20,0.761167494598792,3.2694613299435714e-23,1.448281683257944e-24,2.947003871947083e-31,3.485240005039818e-22,0.0,0.0,1.2241799762746223e-18,1.376845926884882e-34,1.1690408872126471e-45,3.8296489594251113e-47,1.972423916315811e-53,1.9769257222553397e-59,7.338446045472611e-41,2.769337793901787e-34,9.303320178971277e-32,6.021350502581983e-47,2.947420018840084e-56,3.793197415047321e-54,3.3872915819423177e-32,7.259896257978686e-50,6.653114567785924e-23,1.31444068140465e-61,8.323161033901804e-48,2.9169799526615846e-51,9.4083520539979e-49,1.0799952802531288e-59,6.752605249344547e-76,2.3270575948547906e-76,1.5139466125321048e-61,5.464242964979531e-69,8.357347657323188e-61,1.9432513933468787e-74,3.76,0.0,0.6601093903455344,0.9999999999997918,5.283245252583762e-44,1.7114280633210242e-45,4.397570720087052e-15,4.397570720087052e-15,4.310379480525808e-32,2.647076360077063e-35,2.0818089497680317e-13,7.833544611958336e-36,4.4559140036350505e-37,1.2242126708827212e-18,1.5601827016035217e-30,3.1735788225056123e-34,1.7555106585586718e-30,1.9415775758120368e-16,3.642329831832398e-35,2.9468105366584046e-31,3.546662617618707e-32,4.906286854258779e-36,5.966453461326661e-33,9.635939257106435e-32,1.5486505499414597e-39,1.8065522461350391e-40,6.653114567835376e-23,2.3197801336559583e-52,9.303320215003959e-32,1.816878656011238e-33,4.1301508648871545e-46,2.2696916745820905e-62,5.313156177122617e-59,1.1261543107203375e-47,3.728031230711632e-62,1.3101316891540959e-66,1.006545093501978e-70,1.0466513705826671e-70,4.5687362566963415e-57,4.3727191841495495e-54,6.146508409021845e-71,9.13679313676843e-46,2.115677911208999e-52,5.338348843679039e-46,5.0308575954639046e-51,2.1433691720407344e-63,3.4852400049346903e-22,1.3162389087102943e-35,1.3383661632402577e-51,5.921890441045893e-46
