Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175)
0.0,0.4596921458008124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7641489563126245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6184949990120808e-20,0.4596921458008124,3.2277768399865355e-30,2.1736187801316823e-35,8.609978726244076e-38,2.0442066716023443e-32,0.0,0.0,4.990518563303228e-24,2.090864799716603e-42,1.7099813457738245e-55,2.6095265773462464e-57,3.367193668376102e-64,5.8123468818442424e-77,9.293350988863131e-55,3.329892626609287e-44,1.658270401997625e-41,1.2980338860715456e-57,5.018502976744819e-76,6.206554488520162e-75,1.450279825047906e-44,1.1661623451568063e-66,1.4135833486547028e-32,1.321763790818444e-75,3.1336398877924996e-60,2.3605801589698504e-66,2.451767967170766e-51,9.466330581552353e-50,2.2468970659618452e-91,3.646480257367798e-74,1.4298750698031522e-75,4.65201364802431e-72,8.376267641778335e-65,9.699692401097885e-77,3.76,0.0,0.7641489563126245,0.9999999999999993,2.996264084444123e-51,4.6095557277222286e-57,6.177642047328993e-21,6.177642047328993e-21,3.7433360567471035e-44,5.73013054095473e-50,5.361902646429773e-16,2.666276538399513e-47,1.119292804637286e-49,4.9905217910799704e-24,1.9297183502197836e-38,3.718771181038524e-47,1.1076115022013604e-38,1.6423805839596603e-23,3.479815308159877e-46,8.600087464442909e-38,4.9141477025968215e-30,6.282640824605275e-48,2.0017049679774155e-44,2.2073535971066914e-40,5.059840762085685e-54,2.2760498369501712e-55,1.4135833486581256e-32,9.395445866734165e-67,1.658270401997626e-41,5.717507662793402e-38,2.4154204429962234e-61,7.401656646834486e-59,5.235695058566861e-76,7.260406506120086e-59,3.846815504153521e-73,7.389201393730012e-81,2.168435411317143e-85,3.321939182073946e-85,2.0871475321961818e-72,2.2869300003302417e-72,2.331494098450354e-85,6.3442991160341195e-56,1.1079844548585372e-62,1.2231018354732374e-53,4.699275561448599e-61,2.580922969374467e-85,2.0442066715923614e-32,1.7587461528719116e-41,5.497077199715764e-63,2.2884645892781363e-55,3.8122063372854927e-50,3.541944931885577e-53,1.3231544706515218e-72,1.7475462163938503e-40,2.39885098317922e-66,3.985482900877145e-59,4.775411614403722e-73,3.931053600840532e-73,4.9141477025863216e-30,1.9904284186271285e-90,9.184323055492456e-71,1.589172604999022e-67,1.1929290325087206e-71,5.570725891483838e-101,4.493185695419962e-82,6.972528640223202e-62,6.3611561751942615e-62,1.083326222194576e-60,1.810509078893595e-67,5.0000688622185944e-68,2.1879774311472195e-67,5.13446176364138e-57,1.0998750844681316e-50,8.83069481889707e-84,2.1381890494420248e-85,1.379053840775898e-75,8.132007255518249e-41,1.3280798827814597e-63,2.966479900493099e-77,2.7558743861966817e-61,3.0632063274400396e-118,1.9967315405986293e-66,1.3685351249678783e-83
4.5317859972338266e-20,0.4596921458008124,9.037775153284161e-30,6.086132586016898e-35,5.200427150651217e-37,5.723778680507838e-32,0.0,0.0,1.397345197724907e-23,1.2628823390288305e-41,2.03008985370257e-54,3.098029954584516e-56,3.9975323231087334e-63,6.900418218098653e-76,5.613183997258678e-54,2.01125514646336e-43,1.0015953228065482e-40,1.5410258296121696e-56,5.957966818552872e-75,7.368421488777244e-74,8.759690143289353e-44,1.3844679361696322e-65,3.958033376222379e-32,2.9567327295090245e-74,3.7202572747869846e-59,2.809852986202115e-65,1.4808678521709731e-50,5.717663671257338e-49,5.029558174083217e-90,4.32910136154684e-73,3.2677242551577568e-74,7.030123026665619e-71,9.94430495393492e-64,3.049503254729496e-75,3.76,0.0,0.7641489563126245,0.9999999999999984,3.5571647210519355e-50,5.472464559951745e-56,1.7297397732521183e-20,1.7297397732521183e-20,2.260974978269718e-43,3.460998846735782e-49,1.5013327409224864e-15,1.6104310291927438e-46,6.760528540806768e-49,1.3973461015023627e-23,1.1655498835326188e-37,2.246249165409397e-46,6.689973473296105e-38,4.5986656350870216e-23,2.1018084461281378e-45,5.194452828523488e-37,1.3759613567270226e-29,3.794715058180314e-47,1.2090298006582283e-43,1.333241572652216e-39,3.056143820294272e-53,1.3747341171833835e-54,3.958033376243053e-32,1.1154273333026027e-65,1.001595322806549e-40,3.4533746283265175e-37,2.8675871499248404e-60,8.787246771122142e-58,1.646186294711986e-74,8.620188400245785e-58,8.605776863178439e-72,1.6529347949773684e-79,4.850703277686962e-84,7.431367910472267e-84,2.477861550194672e-71,2.7151665792555894e-71,5.215459038177015e-84,7.531951910328913e-55,1.3153991457350182e-61,1.4520664990735494e-52,5.578979946434292e-60,5.773421445571369e-84,5.723778680447539e-32,1.0622826763346215e-40,6.5261300511390605e-62,2.716865160390723e-54,2.302572627720378e-49,2.139334738877873e-52,1.6142841572417904e-71,1.0555179147018805e-39,2.8479156239726543e-65,4.731565299921181e-58,1.0682404764954279e-71,8.789961285655393e-72,1.375961356720681e-29,4.452508755331667e-89,1.090461786711674e-69,1.8867515217290914e-66,1.4162459804168075e-70,2.8654089333853283e-99,1.0051513358727618e-80,8.277786001672039e-61,7.551964619257123e-61,1.2861248909051146e-59,4.050036388864837e-66,1.118495404195817e-66,2.5975668062613334e-66,6.0956330054784225e-56,6.643245510304049e-50,2.7765117421782946e-82,4.784241928517759e-84,3.0848882795692314e-74,4.911732382332942e-40,1.5766964368395573e-62,6.635896878211617e-76,3.2717740715138997e-60,2.36370723389326e-116,2.3705196849945184e-65,4.3028933985189286e-82
1.0358367993677318e-19,0.4596921458008124,2.0657771785166864e-29,1.391116020438009e-34,2.5037818135914704e-36,1.3082922698403917e-31,0.0,0.0,3.193931880514085e-23,6.080234837575911e-41,1.9931542566336126e-53,3.0416641846278438e-55,3.924800939898321e-62,6.774871525394468e-75,2.702506467539417e-53,9.683327758050057e-43,4.822250329008833e-40,1.5129882978158884e-55,5.8495673297113175e-74,7.23435991183698e-73,4.217413731239312e-43,1.3592788295131363e-64,9.046933431314576e-32,5.84200562143037e-73,3.652570653210094e-58,2.7619607879329127e-64,7.129741248530045e-50,2.752808933114998e-48,9.957851129228746e-89,4.2503373879872537e-72,6.517613535326614e-73,7.562685553165123e-70,9.763377580449791e-63,6.8031260349628776e-74,3.76,0.0,0.7641489563126245,0.9999999999999966,3.492445416827674e-49,5.372898156232762e-55,3.953690910290556e-20,3.953690910290556e-20,1.088562125293758e-42,1.666321961308323e-48,3.431617693170105e-15,7.753532173657356e-46,3.2549034770750205e-48,3.1939339462909764e-23,5.611620962437169e-37,1.0815857175391944e-45,3.220934248401388e-37,1.0511235737341632e-22,1.0119302916122505e-44,2.500905434659953e-36,3.145054529661354e-29,1.826991951969917e-46,5.820958046876361e-43,6.41898426038287e-39,1.4714016936062946e-52,6.618753160833296e-54,9.046933431414112e-32,1.0951331702386942e-64,4.82225032900884e-40,1.6626512283392764e-36,2.8154140683555414e-59,8.627370987551025e-57,3.672551064661933e-73,8.463629814106149e-57,1.700414767875977e-70,3.265920611563499e-78,9.584172263240435e-83,1.468452670285037e-82,2.4327791634391014e-70,2.6660277852450946e-70,1.0304868178157718e-82,7.394915048946302e-54,1.291466683456695e-60,1.425647499426743e-51,5.477475594060277e-59,1.1407307871724161e-82,1.3082922698113601e-31,5.114433812551321e-40,6.407393182861855e-61,2.6674343252617247e-53,1.1085896028825327e-48,1.0299975862208031e-51,1.6039467918949972e-70,5.0818643972732385e-39,2.796099889894678e-64,4.6454788692618865e-57,2.1106631676377678e-70,1.736338087442507e-70,3.1450545296308207e-29,8.797406988636578e-88,1.0708314364516083e-68,1.852605584058957e-65,1.3904799722327824e-69,1.4055052415938462e-97,1.9861984873081028e-79,8.127179383041185e-60,7.414563662812576e-60,1.2627250443287113e-58,8.002189413783356e-65,2.2099584360646894e-65,2.5503064937555967e-65,5.984728630718858e-55,3.1984367458005676e-49,6.194244961101971e-81,9.453915560357382e-83,6.095219391891615e-73,2.3647877099045852e-39,1.548009911374406e-61,1.311141398710241e-74,3.2122471848651652e-59,2.5760837689911093e-114,2.327390283708822e-64,9.599518470260233e-81
2.20115319865643e-19,0.4596921458008124,4.3897765070082063e-29,2.9561215467477484e-34,1.0934672982326801e-35,2.7801210734536437e-31,0.0,0.0,6.787105246092482e-23,2.6553982956401175e-40,1.7629223682382314e-52,2.690317532934311e-54,3.471441984431214e-61,5.992297141131456e-74,1.1802555755629024e-52,4.228963635659721e-42,2.1060034105367146e-39,1.338221015627199e-54,5.1738763732208554e-73,6.398709415521438e-72,1.841855377810841e-42,1.2022667313594222e-63,1.922473354132635e-31,1.0395536866169488e-71,3.2306573787167834e-57,2.4442059978388826e-63,3.1137453183042453e-49,1.2022239838567076e-47,1.7791773310741829e-87,3.759375286134533e-71,1.1647706391321574e-71,6.951410966598338e-69,8.635596912447248e-62,1.2741395057721645e-72,3.76,0.0,0.7641489563126245,0.9999999999999927,3.089028420497678e-48,4.752267573051943e-54,8.401593184367431e-20,8.401593184367431e-20,4.754036791983057e-42,7.277265786998942e-48,7.292187596419736e-15,3.386171203758671e-45,1.4215018631157506e-47,6.787109635867735e-23,2.450742304777097e-36,4.7245656668819034e-45,1.4066666077955536e-36,2.2336375941850413e-22,4.4193654413564077e-44,1.0922111079842029e-35,6.683240875528618e-29,7.978953849038155e-46,2.5421653093292874e-42,2.8033390683219966e-38,6.425997767763852e-52,2.8905835357416543e-53,1.9224733541761045e-31,9.68632887102361e-64,2.1060034105367198e-39,7.261234731736826e-36,2.490201859909584e-58,7.630811936622054e-56,6.878281691958511e-72,7.48609502007776e-56,3.025844520660006e-69,5.8115312308941435e-77,1.7054522461875626e-81,2.6135321580322845e-81,2.1517656196065623e-69,2.358535924533393e-69,1.8336962331515714e-81,6.540718615190091e-53,1.1422876596154834e-59,1.2609690682976773e-50,4.8447651320662045e-58,2.0298694867603725e-81,2.780121073326856e-31,2.2336076141471224e-39,5.667266707452593e-60,2.3593154529603574e-52,4.841502048351662e-48,4.498270063788949e-51,1.4262316255666017e-69,2.2193836948201084e-38,2.4731176958109606e-63,4.108873451487223e-56,3.755812334507542e-69,3.089358309461777e-69,6.683240875395269e-29,1.5654515692619284e-86,9.475111126266045e-68,1.6389319797102735e-64,1.229866031416542e-68,5.486329830215329e-96,3.535009179099497e-78,7.188398126918225e-59,6.558097622891182e-59,1.1168660014850176e-57,1.423946850251479e-63,3.932502959242176e-64,2.255717212437373e-64,5.293424697782493e-54,1.396841357443815e-48,1.1601135281772104e-79,1.6823603573430851e-81,1.0846117240113555e-71,1.0327649214506918e-38,1.3691972359614562e-60,2.3331060649957e-73,2.8411962575102824e-58,2.1073964725415385e-112,2.0585503490683885e-63,1.7978835695504712e-79
4.531785997233827e-19,0.4596921458008124,9.037775172451165e-29,6.086132609915632e-34,4.565010720651749e-35,5.723778680816295e-31,0.0,0.0,1.397345197724944e-22,1.1085765168097703e-39,1.4818424745446996e-51,2.2613740026413754e-53,2.917956158065149e-60,5.036886809939181e-73,4.92733469409079e-52,1.7655090705075762e-41,8.792149671388979e-39,1.1248553979309316e-53,4.34895536978082e-72,5.3785008149456516e-71,7.689383632403998e-42,1.0105776297091264e-62,3.958033376065941e-31,1.7533592368395425e-70,2.7155621885195592e-56,2.0550110908873644e-62,1.2999273761915755e-48,5.019048474335085e-47,3.0252131117219376e-86,3.1599814473483255e-70,1.9686220640994832e-70,5.947078446696078e-68,7.258739552594411e-61,2.2007508594196956e-71,3.76,0.0,0.7641489563126245,0.9999999999999849,2.5965145153524097e-47,3.994567240751411e-53,1.729739773252118e-19,1.729739773252118e-19,1.984716777210126e-41,3.038115212801989e-47,1.5013327397936584e-14,1.413659820651583e-44,5.934490461211368e-47,1.3973461015019374e-22,1.0231366692847031e-35,1.9732461204533038e-44,5.8725561846700444e-36,4.598665635086618e-22,1.8449980763803934e-43,4.5597663736472086e-35,1.3759613567257549e-28,3.3310561668094503e-45,1.0613039740197982e-41,1.1703388771828164e-37,2.6827275719813584e-51,1.2067618420844239e-52,3.958033376247418e-31,8.141943061441249e-63,8.792149671389023e-39,3.031422562803346e-35,2.0931647091701678e-57,6.4141572236432636e-55,1.188052110800765e-70,6.292557666625225e-55,5.10356688413134e-68,9.801996852454061e-76,2.876494487268044e-80,4.4097882995589126e-80,1.808688656702489e-68,1.9832730412089757e-68,3.092796714360065e-80,5.4978681024906154e-52,9.601616117774844e-59,1.0599204809884539e-49,4.072317011754727e-57,3.423671581379997e-80,5.723778680286981e-31,9.324872102525026e-39,4.763679143745208e-59,1.983146797631683e-51,2.0212318000279462e-47,1.877939203150573e-50,1.2018305941640035e-68,9.265490039319453e-38,2.078802771073188e-62,3.45375571417176e-55,6.334726463206567e-68,5.210351183126613e-68,1.3759613566700848e-28,2.640362882769272e-85,7.97067389052817e-67,1.378164996106538e-63,1.033780272429655e-67,1.9314505712004834e-94,5.9645879494813704e-77,6.042281759147752e-58,5.5124762581979576e-58,9.38793169938761e-57,2.4016944900554493e-62,6.632741027111024e-63,1.896066234232898e-63,4.44944240924375e-53,5.831537699358506e-48,2.003807620066431e-78,2.8376171188801023e-80,1.829356202243183e-70,4.311590246874642e-38,1.1508927771567478e-59,3.935124392590262e-72,2.388196649370331e-57,1.5167085466890984e-110,1.7303356053288192e-62,3.1053967643305036e-78
9.19305159438862e-19,0.4596921458008124,1.8333772537176754e-28,1.2346154778445023e-33,1.8649558320169491e-34,1.1611093896086185e-30,0.0,0.0,2.8346145439564027e-22,4.528896790778383e-39,1.2149039897818673e-50,1.854011054192885e-52,2.3923167539985166e-59,4.1295441223924006e-72,2.0129769974186152e-51,7.212680623919125e-41,3.5918800215408804e-38,9.222244168315912e-53,3.565537231858908e-71,4.409619923481956e-70,3.1413641122467667e-41,8.285325973587228e-62,8.029153419656358e-31,2.8798978115136253e-69,2.2263819495023808e-55,1.6850246738524563e-61,5.3106274875905454e-48,2.0504450692832026e-46,5.048964250472657e-85,2.5907437085715036e-69,3.2367560399560385e-69,4.9171594854930644e-67,5.951153262005072e-60,3.656573928570549e-70,3.76,0.0,0.7641489563126245,0.9999999999999695,2.1287794744839856e-46,3.2749875655544266e-52,3.508900682882868e-19,3.508900682882868e-19,8.108215631702968e-41,1.2411691956826214e-46,3.045560698104063e-14,5.775261633168513e-44,2.4244329958851927e-46,2.834616377331517e-22,4.179847135294598e-35,8.068161283234536e-44,2.399130818226908e-35,9.328721716889057e-22,7.537419150036045e-43,1.8628133451478341e-34,2.7912358950693037e-28,1.3608451345278282e-44,4.335773028822327e-41,4.781216185450299e-37,1.0959817483660616e-50,4.930016839077368e-52,8.029153420397752e-31,6.675256837657481e-62,3.591880021540914e-38,1.2384350297834768e-34,1.7161028922598743e-56,5.258713619001984e-54,1.9739663488542439e-69,5.159036357802663e-54,8.382654165015332e-67,1.6099809264659117e-74,4.7246508326865296e-79,7.248623874004772e-79,1.4828722368329246e-67,1.6272886292787677e-67,5.0799278854103215e-79,4.507484435263977e-51,7.871985094924288e-58,8.689868480096216e-49,3.3387315240458356e-56,5.623390853049475e-79,1.1611093893923766e-30,3.8095145169651105e-38,3.905551967634908e-58,1.625903561378338e-50,8.25739141480692e-47,7.671994402503753e-50,9.865259495844435e-68,3.785255006557106e-37,1.7043253710590825e-61,2.831597601607427e-54,1.0404807237770459e-66,8.557769703766429e-67,2.7912358948418723e-28,4.3368039634534485e-84,6.545125664464799e-66,1.1307949006256624e-62,8.475617034874967e-67,6.476832181372346e-93,9.804338287131473e-76,4.953827645426758e-57,4.519461170111981e-57,7.696793593339045e-56,3.944790407348523e-61,1.0894297052698533e-61,1.5545096543557672e-62,3.647921707794054e-52,2.3823734292322775e-47,3.3293563302172857e-77,4.660851638677822e-79,3.004723053806207e-69,1.7614252995733153e-37,9.435714327403812e-59,6.463453631345506e-71,1.957987901925252e-56,1.0280744395540859e-108,1.4186336716790938e-61,5.1596631690709715e-77
1.8515582788698206e-18,0.4596921458008124,3.692576740198663e-28,2.4866199284278295e-33,7.538449653785622e-34,2.338572432880432e-30,0.0,0.0,5.709153236419584e-22,1.8306524936624627e-38,9.838607494364314e-50,1.5014262531530054e-51,1.9373601326009486e-58,3.344211895523054e-71,8.136774870173294e-51,2.9154808286021126e-40,1.451895333926526e-37,7.468412441783271e-52,2.8874658972431807e-70,3.5710245412457513e-69,1.2697896002610442e-40,6.709671784904029e-61,1.6171393505732416e-30,4.668438455673726e-68,1.8029818255524936e-54,1.364657418764818e-60,2.1466405401039616e-47,8.288226807989336e-46,8.44408420828452e-84,2.098051424764243e-68,5.24956761902417e-68,3.9985524648976876e-66,4.819398241374686e-59,5.961133172323561e-69,3.76,0.0,0.7641489563126245,0.9999999999999386,1.7239408107699696e-45,2.6521698403710827e-51,7.067222502144369e-19,7.067222502144369e-19,3.2774703972752344e-40,5.0170043347868035e-46,6.134016606753014e-14,2.3344530905880235e-43,9.799945841859292e-46,5.709156928987677e-22,1.6895610420855112e-34,3.266783022711853e-43,9.697670355283046e-35,1.8788833880491075e-21,3.046745333387162e-42,7.529789379315114e-34,5.621784971747448e-28,5.500753619836306e-44,1.7525887812899612e-40,1.932644027217623e-36,4.4301334590300095e-50,1.9927924046217383e-51,1.6171393508729247e-30,5.4057960555162114e-61,1.4518953339265529e-37,5.005952399075777e-34,1.389744615119463e-55,4.258642630029539e-53,3.2180633454883934e-68,4.177928341646341e-53,1.3588667801847097e-65,2.609848460896983e-73,7.658862598086241e-78,1.1768271500466204e-77,1.2008683829641623e-66,1.3198962626214158e-66,8.234781994949945e-78,3.6502777562839505e-50,6.374937780940452e-57,7.037280795189874e-48,2.7037913486544555e-55,9.11575890112538e-78,2.3385724320063473e-30,1.539866676653409e-37,3.162817235543153e-57,1.316698858395947e-49,3.337769634191936e-46,3.101142803067042e-49,7.993900437641372e-67,1.5300605946706844e-36,1.3802024406128627e-60,2.293101151904358e-53,1.6866640905881197e-65,1.387231316151394e-65,5.621784970828134e-28,7.030146110300186e-83,5.317072012812668e-65,9.171917465552277e-62,6.863874475843059e-66,2.1212013477497288e-91,1.5917521126821928e-74,4.011738063905264e-56,3.6599769663177105e-56,6.233062990544182e-55,6.394675228590276e-60,1.7660124985645033e-60,1.2588822215382426e-61,2.954181572397707e-51,9.629934314988025e-47,5.4276911044012596e-76,7.555487242148196e-78,4.870785547367972e-68,7.119962688546597e-37,7.64128609998024e-58,1.0477536865786391e-69,1.5856293672480584e-55,6.769303754631467e-107,1.1488463278171662e-60,8.411553197325751e-76
3.7160645177317375e-18,0.4596921458008124,7.410975767304116e-28,4.990628897104282e-33,3.0311774504729676e-33,4.693498520295399e-30,0.0,0.0,1.1458230621347008e-21,7.360973161995828e-38,7.918967250940393e-49,1.2084785227681012e-50,1.5593559815817326e-57,2.6917126726491664e-70,3.271761387878323e-50,1.1723020180866512e-39,5.838007281035005e-37,6.011228088784352e-51,2.324086018228692e-69,2.8742712230581287e-68,5.105768135274155e-40,5.400527580600301e-60,3.245587367346543e-30,7.518376212887169e-67,1.4511966290710652e-53,1.0984272704258529e-59,8.63154719900979e-47,3.332659546535393e-45,1.443474990148976e-82,1.6886943129933104e-67,8.456390809646364e-67,3.2249774743487706e-65,3.87907104025715e-58,9.627241844426956e-68,3.76,0.0,0.7641489563126245,0.9999999999998769,1.3875775439651116e-44,2.1346970210897016e-50,1.418386614066737e-18,1.418386614066737e-18,1.3178564316860087e-39,2.0173153773963092e-45,1.2310928392163473e-13,9.386733204054212e-43,3.940515152652156e-45,1.1458238032288005e-21,6.793650640579584e-34,1.3179847776670873e-42,3.8993905979511205e-34,3.770905820768367e-21,1.2250828984651724e-41,3.027695192204593e-33,1.1282883125067927e-27,2.211828841892561e-43,7.047082407859965e-40,7.771076632579983e-36,1.7813371792233253e-49,8.012936837922928e-51,3.245587368551554e-30,4.3510549601705723e-60,5.838007281035221e-37,2.0128714426621898e-33,1.1185873712896341e-54,3.4277260821897785e-52,5.197180877926527e-67,3.3627629738437e-52,2.1884149904591905e-64,4.20308049012083e-72,1.2334362102306063e-76,1.901022173353143e-76,9.665633470215993e-66,1.0657088315698781e-65,1.326186248633091e-76,2.9380610990977797e-49,5.131104784399761e-56,5.664215813485876e-47,2.176246498743827e-54,1.4680648686975915e-76,4.693498516780742e-30,6.191736181021239e-37,2.5457104601935315e-56,1.059793791441221e-48,1.3421024898621018e-45,1.2469558825461302e-48,6.436086893570071e-66,6.152306356658996e-36,1.1108998638242941e-59,1.8456873023396462e-52,2.716320520894595e-64,2.234077159948046e-64,1.1282883121371405e-27,1.1321833583220902e-81,4.306460395774604e-64,7.40561393959985e-61,5.524804387955074e-65,6.866622684203413e-90,2.5712837442094896e-73,3.228995807128351e-55,2.945868091928822e-55,5.016911336169549e-54,1.0298427272794989e-58,2.844108684547066e-59,1.0132579322629493e-60,2.377782328872091e-50,3.872154238322267e-46,8.765735631696555e-75,1.2167916140494529e-76,7.844249949469645e-67,2.8629056823278186e-36,6.150371830507812e-57,1.6873750118690464e-68,1.2762524614028901e-54,4.3940129180999805e-105,9.246914718857709e-60,1.3584680882066678e-74
7.445076995455572e-18,0.4596921458008124,1.4847774038088936e-27,9.998647104496386e-33,1.2156377303581445e-32,9.403350698610695e-30,0.0,0.0,2.29563853912061e-21,2.9520794655323122e-37,6.354472499691915e-48,9.697279924191719e-50,1.2512849709590395e-56,2.159929900490779e-69,1.3121226491767077e-49,4.7014554146630796e-39,2.341302030946987e-36,4.823631996920336e-50,1.8649362912573934e-68,2.306421641465718e-67,2.0476413833061884e-39,4.333583269854907e-59,6.5024833991255e-30,1.2068658890731076e-65,1.1644939016463026e-52,8.81431604712071e-59,3.461636482133003e-46,1.336545534992952e-44,2.585429410734706e-81,1.355070835914886e-66,1.3576082057807046e-65,2.590477375783222e-64,3.112710306570653e-57,1.5475506772970568e-66,3.76,0.0,0.7641489563126245,0.9999999999997533,1.1134435924450626e-43,1.7129599208981783e-49,2.8417153417713368e-18,2.8417153417713368e-18,5.285193714992572e-39,8.090336929435194e-45,2.466475183543463e-13,3.764499846550354e-42,1.5803228452214322e-44,2.295640023884069e-21,2.7245577602821056e-33,5.3212065288140295e-42,1.5638300342819528e-33,7.554950686202313e-21,4.913130354427261e-41,1.2142411890502891e-32,2.2605079431565637e-27,8.870422957110162e-43,2.8261952339743387e-39,3.116549299489967e-35,7.143958809464487e-49,3.213551052491032e-50,6.502483403958138e-30,3.4914475873731302e-59,2.3413020309471605e-36,8.07251476360998e-33,8.975959192758872e-54,2.7505343103193875e-51,8.354316404634221e-66,2.698406615434267e-51,3.512892266046048e-63,6.74687503174308e-71,1.9799382815861742e-75,3.0701126056475136e-75,7.756062127058769e-65,8.605269005854356e-65,2.12882261819904e-75,2.3576089895356092e-48,4.117388847008066e-55,4.5451764703495025e-46,1.7463007549141058e-53,2.356569241553112e-75,9.403350684515346e-30,2.4831631407545248e-36,2.0427723052487227e-55,8.50417774137677e-48,5.382431254338591e-45,5.000850809710801e-48,5.1653140078626995e-65,2.467350017645786e-35,8.914157276631045e-59,1.4810478227941536e-51,4.360296010156106e-63,3.5861756944620645e-63,2.2605079416740934e-27,1.8174050308695743e-80,3.4987032491699276e-63,5.979863119752e-60,4.433566071908965e-64,2.2100039368928942e-88,4.1525728235221376e-72,2.5910657801254786e-54,2.3638739703652243e-54,4.0257553565726166e-53,1.653125638276867e-57,4.5654243097160405e-58,8.130756780312939e-60,1.908020557646549e-49,1.55290703931157e-45,1.4090664014773166e-73,1.953222983910946e-75,1.2591758354869895e-65,1.1481532251971106e-35,4.935286057699663e-56,2.708610591503593e-67,1.0241122247091215e-53,2.832056761363702e-103,7.420066709719748e-59,2.1836977762029282e-73
